,"(mm) Precipitation (CHIRPS) at Batticaloa, 2007-01-01 to 2025-12-31"
"2008-07-03",0
"2008-07-04",2.2822
"2008-07-05",0.8178
"2008-07-06",0.2734
"2008-07-07",0
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0.0599
"2008-07-12",0
"2008-07-13",0
"2008-07-14",0.6354
"2008-07-15",2.8546
"2008-07-16",0
"2008-07-17",0
"2008-07-18",0
"2008-07-19",0.0274
"2008-07-20",0.463
"2008-07-21",11.0472
"2008-07-22",1.1933
"2008-07-23",0.5437
"2008-07-24",0
"2008-07-25",0
"2008-07-26",0.7031
"2008-07-27",1.7935
"2008-07-28",0
"2008-07-29",0
"2008-07-30",0
"2008-07-31",0
"2008-08-01",1.4949
"2008-08-02",3.8956
"2008-08-03",1.1329
"2008-08-04",0.1439
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0.5349
"2008-08-08",1.1404
"2008-08-09",0.017
"2008-08-10",0.0133
"2008-08-11",0
"2008-08-12",0.8597
"2008-08-13",0.8976
"2008-08-14",0.0793
"2008-08-15",1.6468
"2008-08-16",0.3214
"2008-08-17",1.6752
"2008-08-18",0
"2008-08-19",0.2574
"2008-08-20",0.0052
"2008-08-21",0.3462
"2008-08-22",0.1055
"2008-08-23",0.5393
"2008-08-24",0
"2008-08-25",0.1708
"2008-08-26",5.51
"2008-08-27",0
"2008-08-28",0.1684
"2008-08-29",0.7238
"2008-08-30",8.9392
"2008-08-31",13.7121
"2008-09-01",0
"2008-09-02",1.2229
"2008-09-03",0.0215
"2008-09-04",2.4618
"2008-09-05",0.1044
"2008-09-06",2.5346
"2008-09-07",12.2032
"2008-09-08",1.4017
"2008-09-09",0
"2008-09-10",0.397
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",0
"2008-09-26",0
"2008-09-27",1.1923
"2008-09-28",0.4257
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",1.4867
"2008-10-04",0.366
"2008-10-05",0
"2008-10-06",0
"2008-10-07",0.3549
"2008-10-08",0.0194
"2008-10-09",0.043
"2008-10-10",0
"2008-10-11",22.6358
"2008-10-12",8.8109
"2008-10-13",1.094
"2008-10-14",7.3722
"2008-10-15",0
"2008-10-16",0.5324
"2008-10-17",2.6154
"2008-10-18",3.3228
"2008-10-19",16.0056
"2008-10-20",19.2926
"2008-10-21",16.661
"2008-10-22",0
"2008-10-23",1.549
"2008-10-24",1.9826
"2008-10-25",9.958
"2008-10-26",0.0377
"2008-10-27",0.2794
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",0
"2008-11-09",7.012
"2008-11-10",30.4005
"2008-11-11",21.0223
"2008-11-12",18.7033
"2008-11-13",16.9384
"2008-11-14",0.3697
"2008-11-15",0.003
"2008-11-16",0
"2008-11-17",0
"2008-11-18",0.1716
"2008-11-19",1.5984
"2008-11-20",10.9598
"2008-11-21",18.4679
"2008-11-22",35.1454
"2008-11-23",39.9106
"2008-11-24",25.6539
"2008-11-25",14.6626
"2008-11-26",0
"2008-11-27",6.9689
"2008-11-28",11.4582
"2008-11-29",8.6086
"2008-11-30",0
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",6.0651
"2008-12-06",63.0792
"2008-12-07",46.1952
"2008-12-08",33.1087
"2008-12-09",3.8438
"2008-12-10",6.7954
"2008-12-11",1.4672
"2008-12-12",3.78
"2008-12-13",0.7181
"2008-12-14",0.4163
"2008-12-15",37.836
"2008-12-16",15.6304
"2008-12-17",18.3785
"2008-12-18",24.5544
"2008-12-19",0
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0.0207
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",21.1754
"2009-01-07",2.2647
"2009-01-08",35.2766
"2009-01-09",47.906
"2009-01-10",2.1978
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0.0813
"2009-01-22",0
"2009-01-23",0
"2009-01-24",0
"2009-01-25",18.0997
"2009-01-26",0.6793
"2009-01-27",0
"2009-01-28",0
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.1063
"2009-02-20",0.2766
"2009-02-21",3.3044
"2009-02-22",4.6459
"2009-02-23",0.2336
"2009-02-24",0
"2009-02-25",0
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",6.9126
"2009-03-08",28.1302
"2009-03-09",38.0759
"2009-03-10",17.0164
"2009-03-11",4.721
"2009-03-12",8.8208
"2009-03-13",8.094
"2009-03-14",12.836
"2009-03-15",4.5868
"2009-03-16",0.0214
"2009-03-17",0
"2009-03-18",0
"2009-03-19",0
"2009-03-20",0
"2009-03-21",0
"2009-03-22",0
"2009-03-23",0
"2009-03-24",5.4496
"2009-03-25",0
"2009-03-26",18.4934
"2009-03-27",12.7028
"2009-03-28",4.042
"2009-03-29",4.4833
"2009-03-30",0.9333
"2009-03-31",0
"2009-04-01",0.0044
"2009-04-02",1.6617
"2009-04-03",5.1236
"2009-04-04",7.9003
"2009-04-05",0.0742
"2009-04-06",0
"2009-04-07",0
"2009-04-08",4.3553
"2009-04-09",9.4295
"2009-04-10",21.6784
"2009-04-11",16.9613
"2009-04-12",3.7543
"2009-04-13",8.1852
"2009-04-14",4.7052
"2009-04-15",1.3719
"2009-04-16",0.4651
"2009-04-17",0
"2009-04-18",0
"2009-04-19",0.4388
"2009-04-20",1.4442
"2009-04-21",0.0376
"2009-04-22",0.0897
"2009-04-23",0
"2009-04-24",0
"2009-04-25",0
"2009-04-26",0
"2009-04-27",0.8061
"2009-04-28",0
"2009-04-29",0.3704
"2009-04-30",0.7933
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",0.599
"2009-05-06",0
"2009-05-07",0.0101
"2009-05-08",0.7839
"2009-05-09",0.992
"2009-05-10",0
"2009-05-11",0
"2009-05-12",0
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0.005
"2009-05-16",1.9925
"2009-05-17",2.8263
"2009-05-18",0.2832
"2009-05-19",2.3733
"2009-05-20",1.3258
"2009-05-21",1.0884
"2009-05-22",0.521
"2009-05-23",0.3384
"2009-05-24",0.5209
"2009-05-25",1.4836
"2009-05-26",0.9372
"2009-05-27",0
"2009-05-28",0
"2009-05-29",0
"2009-05-30",0.1002
"2009-05-31",0.0572
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0.0299
"2009-06-05",0.0068
"2009-06-06",0
"2009-06-07",0.5368
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",0.2975
"2009-06-12",0.0005
"2009-06-13",0.0423
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0.4254
"2009-06-20",0
"2009-06-21",0.087
"2009-06-22",0.0409
"2009-06-23",0
"2009-06-24",0.2073
"2009-06-25",0
"2009-06-26",0
"2009-06-27",0.3575
"2009-06-28",0.0356
"2009-06-29",0.4439
"2009-06-30",0.4374
"2009-07-01",1.152
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0.0123
"2009-07-05",1.9552
"2009-07-06",8.1549
"2009-07-07",2.1652
"2009-07-08",0
"2009-07-09",0
"2009-07-10",0
"2009-07-11",0.1866
"2009-07-12",0
"2009-07-13",0
"2009-07-14",6.6167
"2009-07-15",0
"2009-07-16",0
"2009-07-17",0.9551
"2009-07-18",0
"2009-07-19",0.0395
"2009-07-20",0.7406
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",0
"2009-07-25",0.0274
"2009-07-26",0
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0.0177
"2009-07-30",0
"2009-07-31",0.1672
"2009-08-01",0
"2009-08-02",0.3242
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",0.0018
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",0.896
"2009-08-12",1.0498
"2009-08-13",1
"2009-08-14",0.2804
"2009-08-15",24.794
"2009-08-16",9.8847
"2009-08-17",8.4978
"2009-08-18",10.9929
"2009-08-19",0.2128
"2009-08-20",6.2189
"2009-08-21",2.6919
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",0
"2009-08-28",0
"2009-08-29",0
"2009-08-30",1.773
"2009-08-31",1.3322
"2009-09-01",0.026
"2009-09-02",0.5808
"2009-09-03",0
"2009-09-04",0
"2009-09-05",0
"2009-09-06",0
"2009-09-07",0.1857
"2009-09-08",0
"2009-09-09",0
"2009-09-10",0
"2009-09-11",0
"2009-09-12",0
"2009-09-13",0.0153
"2009-09-14",0
"2009-09-15",0
"2009-09-16",0.0717
"2009-09-17",0.847
"2009-09-18",11.8799
"2009-09-19",0.0003
"2009-09-20",0.035
"2009-09-21",8.2906
"2009-09-22",0.2515
"2009-09-23",0.1167
"2009-09-24",0
"2009-09-25",0
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",0.0374
"2009-09-30",0
"2009-10-01",0.0303
"2009-10-02",0
"2009-10-03",0
"2009-10-04",0.0003
"2009-10-05",0
"2009-10-06",0
"2009-10-07",0.8683
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0
"2009-10-11",3.8201
"2009-10-12",0
"2009-10-13",0.0225
"2009-10-14",2.1952
"2009-10-15",0
"2009-10-16",0.0487
"2009-10-17",0.6235
"2009-10-18",0
"2009-10-19",0.0775
"2009-10-20",0
"2009-10-21",0
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0
"2009-10-25",0
"2009-10-26",0
"2009-10-27",3.1145
"2009-10-28",4.9675
"2009-10-29",29.3388
"2009-10-30",22.4444
"2009-10-31",25.5064
"2009-11-01",14.634
"2009-11-02",29.6168
"2009-11-03",22.1081
"2009-11-04",33.5899
"2009-11-05",39.3934
"2009-11-06",16.4654
"2009-11-07",12.8228
"2009-11-08",12.2947
"2009-11-09",19.8698
"2009-11-10",39.7068
"2009-11-11",1.8689
"2009-11-12",26.5123
"2009-11-13",42.052
"2009-11-14",20.9403
"2009-11-15",17.1425
"2009-11-16",1.5237
"2009-11-17",0
"2009-11-18",2.3524
"2009-11-19",16.2884
"2009-11-20",52.8925
"2009-11-21",21.6047
"2009-11-22",0.6851
"2009-11-23",0
"2009-11-24",0.2161
"2009-11-25",1.9984
"2009-11-26",0.0238
"2009-11-27",0
"2009-11-28",0.0386
"2009-11-29",0
"2009-11-30",0.464
"2009-12-01",7.3532
"2009-12-02",0
"2009-12-03",0
"2009-12-04",3.1518
"2009-12-05",32.9057
"2009-12-06",17.2754
"2009-12-07",16.0838
"2009-12-08",35.5068
"2009-12-09",30.53
"2009-12-10",56.1591
"2009-12-11",2.3515
"2009-12-12",40.4555
"2009-12-13",2.9492
"2009-12-14",85.407
"2009-12-15",96.1606
"2009-12-16",11.9947
"2009-12-17",0.0637
"2009-12-18",0.3942
"2009-12-19",6.83
"2009-12-20",5.5172
"2009-12-21",48.8766
"2009-12-22",28.1557
"2009-12-23",21.311
"2009-12-24",0.297
"2009-12-25",40.0595
"2009-12-26",0
"2009-12-27",19.5069
"2009-12-28",13.6874
"2009-12-29",11.1519
"2009-12-30",0.0051
"2009-12-31",0
"2010-01-01",0
"2010-01-02",1.9229
"2010-01-03",5.286
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0.8652
"2010-01-08",42.4513
"2010-01-09",0
"2010-01-10",0
"2010-01-11",0
"2010-01-12",6.8275
"2010-01-13",5.5985
"2010-01-14",0
"2010-01-15",0
"2010-01-16",10.048
"2010-01-17",1.135
"2010-01-18",23.1963
"2010-01-19",0.0123
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",3.7964
"2010-01-28",0
"2010-01-29",0.0825
"2010-01-30",0.9658
"2010-01-31",13.038
"2010-02-01",15.4051
"2010-02-02",0.0388
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0.1302
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0
"2010-02-10",0.0036
"2010-02-11",10.2707
"2010-02-12",18.0221
"2010-02-13",0
"2010-02-14",0.0459
"2010-02-15",0
"2010-02-16",20.8058
"2010-02-17",0
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",1.9398
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0.4053
"2010-03-07",0.8648
"2010-03-08",0
"2010-03-09",0.0361
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",0.3055
"2010-03-14",0
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",0
"2010-03-19",0
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0
"2010-03-23",0
"2010-03-24",0
"2010-03-25",0
"2010-03-26",3.2105
"2010-03-27",13.53
"2010-03-28",1.5145
"2010-03-29",0.1121
"2010-03-30",0.0441
"2010-03-31",0.3575
"2010-04-01",0
"2010-04-02",0
"2010-04-03",0
"2010-04-04",0
"2010-04-05",2.9047
"2010-04-06",0.3809
"2010-04-07",0.4136
"2010-04-08",0.0888
"2010-04-09",0.0348
"2010-04-10",5.1373
"2010-04-11",0
"2010-04-12",1.1733
"2010-04-13",0.7099
"2010-04-14",1.1441
"2010-04-15",0
"2010-04-16",0.8313
"2010-04-17",3.7345
"2010-04-18",0
"2010-04-19",5.8687
"2010-04-20",0.9821
"2010-04-21",1.9877
"2010-04-22",3.3723
"2010-04-23",5.1884
