,"(mm) Precipitation (CHIRPS) at Galle, 2007-01-01 to 2025-12-31"
"2008-06-14",12.0201
"2008-06-15",15.6381
"2008-06-16",0
"2008-06-17",0
"2008-06-18",10.0673
"2008-06-19",3.2737
"2008-06-20",0
"2008-06-21",0.3593
"2008-06-22",18.5702
"2008-06-23",18.8928
"2008-06-24",30.2314
"2008-06-25",9.8069
"2008-06-26",40.458
"2008-06-27",0
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",8.4506
"2008-07-02",0
"2008-07-03",0
"2008-07-04",0
"2008-07-05",2.7074
"2008-07-06",32.3671
"2008-07-07",15.1197
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0.0047
"2008-07-12",0.1816
"2008-07-13",13.698
"2008-07-14",0
"2008-07-15",18.2169
"2008-07-16",0.4947
"2008-07-17",0
"2008-07-18",90.2623
"2008-07-19",3.8162
"2008-07-20",0
"2008-07-21",3.6201
"2008-07-22",6.1899
"2008-07-23",6.0889
"2008-07-24",0
"2008-07-25",0
"2008-07-26",0
"2008-07-27",8.9928
"2008-07-28",18.0507
"2008-07-29",2.8635
"2008-07-30",2.7211
"2008-07-31",0
"2008-08-01",0
"2008-08-02",6.6837
"2008-08-03",0.1992
"2008-08-04",0
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0
"2008-08-08",5.104
"2008-08-09",0
"2008-08-10",0.0246
"2008-08-11",0
"2008-08-12",10.2155
"2008-08-13",21.8047
"2008-08-14",0.6474
"2008-08-15",0
"2008-08-16",1.5425
"2008-08-17",1.0931
"2008-08-18",1.5465
"2008-08-19",0
"2008-08-20",0.2512
"2008-08-21",23.8632
"2008-08-22",0
"2008-08-23",0
"2008-08-24",3.6828
"2008-08-25",10.201
"2008-08-26",20.4949
"2008-08-27",16.5064
"2008-08-28",14.7554
"2008-08-29",25.3924
"2008-08-30",50.0514
"2008-08-31",5.3316
"2008-09-01",0.5897
"2008-09-02",0
"2008-09-03",2.9066
"2008-09-04",28.8686
"2008-09-05",50.6461
"2008-09-06",0.4187
"2008-09-07",20.6719
"2008-09-08",7.9156
"2008-09-09",1.2567
"2008-09-10",0
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",1.417
"2008-09-26",4.8749
"2008-09-27",4.7045
"2008-09-28",0
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",0
"2008-10-04",3.6492
"2008-10-05",3.7513
"2008-10-06",3.1244
"2008-10-07",6.4919
"2008-10-08",11.7707
"2008-10-09",6.9533
"2008-10-10",18.6418
"2008-10-11",40.088
"2008-10-12",31.7088
"2008-10-13",4.9392
"2008-10-14",6.2572
"2008-10-15",2.8082
"2008-10-16",13.7124
"2008-10-17",25.0475
"2008-10-18",18.6003
"2008-10-19",54.4281
"2008-10-20",24.522
"2008-10-21",47.3275
"2008-10-22",0
"2008-10-23",1.72
"2008-10-24",7.2977
"2008-10-25",52.9939
"2008-10-26",8.2096
"2008-10-27",5.8699
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",5.3986
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",2.7823
"2008-11-08",11.8683
"2008-11-09",12.0584
"2008-11-10",26.4838
"2008-11-11",17.3804
"2008-11-12",6.1233
"2008-11-13",6.4278
"2008-11-14",3.2866
"2008-11-15",0
"2008-11-16",0
"2008-11-17",5.6046
"2008-11-18",6.7538
"2008-11-19",4.9694
"2008-11-20",37.2626
"2008-11-21",17.8198
"2008-11-22",27.0295
"2008-11-23",17.1052
"2008-11-24",31.4436
"2008-11-25",8.3607
"2008-11-26",7.515
"2008-11-27",2.6898
"2008-11-28",27.3798
"2008-11-29",25.975
"2008-11-30",8.6364
"2008-12-01",9.1898
"2008-12-02",4.2292
"2008-12-03",0
"2008-12-04",0.4025
"2008-12-05",17.5085
"2008-12-06",15.486
"2008-12-07",1.5138
"2008-12-08",25.0684
"2008-12-09",1.372
"2008-12-10",5.1586
"2008-12-11",19.8133
"2008-12-12",0
"2008-12-13",0
"2008-12-14",4.4141
"2008-12-15",14.0028
"2008-12-16",17.997
"2008-12-17",4.6236
"2008-12-18",5.3643
"2008-12-19",9.345
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",6.0442
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",11.9756
"2009-01-07",0.3196
"2009-01-08",2.2757
"2009-01-09",19.6908
"2009-01-10",4.839
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",2.0947
"2009-01-21",0.4091
"2009-01-22",0.018
"2009-01-23",0
"2009-01-24",0
"2009-01-25",2.9313
"2009-01-26",0
"2009-01-27",12.9332
"2009-01-28",3.7717
"2009-01-29",9.4925
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0.0098
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0.0086
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0.0607
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0
"2009-02-20",0
"2009-02-21",0.1117
"2009-02-22",16.0867
"2009-02-23",21.2018
"2009-02-24",0.563
"2009-02-25",4.726
"2009-02-26",0
"2009-02-27",1.0551
"2009-02-28",0
"2009-03-01",1.1532
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",6.2548
"2009-03-06",1.296
"2009-03-07",11.4579
"2009-03-08",16.4786
"2009-03-09",12.1268
"2009-03-10",16.6137
"2009-03-11",2.1898
"2009-03-12",25.9761
"2009-03-13",15.0305
"2009-03-14",40.0098
"2009-03-15",2.3788
"2009-03-16",0.9781
"2009-03-17",19.1673
"2009-03-18",9.0474
"2009-03-19",3.0977
"2009-03-20",18.2056
"2009-03-21",6.9508
"2009-03-22",0.0282
"2009-03-23",4.4498
"2009-03-24",23.7846
"2009-03-25",13.4694
"2009-03-26",15.2534
"2009-03-27",13.8903
"2009-03-28",15.6105
"2009-03-29",35.3368
"2009-03-30",26.6955
"2009-03-31",14.1031
"2009-04-01",12.4537
"2009-04-02",14.6898
"2009-04-03",11.9108
"2009-04-04",15.219
"2009-04-05",28.5961
"2009-04-06",9.6386
"2009-04-07",7.3116
"2009-04-08",14.605
"2009-04-09",28.0627
"2009-04-10",25.2254
"2009-04-11",31.8535
"2009-04-12",0.0756
"2009-04-13",3.2372
"2009-04-14",1.3534
"2009-04-15",2.8664
"2009-04-16",0
"2009-04-17",0
"2009-04-18",0
"2009-04-19",0.7264
"2009-04-20",0.5776
"2009-04-21",0
"2009-04-22",1.5647
"2009-04-23",1.0569
"2009-04-24",0
"2009-04-25",0
"2009-04-26",0
"2009-04-27",0
"2009-04-28",0
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",14.8762
"2009-05-06",3.5563
"2009-05-07",20.8099
"2009-05-08",61.4459
"2009-05-09",31.0673
"2009-05-10",13.0555
"2009-05-11",0
"2009-05-12",48.7282
"2009-05-13",10.9018
"2009-05-14",6.1037
"2009-05-15",5.3098
"2009-05-16",6.3309
"2009-05-17",53.8765
"2009-05-18",25.8371
"2009-05-19",66.5273
"2009-05-20",27.3918
"2009-05-21",32.6234
"2009-05-22",21.8049
"2009-05-23",4.1615
"2009-05-24",1.9264
"2009-05-25",2.0045
"2009-05-26",40.1818
"2009-05-27",20.4493
"2009-05-28",0
"2009-05-29",0
"2009-05-30",40.437
"2009-05-31",5.5178
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0.8784
"2009-06-05",28.5844
"2009-06-06",0
"2009-06-07",6.2476
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",27.1025
"2009-06-12",8.8987
"2009-06-13",0
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0.8445
"2009-06-17",2.207
"2009-06-18",56.5614
"2009-06-19",30.0754
"2009-06-20",7.2786
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0.0085
"2009-06-24",40.0927
"2009-06-25",39.5872
"2009-06-26",38.4916
"2009-06-27",76.905
"2009-06-28",16.153
"2009-06-29",15.0132
"2009-06-30",22.7925
"2009-07-01",22.7792
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0.2872
"2009-07-05",12.5421
"2009-07-06",35.7031
"2009-07-07",0.1962
"2009-07-08",0
"2009-07-09",0
"2009-07-10",0
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",1.537
"2009-07-15",1.1877
"2009-07-16",21.6727
"2009-07-17",35.8934
"2009-07-18",0.2096
"2009-07-19",3.2898
"2009-07-20",0
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",9.7507
"2009-07-25",0
"2009-07-26",0
"2009-07-27",0.8192
"2009-07-28",0.23
"2009-07-29",0
"2009-07-30",18.5673
"2009-07-31",4.9156
"2009-08-01",0.3208
"2009-08-02",0.1807
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",12.6685
"2009-08-08",5.1804
"2009-08-09",0.0713
"2009-08-10",0
"2009-08-11",0
"2009-08-12",0
"2009-08-13",1.3812
"2009-08-14",1.9543
"2009-08-15",31.8719
"2009-08-16",53.0982
"2009-08-17",3.0598
"2009-08-18",8.3892
"2009-08-19",2.9215
"2009-08-20",30.0257
"2009-08-21",68.6203
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0.8948
"2009-08-27",6.9159
"2009-08-28",0.086
"2009-08-29",34.636
"2009-08-30",0
"2009-08-31",0
"2009-09-01",25.6975
"2009-09-02",7.3642
"2009-09-03",0
"2009-09-04",0.3923
"2009-09-05",0
"2009-09-06",5.3044
"2009-09-07",51.3773
"2009-09-08",27.3635
"2009-09-09",0.1763
"2009-09-10",0
"2009-09-11",0
"2009-09-12",0
"2009-09-13",0.2261
"2009-09-14",7.7673
"2009-09-15",0
"2009-09-16",0.1563
"2009-09-17",3.2304
"2009-09-18",30.651
"2009-09-19",16.4718
"2009-09-20",0
"2009-09-21",28.72
"2009-09-22",11.4485
"2009-09-23",0
"2009-09-24",0.8907
"2009-09-25",1.4257
"2009-09-26",0
"2009-09-27",1.5231
"2009-09-28",0.2459
"2009-09-29",22.2857
"2009-09-30",49.189
"2009-10-01",27.2934
"2009-10-02",43.9095
"2009-10-03",10.6732
"2009-10-04",21.7103
"2009-10-05",0
"2009-10-06",0
"2009-10-07",0
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0
"2009-10-11",0.3501
"2009-10-12",10.0458
"2009-10-13",0
"2009-10-14",14.7164
"2009-10-15",1.9456
"2009-10-16",3.9547
"2009-10-17",11.4531
"2009-10-18",14.2927
"2009-10-19",0.7538
"2009-10-20",13.7791
"2009-10-21",4.5899
"2009-10-22",1.1393
"2009-10-23",8.5031
"2009-10-24",0
"2009-10-25",0
"2009-10-26",5.0897
"2009-10-27",14.2222
"2009-10-28",22.66
"2009-10-29",21.6786
"2009-10-30",0.722
"2009-10-31",27.5656
"2009-11-01",11.6243
"2009-11-02",17.8684
"2009-11-03",13.9884
"2009-11-04",19.2579
"2009-11-05",39.9536
"2009-11-06",50.8001
"2009-11-07",17.4192
"2009-11-08",17.9342
"2009-11-09",9.054
"2009-11-10",6.9432
"2009-11-11",0
"2009-11-12",19.0209
"2009-11-13",40.5212
"2009-11-14",43.8805
"2009-11-15",27.4129
"2009-11-16",0
"2009-11-17",35.5143
"2009-11-18",9.1476
"2009-11-19",11.5608
"2009-11-20",55.6742
"2009-11-21",13.3595
"2009-11-22",14.2308
"2009-11-23",21.6741
"2009-11-24",1.7424
"2009-11-25",19.4254
"2009-11-26",6.0618
"2009-11-27",4.8061
"2009-11-28",7.2898
"2009-11-29",0.1221
"2009-11-30",9.8266
"2009-12-01",12.8713
"2009-12-02",5.644
"2009-12-03",8.5543
"2009-12-04",2.4216
"2009-12-05",7.0398
"2009-12-06",17.0661
"2009-12-07",10.6018
"2009-12-08",7.8967
"2009-12-09",5.4927
"2009-12-10",0.0484
"2009-12-11",0
"2009-12-12",10.3128
"2009-12-13",16.3389
"2009-12-14",0.8005
"2009-12-15",8.1511
"2009-12-16",0
"2009-12-17",1.7666
"2009-12-18",4.839
"2009-12-19",2.0709
"2009-12-20",1.3814
"2009-12-21",16.0951
"2009-12-22",5.3437
"2009-12-23",0
"2009-12-24",7.5741
"2009-12-25",6.5664
"2009-12-26",2.0279
"2009-12-27",6.0591
"2009-12-28",7.3531
"2009-12-29",2.6274
"2009-12-30",10.4454
"2009-12-31",3.0566
"2010-01-01",2.1295
"2010-01-02",1.2185
"2010-01-03",11.0223
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",0.8369
"2010-01-09",0
"2010-01-10",0
"2010-01-11",0
"2010-01-12",7.3033
"2010-01-13",0
"2010-01-14",0.5573
"2010-01-15",0
"2010-01-16",17.1898
"2010-01-17",23.9226
"2010-01-18",7.2614
"2010-01-19",1.4565
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",5.1716
"2010-01-28",0
"2010-01-29",0.0426
"2010-01-30",1.2712
"2010-01-31",22.2075
"2010-02-01",24.4076
"2010-02-02",19.0582
"2010-02-03",1.402
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0
"2010-02-10",7.4581
"2010-02-11",14.6592
"2010-02-12",3.4755
"2010-02-13",1.685
"2010-02-14",0
"2010-02-15",0
"2010-02-16",20.4605
"2010-02-17",6.8693
"2010-02-18",0
"2010-02-19",0.0034
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0.0216
"2010-03-06",0
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",13.469
"2010-03-14",8.6719
"2010-03-15",0
"2010-03-16",1.3104
"2010-03-17",0
"2010-03-18",12.2327
"2010-03-19",0
