,"(mm) Precipitation (CHIRPS) at Gampaha, 2007-01-01 to 2025-12-31"
"2008-06-16",0.3019
"2008-06-17",0
"2008-06-18",2.5541
"2008-06-19",2.127
"2008-06-20",28.5229
"2008-06-21",27.7253
"2008-06-22",36.9027
"2008-06-23",10.1457
"2008-06-24",12.1253
"2008-06-25",13.1941
"2008-06-26",0.2886
"2008-06-27",0
"2008-06-28",0
"2008-06-29",0.2815
"2008-06-30",0
"2008-07-01",8.1067
"2008-07-02",0
"2008-07-03",3.9808
"2008-07-04",9.9211
"2008-07-05",0
"2008-07-06",0.4165
"2008-07-07",10.8039
"2008-07-08",3.7564
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0.0406
"2008-07-12",6.5401
"2008-07-13",0
"2008-07-14",11.803
"2008-07-15",48.5994
"2008-07-16",0.2447
"2008-07-17",0
"2008-07-18",51.2444
"2008-07-19",0.8115
"2008-07-20",4.9867
"2008-07-21",18.3421
"2008-07-22",21.0046
"2008-07-23",15.3525
"2008-07-24",0
"2008-07-25",0
"2008-07-26",6.6426
"2008-07-27",11.4757
"2008-07-28",39.4828
"2008-07-29",18.0034
"2008-07-30",2.8627
"2008-07-31",0
"2008-08-01",5.5623
"2008-08-02",1.506
"2008-08-03",1.4752
"2008-08-04",0
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0.6336
"2008-08-08",0.1637
"2008-08-09",2.5397
"2008-08-10",0.4561
"2008-08-11",0
"2008-08-12",9.4702
"2008-08-13",3.0307
"2008-08-14",0
"2008-08-15",0.7203
"2008-08-16",1.7849
"2008-08-17",2.2231
"2008-08-18",6.2518
"2008-08-19",3.8783
"2008-08-20",0.1034
"2008-08-21",8.1307
"2008-08-22",0
"2008-08-23",4.7425
"2008-08-24",6.0978
"2008-08-25",17.1906
"2008-08-26",5.0054
"2008-08-27",12.3406
"2008-08-28",17.0388
"2008-08-29",3.6163
"2008-08-30",12.243
"2008-08-31",28.0099
"2008-09-01",0
"2008-09-02",0
"2008-09-03",7.4213
"2008-09-04",9.1371
"2008-09-05",18.4525
"2008-09-06",13.9308
"2008-09-07",17.9837
"2008-09-08",6.0861
"2008-09-09",0
"2008-09-10",0.4872
"2008-09-11",3.7163
"2008-09-12",19.0751
"2008-09-13",0
"2008-09-14",0
"2008-09-15",2.654
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",2.7848
"2008-09-26",2.7483
"2008-09-27",0.6961
"2008-09-28",4.2241
"2008-09-29",0
"2008-09-30",0
"2008-10-01",1.5731
"2008-10-02",1.4112
"2008-10-03",4.5861
"2008-10-04",13.1335
"2008-10-05",12.2027
"2008-10-06",9.229
"2008-10-07",7.8808
"2008-10-08",10.4846
"2008-10-09",4.3823
"2008-10-10",13.1594
"2008-10-11",8.8336
"2008-10-12",15.3907
"2008-10-13",16.367
"2008-10-14",19.3764
"2008-10-15",20.0653
"2008-10-16",16.1636
"2008-10-17",22.1814
"2008-10-18",16.0147
"2008-10-19",31.5322
"2008-10-20",33.5189
"2008-10-21",17.7175
"2008-10-22",27.8378
"2008-10-23",17.0693
"2008-10-24",11.7396
"2008-10-25",33.5221
"2008-10-26",4.7317
"2008-10-27",0
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",8.059
"2008-11-09",8.6
"2008-11-10",16.4554
"2008-11-11",12.2915
"2008-11-12",3.6547
"2008-11-13",3.4874
"2008-11-14",3.103
"2008-11-15",0
"2008-11-16",0
"2008-11-17",6.1722
"2008-11-18",2.6151
"2008-11-19",7.6937
"2008-11-20",16.5476
"2008-11-21",14.8016
"2008-11-22",2.9184
"2008-11-23",19.2519
"2008-11-24",26.6849
"2008-11-25",10.0346
"2008-11-26",6.9984
"2008-11-27",7.1624
"2008-11-28",14.412
"2008-11-29",5.8564
"2008-11-30",14.991
"2008-12-01",1.7821
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0
"2008-12-06",2.4816
"2008-12-07",9.9357
"2008-12-08",16.224
"2008-12-09",4.6988
"2008-12-10",7.2157
"2008-12-11",9.9498
"2008-12-12",0
"2008-12-13",0
"2008-12-14",1.3861
"2008-12-15",8.1205
"2008-12-16",6.7747
"2008-12-17",6.1586
"2008-12-18",10.0406
"2008-12-19",0.9541
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",0
"2008-12-24",1.2137
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",3.06
"2009-01-07",0
"2009-01-08",2.2049
"2009-01-09",16.2793
"2009-01-10",2.7726
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",0.0098
"2009-01-23",0
"2009-01-24",0
"2009-01-25",5.2976
"2009-01-26",0.9307
"2009-01-27",7.6798
"2009-01-28",7.9737
"2009-01-29",3.8174
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0
"2009-02-20",0
"2009-02-21",1.1175
"2009-02-22",4.9907
"2009-02-23",15.7468
"2009-02-24",6.1188
"2009-02-25",9.4668
"2009-02-26",0
"2009-02-27",0.1984
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0.0126
"2009-03-06",8.4087
"2009-03-07",2.6088
"2009-03-08",17.9339
"2009-03-09",18.0772
"2009-03-10",10.6133
"2009-03-11",26.6405
"2009-03-12",5.5499
"2009-03-13",12.9214
"2009-03-14",23.3987
"2009-03-15",5.1618
"2009-03-16",0
"2009-03-17",4.8606
"2009-03-18",0
"2009-03-19",2.2517
"2009-03-20",17.8405
"2009-03-21",4.5796
"2009-03-22",0
"2009-03-23",5.4349
"2009-03-24",16.0773
"2009-03-25",4.9912
"2009-03-26",1.0408
"2009-03-27",0.2368
"2009-03-28",6.8221
"2009-03-29",11.8489
"2009-03-30",18.594
"2009-03-31",0
"2009-04-01",6.19
"2009-04-02",4.6282
"2009-04-03",8.609
"2009-04-04",13.5271
"2009-04-05",12.6889
"2009-04-06",11.173
"2009-04-07",8.067
"2009-04-08",12.6583
"2009-04-09",21.2247
"2009-04-10",29.385
"2009-04-11",33.1597
"2009-04-12",2.9413
"2009-04-13",28.5811
"2009-04-14",4.0136
"2009-04-15",0
"2009-04-16",0
"2009-04-17",0
"2009-04-18",0
"2009-04-19",2.8117
"2009-04-20",0
"2009-04-21",0
"2009-04-22",9.8542
"2009-04-23",3.5131
"2009-04-24",0
"2009-04-25",0
"2009-04-26",0.1575
"2009-04-27",1.4885
"2009-04-28",1.1745
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0.0376
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",0.1741
"2009-05-06",5.17
"2009-05-07",15.3514
"2009-05-08",8.3127
"2009-05-09",5.1284
"2009-05-10",3.979
"2009-05-11",0
"2009-05-12",23.2968
"2009-05-13",3.9805
"2009-05-14",0.1695
"2009-05-15",0
"2009-05-16",6.6032
"2009-05-17",0.4026
"2009-05-18",8.8838
"2009-05-19",43.0711
"2009-05-20",15.1259
"2009-05-21",6.6308
"2009-05-22",17.3153
"2009-05-23",10.3293
"2009-05-24",0.134
"2009-05-25",5.5256
"2009-05-26",30.2501
"2009-05-27",0.4112
"2009-05-28",0
"2009-05-29",0
"2009-05-30",14.9314
"2009-05-31",14.2236
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",25.4065
"2009-06-06",7.8257
"2009-06-07",30.0369
"2009-06-08",2.6047
"2009-06-09",0
"2009-06-10",0
"2009-06-11",5.5763
"2009-06-12",13.7734
"2009-06-13",0.01
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",4.0876
"2009-06-18",32.1824
"2009-06-19",36.0132
"2009-06-20",12.4989
"2009-06-21",0
"2009-06-22",0
"2009-06-23",1.8114
"2009-06-24",18.0276
"2009-06-25",29.6323
"2009-06-26",21.0963
"2009-06-27",29.1837
"2009-06-28",9.1234
"2009-06-29",37.4877
"2009-06-30",9.697
"2009-07-01",11.4152
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",5.7003
"2009-07-06",19.8425
"2009-07-07",0
"2009-07-08",0
"2009-07-09",0.1968
"2009-07-10",0
"2009-07-11",3.5847
"2009-07-12",0
"2009-07-13",0
"2009-07-14",17.8588
"2009-07-15",2.2225
"2009-07-16",8.7985
"2009-07-17",41.7523
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0.6009
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",2.2746
"2009-07-25",5.5247
"2009-07-26",2.3155
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0
"2009-07-30",7.9658
"2009-07-31",3.3194
"2009-08-01",0
"2009-08-02",4.6399
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",4.9665
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",5.7357
"2009-08-12",6.1818
"2009-08-13",10.2693
"2009-08-14",5.044
"2009-08-15",21.4139
"2009-08-16",38.7612
"2009-08-17",16.4094
"2009-08-18",9.9307
"2009-08-19",15.5725
"2009-08-20",14.5814
"2009-08-21",9.2394
"2009-08-22",20.5132
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",0.4445
"2009-08-28",8.059
"2009-08-29",0
"2009-08-30",7.786
"2009-08-31",1.2242
"2009-09-01",0
"2009-09-02",21.2331
"2009-09-03",0
"2009-09-04",0.6668
"2009-09-05",16.3233
"2009-09-06",7.2305
"2009-09-07",0.1286
"2009-09-08",0
"2009-09-09",2.7763
"2009-09-10",0
"2009-09-11",0
"2009-09-12",0
"2009-09-13",6.694
"2009-09-14",0
"2009-09-15",0
"2009-09-16",0
"2009-09-17",0
"2009-09-18",62.1526
"2009-09-19",0
"2009-09-20",0
"2009-09-21",41.5376
"2009-09-22",3.8769
"2009-09-23",26.1014
"2009-09-24",0
"2009-09-25",0
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",8.5322
"2009-09-30",15.0519
"2009-10-01",8.6995
"2009-10-02",35.901
"2009-10-03",7.5128
"2009-10-04",4.6952
"2009-10-05",0
"2009-10-06",0
"2009-10-07",4.4438
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0
"2009-10-11",6.7385
"2009-10-12",20.8192
"2009-10-13",16.6374
"2009-10-14",41.0108
"2009-10-15",4.9008
"2009-10-16",10.1198
"2009-10-17",0
"2009-10-18",29.975
"2009-10-19",8.6675
"2009-10-20",22.3965
"2009-10-21",0
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0.3811
"2009-10-25",0
"2009-10-26",7.0934
"2009-10-27",14.7549
"2009-10-28",20.0839
"2009-10-29",18.4404
"2009-10-30",4.3874
"2009-10-31",29.7563
"2009-11-01",2.0553
"2009-11-02",12.6327
"2009-11-03",17.5628
"2009-11-04",12.9556
"2009-11-05",9.937
"2009-11-06",50.0968
"2009-11-07",9.6848
"2009-11-08",21.9449
"2009-11-09",34.9025
"2009-11-10",2.4313
"2009-11-11",0
"2009-11-12",19.6773
"2009-11-13",14.3132
"2009-11-14",27.6787
"2009-11-15",22.1334
"2009-11-16",3.6014
"2009-11-17",39.515
"2009-11-18",21.3978
"2009-11-19",18.4136
"2009-11-20",28.1273
"2009-11-21",11.6152
"2009-11-22",14.3114
"2009-11-23",4.7473
"2009-11-24",16.6074
"2009-11-25",12.0695
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",2.4091
"2009-11-30",14.3418
"2009-12-01",24.3471
"2009-12-02",17.5984
"2009-12-03",0.8538
"2009-12-04",8.371
"2009-12-05",0.5465
"2009-12-06",6.4357
"2009-12-07",2.8746
"2009-12-08",1.5123
"2009-12-09",1.1973
"2009-12-10",0
"2009-12-11",0
"2009-12-12",6.359
"2009-12-13",2.5421
"2009-12-14",9.2375
"2009-12-15",11.6605
"2009-12-16",0.2172
"2009-12-17",4.2505
"2009-12-18",8.6698
"2009-12-19",11.174
"2009-12-20",1.0778
"2009-12-21",2.5978
"2009-12-22",4.6338
"2009-12-23",0
"2009-12-24",8.173
"2009-12-25",3.0504
"2009-12-26",4.2051
"2009-12-27",7.5331
"2009-12-28",3.7028
"2009-12-29",4.0699
"2009-12-30",0.1328
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0.2535
"2010-01-03",6.0824
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",10.1761
"2010-01-09",18.2789
"2010-01-10",0
"2010-01-11",8.9098
"2010-01-12",12.4313
"2010-01-13",21.2263
"2010-01-14",2.2542
"2010-01-15",0
"2010-01-16",0.6832
"2010-01-17",5.4156
"2010-01-18",3.5277
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",1.4241
"2010-01-28",0
"2010-01-29",0
"2010-01-30",0
"2010-01-31",8.4996
"2010-02-01",18.2758
"2010-02-02",0
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0
"2010-02-10",0.0033
"2010-02-11",12.1314
"2010-02-12",1.2163
"2010-02-13",1.6276
"2010-02-14",0
"2010-02-15",0
"2010-02-16",5.6372
"2010-02-17",4.7477
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0.2785
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0.3354
"2010-03-13",15.5258
"2010-03-14",0.5315
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",6.9787
"2010-03-19",3.9373
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0
"2010-03-23",0.9837
"2010-03-24",6.3845
