,"(mm) Precipitation (CHIRPS) at Badulla, 2007-01-01 to 2025-12-31"
"2008-06-08",8.9831
"2008-06-09",14.2714
"2008-06-10",0.1036
"2008-06-11",0
"2008-06-12",1.0616
"2008-06-13",0
"2008-06-14",2.9072
"2008-06-15",0
"2008-06-16",0
"2008-06-17",1.9751
"2008-06-18",3.741
"2008-06-19",0
"2008-06-20",9.8562
"2008-06-21",2.5307
"2008-06-22",9.943
"2008-06-23",0.0116
"2008-06-24",2.835
"2008-06-25",0.1527
"2008-06-26",0
"2008-06-27",0
"2008-06-28",0
"2008-06-29",1.9598
"2008-06-30",0
"2008-07-01",2.7677
"2008-07-02",0
"2008-07-03",1.517
"2008-07-04",1.2569
"2008-07-05",3.9808
"2008-07-06",0.1388
"2008-07-07",1.2393
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",1.171
"2008-07-12",6.804
"2008-07-13",0.2959
"2008-07-14",0.8499
"2008-07-15",16.8079
"2008-07-16",0
"2008-07-17",0
"2008-07-18",9.3056
"2008-07-19",0.2684
"2008-07-20",5.167
"2008-07-21",15.9156
"2008-07-22",13.783
"2008-07-23",6.3101
"2008-07-24",0.9325
"2008-07-25",0.1817
"2008-07-26",0.2005
"2008-07-27",1.17
"2008-07-28",0
"2008-07-29",0
"2008-07-30",0
"2008-07-31",2.273
"2008-08-01",2.232
"2008-08-02",3.6997
"2008-08-03",1.292
"2008-08-04",0
"2008-08-05",0.0039
"2008-08-06",0
"2008-08-07",0
"2008-08-08",1.7869
"2008-08-09",1.6807
"2008-08-10",0.1461
"2008-08-11",0.0857
"2008-08-12",3.1732
"2008-08-13",4.612
"2008-08-14",2.5774
"2008-08-15",0.5816
"2008-08-16",3.4738
"2008-08-17",2.3043
"2008-08-18",2.8933
"2008-08-19",1.729
"2008-08-20",2.2356
"2008-08-21",9.0205
"2008-08-22",1.7009
"2008-08-23",5.9222
"2008-08-24",5.051
"2008-08-25",7.6464
"2008-08-26",7.581
"2008-08-27",10.7236
"2008-08-28",12.4067
"2008-08-29",2.3621
"2008-08-30",5.5752
"2008-08-31",15.4595
"2008-09-01",0.7109
"2008-09-02",0.1246
"2008-09-03",4.6522
"2008-09-04",6.4237
"2008-09-05",8.9127
"2008-09-06",7.1717
"2008-09-07",13.9234
"2008-09-08",2.369
"2008-09-09",0.0003
"2008-09-10",0.1497
"2008-09-11",0
"2008-09-12",3.2609
"2008-09-13",0
"2008-09-14",0
"2008-09-15",4.0617
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",3.2581
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",5.1577
"2008-09-26",4.0727
"2008-09-27",4.1508
"2008-09-28",5.8006
"2008-09-29",0
"2008-09-30",0
"2008-10-01",5.021
"2008-10-02",5.0316
"2008-10-03",1.5626
"2008-10-04",7.2649
"2008-10-05",10.3478
"2008-10-06",0.9789
"2008-10-07",4.2896
"2008-10-08",2.695
"2008-10-09",3.5744
"2008-10-10",4.7335
"2008-10-11",12.7522
"2008-10-12",27.4548
"2008-10-13",8.3892
"2008-10-14",1.8642
"2008-10-15",7.1721
"2008-10-16",5.1422
"2008-10-17",6.7523
"2008-10-18",13.8589
"2008-10-19",13.7903
"2008-10-20",20.6811
"2008-10-21",11.2409
"2008-10-22",0
"2008-10-23",0
"2008-10-24",1.1552
"2008-10-25",32.4258
"2008-10-26",0
"2008-10-27",1.4205
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0.0515
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",5.2363
"2008-11-08",3.5444
"2008-11-09",4.5026
"2008-11-10",30.9914
"2008-11-11",17.3041
"2008-11-12",10.0359
"2008-11-13",9.8321
"2008-11-14",5.8769
"2008-11-15",4.7598
"2008-11-16",0.4865
"2008-11-17",0.0155
"2008-11-18",2.0347
"2008-11-19",0.0272
"2008-11-20",25.0546
"2008-11-21",9.6028
"2008-11-22",23.0675
"2008-11-23",22.1498
"2008-11-24",20.0403
"2008-11-25",10.3809
"2008-11-26",0.2655
"2008-11-27",0.0204
"2008-11-28",28.5223
"2008-11-29",16.5118
"2008-11-30",0.398
"2008-12-01",0
"2008-12-02",0
"2008-12-03",1.7003
"2008-12-04",0
"2008-12-05",15.7473
"2008-12-06",20.0821
"2008-12-07",28.2678
"2008-12-08",24.1721
"2008-12-09",2.6169
"2008-12-10",9.0772
"2008-12-11",8.1877
"2008-12-12",0.5296
"2008-12-13",0.8018
"2008-12-14",0
"2008-12-15",7.0181
"2008-12-16",2.0819
"2008-12-17",15.6946
"2008-12-18",22.6602
"2008-12-19",0.8496
"2008-12-20",0
"2008-12-21",0.2979
"2008-12-22",0.3271
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",13.6811
"2009-01-07",0.9573
"2009-01-08",9.6895
"2009-01-09",35.1076
"2009-01-10",5.8672
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0.1523
"2009-01-22",0.1657
"2009-01-23",0
"2009-01-24",0.081
"2009-01-25",11.6532
"2009-01-26",0.1481
"2009-01-27",0.4752
"2009-01-28",0
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0.0127
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0.0511
"2009-02-11",2.0451
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0.0424
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.1846
"2009-02-20",0.1522
"2009-02-21",1.6011
"2009-02-22",10.7334
"2009-02-23",7.8876
"2009-02-24",0
"2009-02-25",0
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",20.2656
"2009-03-08",24.9722
"2009-03-09",21.37
"2009-03-10",16.1573
"2009-03-11",10.9456
"2009-03-12",28.5006
"2009-03-13",17.0635
"2009-03-14",24.6746
"2009-03-15",11.1501
"2009-03-16",10.0131
"2009-03-17",6.3755
"2009-03-18",1.9866
"2009-03-19",7.9333
"2009-03-20",17.1195
"2009-03-21",4.5378
"2009-03-22",0.841
"2009-03-23",13.8796
"2009-03-24",10.8667
"2009-03-25",15.0906
"2009-03-26",30.7085
"2009-03-27",26.7108
"2009-03-28",20.0344
"2009-03-29",25.1534
"2009-03-30",21.4575
"2009-03-31",5.4381
"2009-04-01",6.2899
"2009-04-02",5.2206
"2009-04-03",8.558
"2009-04-04",6.9781
"2009-04-05",8.2634
"2009-04-06",6.718
"2009-04-07",4.8358
"2009-04-08",4.3428
"2009-04-09",13.6639
"2009-04-10",19.216
"2009-04-11",14.729
"2009-04-12",3.4699
"2009-04-13",8.7613
"2009-04-14",4.2948
"2009-04-15",0.576
"2009-04-16",0.0131
"2009-04-17",0.2092
"2009-04-18",0.021
"2009-04-19",0.3308
"2009-04-20",2.6791
"2009-04-21",0
"2009-04-22",5.5061
"2009-04-23",8.4652
"2009-04-24",7.3817
"2009-04-25",0
"2009-04-26",2.2367
"2009-04-27",8.1358
"2009-04-28",0
"2009-04-29",0.0207
"2009-04-30",0.0071
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",2.7609
"2009-05-06",3.4926
"2009-05-07",5.4918
"2009-05-08",2.9705
"2009-05-09",0.0986
"2009-05-10",0
"2009-05-11",0
"2009-05-12",4.6537
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0.3591
"2009-05-16",8.2902
"2009-05-17",18.5988
"2009-05-18",7.0736
"2009-05-19",18.0878
"2009-05-20",2.7409
"2009-05-21",10.1341
"2009-05-22",8.7879
"2009-05-23",0.6006
"2009-05-24",26.4537
"2009-05-25",4.8401
"2009-05-26",8.4757
"2009-05-27",2.9087
"2009-05-28",0
"2009-05-29",0
"2009-05-30",8.7728
"2009-05-31",0.301
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",7.4829
"2009-06-06",0.0778
"2009-06-07",0.3276
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",4.6105
"2009-06-12",0.6368
"2009-06-13",9.8119
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0
"2009-06-24",4.3045
"2009-06-25",6.0583
"2009-06-26",0.4168
"2009-06-27",1.9682
"2009-06-28",7.2939
"2009-06-29",11.2526
"2009-06-30",15.8929
"2009-07-01",4.0772
"2009-07-02",0
"2009-07-03",0.2262
"2009-07-04",0
"2009-07-05",1.7321
"2009-07-06",17.8931
"2009-07-07",4.0634
"2009-07-08",0
"2009-07-09",2.0758
"2009-07-10",0
"2009-07-11",0.4999
"2009-07-12",0
"2009-07-13",0
"2009-07-14",12.2273
"2009-07-15",0.0003
"2009-07-16",2.3374
"2009-07-17",8.4589
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0.0442
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0.1586
"2009-07-24",3.0997
"2009-07-25",4.1851
"2009-07-26",1.7184
"2009-07-27",0
"2009-07-28",0.48
"2009-07-29",1.4062
"2009-07-30",5.9086
"2009-07-31",2.6587
"2009-08-01",0.0044
"2009-08-02",5.0778
"2009-08-03",0.4691
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",5.2722
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",3.4717
"2009-08-12",5.6354
"2009-08-13",4.2841
"2009-08-14",4.3663
"2009-08-15",29.3596
"2009-08-16",23.3084
"2009-08-17",7.2707
"2009-08-18",14.9243
"2009-08-19",8.1185
"2009-08-20",13.4748
"2009-08-21",1.4956
"2009-08-22",0.0017
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",2.5397
"2009-08-28",3.9445
"2009-08-29",5.9186
"2009-08-30",6.0098
"2009-08-31",0.3268
"2009-09-01",3.9426
"2009-09-02",9.8193
"2009-09-03",0
"2009-09-04",6.6547
"2009-09-05",0
"2009-09-06",0
"2009-09-07",2.8511
"2009-09-08",0.5251
"2009-09-09",8.3112
"2009-09-10",0
"2009-09-11",2.4261
"2009-09-12",0.621
"2009-09-13",10.1417
"2009-09-14",0.0273
"2009-09-15",0
"2009-09-16",0
"2009-09-17",9.4658
"2009-09-18",29.1505
"2009-09-19",2.4719
"2009-09-20",0
"2009-09-21",9.9952
"2009-09-22",8.3597
"2009-09-23",13.535
"2009-09-24",0.302
"2009-09-25",0.1742
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",0
"2009-09-30",0.3927
"2009-10-01",2.9545
"2009-10-02",0.0158
"2009-10-03",0
"2009-10-04",3.5641
"2009-10-05",0
"2009-10-06",0
"2009-10-07",3.1514
"2009-10-08",0
"2009-10-09",3.1063
"2009-10-10",0.998
"2009-10-11",13.9065
"2009-10-12",9.1174
"2009-10-13",0.6211
"2009-10-14",19.0391
"2009-10-15",5.5947
"2009-10-16",5.941
"2009-10-17",7.6793
"2009-10-18",7.5482
"2009-10-19",3.6976
"2009-10-20",11.9713
"2009-10-21",0.0709
"2009-10-22",1.6228
"2009-10-23",1.005
"2009-10-24",4.1056
"2009-10-25",0.009
"2009-10-26",0.0965
"2009-10-27",4.5363
"2009-10-28",16.2967
"2009-10-29",22.5776
"2009-10-30",4.4116
"2009-10-31",22.2841
"2009-11-01",12.4591
"2009-11-02",15.1409
"2009-11-03",1.6049
"2009-11-04",20.3514
"2009-11-05",16.0826
"2009-11-06",34.4869
"2009-11-07",8.5463
"2009-11-08",29.0958
"2009-11-09",30.9978
"2009-11-10",14.2794
"2009-11-11",9.4575
"2009-11-12",38.0105
"2009-11-13",27.2517
"2009-11-14",29.952
"2009-11-15",30.5709
"2009-11-16",3.3264
"2009-11-17",27.6114
"2009-11-18",19.5248
"2009-11-19",1.5582
"2009-11-20",52.6503
"2009-11-21",7.1258
"2009-11-22",18.5817
"2009-11-23",4.0966
"2009-11-24",0.5518
"2009-11-25",4.8766
"2009-11-26",0
"2009-11-27",0
"2009-11-28",1.63
"2009-11-29",4.2503
"2009-11-30",7.4325
"2009-12-01",28.1004
"2009-12-02",9.4243
"2009-12-03",0
"2009-12-04",0.6462
"2009-12-05",5.6875
"2009-12-06",9.6139
"2009-12-07",3.0736
"2009-12-08",5.2554
"2009-12-09",20.5282
"2009-12-10",27.2171
"2009-12-11",0
"2009-12-12",21.209
"2009-12-13",10.3422
"2009-12-14",41.1342
"2009-12-15",42.2675
"2009-12-16",16.0888
"2009-12-17",8.1356
"2009-12-18",11.0404
"2009-12-19",0.2592
"2009-12-20",0.1059
"2009-12-21",5.3933
"2009-12-22",3.0377
"2009-12-23",1.5126
"2009-12-24",1.999
"2009-12-25",20.2374
"2009-12-26",0
"2009-12-27",12.136
"2009-12-28",3.8651
"2009-12-29",14.2206
"2009-12-30",1.6931
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0.007
"2010-01-03",15.9329
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",23.3139
"2010-01-09",0
"2010-01-10",0
"2010-01-11",0
"2010-01-12",18.2271
"2010-01-13",4.5797
"2010-01-14",0
"2010-01-15",0
"2010-01-16",5.156
"2010-01-17",15.0703
"2010-01-18",30.82
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",11.5829
"2010-01-28",2.8182
"2010-01-29",0.0806
"2010-01-30",3.8737
"2010-01-31",18.8636
"2010-02-01",29.2423
"2010-02-02",5.8987
"2010-02-03",0.9481
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0.0011
"2010-02-07",0.0196
"2010-02-08",0.0349
"2010-02-09",0
"2010-02-10",7.9731
"2010-02-11",13.4404
"2010-02-12",8.2098
"2010-02-13",0
"2010-02-14",0
"2010-02-15",0
"2010-02-16",3.6946
"2010-02-17",0
"2010-02-18",0
"2010-02-19",0.0511
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0.5204
