,"(mm) Precipitation (CHIRPS) at Ampara, 2007-01-01 to 2025-12-31"
"2008-06-17",1.3655
"2008-06-18",0.0803
"2008-06-19",0
"2008-06-20",1.8214
"2008-06-21",1.1139
"2008-06-22",3.2079
"2008-06-23",0.0485
"2008-06-24",0
"2008-06-25",0.0272
"2008-06-26",0.1499
"2008-06-27",0
"2008-06-28",0
"2008-06-29",0.0305
"2008-06-30",0
"2008-07-01",1.5132
"2008-07-02",0
"2008-07-03",0.2255
"2008-07-04",1.7003
"2008-07-05",1.823
"2008-07-06",0.2864
"2008-07-07",0.0164
"2008-07-08",0
"2008-07-09",0.0162
"2008-07-10",0
"2008-07-11",1.2131
"2008-07-12",0.8586
"2008-07-13",0.0735
"2008-07-14",1.3478
"2008-07-15",3.5321
"2008-07-16",0
"2008-07-17",0
"2008-07-18",2.6987
"2008-07-19",0.1949
"2008-07-20",0.5981
"2008-07-21",12.0717
"2008-07-22",2.6343
"2008-07-23",1.8431
"2008-07-24",0
"2008-07-25",0.0742
"2008-07-26",0.0773
"2008-07-27",0.2598
"2008-07-28",0
"2008-07-29",0
"2008-07-30",0.0296
"2008-07-31",0.0332
"2008-08-01",0.9942
"2008-08-02",3.7437
"2008-08-03",1.3654
"2008-08-04",0.0119
"2008-08-05",0.1609
"2008-08-06",0
"2008-08-07",0.2837
"2008-08-08",1.4402
"2008-08-09",0.8274
"2008-08-10",0.1116
"2008-08-11",0.1382
"2008-08-12",1.5652
"2008-08-13",2.9031
"2008-08-14",1.7247
"2008-08-15",0.6288
"2008-08-16",0.2615
"2008-08-17",3.5074
"2008-08-18",1.2893
"2008-08-19",0.9707
"2008-08-20",1.1092
"2008-08-21",3.6632
"2008-08-22",1.832
"2008-08-23",1.3353
"2008-08-24",1.026
"2008-08-25",1.3874
"2008-08-26",1.1845
"2008-08-27",3.0591
"2008-08-28",2.315
"2008-08-29",3.6081
"2008-08-30",5.3462
"2008-08-31",15.0938
"2008-09-01",0.012
"2008-09-02",1.1117
"2008-09-03",0.1063
"2008-09-04",2.6121
"2008-09-05",0.2788
"2008-09-06",2.9358
"2008-09-07",8.7194
"2008-09-08",1.3693
"2008-09-09",0
"2008-09-10",0.3365
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0.1791
"2008-09-14",0
"2008-09-15",0.0978
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",1.2399
"2008-09-26",0.0853
"2008-09-27",0.5531
"2008-09-28",1.9134
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0.2869
"2008-10-03",2.4711
"2008-10-04",2.7121
"2008-10-05",0.4475
"2008-10-06",0
"2008-10-07",0.2539
"2008-10-08",1.3306
"2008-10-09",0.559
"2008-10-10",0.5344
"2008-10-11",23.0896
"2008-10-12",17.6115
"2008-10-13",1.9459
"2008-10-14",2.0314
"2008-10-15",0.9161
"2008-10-16",4.2718
"2008-10-17",6.5212
"2008-10-18",8.9201
"2008-10-19",21.0816
"2008-10-20",17.5833
"2008-10-21",10.9916
"2008-10-22",0
"2008-10-23",0
"2008-10-24",3.5077
"2008-10-25",13.3272
"2008-10-26",0
"2008-10-27",1.2661
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0.0388
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0.2813
"2008-11-08",0
"2008-11-09",7.0409
"2008-11-10",29.4355
"2008-11-11",16.9734
"2008-11-12",13.019
"2008-11-13",11.5394
"2008-11-14",4.5176
"2008-11-15",3.8415
"2008-11-16",0.0825
"2008-11-17",0
"2008-11-18",0.074
"2008-11-19",0.1573
"2008-11-20",17.6959
"2008-11-21",17.2125
"2008-11-22",39.5644
"2008-11-23",23.0392
"2008-11-24",20.2087
"2008-11-25",12.7859
"2008-11-26",0.5725
"2008-11-27",1.0534
"2008-11-28",15.7051
"2008-11-29",7.95
"2008-11-30",0.0897
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",2.0179
"2008-12-05",26.3602
"2008-12-06",36.6734
"2008-12-07",24.5053
"2008-12-08",28.7973
"2008-12-09",2.6356
"2008-12-10",15.1798
"2008-12-11",1.1338
"2008-12-12",2.331
"2008-12-13",0.8055
"2008-12-14",0.1921
"2008-12-15",23.6455
"2008-12-16",7.234
"2008-12-17",21.7073
"2008-12-18",24.6288
"2008-12-19",0.0149
"2008-12-20",0
"2008-12-21",0.0515
"2008-12-22",0
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0.3128
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",19.8945
"2009-01-07",0.5659
"2009-01-08",22.7004
"2009-01-09",42.0998
"2009-01-10",2.2763
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0.0786
"2009-01-21",0.735
"2009-01-22",0.0525
"2009-01-23",0
"2009-01-24",0.0373
"2009-01-25",13.8332
"2009-01-26",2.8936
"2009-01-27",0
"2009-01-28",0
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.3007
"2009-02-20",0.4006
"2009-02-21",2.8005
"2009-02-22",20.9944
"2009-02-23",1.1067
"2009-02-24",0
"2009-02-25",0
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",20.9778
"2009-03-08",39.9046
"2009-03-09",24.4284
"2009-03-10",10.2435
"2009-03-11",3.6573
"2009-03-12",15.7826
"2009-03-13",11.2933
"2009-03-14",17.6195
"2009-03-15",3.7187
"2009-03-16",2.8256
"2009-03-17",0.105
"2009-03-18",0
"2009-03-19",0
"2009-03-20",1.3663
"2009-03-21",0
"2009-03-22",0
"2009-03-23",0.6159
"2009-03-24",9.5579
"2009-03-25",1.0766
"2009-03-26",18.9191
"2009-03-27",18.6999
"2009-03-28",14.4463
"2009-03-29",12.1483
"2009-03-30",5.5447
"2009-03-31",0
"2009-04-01",1.454
"2009-04-02",1.8307
"2009-04-03",3.385
"2009-04-04",11.1906
"2009-04-05",1.6513
"2009-04-06",0.5733
"2009-04-07",0.3031
"2009-04-08",4.3094
"2009-04-09",10.7121
"2009-04-10",20.6
"2009-04-11",11.988
"2009-04-12",3.8625
"2009-04-13",7.7485
"2009-04-14",4.6223
"2009-04-15",0.4221
"2009-04-16",0.0867
"2009-04-17",0.0041
"2009-04-18",0.0215
"2009-04-19",0.4735
"2009-04-20",2.7904
"2009-04-21",0
"2009-04-22",2.774
"2009-04-23",3.4676
"2009-04-24",1.8477
"2009-04-25",0
"2009-04-26",0.4736
"2009-04-27",3.0649
"2009-04-28",0
"2009-04-29",0.9708
"2009-04-30",0.718
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",1.7335
"2009-05-06",0.6326
"2009-05-07",1.6094
"2009-05-08",1.4197
"2009-05-09",1.8772
"2009-05-10",0
"2009-05-11",0
"2009-05-12",0.0081
"2009-05-13",0.0139
"2009-05-14",0
"2009-05-15",0
"2009-05-16",3.1502
"2009-05-17",12.1449
"2009-05-18",0.9497
"2009-05-19",9.2789
"2009-05-20",2.6338
"2009-05-21",6.9006
"2009-05-22",1.4944
"2009-05-23",0.0954
"2009-05-24",5.3251
"2009-05-25",3.0438
"2009-05-26",3.4239
"2009-05-27",0.0132
"2009-05-28",0
"2009-05-29",0
"2009-05-30",2.3672
"2009-05-31",0.2983
"2009-06-01",0.1657
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",0.5783
"2009-06-06",0.2232
"2009-06-07",0.4976
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0.0181
"2009-06-11",3.1896
"2009-06-12",0.1875
"2009-06-13",0.6581
"2009-06-14",0.2092
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0.1518
"2009-06-20",0
"2009-06-21",0.6141
"2009-06-22",0.0025
"2009-06-23",0
"2009-06-24",0.858
"2009-06-25",0.2327
"2009-06-26",0
"2009-06-27",0.3811
"2009-06-28",0.9711
"2009-06-29",3.2539
"2009-06-30",3.1844
"2009-07-01",2.3114
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0.0615
"2009-07-05",1.6953
"2009-07-06",8.4031
"2009-07-07",1.6808
"2009-07-08",0
"2009-07-09",0.0876
"2009-07-10",0
"2009-07-11",0.6451
"2009-07-12",0
"2009-07-13",0
"2009-07-14",6.0705
"2009-07-15",0.0052
"2009-07-16",0.0448
"2009-07-17",3.0672
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0.2943
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",0
"2009-07-25",0.4594
"2009-07-26",0.3745
"2009-07-27",0
"2009-07-28",0.0326
"2009-07-29",0.6574
"2009-07-30",0.4944
"2009-07-31",1.2309
"2009-08-01",0
"2009-08-02",0.8626
"2009-08-03",0.4024
"2009-08-04",0
"2009-08-05",0.03
"2009-08-06",0
"2009-08-07",3.3648
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",1.0623
"2009-08-12",0.792
"2009-08-13",1.2035
"2009-08-14",0.5806
"2009-08-15",26.9379
"2009-08-16",13.8088
"2009-08-17",6.0804
"2009-08-18",10.2819
"2009-08-19",2.6274
"2009-08-20",7.7004
"2009-08-21",2.3955
"2009-08-22",0.1249
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",0
"2009-08-28",0.5225
"2009-08-29",0.801
"2009-08-30",3.4096
"2009-08-31",1.0658
"2009-09-01",0.7507
"2009-09-02",2.6914
"2009-09-03",0.039
"2009-09-04",0.646
"2009-09-05",0.0356
"2009-09-06",0
"2009-09-07",0.0798
"2009-09-08",1.249
"2009-09-09",1.165
"2009-09-10",0.0083
"2009-09-11",0.0419
"2009-09-12",0
"2009-09-13",3.3548
"2009-09-14",0.012
"2009-09-15",0
"2009-09-16",0
"2009-09-17",2.4946
"2009-09-18",12.905
"2009-09-19",0.4771
"2009-09-20",0
"2009-09-21",9.1049
"2009-09-22",2.434
"2009-09-23",2.951
"2009-09-24",0
"2009-09-25",0.0859
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",0.0009
"2009-09-30",0
"2009-10-01",2.0059
"2009-10-02",0.021
"2009-10-03",0
"2009-10-04",0.4701
"2009-10-05",0
"2009-10-06",0
"2009-10-07",2.6516
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0
"2009-10-11",1.6676
"2009-10-12",1.2603
"2009-10-13",1.0263
"2009-10-14",1.4248
"2009-10-15",0
"2009-10-16",4.0934
"2009-10-17",5.2327
"2009-10-18",0
"2009-10-19",2.5061
"2009-10-20",2.8042
"2009-10-21",1.2028
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0
"2009-10-25",0
"2009-10-26",0
"2009-10-27",0.6916
"2009-10-28",2.3946
"2009-10-29",24.6667
"2009-10-30",8.6542
"2009-10-31",27.1762
"2009-11-01",12.8826
"2009-11-02",24.0284
"2009-11-03",13.3577
"2009-11-04",27.7828
"2009-11-05",32.6875
"2009-11-06",23.8759
"2009-11-07",5.5947
"2009-11-08",15.2815
"2009-11-09",6.7321
"2009-11-10",33.1849
"2009-11-11",0.0505
"2009-11-12",38.9587
"2009-11-13",28.1776
"2009-11-14",22.1839
"2009-11-15",23.945
"2009-11-16",1.0062
"2009-11-17",3.3284
"2009-11-18",5.4294
"2009-11-19",11.0626
"2009-11-20",66.8241
"2009-11-21",4.8614
"2009-11-22",2.9145
"2009-11-23",0.5865
"2009-11-24",2.4756
"2009-11-25",0.3534
"2009-11-26",0.0104
"2009-11-27",0
"2009-11-28",1.2756
"2009-11-29",0.0651
"2009-11-30",0
"2009-12-01",11.6159
"2009-12-02",0.3723
"2009-12-03",0
"2009-12-04",8.7095
"2009-12-05",16.6266
"2009-12-06",10.6127
"2009-12-07",5.1596
"2009-12-08",25.6199
"2009-12-09",32.4792
"2009-12-10",51.1196
"2009-12-11",0.0343
"2009-12-12",40.0019
"2009-12-13",7.7457
"2009-12-14",63.3224
"2009-12-15",65.021
"2009-12-16",15.8126
"2009-12-17",1.9193
"2009-12-18",1.4564
"2009-12-19",0.272
"2009-12-20",6.9004
"2009-12-21",26.8123
"2009-12-22",16.4053
"2009-12-23",20.1998
"2009-12-24",2.2938
"2009-12-25",27.6392
"2009-12-26",0
"2009-12-27",16.1088
"2009-12-28",10.7357
"2009-12-29",15.018
"2009-12-30",2.6019
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0.1744
"2010-01-03",7.6238
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",6.549
"2010-01-08",18.5892
"2010-01-09",0
"2010-01-10",0
"2010-01-11",0
"2010-01-12",12.7316
"2010-01-13",2.1325
"2010-01-14",0
"2010-01-15",0
"2010-01-16",10.3455
"2010-01-17",23.8287
"2010-01-18",25.1794
"2010-01-19",2.2432
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",0.9141
"2010-01-28",0
"2010-01-29",10.6986
"2010-01-30",16.4736
"2010-01-31",23.2481
"2010-02-01",18.5646
"2010-02-02",3.4723
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0.6486
"2010-02-08",0
"2010-02-09",0
"2010-02-10",1.3722
"2010-02-11",8.8585
"2010-02-12",17.5853
"2010-02-13",0
"2010-02-14",0
"2010-02-15",0
"2010-02-16",22.0057
"2010-02-17",0.7242
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0.131
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0.187
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0.0195
"2010-03-06",1.471
"2010-03-07",0.0426
"2010-03-08",0
"2010-03-09",0.1842
"2010-03-10",0.0981
"2010-03-11",0
"2010-03-12",2.7654
"2010-03-13",1.0557
"2010-03-14",0
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",1.0413
