,"(deg C) Mean Temperature (ERA5) at Kilinochchi, 2007-01-01 to 2025-12-31"
"2009-04-12",27.7817
"2009-04-13",28.5868
"2009-04-14",29.3026
"2009-04-15",29.8043
"2009-04-16",29.6625
"2009-04-17",29.7344
"2009-04-18",29.8858
"2009-04-19",29.7461
"2009-04-20",29.481
"2009-04-21",29.2897
"2009-04-22",29.3671
"2009-04-23",29.7328
"2009-04-24",29.5852
"2009-04-25",30.0959
"2009-04-26",29.4449
"2009-04-27",29.2869
"2009-04-28",29.1121
"2009-04-29",29.2646
"2009-04-30",29.2454
"2009-05-01",29.581
"2009-05-02",30.1352
"2009-05-03",29.8848
"2009-05-04",29.9672
"2009-05-05",29.6923
"2009-05-06",30.1081
"2009-05-07",30.4327
"2009-05-08",30.2473
"2009-05-09",30.3982
"2009-05-10",30.5944
"2009-05-11",30.5843
"2009-05-12",30.5626
"2009-05-13",30.3726
"2009-05-14",30.6398
"2009-05-15",30.5807
"2009-05-16",30.4339
"2009-05-17",29.6818
"2009-05-18",29.6929
"2009-05-19",28.9213
"2009-05-20",28.4257
"2009-05-21",29.2197
"2009-05-22",29.6632
"2009-05-23",29.3484
"2009-05-24",29.6544
"2009-05-25",29.5145
"2009-05-26",28.8771
"2009-05-27",28.9967
"2009-05-28",29.2291
"2009-05-29",29.5875
"2009-05-30",29.3139
"2009-05-31",28.8474
"2009-06-01",29.2095
"2009-06-02",29.3596
"2009-06-03",29.4022
"2009-06-04",29.4854
"2009-06-05",29.4636
"2009-06-06",29.107
"2009-06-07",29.0205
"2009-06-08",29.0848
"2009-06-09",29.1547
"2009-06-10",29.2768
"2009-06-11",29.1591
"2009-06-12",28.6192
"2009-06-13",28.847
"2009-06-14",29.3388
"2009-06-15",29.3365
"2009-06-16",29.3865
"2009-06-17",29.1938
"2009-06-18",28.724
"2009-06-19",28.9543
"2009-06-20",28.9011
"2009-06-21",29.0192
"2009-06-22",28.7739
"2009-06-23",28.8606
"2009-06-24",29.0294
"2009-06-25",29.2465
"2009-06-26",29.0028
"2009-06-27",29.3298
"2009-06-28",29.5644
"2009-06-29",29.2899
"2009-06-30",29.1719
"2009-07-01",28.8377
"2009-07-02",29.2948
"2009-07-03",28.9999
"2009-07-04",29.4319
"2009-07-05",28.8722
"2009-07-06",28.8483
"2009-07-07",29.4003
"2009-07-08",29.5464
"2009-07-09",28.939
"2009-07-10",28.602
"2009-07-11",28.8993
"2009-07-12",29.0252
"2009-07-13",29.2906
"2009-07-14",29.1822
"2009-07-15",28.9884
"2009-07-16",28.897
"2009-07-17",28.1935
"2009-07-18",28.1541
"2009-07-19",29.0812
"2009-07-20",29.2114
"2009-07-21",29.4882
"2009-07-22",29.0919
"2009-07-23",29.1139
"2009-07-24",29.4784
"2009-07-25",29.5423
"2009-07-26",29.0156
"2009-07-27",28.9383
"2009-07-28",28.6754
"2009-07-29",28.5963
"2009-07-30",28.8802
"2009-07-31",28.4537
"2009-08-01",28.6255
"2009-08-02",29.117
"2009-08-03",29.3839
"2009-08-04",29.158
"2009-08-05",29.3347
"2009-08-06",29.3307
"2009-08-07",29.3817
"2009-08-08",28.8597
"2009-08-09",29.4124
"2009-08-10",29.315
"2009-08-11",29.6555
"2009-08-12",29.7337
"2009-08-13",29.6561
"2009-08-14",29.6365
"2009-08-15",28.6464
"2009-08-16",28.2801
"2009-08-17",27.3547
"2009-08-18",28.168
"2009-08-19",28.0436
"2009-08-20",27.6918
"2009-08-21",27.9481
"2009-08-22",28.0012
"2009-08-23",28.3387
"2009-08-24",28.7829
"2009-08-25",28.906
"2009-08-26",29.0323
"2009-08-27",29.1802
"2009-08-28",28.952
"2009-08-29",29.2595
"2009-08-30",29.1473
"2009-08-31",28.5612
"2009-09-01",28.8563
"2009-09-02",28.6454
"2009-09-03",28.8062
"2009-09-04",29.0677
"2009-09-05",28.9899
"2009-09-06",28.7586
"2009-09-07",29.0857
"2009-09-08",29.0969
"2009-09-09",28.8211
"2009-09-10",28.7902
"2009-09-11",29.2192
"2009-09-12",29.3404
"2009-09-13",29.8148
"2009-09-14",29.2471
"2009-09-15",28.8943
"2009-09-16",28.7292
"2009-09-17",28.3821
"2009-09-18",28.1536
"2009-09-19",28.1695
"2009-09-20",28.6333
"2009-09-21",28.4135
"2009-09-22",28.2845
"2009-09-23",28.4701
"2009-09-24",28.8516
"2009-09-25",29.2423
"2009-09-26",29.1902
"2009-09-27",28.6902
"2009-09-28",28.624
"2009-09-29",28.8903
"2009-09-30",29.2561
"2009-10-01",28.9358
"2009-10-02",28.4712
"2009-10-03",28.6515
"2009-10-04",29.0638
"2009-10-05",28.8563
"2009-10-06",28.6623
"2009-10-07",28.5884
"2009-10-08",28.9293
"2009-10-09",28.6728
"2009-10-10",28.745
"2009-10-11",28.7624
"2009-10-12",28.0308
"2009-10-13",28.0017
"2009-10-14",28.3802
"2009-10-15",28.4792
"2009-10-16",28.7262
"2009-10-17",29.0354
"2009-10-18",29.0178
"2009-10-19",28.613
"2009-10-20",28.9998
"2009-10-21",28.4094
"2009-10-22",28.5225
"2009-10-23",28.5471
"2009-10-24",28.269
"2009-10-25",28.3011
"2009-10-26",28.4171
"2009-10-27",28.5092
"2009-10-28",27.0984
"2009-10-29",26.3393
"2009-10-30",27.478
"2009-10-31",26.7457
"2009-11-01",27.2419
"2009-11-02",26.8726
"2009-11-03",26.5214
"2009-11-04",25.8815
"2009-11-05",26.3677
"2009-11-06",26.4209
"2009-11-07",26.7118
"2009-11-08",26.7545
"2009-11-09",26.7645
"2009-11-10",26.6489
"2009-11-11",27.9823
"2009-11-12",28.4256
"2009-11-13",27.6073
"2009-11-14",26.4603
"2009-11-15",25.9871
"2009-11-16",26.979
"2009-11-17",27.3611
"2009-11-18",26.9752
"2009-11-19",27.3132
"2009-11-20",26.2079
"2009-11-21",26.7096
"2009-11-22",27.113
"2009-11-23",27.1415
"2009-11-24",27.481
"2009-11-25",27.2946
"2009-11-26",27.2524
"2009-11-27",27.6891
"2009-11-28",26.9094
"2009-11-29",26.2873
"2009-11-30",26.0316
"2009-12-01",25.9941
"2009-12-02",26.0661
"2009-12-03",26.8074
"2009-12-04",26.595
"2009-12-05",26.9113
"2009-12-06",27.1083
"2009-12-07",27.4324
"2009-12-08",26.3191
"2009-12-09",27.3393
"2009-12-10",27.3597
"2009-12-11",26.293
"2009-12-12",25.9834
