,"(deg C) Mean Temperature (ERA5) at Mannar, 2007-01-01 to 2025-12-31"
"2007-04-28",28.4783
"2007-04-29",28.591
"2007-04-30",29.2112
"2007-05-01",29.651
"2007-05-02",30.2892
"2007-05-03",29.0802
"2007-05-04",28.9224
"2007-05-05",29.7497
"2007-05-06",29.7589
"2007-05-07",29.525
"2007-05-08",29.6013
"2007-05-09",29.4202
"2007-05-10",29.875
"2007-05-11",29.9776
"2007-05-12",30.15
"2007-05-13",29.7056
"2007-05-14",29.7043
"2007-05-15",29.6028
"2007-05-16",29.5248
"2007-05-17",29.2478
"2007-05-18",29.4156
"2007-05-19",29.5072
"2007-05-20",29.7022
"2007-05-21",29.8587
"2007-05-22",29.6123
"2007-05-23",29.5412
"2007-05-24",29.4521
"2007-05-25",29.6244
"2007-05-26",29.6372
"2007-05-27",29.0816
"2007-05-28",28.6655
"2007-05-29",29.3592
"2007-05-30",29.4454
"2007-05-31",29.5228
"2007-06-01",29.5775
"2007-06-02",29.7101
"2007-06-03",29.8048
"2007-06-04",29.5932
"2007-06-05",29.4852
"2007-06-06",29.1948
"2007-06-07",28.7591
"2007-06-08",28.6473
"2007-06-09",28.9196
"2007-06-10",29.3347
"2007-06-11",29.3014
"2007-06-12",29.3838
"2007-06-13",29.5886
"2007-06-14",28.79
"2007-06-15",28.6316
"2007-06-16",28.7525
"2007-06-17",28.6912
"2007-06-18",28.1725
"2007-06-19",28.3155
"2007-06-20",27.9227
"2007-06-21",27.6643
"2007-06-22",27.3284
"2007-06-23",27.0402
"2007-06-24",27.9175
"2007-06-25",28.2563
"2007-06-26",28.5427
"2007-06-27",28.26
"2007-06-28",28.4297
"2007-06-29",28.3232
"2007-06-30",28.1427
"2007-07-01",28.2434
"2007-07-02",28.0539
"2007-07-03",28.123
"2007-07-04",28.4011
"2007-07-05",28.6555
"2007-07-06",28.784
"2007-07-07",28.7554
"2007-07-08",28.5485
"2007-07-09",28.4446
"2007-07-10",28.1861
"2007-07-11",28.0256
"2007-07-12",28.1106
"2007-07-13",28.1287
"2007-07-14",28.2717
"2007-07-15",28.2573
"2007-07-16",28.4943
"2007-07-17",28.264
"2007-07-18",28.1817
"2007-07-19",27.8189
"2007-07-20",27.4908
"2007-07-21",27.7331
"2007-07-22",27.6088
"2007-07-23",27.4132
"2007-07-24",26.5748
"2007-07-25",27.1102
"2007-07-26",27.1308
"2007-07-27",27.3524
"2007-07-28",27.3463
"2007-07-29",27.178
"2007-07-30",27.0792
"2007-07-31",27.2151
"2007-08-01",27.1179
"2007-08-02",27.2783
"2007-08-03",27.4982
"2007-08-04",27.8507
"2007-08-05",27.7695
"2007-08-06",28.1188
"2007-08-07",28.4416
"2007-08-08",28.5178
"2007-08-09",28.5309
"2007-08-10",28.4199
"2007-08-11",28.2516
"2007-08-12",28.3578
"2007-08-13",28.1529
"2007-08-14",28.1719
"2007-08-15",28.0256
"2007-08-16",28.0453
"2007-08-17",28.0163
"2007-08-18",28.0575
"2007-08-19",28.0028
"2007-08-20",28.2754
"2007-08-21",28.1058
"2007-08-22",28.0521
"2007-08-23",28.2566
"2007-08-24",27.7297
"2007-08-25",27.4513
"2007-08-26",27.9529
"2007-08-27",28.2049
"2007-08-28",28.1902
"2007-08-29",27.9092
"2007-08-30",27.5585
"2007-08-31",27.6748
"2007-09-01",28.2751
"2007-09-02",28.1621
"2007-09-03",28.2735
"2007-09-04",28.359
"2007-09-05",28.419
"2007-09-06",28.4026
"2007-09-07",28.6634
"2007-09-08",28.1139
"2007-09-09",27.1116
"2007-09-10",27.7473
"2007-09-11",27.838
"2007-09-12",27.697
"2007-09-13",28.5311
"2007-09-14",28.0157
"2007-09-15",28.4227
"2007-09-16",28.321
"2007-09-17",28.4135
"2007-09-18",28.4612
"2007-09-19",28.6512
"2007-09-20",28.4771
"2007-09-21",28.6237
"2007-09-22",28.4015
"2007-09-23",28.2822
"2007-09-24",28.5097
"2007-09-25",28.5572
"2007-09-26",28.6494
"2007-09-27",28.4738
"2007-09-28",28.0853
"2007-09-29",28.5721
"2007-09-30",28.4335
"2007-10-01",28.3774
"2007-10-02",28.1679
"2007-10-03",28.4903
"2007-10-04",28.535
"2007-10-05",28.219
"2007-10-06",28.3699
"2007-10-07",28.2699
"2007-10-08",28.1323
"2007-10-09",28.3955
"2007-10-10",28.2059
"2007-10-11",27.3692
"2007-10-12",27.7486
"2007-10-13",27.9429
"2007-10-14",27.0845
"2007-10-15",26.9581
"2007-10-16",26.8434
"2007-10-17",26.2108
"2007-10-18",25.9389
"2007-10-19",26.5309
"2007-10-20",25.6592
"2007-10-21",26.3988
"2007-10-22",25.8593
"2007-10-23",25.639
"2007-10-24",26.2288
"2007-10-25",26.4438
"2007-10-26",25.7156
"2007-10-27",25.9315
"2007-10-28",27.061
"2007-10-29",27.8305
"2007-10-30",27.8027
"2007-10-31",28.025
"2007-11-01",26.7233
"2007-11-02",26.4126
"2007-11-03",26.4581
"2007-11-04",26.3807
"2007-11-05",26.9703
"2007-11-06",26.2817
"2007-11-07",26.5758
"2007-11-08",26.5784
"2007-11-09",26.9317
"2007-11-10",26.7137
"2007-11-11",26.1844
"2007-11-12",26.4177
"2007-11-13",26.9719
"2007-11-14",26.9882
"2007-11-15",26.5756
"2007-11-16",25.9708
"2007-11-17",25.7078
"2007-11-18",26.3227
"2007-11-19",25.9372
"2007-11-20",26.2966
"2007-11-21",26.0014
"2007-11-22",25.8855
"2007-11-23",25.9884
"2007-11-24",26.3018
"2007-11-25",25.5728
"2007-11-26",26.2169
"2007-11-27",26.5379
"2007-11-28",26.2315
"2007-11-29",26.419
"2007-11-30",26.3236
"2007-12-01",26.0684
"2007-12-02",26.481
"2007-12-03",26.6528
"2007-12-04",26.2497
"2007-12-05",26.6261
"2007-12-06",26.3684
"2007-12-07",26.4708
"2007-12-08",25.9401
"2007-12-09",26.1632
"2007-12-10",26.4133
"2007-12-11",26.5507
"2007-12-12",25.7112
"2007-12-13",25.0038
"2007-12-14",25.5057
"2007-12-15",25.3138
"2007-12-16",26.1269
"2007-12-17",25.5685
"2007-12-18",26.2733
"2007-12-19",25.6719
"2007-12-20",25.6816
"2007-12-21",25.7742
"2007-12-22",25.8662
"2007-12-23",25.4405
"2007-12-24",24.7997
"2007-12-25",24.3383
"2007-12-26",24.5872
"2007-12-27",25.2422
"2007-12-28",25.0143
"2007-12-29",25.05
"2007-12-30",25.4392
"2007-12-31",25.3254
"2008-01-01",25.3353
"2008-01-02",25.6334
"2008-01-03",25.4094
"2008-01-04",25.641
"2008-01-05",25.4377
"2008-01-06",25.2701
"2008-01-07",25.602
"2008-01-08",25.7615
"2008-01-09",25.6838
"2008-01-10",25.8856
"2008-01-11",25.8156
"2008-01-12",25.8927
"2008-01-13",25.3784
"2008-01-14",25.3664
"2008-01-15",25.3642
"2008-01-16",25.6376
"2008-01-17",25.0792
"2008-01-18",24.6527
"2008-01-19",24.7646
"2008-01-20",25.7011
"2008-01-21",26.2042
"2008-01-22",26.0449
"2008-01-23",25.83
"2008-01-24",25.8227
"2008-01-25",26.1272
"2008-01-26",26.233
"2008-01-27",26.4879
"2008-01-28",26.3159
"2008-01-29",26.4544
"2008-01-30",26.2981
"2008-01-31",26.7974
"2008-02-01",26.7973
"2008-02-02",26.6712
"2008-02-03",27.0961
"2008-02-04",26.9725
"2008-02-05",27.1134
"2008-02-06",26.3585
"2008-02-07",25.4053
"2008-02-08",25.886
"2008-02-09",26.6362
"2008-02-10",26.9661
"2008-02-11",27.1713
"2008-02-12",26.8507
"2008-02-13",26.3807
"2008-02-14",26.9155
"2008-02-15",27.1246
"2008-02-16",27.2039
"2008-02-17",26.6717
"2008-02-18",25.9338
"2008-02-19",25.9427
"2008-02-20",27.0289
"2008-02-21",27.3401
"2008-02-22",27.1589
"2008-02-23",26.4547
"2008-02-24",25.8791
"2008-02-25",25.5667
"2008-02-26",27.1579
"2008-02-27",25.9344
"2008-02-28",26.5803
"2008-02-29",25.4697
"2008-03-01",26.8301
"2008-03-02",27.144
"2008-03-03",26.821
"2008-03-04",26.4404
"2008-03-05",26.7122
"2008-03-06",26.0865
"2008-03-07",26.55
"2008-03-08",26.9409
"2008-03-09",26.4459
"2008-03-10",25.7514
"2008-03-11",24.9661
"2008-03-12",25.5812
"2008-03-13",26.1053
"2008-03-14",26.4008
"2008-03-15",25.9084
"2008-03-16",25.9311
"2008-03-17",25.9267
"2008-03-18",26.0707
"2008-03-19",26.1519
"2008-03-20",26.1117
"2008-03-21",26.7133
"2008-03-22",26.8142
"2008-03-23",27.2945
"2008-03-24",27.1943
"2008-03-25",27.6631
"2008-03-26",27.6984
"2008-03-27",27.8169
"2008-03-28",28.0394
"2008-03-29",27.9062
"2008-03-30",27.7014
"2008-03-31",27.6474
"2008-04-01",27.9185
"2008-04-02",26.9699
"2008-04-03",27.8504
"2008-04-04",27.5957
"2008-04-05",27.8856
"2008-04-06",27.7154
"2008-04-07",27.0517
"2008-04-08",26.4195
"2008-04-09",26.1644
"2008-04-10",26.3389
"2008-04-11",26.7068
"2008-04-12",27.3519
"2008-04-13",27.9807
"2008-04-14",28.1435
"2008-04-15",28.0126
"2008-04-16",27.843
"2008-04-17",28.2388
"2008-04-18",28.5636
"2008-04-19",28.8593
"2008-04-20",28.7905
"2008-04-21",29.2754
"2008-04-22",29.3986
"2008-04-23",29.3851
"2008-04-24",28.9315
"2008-04-25",28.1522
"2008-04-26",27.3866
"2008-04-27",28.3591
"2008-04-28",28.9488
"2008-04-29",29.4163
"2008-04-30",29.3718
"2008-05-01",29.3375
"2008-05-02",29.163
"2008-05-03",28.8811
"2008-05-04",29.0243
"2008-05-05",28.972
"2008-05-06",29.0572
"2008-05-07",29.0813
"2008-05-08",28.9854
"2008-05-09",28.7313
"2008-05-10",28.7995
"2008-05-11",29.1391
"2008-05-12",28.5219
"2008-05-13",28.9795
"2008-05-14",29.1655
"2008-05-15",29.2621
"2008-05-16",29.4306
"2008-05-17",29.473
"2008-05-18",29.5138
"2008-05-19",29.2856
"2008-05-20",29.1218
"2008-05-21",29.0936
"2008-05-22",29.0141
"2008-05-23",28.6793
"2008-05-24",28.8858
"2008-05-25",29.0149
"2008-05-26",28.4802
"2008-05-27",28.7342
"2008-05-28",28.9799
"2008-05-29",28.6732
"2008-05-30",28.6651
"2008-05-31",29.0794
"2008-06-01",28.3184
"2008-06-02",28.3876
"2008-06-03",28.1375
"2008-06-04",29.2203
"2008-06-05",29.6138
"2008-06-06",29.434
"2008-06-07",28.8025
"2008-06-08",28.9829
"2008-06-09",29.2603
"2008-06-10",29.0124
"2008-06-11",29.2004
"2008-06-12",29.1406
"2008-06-13",29.396
"2008-06-14",29.2287
"2008-06-15",29.3084
"2008-06-16",29.0983
"2008-06-17",28.8597
"2008-06-18",28.6349
"2008-06-19",28.8479
"2008-06-20",28.9493
"2008-06-21",28.519
"2008-06-22",28.7528
"2008-06-23",28.7185
"2008-06-24",29.0777
"2008-06-25",28.7848
"2008-06-26",28.9528
"2008-06-27",28.6962
"2008-06-28",28.5317
"2008-06-29",28.5189
"2008-06-30",28.8644
"2008-07-01",28.0116
"2008-07-02",28.938
"2008-07-03",29.1992
"2008-07-04",28.9673
"2008-07-05",28.809
"2008-07-06",28.7398
"2008-07-07",28.7126
"2008-07-08",29.0329
"2008-07-09",28.9945
"2008-07-10",28.7859
"2008-07-11",28.592
"2008-07-12",28.6761
"2008-07-13",28.8285
"2008-07-14",28.5452
"2008-07-15",27.7347
"2008-07-16",28.2119
"2008-07-17",28.231
"2008-07-18",28.6772
"2008-07-19",27.6748
"2008-07-20",28.0095
"2008-07-21",27.8442
"2008-07-22",28.0521
"2008-07-23",27.9414
"2008-07-24",28.1895
"2008-07-25",28.3608
"2008-07-26",27.959
"2008-07-27",27.7432
"2008-07-28",27.088
"2008-07-29",27.4028
"2008-07-30",27.5161
"2008-07-31",27.8032
"2008-08-01",28.2463
"2008-08-02",28.1846
"2008-08-03",28.2898
"2008-08-04",28.3398
"2008-08-05",28.0915
"2008-08-06",27.9004
"2008-08-07",27.9547
"2008-08-08",27.7406
"2008-08-09",27.8946
"2008-08-10",28.0854
"2008-08-11",27.9342
"2008-08-12",27.9078
"2008-08-13",28.2744
"2008-08-14",28.1902
"2008-08-15",27.982
"2008-08-16",27.9811
"2008-08-17",27.8933
"2008-08-18",27.8553
"2008-08-19",28.0225
"2008-08-20",28.1823
"2008-08-21",28.1753
"2008-08-22",28.3758
"2008-08-23",28.3314
"2008-08-24",28.3579
"2008-08-25",27.7728
"2008-08-26",27.3128
"2008-08-27",27.1558
"2008-08-28",27.1527
"2008-08-29",26.9988
"2008-08-30",26.7327
"2008-08-31",26.7021
"2008-09-01",27.9152
"2008-09-02",28.1204
"2008-09-03",28.1663
"2008-09-04",27.6006
"2008-09-05",27.7167
"2008-09-06",27.4464
"2008-09-07",27.5998
"2008-09-08",28.0512
"2008-09-09",28.4828
"2008-09-10",28.688
"2008-09-11",28.5192
"2008-09-12",28.6205
"2008-09-13",28.6247
"2008-09-14",28.5857
"2008-09-15",28.3821
"2008-09-16",28.4889
"2008-09-17",28.7525
"2008-09-18",28.6835
"2008-09-19",28.3311
"2008-09-20",28.0355
"2008-09-21",28.0933
"2008-09-22",28.2353
"2008-09-23",28.2644
"2008-09-24",28.2879
"2008-09-25",28.2735
"2008-09-26",28.5174
"2008-09-27",28.6749
"2008-09-28",28.3396
"2008-09-29",28.0951
"2008-09-30",28.3397
"2008-10-01",28.3946
"2008-10-02",28.2503
"2008-10-03",28.4903
"2008-10-04",28.1005
"2008-10-05",28.5125
"2008-10-06",28.7457
"2008-10-07",28.3128
"2008-10-08",28.5689
"2008-10-09",28.2173
"2008-10-10",28.6207
"2008-10-11",27.6824
"2008-10-12",26.2955
"2008-10-13",26.5709
"2008-10-14",26.5184
"2008-10-15",27.2545
"2008-10-16",27.0349
"2008-10-17",26.8622
"2008-10-18",26.7477
"2008-10-19",26.7726
"2008-10-20",26.4758
"2008-10-21",25.8215
"2008-10-22",26.712
"2008-10-23",26.5237
"2008-10-24",26.2751
"2008-10-25",27.5412
"2008-10-26",27.6636
"2008-10-27",27.826
"2008-10-28",27.471
"2008-10-29",27.145
"2008-10-30",26.842
"2008-10-31",26.5137
"2008-11-01",26.618
"2008-11-02",26.8124
"2008-11-03",27.0542
"2008-11-04",26.7148
"2008-11-05",26.5523
"2008-11-06",26.9319
"2008-11-07",27.0079
"2008-11-08",26.9844
"2008-11-09",27.3664
"2008-11-10",27.073
"2008-11-11",26.3868
"2008-11-12",25.9188
"2008-11-13",26.2741
"2008-11-14",26.9078
"2008-11-15",27.1987
"2008-11-16",27.4148
"2008-11-17",27.3601
"2008-11-18",27.5454
"2008-11-19",26.5023
"2008-11-20",26.1294
"2008-11-21",26.145
"2008-11-22",25.8508
"2008-11-23",25.5758
"2008-11-24",25.2751
"2008-11-25",25.6693
"2008-11-26",26.285
"2008-11-27",26.6759
"2008-11-28",27.1382
"2008-11-29",25.7505
"2008-11-30",26.3723
"2008-12-01",26.7112
"2008-12-02",25.8676
"2008-12-03",26.2121
"2008-12-04",26.5068
"2008-12-05",26.6324
"2008-12-06",25.4139
"2008-12-07",25.5708
"2008-12-08",25.959
"2008-12-09",26.0535
"2008-12-10",26.1096
"2008-12-11",25.9872
"2008-12-12",25.879
"2008-12-13",25.693
"2008-12-14",25.4176
"2008-12-15",25.2322
"2008-12-16",25.457
"2008-12-17",25.3843
"2008-12-18",25.1879
"2008-12-19",26.0746
"2008-12-20",25.893
"2008-12-21",25.4289
"2008-12-22",25.8984
"2008-12-23",25.3493
"2008-12-24",25.8578
"2008-12-25",26.381
"2008-12-26",26.1707
"2008-12-27",25.6603
"2008-12-28",25.619
"2008-12-29",25.5819
"2008-12-30",25.3657
"2008-12-31",24.9572
"2009-01-01",25.3286
"2009-01-02",25.3785
"2009-01-03",25.64
"2009-01-04",25.4574
"2009-01-05",25.6183
"2009-01-06",25.101
"2009-01-07",25.7031
"2009-01-08",26.1165
"2009-01-09",24.7446
"2009-01-10",25.1304
"2009-01-11",25.782
"2009-01-12",25.378
"2009-01-13",25.4708
"2009-01-14",25.0783
"2009-01-15",25.3177
"2009-01-16",25.3149
"2009-01-17",25.5061
"2009-01-18",25.7704
"2009-01-19",25.1288
"2009-01-20",25.4282
"2009-01-21",25.0572
"2009-01-22",25.2805
"2009-01-23",24.7495
"2009-01-24",24.8498
"2009-01-25",25.4098
"2009-01-26",25.5455
"2009-01-27",26.0467
"2009-01-28",26.1264
"2009-01-29",25.7833
"2009-01-30",25.2984
"2009-01-31",25.5148
"2009-02-01",25.2416
"2009-02-02",24.996
"2009-02-03",25.7005
"2009-02-04",25.8449
"2009-02-05",25.5215
"2009-02-06",25.2169
"2009-02-07",25.7729
"2009-02-08",25.9036
"2009-02-09",25.6918
"2009-02-10",25.2204
"2009-02-11",25.4786
"2009-02-12",24.759
"2009-02-13",24.7955
"2009-02-14",25.3068
"2009-02-15",25.1435
"2009-02-16",25.4593
"2009-02-17",26.1423
"2009-02-18",26.1118
"2009-02-19",26.1862
"2009-02-20",27.04
"2009-02-21",27.3907
"2009-02-22",27.2905
"2009-02-23",26.9654
"2009-02-24",27.4976
"2009-02-25",27.6033
"2009-02-26",27.8815
"2009-02-27",27.5378
"2009-02-28",27.6638
"2009-03-01",27.8817
"2009-03-02",27.5499
"2009-03-03",27.404
"2009-03-04",27.4703
"2009-03-05",27.9173
"2009-03-06",28.2196
"2009-03-07",28.02
"2009-03-08",27.669
"2009-03-09",25.516
"2009-03-10",26.2209
"2009-03-11",26.6839
"2009-03-12",27.091
"2009-03-13",27.0989
"2009-03-14",27.2229
"2009-03-15",27.2084
"2009-03-16",27.3905
"2009-03-17",27.2147
"2009-03-18",27.6309
"2009-03-19",27.9274
"2009-03-20",28.2106
"2009-03-21",28.2363
"2009-03-22",28.5416
"2009-03-23",28.7698
"2009-03-24",27.4668
"2009-03-25",27.9357
"2009-03-26",28.036
"2009-03-27",28.0216
"2009-03-28",28.2217
"2009-03-29",28.3668
"2009-03-30",28.1661
"2009-03-31",29.1316
"2009-04-01",29.2425
"2009-04-02",29.1249
"2009-04-03",29.2538
"2009-04-04",28.4911
"2009-04-05",28.4322
"2009-04-06",29.2346
"2009-04-07",29.3543
"2009-04-08",28.284
"2009-04-09",28.2742
"2009-04-10",26.8114
"2009-04-11",26.5634
"2009-04-12",27.7852
"2009-04-13",28.8
"2009-04-14",29.332
"2009-04-15",29.8379
"2009-04-16",29.6567
"2009-04-17",29.7181
"2009-04-18",29.6999
"2009-04-19",29.5449
"2009-04-20",29.3185
"2009-04-21",29.197
"2009-04-22",29.1249
"2009-04-23",29.6294
"2009-04-24",29.5383
"2009-04-25",29.6053
"2009-04-26",29.0638
"2009-04-27",28.8842
"2009-04-28",28.7411
"2009-04-29",28.9246
"2009-04-30",29.0654
"2009-05-01",29.4777
"2009-05-02",29.8828
"2009-05-03",29.6411
"2009-05-04",29.5744
"2009-05-05",29.4913
"2009-05-06",29.7153
"2009-05-07",30.0532
"2009-05-08",29.8655
"2009-05-09",30.1163
"2009-05-10",30.304
"2009-05-11",30.2813
"2009-05-12",30.2678
"2009-05-13",30.0916
"2009-05-14",30.3064
"2009-05-15",30.3172
"2009-05-16",29.8687
"2009-05-17",29.3221
"2009-05-18",29.1157
"2009-05-19",28.257
"2009-05-20",28.1884
"2009-05-21",28.8351
"2009-05-22",29.1322
"2009-05-23",28.9091
"2009-05-24",29.0535
"2009-05-25",28.9953
"2009-05-26",28.5131
"2009-05-27",28.6317
"2009-05-28",28.7589
"2009-05-29",29.1296
"2009-05-30",28.68
"2009-05-31",28.2934
"2009-06-01",28.7049
"2009-06-02",28.9795
"2009-06-03",29.0303
"2009-06-04",28.988
"2009-06-05",28.6231
"2009-06-06",28.4239
"2009-06-07",28.3149
"2009-06-08",28.4115
"2009-06-09",28.6107
"2009-06-10",28.7682
"2009-06-11",28.4773
"2009-06-12",28.1211
"2009-06-13",28.4601
"2009-06-14",28.7774
"2009-06-15",28.7517
"2009-06-16",28.8225
"2009-06-17",28.5968
"2009-06-18",28.1883
"2009-06-19",28.286
"2009-06-20",28.4239
"2009-06-21",28.5599
"2009-06-22",28.2701
"2009-06-23",28.2646
"2009-06-24",28.2492
"2009-06-25",28.5337
"2009-06-26",28.2687
"2009-06-27",28.5011
"2009-06-28",28.7795
"2009-06-29",28.4816
"2009-06-30",28.4708
"2009-07-01",28.4829
"2009-07-02",28.7107
"2009-07-03",28.9239
"2009-07-04",28.7341
"2009-07-05",28.3648
"2009-07-06",28.3914
"2009-07-07",28.7571
"2009-07-08",28.8552
"2009-07-09",28.3517
"2009-07-10",28.1858
"2009-07-11",28.2744
"2009-07-12",28.4565
"2009-07-13",28.5908
"2009-07-14",28.3494
"2009-07-15",28.131
"2009-07-16",27.8718
"2009-07-17",27.2378
"2009-07-18",28.0788
"2009-07-19",28.4666
"2009-07-20",28.5218
"2009-07-21",28.7866
"2009-07-22",28.4289
"2009-07-23",28.5153
"2009-07-24",28.6671
"2009-07-25",28.7427
"2009-07-26",28.303
"2009-07-27",28.2801
"2009-07-28",28.1132
"2009-07-29",28.0621
"2009-07-30",28.3134
"2009-07-31",27.963
"2009-08-01",28.2816
"2009-08-02",28.4011
"2009-08-03",28.6161
"2009-08-04",28.5149
"2009-08-05",28.7239
"2009-08-06",28.6657
"2009-08-07",28.5545
"2009-08-08",28.314
"2009-08-09",28.6129
"2009-08-10",28.579
"2009-08-11",28.7423
"2009-08-12",28.8393
"2009-08-13",28.8722
"2009-08-14",28.7289
"2009-08-15",27.916
"2009-08-16",27.6209
"2009-08-17",26.7107
"2009-08-18",27.4428
"2009-08-19",27.336
"2009-08-20",26.8007
"2009-08-21",27.3925
"2009-08-22",27.404
"2009-08-23",27.6035
"2009-08-24",28.1345
"2009-08-25",28.3466
"2009-08-26",28.4015
"2009-08-27",28.5939
"2009-08-28",28.4528
"2009-08-29",28.7006
"2009-08-30",28.6159
"2009-08-31",28.0854
"2009-09-01",28.0862
"2009-09-02",27.9942
"2009-09-03",28.2359
"2009-09-04",28.4529
"2009-09-05",28.2828
"2009-09-06",28.1623
"2009-09-07",28.4914
"2009-09-08",28.5384
"2009-09-09",28.3607
"2009-09-10",28.3106
"2009-09-11",28.4618
"2009-09-12",28.6431
"2009-09-13",28.807
"2009-09-14",28.5668
"2009-09-15",28.5412
"2009-09-16",28.4577
"2009-09-17",28.1575
"2009-09-18",27.6489
"2009-09-19",27.7586
"2009-09-20",28.2389
"2009-09-21",27.7141
"2009-09-22",27.7861
"2009-09-23",28.0706
"2009-09-24",28.4502
"2009-09-25",28.6936
"2009-09-26",28.6306
"2009-09-27",28.2107
"2009-09-28",28.2255
"2009-09-29",28.2633
"2009-09-30",28.558
"2009-10-01",28.1457
"2009-10-02",27.8192
"2009-10-03",27.8578
"2009-10-04",28.3856
"2009-10-05",28.2821
"2009-10-06",28.21
"2009-10-07",27.9128
"2009-10-08",28.2202
"2009-10-09",28.167
"2009-10-10",28.0373
"2009-10-11",28.1765
"2009-10-12",27.4476
"2009-10-13",27.3567
"2009-10-14",27.6345
"2009-10-15",27.9203
"2009-10-16",27.9423
"2009-10-17",28.154
"2009-10-18",28.7177
"2009-10-19",28.0243
"2009-10-20",28.4201
"2009-10-21",28.1432
"2009-10-22",28.1925
"2009-10-23",28.5624
"2009-10-24",28.2387
"2009-10-25",28.4809
"2009-10-26",28.5194
"2009-10-27",28.7834
"2009-10-28",27.0428
"2009-10-29",26.2642
"2009-10-30",27.6243
"2009-10-31",27.0268
"2009-11-01",27.4041
"2009-11-02",27.1323
"2009-11-03",26.5906
"2009-11-04",25.5543
"2009-11-05",26.2139
"2009-11-06",26.4789
"2009-11-07",26.6161
"2009-11-08",26.4566
"2009-11-09",26.3174
"2009-11-10",26.7525
"2009-11-11",27.8677
"2009-11-12",27.7684
"2009-11-13",27.2044
"2009-11-14",26.2554
"2009-11-15",26.0233
"2009-11-16",26.6736
"2009-11-17",27.05
"2009-11-18",26.6132
"2009-11-19",26.7706
"2009-11-20",25.6573
"2009-11-21",25.8619
"2009-11-22",26.5116
"2009-11-23",26.9375
"2009-11-24",26.649
"2009-11-25",26.7258
"2009-11-26",26.7248
"2009-11-27",27.0406
"2009-11-28",26.5776
"2009-11-29",26.1575
"2009-11-30",25.7702
"2009-12-01",25.6345
"2009-12-02",25.9549
"2009-12-03",26.4859
"2009-12-04",26.5026
"2009-12-05",26.692
"2009-12-06",26.6377
"2009-12-07",26.9192
"2009-12-08",26.0313
"2009-12-09",26.9514
"2009-12-10",27.1004
"2009-12-11",26.3291
"2009-12-12",25.7929
"2009-12-13",25.702
"2009-12-14",25.7702
