,"(deg C) Mean Temperature (ERA5) at Mullaitivu, 2007-01-01 to 2025-12-31"
"2007-04-29",28.8044
"2007-04-30",29.3898
"2007-05-01",29.9771
"2007-05-02",30.786
"2007-05-03",28.8295
"2007-05-04",28.8106
"2007-05-05",29.9182
"2007-05-06",30.1676
"2007-05-07",30.0951
"2007-05-08",30.2689
"2007-05-09",29.8351
"2007-05-10",30.5454
"2007-05-11",30.8408
"2007-05-12",31.0125
"2007-05-13",30.2215
"2007-05-14",30.3728
"2007-05-15",30.4096
"2007-05-16",30.4148
"2007-05-17",29.9461
"2007-05-18",30.2447
"2007-05-19",30.4067
"2007-05-20",30.564
"2007-05-21",30.8624
"2007-05-22",30.7116
"2007-05-23",30.477
"2007-05-24",30.4394
"2007-05-25",30.6938
"2007-05-26",30.6626
"2007-05-27",30.4792
"2007-05-28",29.3209
"2007-05-29",30.3054
"2007-05-30",30.6481
"2007-05-31",30.8306
"2007-06-01",30.8568
"2007-06-02",31.012
"2007-06-03",31.1935
"2007-06-04",30.5849
"2007-06-05",30.5109
"2007-06-06",30.2542
"2007-06-07",29.6208
"2007-06-08",29.4731
"2007-06-09",29.9236
"2007-06-10",30.4784
"2007-06-11",30.4655
"2007-06-12",30.4404
"2007-06-13",30.3713
"2007-06-14",29.0783
"2007-06-15",28.7852
"2007-06-16",28.9243
"2007-06-17",29.0176
"2007-06-18",28.4242
"2007-06-19",28.5967
"2007-06-20",28.5194
"2007-06-21",28.2427
"2007-06-22",27.8932
"2007-06-23",27.4675
"2007-06-24",29.0414
"2007-06-25",29.648
"2007-06-26",29.771
"2007-06-27",29.077
"2007-06-28",29.4738
"2007-06-29",29.7399
"2007-06-30",29.5823
"2007-07-01",29.9065
"2007-07-02",29.5821
"2007-07-03",29.6731
"2007-07-04",29.7976
"2007-07-05",29.9735
"2007-07-06",30.3079
"2007-07-07",30.2666
"2007-07-08",29.9266
"2007-07-09",29.9743
"2007-07-10",29.5695
"2007-07-11",29.3101
"2007-07-12",29.6067
"2007-07-13",29.516
"2007-07-14",29.776
"2007-07-15",29.7989
"2007-07-16",30.2275
"2007-07-17",30.0195
"2007-07-18",29.5689
"2007-07-19",28.5948
"2007-07-20",28.1769
"2007-07-21",28.6656
"2007-07-22",28.2107
"2007-07-23",27.5553
"2007-07-24",26.8823
"2007-07-25",27.8261
"2007-07-26",28.0608
"2007-07-27",28.3876
"2007-07-28",28.5545
"2007-07-29",27.9756
"2007-07-30",27.8832
"2007-07-31",28.1687
"2007-08-01",28.0909
"2007-08-02",28.2293
"2007-08-03",28.2964
"2007-08-04",29.0839
"2007-08-05",29.1235
"2007-08-06",29.4733
"2007-08-07",30.0242
"2007-08-08",30.0697
"2007-08-09",30.0625
"2007-08-10",29.5704
"2007-08-11",29.4279
"2007-08-12",29.7107
"2007-08-13",29.541
"2007-08-14",29.7408
"2007-08-15",29.5313
"2007-08-16",29.6067
"2007-08-17",29.4314
"2007-08-18",29.45
"2007-08-19",29.3881
"2007-08-20",29.9169
"2007-08-21",29.2553
"2007-08-22",29.0336
"2007-08-23",29.2784
"2007-08-24",28.3872
"2007-08-25",27.8026
"2007-08-26",28.8515
"2007-08-27",29.054
"2007-08-28",29.2663
"2007-08-29",28.8159
"2007-08-30",28.1027
"2007-08-31",28.4719
"2007-09-01",29.1888
"2007-09-02",29.2147
"2007-09-03",29.2032
"2007-09-04",29.4308
"2007-09-05",29.4719
"2007-09-06",28.8961
"2007-09-07",29.6908
"2007-09-08",28.8876
"2007-09-09",27.2554
"2007-09-10",28.5419
"2007-09-11",28.8733
"2007-09-12",28.397
"2007-09-13",29.4791
"2007-09-14",28.3308
"2007-09-15",29.303
"2007-09-16",29.0375
"2007-09-17",29.1789
"2007-09-18",29.5718
"2007-09-19",29.8776
"2007-09-20",29.52
"2007-09-21",29.7203
"2007-09-22",29.6253
"2007-09-23",29.401
"2007-09-24",29.806
"2007-09-25",29.9917
"2007-09-26",29.9611
"2007-09-27",29.353
"2007-09-28",28.577
"2007-09-29",29.5341
"2007-09-30",29.3706
"2007-10-01",29.2722
"2007-10-02",29.0486
"2007-10-03",29.6443
"2007-10-04",29.7764
"2007-10-05",29.4219
"2007-10-06",29.5938
"2007-10-07",29.3415
"2007-10-08",29.0129
"2007-10-09",29.5607
"2007-10-10",29.1752
"2007-10-11",27.7493
"2007-10-12",28.2632
"2007-10-13",28.5438
"2007-10-14",27.3407
"2007-10-15",27.0814
"2007-10-16",27.0257
"2007-10-17",26.2325
"2007-10-18",25.7559
"2007-10-19",26.8539
"2007-10-20",25.3132
"2007-10-21",25.4618
"2007-10-22",24.9527
"2007-10-23",25.0842
"2007-10-24",26.1891
"2007-10-25",26.694
"2007-10-26",25.6173
"2007-10-27",25.633
"2007-10-28",26.8009
"2007-10-29",27.4261
"2007-10-30",27.6109
"2007-10-31",28.0693
"2007-11-01",26.3993
"2007-11-02",26.5323
"2007-11-03",26.4347
"2007-11-04",26.361
"2007-11-05",27.4058
"2007-11-06",26.3425
"2007-11-07",26.5328
"2007-11-08",26.9693
"2007-11-09",27.0738
"2007-11-10",26.6918
"2007-11-11",26.084
"2007-11-12",26.3805
"2007-11-13",26.7424
"2007-11-14",26.772
"2007-11-15",26.0906
"2007-11-16",25.3772
"2007-11-17",25.0936
"2007-11-18",25.7318
"2007-11-19",25.7998
"2007-11-20",26.2186
"2007-11-21",25.7579
"2007-11-22",25.7222
"2007-11-23",25.6411
"2007-11-24",26.0401
"2007-11-25",25.2539
"2007-11-26",25.898
"2007-11-27",26.559
"2007-11-28",26.1746
"2007-11-29",26.2141
"2007-11-30",25.8549
"2007-12-01",25.8164
"2007-12-02",26.1663
"2007-12-03",26.3812
"2007-12-04",25.9999
"2007-12-05",26.2571
"2007-12-06",26.1524
"2007-12-07",26.0008
"2007-12-08",25.7466
"2007-12-09",25.8891
"2007-12-10",26.1428
"2007-12-11",26.2661
"2007-12-12",25.2187
"2007-12-13",24.8783
"2007-12-14",25.7685
"2007-12-15",25.4018
"2007-12-16",25.9624
"2007-12-17",25.4592
"2007-12-18",26.0756
"2007-12-19",25.4147
"2007-12-20",25.247
"2007-12-21",25.8649
"2007-12-22",25.8903
"2007-12-23",25.0652
"2007-12-24",24.5561
"2007-12-25",24.0573
"2007-12-26",24.5449
"2007-12-27",25.2248
"2007-12-28",24.9105
"2007-12-29",24.9901
"2007-12-30",25.4559
"2007-12-31",25.1143
"2008-01-01",25.2948
"2008-01-02",25.6109
"2008-01-03",25.0522
"2008-01-04",25.628
"2008-01-05",25.2766
"2008-01-06",25.1193
"2008-01-07",25.4326
"2008-01-08",25.6611
"2008-01-09",25.5767
"2008-01-10",25.7147
"2008-01-11",25.61
"2008-01-12",25.9154
"2008-01-13",25.0274
"2008-01-14",25.0712
"2008-01-15",25.1713
"2008-01-16",25.2708
"2008-01-17",24.6783
"2008-01-18",24.1032
"2008-01-19",24.3297
"2008-01-20",25.7778
"2008-01-21",26.0823
"2008-01-22",25.7793
"2008-01-23",25.346
"2008-01-24",25.5904
"2008-01-25",26.171
"2008-01-26",26.3402
"2008-01-27",26.5299
"2008-01-28",26.2394
"2008-01-29",26.0876
"2008-01-30",25.9524
"2008-01-31",26.2168
"2008-02-01",26.3193
"2008-02-02",26.5261
"2008-02-03",26.6231
"2008-02-04",26.4383
"2008-02-05",26.6727
"2008-02-06",26.1568
"2008-02-07",25.2076
"2008-02-08",26.0035
"2008-02-09",26.9871
"2008-02-10",27.2065
"2008-02-11",27.0821
"2008-02-12",26.6236
"2008-02-13",26.1547
"2008-02-14",26.6839
"2008-02-15",26.7887
"2008-02-16",26.9737
"2008-02-17",26.0061
"2008-02-18",25.0886
"2008-02-19",25.3225
"2008-02-20",27.0229
"2008-02-21",26.9964
"2008-02-22",26.5558
"2008-02-23",25.5974
"2008-02-24",24.8973
"2008-02-25",24.9311
"2008-02-26",27.081
"2008-02-27",25.7025
"2008-02-28",26.3837
"2008-02-29",24.9954
"2008-03-01",26.6142
"2008-03-02",27.0138
"2008-03-03",26.4868
"2008-03-04",26.247
"2008-03-05",26.5408
"2008-03-06",26.0893
"2008-03-07",26.1261
"2008-03-08",26.5083
"2008-03-09",26.3309
"2008-03-10",25.3837
"2008-03-11",24.6439
"2008-03-12",25.1255
"2008-03-13",26.0361
"2008-03-14",26.3337
"2008-03-15",25.8566
"2008-03-16",25.6522
"2008-03-17",25.8164
"2008-03-18",26.0641
"2008-03-19",26.2331
"2008-03-20",26.3419
"2008-03-21",26.5586
"2008-03-22",27.0617
"2008-03-23",27.6278
"2008-03-24",26.8842
"2008-03-25",27.4927
"2008-03-26",27.651
"2008-03-27",27.8009
"2008-03-28",28.0703
"2008-03-29",28.3037
"2008-03-30",27.4282
"2008-03-31",27.8055
"2008-04-01",28.078
"2008-04-02",26.9621
"2008-04-03",27.8903
"2008-04-04",28.051
"2008-04-05",27.9715
"2008-04-06",27.8067
"2008-04-07",26.8715
"2008-04-08",26.425
"2008-04-09",26.1628
"2008-04-10",26.1722
"2008-04-11",27.0675
"2008-04-12",27.218
"2008-04-13",28.0207
"2008-04-14",28.1779
"2008-04-15",28.0943
"2008-04-16",28.0014
"2008-04-17",28.3414
"2008-04-18",28.8043
"2008-04-19",28.929
"2008-04-20",29.0298
"2008-04-21",29.4188
"2008-04-22",29.6892
"2008-04-23",29.6561
"2008-04-24",29.1835
"2008-04-25",28.3999
"2008-04-26",27.3852
"2008-04-27",28.5448
"2008-04-28",28.9275
"2008-04-29",29.7135
"2008-04-30",29.7857
"2008-05-01",29.861
"2008-05-02",29.8175
"2008-05-03",29.3845
"2008-05-04",29.5666
"2008-05-05",29.491
"2008-05-06",29.5895
"2008-05-07",29.4132
"2008-05-08",29.5868
"2008-05-09",29.2938
"2008-05-10",29.4872
"2008-05-11",30.0331
"2008-05-12",29.3329
"2008-05-13",29.6418
"2008-05-14",29.906
"2008-05-15",30.0592
"2008-05-16",30.2894
"2008-05-17",30.4678
"2008-05-18",30.6453
"2008-05-19",30.3588
"2008-05-20",30.1066
"2008-05-21",30.0198
"2008-05-22",30.201
"2008-05-23",29.906
"2008-05-24",29.9846
"2008-05-25",29.9567
"2008-05-26",29.5252
"2008-05-27",29.4643
"2008-05-28",30.0003
"2008-05-29",29.5313
"2008-05-30",29.6721
"2008-05-31",30.1208
"2008-06-01",29.113
"2008-06-02",29.4178
"2008-06-03",29.082
"2008-06-04",30.4232
"2008-06-05",30.8895
"2008-06-06",30.494
"2008-06-07",29.6225
"2008-06-08",29.2106
"2008-06-09",29.3819
"2008-06-10",29.3475
"2008-06-11",29.4598
"2008-06-12",29.4683
"2008-06-13",30.2502
"2008-06-14",30.1206
"2008-06-15",30.291
"2008-06-16",30.0112
"2008-06-17",30.0332
"2008-06-18",29.7289
"2008-06-19",29.7978
"2008-06-20",30.0977
"2008-06-21",29.3527
"2008-06-22",29.6818
"2008-06-23",29.5075
"2008-06-24",29.9607
"2008-06-25",29.6615
"2008-06-26",29.9467
"2008-06-27",29.6771
"2008-06-28",29.7378
"2008-06-29",29.6352
"2008-06-30",30.1593
"2008-07-01",28.1751
"2008-07-02",30.1171
"2008-07-03",30.2775
"2008-07-04",30.0747
"2008-07-05",29.8433
"2008-07-06",29.8926
"2008-07-07",29.7388
"2008-07-08",30.2129
"2008-07-09",30.1913
"2008-07-10",29.8614
"2008-07-11",29.762
"2008-07-12",29.7069
"2008-07-13",29.7406
"2008-07-14",29.4645
"2008-07-15",28.451
"2008-07-16",29.3346
"2008-07-17",29.2335
"2008-07-18",29.8516
"2008-07-19",28.212
"2008-07-20",28.5036
"2008-07-21",28.4002
"2008-07-22",28.218
"2008-07-23",28.5039
"2008-07-24",28.8108
"2008-07-25",29.1219
"2008-07-26",28.7331
"2008-07-27",28.5289
"2008-07-28",27.598
"2008-07-29",28.2725
"2008-07-30",28.4978
"2008-07-31",28.964
"2008-08-01",29.4255
"2008-08-02",28.7978
"2008-08-03",28.9787
"2008-08-04",28.9199
"2008-08-05",29.1262
"2008-08-06",29.0004
"2008-08-07",29.084
"2008-08-08",28.7071
"2008-08-09",28.9033
"2008-08-10",29.4608
"2008-08-11",29.2955
"2008-08-12",29.2441
"2008-08-13",29.5706
"2008-08-14",28.7887
"2008-08-15",28.7331
"2008-08-16",28.623
"2008-08-17",28.5348
"2008-08-18",28.7069
"2008-08-19",29.0762
"2008-08-20",29.2131
"2008-08-21",28.9753
"2008-08-22",29.1851
"2008-08-23",28.9211
"2008-08-24",28.7017
"2008-08-25",28.1029
"2008-08-26",27.2701
"2008-08-27",27.3576
"2008-08-28",27.5289
"2008-08-29",27.3567
"2008-08-30",27.1348
"2008-08-31",27.2013
"2008-09-01",28.5205
"2008-09-02",28.5779
"2008-09-03",29.1084
"2008-09-04",28.2866
"2008-09-05",28.1184
"2008-09-06",27.8386
"2008-09-07",28.0301
"2008-09-08",28.6028
"2008-09-09",29.4173
"2008-09-10",29.6635
"2008-09-11",29.5081
"2008-09-12",29.7871
"2008-09-13",29.7049
"2008-09-14",29.5514
"2008-09-15",29.3985
"2008-09-16",29.5449
"2008-09-17",29.9574
"2008-09-18",30.0856
"2008-09-19",29.4308
"2008-09-20",29.2548
"2008-09-21",29.0561
"2008-09-22",29.3958
"2008-09-23",29.4078
"2008-09-24",29.2726
"2008-09-25",29.3078
"2008-09-26",29.6174
"2008-09-27",29.819
"2008-09-28",29.533
"2008-09-29",28.9765
"2008-09-30",29.2916
"2008-10-01",29.4489
"2008-10-02",29.3187
"2008-10-03",29.4598
"2008-10-04",28.5873
"2008-10-05",29.1187
"2008-10-06",29.7812
"2008-10-07",28.2686
"2008-10-08",29.259
"2008-10-09",28.918
"2008-10-10",29.1166
"2008-10-11",27.8632
"2008-10-12",26.4656
"2008-10-13",26.2191
"2008-10-14",26.1106
"2008-10-15",27.0725
"2008-10-16",27.13
"2008-10-17",26.7641
"2008-10-18",26.8105
"2008-10-19",26.9246
"2008-10-20",26.5429
"2008-10-21",25.4223
"2008-10-22",26.6935
"2008-10-23",26.7093
"2008-10-24",26.1719
"2008-10-25",27.5162
"2008-10-26",27.4078
"2008-10-27",27.4998
"2008-10-28",27.2567
"2008-10-29",26.8953
"2008-10-30",26.5218
"2008-10-31",26.0095
"2008-11-01",26.0587
"2008-11-02",26.7898
"2008-11-03",26.7973
"2008-11-04",26.2632
"2008-11-05",26.1298
"2008-11-06",26.7698
"2008-11-07",26.9459
"2008-11-08",26.9944
"2008-11-09",27.1143
"2008-11-10",26.5449
"2008-11-11",25.6116
"2008-11-12",25.446
"2008-11-13",25.7488
"2008-11-14",26.2313
"2008-11-15",26.9501
"2008-11-16",27.0752
"2008-11-17",27.0722
"2008-11-18",27.2521
"2008-11-19",26.2005
"2008-11-20",26.0558
"2008-11-21",25.9852
"2008-11-22",25.8301
"2008-11-23",25.3251
"2008-11-24",24.9783
"2008-11-25",25.4228
"2008-11-26",25.4862
"2008-11-27",26.6392
"2008-11-28",27.3096
"2008-11-29",25.8775
"2008-11-30",26.5894
"2008-12-01",26.715
"2008-12-02",25.4532
"2008-12-03",25.9852
"2008-12-04",26.3232
"2008-12-05",26.5444
"2008-12-06",24.9693
"2008-12-07",25.3611
"2008-12-08",25.7471
"2008-12-09",25.7859
"2008-12-10",26.0245
"2008-12-11",25.8787
"2008-12-12",25.7004
"2008-12-13",25.692
"2008-12-14",25.3422
"2008-12-15",25.0243
"2008-12-16",25.3952
"2008-12-17",25.2194
"2008-12-18",25.0322
"2008-12-19",26.2285
"2008-12-20",25.7972
"2008-12-21",25.3062
"2008-12-22",25.7382
"2008-12-23",25.2413
"2008-12-24",25.8125
"2008-12-25",26.2106
"2008-12-26",25.9856
"2008-12-27",25.3619
"2008-12-28",25.4572
"2008-12-29",25.4048
"2008-12-30",24.9673
"2008-12-31",24.8135
"2009-01-01",25.2078
"2009-01-02",25.2551
"2009-01-03",25.3978
"2009-01-04",25.2576
"2009-01-05",25.5247
"2009-01-06",24.8617
"2009-01-07",25.7741
"2009-01-08",26.0442
"2009-01-09",24.4217
"2009-01-10",25.0334
"2009-01-11",25.583
"2009-01-12",25.3719
"2009-01-13",25.5911
"2009-01-14",24.753
"2009-01-15",25.28
"2009-01-16",25.1593
"2009-01-17",25.4615
"2009-01-18",25.6524
"2009-01-19",25.153
"2009-01-20",25.1979
"2009-01-21",24.9545
"2009-01-22",24.9979
"2009-01-23",24.5853
"2009-01-24",24.7622
"2009-01-25",25.2765
"2009-01-26",25.3513
"2009-01-27",25.8834
"2009-01-28",26.2173
"2009-01-29",25.4929
"2009-01-30",25.1948
"2009-01-31",25.2333
"2009-02-01",24.7721
"2009-02-02",24.6085
"2009-02-03",25.5276
"2009-02-04",25.3504
"2009-02-05",24.9253
"2009-02-06",24.8265
"2009-02-07",25.4655
"2009-02-08",25.4956
"2009-02-09",25.225
"2009-02-10",24.9754
"2009-02-11",25.2694
"2009-02-12",24.54
"2009-02-13",24.3324
"2009-02-14",24.9121
"2009-02-15",24.6181
"2009-02-16",25.0974
"2009-02-17",25.9008
"2009-02-18",25.7187
"2009-02-19",25.8172
"2009-02-20",26.9669
"2009-02-21",27.2761
"2009-02-22",26.9613
"2009-02-23",26.8131
"2009-02-24",27.7273
"2009-02-25",27.5773
"2009-02-26",27.5839
"2009-02-27",27.2432
"2009-02-28",27.2139
"2009-03-01",27.3337
"2009-03-02",26.6253
"2009-03-03",26.8784
"2009-03-04",27.0322
"2009-03-05",27.3433
"2009-03-06",27.56
"2009-03-07",27.1985
"2009-03-08",27.2243
"2009-03-09",25.2569
"2009-03-10",25.9195
"2009-03-11",26.4333
"2009-03-12",27.1099
"2009-03-13",27.024
"2009-03-14",27.0346
"2009-03-15",26.947
"2009-03-16",26.9259
"2009-03-17",26.9878
"2009-03-18",27.4741
"2009-03-19",27.8726
"2009-03-20",28.1203
"2009-03-21",28.0543
"2009-03-22",28.2812
"2009-03-23",28.4277
"2009-03-24",27.4862
"2009-03-25",27.7508
"2009-03-26",27.8614
"2009-03-27",28.1258
"2009-03-28",28.3498
"2009-03-29",28.1659
"2009-03-30",28.0539
"2009-03-31",28.8029
"2009-04-01",28.6439
"2009-04-02",28.5702
"2009-04-03",28.6732
"2009-04-04",28.2424
"2009-04-05",28.5523
"2009-04-06",29.1466
"2009-04-07",29.501
"2009-04-08",28.31
"2009-04-09",27.9483
"2009-04-10",26.6497
"2009-04-11",26.0337
"2009-04-12",27.1741
"2009-04-13",28.0348
"2009-04-14",28.7913
"2009-04-15",29.6944
"2009-04-16",29.5907
"2009-04-17",29.6579
"2009-04-18",29.7615
"2009-04-19",29.5292
"2009-04-20",29.2838
"2009-04-21",29.2989
"2009-04-22",29.4062
"2009-04-23",29.9161
"2009-04-24",29.9
"2009-04-25",30.1169
"2009-04-26",29.3142
"2009-04-27",29.2049
"2009-04-28",29.3321
"2009-04-29",29.5059
"2009-04-30",29.386
"2009-05-01",29.8611
"2009-05-02",30.6583
"2009-05-03",30.5876
"2009-05-04",30.3755
"2009-05-05",30.1671
"2009-05-06",30.4098
"2009-05-07",30.8909
"2009-05-08",30.6725
"2009-05-09",30.8274
"2009-05-10",31.1208
"2009-05-11",31.1668
"2009-05-12",31.2389
"2009-05-13",30.7997
"2009-05-14",31.2683
"2009-05-15",31.2166
"2009-05-16",30.9053
"2009-05-17",30.0164
"2009-05-18",29.907
"2009-05-19",28.7554
"2009-05-20",27.9631
"2009-05-21",29.1605
"2009-05-22",29.7729
"2009-05-23",29.55
"2009-05-24",29.7904
"2009-05-25",29.9364
"2009-05-26",29.121
"2009-05-27",29.4409
"2009-05-28",29.6384
"2009-05-29",30.2304
"2009-05-30",29.7783
"2009-05-31",29.2703
"2009-06-01",29.7997
"2009-06-02",30.1212
"2009-06-03",30.1934
"2009-06-04",30.2532
"2009-06-05",29.9755
"2009-06-06",29.4373
"2009-06-07",29.4484
"2009-06-08",29.7848
"2009-06-09",29.961
"2009-06-10",30.1096
"2009-06-11",29.798
"2009-06-12",29.0706
"2009-06-13",29.5053
"2009-06-14",30.0614
"2009-06-15",30.087
"2009-06-16",30.1291
"2009-06-17",29.8708
"2009-06-18",29.2354
"2009-06-19",29.3937
"2009-06-20",29.3919
"2009-06-21",29.7858
"2009-06-22",29.4241
"2009-06-23",29.6481
"2009-06-24",29.8581
"2009-06-25",30.065
"2009-06-26",29.6327
"2009-06-27",29.9059
"2009-06-28",30.2653
"2009-06-29",29.8054
"2009-06-30",29.7169
"2009-07-01",29.6254
"2009-07-02",29.8599
"2009-07-03",29.5252
"2009-07-04",29.9411
"2009-07-05",29.5957
"2009-07-06",29.4531
"2009-07-07",30.0981
"2009-07-08",30.3811
"2009-07-09",29.5624
"2009-07-10",29.4704
"2009-07-11",29.664
"2009-07-12",29.8713
"2009-07-13",29.9911
"2009-07-14",29.7341
"2009-07-15",29.4946
"2009-07-16",29.2351
"2009-07-17",28.2043
"2009-07-18",28.9141
"2009-07-19",29.964
"2009-07-20",29.8922
"2009-07-21",30.2681
"2009-07-22",29.8983
"2009-07-23",29.9614
"2009-07-24",30.4879
"2009-07-25",30.5604
"2009-07-26",29.7256
"2009-07-27",29.63
"2009-07-28",29.4674
"2009-07-29",29.4616
"2009-07-30",29.4731
"2009-07-31",29.0131
"2009-08-01",29.0948
"2009-08-02",29.6727
"2009-08-03",30.0181
"2009-08-04",29.833
"2009-08-05",30.0916
"2009-08-06",29.9806
"2009-08-07",30.0866
"2009-08-08",29.6926
"2009-08-09",30.2212
"2009-08-10",30.1553
"2009-08-11",30.0203
"2009-08-12",30.1055
"2009-08-13",30.0312
"2009-08-14",29.5728
"2009-08-15",28.3527
"2009-08-16",27.8321
"2009-08-17",26.755
"2009-08-18",27.9173
"2009-08-19",27.8034
"2009-08-20",27.2838
"2009-08-21",28.1122
"2009-08-22",28.1012
"2009-08-23",28.4525
"2009-08-24",29.0563
"2009-08-25",29.2634
"2009-08-26",29.4167
"2009-08-27",29.5366
"2009-08-28",29.3414
"2009-08-29",29.8089
"2009-08-30",29.4253
"2009-08-31",28.5262
"2009-09-01",28.8847
"2009-09-02",28.9341
"2009-09-03",29.228
"2009-09-04",29.5596
"2009-09-05",29.4688
"2009-09-06",29.1696
"2009-09-07",29.5977
"2009-09-08",29.686
"2009-09-09",29.4946
"2009-09-10",29.4904
"2009-09-11",30.0432
"2009-09-12",30.0074
"2009-09-13",30.2524
"2009-09-14",29.8478
"2009-09-15",29.5533
"2009-09-16",29.5109
"2009-09-17",28.8917
"2009-09-18",28.3628
"2009-09-19",28.6795
"2009-09-20",29.384
"2009-09-21",28.5179
"2009-09-22",28.7039
"2009-09-23",29.0024
"2009-09-24",29.5243
"2009-09-25",29.6594
"2009-09-26",29.6648
"2009-09-27",29.0839
"2009-09-28",29.2544
"2009-09-29",29.3394
"2009-09-30",29.8821
"2009-10-01",29.3505
"2009-10-02",28.7777
"2009-10-03",28.9878
"2009-10-04",29.6066
"2009-10-05",29.496
"2009-10-06",29.3874
"2009-10-07",29.0844
"2009-10-08",29.7376
"2009-10-09",29.5218
"2009-10-10",29.3739
"2009-10-11",29.3366
"2009-10-12",28.0799
"2009-10-13",27.9275
"2009-10-14",28.062
"2009-10-15",28.1088
"2009-10-16",28.4734
"2009-10-17",28.8428
"2009-10-18",29.1023
"2009-10-19",28.8318
"2009-10-20",28.904
"2009-10-21",28.0071
"2009-10-22",27.9121
"2009-10-23",28.2555
"2009-10-24",28.2596
"2009-10-25",28.2073
"2009-10-26",28.0679
"2009-10-27",28.5634
"2009-10-28",26.9925
"2009-10-29",25.9465
"2009-10-30",27.3092
"2009-10-31",26.4473
"2009-11-01",27.3299
"2009-11-02",26.7112
"2009-11-03",26.231
"2009-11-04",25.2493
"2009-11-05",25.9025
"2009-11-06",26.1425
"2009-11-07",26.3055
"2009-11-08",26.5165
"2009-11-09",26.4999
"2009-11-10",26.4007
"2009-11-11",27.6243
"2009-11-12",27.7795
"2009-11-13",27.1728
"2009-11-14",25.9267
"2009-11-15",25.4318
"2009-11-16",26.8839
"2009-11-17",27.0535
"2009-11-18",26.4764
"2009-11-19",26.8611
"2009-11-20",25.5613
"2009-11-21",26.0508
"2009-11-22",26.6143
"2009-11-23",26.6996
"2009-11-24",26.693
"2009-11-25",26.5125
"2009-11-26",26.3615
"2009-11-27",26.7483
"2009-11-28",26.2066
"2009-11-29",26.0951
"2009-11-30",25.7232
"2009-12-01",25.5588
"2009-12-02",25.7998
"2009-12-03",26.5305
"2009-12-04",26.42
"2009-12-05",26.4999
"2009-12-06",26.5714
"2009-12-07",27.1174
"2009-12-08",25.7403
"2009-12-09",26.7105
"2009-12-10",26.9428
"2009-12-11",26.0432
"2009-12-12",25.7196
"2009-12-13",25.419
