,"(deg C) Mean Temperature (ERA5) at Galle, 2007-01-01 to 2025-12-31"
"2007-09-26",26.7513
"2007-09-27",26.4524
"2007-09-28",25.9034
"2007-09-29",26.9173
"2007-09-30",26.9677
"2007-10-01",26.3253
"2007-10-02",25.2876
"2007-10-03",25.8948
"2007-10-04",25.6657
"2007-10-05",25.6541
"2007-10-06",25.7516
"2007-10-07",25.5478
"2007-10-08",25.3646
"2007-10-09",25.8969
"2007-10-10",25.728
"2007-10-11",25.1905
"2007-10-12",25.7877
"2007-10-13",25.9387
"2007-10-14",25.7024
"2007-10-15",25.4869
"2007-10-16",25.6717
"2007-10-17",25.1682
"2007-10-18",25.0767
"2007-10-19",25.9162
"2007-10-20",24.2223
"2007-10-21",25.0541
"2007-10-22",24.6726
"2007-10-23",25.555
"2007-10-24",25.6552
"2007-10-25",25.7447
"2007-10-26",24.9116
"2007-10-27",25.7941
"2007-10-28",25.6973
"2007-10-29",25.9221
"2007-10-30",26.1133
"2007-10-31",26.9176
"2007-11-01",26.4423
"2007-11-02",25.5865
"2007-11-03",25.1685
"2007-11-04",25.8372
"2007-11-05",26.2062
"2007-11-06",25.1515
"2007-11-07",25.0722
"2007-11-08",25.5098
"2007-11-09",25.9362
"2007-11-10",26.0907
"2007-11-11",26.091
"2007-11-12",25.9846
"2007-11-13",26.4174
"2007-11-14",26.408
"2007-11-15",26.0101
"2007-11-16",25.6712
"2007-11-17",25.7175
"2007-11-18",26.2405
"2007-11-19",25.9207
"2007-11-20",25.7117
"2007-11-21",25.6787
"2007-11-22",25.6457
"2007-11-23",26.0026
"2007-11-24",26.1912
"2007-11-25",26.4358
"2007-11-26",25.7216
"2007-11-27",26.2397
"2007-11-28",26.2821
"2007-11-29",25.6949
"2007-11-30",25.599
"2007-12-01",25.9671
"2007-12-02",25.3213
"2007-12-03",26.0492
"2007-12-04",26.1461
"2007-12-05",25.541
"2007-12-06",25.8027
"2007-12-07",25.305
"2007-12-08",25.6442
"2007-12-09",25.5934
"2007-12-10",25.532
"2007-12-11",26.2405
"2007-12-12",25.9568
"2007-12-13",25.0193
"2007-12-14",25.4705
"2007-12-15",25.2831
"2007-12-16",25.3309
"2007-12-17",25.7378
"2007-12-18",25.0685
"2007-12-19",25.2893
"2007-12-20",25.5313
"2007-12-21",25.2062
"2007-12-22",24.9724
"2007-12-23",24.5175
"2007-12-24",26.0144
"2007-12-25",25.3217
"2007-12-26",25.2791
"2007-12-27",25.1631
"2007-12-28",25.2459
"2007-12-29",25.1566
"2007-12-30",25.3811
"2007-12-31",25.3773
"2008-01-01",25.2288
"2008-01-02",25.4695
"2008-01-03",25.1579
"2008-01-04",25.3769
"2008-01-05",25.4856
"2008-01-06",24.9882
"2008-01-07",25.029
"2008-01-08",25.1139
"2008-01-09",25.0577
"2008-01-10",25.192
"2008-01-11",24.9326
"2008-01-12",24.9009
"2008-01-13",24.8793
"2008-01-14",25.5364
"2008-01-15",25.3528
"2008-01-16",24.9412
"2008-01-17",25.2186
"2008-01-18",25.1067
"2008-01-19",25.4181
"2008-01-20",25.9773
"2008-01-21",25.6621
"2008-01-22",25.4445
"2008-01-23",25.9507
"2008-01-24",26.0326
"2008-01-25",26.1627
"2008-01-26",26.1145
"2008-01-27",26.0704
"2008-01-28",25.9269
"2008-01-29",26.0551
"2008-01-30",26.3657
"2008-01-31",26.4744
"2008-02-01",26.2141
"2008-02-02",26.458
"2008-02-03",26.4286
"2008-02-04",26.4232
"2008-02-05",26.6371
"2008-02-06",25.8369
"2008-02-07",25.2604
"2008-02-08",25.8598
"2008-02-09",26.3995
"2008-02-10",26.6376
"2008-02-11",26.4124
"2008-02-12",25.9096
"2008-02-13",25.9484
"2008-02-14",25.8552
"2008-02-15",25.9102
"2008-02-16",25.9366
"2008-02-17",26.404
"2008-02-18",26.1879
"2008-02-19",26.0741
"2008-02-20",26.2391
"2008-02-21",25.8375
"2008-02-22",26.1776
"2008-02-23",25.929
"2008-02-24",25.1775
"2008-02-25",24.8851
"2008-02-26",25.9672
"2008-02-27",25.6263
"2008-02-28",25.7866
"2008-02-29",25.1306
"2008-03-01",26.1387
"2008-03-02",26.357
"2008-03-03",25.8983
"2008-03-04",26.0673
"2008-03-05",25.8715
"2008-03-06",25.3593
"2008-03-07",25.8127
"2008-03-08",26.2919
"2008-03-09",25.2368
"2008-03-10",25.1995
"2008-03-11",25.1425
"2008-03-12",25.7122
"2008-03-13",26.2516
"2008-03-14",25.9435
"2008-03-15",24.9182
"2008-03-16",25.2643
"2008-03-17",25.1452
"2008-03-18",25.0738
"2008-03-19",25.5632
"2008-03-20",25.5401
"2008-03-21",25.9758
"2008-03-22",26.8241
"2008-03-23",27.2423
"2008-03-24",26.3913
"2008-03-25",26.7381
"2008-03-26",26.7248
"2008-03-27",26.5901
"2008-03-28",26.239
"2008-03-29",26.4028
"2008-03-30",26.5063
"2008-03-31",26.1688
"2008-04-01",26.5734
"2008-04-02",25.7284
"2008-04-03",26.095
"2008-04-04",26.1402
"2008-04-05",26.2389
"2008-04-06",25.7475
"2008-04-07",25.673
"2008-04-08",25.4366
"2008-04-09",25.5232
"2008-04-10",25.4611
"2008-04-11",26.1234
"2008-04-12",25.5973
"2008-04-13",26.5944
"2008-04-14",26.4756
"2008-04-15",26.1339
"2008-04-16",26.0218
"2008-04-17",26.2702
"2008-04-18",26.4741
"2008-04-19",26.8258
"2008-04-20",26.6056
"2008-04-21",27.5713
"2008-04-22",27.2572
"2008-04-23",27.6101
"2008-04-24",26.3181
"2008-04-25",25.529
"2008-04-26",25.9262
"2008-04-27",25.8445
"2008-04-28",25.0723
"2008-04-29",27.0445
"2008-04-30",27.2954
"2008-05-01",27.1862
"2008-05-02",26.9647
"2008-05-03",27.0782
"2008-05-04",26.9281
"2008-05-05",26.7468
"2008-05-06",26.4822
"2008-05-07",26.4793
"2008-05-08",26.3408
"2008-05-09",26.0571
"2008-05-10",27.1389
"2008-05-11",27.2292
"2008-05-12",26.5296
"2008-05-13",26.9402
"2008-05-14",26.5338
"2008-05-15",26.507
"2008-05-16",26.8596
"2008-05-17",26.9417
"2008-05-18",27.2156
"2008-05-19",27.2962
"2008-05-20",27.2251
"2008-05-21",27.5461
"2008-05-22",26.6477
"2008-05-23",26.5868
"2008-05-24",26.9149
"2008-05-25",26.9847
"2008-05-26",26.6149
"2008-05-27",25.884
"2008-05-28",26.5374
"2008-05-29",25.9771
"2008-05-30",26.016
"2008-05-31",25.7497
"2008-06-01",25.264
"2008-06-02",25.396
"2008-06-03",25.318
"2008-06-04",26.4855
"2008-06-05",26.439
"2008-06-06",27.0706
"2008-06-07",26.2372
"2008-06-08",26.3038
"2008-06-09",26.1532
"2008-06-10",27.0631
"2008-06-11",26.9295
"2008-06-12",26.8006
"2008-06-13",26.9817
"2008-06-14",27.1175
"2008-06-15",26.7352
"2008-06-16",27.3188
"2008-06-17",26.8414
"2008-06-18",26.1181
"2008-06-19",26.6611
"2008-06-20",26.6997
"2008-06-21",26.1224
"2008-06-22",25.8625
"2008-06-23",26.0709
"2008-06-24",26.3549
"2008-06-25",26.3701
"2008-06-26",26.6029
"2008-06-27",27.1093
"2008-06-28",26.5951
"2008-06-29",26.269
"2008-06-30",26.5309
"2008-07-01",25.4088
"2008-07-02",27.0688
"2008-07-03",26.6751
"2008-07-04",26.5242
"2008-07-05",26.7312
"2008-07-06",26.1311
"2008-07-07",26.237
"2008-07-08",26.5014
"2008-07-09",26.8625
"2008-07-10",25.8951
"2008-07-11",25.3847
"2008-07-12",26.4705
"2008-07-13",26.1213
"2008-07-14",25.6873
"2008-07-15",25.0241
"2008-07-16",25.7252
"2008-07-17",25.9793
"2008-07-18",25.4708
"2008-07-19",25.517
"2008-07-20",25.6095
"2008-07-21",25.9997
"2008-07-22",25.7493
"2008-07-23",25.2757
"2008-07-24",25.7817
"2008-07-25",26.1556
"2008-07-26",25.7669
"2008-07-27",25.5911
"2008-07-28",25.4064
"2008-07-29",25.6486
"2008-07-30",25.706
"2008-07-31",25.6265
"2008-08-01",25.9289
"2008-08-02",26.5794
"2008-08-03",26.0805
"2008-08-04",26.3533
"2008-08-05",26.2405
"2008-08-06",26.303
"2008-08-07",26.3379
"2008-08-08",26.5797
"2008-08-09",26.2574
"2008-08-10",26.0941
"2008-08-11",26.102
"2008-08-12",25.6689
"2008-08-13",26.0935
"2008-08-14",25.7541
"2008-08-15",26.4467
"2008-08-16",26.3947
"2008-08-17",26.1067
"2008-08-18",26.431
"2008-08-19",26.5224
"2008-08-20",26.0689
"2008-08-21",25.8111
"2008-08-22",26.2579
"2008-08-23",25.9078
"2008-08-24",25.5607
"2008-08-25",25.7831
"2008-08-26",25.1611
"2008-08-27",25.645
"2008-08-28",25.3505
"2008-08-29",25.0954
"2008-08-30",24.5967
"2008-08-31",25.0937
"2008-09-01",26.4515
"2008-09-02",26.6341
"2008-09-03",26.7149
"2008-09-04",25.3616
"2008-09-05",25.5651
"2008-09-06",25.2229
"2008-09-07",25.2423
"2008-09-08",25.3025
"2008-09-09",26.8084
"2008-09-10",27.1137
"2008-09-11",25.817
"2008-09-12",26.7601
"2008-09-13",26.855
"2008-09-14",26.7543
"2008-09-15",26.1982
"2008-09-16",26.9618
"2008-09-17",27.1571
"2008-09-18",26.9644
"2008-09-19",26.6513
"2008-09-20",26.8833
"2008-09-21",26.579
"2008-09-22",26.825
"2008-09-23",26.5807
"2008-09-24",26.6613
"2008-09-25",26.4867
"2008-09-26",26.6457
"2008-09-27",27.1174
"2008-09-28",26.8074
"2008-09-29",26.3226
"2008-09-30",26.8743
"2008-10-01",26.9072
"2008-10-02",26.7204
"2008-10-03",26.9869
"2008-10-04",26.4456
"2008-10-05",26.6834
"2008-10-06",26.8882
"2008-10-07",26.114
"2008-10-08",25.8945
"2008-10-09",25.901
"2008-10-10",26.1556
"2008-10-11",25.56
"2008-10-12",25.2452
"2008-10-13",25.7432
"2008-10-14",25.9231
"2008-10-15",26.2677
"2008-10-16",25.9518
"2008-10-17",26.2574
"2008-10-18",25.9301
"2008-10-19",25.6416
"2008-10-20",25.3682
"2008-10-21",25.2744
"2008-10-22",25.4691
"2008-10-23",26.339
"2008-10-24",25.9221
"2008-10-25",26.5539
"2008-10-26",25.8951
"2008-10-27",26.7328
"2008-10-28",26.6085
"2008-10-29",26.2738
"2008-10-30",26.2525
"2008-10-31",25.7615
"2008-11-01",25.7682
"2008-11-02",25.6691
"2008-11-03",25.8738
"2008-11-04",26.1399
"2008-11-05",26.2643
"2008-11-06",26.073
"2008-11-07",26.6039
"2008-11-08",26.0763
"2008-11-09",25.8039
"2008-11-10",25.6594
"2008-11-11",25.6651
"2008-11-12",25.9636
"2008-11-13",26.6467
"2008-11-14",26.3306
"2008-11-15",26.6945
"2008-11-16",26.339
"2008-11-17",26.5432
"2008-11-18",26.0706
"2008-11-19",26.3314
"2008-11-20",25.5122
"2008-11-21",25.4932
"2008-11-22",25.7687
"2008-11-23",25.3879
"2008-11-24",25.3118
"2008-11-25",25.5241
"2008-11-26",25.9661
"2008-11-27",25.6078
"2008-11-28",25.9282
"2008-11-29",24.7456
"2008-11-30",26.1041
"2008-12-01",25.9219
"2008-12-02",25.3981
"2008-12-03",26.0013
"2008-12-04",25.8545
"2008-12-05",25.7063
"2008-12-06",25.5435
"2008-12-07",25.4869
"2008-12-08",25.6841
"2008-12-09",25.7081
"2008-12-10",25.7464
"2008-12-11",25.3033
"2008-12-12",25.5261
"2008-12-13",25.5071
"2008-12-14",25.8022
"2008-12-15",25.7136
"2008-12-16",25.3715
"2008-12-17",25.246
"2008-12-18",25.2826
"2008-12-19",25.7165
"2008-12-20",25.7519
"2008-12-21",25.8394
"2008-12-22",25.786
"2008-12-23",25.7823
"2008-12-24",25.6208
"2008-12-25",25.7865
"2008-12-26",25.8771
"2008-12-27",25.6683
"2008-12-28",25.545
"2008-12-29",25.7767
"2008-12-30",25.5754
"2008-12-31",25.2785
"2009-01-01",25.2736
"2009-01-02",25.2932
"2009-01-03",25.2839
"2009-01-04",25.8435
"2009-01-05",26.1118
"2009-01-06",24.8369
"2009-01-07",26.0383
"2009-01-08",26.1788
"2009-01-09",25.0553
"2009-01-10",25.4942
"2009-01-11",25.4513
"2009-01-12",25.9345
"2009-01-13",25.4331
"2009-01-14",25.1482
"2009-01-15",25.2859
"2009-01-16",25.5148
"2009-01-17",25.3619
"2009-01-18",25.9398
"2009-01-19",26.3063
"2009-01-20",26.4556
"2009-01-21",26.4026
"2009-01-22",26.038
"2009-01-23",25.953
"2009-01-24",25.3187
"2009-01-25",25.5815
"2009-01-26",25.8828
"2009-01-27",26.0418
"2009-01-28",25.9943
"2009-01-29",26.4672
"2009-01-30",25.6566
"2009-01-31",25.7496
"2009-02-01",26.3616
"2009-02-02",26.0902
"2009-02-03",26.2438
"2009-02-04",26.1301
"2009-02-05",26.1318
"2009-02-06",26.0555
"2009-02-07",25.8724
"2009-02-08",25.8917
"2009-02-09",26.0064
"2009-02-10",26.1581
"2009-02-11",26.6081
"2009-02-12",25.892
"2009-02-13",25.946
"2009-02-14",26.0299
"2009-02-15",26.6176
"2009-02-16",26.4451
"2009-02-17",26.7289
"2009-02-18",26.8324
"2009-02-19",26.5357
"2009-02-20",27.4271
"2009-02-21",27.2903
"2009-02-22",26.7459
"2009-02-23",26.3726
"2009-02-24",26.8986
"2009-02-25",27.0988
"2009-02-26",27.2037
"2009-02-27",26.9609
"2009-02-28",27.1675
"2009-03-01",27.3322
"2009-03-02",27.1292
"2009-03-03",26.966
"2009-03-04",26.9702
"2009-03-05",27.409
"2009-03-06",27.2501
"2009-03-07",26.9771
"2009-03-08",26.1861
"2009-03-09",26.3348
"2009-03-10",26.3681
"2009-03-11",26.4789
"2009-03-12",26.0207
"2009-03-13",26.0877
"2009-03-14",25.7755
"2009-03-15",26.2711
"2009-03-16",26.3046
"2009-03-17",26.175
"2009-03-18",26.5944
"2009-03-19",26.9276
"2009-03-20",26.3771
"2009-03-21",26.8839
"2009-03-22",27.3086
"2009-03-23",27.0341
"2009-03-24",26.0406
"2009-03-25",26.8227
"2009-03-26",26.8
"2009-03-27",26.6381
"2009-03-28",26.7083
"2009-03-29",26.4622
"2009-03-30",26.1952
"2009-03-31",27.186
"2009-04-01",26.7051
"2009-04-02",26.3094
"2009-04-03",26.3583
"2009-04-04",26.2762
"2009-04-05",26.0227
"2009-04-06",26.8639
"2009-04-07",26.4706
"2009-04-08",25.7341
"2009-04-09",25.8174
"2009-04-10",25.8141
"2009-04-11",26.2834
"2009-04-12",27.2812
"2009-04-13",26.9308
"2009-04-14",27.7753
"2009-04-15",28.2004
"2009-04-16",28.1128
"2009-04-17",28.2178
"2009-04-18",28.1675
"2009-04-19",27.9916
"2009-04-20",27.8636
"2009-04-21",27.739
"2009-04-22",27.2821
"2009-04-23",27.6959
"2009-04-24",27.9627
"2009-04-25",28.0363
"2009-04-26",27.2674
"2009-04-27",27.2839
"2009-04-28",27.5569
"2009-04-29",27.2889
"2009-04-30",27.5103
"2009-05-01",27.6558
"2009-05-02",27.9837
"2009-05-03",27.4605
"2009-05-04",27.3328
"2009-05-05",27.2189
"2009-05-06",27.416
"2009-05-07",27.4912
"2009-05-08",27.1284
"2009-05-09",27.2757
"2009-05-10",27.3984
"2009-05-11",27.7438
"2009-05-12",27.3859
"2009-05-13",26.9724
"2009-05-14",27.4279
"2009-05-15",27.1281
"2009-05-16",27.2916
"2009-05-17",26.7473
"2009-05-18",26.2381
"2009-05-19",26.2679
"2009-05-20",26.2294
"2009-05-21",26.361
"2009-05-22",26.2705
"2009-05-23",26.443
"2009-05-24",26.4804
"2009-05-25",27.3094
"2009-05-26",26.7923
"2009-05-27",26.6846
"2009-05-28",27.3362
"2009-05-29",27.0832
"2009-05-30",26.5732
"2009-05-31",26.3829
"2009-06-01",26.9443
"2009-06-02",27.1562
"2009-06-03",27.1494
"2009-06-04",26.8238
"2009-06-05",26.1753
"2009-06-06",27.2798
"2009-06-07",26.5578
"2009-06-08",26.6213
"2009-06-09",26.9427
"2009-06-10",26.2294
"2009-06-11",25.771
"2009-06-12",26.1873
"2009-06-13",26.3712
"2009-06-14",26.7705
"2009-06-15",26.8993
"2009-06-16",26.8938
"2009-06-17",26.2589
"2009-06-18",25.9084
"2009-06-19",25.6083
"2009-06-20",26.1954
"2009-06-21",26.5778
"2009-06-22",26.2243
"2009-06-23",26.6513
"2009-06-24",25.9946
"2009-06-25",26.0818
"2009-06-26",25.9297
"2009-06-27",26.0048
"2009-06-28",25.625
"2009-06-29",25.3699
"2009-06-30",25.2521
"2009-07-01",25.405
"2009-07-02",25.9529
"2009-07-03",26.4884
"2009-07-04",26.3052
"2009-07-05",25.9944
"2009-07-06",25.9044
"2009-07-07",26.1845
"2009-07-08",25.972
"2009-07-09",26.2761
"2009-07-10",26.48
"2009-07-11",26.4575
"2009-07-12",26.7328
"2009-07-13",26.9882
"2009-07-14",26.3138
"2009-07-15",26.363
"2009-07-16",25.4755
"2009-07-17",25.2609
"2009-07-18",26.8993
"2009-07-19",26.4202
"2009-07-20",26.6517
"2009-07-21",26.7683
"2009-07-22",26.7795
"2009-07-23",26.7713
"2009-07-24",26.7895
"2009-07-25",26.8178
"2009-07-26",26.5579
"2009-07-27",26.6784
"2009-07-28",25.938
"2009-07-29",26.4398
"2009-07-30",25.92
"2009-07-31",26.3765
"2009-08-01",26.431
"2009-08-02",26.6652
"2009-08-03",26.8549
"2009-08-04",26.8274
"2009-08-05",26.6775
"2009-08-06",26.1757
"2009-08-07",26
"2009-08-08",26.0355
"2009-08-09",26.3705
"2009-08-10",26.6274
"2009-08-11",26.3559
"2009-08-12",26.685
"2009-08-13",26.8002
"2009-08-14",26.1702
"2009-08-15",26.0315
"2009-08-16",25.426
"2009-08-17",24.8682
"2009-08-18",25.8046
"2009-08-19",25.7646
"2009-08-20",25.4526
"2009-08-21",25.4532
"2009-08-22",26.1389
"2009-08-23",26.0614
"2009-08-24",26.3932
"2009-08-25",26.4393
"2009-08-26",25.9853
"2009-08-27",25.9688
"2009-08-28",25.7847
"2009-08-29",26.2859
"2009-08-30",26.3193
"2009-08-31",26.0361
"2009-09-01",25.6776
"2009-09-02",25.6021
"2009-09-03",26.426
"2009-09-04",25.981
"2009-09-05",26.2385
"2009-09-06",26.0309
"2009-09-07",25.8038
"2009-09-08",26.0095
"2009-09-09",26.6138
"2009-09-10",26.4857
"2009-09-11",26.7073
"2009-09-12",26.6865
"2009-09-13",26.8954
"2009-09-14",26.8008
"2009-09-15",26.7322
"2009-09-16",26.8181
"2009-09-17",26.4875
"2009-09-18",25.1421
"2009-09-19",26.2268
"2009-09-20",26.2322
"2009-09-21",25.4701
"2009-09-22",25.7874
"2009-09-23",26.0429
"2009-09-24",26.6574
"2009-09-25",26.8073
"2009-09-26",26.8489
"2009-09-27",26.9322
"2009-09-28",26.1927
"2009-09-29",26.1313
"2009-09-30",26.8112
"2009-10-01",25.7255
"2009-10-02",25.8549
"2009-10-03",26.1409
"2009-10-04",26.4503
"2009-10-05",26.6349
"2009-10-06",26.6232
"2009-10-07",26.306
"2009-10-08",26.4619
"2009-10-09",26.3621
"2009-10-10",26.2924
"2009-10-11",26.5166
"2009-10-12",26.3318
"2009-10-13",25.8201
"2009-10-14",25.9503
"2009-10-15",26.0442
"2009-10-16",26.1619
"2009-10-17",26.6279
"2009-10-18",26.5864
"2009-10-19",26.3961
"2009-10-20",25.941
"2009-10-21",26.1589
"2009-10-22",26.233
"2009-10-23",26.4636
"2009-10-24",26.3539
"2009-10-25",26.5149
"2009-10-26",26.5399
"2009-10-27",25.9056
"2009-10-28",26.1611
"2009-10-29",25.5428
"2009-10-30",26.4288
"2009-10-31",25.8068
"2009-11-01",25.8971
"2009-11-02",25.6291
"2009-11-03",25.6491
"2009-11-04",25.3817
"2009-11-05",25.825
"2009-11-06",25.5642
"2009-11-07",25.8209
"2009-11-08",25.3626
"2009-11-09",25.5268
"2009-11-10",25.4965
"2009-11-11",26.832
"2009-11-12",26.4177
"2009-11-13",25.9116
"2009-11-14",25.5336
"2009-11-15",25.3777
"2009-11-16",25.8755
"2009-11-17",25.5341
"2009-11-18",24.8362
"2009-11-19",25.5226
"2009-11-20",24.3954
"2009-11-21",25.1311
"2009-11-22",25.3273
"2009-11-23",25.6611
"2009-11-24",25.4896
"2009-11-25",25.352
"2009-11-26",25.4831
"2009-11-27",26.2287
"2009-11-28",26.1782
"2009-11-29",25.8816
"2009-11-30",25.7476
"2009-12-01",25.4271
"2009-12-02",25.5189
"2009-12-03",25.6626
"2009-12-04",25.9051
"2009-12-05",25.7151
"2009-12-06",26.0331
"2009-12-07",25.8431
"2009-12-08",26.0372
"2009-12-09",25.8785
"2009-12-10",25.7295
"2009-12-11",26.47
"2009-12-12",26.0055
"2009-12-13",25.7013
