,"(mm) Precipitation (CHIRPS) at Monaragala, 2007-01-01 to 2025-12-31"
"2007-04-17",2.1852
"2007-04-18",2.1168
"2007-04-19",0.878
"2007-04-20",0
"2007-04-21",1.4378
"2007-04-22",9.3913
"2007-04-23",3.4248
"2007-04-24",5.0442
"2007-04-25",1.5854
"2007-04-26",3.5638
"2007-04-27",6.5189
"2007-04-28",6.1027
"2007-04-29",8.8699
"2007-04-30",1.8006
"2007-05-01",0.0005
"2007-05-02",0.0488
"2007-05-03",0.8764
"2007-05-04",0.7715
"2007-05-05",5.423
"2007-05-06",1.0989
"2007-05-07",1.9744
"2007-05-08",0
"2007-05-09",1.0369
"2007-05-10",0
"2007-05-11",0.0008
"2007-05-12",0
"2007-05-13",0
"2007-05-14",0
"2007-05-15",0
"2007-05-16",0
"2007-05-17",0
"2007-05-18",0
"2007-05-19",0
"2007-05-20",0.4145
"2007-05-21",0
"2007-05-22",0
"2007-05-23",0.1334
"2007-05-24",1.3194
"2007-05-25",0.9407
"2007-05-26",1.5363
"2007-05-27",11.9017
"2007-05-28",37.1481
"2007-05-29",0.0754
"2007-05-30",0
"2007-05-31",0
"2007-06-01",0.5297
"2007-06-02",0
"2007-06-03",0.8563
"2007-06-04",0.4136
"2007-06-05",3.3386
"2007-06-06",1.2424
"2007-06-07",0.3547
"2007-06-08",0.6739
"2007-06-09",0
"2007-06-10",0.3333
"2007-06-11",0.3987
"2007-06-12",0.8507
"2007-06-13",1.8624
"2007-06-14",9.2832
"2007-06-15",6.7944
"2007-06-16",1.6823
"2007-06-17",1.5857
"2007-06-18",5.5904
"2007-06-19",4.042
"2007-06-20",2.4856
"2007-06-21",7.2199
"2007-06-22",0.7222
"2007-06-23",2.5358
"2007-06-24",1.645
"2007-06-25",1.2036
"2007-06-26",3.3619
"2007-06-27",1.1254
"2007-06-28",1.5975
"2007-06-29",0
"2007-06-30",0.1449
"2007-07-01",0
"2007-07-02",0.3564
"2007-07-03",0.0061
"2007-07-04",0.8777
"2007-07-05",0
"2007-07-06",0
"2007-07-07",0
"2007-07-08",0
"2007-07-09",0
"2007-07-10",0
"2007-07-11",2.2546
"2007-07-12",1.7397
"2007-07-13",0
"2007-07-14",0.0051
"2007-07-15",0.2694
"2007-07-16",1.13
"2007-07-17",1.6222
"2007-07-18",2.8777
"2007-07-19",3.296
"2007-07-20",5.981
"2007-07-21",0.0569
"2007-07-22",3.4528
"2007-07-23",18.7387
"2007-07-24",4.7845
"2007-07-25",1.0368
"2007-07-26",0
"2007-07-27",0
"2007-07-28",0.0074
"2007-07-29",11.5712
"2007-07-30",9.7039
"2007-07-31",2.0741
"2007-08-01",0.7929
"2007-08-02",4.3809
"2007-08-03",1.7036
"2007-08-04",0.0236
"2007-08-05",0
"2007-08-06",0
"2007-08-07",0
"2007-08-08",0
"2007-08-09",0.0751
"2007-08-10",0.6418
"2007-08-11",8.6089
"2007-08-12",0.5335
"2007-08-13",0.2275
"2007-08-14",0
"2007-08-15",0
"2007-08-16",0.8648
"2007-08-17",0.0825
"2007-08-18",0.6016
"2007-08-19",3.4852
"2007-08-20",0.3323
"2007-08-21",2.644
"2007-08-22",2.5361
"2007-08-23",7.6554
"2007-08-24",9.9841
"2007-08-25",8.1263
"2007-08-26",0.0248
"2007-08-27",6.4683
"2007-08-28",2.7023
"2007-08-29",11.4483
"2007-08-30",6.9393
"2007-08-31",6.227
"2007-09-01",3.4636
"2007-09-02",0.475
"2007-09-03",0.174
"2007-09-04",0.5207
"2007-09-05",0.2853
"2007-09-06",0.769
"2007-09-07",1.711
"2007-09-08",0.5993
"2007-09-09",7.0693
"2007-09-10",0.0008
"2007-09-11",5.0008
"2007-09-12",0.5857
"2007-09-13",4.4704
"2007-09-14",0.6595
"2007-09-15",5.8303
"2007-09-16",1.3133
"2007-09-17",5.0771
"2007-09-18",1.4296
"2007-09-19",0.2095
"2007-09-20",0.3653
"2007-09-21",0.0008
"2007-09-22",1.3019
"2007-09-23",0
"2007-09-24",0
"2007-09-25",0
"2007-09-26",2.2166
"2007-09-27",7.1961
"2007-09-28",9.5047
"2007-09-29",0.278
"2007-09-30",0.0368
"2007-10-01",0.0127
"2007-10-02",9.3297
"2007-10-03",10.4119
"2007-10-04",0.7499
"2007-10-05",0.2099
"2007-10-06",12.2241
"2007-10-07",0.0007
"2007-10-08",1.0385
"2007-10-09",8.4647
"2007-10-10",0.5489
"2007-10-11",4.0547
"2007-10-12",2.7167
"2007-10-13",3.3407
"2007-10-14",16.8588
"2007-10-15",16.73
"2007-10-16",5.4181
"2007-10-17",10.6951
"2007-10-18",4.6495
"2007-10-19",5.4244
"2007-10-20",9.4664
"2007-10-21",6.4889
"2007-10-22",8.1665
"2007-10-23",8.2088
"2007-10-24",11.0827
"2007-10-25",21.0858
"2007-10-26",20.4434
"2007-10-27",16.1505
"2007-10-28",0.0986
"2007-10-29",0
"2007-10-30",0
"2007-10-31",3.4831
"2007-11-01",29.4141
"2007-11-02",6.5398
"2007-11-03",1.6947
"2007-11-04",13.8112
"2007-11-05",10.842
"2007-11-06",7.7006
"2007-11-07",21.4388
"2007-11-08",5.7422
"2007-11-09",5.1024
"2007-11-10",6.372
"2007-11-11",6.1148
"2007-11-12",8.9299
"2007-11-13",7.8142
"2007-11-14",0.3049
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",15.4705
"2007-11-20",3.8645
"2007-11-21",14.3315
"2007-11-22",0.758
"2007-11-23",13.766
"2007-11-24",8.3828
"2007-11-25",2.3897
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0.5174
"2007-11-29",0.6549
"2007-11-30",0
"2007-12-01",0
"2007-12-02",2.8269
"2007-12-03",1.7292
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0.1203
"2007-12-08",5.7487
"2007-12-09",22.1594
"2007-12-10",8.8187
"2007-12-11",11.0462
"2007-12-12",36.3625
"2007-12-13",7.0906
"2007-12-14",27.7249
"2007-12-15",48.833
"2007-12-16",30.6731
"2007-12-17",4.5131
"2007-12-18",3.9486
"2007-12-19",27.5996
"2007-12-20",34.3923
"2007-12-21",24.9334
"2007-12-22",24.3128
"2007-12-23",15.3597
"2007-12-24",0
"2007-12-25",0
"2007-12-26",0
"2007-12-27",0
"2007-12-28",0
"2007-12-29",0
"2007-12-30",0
"2007-12-31",0
"2008-01-01",0
"2008-01-02",0
"2008-01-03",2.6346
"2008-01-04",0.491
"2008-01-05",0.1043
"2008-01-06",6.1937
"2008-01-07",29.7863
"2008-01-08",23.5366
"2008-01-09",8.9847
"2008-01-10",25.2375
"2008-01-11",20.8356
"2008-01-12",13.3682
"2008-01-13",2.9373
"2008-01-14",0
"2008-01-15",0
"2008-01-16",0
"2008-01-17",0
"2008-01-18",0
"2008-01-19",0
"2008-01-20",0
"2008-01-21",4.9365
"2008-01-22",0.0965
"2008-01-23",0
"2008-01-24",0.9808
"2008-01-25",10.2419
"2008-01-26",4.9991
"2008-01-27",6.3497
"2008-01-28",2.9053
"2008-01-29",0
"2008-01-30",0
"2008-01-31",0
"2008-02-01",0
"2008-02-02",0.3109
"2008-02-03",0
"2008-02-04",0
"2008-02-05",0
"2008-02-06",26.743
"2008-02-07",15.7788
"2008-02-08",11.796
"2008-02-09",0.0441
"2008-02-10",0.0339
"2008-02-11",0.1595
"2008-02-12",0
"2008-02-13",0
"2008-02-14",2.4321
"2008-02-15",0.5581
"2008-02-16",0.173
"2008-02-17",0
"2008-02-18",0
"2008-02-19",0
"2008-02-20",1.471
"2008-02-21",1.8655
"2008-02-22",0.2166
"2008-02-23",0
"2008-02-24",0.0741
"2008-02-25",0
"2008-02-26",0.3317
"2008-02-27",15.4994
"2008-02-28",8.5043
"2008-02-29",9.4524
"2008-03-01",0
"2008-03-02",4.4983
"2008-03-03",9.1464
"2008-03-04",21.2268
"2008-03-05",12.9674
"2008-03-06",37.0669
"2008-03-07",8.3842
"2008-03-08",9.325
"2008-03-09",24.0144
"2008-03-10",2.1549
"2008-03-11",41.8439
"2008-03-12",27.1709
"2008-03-13",4.9847
"2008-03-14",15.493
"2008-03-15",62.4834
"2008-03-16",26.9996
"2008-03-17",24.4041
"2008-03-18",9.0118
"2008-03-19",8.7396
"2008-03-20",0.19
"2008-03-21",0.1035
"2008-03-22",0
"2008-03-23",0
"2008-03-24",13.8514
"2008-03-25",1.5803
"2008-03-26",4.5117
"2008-03-27",0.5687
"2008-03-28",3.8091
"2008-03-29",2.0394
"2008-03-30",6.4154
"2008-03-31",13.2752
"2008-04-01",7.4385
"2008-04-02",12.5715
"2008-04-03",10.8466
"2008-04-04",8.9161
"2008-04-05",1.0411
"2008-04-06",18.5705
"2008-04-07",6.7243
"2008-04-08",17.4113
"2008-04-09",18.3904
"2008-04-10",22.8901
"2008-04-11",15.756
"2008-04-12",1.7177
"2008-04-13",5.6704
"2008-04-14",0.4755
"2008-04-15",3.7487
"2008-04-16",16.4255
"2008-04-17",0.6227
"2008-04-18",1.0481
"2008-04-19",6.9861
"2008-04-20",0.5109
"2008-04-21",0
"2008-04-22",1.8514
"2008-04-23",12.7299
"2008-04-24",12.1785
"2008-04-25",1.4866
"2008-04-26",2.8092
"2008-04-27",13.8628
"2008-04-28",30.4621
"2008-04-29",5.1555
"2008-04-30",0.0696
"2008-05-01",0
"2008-05-02",0
"2008-05-03",0
"2008-05-04",0
"2008-05-05",1.2881
"2008-05-06",0.0025
"2008-05-07",0
"2008-05-08",0.3837
"2008-05-09",4.6269
"2008-05-10",0
"2008-05-11",0
"2008-05-12",0.5974
"2008-05-13",0
"2008-05-14",0
"2008-05-15",0
"2008-05-16",0.0005
"2008-05-17",0
"2008-05-18",0
"2008-05-19",0
"2008-05-20",0.4683
"2008-05-21",0.5227
"2008-05-22",14.9297
"2008-05-23",0.0051
"2008-05-24",0.6268
"2008-05-25",3.4069
"2008-05-26",2.9552
"2008-05-27",5.3596
"2008-05-28",1.9646
"2008-05-29",2.7485
"2008-05-30",0.0415
"2008-05-31",0.0842
"2008-06-01",9.0274
"2008-06-02",3.4042
"2008-06-03",1.9269
"2008-06-04",1.0975
"2008-06-05",0.087
"2008-06-06",2.6541
"2008-06-07",7.5911
"2008-06-08",4.8547
"2008-06-09",3.8516
"2008-06-10",0.1478
"2008-06-11",0
"2008-06-12",0.6946
"2008-06-13",0
"2008-06-14",0.7696
"2008-06-15",0.0171
"2008-06-16",0
"2008-06-17",1.3954
"2008-06-18",0.5161
"2008-06-19",0
"2008-06-20",1.9603
"2008-06-21",0.2607
"2008-06-22",3.2222
"2008-06-23",0.093
"2008-06-24",1.2975
"2008-06-25",0.2168
"2008-06-26",0
"2008-06-27",0
"2008-06-28",0
"2008-06-29",0.4202
"2008-06-30",0
"2008-07-01",2.0068
"2008-07-02",0
"2008-07-03",0.4526
"2008-07-04",0.0193
"2008-07-05",5.1149
"2008-07-06",1.3861
"2008-07-07",0.4015
"2008-07-08",0
"2008-07-09",0.0271
"2008-07-10",0
"2008-07-11",0.0951
"2008-07-12",3.7629
"2008-07-13",0
"2008-07-14",0.0458
"2008-07-15",1.1819
"2008-07-16",0
"2008-07-17",0
"2008-07-18",4.1197
"2008-07-19",0.2116
"2008-07-20",0.0773
"2008-07-21",5.9611
"2008-07-22",5.6593
"2008-07-23",3.8612
"2008-07-24",0
"2008-07-25",0.2776
"2008-07-26",0.0495
"2008-07-27",0.1857
"2008-07-28",0
"2008-07-29",0.5214
"2008-07-30",0.0418
"2008-07-31",2.2837
"2008-08-01",0.7554
"2008-08-02",3.9327
"2008-08-03",0.3169
"2008-08-04",0.0536
"2008-08-05",0.1296
"2008-08-06",0
"2008-08-07",0.0153
"2008-08-08",2.0765
"2008-08-09",0.6634
"2008-08-10",0.106
"2008-08-11",0.0099
"2008-08-12",4.6192
"2008-08-13",7.4561
"2008-08-14",1.1746
"2008-08-15",0.3133
"2008-08-16",2.1903
"2008-08-17",1.3307
"2008-08-18",1.2985
"2008-08-19",0.1475
"2008-08-20",0.9717
"2008-08-21",2.9335
"2008-08-22",1.5004
"2008-08-23",3.0673
"2008-08-24",4.1552
"2008-08-25",2.1957
"2008-08-26",3.6633
"2008-08-27",7.9679
"2008-08-28",2.0707
"2008-08-29",1.2264
"2008-08-30",8.2566
"2008-08-31",9.7471
"2008-09-01",1.6622
"2008-09-02",0.0171
"2008-09-03",1.9989
"2008-09-04",1.9565
"2008-09-05",5.612
"2008-09-06",1.9268
"2008-09-07",5.5547
"2008-09-08",1.6932
"2008-09-09",0.2085
"2008-09-10",0.0265
"2008-09-11",0
"2008-09-12",0.143
"2008-09-13",0
"2008-09-14",0
"2008-09-15",1.1001
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0.5574
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",2.8675
"2008-09-26",2.3293
"2008-09-27",2.3327
"2008-09-28",1.3456
"2008-09-29",0
"2008-09-30",0.0092
"2008-10-01",2.9428
"2008-10-02",3.4521
"2008-10-03",1.9658
"2008-10-04",2.3145
"2008-10-05",2.4239
"2008-10-06",0.1064
"2008-10-07",2.0121
"2008-10-08",5.6897
"2008-10-09",1.1731
"2008-10-10",2.1495
"2008-10-11",14.4989
"2008-10-12",26.3706
"2008-10-13",3.1903
"2008-10-14",0.5256
"2008-10-15",1.987
"2008-10-16",6.8969
"2008-10-17",4.9562
"2008-10-18",11.7658
"2008-10-19",15.7518
"2008-10-20",30.8707
"2008-10-21",3.0655
"2008-10-22",0
"2008-10-23",0
"2008-10-24",3.2405
"2008-10-25",29.6085
"2008-10-26",0
"2008-10-27",3.9178
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0.0606
"2008-11-01",0.0045
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",7.3464
"2008-11-08",2.5626
"2008-11-09",6.2414
"2008-11-10",34.54
"2008-11-11",17.8724
"2008-11-12",11.3908
"2008-11-13",9.9073
"2008-11-14",9.7363
"2008-11-15",5.0868
"2008-11-16",0.3921
"2008-11-17",0.2336
"2008-11-18",2.1074
"2008-11-19",0.425
"2008-11-20",23.122
"2008-11-21",15.5244
"2008-11-22",25.8533
"2008-11-23",16.9101
"2008-11-24",27.9081
"2008-11-25",7.8747
"2008-11-26",5.7652
"2008-11-27",0
"2008-11-28",25.4593
"2008-11-29",16.6503
"2008-11-30",1.6156
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0.5383
"2008-12-04",1.0049
"2008-12-05",12.715
"2008-12-06",10.3719
"2008-12-07",22.7192
"2008-12-08",32.1588
"2008-12-09",0
"2008-12-10",18.5212
"2008-12-11",2.8571
"2008-12-12",0.6963
"2008-12-13",1.6278
"2008-12-14",0
"2008-12-15",10.6051
"2008-12-16",1.7165
"2008-12-17",18.1292
"2008-12-18",23.6156
"2008-12-19",0.65
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",0
"2008-12-24",0.245
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0.3279
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",12.9335
"2009-01-07",0.2179
"2009-01-08",11.4433
"2009-01-09",34.9649
"2009-01-10",1.679
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0.8137
"2009-01-22",0.0005
"2009-01-23",0
"2009-01-24",0.054
"2009-01-25",8.4813
"2009-01-26",1.1269
"2009-01-27",0.0221
"2009-01-28",0
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0.01
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0.2281
"2009-02-11",3.145
"2009-02-12",0.0395
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0.015
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.0204
"2009-02-20",0.2372
"2009-02-21",1.7202
"2009-02-22",11.0124
"2009-02-23",3.8389
"2009-02-24",0
"2009-02-25",0
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",29.2485
"2009-03-08",28.716
"2009-03-09",8.9727
"2009-03-10",5.4439
"2009-03-11",6.9109
"2009-03-12",22.6663
"2009-03-13",13.2574
"2009-03-14",22.5715
"2009-03-15",6.6609
"2009-03-16",9.5825
"2009-03-17",3.4011
"2009-03-18",2.6177
"2009-03-19",6.9
"2009-03-20",11.1113
"2009-03-21",2.4506
"2009-03-22",0.2509
"2009-03-23",6.148
"2009-03-24",10.4774
"2009-03-25",11.0257
"2009-03-26",25.3316
"2009-03-27",26.501
"2009-03-28",23.0953
"2009-03-29",20.9059
"2009-03-30",17.6719
"2009-03-31",1.0136
"2009-04-01",6.7186
"2009-04-02",2.5523
"2009-04-03",4.5327
"2009-04-04",10.3038
"2009-04-05",6.4715
"2009-04-06",2.8997
"2009-04-07",1.4079
"2009-04-08",7.2351
"2009-04-09",11.7522
"2009-04-10",19.7113
"2009-04-11",13.2305
"2009-04-12",4.6136
"2009-04-13",6.693
"2009-04-14",4.1417
"2009-04-15",1.2085
"2009-04-16",0
"2009-04-17",0.0468
"2009-04-18",0
"2009-04-19",0
"2009-04-20",4.7059
"2009-04-21",0
"2009-04-22",2.7672
"2009-04-23",6.058
"2009-04-24",4.3097
"2009-04-25",0
"2009-04-26",4.2251
"2009-04-27",6.1057
"2009-04-28",0
"2009-04-29",0.7837
"2009-04-30",0.2935
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",5.744
"2009-05-06",3.2448
"2009-05-07",4.2051
"2009-05-08",0.7964
"2009-05-09",1.2399
"2009-05-10",0.5596
"2009-05-11",0
"2009-05-12",3.1947
"2009-05-13",0.1088
"2009-05-14",0
"2009-05-15",0.814
"2009-05-16",4.3497
"2009-05-17",20.1502
"2009-05-18",4.8337
"2009-05-19",15.2674
"2009-05-20",2.3518
"2009-05-21",14.7329
"2009-05-22",7.446
"2009-05-23",0.0609
"2009-05-24",16.7993
"2009-05-25",2.6448
"2009-05-26",5.1989
"2009-05-27",2.2842
"2009-05-28",0
"2009-05-29",0
"2009-05-30",7.2028
"2009-05-31",2.3071
"2009-06-01",0.0866
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0.0455
"2009-06-05",2.9626
"2009-06-06",0
"2009-06-07",0.0107
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0.3267
"2009-06-11",2.7097
"2009-06-12",0.3924
"2009-06-13",1.9291
"2009-06-14",0.2504
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0.0864
"2009-06-20",0
"2009-06-21",0.0223
"2009-06-22",0.256
"2009-06-23",0
"2009-06-24",1.091
"2009-06-25",1.9056
"2009-06-26",1.5859
"2009-06-27",2.0405
"2009-06-28",2.8613
"2009-06-29",1.3304
"2009-06-30",5.5944
"2009-07-01",5.1193
"2009-07-02",0
"2009-07-03",0.022
"2009-07-04",0.1431
"2009-07-05",1.7545
"2009-07-06",6.8965
"2009-07-07",1.8088
"2009-07-08",0
"2009-07-09",0.4624
"2009-07-10",0.0727
"2009-07-11",0.5012
"2009-07-12",0
"2009-07-13",0
"2009-07-14",2.5114
"2009-07-15",0.2827
"2009-07-16",0.0817
"2009-07-17",4.5535
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0.08
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0.3366
"2009-07-24",0.7842
"2009-07-25",1.7512
"2009-07-26",0.0391
"2009-07-27",0
"2009-07-28",0.3495
"2009-07-29",0.4474
"2009-07-30",1.1039
"2009-07-31",0.6977
"2009-08-01",0.3491
"2009-08-02",2.2875
"2009-08-03",0.5541
"2009-08-04",0.0197
"2009-08-05",0
"2009-08-06",0
"2009-08-07",2.2744
"2009-08-08",0.0006
"2009-08-09",0
"2009-08-10",0
"2009-08-11",0.8357
"2009-08-12",2.1677
"2009-08-13",0.1441
"2009-08-14",0.3528
"2009-08-15",23.5664
"2009-08-16",19.3629
"2009-08-17",3.7244
"2009-08-18",10.1596
"2009-08-19",1.9991
"2009-08-20",7.0207
"2009-08-21",3.2121
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",0.0278
"2009-08-28",1.8475
"2009-08-29",6.2964
"2009-08-30",2.2898
"2009-08-31",1.5422
"2009-09-01",2.3116
"2009-09-02",1.8202
"2009-09-03",0
"2009-09-04",2.048
"2009-09-05",0.2113
"2009-09-06",0
"2009-09-07",1.8356
"2009-09-08",1.2273
"2009-09-09",2.5764
"2009-09-10",0.3953
"2009-09-11",0.0009
"2009-09-12",0.0164
"2009-09-13",2.5977
"2009-09-14",0.0073
"2009-09-15",0
"2009-09-16",0
"2009-09-17",2.3313
"2009-09-18",8.5963
"2009-09-19",2.6308
"2009-09-20",0
"2009-09-21",4.9785
"2009-09-22",1.0533
"2009-09-23",3.843
"2009-09-24",0.0628
"2009-09-25",3.692
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",0.1869
"2009-09-30",0.0812
"2009-10-01",5.7358
"2009-10-02",0.8395
"2009-10-03",0
"2009-10-04",2.1354
"2009-10-05",0
"2009-10-06",0.0246
"2009-10-07",5.8784
"2009-10-08",0
"2009-10-09",0.8305
"2009-10-10",0.3129
"2009-10-11",3.6374
"2009-10-12",9.4631
"2009-10-13",0.4723
"2009-10-14",14.4595
"2009-10-15",0.99
"2009-10-16",2.6033
"2009-10-17",10.082
"2009-10-18",1.4665
"2009-10-19",1.6254
"2009-10-20",7.1336
"2009-10-21",3.8065
"2009-10-22",3.2675
"2009-10-23",0.3289
"2009-10-24",2.8998
"2009-10-25",0.0726
"2009-10-26",0.0239
"2009-10-27",3.3101
"2009-10-28",9.0221
"2009-10-29",19.0532
"2009-10-30",7.662
"2009-10-31",20.7654
"2009-11-01",16.6052
"2009-11-02",18.9438
"2009-11-03",8.9868
"2009-11-04",26.9303
"2009-11-05",27.0134
"2009-11-06",24.3339
"2009-11-07",7.7366
"2009-11-08",45.0188
"2009-11-09",12.1649
"2009-11-10",10.9674
"2009-11-11",0.9876
"2009-11-12",39.6581
"2009-11-13",32.4573
"2009-11-14",23.6009
"2009-11-15",30.2322
"2009-11-16",2.4253
"2009-11-17",11.0067
"2009-11-18",11.6017
"2009-11-19",6.9239
"2009-11-20",64.2205
"2009-11-21",1.1419
"2009-11-22",18.8848
"2009-11-23",9.9629
"2009-11-24",5.2846
"2009-11-25",1.153
"2009-11-26",0
"2009-11-27",0
"2009-11-28",5.2608
"2009-11-29",1.992
"2009-11-30",5.7622
"2009-12-01",16.629
"2009-12-02",1.1721
"2009-12-03",0.0143
"2009-12-04",2.3639
"2009-12-05",4.4888
"2009-12-06",5.7209
"2009-12-07",2.0703
"2009-12-08",7.0604
"2009-12-09",17.2712
"2009-12-10",30.7371
"2009-12-11",0.0225
"2009-12-12",25.0148
"2009-12-13",14.4897
"2009-12-14",32.4144
"2009-12-15",33.5871
"2009-12-16",8.9333
"2009-12-17",3.2565
"2009-12-18",0.615
"2009-12-19",0
"2009-12-20",7.9591
"2009-12-21",16.4283
"2009-12-22",8.5443
"2009-12-23",10.5433
"2009-12-24",0.3766
"2009-12-25",16.7013
"2009-12-26",0.2584
"2009-12-27",9.4168
"2009-12-28",4.4391
"2009-12-29",18.3948
"2009-12-30",4.2842
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0.3916
"2010-01-03",12.7448
"2010-01-04",0.004
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0.5073
"2010-01-08",11.8092
"2010-01-09",0
"2010-01-10",0
"2010-01-11",0
"2010-01-12",2.8296
"2010-01-13",2.8275
"2010-01-14",0
"2010-01-15",0
"2010-01-16",8.4652
"2010-01-17",28.7622
"2010-01-18",18.0203
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",4.8191
"2010-01-28",0.2759
"2010-01-29",5.2423
"2010-01-30",17.4748
"2010-01-31",24.1511
"2010-02-01",19.7428
"2010-02-02",12.6228
"2010-02-03",0.9064
"2010-02-04",0
"2010-02-05",0.169
"2010-02-06",0.1032
"2010-02-07",0.7436
"2010-02-08",0.0533
"2010-02-09",0
"2010-02-10",4.4149
"2010-02-11",8.2417
"2010-02-12",13.591
"2010-02-13",0
"2010-02-14",0
"2010-02-15",0
"2010-02-16",5.4247
"2010-02-17",0.1245
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0.067
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
