,"(mm) Precipitation (CHIRPS) at Mullaitivu, 2007-01-01 to 2025-12-31"
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",3.8954
"2008-07-12",0.1675
"2008-07-13",1.4548
"2008-07-14",0.725
"2008-07-15",0
"2008-07-16",0
"2008-07-17",0
"2008-07-18",0.8526
"2008-07-19",0.5235
"2008-07-20",2.1081
"2008-07-21",4.0911
"2008-07-22",3.7736
"2008-07-23",0.0432
"2008-07-24",0.0513
"2008-07-25",0.134
"2008-07-26",0.1382
"2008-07-27",1.1589
"2008-07-28",2.2773
"2008-07-29",0
"2008-07-30",0
"2008-07-31",0
"2008-08-01",2.2584
"2008-08-02",3.5261
"2008-08-03",0.8106
"2008-08-04",1.5291
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0
"2008-08-08",1.9259
"2008-08-09",1.4991
"2008-08-10",0
"2008-08-11",0
"2008-08-12",0
"2008-08-13",0.3087
"2008-08-14",1.4991
"2008-08-15",0
"2008-08-16",0.1279
"2008-08-17",2.8528
"2008-08-18",0.0261
"2008-08-19",0
"2008-08-20",0.2176
"2008-08-21",0
"2008-08-22",6.645
"2008-08-23",3.8325
"2008-08-24",0.9387
"2008-08-25",0.5151
"2008-08-26",7.5214
"2008-08-27",2.4065
"2008-08-28",7.1184
"2008-08-29",4.7155
"2008-08-30",2.5924
"2008-08-31",0.2013
"2008-09-01",0
"2008-09-02",2.3317
"2008-09-03",0.3307
"2008-09-04",2.958
"2008-09-05",0.9908
"2008-09-06",7.3361
"2008-09-07",3.7183
"2008-09-08",0.3175
"2008-09-09",0
"2008-09-10",0
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0.0439
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0.0095
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",0.1542
"2008-09-26",0
"2008-09-27",5.5957
"2008-09-28",1.2468
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",0
"2008-10-04",0.1379
"2008-10-05",0
"2008-10-06",0.58
"2008-10-07",3.4938
"2008-10-08",2.1775
"2008-10-09",0.2694
"2008-10-10",0
"2008-10-11",8.3616
"2008-10-12",12.8376
"2008-10-13",4.1325
"2008-10-14",4.8913
"2008-10-15",1.8358
"2008-10-16",3.4064
"2008-10-17",0.5076
"2008-10-18",5.7684
"2008-10-19",2.3751
"2008-10-20",16.1848
"2008-10-21",36.8329
"2008-10-22",2.8217
"2008-10-23",1.5334
"2008-10-24",10.4387
"2008-10-25",0.2454
"2008-10-26",7.2684
"2008-10-27",4.1279
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",0
"2008-11-09",2.6663
"2008-11-10",31.7097
"2008-11-11",31.9869
"2008-11-12",24.8491
"2008-11-13",12.4795
"2008-11-14",0
"2008-11-15",4.0637
"2008-11-16",0
"2008-11-17",0
"2008-11-18",0.3099
"2008-11-19",28.4334
"2008-11-20",11.7581
"2008-11-21",20.999
"2008-11-22",22.0675
"2008-11-23",49.4579
"2008-11-24",68.5704
"2008-11-25",63.2267
"2008-11-26",65.7275
"2008-11-27",15.0614
"2008-11-28",0
"2008-11-29",12.0821
"2008-11-30",0
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0.0292
"2008-12-05",0.6185
"2008-12-06",81.574
"2008-12-07",62.0723
"2008-12-08",25.0609
"2008-12-09",8.3276
"2008-12-10",8.6648
"2008-12-11",0
"2008-12-12",0
"2008-12-13",0
"2008-12-14",0
"2008-12-15",56.6219
"2008-12-16",25.9575
"2008-12-17",22.616
"2008-12-18",7.2125
"2008-12-19",0
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",15.7908
"2009-01-07",0
"2009-01-08",4.7226
"2009-01-09",39.1663
"2009-01-10",3.7147
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",1.0379
"2009-01-23",0
"2009-01-24",0.0379
"2009-01-25",2.8606
"2009-01-26",29.8063
"2009-01-27",0
"2009-01-28",0
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.5751
"2009-02-20",0.6265
"2009-02-21",0.4606
"2009-02-22",0
"2009-02-23",2.5886
"2009-02-24",0.5282
"2009-02-25",0.5282
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",0.2733
"2009-03-08",11.6148
"2009-03-09",34.6197
"2009-03-10",13.9211
"2009-03-11",12.1825
"2009-03-12",4.3953
"2009-03-13",13.8929
"2009-03-14",17.0441
"2009-03-15",8.1845
"2009-03-16",0
"2009-03-17",0
"2009-03-18",0
"2009-03-19",0
"2009-03-20",0
"2009-03-21",0.2641
"2009-03-22",0
"2009-03-23",0
"2009-03-24",0
"2009-03-25",4.6287
"2009-03-26",1.1218
"2009-03-27",1.2666
"2009-03-28",0.4859
"2009-03-29",3.8296
"2009-03-30",0.1
"2009-03-31",0
"2009-04-01",0
"2009-04-02",0
"2009-04-03",1.1396
"2009-04-04",6.0684
"2009-04-05",0.2331
"2009-04-06",0.2996
"2009-04-07",0
"2009-04-08",18.8391
"2009-04-09",4.7091
"2009-04-10",37.3626
"2009-04-11",30.1191
"2009-04-12",9.0703
"2009-04-13",3.2134
"2009-04-14",12.8514
"2009-04-15",0.1578
"2009-04-16",0.0427
"2009-04-17",0
"2009-04-18",0.6597
"2009-04-19",5.1451
"2009-04-20",0.268
"2009-04-21",0
"2009-04-22",0
"2009-04-23",0
"2009-04-24",0
"2009-04-25",0
"2009-04-26",5.9458
"2009-04-27",0.2098
"2009-04-28",0
"2009-04-29",0.9975
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0.0242
"2009-05-05",1.6944
"2009-05-06",0.6259
"2009-05-07",0
"2009-05-08",0
"2009-05-09",0
"2009-05-10",0
"2009-05-11",2.1573
"2009-05-12",0
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0
"2009-05-16",1.4162
"2009-05-17",0.4298
"2009-05-18",1.9938
"2009-05-19",2.8522
"2009-05-20",2.9624
"2009-05-21",2.9783
"2009-05-22",0.8904
"2009-05-23",0
"2009-05-24",0.5676
"2009-05-25",0.6283
"2009-05-26",0
"2009-05-27",0
"2009-05-28",0
"2009-05-29",0
"2009-05-30",0
"2009-05-31",0
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0.0107
"2009-06-04",0
"2009-06-05",0
"2009-06-06",0.0714
"2009-06-07",0.1417
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",0
"2009-06-12",0
"2009-06-13",0
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0.0055
"2009-06-23",0
"2009-06-24",0
"2009-06-25",0.0102
"2009-06-26",0
"2009-06-27",0
"2009-06-28",0.1214
"2009-06-29",0.1915
"2009-06-30",0
"2009-07-01",0
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",0.4423
"2009-07-06",3.9111
"2009-07-07",0
"2009-07-08",0.1871
"2009-07-09",3.1226
"2009-07-10",2.0225
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",1.7722
"2009-07-15",2.0773
"2009-07-16",0.0642
"2009-07-17",0
"2009-07-18",0
"2009-07-19",0.4273
"2009-07-20",0.1438
"2009-07-21",0.0306
"2009-07-22",0
"2009-07-23",0
"2009-07-24",0.021
"2009-07-25",1.7225
"2009-07-26",0.6841
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0.6233
"2009-07-30",2.1143
"2009-07-31",0.7101
"2009-08-01",0
"2009-08-02",0.5497
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",0.4996
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0.2717
"2009-08-11",1.7626
"2009-08-12",1.357
"2009-08-13",0.3823
"2009-08-14",0.6741
"2009-08-15",10.2829
"2009-08-16",12.6704
"2009-08-17",9.3586
"2009-08-18",0.0882
"2009-08-19",6.6839
"2009-08-20",9.9286
"2009-08-21",0.2593
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0.0768
"2009-08-26",0
"2009-08-27",0
"2009-08-28",0
"2009-08-29",0
"2009-08-30",0.1458
"2009-08-31",6.0375
"2009-09-01",0.1923
"2009-09-02",0.3778
"2009-09-03",0
"2009-09-04",0
"2009-09-05",0
"2009-09-06",0
"2009-09-07",0.0127
"2009-09-08",0.0431
"2009-09-09",0
"2009-09-10",0
"2009-09-11",1.3378
"2009-09-12",0
"2009-09-13",0.5777
"2009-09-14",0
"2009-09-15",0.8931
"2009-09-16",3.4063
"2009-09-17",4.1755
"2009-09-18",5.7613
"2009-09-19",0
"2009-09-20",0.6591
"2009-09-21",2.3603
"2009-09-22",1.7669
"2009-09-23",2.0772
"2009-09-24",0
"2009-09-25",1.2127
"2009-09-26",0
"2009-09-27",0
"2009-09-28",1.1341
"2009-09-29",1.1556
"2009-09-30",0.7945
"2009-10-01",0
"2009-10-02",0
"2009-10-03",0
"2009-10-04",0
"2009-10-05",0.0427
"2009-10-06",0.2229
"2009-10-07",0.2652
"2009-10-08",0
"2009-10-09",0
"2009-10-10",1.3236
"2009-10-11",0
"2009-10-12",3.1813
"2009-10-13",1.1903
"2009-10-14",0.0328
"2009-10-15",0
"2009-10-16",0
"2009-10-17",0
"2009-10-18",2.1534
"2009-10-19",2.1655
"2009-10-20",0
"2009-10-21",0
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0
"2009-10-25",0
"2009-10-26",0
"2009-10-27",0
"2009-10-28",16.3084
"2009-10-29",24.5975
"2009-10-30",0.9282
"2009-10-31",15.7475
"2009-11-01",0
"2009-11-02",3.9332
"2009-11-03",13.9677
"2009-11-04",32.2833
"2009-11-05",46.6845
"2009-11-06",44.6927
"2009-11-07",28.0207
"2009-11-08",28.5487
"2009-11-09",37.7058
"2009-11-10",9.0388
"2009-11-11",26.8208
"2009-11-12",7.7233
"2009-11-13",49.301
"2009-11-14",31.8918
"2009-11-15",26.4353
"2009-11-16",3.6358
"2009-11-17",14.9394
"2009-11-18",13.1658
"2009-11-19",0.5117
"2009-11-20",38.3375
"2009-11-21",6.7821
"2009-11-22",0.1481
"2009-11-23",0
"2009-11-24",0.3862
"2009-11-25",0
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0.1176
"2009-11-30",2.6492
"2009-12-01",26.7981
"2009-12-02",7.8728
"2009-12-03",0.1539
"2009-12-04",0.075
"2009-12-05",0
"2009-12-06",0.2642
"2009-12-07",0.4615
"2009-12-08",10.6478
"2009-12-09",1.9996
"2009-12-10",0.0224
"2009-12-11",23.8003
"2009-12-12",8.7048
"2009-12-13",7.0268
"2009-12-14",57.5421
"2009-12-15",64.7726
"2009-12-16",36.5928
"2009-12-17",20.2851
"2009-12-18",0
"2009-12-19",0.0206
"2009-12-20",0.0235
"2009-12-21",70.9388
"2009-12-22",43.8715
"2009-12-23",15.6888
"2009-12-24",6.1061
"2009-12-25",17.691
"2009-12-26",2.7255
"2009-12-27",23.9493
"2009-12-28",0.2786
"2009-12-29",1.8793
"2009-12-30",0
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0.6028
"2010-01-03",1.9244
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",50.6596
"2010-01-09",0
"2010-01-10",0
"2010-01-11",0.0741
"2010-01-12",1.8483
"2010-01-13",0
"2010-01-14",0
"2010-01-15",0
"2010-01-16",0
"2010-01-17",0.3319
"2010-01-18",1.6506
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",0
"2010-01-28",0
"2010-01-29",0
"2010-01-30",0
"2010-01-31",0
"2010-02-01",0
"2010-02-02",0
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0
"2010-02-10",0.0238
"2010-02-11",4.4425
"2010-02-12",7.1109
"2010-02-13",0
"2010-02-14",0.0653
"2010-02-15",2.8944
"2010-02-16",0.1928
"2010-02-17",0
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",1.1368
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",0.0171
"2010-03-14",0
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",0
"2010-03-19",0
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0.5946
"2010-03-23",0
"2010-03-24",1.6933
"2010-03-25",0
"2010-03-26",5.4507
"2010-03-27",11.0968
"2010-03-28",0.6685
"2010-03-29",2.6598
"2010-03-30",2.941
"2010-03-31",0
"2010-04-01",0
"2010-04-02",0
"2010-04-03",0
"2010-04-04",1.5873
"2010-04-05",7.1413
"2010-04-06",1.2544
"2010-04-07",3.3369
"2010-04-08",0.0043
"2010-04-09",1.3586
"2010-04-10",3.3926
"2010-04-11",0
"2010-04-12",0.1721
"2010-04-13",0
"2010-04-14",0.9225
"2010-04-15",0.9597
"2010-04-16",3.6761
"2010-04-17",8.9007
"2010-04-18",2.396
"2010-04-19",4.0345
"2010-04-20",1.9163
"2010-04-21",0.9446
"2010-04-22",1.732
"2010-04-23",2.8267
"2010-04-24",2.1725
"2010-04-25",2.8476
"2010-04-26",12.7704
"2010-04-27",2.1553
"2010-04-28",8.6238
"2010-04-29",8.7029
