,"(mm) Precipitation (CHIRPS) at Kilinochchi, 2007-01-01 to 2025-12-31"
"2008-07-21",0.0068
"2008-07-22",0.0098
"2008-07-23",0
"2008-07-24",0.0001
"2008-07-25",0.0006
"2008-07-26",0.0008
"2008-07-27",0.0147
"2008-07-28",0.0419
"2008-07-29",0
"2008-07-30",0
"2008-07-31",0
"2008-08-01",0.0034
"2008-08-02",0.0531
"2008-08-03",0.0168
"2008-08-04",0.035
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0.0003
"2008-08-08",0.1112
"2008-08-09",0.0087
"2008-08-10",0
"2008-08-11",0
"2008-08-12",0
"2008-08-13",0.0141
"2008-08-14",0.026
"2008-08-15",0
"2008-08-16",0.0293
"2008-08-17",0.1934
"2008-08-18",0.0006
"2008-08-19",0.0017
"2008-08-20",0
"2008-08-21",0
"2008-08-22",0.4606
"2008-08-23",0.2555
"2008-08-24",0.1625
"2008-08-25",0.1776
"2008-08-26",1.4719
"2008-08-27",0.4487
"2008-08-28",2.3009
"2008-08-29",1.4208
"2008-08-30",0.8219
"2008-08-31",0.0045
"2008-09-01",0
"2008-09-02",0.6009
"2008-09-03",0.1021
"2008-09-04",1.3782
"2008-09-05",1.1951
"2008-09-06",1.6151
"2008-09-07",2.0808
"2008-09-08",0.2149
"2008-09-09",0.1763
"2008-09-10",0
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0.0506
"2008-09-16",0.0046
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0.0331
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0.0044
"2008-09-25",0.5711
"2008-09-26",0
"2008-09-27",2.4076
"2008-09-28",0.9314
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",0
"2008-10-04",0.7848
"2008-10-05",0
"2008-10-06",1.4176
"2008-10-07",6.8681
"2008-10-08",1.8938
"2008-10-09",0.2955
"2008-10-10",0
"2008-10-11",9.5169
"2008-10-12",14.427
"2008-10-13",4.8815
"2008-10-14",8.7515
"2008-10-15",1.1067
"2008-10-16",8.1854
"2008-10-17",0.2262
"2008-10-18",3.1735
"2008-10-19",1.2172
"2008-10-20",16.8575
"2008-10-21",36.8602
"2008-10-22",0.3596
"2008-10-23",6.6035
"2008-10-24",3.2853
"2008-10-25",0
"2008-10-26",3.6148
"2008-10-27",9.8521
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",0
"2008-11-09",0
"2008-11-10",25.6737
"2008-11-11",30.3074
"2008-11-12",28.5594
"2008-11-13",10.5486
"2008-11-14",0.0532
"2008-11-15",0.0209
"2008-11-16",0
"2008-11-17",0
"2008-11-18",0
"2008-11-19",34.2286
"2008-11-20",11.1742
"2008-11-21",23.7279
"2008-11-22",16.0051
"2008-11-23",51.5762
"2008-11-24",64.8676
"2008-11-25",68.7716
"2008-11-26",66.8551
"2008-11-27",18.2485
"2008-11-28",0
"2008-11-29",16.4829
"2008-11-30",0
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0
"2008-12-06",72.8875
"2008-12-07",63.5367
"2008-12-08",17.7834
"2008-12-09",15.987
"2008-12-10",3.47
"2008-12-11",0
"2008-12-12",0
"2008-12-13",0.6994
"2008-12-14",0
"2008-12-15",51.5048
"2008-12-16",35.1449
"2008-12-17",25.511
"2008-12-18",14.1435
"2008-12-19",0
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",8.4722
"2009-01-07",0
"2009-01-08",4.8084
"2009-01-09",36.4226
"2009-01-10",0.3699
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",1.0792
"2009-01-23",0
"2009-01-24",0
"2009-01-25",0
"2009-01-26",26.6153
"2009-01-27",0
"2009-01-28",0
"2009-01-29",0.1338
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0
"2009-02-20",3.7283
"2009-02-21",0
"2009-02-22",0
"2009-02-23",4.0843
"2009-02-24",0.0217
"2009-02-25",0.0217
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",0
"2009-03-08",11.3838
"2009-03-09",23.9173
"2009-03-10",10.4259
"2009-03-11",15.5166
"2009-03-12",0.0592
"2009-03-13",7.1641
"2009-03-14",11.0845
"2009-03-15",0.0138
"2009-03-16",0
"2009-03-17",0
"2009-03-18",0
"2009-03-19",0
"2009-03-20",0
"2009-03-21",0
"2009-03-22",0
"2009-03-23",0
"2009-03-24",0
"2009-03-25",0
"2009-03-26",0
"2009-03-27",0
"2009-03-28",0
"2009-03-29",0.1159
"2009-03-30",0
"2009-03-31",0
"2009-04-01",0
"2009-04-02",0
"2009-04-03",0.5333
"2009-04-04",8.0723
"2009-04-05",0
"2009-04-06",0
"2009-04-07",0
"2009-04-08",20.9013
"2009-04-09",1.434
"2009-04-10",41.8718
"2009-04-11",23.9082
"2009-04-12",9.8068
"2009-04-13",4.116
"2009-04-14",13.3956
"2009-04-15",0
"2009-04-16",0
"2009-04-17",0
"2009-04-18",1.0299
"2009-04-19",3.1843
"2009-04-20",0
"2009-04-21",0
"2009-04-22",0.62
"2009-04-23",0
"2009-04-24",0
"2009-04-25",0
"2009-04-26",2.6984
"2009-04-27",0
"2009-04-28",0
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",0.3423
"2009-05-06",0.023
"2009-05-07",0
"2009-05-08",0
"2009-05-09",0
"2009-05-10",0
"2009-05-11",0.7074
"2009-05-12",0
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0
"2009-05-16",0.3978
"2009-05-17",0.0084
"2009-05-18",0.5417
"2009-05-19",0.8025
"2009-05-20",0.9697
"2009-05-21",0.9792
"2009-05-22",0.1303
"2009-05-23",0
"2009-05-24",0.3081
"2009-05-25",0.3044
"2009-05-26",0
"2009-05-27",0
"2009-05-28",0
"2009-05-29",0
"2009-05-30",0
"2009-05-31",0
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",0
"2009-06-06",0.0538
"2009-06-07",0.0248
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",0
"2009-06-12",0
"2009-06-13",0
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0
"2009-06-24",0
"2009-06-25",0
"2009-06-26",0
"2009-06-27",0
"2009-06-28",0
"2009-06-29",0.0001
"2009-06-30",0
"2009-07-01",0
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",0.0005
"2009-07-06",0.0012
"2009-07-07",0
"2009-07-08",0
"2009-07-09",0.0012
"2009-07-10",0.0004
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",0.0005
"2009-07-15",0.0005
"2009-07-16",0
"2009-07-17",0
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0.0008
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0.0003
"2009-07-24",0
"2009-07-25",0.0025
"2009-07-26",0.0246
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0
"2009-07-30",0.0147
"2009-07-31",0.0286
"2009-08-01",0
"2009-08-02",0
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",0.0217
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",0.01
"2009-08-12",0
"2009-08-13",0
"2009-08-14",0
"2009-08-15",0.3965
"2009-08-16",0.2307
"2009-08-17",1.0088
"2009-08-18",0.0092
"2009-08-19",0.2593
"2009-08-20",0.4788
"2009-08-21",0.0909
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0.0015
"2009-08-25",0.5254
"2009-08-26",0
"2009-08-27",0
"2009-08-28",0
"2009-08-29",0
"2009-08-30",0.0574
"2009-08-31",2.4139
"2009-09-01",0.2983
"2009-09-02",0.4013
"2009-09-03",0.0055
"2009-09-04",0
"2009-09-05",0
"2009-09-06",0
"2009-09-07",0
"2009-09-08",0
"2009-09-09",0
"2009-09-10",0
"2009-09-11",0.5867
"2009-09-12",0.0254
"2009-09-13",0.284
"2009-09-14",0
"2009-09-15",0.9346
"2009-09-16",1.582
"2009-09-17",1.4729
"2009-09-18",1.4931
"2009-09-19",0.0371
"2009-09-20",0.1965
"2009-09-21",2.4064
"2009-09-22",2.5208
"2009-09-23",0.0313
"2009-09-24",0
"2009-09-25",0.6342
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0.179
"2009-09-29",0.5376
"2009-09-30",0.1914
"2009-10-01",0
"2009-10-02",0
"2009-10-03",0
"2009-10-04",0
"2009-10-05",0.5148
"2009-10-06",0
"2009-10-07",0
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0
"2009-10-11",0.2398
"2009-10-12",0.6081
"2009-10-13",1.6017
"2009-10-14",0
"2009-10-15",0
"2009-10-16",0
"2009-10-17",0
"2009-10-18",1.7753
"2009-10-19",2.7372
"2009-10-20",0
"2009-10-21",0
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0
"2009-10-25",0
"2009-10-26",0
"2009-10-27",0
"2009-10-28",17.4255
"2009-10-29",21.2195
"2009-10-30",5.9261
"2009-10-31",4.9276
"2009-11-01",0
"2009-11-02",0.4977
"2009-11-03",9.8934
"2009-11-04",29.5729
"2009-11-05",37.3099
"2009-11-06",50.5778
"2009-11-07",31.2839
"2009-11-08",25.2496
"2009-11-09",36.1042
"2009-11-10",13.8097
"2009-11-11",5.6629
"2009-11-12",11.9926
"2009-11-13",43.6764
"2009-11-14",27.5142
"2009-11-15",36.4823
"2009-11-16",0.3026
"2009-11-17",19.3425
"2009-11-18",13.6899
"2009-11-19",0.7299
"2009-11-20",24.1887
"2009-11-21",3.5154
"2009-11-22",2.3836
"2009-11-23",0
"2009-11-24",1.207
"2009-11-25",0
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0
"2009-11-30",3.7955
"2009-12-01",37.5961
"2009-12-02",8.7896
"2009-12-03",0
"2009-12-04",0.6525
"2009-12-05",0
"2009-12-06",0
"2009-12-07",0
"2009-12-08",5.1977
"2009-12-09",0.482
"2009-12-10",0.052
"2009-12-11",22.8484
"2009-12-12",5.6027
"2009-12-13",0.8635
"2009-12-14",57.7271
"2009-12-15",49.938
"2009-12-16",49.4901
"2009-12-17",18.7866
"2009-12-18",0
"2009-12-19",0
"2009-12-20",0
"2009-12-21",65.4884
"2009-12-22",55.9176
"2009-12-23",27.0181
"2009-12-24",0
"2009-12-25",13.3967
"2009-12-26",0
"2009-12-27",19.7403
"2009-12-28",0.0354
"2009-12-29",0.4563
"2009-12-30",0
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0
"2010-01-03",3.6519
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",50.3052
"2010-01-09",0.0157
"2010-01-10",0
"2010-01-11",0.1486
"2010-01-12",0.3266
"2010-01-13",0
"2010-01-14",0
"2010-01-15",0.0084
"2010-01-16",0.0224
"2010-01-17",1.4484
"2010-01-18",0
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",0.0084
"2010-01-28",0
"2010-01-29",0
"2010-01-30",0
"2010-01-31",0
"2010-02-01",0
"2010-02-02",0
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0
"2010-02-10",0.0445
"2010-02-11",0.5984
"2010-02-12",7.7646
"2010-02-13",0
"2010-02-14",0
"2010-02-15",0.3625
"2010-02-16",1.1713
"2010-02-17",0
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",0
"2010-03-14",0
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",0
"2010-03-19",0
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0.0066
"2010-03-23",0
"2010-03-24",0.2932
"2010-03-25",0
"2010-03-26",3.6048
"2010-03-27",7.6631
"2010-03-28",1.5233
"2010-03-29",3.2194
"2010-03-30",4.7758
"2010-03-31",0
"2010-04-01",0
"2010-04-02",0
"2010-04-03",0
"2010-04-04",2.0535
"2010-04-05",5.1294
"2010-04-06",1.2788
"2010-04-07",3.6348
"2010-04-08",0.0428
"2010-04-09",1.471
"2010-04-10",2.4333
"2010-04-11",0
"2010-04-12",0
"2010-04-13",0
"2010-04-14",1.1415
"2010-04-15",0.3928
"2010-04-16",3.2382
"2010-04-17",6.6422
"2010-04-18",0.7128
"2010-04-19",2.4177
"2010-04-20",0.0456
"2010-04-21",0.1474
"2010-04-22",1.2223
"2010-04-23",1.7347
"2010-04-24",1.709
"2010-04-25",1.6705
"2010-04-26",10.097
"2010-04-27",4.6005
"2010-04-28",6.7065
"2010-04-29",3.5385
"2010-04-30",10.9861
"2010-05-01",1.1896
"2010-05-02",0.817
"2010-05-03",0.1417
"2010-05-04",0.2181
"2010-05-05",1.4363
"2010-05-06",0.0575
"2010-05-07",0.138
"2010-05-08",2.8568
"2010-05-09",1.8786
"2010-05-10",0.676
"2010-05-11",0.0012
"2010-05-12",0.1899
"2010-05-13",0.0312
"2010-05-14",1.1298
"2010-05-15",0.1717
"2010-05-16",1.0499
"2010-05-17",1.4542
"2010-05-18",4.1427
"2010-05-19",2.1841
"2010-05-20",0
