,"(mm) Precipitation (CHIRPS) at Jaffna, 2007-01-01 to 2025-12-31"
"2008-07-25",0.0206
"2008-07-26",0.0035
"2008-07-27",0.0672
"2008-07-28",0.0726
"2008-07-29",0
"2008-07-30",0.1094
"2008-07-31",0
"2008-08-01",0
"2008-08-02",1.1613
"2008-08-03",0.4902
"2008-08-04",1.0371
"2008-08-05",0
"2008-08-06",0.1834
"2008-08-07",0.2934
"2008-08-08",1.3488
"2008-08-09",0.0431
"2008-08-10",0
"2008-08-11",0
"2008-08-12",0
"2008-08-13",0.1492
"2008-08-14",0.0029
"2008-08-15",0.0606
"2008-08-16",0
"2008-08-17",0.0427
"2008-08-18",0.1466
"2008-08-19",0
"2008-08-20",0
"2008-08-21",0.1412
"2008-08-22",0.9005
"2008-08-23",0.0004
"2008-08-24",0.0069
"2008-08-25",0.6963
"2008-08-26",2.9263
"2008-08-27",0.0869
"2008-08-28",0.1997
"2008-08-29",1.8612
"2008-08-30",1.9942
"2008-08-31",0.8095
"2008-09-01",0
"2008-09-02",1.0783
"2008-09-03",0.0111
"2008-09-04",0.7064
"2008-09-05",0.1909
"2008-09-06",0.6441
"2008-09-07",2.0553
"2008-09-08",0.457
"2008-09-09",0.097
"2008-09-10",0
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0.0949
"2008-09-16",0.1576
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0.0646
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",0.0968
"2008-09-26",0
"2008-09-27",0.4669
"2008-09-28",0
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",0
"2008-10-04",0
"2008-10-05",0.0002
"2008-10-06",0.6583
"2008-10-07",4.3998
"2008-10-08",0.2052
"2008-10-09",1.6162
"2008-10-10",0
"2008-10-11",8.7651
"2008-10-12",15.0751
"2008-10-13",3.9599
"2008-10-14",11.4328
"2008-10-15",9.917
"2008-10-16",2.6733
"2008-10-17",0.5578
"2008-10-18",3.4083
"2008-10-19",0.3147
"2008-10-20",23.91
"2008-10-21",30.9083
"2008-10-22",1.384
"2008-10-23",17.6217
"2008-10-24",3.7468
"2008-10-25",0
"2008-10-26",10.8442
"2008-10-27",11.9874
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",0
"2008-11-09",0
"2008-11-10",17.0953
"2008-11-11",23.9715
"2008-11-12",27.0863
"2008-11-13",11.8417
"2008-11-14",0.4566
"2008-11-15",0.0297
"2008-11-16",0
"2008-11-17",0
"2008-11-18",0
"2008-11-19",25.2428
"2008-11-20",28.7332
"2008-11-21",27.8516
"2008-11-22",31.0655
"2008-11-23",57.0575
"2008-11-24",77.9183
"2008-11-25",86.2164
"2008-11-26",95.9341
"2008-11-27",44.6949
"2008-11-28",0
"2008-11-29",7.415
"2008-11-30",0
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0
"2008-12-06",82.2799
"2008-12-07",47.9829
"2008-12-08",5.4116
"2008-12-09",23.9245
"2008-12-10",1.3333
"2008-12-11",0
"2008-12-12",0
"2008-12-13",0.8707
"2008-12-14",0
"2008-12-15",39.9823
"2008-12-16",33.9324
"2008-12-17",24.4144
"2008-12-18",28.5651
"2008-12-19",0.2713
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",2.5151
"2009-01-07",0
"2009-01-08",2.8771
"2009-01-09",36.7609
"2009-01-10",2.6881
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",0.1804
"2009-01-23",0
"2009-01-24",0
"2009-01-25",0
"2009-01-26",27.0824
"2009-01-27",0
"2009-01-28",0
"2009-01-29",1.4009
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0
"2009-02-20",3.0532
"2009-02-21",1.0581
"2009-02-22",0
"2009-02-23",1.84
"2009-02-24",0.8607
"2009-02-25",0.8607
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",0
"2009-03-08",7.6335
"2009-03-09",25.3968
"2009-03-10",10.457
"2009-03-11",7.4599
"2009-03-12",0
"2009-03-13",0.3109
"2009-03-14",1.2374
"2009-03-15",0
"2009-03-16",0
"2009-03-17",0
"2009-03-18",0
"2009-03-19",0
"2009-03-20",0
"2009-03-21",0
"2009-03-22",0
"2009-03-23",0
"2009-03-24",0
"2009-03-25",0
"2009-03-26",0
"2009-03-27",0
"2009-03-28",0
"2009-03-29",0
"2009-03-30",0
"2009-03-31",0
"2009-04-01",0
"2009-04-02",0
"2009-04-03",0.8331
"2009-04-04",3.1303
"2009-04-05",0
"2009-04-06",0
"2009-04-07",0
"2009-04-08",13.0467
"2009-04-09",1.3281
"2009-04-10",37.0327
"2009-04-11",17.4733
"2009-04-12",10.6257
"2009-04-13",2.6055
"2009-04-14",11.43
"2009-04-15",0.3313
"2009-04-16",0
"2009-04-17",0
"2009-04-18",0.327
"2009-04-19",0.0916
"2009-04-20",0
"2009-04-21",0
"2009-04-22",0.9509
"2009-04-23",0
"2009-04-24",0
"2009-04-25",0
"2009-04-26",0
"2009-04-27",0
"2009-04-28",0
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",0.0418
"2009-05-06",0.0068
"2009-05-07",0
"2009-05-08",0
"2009-05-09",0
"2009-05-10",0
"2009-05-11",0.326
"2009-05-12",0
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0.4689
"2009-05-16",0.8054
"2009-05-17",0.0254
"2009-05-18",1.1685
"2009-05-19",2.1426
"2009-05-20",1.7049
"2009-05-21",2.4034
"2009-05-22",0.2859
"2009-05-23",0
"2009-05-24",2.1599
"2009-05-25",0.0669
"2009-05-26",0
"2009-05-27",0
"2009-05-28",0
"2009-05-29",0
"2009-05-30",0
"2009-05-31",0.0764
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",0
"2009-06-06",0.2307
"2009-06-07",0
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",0
"2009-06-12",0
"2009-06-13",0
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0
"2009-06-24",0
"2009-06-25",0
"2009-06-26",0
"2009-06-27",0
"2009-06-28",0
"2009-06-29",0
"2009-06-30",0
"2009-07-01",0
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",0
"2009-07-06",0
"2009-07-07",0
"2009-07-08",0
"2009-07-09",0
"2009-07-10",0
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",0
"2009-07-15",0
"2009-07-16",0
"2009-07-17",0
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0.0246
"2009-07-24",0
"2009-07-25",0.0225
"2009-07-26",0.0186
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0
"2009-07-30",0
"2009-07-31",0.0071
"2009-08-01",0
"2009-08-02",0.1299
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",0
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",0
"2009-08-12",0
"2009-08-13",0
"2009-08-14",0
"2009-08-15",3.0822
"2009-08-16",1.8336
"2009-08-17",7.7399
"2009-08-18",0.1465
"2009-08-19",1.4022
"2009-08-20",3.0905
"2009-08-21",0.0021
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0.0845
"2009-08-25",1.208
"2009-08-26",0.1631
"2009-08-27",0
"2009-08-28",0
"2009-08-29",0
"2009-08-30",0.0575
"2009-08-31",2.6198
"2009-09-01",0.6044
"2009-09-02",0.8574
"2009-09-03",0.0617
"2009-09-04",0
"2009-09-05",0
"2009-09-06",0
"2009-09-07",0.2913
"2009-09-08",0
"2009-09-09",0
"2009-09-10",0
"2009-09-11",0.2359
"2009-09-12",0
"2009-09-13",0
"2009-09-14",0
"2009-09-15",0.1656
"2009-09-16",0.4571
"2009-09-17",1.0509
"2009-09-18",1.8368
"2009-09-19",0.4226
"2009-09-20",0.0372
"2009-09-21",0.9164
"2009-09-22",1.9975
"2009-09-23",0.0009
"2009-09-24",0
"2009-09-25",0
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0.0399
"2009-09-29",2.3738
"2009-09-30",0.4475
"2009-10-01",0
"2009-10-02",0
"2009-10-03",0
"2009-10-04",0
"2009-10-05",0.0587
"2009-10-06",0
"2009-10-07",0
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0
"2009-10-11",0
"2009-10-12",0.2388
"2009-10-13",0.0892
"2009-10-14",0.1096
"2009-10-15",0
"2009-10-16",0
"2009-10-17",0
"2009-10-18",0.0607
"2009-10-19",3.524
"2009-10-20",0
"2009-10-21",0
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0
"2009-10-25",0
"2009-10-26",0
"2009-10-27",0
"2009-10-28",31.313
"2009-10-29",24.7721
"2009-10-30",11.1776
"2009-10-31",7.1968
"2009-11-01",0.3088
"2009-11-02",0
"2009-11-03",2.5119
"2009-11-04",46.0022
"2009-11-05",52.627
"2009-11-06",48.0664
"2009-11-07",29.8325
"2009-11-08",32.7823
"2009-11-09",55.7501
"2009-11-10",11.4238
"2009-11-11",5.4391
"2009-11-12",1.1346
"2009-11-13",50.8759
"2009-11-14",18.7934
"2009-11-15",54.0321
"2009-11-16",0
"2009-11-17",24.7488
"2009-11-18",16.0444
"2009-11-19",0.5454
"2009-11-20",15.0074
"2009-11-21",11.1033
"2009-11-22",0.5039
"2009-11-23",3.0124
"2009-11-24",0
"2009-11-25",0
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0.2821
"2009-11-30",8.1727
"2009-12-01",47.6166
"2009-12-02",18.1399
"2009-12-03",0
"2009-12-04",7.3794
"2009-12-05",0
"2009-12-06",0
"2009-12-07",0
"2009-12-08",1.8123
"2009-12-09",0.2868
"2009-12-10",0.0008
"2009-12-11",11.8445
"2009-12-12",14.5008
"2009-12-13",1.1802
"2009-12-14",47.457
"2009-12-15",60.7374
"2009-12-16",63.8784
"2009-12-17",13.6591
"2009-12-18",0
"2009-12-19",0
"2009-12-20",0.8064
"2009-12-21",67.4684
"2009-12-22",61.7431
"2009-12-23",22.0788
"2009-12-24",0.7872
"2009-12-25",0
"2009-12-26",0
"2009-12-27",10.2333
"2009-12-28",0
"2009-12-29",0
"2009-12-30",0
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0
"2010-01-03",3.4207
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",49.0222
"2010-01-09",1.5551
"2010-01-10",0.9596
"2010-01-11",0.1051
"2010-01-12",0.6019
"2010-01-13",0
"2010-01-14",0
"2010-01-15",0
"2010-01-16",0
"2010-01-17",3.1021
"2010-01-18",0
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",0
"2010-01-28",0
"2010-01-29",0
"2010-01-30",0
"2010-01-31",0
"2010-02-01",0
"2010-02-02",0
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0
"2010-02-10",0.0344
"2010-02-11",1.2301
"2010-02-12",4.3889
"2010-02-13",0
"2010-02-14",1.7547
"2010-02-15",1.3554
"2010-02-16",0.3438
"2010-02-17",1.0842
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0
"2010-02-24",0
"2010-02-25",0.0187
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",0
"2010-03-14",0
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",0
"2010-03-19",0
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0.0094
"2010-03-23",0
"2010-03-24",0.0694
"2010-03-25",0
"2010-03-26",3.3197
"2010-03-27",9.1816
"2010-03-28",0.0178
"2010-03-29",1.7099
"2010-03-30",1.2745
"2010-03-31",0
"2010-04-01",0
"2010-04-02",0
"2010-04-03",0
"2010-04-04",2.2054
"2010-04-05",1.3236
"2010-04-06",0.1977
"2010-04-07",3.7509
"2010-04-08",0.721
"2010-04-09",0.3331
"2010-04-10",1.1174
"2010-04-11",0
"2010-04-12",0
"2010-04-13",0
"2010-04-14",0.5022
"2010-04-15",0.2119
"2010-04-16",2.7086
"2010-04-17",1.9558
"2010-04-18",0
"2010-04-19",0.1241
"2010-04-20",0
"2010-04-21",0.0157
"2010-04-22",0.101
"2010-04-23",1.0685
"2010-04-24",0.4295
"2010-04-25",0.3371
"2010-04-26",9.041
"2010-04-27",1.0883
"2010-04-28",3.3244
"2010-04-29",3.666
"2010-04-30",6.3065
"2010-05-01",5.7946
"2010-05-02",0.0105
"2010-05-03",0.2816
"2010-05-04",1.5342
"2010-05-05",3.4555
"2010-05-06",0.0095
"2010-05-07",0.0159
"2010-05-08",2.7803
"2010-05-09",2.8619
"2010-05-10",0.0101
"2010-05-11",0
"2010-05-12",0
"2010-05-13",0.0067
"2010-05-14",1.9054
"2010-05-15",0.2297
"2010-05-16",0.645
"2010-05-17",4.5163
"2010-05-18",8.5162
"2010-05-19",8.5834
"2010-05-20",0.0211
"2010-05-21",0.1751
"2010-05-22",0
"2010-05-23",0
"2010-05-24",0
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
