,"(mm) Precipitation (CHIRPS) at Mannar, 2007-01-01 to 2025-12-31"
"2008-07-10",0
"2008-07-11",0.6234
"2008-07-12",0
"2008-07-13",0.8114
"2008-07-14",1.0374
"2008-07-15",0
"2008-07-16",0
"2008-07-17",0
"2008-07-18",0.6789
"2008-07-19",0.3096
"2008-07-20",0.8965
"2008-07-21",1.0551
"2008-07-22",1.3556
"2008-07-23",0
"2008-07-24",0.0077
"2008-07-25",0.3304
"2008-07-26",0
"2008-07-27",0.6876
"2008-07-28",0.8745
"2008-07-29",0
"2008-07-30",0
"2008-07-31",0
"2008-08-01",0.2244
"2008-08-02",0.8797
"2008-08-03",0.1038
"2008-08-04",0.4817
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0
"2008-08-08",0.6048
"2008-08-09",0.3495
"2008-08-10",0.0301
"2008-08-11",0
"2008-08-12",0
"2008-08-13",0
"2008-08-14",0.8289
"2008-08-15",0.1407
"2008-08-16",0.4995
"2008-08-17",1.1656
"2008-08-18",0.0006
"2008-08-19",0
"2008-08-20",0
"2008-08-21",0
"2008-08-22",2.7661
"2008-08-23",0.7553
"2008-08-24",2.2131
"2008-08-25",1.6771
"2008-08-26",8.1483
"2008-08-27",6.0815
"2008-08-28",3.9722
"2008-08-29",2.6861
"2008-08-30",0.494
"2008-08-31",0
"2008-09-01",0
"2008-09-02",0.0811
"2008-09-03",0.1184
"2008-09-04",2.7637
"2008-09-05",0.0727
"2008-09-06",7.023
"2008-09-07",8.0466
"2008-09-08",1.1843
"2008-09-09",0
"2008-09-10",0
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0.1418
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",0.379
"2008-09-26",0
"2008-09-27",6.8158
"2008-09-28",0
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",0
"2008-10-04",5.1059
"2008-10-05",1.4324
"2008-10-06",2.9923
"2008-10-07",7.3143
"2008-10-08",5.7278
"2008-10-09",4.5403
"2008-10-10",0
"2008-10-11",7.012
"2008-10-12",7.9147
"2008-10-13",4.9615
"2008-10-14",10.7214
"2008-10-15",9.9814
"2008-10-16",16.1944
"2008-10-17",1.0734
"2008-10-18",7.3656
"2008-10-19",4.9358
"2008-10-20",13.7829
"2008-10-21",20.4384
"2008-10-22",7.2965
"2008-10-23",6.7523
"2008-10-24",26.0454
"2008-10-25",2.4493
"2008-10-26",4.9651
"2008-10-27",1.3352
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",0.025
"2008-11-09",0
"2008-11-10",21.5458
"2008-11-11",23.6647
"2008-11-12",11.1226
"2008-11-13",9.731
"2008-11-14",0
"2008-11-15",0
"2008-11-16",0
"2008-11-17",0
"2008-11-18",0
"2008-11-19",21.4848
"2008-11-20",17.5854
"2008-11-21",20.2716
"2008-11-22",14.2683
"2008-11-23",37.6336
"2008-11-24",55.2811
"2008-11-25",57.2238
"2008-11-26",61.8768
"2008-11-27",6.1125
"2008-11-28",2.3139
"2008-11-29",18.9675
"2008-11-30",0.3465
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0
"2008-12-06",34.5186
"2008-12-07",71.2894
"2008-12-08",17.7047
"2008-12-09",17.5421
"2008-12-10",12.1832
"2008-12-11",0
"2008-12-12",0
"2008-12-13",0.1114
"2008-12-14",0
"2008-12-15",32.5212
"2008-12-16",18.9383
"2008-12-17",8.6546
"2008-12-18",0.4895
"2008-12-19",0
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",10.4774
"2009-01-07",0
"2009-01-08",0.1266
"2009-01-09",28.5503
"2009-01-10",0.732
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",0.2779
"2009-01-23",0
"2009-01-24",0.1075
"2009-01-25",1.0535
"2009-01-26",25.7159
"2009-01-27",0.0394
"2009-01-28",0
"2009-01-29",0.4284
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.5235
"2009-02-20",0.9247
"2009-02-21",0.3778
"2009-02-22",0.1206
"2009-02-23",5.6769
"2009-02-24",0
"2009-02-25",0
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",0.0219
"2009-03-08",24.7451
"2009-03-09",35.2275
"2009-03-10",22.0238
"2009-03-11",5.2406
"2009-03-12",3.4965
"2009-03-13",26.6643
"2009-03-14",22.5419
"2009-03-15",0.6217
"2009-03-16",0
"2009-03-17",0
"2009-03-18",0
"2009-03-19",0
"2009-03-20",0
"2009-03-21",0.0003
"2009-03-22",0
"2009-03-23",0
"2009-03-24",0.0478
"2009-03-25",6.521
"2009-03-26",0.2909
"2009-03-27",0
"2009-03-28",0.0013
"2009-03-29",2.289
"2009-03-30",0.1003
"2009-03-31",0.6469
"2009-04-01",0
"2009-04-02",0
"2009-04-03",0.7394
"2009-04-04",13.0737
"2009-04-05",10.4379
"2009-04-06",0.4223
"2009-04-07",2.9622
"2009-04-08",21.3285
"2009-04-09",10.0925
"2009-04-10",31.6308
"2009-04-11",23.541
"2009-04-12",8.0687
"2009-04-13",11.3163
"2009-04-14",4.9961
"2009-04-15",0
"2009-04-16",0.1142
"2009-04-17",0
"2009-04-18",0.1988
"2009-04-19",6.9216
"2009-04-20",0
"2009-04-21",0
"2009-04-22",0
"2009-04-23",0
"2009-04-24",0
"2009-04-25",0
"2009-04-26",0
"2009-04-27",0
"2009-04-28",0
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0.1316
"2009-05-05",0
"2009-05-06",0
"2009-05-07",0
"2009-05-08",0
"2009-05-09",0
"2009-05-10",0
"2009-05-11",2.0749
"2009-05-12",0
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0
"2009-05-16",2.1903
"2009-05-17",0.2485
"2009-05-18",1.3822
"2009-05-19",2.9234
"2009-05-20",3.5007
"2009-05-21",3.0694
"2009-05-22",0.7702
"2009-05-23",0
"2009-05-24",0.8026
"2009-05-25",0.6493
"2009-05-26",0
"2009-05-27",0
"2009-05-28",0.0218
"2009-05-29",0
"2009-05-30",0
"2009-05-31",0
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",0
"2009-06-06",0.4059
"2009-06-07",0.0403
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",0
"2009-06-12",0
"2009-06-13",0
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0.0009
"2009-06-23",0
"2009-06-24",0
"2009-06-25",0
"2009-06-26",0
"2009-06-27",0
"2009-06-28",0.0672
"2009-06-29",0
"2009-06-30",0
"2009-07-01",0
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",0.0841
"2009-07-06",1.117
"2009-07-07",0
"2009-07-08",0.0426
"2009-07-09",1.0359
"2009-07-10",0.7072
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",0.6899
"2009-07-15",0.133
"2009-07-16",0
"2009-07-17",0
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0.0145
"2009-07-21",0.0002
"2009-07-22",0
"2009-07-23",0
"2009-07-24",0.6757
"2009-07-25",0.8552
"2009-07-26",0.0172
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0.0373
"2009-07-30",1.1692
"2009-07-31",0.0004
"2009-08-01",0
"2009-08-02",0
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",0.0265
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",1.5036
"2009-08-12",1.9672
"2009-08-13",1.185
"2009-08-14",1.6686
"2009-08-15",2.5065
"2009-08-16",3.6862
"2009-08-17",5.761
"2009-08-18",0.9536
"2009-08-19",3.8287
"2009-08-20",3.7163
"2009-08-21",0.0044
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0.0988
"2009-08-26",0
"2009-08-27",0
"2009-08-28",0
"2009-08-29",0
"2009-08-30",0.0375
"2009-08-31",5.295
"2009-09-01",0
"2009-09-02",0.0647
"2009-09-03",0.0452
"2009-09-04",0
"2009-09-05",0
"2009-09-06",0
"2009-09-07",0.083
"2009-09-08",0
"2009-09-09",0
"2009-09-10",0
"2009-09-11",0.635
"2009-09-12",0
"2009-09-13",2.8349
"2009-09-14",0
"2009-09-15",0.1284
"2009-09-16",3.5334
"2009-09-17",5.5281
"2009-09-18",9.4715
"2009-09-19",0
"2009-09-20",0
"2009-09-21",5.1295
"2009-09-22",0.0866
"2009-09-23",1.4899
"2009-09-24",0
"2009-09-25",1.0259
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0.0952
"2009-09-29",2.4728
"2009-09-30",0.1136
"2009-10-01",0
"2009-10-02",0
"2009-10-03",0
"2009-10-04",0
"2009-10-05",0.091
"2009-10-06",0.0003
"2009-10-07",0.0286
"2009-10-08",0
"2009-10-09",0
"2009-10-10",4.7543
"2009-10-11",0
"2009-10-12",4.7078
"2009-10-13",6.3242
"2009-10-14",4.6468
"2009-10-15",0
"2009-10-16",0
"2009-10-17",0.3556
"2009-10-18",4.4701
"2009-10-19",7.21
"2009-10-20",0.0054
"2009-10-21",0
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0.0073
"2009-10-25",0
"2009-10-26",0
"2009-10-27",0
"2009-10-28",9.46
"2009-10-29",16.6292
"2009-10-30",0.008
"2009-10-31",11.0314
"2009-11-01",0
"2009-11-02",9.7254
"2009-11-03",14.2901
"2009-11-04",25.3178
"2009-11-05",20.6563
"2009-11-06",40.5199
"2009-11-07",19.5722
"2009-11-08",21.5346
"2009-11-09",36.9668
"2009-11-10",8.7268
"2009-11-11",10.4109
"2009-11-12",14.3653
"2009-11-13",19.5283
"2009-11-14",44.6765
"2009-11-15",27.5997
"2009-11-16",8.782
"2009-11-17",19.2197
"2009-11-18",3.0936
"2009-11-19",0.3223
"2009-11-20",32.116
"2009-11-21",14.6665
"2009-11-22",8.0645
"2009-11-23",0
"2009-11-24",19.3573
"2009-11-25",0.0781
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0.1832
"2009-11-30",7.1067
"2009-12-01",21.4879
"2009-12-02",19.6241
"2009-12-03",13.3961
"2009-12-04",0
"2009-12-05",0
"2009-12-06",0
"2009-12-07",0.0468
"2009-12-08",0.0602
"2009-12-09",0.3664
"2009-12-10",0
"2009-12-11",0
"2009-12-12",10.3153
"2009-12-13",0.2998
"2009-12-14",44.5361
"2009-12-15",32.9461
"2009-12-16",22.5623
"2009-12-17",9.3947
"2009-12-18",0
"2009-12-19",0
"2009-12-20",3.2148
"2009-12-21",48.0848
"2009-12-22",22.0611
"2009-12-23",9.5175
"2009-12-24",4.0358
"2009-12-25",13.9667
"2009-12-26",5.0574
"2009-12-27",15.9597
"2009-12-28",0.1658
"2009-12-29",0.9126
"2009-12-30",0
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0
"2010-01-03",0.4619
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",24.1747
"2010-01-09",0
"2010-01-10",0.016
"2010-01-11",0
"2010-01-12",12.9255
"2010-01-13",0
"2010-01-14",0
"2010-01-15",0
"2010-01-16",0
"2010-01-17",2.7945
"2010-01-18",0
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",0
"2010-01-28",0
"2010-01-29",0
"2010-01-30",0
"2010-01-31",0
"2010-02-01",0
"2010-02-02",0
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0
"2010-02-10",0
"2010-02-11",8.3709
"2010-02-12",5.7816
"2010-02-13",0
"2010-02-14",0
"2010-02-15",4.0742
"2010-02-16",0.6772
"2010-02-17",0
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0.3734
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0
"2010-03-07",0.0623
"2010-03-08",0
"2010-03-09",0.0085
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",0
"2010-03-14",0
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",0
"2010-03-19",0
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0
"2010-03-23",0
"2010-03-24",2.4849
"2010-03-25",0
"2010-03-26",11.3298
"2010-03-27",12.2152
"2010-03-28",4.0825
"2010-03-29",4.6293
"2010-03-30",4.2216
"2010-03-31",0
"2010-04-01",0
"2010-04-02",0
"2010-04-03",0
"2010-04-04",4.601
"2010-04-05",6.1657
"2010-04-06",2.6658
"2010-04-07",5.193
"2010-04-08",0.151
"2010-04-09",3.9559
"2010-04-10",3.6312
"2010-04-11",0
"2010-04-12",0
"2010-04-13",0
"2010-04-14",0.4306
"2010-04-15",4.0228
"2010-04-16",3.6075
"2010-04-17",11.3284
"2010-04-18",3.8417
"2010-04-19",1.298
"2010-04-20",0
"2010-04-21",0
"2010-04-22",0.3052
"2010-04-23",2.6938
"2010-04-24",2.4651
"2010-04-25",1.3144
"2010-04-26",18.0683
"2010-04-27",10.253
"2010-04-28",6.0733
"2010-04-29",9.7183
"2010-04-30",10.6865
"2010-05-01",0.1888
"2010-05-02",0
"2010-05-03",0.1605
"2010-05-04",0
"2010-05-05",2.6885
"2010-05-06",0.2935
"2010-05-07",0.0839
