,"(mm) Precipitation (CHIRPS) at Nuwara Eliya, 2007-01-01 to 2025-12-31"
"2008-06-09",24.2007
"2008-06-10",0
"2008-06-11",0.0559
"2008-06-12",1.369
"2008-06-13",0
"2008-06-14",4.9376
"2008-06-15",0
"2008-06-16",0.8146
"2008-06-17",4.1099
"2008-06-18",8.8168
"2008-06-19",0
"2008-06-20",26.4524
"2008-06-21",1.16
"2008-06-22",27.9893
"2008-06-23",2.1542
"2008-06-24",6.8772
"2008-06-25",0.499
"2008-06-26",0
"2008-06-27",0
"2008-06-28",0
"2008-06-29",1.5772
"2008-06-30",0
"2008-07-01",10.2546
"2008-07-02",0
"2008-07-03",0.5866
"2008-07-04",0.0348
"2008-07-05",0.7034
"2008-07-06",0.1906
"2008-07-07",6.0445
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0
"2008-07-12",19.8662
"2008-07-13",0.0892
"2008-07-14",5.1986
"2008-07-15",32.57
"2008-07-16",0
"2008-07-17",0
"2008-07-18",25.9256
"2008-07-19",0.4927
"2008-07-20",9.6061
"2008-07-21",39.7558
"2008-07-22",23.7763
"2008-07-23",10.6709
"2008-07-24",3.549
"2008-07-25",0.0368
"2008-07-26",5.2334
"2008-07-27",0.0318
"2008-07-28",0.6995
"2008-07-29",0
"2008-07-30",0
"2008-07-31",10.5374
"2008-08-01",5.2463
"2008-08-02",5.3355
"2008-08-03",1.2658
"2008-08-04",0
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0
"2008-08-08",1.4906
"2008-08-09",6.2204
"2008-08-10",0.1794
"2008-08-11",0.0241
"2008-08-12",9.2525
"2008-08-13",3.1649
"2008-08-14",1.9865
"2008-08-15",0
"2008-08-16",6.177
"2008-08-17",2.8229
"2008-08-18",5.49
"2008-08-19",0.5731
"2008-08-20",2.8683
"2008-08-21",16.0366
"2008-08-22",0
"2008-08-23",11.9906
"2008-08-24",13.2363
"2008-08-25",17.7458
"2008-08-26",14.7185
"2008-08-27",15.8161
"2008-08-28",22.423
"2008-08-29",3.0512
"2008-08-30",11.2515
"2008-08-31",27.0097
"2008-09-01",0.1431
"2008-09-02",0
"2008-09-03",10.4479
"2008-09-04",12.8497
"2008-09-05",18.0443
"2008-09-06",8.2885
"2008-09-07",21.683
"2008-09-08",2.2507
"2008-09-09",0
"2008-09-10",0.9055
"2008-09-11",0.2007
"2008-09-12",4.4995
"2008-09-13",0
"2008-09-14",0
"2008-09-15",5.1071
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",2.5952
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",9.7887
"2008-09-26",6.4947
"2008-09-27",6.3689
"2008-09-28",8.1076
"2008-09-29",0
"2008-09-30",0
"2008-10-01",4.3332
"2008-10-02",7.6248
"2008-10-03",6.3866
"2008-10-04",13.9534
"2008-10-05",12.0811
"2008-10-06",1.716
"2008-10-07",8.9983
"2008-10-08",6.1674
"2008-10-09",6.887
"2008-10-10",12.3929
"2008-10-11",9.7334
"2008-10-12",22.4013
"2008-10-13",15.7062
"2008-10-14",9.1409
"2008-10-15",9.6111
"2008-10-16",2.0064
"2008-10-17",6.4461
"2008-10-18",15.3584
"2008-10-19",19.1881
"2008-10-20",29.7795
"2008-10-21",22.279
"2008-10-22",0
"2008-10-23",0
"2008-10-24",0
"2008-10-25",29.6218
"2008-10-26",0
"2008-10-27",0
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0.2321
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",3.9725
"2008-11-08",7.5988
"2008-11-09",2.7686
"2008-11-10",21.2122
"2008-11-11",14.3701
"2008-11-12",5.9879
"2008-11-13",6.0864
"2008-11-14",3.7748
"2008-11-15",1.2647
"2008-11-16",0.0263
"2008-11-17",0
"2008-11-18",5.1146
"2008-11-19",3.9044
"2008-11-20",18.4254
"2008-11-21",3.6692
"2008-11-22",11.771
"2008-11-23",22.933
"2008-11-24",19.4751
"2008-11-25",9.9276
"2008-11-26",0.1611
"2008-11-27",0
"2008-11-28",34.7971
"2008-11-29",6.9188
"2008-11-30",1.6904
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0.9253
"2008-12-06",7.8421
"2008-12-07",18.7247
"2008-12-08",26.6693
"2008-12-09",0.0432
"2008-12-10",12.9787
"2008-12-11",16.974
"2008-12-12",0.3151
"2008-12-13",0
"2008-12-14",0
"2008-12-15",4.6748
"2008-12-16",5.6212
"2008-12-17",22.5524
"2008-12-18",5.9494
"2008-12-19",3.2519
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0.1891
"2008-12-23",0
"2008-12-24",0.1027
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0.2622
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",9.6521
"2009-01-07",0.4691
"2009-01-08",3.734
"2009-01-09",22.106
"2009-01-10",2.9754
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",0.1003
"2009-01-23",0
"2009-01-24",0.1322
"2009-01-25",6.9945
"2009-01-26",0
"2009-01-27",3.36
"2009-01-28",0.6072
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0.1451
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.1209
"2009-02-20",0
"2009-02-21",0.6736
"2009-02-22",7.0059
"2009-02-23",13.4898
"2009-02-24",0.0677
"2009-02-25",2.56
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",2.3582
"2009-03-06",0
"2009-03-07",2.8215
"2009-03-08",27.217
"2009-03-09",10.8116
"2009-03-10",14.3713
"2009-03-11",13.7544
"2009-03-12",28.7564
"2009-03-13",20.8697
"2009-03-14",30.2014
"2009-03-15",17.4403
"2009-03-16",13.0337
"2009-03-17",17.3007
"2009-03-18",0.2892
"2009-03-19",8.3881
"2009-03-20",18.2007
"2009-03-21",8.5313
"2009-03-22",0.3891
"2009-03-23",15.9491
"2009-03-24",13.3028
"2009-03-25",11.9683
"2009-03-26",23.1051
"2009-03-27",22.6751
"2009-03-28",19.3788
"2009-03-29",25.5692
"2009-03-30",23.0541
"2009-03-31",12.8121
"2009-04-01",8.6878
"2009-04-02",6.1046
"2009-04-03",8.9773
"2009-04-04",5.1683
"2009-04-05",12.4509
"2009-04-06",8.5608
"2009-04-07",8.8262
"2009-04-08",5.1317
"2009-04-09",15.2388
"2009-04-10",17.6959
"2009-04-11",17.3671
"2009-04-12",3.9452
"2009-04-13",12.2962
"2009-04-14",0.7583
"2009-04-15",0.813
"2009-04-16",0
"2009-04-17",0
"2009-04-18",0.1285
"2009-04-19",2.3655
"2009-04-20",2.039
"2009-04-21",0
"2009-04-22",5.4318
"2009-04-23",10.8073
"2009-04-24",9.7485
"2009-04-25",0
"2009-04-26",6.9581
"2009-04-27",8.1132
"2009-04-28",0.6033
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",0.8186
"2009-05-06",13.1631
"2009-05-07",7.6391
"2009-05-08",1.1643
"2009-05-09",0.2491
"2009-05-10",0.1163
"2009-05-11",0
"2009-05-12",15.8758
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0
"2009-05-16",8.1451
"2009-05-17",14.6988
"2009-05-18",9.688
"2009-05-19",27.3453
"2009-05-20",16.6861
"2009-05-21",17.2331
"2009-05-22",10.0486
"2009-05-23",13.042
"2009-05-24",33.6891
"2009-05-25",0.0342
"2009-05-26",17.1408
"2009-05-27",7.7535
"2009-05-28",0
"2009-05-29",0
"2009-05-30",24.7649
"2009-05-31",6.4364
"2009-06-01",0.3131
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",31.7646
"2009-06-06",1.5667
"2009-06-07",3.6933
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",1.1124
"2009-06-12",0
"2009-06-13",25.4889
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",1.5757
"2009-06-18",3.0433
"2009-06-19",6.9144
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0
"2009-06-24",17.8378
"2009-06-25",23.1855
"2009-06-26",0
"2009-06-27",2.8071
"2009-06-28",24.7814
"2009-06-29",26.5258
"2009-06-30",28.5092
"2009-07-01",2.9221
"2009-07-02",0
"2009-07-03",0.1448
"2009-07-04",0
"2009-07-05",1.0798
"2009-07-06",36.4791
"2009-07-07",5.5833
"2009-07-08",0
"2009-07-09",0.8037
"2009-07-10",0
"2009-07-11",3.2874
"2009-07-12",0
"2009-07-13",0
"2009-07-14",25.8616
"2009-07-15",0.1497
"2009-07-16",8.2417
"2009-07-17",28.2977
"2009-07-18",0
"2009-07-19",1.634
"2009-07-20",0.5595
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",9.6589
"2009-07-25",8.12
"2009-07-26",8.2821
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0.543
"2009-07-30",14.976
"2009-07-31",6.5107
"2009-08-01",0.2281
"2009-08-02",8.313
"2009-08-03",0.7389
"2009-08-04",0
"2009-08-05",1.1992
"2009-08-06",0
"2009-08-07",5.2037
"2009-08-08",0
"2009-08-09",0.1519
"2009-08-10",0
"2009-08-11",7.2216
"2009-08-12",10.4506
"2009-08-13",12.5908
"2009-08-14",21.3449
"2009-08-15",37.1823
"2009-08-16",58.3037
"2009-08-17",6.0016
"2009-08-18",24.1236
"2009-08-19",23.868
"2009-08-20",23.6743
"2009-08-21",9.1279
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",5.4224
"2009-08-28",9.7283
"2009-08-29",5.5256
"2009-08-30",11.1178
"2009-08-31",2.6918
"2009-09-01",3.0593
"2009-09-02",12.4373
"2009-09-03",0
"2009-09-04",10.4384
"2009-09-05",0
"2009-09-06",0
"2009-09-07",0.4879
"2009-09-08",0
"2009-09-09",14.337
"2009-09-10",0
"2009-09-11",7.4292
"2009-09-12",0.7864
"2009-09-13",9.5309
"2009-09-14",0
"2009-09-15",0
"2009-09-16",0
"2009-09-17",6.2622
"2009-09-18",66.8346
"2009-09-19",1.833
"2009-09-20",0
"2009-09-21",6.6477
"2009-09-22",13.7967
"2009-09-23",26.6567
"2009-09-24",0
"2009-09-25",0
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",0.557
"2009-09-30",0.8304
"2009-10-01",3.8265
"2009-10-02",5.487
"2009-10-03",0
"2009-10-04",3.8773
"2009-10-05",0
"2009-10-06",0
"2009-10-07",0.0636
"2009-10-08",0
"2009-10-09",0.3889
"2009-10-10",1.281
"2009-10-11",12.055
"2009-10-12",21.7423
"2009-10-13",8.9876
"2009-10-14",28.7844
"2009-10-15",6.4593
"2009-10-16",8.0973
"2009-10-17",8.2847
"2009-10-18",12.7324
"2009-10-19",9.7818
"2009-10-20",19.4622
"2009-10-21",0.1931
"2009-10-22",0.003
"2009-10-23",2.221
"2009-10-24",5.9688
"2009-10-25",1.4365
"2009-10-26",1.976
"2009-10-27",6.0277
"2009-10-28",18.1681
"2009-10-29",13.8177
"2009-10-30",1.8166
"2009-10-31",29.8043
"2009-11-01",3.6726
"2009-11-02",13.9831
"2009-11-03",1.2427
"2009-11-04",15.8825
"2009-11-05",11.3699
"2009-11-06",30.6561
"2009-11-07",6.56
"2009-11-08",34.387
"2009-11-09",32.4659
"2009-11-10",5.0792
"2009-11-11",5.7792
"2009-11-12",39.779
"2009-11-13",20.4148
"2009-11-14",23.6285
"2009-11-15",24.1161
"2009-11-16",0.4349
"2009-11-17",30.0222
"2009-11-18",22.2762
"2009-11-19",0.5033
"2009-11-20",40.2263
"2009-11-21",3.8539
"2009-11-22",10.1747
"2009-11-23",4.0315
"2009-11-24",1.5216
"2009-11-25",14.1208
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0.8715
"2009-11-29",9.0613
"2009-11-30",15.4501
"2009-12-01",34.2615
"2009-12-02",8.1779
"2009-12-03",0.2546
"2009-12-04",0
"2009-12-05",9.7798
"2009-12-06",12.8628
"2009-12-07",3.2414
"2009-12-08",1.1755
"2009-12-09",11.5518
"2009-12-10",9.4573
"2009-12-11",0
"2009-12-12",19.1385
"2009-12-13",11.6717
"2009-12-14",21.8606
"2009-12-15",25.0394
"2009-12-16",5.0151
"2009-12-17",6.6817
"2009-12-18",15.6521
"2009-12-19",0.1818
"2009-12-20",0
"2009-12-21",1.5995
"2009-12-22",2.001
"2009-12-23",0.7848
"2009-12-24",6.3723
"2009-12-25",7.4369
"2009-12-26",0.2384
"2009-12-27",12.1121
"2009-12-28",2.6807
"2009-12-29",11.7762
"2009-12-30",2.0586
"2009-12-31",0
"2010-01-01",0.1945
"2010-01-02",1.5114
"2010-01-03",14.2388
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",19.1417
"2010-01-09",1.6484
"2010-01-10",0
"2010-01-11",0
"2010-01-12",25.895
"2010-01-13",7.195
"2010-01-14",1.0001
"2010-01-15",0
"2010-01-16",19.3522
"2010-01-17",3.5816
"2010-01-18",9.1986
"2010-01-19",3.4553
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",14.742
"2010-01-28",2.8833
"2010-01-29",0.1102
"2010-01-30",1.074
"2010-01-31",21.7765
"2010-02-01",29.7522
"2010-02-02",4.8332
"2010-02-03",0.0971
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0.0718
"2010-02-08",0.2474
"2010-02-09",0.0079
"2010-02-10",6.9833
"2010-02-11",11.7675
"2010-02-12",5.6246
"2010-02-13",1.3574
"2010-02-14",0
"2010-02-15",0
"2010-02-16",3.5557
"2010-02-17",0.5054
"2010-02-18",0
"2010-02-19",0.2987
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0.3718
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
