,"(mm) Precipitation (CHIRPS) at Colombo, 2007-01-01 to 2025-12-31"
7/20/2007,2.3966
7/21/2007,2.2138
7/22/2007,9.4014
7/23/2007,23.5264
7/24/2007,1.3101
7/25/2007,0.3427
7/26/2007,0
7/27/2007,0
7/28/2007,0
7/29/2007,18.4966
7/30/2007,9.6242
7/31/2007,4.8914
8/1/2007,0
8/2/2007,18.2086
8/3/2007,2.25
8/4/2007,4.3152
8/5/2007,0
8/6/2007,0
8/7/2007,0
8/8/2007,0
8/9/2007,0.0449
8/10/2007,6.3644
8/11/2007,8.5402
8/12/2007,5.7386
8/13/2007,0.6257
8/14/2007,0
8/15/2007,0.0015
8/16/2007,0
8/17/2007,0
8/18/2007,0
8/19/2007,12.1676
8/20/2007,0
8/21/2007,7.1369
8/22/2007,0
8/23/2007,18.9778
8/24/2007,17.1807
8/25/2007,14.266
8/26/2007,25.4027
8/27/2007,36.2406
8/28/2007,5.438
8/29/2007,22.7499
8/30/2007,37.0824
8/31/2007,30.6657
9/1/2007,0.5202
9/2/2007,0
9/3/2007,0
9/4/2007,1.0143
9/5/2007,7.9847
9/6/2007,0
9/7/2007,53.5379
9/8/2007,27.2632
9/9/2007,36.1532
9/10/2007,0
9/11/2007,17.7549
9/12/2007,3.4354
9/13/2007,23.5272
9/14/2007,8.905
9/15/2007,0.7861
9/16/2007,19.3116
9/17/2007,36.762
9/18/2007,12.4028
9/19/2007,1.4833
9/20/2007,2.449
9/21/2007,0
9/22/2007,5.3042
9/23/2007,3.5748
9/24/2007,4.8677
9/25/2007,0
9/26/2007,4.9902
9/27/2007,5.0887
9/28/2007,4.5395
9/29/2007,1.9092
9/30/2007,0.4429
10/1/2007,1.8369
10/2/2007,5.7436
10/3/2007,22.4827
10/4/2007,2.1351
10/5/2007,10.6015
10/6/2007,19.5951
10/7/2007,9.7851
10/8/2007,13.0665
10/9/2007,8.1761
10/10/2007,16.3458
10/11/2007,5.2438
10/12/2007,12.6872
10/13/2007,11.5832
10/14/2007,34.2451
10/15/2007,38.1505
10/16/2007,23.1324
10/17/2007,22.527
10/18/2007,11.7886
10/19/2007,9.2983
10/20/2007,11.473
10/21/2007,10.8596
10/22/2007,35.1109
10/23/2007,7.7487
10/24/2007,14.8803
10/25/2007,28.0539
10/26/2007,45.3024
10/27/2007,9.7516
10/28/2007,0.5094
10/29/2007,0.1719
10/30/2007,0
10/31/2007,0
11/1/2007,16.6349
11/2/2007,14.4504
11/3/2007,11.9436
11/4/2007,20.15
11/5/2007,17.4017
11/6/2007,18.5917
11/7/2007,14.189
11/8/2007,7.615
11/9/2007,1.6871
11/10/2007,0.4197
11/11/2007,2.3386
11/12/2007,21.2065
11/13/2007,0
11/14/2007,0
11/15/2007,0
11/16/2007,0
11/17/2007,0
11/18/2007,0
11/19/2007,16.2006
11/20/2007,26.5273
11/21/2007,20.2322
11/22/2007,23.7196
11/23/2007,3.7054
11/24/2007,13.4547
11/25/2007,0
11/26/2007,2.4065
11/27/2007,0
11/28/2007,0
11/29/2007,3.5481
11/30/2007,0
12/1/2007,0
12/2/2007,15.1586
12/3/2007,0
12/4/2007,0.1059
12/5/2007,0
12/6/2007,0
12/7/2007,0
12/8/2007,4.2499
12/9/2007,2.2485
12/10/2007,6.9139
12/11/2007,0
12/12/2007,15.01
12/13/2007,14.0644
12/14/2007,22.0369
12/15/2007,13.4068
12/16/2007,10.1939
12/17/2007,0.0394
12/18/2007,12.638
12/19/2007,5.1433
12/20/2007,10.7683
12/21/2007,20.9384
12/22/2007,7.3259
12/23/2007,8.1901
12/24/2007,0
12/25/2007,0.5856
12/26/2007,0
12/27/2007,0
12/28/2007,0
12/29/2007,0
12/30/2007,0
12/31/2007,0
1/1/2008,0
1/2/2008,0
1/3/2008,5.5509
1/4/2008,4.6857
1/5/2008,0.1036
1/6/2008,4.611
1/7/2008,0
1/8/2008,0.4468
1/9/2008,16.9127
1/10/2008,17.6447
1/11/2008,0.1731
1/12/2008,1.8189
1/13/2008,12.5374
1/14/2008,0
1/15/2008,0
1/16/2008,0
1/17/2008,0
1/18/2008,0
1/19/2008,0
1/20/2008,0
1/21/2008,3.611
1/22/2008,0
1/23/2008,0
1/24/2008,0
1/25/2008,3.3386
1/26/2008,2.4528
1/27/2008,4.3117
1/28/2008,0
1/29/2008,0
1/30/2008,0
1/31/2008,0
2/1/2008,0
2/2/2008,0
2/3/2008,0
2/4/2008,3.4617
2/5/2008,0
2/6/2008,6.7273
2/7/2008,11.3917
2/8/2008,10.2564
2/9/2008,2.9544
2/10/2008,0.627
2/11/2008,24.9054
2/12/2008,23.9451
2/13/2008,0.4757
2/14/2008,3.0805
2/15/2008,13.4145
2/16/2008,3.8201
2/17/2008,0
2/18/2008,0
2/19/2008,0.1475
2/20/2008,3.8607
2/21/2008,10.6165
2/22/2008,0
2/23/2008,0
2/24/2008,0.519
2/25/2008,0
2/26/2008,0
2/27/2008,9.1577
2/28/2008,4.5697
2/29/2008,1.9605
3/1/2008,15.1214
3/2/2008,20.7539
3/3/2008,18.2058
3/4/2008,16.5469
3/5/2008,26.6104
3/6/2008,21.5415
3/7/2008,0.0856
3/8/2008,0
3/9/2008,32.2756
3/10/2008,13.2832
3/11/2008,47.3032
3/12/2008,56.275
3/13/2008,50.9893
3/14/2008,32.238
3/15/2008,59.6034
3/16/2008,42.5508
3/17/2008,31.8233
3/18/2008,21.5546
3/19/2008,5.9213
3/20/2008,0
3/21/2008,1.2688
3/22/2008,2.5652
3/23/2008,12.2857
3/24/2008,38.346
3/25/2008,1.0735
3/26/2008,3.3129
3/27/2008,11.2867
3/28/2008,23.4013
3/29/2008,23.9914
3/30/2008,8.5641
3/31/2008,4.2963
4/1/2008,7.6377
4/2/2008,14.9855
4/3/2008,0
4/4/2008,6.0479
4/5/2008,20.9503
4/6/2008,20.1672
4/7/2008,30.1087
4/8/2008,21.105
4/9/2008,19.5473
4/10/2008,38.3881
4/11/2008,14.0475
4/12/2008,26.271
4/13/2008,11.4706
4/14/2008,17.27
4/15/2008,9.169
4/16/2008,19.5298
4/17/2008,11.2419
4/18/2008,32.7297
4/19/2008,29.9278
4/20/2008,3.8882
4/21/2008,3.4941
4/22/2008,6.1055
4/23/2008,11.4479
4/24/2008,19.4927
4/25/2008,10.9401
4/26/2008,15.3496
4/27/2008,36.29
4/28/2008,58.064
4/29/2008,7.258
4/30/2008,1.6288
5/1/2008,5.0806
5/2/2008,0
5/3/2008,0
5/4/2008,1.392
5/5/2008,0.0505
5/6/2008,10.2819
5/7/2008,8.1808
5/8/2008,2.4868
5/9/2008,14.9194
5/10/2008,0
5/11/2008,0
5/12/2008,28.4471
5/13/2008,2.9834
5/14/2008,10.3385
5/15/2008,0
5/16/2008,2.4397
5/17/2008,0
5/18/2008,0.091
5/19/2008,0
5/20/2008,0
5/21/2008,0
5/22/2008,30.9718
5/23/2008,13.661
5/24/2008,0.1612
5/25/2008,12.5612
5/26/2008,7.953
5/27/2008,20.9297
5/28/2008,22.2938
5/29/2008,15.0656
5/30/2008,15.6101
5/31/2008,22.2955
6/1/2008,61.6247
6/2/2008,42.0475
6/3/2008,27.5035
6/4/2008,0
6/5/2008,0.5901
6/6/2008,6.2243
6/7/2008,27.564
6/8/2008,25.4051
6/9/2008,17.9996
6/10/2008,0
6/11/2008,0
6/12/2008,2.7364
6/13/2008,0
6/14/2008,16.68
6/15/2008,0
6/16/2008,1.0009
6/17/2008,0
6/18/2008,1.8887
6/19/2008,11.808
6/20/2008,10.353
6/21/2008,14.8318
6/22/2008,55.7363
6/23/2008,20.762
6/24/2008,34.2256
6/25/2008,16.8311
6/26/2008,1.003
6/27/2008,0
6/28/2008,0
6/29/2008,27.8356
6/30/2008,0
7/1/2008,18.8184
7/2/2008,0
7/3/2008,6.3333
7/4/2008,0.517
7/5/2008,0.6073
7/6/2008,5.3786
7/7/2008,5.4573
7/8/2008,14.7738
7/9/2008,0
7/10/2008,0
7/11/2008,0.6278
7/12/2008,13.0101
7/13/2008,0.8288
7/14/2008,11.9177
7/15/2008,46.3604
7/16/2008,4.9322
7/17/2008,0
7/18/2008,68.6352
7/19/2008,0
7/20/2008,0.207
7/21/2008,33.2145
7/22/2008,21.8374
7/23/2008,43.0244
7/24/2008,0
7/25/2008,0
7/26/2008,9.0875
7/27/2008,1.3443
7/28/2008,38.6008
7/29/2008,4.7476
7/30/2008,11.4682
7/31/2008,0
8/1/2008,4.989
8/2/2008,0.335
8/3/2008,1.8947
8/4/2008,0
8/5/2008,0
8/6/2008,0
8/7/2008,0
8/8/2008,0
8/9/2008,3.9362
8/10/2008,0.1066
8/11/2008,0.0729
8/12/2008,16.5259
8/13/2008,0.3159
8/14/2008,0.1094
8/15/2008,0
8/16/2008,4.1503
8/17/2008,0.023
8/18/2008,5.8728
8/19/2008,0
8/20/2008,0
8/21/2008,6.8964
8/22/2008,0
8/23/2008,0.3604
8/24/2008,14.6949
8/25/2008,14.2334
8/26/2008,20.9763
8/27/2008,19.6349
8/28/2008,16.2235
8/29/2008,3.1867
8/30/2008,9.3568
8/31/2008,24.9331
9/1/2008,0
9/2/2008,0
9/3/2008,13.8105
9/4/2008,12.9421
9/5/2008,24.2853
9/6/2008,20.5131
9/7/2008,31.1205
9/8/2008,5.4202
9/9/2008,0
9/10/2008,0
9/11/2008,15.5033
9/12/2008,14.0217
9/13/2008,0
9/14/2008,0
9/15/2008,1.571
9/16/2008,0
9/17/2008,0
9/18/2008,0
9/19/2008,0
9/20/2008,0
9/21/2008,0
9/22/2008,0
9/23/2008,0
9/24/2008,0
9/25/2008,8.6741
9/26/2008,13.9123
9/27/2008,1.516
9/28/2008,2.7459
9/29/2008,0
9/30/2008,0
10/1/2008,0
10/2/2008,0
10/3/2008,7.6674
10/4/2008,10.3463
10/5/2008,10.6762
10/6/2008,12.4617
10/7/2008,7.3048
10/8/2008,12.0299
10/9/2008,7.083
10/10/2008,18.8901
10/11/2008,7.1574
10/12/2008,28.9555
10/13/2008,16.5395
10/14/2008,21.2997
10/15/2008,13.4253
10/16/2008,24.7918
10/17/2008,19.9108
10/18/2008,22.5367
10/19/2008,36.796
10/20/2008,34.3091
10/21/2008,18.5293
10/22/2008,39.2957
10/23/2008,24.5422
10/24/2008,3.3596
10/25/2008,31.3973
10/26/2008,0.6735
10/27/2008,0.2202
10/28/2008,0
10/29/2008,0
10/30/2008,0
10/31/2008,0.3619
11/1/2008,0
11/2/2008,0
11/3/2008,0
11/4/2008,0
11/5/2008,0
11/6/2008,0
11/7/2008,0.0228
11/8/2008,9.6996
11/9/2008,10.1971
11/10/2008,20.1822
11/11/2008,12.8601
11/12/2008,9.1296
11/13/2008,7.7407
11/14/2008,3.2673
11/15/2008,0
11/16/2008,0
11/17/2008,8.1432
11/18/2008,5.9695
11/19/2008,8.6299
11/20/2008,17.4096
11/21/2008,12.9379
11/22/2008,5.3291
11/23/2008,22.8786
11/24/2008,28.3876
11/25/2008,4.2582
11/26/2008,9.4776
11/27/2008,0.9647
11/28/2008,6.8143
11/29/2008,6.719
11/30/2008,12.5614
12/1/2008,24.0306
12/2/2008,0
12/3/2008,0
12/4/2008,0
12/5/2008,2.1447
12/6/2008,5.8859
12/7/2008,7.8344
12/8/2008,21.5234
12/9/2008,0.9523
12/10/2008,7.5769
12/11/2008,14.2655
12/12/2008,1.0951
12/13/2008,0
12/14/2008,3.3458
12/15/2008,9.5207
12/16/2008,13.5307
12/17/2008,10.55
12/18/2008,7.61
12/19/2008,2.1457
12/20/2008,0
12/21/2008,0
12/22/2008,0
12/23/2008,0
12/24/2008,0
12/25/2008,0
12/26/2008,0
12/27/2008,0
12/28/2008,0
12/29/2008,0
12/30/2008,0
12/31/2008,0
1/1/2009,0
1/2/2009,0
1/3/2009,0
1/4/2009,0
1/5/2009,0
1/6/2009,3.8843
1/7/2009,0.0129
1/8/2009,1.9896
1/9/2009,12.8105
1/10/2009,2.8724
1/11/2009,0
1/12/2009,0
1/13/2009,0
1/14/2009,0
1/15/2009,0
1/16/2009,0
1/17/2009,0
1/18/2009,0
1/19/2009,0
1/20/2009,0
1/21/2009,0
1/22/2009,0
1/23/2009,0
1/24/2009,0
1/25/2009,6.8228
1/26/2009,0
1/27/2009,14.1981
1/28/2009,10.7664
1/29/2009,2.5853
1/30/2009,0
1/31/2009,0
2/1/2009,0
2/2/2009,0
2/3/2009,0
2/4/2009,0
2/5/2009,0
2/6/2009,0
2/7/2009,0
2/8/2009,0
2/9/2009,0
2/10/2009,0
2/11/2009,0
2/12/2009,0
2/13/2009,0
2/14/2009,0
2/15/2009,0
2/16/2009,0
2/17/2009,0
2/18/2009,0
2/19/2009,0
2/20/2009,0
2/21/2009,4.5306
2/22/2009,0.5239
2/23/2009,22.4972
2/24/2009,8.1341
2/25/2009,9.1942
2/26/2009,0
2/27/2009,3.6229
2/28/2009,0
3/1/2009,0
3/2/2009,0
3/3/2009,0
3/4/2009,0
3/5/2009,3.923
3/6/2009,0.183
3/7/2009,6.9588
3/8/2009,24.487
3/9/2009,19.8792
3/10/2009,18.6383
3/11/2009,15.5804
3/12/2009,14.0819
3/13/2009,23.3689
3/14/2009,28.1533
3/15/2009,0
3/16/2009,0
3/17/2009,7.0475
3/18/2009,0
3/19/2009,0
3/20/2009,17.5483
3/21/2009,5.2734
3/22/2009,0
3/23/2009,12.0881
3/24/2009,22.4383
3/25/2009,5.4586
3/26/2009,13.552
3/27/2009,10.23
3/28/2009,0.086
3/29/2009,8.3349
3/30/2009,21.5574
3/31/2009,0.3292
4/1/2009,8.9714
4/2/2009,4.3837
4/3/2009,6.6035
4/4/2009,14.1767
4/5/2009,13.6017
4/6/2009,11.4592
4/7/2009,11.2957
4/8/2009,11.3594
4/9/2009,24.4473
4/10/2009,25.1597
4/11/2009,40.1697
4/12/2009,1.0869
4/13/2009,25.8408
4/14/2009,0.1632
4/15/2009,0.8889
4/16/2009,0
4/17/2009,0
4/18/2009,0
4/19/2009,0
4/20/2009,0
4/21/2009,0
4/22/2009,11.7717
4/23/2009,1.579
4/24/2009,0
4/25/2009,0
4/26/2009,1.318
4/27/2009,0.2238
4/28/2009,0.9731
4/29/2009,5.226
4/30/2009,0
5/1/2009,0
5/2/2009,0
5/3/2009,0
5/4/2009,0
5/5/2009,3.1566
5/6/2009,10.8571
5/7/2009,10.6408
5/8/2009,32.8053
5/9/2009,7.4462
5/10/2009,14.1328
5/11/2009,0
5/12/2009,28.8062
5/13/2009,10.1407
5/14/2009,1.2465
5/15/2009,0.4375
5/16/2009,18.0215
5/17/2009,3.1227
5/18/2009,7.1938
5/19/2009,44.7499
5/20/2009,33.2352
5/21/2009,13.8247
5/22/2009,12.0826
5/23/2009,8.5339
5/24/2009,0
5/25/2009,5.5257
5/26/2009,26.6892
5/27/2009,0.5304
5/28/2009,0
5/29/2009,0
5/30/2009,29.7865
5/31/2009,7.1525
6/1/2009,0
6/2/2009,0
6/3/2009,0
6/4/2009,0
6/5/2009,30.3859
6/6/2009,13.173
6/7/2009,20.756
6/8/2009,8.9134
6/9/2009,0
6/10/2009,0
6/11/2009,7.9306
6/12/2009,23.3858
6/13/2009,3.2939
6/14/2009,2.2407
6/15/2009,0
6/16/2009,0.3092
6/17/2009,2.4269
6/18/2009,34.8974
6/19/2009,53.162
6/20/2009,19.3625
6/21/2009,0
6/22/2009,0.8013
6/23/2009,0.3504
6/24/2009,20.568
6/25/2009,37.7081
6/26/2009,23.0877
6/27/2009,29.5712
6/28/2009,23.6712
6/29/2009,56.3982
6/30/2009,18.191
7/1/2009,8.7822
7/2/2009,0
7/3/2009,0
7/4/2009,0
7/5/2009,5.2014
7/6/2009,33.5126
7/7/2009,1.4196
7/8/2009,0.0753
7/9/2009,0
7/10/2009,0
7/11/2009,0
7/12/2009,0
7/13/2009,0
7/14/2009,22.6158
7/15/2009,7.2586
7/16/2009,13.962
7/17/2009,54.9936
7/18/2009,0
7/19/2009,3.9864
7/20/2009,0
7/21/2009,0
7/22/2009,0
7/23/2009,0
7/24/2009,5.969
7/25/2009,8.3283
7/26/2009,12.2021
7/27/2009,0
7/28/2009,0.2599
7/29/2009,0.7186
7/30/2009,12.7727
7/31/2009,0.8748
8/1/2009,2.2202
8/2/2009,3.6224
8/3/2009,1.2727
8/4/2009,0
8/5/2009,0
8/6/2009,0
8/7/2009,9.4466
8/8/2009,3.741
8/9/2009,0
8/10/2009,0
8/11/2009,0
8/12/2009,9.908
8/13/2009,10.9612
8/14/2009,13.5524
8/15/2009,23.9776
8/16/2009,51.5698
8/17/2009,18.1983
8/18/2009,7.4385
8/19/2009,22.3995
8/20/2009,21.5836
8/21/2009,18.4724
8/22/2009,13.1124
8/23/2009,0
8/24/2009,0
8/25/2009,0
8/26/2009,4.5051
8/27/2009,1.2528
8/28/2009,8.1159
8/29/2009,15.9474
8/30/2009,8.1355
8/31/2009,1.6616
9/1/2009,0
9/2/2009,38.3682
9/3/2009,0
9/4/2009,5.0518
9/5/2009,4.4337
9/6/2009,18.5221
9/7/2009,0
9/8/2009,0
9/9/2009,0
9/10/2009,0
9/11/2009,0
9/12/2009,0
9/13/2009,0.2032
9/14/2009,0
9/15/2009,0
9/16/2009,0
9/17/2009,0.1665
9/18/2009,103.3592
9/19/2009,0
9/20/2009,0.1676
9/21/2009,14.9879
9/22/2009,7.6619
9/23/2009,36.7947
9/24/2009,0
9/25/2009,0
9/26/2009,0
9/27/2009,0
9/28/2009,8.2174
9/29/2009,14.6767
9/30/2009,0.431
10/1/2009,14.2676
10/2/2009,65.4572
10/3/2009,4.3542
10/4/2009,0
10/5/2009,0
10/6/2009,0
10/7/2009,0.7522
10/8/2009,0
10/9/2009,0
10/10/2009,0
10/11/2009,6.6316
10/12/2009,24.8356
10/13/2009,9.0214
10/14/2009,35.7715
10/15/2009,0.1759
10/16/2009,10.6906
10/17/2009,0.4831
10/18/2009,29.8333
10/19/2009,9.8205
10/20/2009,20.7587
10/21/2009,0.6113
10/22/2009,0
10/23/2009,0
10/24/2009,0.1963
10/25/2009,0.2184
10/26/2009,14.0523
10/27/2009,16.969
10/28/2009,23.6282
10/29/2009,17.5566
10/30/2009,10.6147
10/31/2009,25.2342
11/1/2009,7.4943
11/2/2009,19.6253
11/3/2009,11.1943
11/4/2009,13.2033
11/5/2009,13.7113
11/6/2009,40.5846
11/7/2009,13.0817
11/8/2009,25.704
11/9/2009,34.4585
11/10/2009,0
11/11/2009,0
11/12/2009,23.5555
11/13/2009,26.2944
11/14/2009,27.4055
11/15/2009,17.853
11/16/2009,0.2127
11/17/2009,51.1622
11/18/2009,20.0247
11/19/2009,20.6047
11/20/2009,36.2802
11/21/2009,14.0393
11/22/2009,15.9496
11/23/2009,0
11/24/2009,19.6442
11/25/2009,10.7452
11/26/2009,0.0773
11/27/2009,0
11/28/2009,0
11/29/2009,1.1954
11/30/2009,22.0419
12/1/2009,19.186
12/2/2009,16.0196
12/3/2009,8.2184
12/4/2009,13.3075
12/5/2009,6.4881
12/6/2009,10.3986
12/7/2009,5.2238
12/8/2009,1.3587
12/9/2009,1.9277
12/10/2009,0
12/11/2009,0
12/12/2009,7.9983
12/13/2009,7.5752
12/14/2009,5.2958
12/15/2009,10.1629
12/16/2009,0
12/17/2009,1.4057
12/18/2009,11.0081
12/19/2009,14.3559
12/20/2009,2.8631
12/21/2009,0.7995
12/22/2009,3.7664
12/23/2009,0
12/24/2009,10.8763
12/25/2009,4.9714
12/26/2009,6.3614
12/27/2009,6.536
12/28/2009,6.6036
12/29/2009,6.1356
12/30/2009,0.4053
12/31/2009,0.0592
1/1/2010,0
1/2/2010,0
1/3/2010,9.8309
1/4/2010,0
1/5/2010,0
1/6/2010,0
1/7/2010,0
1/8/2010,19.2791
1/9/2010,2.7234
1/10/2010,0
1/11/2010,1.0205
1/12/2010,16.7372
1/13/2010,19.3729
1/14/2010,8.876
1/15/2010,0
1/16/2010,12.5508
1/17/2010,7.594
1/18/2010,3.4472
1/19/2010,0.0054
1/20/2010,0
1/21/2010,0
1/22/2010,0
1/23/2010,0
1/24/2010,0
1/25/2010,0
1/26/2010,0
1/27/2010,4.649
1/28/2010,0
1/29/2010,0
1/30/2010,0
1/31/2010,13.0602
2/1/2010,25.5855
2/2/2010,0
2/3/2010,0
2/4/2010,0
2/5/2010,0
2/6/2010,0
2/7/2010,0.1441
2/8/2010,0
2/9/2010,0
2/10/2010,0.0924
2/11/2010,11.647
2/12/2010,0.5037
2/13/2010,3.3925
2/14/2010,0
2/15/2010,0
2/16/2010,8.9872
2/17/2010,7.7447
2/18/2010,0
2/19/2010,0
2/20/2010,0
2/21/2010,0
2/22/2010,0
2/23/2010,1.4949
2/24/2010,0
2/25/2010,0
2/26/2010,0
2/27/2010,0
2/28/2010,0
3/1/2010,0
3/2/2010,0
3/3/2010,0
3/4/2010,0
3/5/2010,0
3/6/2010,0
3/7/2010,0
3/8/2010,0
3/9/2010,0
3/10/2010,0
3/11/2010,0
3/12/2010,0
3/13/2010,14.8198
3/14/2010,4.025
3/15/2010,0
3/16/2010,0
3/17/2010,0
3/18/2010,4.6787
3/19/2010,7.945
3/20/2010,0
3/21/2010,0
3/22/2010,0
3/23/2010,0
3/24/2010,6.1207
3/25/2010,0
3/26/2010,22.5361
3/27/2010,35.2996
3/28/2010,11.598
3/29/2010,23.373
3/30/2010,23.196
3/31/2010,3.437
4/1/2010,9.6653
4/2/2010,0
4/3/2010,2.6381
4/4/2010,16.6741
4/5/2010,17.3055
4/6/2010,6.4718
4/7/2010,12.2564
4/8/2010,14.4659
4/9/2010,12.4463
4/10/2010,20.0191
4/11/2010,9.6656
4/12/2010,5.1382
4/13/2010,7.664
4/14/2010,24.7451
4/15/2010,2.1175
4/16/2010,21.0341
4/17/2010,22.531
4/18/2010,25.1047
4/19/2010,0.5909
4/20/2010,0.0554
4/21/2010,48.6903
4/22/2010,23.3937
4/23/2010,33.3217
4/24/2010,40.7978
4/25/2010,0
4/26/2010,27.3647
4/27/2010,16.0197
4/28/2010,13.7528
4/29/2010,42.388
4/30/2010,32.6993
5/1/2010,0
5/2/2010,0
5/3/2010,0
5/4/2010,0
5/5/2010,5.9421
5/6/2010,0
5/7/2010,19.2602
5/8/2010,13.171
5/9/2010,25.2015
5/10/2010,4.6287
5/11/2010,18.4258
5/12/2010,36.0804
5/13/2010,0.1147
5/14/2010,42.9034
5/15/2010,21.451
5/16/2010,44.0323
5/17/2010,66.1474
5/18/2010,36.0425
5/19/2010,46.281
5/20/2010,68.1009
5/21/2010,65.5058
5/22/2010,0
5/23/2010,2.78
5/24/2010,34.4847
5/25/2010,1.6046
5/26/2010,8.1214
5/27/2010,0
5/28/2010,1.5422
5/29/2010,0
5/30/2010,0
5/31/2010,0
6/1/2010,0
6/2/2010,0
6/3/2010,10.7943
6/4/2010,0
6/5/2010,2.6584
6/6/2010,15.6544
6/7/2010,15.9533
6/8/2010,26.2834
6/9/2010,5.7534
6/10/2010,0.0422
6/11/2010,60.9828
6/12/2010,16.2793
6/13/2010,13.5384
6/14/2010,0.0736
6/15/2010,22.0353
6/16/2010,22.7812
6/17/2010,27.7287
6/18/2010,3.0152
6/19/2010,2.3874
6/20/2010,0
6/21/2010,0
6/22/2010,17.5308
6/23/2010,74.7587
6/24/2010,0
6/25/2010,0
6/26/2010,0
6/27/2010,2.7648
6/28/2010,65.0386
6/29/2010,0.5398
6/30/2010,0
7/1/2010,8.0388
7/2/2010,1.5252
7/3/2010,8.7771
7/4/2010,0
7/5/2010,52.8046
