,"(mm) Precipitation (CHIRPS) at Kandy, 2007-01-01 to 2025-12-31"
"2008-06-14",1.0526
"2008-06-15",0
"2008-06-16",0
"2008-06-17",1.5385
"2008-06-18",2.7565
"2008-06-19",0
"2008-06-20",25.2982
"2008-06-21",11.892
"2008-06-22",21.7534
"2008-06-23",0.0597
"2008-06-24",1.2251
"2008-06-25",0.7705
"2008-06-26",0
"2008-06-27",0
"2008-06-28",0
"2008-06-29",0
"2008-06-30",0
"2008-07-01",2.0466
"2008-07-02",0
"2008-07-03",8.582
"2008-07-04",7.0708
"2008-07-05",1.1835
"2008-07-06",0
"2008-07-07",0.1963
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0
"2008-07-12",7.476
"2008-07-13",5.9147
"2008-07-14",11.5098
"2008-07-15",27.3937
"2008-07-16",0
"2008-07-17",0
"2008-07-18",13.0769
"2008-07-19",3.1361
"2008-07-20",14.0992
"2008-07-21",32.2059
"2008-07-22",36.7019
"2008-07-23",2.1092
"2008-07-24",1.0682
"2008-07-25",0
"2008-07-26",4.4275
"2008-07-27",3.5999
"2008-07-28",2.0121
"2008-07-29",0
"2008-07-30",0
"2008-07-31",0.1424
"2008-08-01",4.736
"2008-08-02",4.129
"2008-08-03",1.9273
"2008-08-04",0.0504
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0.0471
"2008-08-08",0.7796
"2008-08-09",3.7177
"2008-08-10",0.3656
"2008-08-11",0.2135
"2008-08-12",3.6802
"2008-08-13",0.6119
"2008-08-14",6.6159
"2008-08-15",0.2457
"2008-08-16",4.403
"2008-08-17",4.3424
"2008-08-18",3.6844
"2008-08-19",4.0739
"2008-08-20",4.4212
"2008-08-21",9.6014
"2008-08-22",0.2217
"2008-08-23",8.823
"2008-08-24",12.1661
"2008-08-25",20.2038
"2008-08-26",4.1445
"2008-08-27",13.1888
"2008-08-28",17.1376
"2008-08-29",10.3938
"2008-08-30",8.5543
"2008-08-31",27.0131
"2008-09-01",0
"2008-09-02",0
"2008-09-03",3.5828
"2008-09-04",11.8536
"2008-09-05",8.0291
"2008-09-06",7.0825
"2008-09-07",17.9092
"2008-09-08",0
"2008-09-09",0
"2008-09-10",0
"2008-09-11",0
"2008-09-12",1.1581
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0.8368
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",7.3619
"2008-09-20",0
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",3.4895
"2008-09-26",2.7421
"2008-09-27",3.2508
"2008-09-28",9.0862
"2008-09-29",0
"2008-09-30",0
"2008-10-01",5.8908
"2008-10-02",7.3181
"2008-10-03",1.4498
"2008-10-04",10.2647
"2008-10-05",17.0214
"2008-10-06",4.6674
"2008-10-07",6.5975
"2008-10-08",2.7983
"2008-10-09",3.8655
"2008-10-10",4.0041
"2008-10-11",11.4707
"2008-10-12",24.9556
"2008-10-13",9.4359
"2008-10-14",10.9062
"2008-10-15",10.5771
"2008-10-16",8.6612
"2008-10-17",5.5025
"2008-10-18",5.4914
"2008-10-19",25.5951
"2008-10-20",17.1391
"2008-10-21",30.2676
"2008-10-22",0
"2008-10-23",0
"2008-10-24",0.6083
"2008-10-25",15.6265
"2008-10-26",0
"2008-10-27",0
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",1.4695
"2008-11-08",3.6611
"2008-11-09",1.9137
"2008-11-10",23.8722
"2008-11-11",18.0975
"2008-11-12",7.3078
"2008-11-13",6.4288
"2008-11-14",2.2348
"2008-11-15",3.0303
"2008-11-16",0
"2008-11-17",0
"2008-11-18",3.4646
"2008-11-19",2.3055
"2008-11-20",16.0605
"2008-11-21",6.5624
"2008-11-22",14.4339
"2008-11-23",24.2761
"2008-11-24",23.6587
"2008-11-25",11.9013
"2008-11-26",0.97
"2008-11-27",0.0271
"2008-11-28",22.0962
"2008-11-29",14.2641
"2008-11-30",0.9065
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",9.3929
"2008-12-06",22.9916
"2008-12-07",24.6385
"2008-12-08",23.3184
"2008-12-09",9.7736
"2008-12-10",11.6934
"2008-12-11",4.3878
"2008-12-12",0
"2008-12-13",0.5219
"2008-12-14",0
"2008-12-15",4.2348
"2008-12-16",2.6761
"2008-12-17",19.6977
"2008-12-18",15.0345
"2008-12-19",3.6939
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0.2484
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",12.0925
"2009-01-07",1.4545
"2009-01-08",6.9599
"2009-01-09",33.9926
"2009-01-10",3.6601
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",0
"2009-01-23",0
"2009-01-24",0.1216
"2009-01-25",11.3205
"2009-01-26",0.0164
"2009-01-27",0
"2009-01-28",0
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.0251
"2009-02-20",0
"2009-02-21",0
"2009-02-22",12.1444
"2009-02-23",7.4317
"2009-02-24",0
"2009-02-25",0.2517
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0.4173
"2009-03-06",0
"2009-03-07",0
"2009-03-08",28.4049
"2009-03-09",22.098
"2009-03-10",27.5976
"2009-03-11",11.0087
"2009-03-12",21.3424
"2009-03-13",19.1259
"2009-03-14",28.4372
"2009-03-15",16.1514
"2009-03-16",8.5676
"2009-03-17",4.81
"2009-03-18",0
"2009-03-19",6.9587
"2009-03-20",14.5885
"2009-03-21",6.0261
"2009-03-22",0.5688
"2009-03-23",12.9354
"2009-03-24",13.4284
"2009-03-25",8.8675
"2009-03-26",25.6853
"2009-03-27",25.5151
"2009-03-28",13.69
"2009-03-29",19.807
"2009-03-30",24.7685
"2009-03-31",13.8108
"2009-04-01",6.7342
"2009-04-02",7.6508
"2009-04-03",10.0978
"2009-04-04",3.9322
"2009-04-05",9.712
"2009-04-06",7.2925
"2009-04-07",4.5352
"2009-04-08",7.2077
"2009-04-09",16.0932
"2009-04-10",19.2199
"2009-04-11",17.2657
"2009-04-12",1.0139
"2009-04-13",12.4926
"2009-04-14",4.9917
"2009-04-15",0
"2009-04-16",0.7139
"2009-04-17",0.2645
"2009-04-18",0.1119
"2009-04-19",2.182
"2009-04-20",0.2184
"2009-04-21",0
"2009-04-22",4.598
"2009-04-23",7.065
"2009-04-24",10.0773
"2009-04-25",0
"2009-04-26",1.9674
"2009-04-27",11.1983
"2009-04-28",0.2103
"2009-04-29",0
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",0.0464
"2009-05-06",6.4445
"2009-05-07",4.9233
"2009-05-08",0.2546
"2009-05-09",0
"2009-05-10",0
"2009-05-11",0
"2009-05-12",8.2893
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0
"2009-05-16",5.7728
"2009-05-17",14.8472
"2009-05-18",6.4111
"2009-05-19",24.3022
"2009-05-20",10.0914
"2009-05-21",13.8309
"2009-05-22",9.6849
"2009-05-23",3.3411
"2009-05-24",16.8645
"2009-05-25",4.0269
"2009-05-26",16.8458
"2009-05-27",1.6772
"2009-05-28",0
"2009-05-29",0
"2009-05-30",10.3568
"2009-05-31",2.7306
"2009-06-01",0.382
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",9.463
"2009-06-06",3.9606
"2009-06-07",8.8972
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",8.2425
"2009-06-12",0.0155
"2009-06-13",15.4682
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",1.0264
"2009-06-18",0.4683
"2009-06-19",4.8623
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0
"2009-06-23",0
"2009-06-24",10.3952
"2009-06-25",11.2858
"2009-06-26",0.4132
"2009-06-27",4.3559
"2009-06-28",3.3474
"2009-06-29",23.3233
"2009-06-30",23.2984
"2009-07-01",9.3726
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",2.7209
"2009-07-06",24.9582
"2009-07-07",0.542
"2009-07-08",0
"2009-07-09",0.833
"2009-07-10",0
"2009-07-11",2.1801
"2009-07-12",0
"2009-07-13",0
"2009-07-14",23.509
"2009-07-15",1.1478
"2009-07-16",0.2639
"2009-07-17",17.6107
"2009-07-18",0
"2009-07-19",0.0037
"2009-07-20",2.4186
"2009-07-21",0
"2009-07-22",0
"2009-07-23",0
"2009-07-24",1.1924
"2009-07-25",8.3893
"2009-07-26",5.3904
"2009-07-27",0
"2009-07-28",0.1106
"2009-07-29",4.1867
"2009-07-30",6.4566
"2009-07-31",6.3186
"2009-08-01",0.0089
"2009-08-02",0.3632
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",14.0352
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0
"2009-08-11",3.8469
"2009-08-12",10.2509
"2009-08-13",12.6466
"2009-08-14",13.4523
"2009-08-15",36.0441
"2009-08-16",36.7687
"2009-08-17",12.7512
"2009-08-18",19.9283
"2009-08-19",18.2668
"2009-08-20",22.4846
"2009-08-21",1.0667
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",0.207
"2009-08-28",2.9904
"2009-08-29",1.9286
"2009-08-30",8.0115
"2009-08-31",0.1328
"2009-09-01",0
"2009-09-02",20.1702
"2009-09-03",0
"2009-09-04",0.1764
"2009-09-05",0.2765
"2009-09-06",0
"2009-09-07",0
"2009-09-08",0
"2009-09-09",13.4613
"2009-09-10",0
"2009-09-11",4.9673
"2009-09-12",3.9063
"2009-09-13",9.3865
"2009-09-14",0
"2009-09-15",0
"2009-09-16",0
"2009-09-17",7.9057
"2009-09-18",38.2059
"2009-09-19",0
"2009-09-20",0
"2009-09-21",19.4596
"2009-09-22",21.3158
"2009-09-23",15.6438
"2009-09-24",0
"2009-09-25",0
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",0
"2009-09-30",8.6014
"2009-10-01",1.247
"2009-10-02",1.1808
"2009-10-03",0
"2009-10-04",5.7865
"2009-10-05",0
"2009-10-06",0
"2009-10-07",0.2373
"2009-10-08",0
"2009-10-09",0
"2009-10-10",6.555
"2009-10-11",8.914
"2009-10-12",24.5362
"2009-10-13",12.9888
"2009-10-14",37.2898
"2009-10-15",0.277
"2009-10-16",10.4735
"2009-10-17",2.2055
"2009-10-18",9.7082
"2009-10-19",9.9673
"2009-10-20",14.6169
"2009-10-21",0
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0.926
"2009-10-25",0
"2009-10-26",0
"2009-10-27",1.1995
"2009-10-28",18.5906
"2009-10-29",16.7913
"2009-10-30",5.6592
"2009-10-31",27.2818
"2009-11-01",0.67
"2009-11-02",21.0584
"2009-11-03",1.5295
"2009-11-04",16.7871
"2009-11-05",11.7075
"2009-11-06",50.6964
"2009-11-07",6.3742
"2009-11-08",12.9745
"2009-11-09",33.1811
"2009-11-10",23.6094
"2009-11-11",8.4438
"2009-11-12",46.5604
"2009-11-13",31.3446
"2009-11-14",36.4122
"2009-11-15",21.2052
"2009-11-16",3.0782
"2009-11-17",31.5638
"2009-11-18",18.8823
"2009-11-19",0.3769
"2009-11-20",56.4065
"2009-11-21",8.9661
"2009-11-22",10.0323
"2009-11-23",1.2227
"2009-11-24",1.5608
"2009-11-25",11.7844
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0.0074
"2009-11-29",3.2469
"2009-11-30",5.1074
"2009-12-01",37.5189
"2009-12-02",17.0876
"2009-12-03",0
"2009-12-04",0.2909
"2009-12-05",2.6091
"2009-12-06",11.3403
"2009-12-07",2.8492
"2009-12-08",5.0504
"2009-12-09",13.2925
"2009-12-10",11.936
"2009-12-11",0
"2009-12-12",22.3809
"2009-12-13",2.298
"2009-12-14",32.6984
"2009-12-15",36.4594
"2009-12-16",13.129
"2009-12-17",8.8644
"2009-12-18",15.8341
"2009-12-19",0.1304
"2009-12-20",0
"2009-12-21",3.3836
"2009-12-22",0.1322
"2009-12-23",0.6013
"2009-12-24",16.2003
"2009-12-25",15.6674
"2009-12-26",0
"2009-12-27",13.5787
"2009-12-28",3.9084
"2009-12-29",11.6752
"2009-12-30",0.6624
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0.9994
"2010-01-03",19.2108
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",24.72
"2010-01-09",8.7125
"2010-01-10",0
"2010-01-11",3.7347
"2010-01-12",19.3069
"2010-01-13",0.2879
"2010-01-14",0.3458
"2010-01-15",0
"2010-01-16",3.4376
"2010-01-17",0.1879
"2010-01-18",17.1062
"2010-01-19",0.1732
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",1.4526
"2010-01-28",0
"2010-01-29",0
"2010-01-30",0
"2010-01-31",31.418
"2010-02-01",27.8814
"2010-02-02",0.0013
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0
"2010-02-10",9.8784
"2010-02-11",14.9731
"2010-02-12",7.494
"2010-02-13",3.7752
"2010-02-14",0
"2010-02-15",0
"2010-02-16",4.0784
"2010-02-17",0.3679
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",0.4125
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0.4905
"2010-03-07",0
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0.4102
"2010-03-13",10.666
"2010-03-14",0.3498
"2010-03-15",0
"2010-03-16",1.6134
"2010-03-17",0
"2010-03-18",8.5675
"2010-03-19",0.402
"2010-03-20",0
"2010-03-21",4.0618
"2010-03-22",0
