,"(mm) Precipitation (CHIRPS) at Trincomalee, 2007-01-01 to 2025-12-31"
"2008-07-05",0
"2008-07-06",0.0805
"2008-07-07",0
"2008-07-08",0
"2008-07-09",0
"2008-07-10",0
"2008-07-11",0.0337
"2008-07-12",1.1124
"2008-07-13",0.1929
"2008-07-14",0.2017
"2008-07-15",5.7443
"2008-07-16",0
"2008-07-17",0
"2008-07-18",0.087
"2008-07-19",1.2966
"2008-07-20",8.9651
"2008-07-21",5.4513
"2008-07-22",5.4658
"2008-07-23",0
"2008-07-24",0.2416
"2008-07-25",0.0013
"2008-07-26",1.7887
"2008-07-27",0.6934
"2008-07-28",0.1761
"2008-07-29",0
"2008-07-30",0
"2008-07-31",2.9626
"2008-08-01",3.3747
"2008-08-02",3.209
"2008-08-03",2.2099
"2008-08-04",2.1815
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0
"2008-08-08",4.0612
"2008-08-09",4.8778
"2008-08-10",0.1735
"2008-08-11",0
"2008-08-12",2.1023
"2008-08-13",0.2781
"2008-08-14",0.4236
"2008-08-15",3.2543
"2008-08-16",0.2661
"2008-08-17",2.9655
"2008-08-18",0
"2008-08-19",0.0391
"2008-08-20",0.5185
"2008-08-21",0
"2008-08-22",5.2869
"2008-08-23",1.3517
"2008-08-24",0.2495
"2008-08-25",0.7236
"2008-08-26",14.233
"2008-08-27",6.3095
"2008-08-28",4.1939
"2008-08-29",0.0832
"2008-08-30",8.3827
"2008-08-31",0
"2008-09-01",0
"2008-09-02",0.327
"2008-09-03",0.2403
"2008-09-04",0.1729
"2008-09-05",1.4307
"2008-09-06",9.4725
"2008-09-07",6.415
"2008-09-08",0.008
"2008-09-09",0
"2008-09-10",0.0169
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",1.0254
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0
"2008-09-21",0.0316
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0
"2008-09-25",0.1037
"2008-09-26",0.4112
"2008-09-27",7.0011
"2008-09-28",0
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",4.5532
"2008-10-04",0.7314
"2008-10-05",0
"2008-10-06",0
"2008-10-07",0.0384
"2008-10-08",0
"2008-10-09",0.0201
"2008-10-10",0
"2008-10-11",15.5738
"2008-10-12",6.2867
"2008-10-13",8.4515
"2008-10-14",3.9862
"2008-10-15",0.1647
"2008-10-16",0.7087
"2008-10-17",0
"2008-10-18",0.0039
"2008-10-19",3.8446
"2008-10-20",14.3387
"2008-10-21",14.1083
"2008-10-22",0.2849
"2008-10-23",9.7066
"2008-10-24",3.2561
"2008-10-25",6.1416
"2008-10-26",1.0302
"2008-10-27",0.1886
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",0
"2008-11-09",6.0545
"2008-11-10",30.7947
"2008-11-11",29.9843
"2008-11-12",17.3377
"2008-11-13",14.1841
"2008-11-14",0
"2008-11-15",1.1189
"2008-11-16",0
"2008-11-17",0
"2008-11-18",3.868
"2008-11-19",18.3822
"2008-11-20",16.2722
"2008-11-21",29.0463
"2008-11-22",24.0653
"2008-11-23",45.4963
"2008-11-24",42.0197
"2008-11-25",28.6338
"2008-11-26",6.2831
"2008-11-27",0
"2008-11-28",5.5081
"2008-11-29",15.5482
"2008-11-30",0
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0.5583
"2008-12-06",94.2338
"2008-12-07",48.951
"2008-12-08",32.8321
"2008-12-09",0.1529
"2008-12-10",4.9953
"2008-12-11",0
"2008-12-12",0
"2008-12-13",0
"2008-12-14",0
"2008-12-15",60.0567
"2008-12-16",20.1802
"2008-12-17",20.5269
"2008-12-18",14.8091
"2008-12-19",0
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0.1281
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0.3626
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",29.7931
"2009-01-07",0
"2009-01-08",24.947
"2009-01-09",49.2177
"2009-01-10",0.0013
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0.5004
"2009-01-22",0
"2009-01-23",0
"2009-01-24",0
"2009-01-25",19.2441
"2009-01-26",6.731
"2009-01-27",0
"2009-01-28",0
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",1.0334
"2009-02-20",0.015
"2009-02-21",2.4174
"2009-02-22",0.0138
"2009-02-23",0
"2009-02-24",0
"2009-02-25",0
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",0
"2009-03-08",15.8276
"2009-03-09",40.5196
"2009-03-10",18.2836
"2009-03-11",9.1782
"2009-03-12",9.3516
"2009-03-13",12.7999
"2009-03-14",12.8431
"2009-03-15",0.3877
"2009-03-16",0
"2009-03-17",0
"2009-03-18",0
"2009-03-19",0
"2009-03-20",0
"2009-03-21",0
"2009-03-22",0
"2009-03-23",0
"2009-03-24",0.3656
"2009-03-25",0.2931
"2009-03-26",5.7784
"2009-03-27",6.7682
"2009-03-28",3.3119
"2009-03-29",3.8898
"2009-03-30",0.353
"2009-03-31",0
"2009-04-01",0.1157
"2009-04-02",0.7722
"2009-04-03",1.6082
"2009-04-04",2.3453
"2009-04-05",0.066
"2009-04-06",0
"2009-04-07",0.0346
"2009-04-08",10.5587
"2009-04-09",8.3646
"2009-04-10",17.7067
"2009-04-11",22.3569
"2009-04-12",0.7202
"2009-04-13",8.5665
"2009-04-14",6.2114
"2009-04-15",0.557
"2009-04-16",0.9117
"2009-04-17",0
"2009-04-18",0.7249
"2009-04-19",3.7529
"2009-04-20",0.6379
"2009-04-21",1.6907
"2009-04-22",0
"2009-04-23",0
"2009-04-24",0
"2009-04-25",0
"2009-04-26",2.1184
"2009-04-27",4.5264
"2009-04-28",0
"2009-04-29",0.705
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0.1645
"2009-05-05",2.1393
"2009-05-06",0.0243
"2009-05-07",0.6468
"2009-05-08",2.764
"2009-05-09",0
"2009-05-10",0
"2009-05-11",0.0606
"2009-05-12",0
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0.0048
"2009-05-16",4.0211
"2009-05-17",4.2643
"2009-05-18",2.1447
"2009-05-19",5.3921
"2009-05-20",4.3839
"2009-05-21",5.6687
"2009-05-22",1.5859
"2009-05-23",0.362
"2009-05-24",1.1092
"2009-05-25",0.2164
"2009-05-26",0.1695
"2009-05-27",0
"2009-05-28",0
"2009-05-29",0
"2009-05-30",0
"2009-05-31",0
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0.0181
"2009-06-04",0
"2009-06-05",0.0038
"2009-06-06",0.0887
"2009-06-07",0.8596
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",0
"2009-06-12",0
"2009-06-13",0
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0.0175
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0.0654
"2009-06-23",0
"2009-06-24",0
"2009-06-25",0
"2009-06-26",0
"2009-06-27",0.0728
"2009-06-28",1.4886
"2009-06-29",0.4973
"2009-06-30",0
"2009-07-01",0.0981
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0.0081
"2009-07-05",3.5128
"2009-07-06",3.4979
"2009-07-07",0.0053
"2009-07-08",0.0124
"2009-07-09",3.2451
"2009-07-10",3.2341
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",6.1854
"2009-07-15",2.0271
"2009-07-16",0
"2009-07-17",0
"2009-07-18",1.3889
"2009-07-19",0.9144
"2009-07-20",0.6375
"2009-07-21",0.0283
"2009-07-22",0
"2009-07-23",0
"2009-07-24",0.0016
"2009-07-25",1.3218
"2009-07-26",0
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0
"2009-07-30",0.943
"2009-07-31",0
"2009-08-01",0
"2009-08-02",0.5645
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",0.3863
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0.0439
"2009-08-11",3.2329
"2009-08-12",8.4459
"2009-08-13",1.5749
"2009-08-14",1.8126
"2009-08-15",24.7527
"2009-08-16",17.8063
"2009-08-17",19.4894
"2009-08-18",11.5385
"2009-08-19",0.376
"2009-08-20",12.5538
"2009-08-21",3.9154
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0.1031
"2009-08-26",0
"2009-08-27",0
"2009-08-28",0
"2009-08-29",0
"2009-08-30",0.0144
"2009-08-31",8.6143
"2009-09-01",3.2791
"2009-09-02",0.0299
"2009-09-03",0.2501
"2009-09-04",0
"2009-09-05",0
"2009-09-06",0
"2009-09-07",0.7962
"2009-09-08",0
"2009-09-09",0
"2009-09-10",0
"2009-09-11",0
"2009-09-12",0
"2009-09-13",0.1385
"2009-09-14",0
"2009-09-15",0
"2009-09-16",2.5786
"2009-09-17",4.6025
"2009-09-18",7.9515
"2009-09-19",0
"2009-09-20",0
"2009-09-21",0.6209
"2009-09-22",0
"2009-09-23",2.0527
"2009-09-24",0
"2009-09-25",0.4305
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0
"2009-09-29",0.1928
"2009-09-30",0.0264
"2009-10-01",0
"2009-10-02",0
"2009-10-03",0
"2009-10-04",0
"2009-10-05",0
"2009-10-06",0
"2009-10-07",2.8937
"2009-10-08",0
"2009-10-09",0
"2009-10-10",0.0021
"2009-10-11",5.2326
"2009-10-12",3.6765
"2009-10-13",0
"2009-10-14",0.9383
"2009-10-15",0
"2009-10-16",0
"2009-10-17",0
"2009-10-18",0
"2009-10-19",0
"2009-10-20",0
"2009-10-21",0
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0
"2009-10-25",0
"2009-10-26",0
"2009-10-27",0.2914
"2009-10-28",8.8983
"2009-10-29",33.911
"2009-10-30",18.1474
"2009-10-31",29.91
"2009-11-01",9.8152
"2009-11-02",6.9983
"2009-11-03",33.4231
"2009-11-04",41.2805
"2009-11-05",36.4368
"2009-11-06",24.7469
"2009-11-07",17.8737
"2009-11-08",11.9515
"2009-11-09",32.9078
"2009-11-10",5.4761
"2009-11-11",15.1903
"2009-11-12",2.2416
"2009-11-13",44.9885
"2009-11-14",20.6927
"2009-11-15",30.1143
"2009-11-16",19.8751
"2009-11-17",13.1402
"2009-11-18",3.1319
"2009-11-19",2.9919
"2009-11-20",52.8425
"2009-11-21",6.6593
"2009-11-22",0.3509
"2009-11-23",0
"2009-11-24",0
"2009-11-25",0.3062
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0
"2009-11-30",5.515
"2009-12-01",19.5629
"2009-12-02",0
"2009-12-03",0
"2009-12-04",0.1764
"2009-12-05",0.5817
"2009-12-06",19.6383
"2009-12-07",7.9712
"2009-12-08",26.6272
"2009-12-09",19.0941
"2009-12-10",8.3235
"2009-12-11",5.1353
"2009-12-12",20.8018
"2009-12-13",11.2325
"2009-12-14",79.0794
"2009-12-15",90.4538
"2009-12-16",15.136
"2009-12-17",3.1754
"2009-12-18",0.8407
"2009-12-19",5.3194
"2009-12-20",0.4854
"2009-12-21",73.2817
"2009-12-22",49.8444
"2009-12-23",6.7658
"2009-12-24",4.7067
"2009-12-25",34.7227
"2009-12-26",1.3151
"2009-12-27",37.2668
"2009-12-28",7.2032
"2009-12-29",1.8433
"2009-12-30",0
"2009-12-31",0
"2010-01-01",0
"2010-01-02",1.4378
"2010-01-03",3.5275
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0.6651
"2010-01-08",45.7636
"2010-01-09",0
"2010-01-10",0
"2010-01-11",0.0626
"2010-01-12",4.9938
"2010-01-13",0.1159
"2010-01-14",0
"2010-01-15",0
"2010-01-16",0
"2010-01-17",0.0897
"2010-01-18",3.9598
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",0.0002
"2010-01-28",0
"2010-01-29",0
"2010-01-30",0
"2010-01-31",0
"2010-02-01",1.4934
"2010-02-02",0
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0.4022
"2010-02-07",0.1371
"2010-02-08",0
"2010-02-09",0.3796
"2010-02-10",0
"2010-02-11",10.3597
"2010-02-12",8.5385
"2010-02-13",0
"2010-02-14",0
"2010-02-15",0
"2010-02-16",18.0657
"2010-02-17",0
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",3.9977
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0
"2010-03-07",0.0627
"2010-03-08",0
"2010-03-09",0
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",0.276
"2010-03-14",0
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",0
"2010-03-19",0
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0
"2010-03-23",0
"2010-03-24",0.1271
"2010-03-25",0
"2010-03-26",1.6533
"2010-03-27",7.1686
"2010-03-28",0.5096
"2010-03-29",1.5109
"2010-03-30",0.3454
"2010-03-31",0.1809
"2010-04-01",0
"2010-04-02",0
"2010-04-03",0
"2010-04-04",0.0006
"2010-04-05",3.407
"2010-04-06",0.4534
"2010-04-07",1.8115
"2010-04-08",0.2132
"2010-04-09",0.0537
"2010-04-10",2.1995
"2010-04-11",0
"2010-04-12",1.5994
"2010-04-13",0.3859
"2010-04-14",0.2718
"2010-04-15",0
"2010-04-16",1.4947
"2010-04-17",6.0986
"2010-04-18",0.4432
"2010-04-19",4.9352
"2010-04-20",0
"2010-04-21",0.7861
"2010-04-22",2.4569
"2010-04-23",2.6346
"2010-04-24",2.7082
"2010-04-25",0.369
"2010-04-26",7.7975
