,"(mm) Precipitation (CHIRPS) at Vavuniya, 2007-01-01 to 2025-12-31"
"2008-07-12",0
"2008-07-13",5.8951
"2008-07-14",2.4932
"2008-07-15",0
"2008-07-16",0
"2008-07-17",0
"2008-07-18",2.8321
"2008-07-19",1.4916
"2008-07-20",3.8357
"2008-07-21",4.614
"2008-07-22",5.3841
"2008-07-23",0.0102
"2008-07-24",0
"2008-07-25",1.3644
"2008-07-26",0.0401
"2008-07-27",2.9706
"2008-07-28",3.1307
"2008-07-29",0
"2008-07-30",0
"2008-07-31",0.0024
"2008-08-01",2.0267
"2008-08-02",5.5694
"2008-08-03",0.3587
"2008-08-04",2.42
"2008-08-05",0
"2008-08-06",0
"2008-08-07",0
"2008-08-08",3.1254
"2008-08-09",1.966
"2008-08-10",0.096
"2008-08-11",0.0179
"2008-08-12",0.0254
"2008-08-13",0.0017
"2008-08-14",2.8657
"2008-08-15",1.0105
"2008-08-16",1.2611
"2008-08-17",5.1647
"2008-08-18",0
"2008-08-19",0
"2008-08-20",0
"2008-08-21",0
"2008-08-22",7.5608
"2008-08-23",1.6579
"2008-08-24",3.3831
"2008-08-25",2.7213
"2008-08-26",13.2158
"2008-08-27",6.5142
"2008-08-28",6.628
"2008-08-29",4.0112
"2008-08-30",1.6088
"2008-08-31",0
"2008-09-01",0
"2008-09-02",1.0422
"2008-09-03",0.4006
"2008-09-04",1.0333
"2008-09-05",0
"2008-09-06",9.9402
"2008-09-07",6.2294
"2008-09-08",0.0114
"2008-09-09",0
"2008-09-10",0
"2008-09-11",0
"2008-09-12",0
"2008-09-13",0
"2008-09-14",0
"2008-09-15",0.0388
"2008-09-16",0
"2008-09-17",0
"2008-09-18",0
"2008-09-19",0
"2008-09-20",0.0702
"2008-09-21",0
"2008-09-22",0
"2008-09-23",0
"2008-09-24",0.1185
"2008-09-25",0.1049
"2008-09-26",0
"2008-09-27",6.282
"2008-09-28",0
"2008-09-29",0
"2008-09-30",0
"2008-10-01",0
"2008-10-02",0
"2008-10-03",0
"2008-10-04",7.8178
"2008-10-05",1.5149
"2008-10-06",1.3597
"2008-10-07",5.7792
"2008-10-08",3.4144
"2008-10-09",1.9891
"2008-10-10",0
"2008-10-11",8.3812
"2008-10-12",10.7579
"2008-10-13",6.0451
"2008-10-14",5.3754
"2008-10-15",5.0969
"2008-10-16",4.1798
"2008-10-17",2.2845
"2008-10-18",5.2274
"2008-10-19",2.2031
"2008-10-20",12.8405
"2008-10-21",23.3266
"2008-10-22",0.4335
"2008-10-23",0.3144
"2008-10-24",17.4996
"2008-10-25",2.144
"2008-10-26",6.3505
"2008-10-27",1.6768
"2008-10-28",0
"2008-10-29",0
"2008-10-30",0
"2008-10-31",0
"2008-11-01",0
"2008-11-02",0
"2008-11-03",0
"2008-11-04",0
"2008-11-05",0
"2008-11-06",0
"2008-11-07",0
"2008-11-08",0
"2008-11-09",0.8506
"2008-11-10",29.527
"2008-11-11",31.3012
"2008-11-12",15.9245
"2008-11-13",11.446
"2008-11-14",0
"2008-11-15",0.4996
"2008-11-16",0
"2008-11-17",0
"2008-11-18",0
"2008-11-19",23.6306
"2008-11-20",16.1998
"2008-11-21",17.8947
"2008-11-22",20.3282
"2008-11-23",47.3223
"2008-11-24",56.6918
"2008-11-25",54.0031
"2008-11-26",53.4412
"2008-11-27",6.7326
"2008-11-28",5.2655
"2008-11-29",11.9708
"2008-11-30",0
"2008-12-01",0
"2008-12-02",0
"2008-12-03",0
"2008-12-04",0
"2008-12-05",0
"2008-12-06",55.1862
"2008-12-07",78.0892
"2008-12-08",30.6097
"2008-12-09",8.0257
"2008-12-10",5.6795
"2008-12-11",0
"2008-12-12",0
"2008-12-13",0.3476
"2008-12-14",0
"2008-12-15",43.182
"2008-12-16",14.4652
"2008-12-17",14.8344
"2008-12-18",3.7651
"2008-12-19",0
"2008-12-20",0
"2008-12-21",0
"2008-12-22",0
"2008-12-23",0
"2008-12-24",0
"2008-12-25",0
"2008-12-26",0
"2008-12-27",0
"2008-12-28",0
"2008-12-29",0
"2008-12-30",0
"2008-12-31",0
"2009-01-01",0
"2009-01-02",0
"2009-01-03",0
"2009-01-04",0
"2009-01-05",0
"2009-01-06",16.722
"2009-01-07",0
"2009-01-08",1.4275
"2009-01-09",40.0789
"2009-01-10",2.2352
"2009-01-11",0
"2009-01-12",0
"2009-01-13",0
"2009-01-14",0
"2009-01-15",0
"2009-01-16",0
"2009-01-17",0
"2009-01-18",0
"2009-01-19",0
"2009-01-20",0
"2009-01-21",0
"2009-01-22",0.5029
"2009-01-23",0
"2009-01-24",0.0297
"2009-01-25",2.4513
"2009-01-26",27.5243
"2009-01-27",0
"2009-01-28",0
"2009-01-29",0
"2009-01-30",0
"2009-01-31",0
"2009-02-01",0
"2009-02-02",0
"2009-02-03",0
"2009-02-04",0
"2009-02-05",0
"2009-02-06",0
"2009-02-07",0
"2009-02-08",0
"2009-02-09",0
"2009-02-10",0
"2009-02-11",0
"2009-02-12",0
"2009-02-13",0
"2009-02-14",0
"2009-02-15",0
"2009-02-16",0
"2009-02-17",0
"2009-02-18",0
"2009-02-19",0.5255
"2009-02-20",0
"2009-02-21",1.0085
"2009-02-22",0.531
"2009-02-23",2.7755
"2009-02-24",0
"2009-02-25",0
"2009-02-26",0
"2009-02-27",0
"2009-02-28",0
"2009-03-01",0
"2009-03-02",0
"2009-03-03",0
"2009-03-04",0
"2009-03-05",0
"2009-03-06",0
"2009-03-07",0.1971
"2009-03-08",21.254
"2009-03-09",34.1866
"2009-03-10",17.3075
"2009-03-11",16.3892
"2009-03-12",5.0622
"2009-03-13",18.1643
"2009-03-14",24.1289
"2009-03-15",5.391
"2009-03-16",0
"2009-03-17",0
"2009-03-18",0
"2009-03-19",0
"2009-03-20",0
"2009-03-21",0.1941
"2009-03-22",0
"2009-03-23",0
"2009-03-24",0
"2009-03-25",8.8648
"2009-03-26",1.4296
"2009-03-27",1.5614
"2009-03-28",2.0229
"2009-03-29",3.5513
"2009-03-30",1.0217
"2009-03-31",1.9466
"2009-04-01",0
"2009-04-02",0
"2009-04-03",2.4353
"2009-04-04",9.1483
"2009-04-05",5.3995
"2009-04-06",0.0025
"2009-04-07",2.1292
"2009-04-08",21.3678
"2009-04-09",8.8922
"2009-04-10",31.9332
"2009-04-11",32.6861
"2009-04-12",8.5953
"2009-04-13",12.4293
"2009-04-14",9.1954
"2009-04-15",0.0513
"2009-04-16",0.12
"2009-04-17",0
"2009-04-18",0.8829
"2009-04-19",8.3597
"2009-04-20",0
"2009-04-21",0
"2009-04-22",0
"2009-04-23",0
"2009-04-24",0
"2009-04-25",0
"2009-04-26",9.8792
"2009-04-27",1.2305
"2009-04-28",0
"2009-04-29",0.033
"2009-04-30",0
"2009-05-01",0
"2009-05-02",0
"2009-05-03",0
"2009-05-04",0
"2009-05-05",1.697
"2009-05-06",0.0534
"2009-05-07",0
"2009-05-08",0
"2009-05-09",0
"2009-05-10",0
"2009-05-11",3.1986
"2009-05-12",0
"2009-05-13",0
"2009-05-14",0
"2009-05-15",0
"2009-05-16",3.5216
"2009-05-17",1.3293
"2009-05-18",2.6328
"2009-05-19",5.1692
"2009-05-20",4.6118
"2009-05-21",5.0435
"2009-05-22",0.5935
"2009-05-23",0.0072
"2009-05-24",0.3974
"2009-05-25",0.9222
"2009-05-26",0
"2009-05-27",0
"2009-05-28",0
"2009-05-29",0
"2009-05-30",0
"2009-05-31",0
"2009-06-01",0
"2009-06-02",0
"2009-06-03",0
"2009-06-04",0
"2009-06-05",0
"2009-06-06",0.2013
"2009-06-07",0.0924
"2009-06-08",0
"2009-06-09",0
"2009-06-10",0
"2009-06-11",0
"2009-06-12",0
"2009-06-13",0
"2009-06-14",0
"2009-06-15",0
"2009-06-16",0
"2009-06-17",0
"2009-06-18",0
"2009-06-19",0
"2009-06-20",0
"2009-06-21",0
"2009-06-22",0.0118
"2009-06-23",0
"2009-06-24",0
"2009-06-25",0
"2009-06-26",0
"2009-06-27",0
"2009-06-28",0.9501
"2009-06-29",0
"2009-06-30",0
"2009-07-01",0
"2009-07-02",0
"2009-07-03",0
"2009-07-04",0
"2009-07-05",0.7872
"2009-07-06",5.6994
"2009-07-07",0
"2009-07-08",0.0782
"2009-07-09",3.5868
"2009-07-10",4.1381
"2009-07-11",0
"2009-07-12",0
"2009-07-13",0
"2009-07-14",3.7472
"2009-07-15",1.6338
"2009-07-16",0
"2009-07-17",0
"2009-07-18",0
"2009-07-19",0
"2009-07-20",0.0838
"2009-07-21",0.3476
"2009-07-22",0
"2009-07-23",0
"2009-07-24",1.743
"2009-07-25",3.6055
"2009-07-26",0.1213
"2009-07-27",0
"2009-07-28",0
"2009-07-29",0.2358
"2009-07-30",3.9201
"2009-07-31",0.0326
"2009-08-01",0
"2009-08-02",0.8235
"2009-08-03",0
"2009-08-04",0
"2009-08-05",0
"2009-08-06",0
"2009-08-07",0.0114
"2009-08-08",0
"2009-08-09",0
"2009-08-10",0.0036
"2009-08-11",6.4824
"2009-08-12",6.1542
"2009-08-13",3.0927
"2009-08-14",4.7088
"2009-08-15",10.8776
"2009-08-16",19.8534
"2009-08-17",12.3305
"2009-08-18",0.3283
"2009-08-19",4.8882
"2009-08-20",13.6517
"2009-08-21",0.3685
"2009-08-22",0
"2009-08-23",0
"2009-08-24",0
"2009-08-25",0
"2009-08-26",0
"2009-08-27",0
"2009-08-28",0
"2009-08-29",0
"2009-08-30",0
"2009-08-31",5.7342
"2009-09-01",1.1366
"2009-09-02",0.1276
"2009-09-03",0
"2009-09-04",0
"2009-09-05",0
"2009-09-06",0
"2009-09-07",0.0699
"2009-09-08",0.4266
"2009-09-09",0
"2009-09-10",0
"2009-09-11",0.4163
"2009-09-12",0
"2009-09-13",1.2328
"2009-09-14",0
"2009-09-15",0.0075
"2009-09-16",3.6056
"2009-09-17",6.6383
"2009-09-18",7.214
"2009-09-19",0
"2009-09-20",0.0043
"2009-09-21",3.4085
"2009-09-22",0.3419
"2009-09-23",2.0783
"2009-09-24",0
"2009-09-25",1.3445
"2009-09-26",0
"2009-09-27",0
"2009-09-28",0.5317
"2009-09-29",1.7663
"2009-09-30",0.0073
"2009-10-01",0.032
"2009-10-02",0
"2009-10-03",0
"2009-10-04",0
"2009-10-05",0.2758
"2009-10-06",0.2159
"2009-10-07",0.303
"2009-10-08",0
"2009-10-09",0
"2009-10-10",5.8629
"2009-10-11",0.4301
"2009-10-12",3.8205
"2009-10-13",2.6755
"2009-10-14",1.5504
"2009-10-15",0
"2009-10-16",0
"2009-10-17",0
"2009-10-18",3.3011
"2009-10-19",4.6635
"2009-10-20",0.0255
"2009-10-21",0
"2009-10-22",0
"2009-10-23",0
"2009-10-24",0
"2009-10-25",0
"2009-10-26",0
"2009-10-27",0
"2009-10-28",9.3995
"2009-10-29",19.138
"2009-10-30",0.3639
"2009-10-31",13.538
"2009-11-01",0
"2009-11-02",3.0088
"2009-11-03",15.2343
"2009-11-04",29.6639
"2009-11-05",22.8854
"2009-11-06",34.0327
"2009-11-07",21.9696
"2009-11-08",19.8572
"2009-11-09",26.2682
"2009-11-10",8.8606
"2009-11-11",24.1758
"2009-11-12",2.826
"2009-11-13",30.4981
"2009-11-14",46.4224
"2009-11-15",28.6734
"2009-11-16",10.527
"2009-11-17",25.3011
"2009-11-18",7.3867
"2009-11-19",0.9877
"2009-11-20",46.6132
"2009-11-21",2.2897
"2009-11-22",0.0939
"2009-11-23",0
"2009-11-24",14.357
"2009-11-25",0
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0.5729
"2009-11-30",5.9865
"2009-12-01",34.2842
"2009-12-02",15.9899
"2009-12-03",1.6035
"2009-12-04",0.1567
"2009-12-05",0
"2009-12-06",0.3392
"2009-12-07",0.018
"2009-12-08",1.7552
"2009-12-09",6.6127
"2009-12-10",0
"2009-12-11",12.0948
"2009-12-12",14.3267
"2009-12-13",4.4621
"2009-12-14",54.6169
"2009-12-15",66.4137
"2009-12-16",18.6648
"2009-12-17",15.1942
"2009-12-18",0
"2009-12-19",0
"2009-12-20",0.0563
"2009-12-21",67.8971
"2009-12-22",10.3727
"2009-12-23",0.0097
"2009-12-24",17.6312
"2009-12-25",27.0308
"2009-12-26",5.0277
"2009-12-27",24.8525
"2009-12-28",0.2251
"2009-12-29",1.718
"2009-12-30",0
"2009-12-31",0
"2010-01-01",0
"2010-01-02",0.0234
"2010-01-03",2.1053
"2010-01-04",0
"2010-01-05",0
"2010-01-06",0
"2010-01-07",0
"2010-01-08",41.0233
"2010-01-09",0
"2010-01-10",0
"2010-01-11",0.2693
"2010-01-12",5.3237
"2010-01-13",0
"2010-01-14",0
"2010-01-15",0
"2010-01-16",0
"2010-01-17",0.4072
"2010-01-18",0.9766
"2010-01-19",0
"2010-01-20",0
"2010-01-21",0
"2010-01-22",0
"2010-01-23",0
"2010-01-24",0
"2010-01-25",0
"2010-01-26",0
"2010-01-27",0
"2010-01-28",0
"2010-01-29",0
"2010-01-30",0
"2010-01-31",0
"2010-02-01",0
"2010-02-02",0
"2010-02-03",0
"2010-02-04",0
"2010-02-05",0
"2010-02-06",0
"2010-02-07",0
"2010-02-08",0
"2010-02-09",0.2456
"2010-02-10",0
"2010-02-11",8.2955
"2010-02-12",8.4856
"2010-02-13",0
"2010-02-14",0
"2010-02-15",2.1898
"2010-02-16",1.5925
"2010-02-17",0
"2010-02-18",0
"2010-02-19",0
"2010-02-20",0
"2010-02-21",0
"2010-02-22",0
"2010-02-23",1.6557
"2010-02-24",0
"2010-02-25",0
"2010-02-26",0
"2010-02-27",0
"2010-02-28",0
"2010-03-01",0
"2010-03-02",0
"2010-03-03",0
"2010-03-04",0
"2010-03-05",0
"2010-03-06",0.007
"2010-03-07",0.0509
"2010-03-08",0
"2010-03-09",0.016
"2010-03-10",0
"2010-03-11",0
"2010-03-12",0
"2010-03-13",0
"2010-03-14",0
"2010-03-15",0
"2010-03-16",0
"2010-03-17",0
"2010-03-18",0
"2010-03-19",0
"2010-03-20",0
"2010-03-21",0
"2010-03-22",0.1406
"2010-03-23",0
"2010-03-24",3.7908
"2010-03-25",0
"2010-03-26",9.8329
"2010-03-27",9.3852
"2010-03-28",4.5086
"2010-03-29",4.4601
"2010-03-30",4.5689
"2010-03-31",0
"2010-04-01",0
"2010-04-02",0
"2010-04-03",0
"2010-04-04",2.2156
"2010-04-05",6.6206
"2010-04-06",1.2659
"2010-04-07",4.0183
"2010-04-08",0.0983
"2010-04-09",2.9509
"2010-04-10",3.5344
"2010-04-11",0.1274
"2010-04-12",0.1726
"2010-04-13",0
"2010-04-14",0.4569
"2010-04-15",2.3644
"2010-04-16",6.8774
"2010-04-17",8.9668
"2010-04-18",6.6185
"2010-04-19",5.177
"2010-04-20",0.4352
"2010-04-21",0.4866
"2010-04-22",1.6138
"2010-04-23",2.8631
"2010-04-24",2.6943
"2010-04-25",2.8252
"2010-04-26",13.3902
"2010-04-27",11.1582
"2010-04-28",8.7626
"2010-04-29",11.8509
"2010-04-30",14.7747
"2010-05-01",0.0334
"2010-05-02",0
"2010-05-03",3.5025
"2010-05-04",0.1604
