,"(deg C) Mean Dew Point Temperature (ERA5) at Monaragala, 2007-01-01 to 2025-12-31"
"2007-05-23",23.3203
"2007-05-24",23.0777
"2007-05-25",22.9144
"2007-05-26",22.6259
"2007-05-27",23.0901
"2007-05-28",21.8971
"2007-05-29",21.6948
"2007-05-30",22.2452
"2007-05-31",22.1134
"2007-06-01",21.9092
"2007-06-02",22.2213
"2007-06-03",22.0471
"2007-06-04",22.2397
"2007-06-05",22.5785
"2007-06-06",23.2768
"2007-06-07",22.9048
"2007-06-08",22.3343
"2007-06-09",21.9516
"2007-06-10",22.4857
"2007-06-11",22.6014
"2007-06-12",22.4003
"2007-06-13",22.45
"2007-06-14",22.063
"2007-06-15",22.1825
"2007-06-16",22.3018
"2007-06-17",21.5897
"2007-06-18",21.214
"2007-06-19",20.8746
"2007-06-20",21.3742
"2007-06-21",21.6001
"2007-06-22",21.4277
"2007-06-23",22.1228
"2007-06-24",22.6355
"2007-06-25",22.5778
"2007-06-26",22.2048
"2007-06-27",21.8951
"2007-06-28",21.7244
"2007-06-29",21.8535
"2007-06-30",22.1482
"2007-07-01",22.0911
"2007-07-02",21.8503
"2007-07-03",22.1187
"2007-07-04",20.4453
"2007-07-05",20.686
"2007-07-06",20.5913
"2007-07-07",19.7471
"2007-07-08",19.9186
"2007-07-09",20.5581
"2007-07-10",20.2249
"2007-07-11",21.4716
"2007-07-12",21.6048
"2007-07-13",20.9614
"2007-07-14",20.6935
"2007-07-15",20.1096
"2007-07-16",21.0371
"2007-07-17",20.7435
"2007-07-18",21.7405
"2007-07-19",21.8201
"2007-07-20",21.4347
"2007-07-21",20.5843
"2007-07-22",20.6453
"2007-07-23",21.5615
"2007-07-24",22.0246
"2007-07-25",21.2063
"2007-07-26",21.106
"2007-07-27",20.6662
"2007-07-28",21.0214
"2007-07-29",21.7526
"2007-07-30",21.4596
"2007-07-31",20.6708
"2007-08-01",20.2508
"2007-08-02",20.457
"2007-08-03",20.5821
"2007-08-04",20.7141
"2007-08-05",20.4674
"2007-08-06",19.5347
"2007-08-07",19.7252
"2007-08-08",19.5585
"2007-08-09",19.9611
"2007-08-10",20.5414
"2007-08-11",20.3256
"2007-08-12",20.832
"2007-08-13",20.382
"2007-08-14",19.404
"2007-08-15",20.0288
"2007-08-16",20.1126
"2007-08-17",19.9091
"2007-08-18",20.2082
"2007-08-19",20.4359
"2007-08-20",19.6373
"2007-08-21",20.2639
"2007-08-22",19.5566
"2007-08-23",20.8906
"2007-08-24",21.3348
"2007-08-25",21.5117
"2007-08-26",21.0893
"2007-08-27",20.55
"2007-08-28",21.3857
"2007-08-29",21.376
"2007-08-30",21.4412
"2007-08-31",21.1351
"2007-09-01",20.7022
"2007-09-02",21.2895
"2007-09-03",21.1295
"2007-09-04",21.3943
"2007-09-05",21.9761
"2007-09-06",21.0642
"2007-09-07",22.2725
"2007-09-08",22.4932
"2007-09-09",21.0448
"2007-09-10",21.5096
"2007-09-11",22.0424
"2007-09-12",21.9994
"2007-09-13",21.5395
"2007-09-14",21.4159
"2007-09-15",21.3801
"2007-09-16",21.8199
"2007-09-17",21.6963
"2007-09-18",21.0892
"2007-09-19",21.3606
"2007-09-20",21.4502
"2007-09-21",21.0989
"2007-09-22",20.9723
"2007-09-23",21.2121
"2007-09-24",21.1757
"2007-09-25",21.1048
"2007-09-26",21.267
"2007-09-27",21.3291
"2007-09-28",21.4386
"2007-09-29",20.7264
"2007-09-30",19.3878
"2007-10-01",19.8525
"2007-10-02",20.8479
"2007-10-03",20.8398
"2007-10-04",20.8473
"2007-10-05",20.7036
"2007-10-06",20.7213
"2007-10-07",20.9316
"2007-10-08",20.8056
"2007-10-09",20.4623
"2007-10-10",21.2653
"2007-10-11",21.5463
"2007-10-12",21.559
"2007-10-13",21.5698
"2007-10-14",21.8528
"2007-10-15",22.2084
"2007-10-16",22.093
"2007-10-17",21.7788
"2007-10-18",21.5661
"2007-10-19",21.7628
"2007-10-20",20.9048
"2007-10-21",21.1722
"2007-10-22",20.9651
"2007-10-23",21.7379
"2007-10-24",22.3973
"2007-10-25",22.2767
"2007-10-26",21.8111
"2007-10-27",21.4088
"2007-10-28",21.3294
"2007-10-29",20.971
"2007-10-30",21.2024
"2007-10-31",21.6866
"2007-11-01",21.7021
"2007-11-02",21.4692
"2007-11-03",21.572
"2007-11-04",21.7824
"2007-11-05",22.1976
"2007-11-06",21.7549
"2007-11-07",21.744
"2007-11-08",21.5211
"2007-11-09",21.0275
"2007-11-10",20.5828
"2007-11-11",21.1169
"2007-11-12",21.4374
"2007-11-13",21.2469
"2007-11-14",19.6693
"2007-11-15",19.625
"2007-11-16",19.0702
"2007-11-17",17.993
"2007-11-18",19.9773
"2007-11-19",21.1406
"2007-11-20",21.8213
"2007-11-21",21.7833
"2007-11-22",21.9219
"2007-11-23",21.9327
"2007-11-24",21.9497
"2007-11-25",20.5304
"2007-11-26",19.4668
"2007-11-27",20.0924
"2007-11-28",20.8506
"2007-11-29",20.4616
"2007-11-30",19.029
"2007-12-01",19.5791
"2007-12-02",20.4691
"2007-12-03",19.3842
"2007-12-04",20.3497
"2007-12-05",19.924
"2007-12-06",19.8703
"2007-12-07",20.6682
"2007-12-08",21.1739
"2007-12-09",20.931
"2007-12-10",20.5086
"2007-12-11",20.0342
"2007-12-12",20.801
"2007-12-13",21.7098
"2007-12-14",21.9837
"2007-12-15",21.5185
"2007-12-16",21.3321
"2007-12-17",21.8354
"2007-12-18",22.3501
"2007-12-19",21.9239
"2007-12-20",21.8753
"2007-12-21",21.5986
"2007-12-22",21.2696
"2007-12-23",21.0666
"2007-12-24",21.2034
"2007-12-25",19.6417
"2007-12-26",18.1271
"2007-12-27",18.6272
"2007-12-28",19.6504
"2007-12-29",18.6692
"2007-12-30",18.1981
"2007-12-31",17.8188
"2008-01-01",18.7652
"2008-01-02",20.3643
"2008-01-03",21.6289
"2008-01-04",20.7713
"2008-01-05",21.1256
"2008-01-06",21.311
"2008-01-07",21.3155
"2008-01-08",21.6037
"2008-01-09",21.5709
"2008-01-10",21.497
"2008-01-11",21.4564
"2008-01-12",21.5758
"2008-01-13",21.1676
"2008-01-14",18.3787
"2008-01-15",17.6106
"2008-01-16",18.2948
"2008-01-17",18.2606
"2008-01-18",17.97
"2008-01-19",17.4698
"2008-01-20",19.8222
"2008-01-21",21.5127
"2008-01-22",20.7115
"2008-01-23",18.7531
"2008-01-24",20.0882
"2008-01-25",21.3446
"2008-01-26",21.6847
"2008-01-27",21.228
"2008-01-28",21.332
"2008-01-29",20.6406
"2008-01-30",20.1977
"2008-01-31",20.5051
"2008-02-01",20.1518
"2008-02-02",20.2237
"2008-02-03",19.6299
"2008-02-04",19.571
"2008-02-05",20.6861
"2008-02-06",21.556
"2008-02-07",21.6765
"2008-02-08",21.8725
"2008-02-09",21.8804
"2008-02-10",21.6464
"2008-02-11",21.3079
"2008-02-12",21.2408
"2008-02-13",21.2382
"2008-02-14",20.939
"2008-02-15",21.313
"2008-02-16",21.0586
"2008-02-17",19.7122
"2008-02-18",18.8397
"2008-02-19",19.0135
"2008-02-20",20.7626
"2008-02-21",20.446
"2008-02-22",19.2432
"2008-02-23",17.2068
"2008-02-24",16.642
"2008-02-25",15.7877
"2008-02-26",19.2691
"2008-02-27",21.2619
"2008-02-28",21.269
"2008-02-29",21.075
"2008-03-01",19.8801
"2008-03-02",20.5698
"2008-03-03",20.8792
"2008-03-04",21.1811
"2008-03-05",21.1732
"2008-03-06",20.8239
"2008-03-07",19.8422
"2008-03-08",18.8531
"2008-03-09",21.0055
"2008-03-10",21.2787
"2008-03-11",21.5215
"2008-03-12",21.6546
"2008-03-13",21.5265
"2008-03-14",21.5521
"2008-03-15",21.8036
"2008-03-16",21.6267
"2008-03-17",21.8186
"2008-03-18",21.6622
"2008-03-19",21.6483
"2008-03-20",21.4586
"2008-03-21",22.0422
"2008-03-22",21.879
"2008-03-23",22.4037
"2008-03-24",21.8105
"2008-03-25",21.3137
"2008-03-26",21.2066
"2008-03-27",21.4272
"2008-03-28",21.5492
"2008-03-29",21.9423
"2008-03-30",22.248
"2008-03-31",21.8008
"2008-04-01",21.8757
"2008-04-02",21.3993
"2008-04-03",21.1988
"2008-04-04",21.4871
"2008-04-05",21.4464
"2008-04-06",21.8194
"2008-04-07",21.3111
"2008-04-08",21.3085
"2008-04-09",21.1967
"2008-04-10",21.7317
"2008-04-11",22.4078
"2008-04-12",21.6151
"2008-04-13",21.9472
"2008-04-14",21.8396
"2008-04-15",21.8288
"2008-04-16",22.1786
"2008-04-17",21.5331
"2008-04-18",21.8274
"2008-04-19",22.0404
"2008-04-20",21.4479
"2008-04-21",22.0697
"2008-04-22",21.5074
"2008-04-23",21.916
"2008-04-24",21.7337
"2008-04-25",21.7148
"2008-04-26",22.0565
"2008-04-27",22.6465
"2008-04-28",21.7803
"2008-04-29",22.3193
"2008-04-30",23.2466
"2008-05-01",23.1403
"2008-05-02",22.5279
"2008-05-03",22.8202
"2008-05-04",22.8888
"2008-05-05",22.501
"2008-05-06",22.3657
"2008-05-07",22.0891
"2008-05-08",22.1198
"2008-05-09",21.0782
"2008-05-10",21.1437
"2008-05-11",22.2182
"2008-05-12",22.3906
"2008-05-13",21.9497
"2008-05-14",21.7867
"2008-05-15",21.6489
"2008-05-16",22.0731
"2008-05-17",21.8091
"2008-05-18",21.9941
"2008-05-19",22.0229
"2008-05-20",22.0291
"2008-05-21",21.8049
"2008-05-22",22.0265
"2008-05-23",21.9733
"2008-05-24",21.8971
"2008-05-25",22.1726
"2008-05-26",21.979
"2008-05-27",21.9035
"2008-05-28",22.4975
"2008-05-29",22.0352
"2008-05-30",21.6225
"2008-05-31",21.484
"2008-06-01",21.8497
"2008-06-02",21.6609
"2008-06-03",21.6875
"2008-06-04",22.1399
"2008-06-05",21.1691
"2008-06-06",22.0156
"2008-06-07",22.0156
"2008-06-08",22.4338
"2008-06-09",22.7841
"2008-06-10",22.1127
"2008-06-11",21.809
"2008-06-12",21.3949
"2008-06-13",21.158
"2008-06-14",20.4928
"2008-06-15",20.7302
"2008-06-16",21.1012
"2008-06-17",19.7687
"2008-06-18",20.185
"2008-06-19",21.0545
"2008-06-20",21.0407
"2008-06-21",21.487
"2008-06-22",21.6592
"2008-06-23",21.5443
"2008-06-24",21.3665
"2008-06-25",21.5341
"2008-06-26",20.9436
"2008-06-27",20.4564
"2008-06-28",19.3137
"2008-06-29",20.3995
"2008-06-30",20.9314
"2008-07-01",20.5779
"2008-07-02",19.7316
"2008-07-03",20.0702
"2008-07-04",20.6588
"2008-07-05",21.4992
"2008-07-06",21.2614
"2008-07-07",21.269
"2008-07-08",20.6405
"2008-07-09",20.1487
"2008-07-10",20.7551
"2008-07-11",20.1167
"2008-07-12",20.2131
"2008-07-13",19.928
"2008-07-14",20.3072
"2008-07-15",20.9707
"2008-07-16",21.1041
"2008-07-17",20.5517
"2008-07-18",20.4949
"2008-07-19",21.7903
"2008-07-20",20.9202
"2008-07-21",21.5306
"2008-07-22",21.7681
"2008-07-23",21.8514
"2008-07-24",20.9411
"2008-07-25",20.586
"2008-07-26",19.9222
"2008-07-27",19.9228
"2008-07-28",20.3529
"2008-07-29",19.75
"2008-07-30",19.9817
"2008-07-31",20.0404
"2008-08-01",20.7562
"2008-08-02",20.9113
"2008-08-03",21.7205
"2008-08-04",21.2296
"2008-08-05",20.9634
"2008-08-06",20.3895
"2008-08-07",19.5789
"2008-08-08",19.5262
"2008-08-09",19.8137
"2008-08-10",19.9633
"2008-08-11",19.8079
"2008-08-12",19.3608
"2008-08-13",20.3473
"2008-08-14",20.8853
"2008-08-15",20.7777
"2008-08-16",20.4129
"2008-08-17",20.6496
"2008-08-18",21.0121
"2008-08-19",21.0315
"2008-08-20",20.4499
"2008-08-21",20.6345
"2008-08-22",20.4671
"2008-08-23",20.7105
"2008-08-24",19.9318
"2008-08-25",20.8407
"2008-08-26",21.3007
"2008-08-27",21.2788
"2008-08-28",21.6091
"2008-08-29",21.8403
"2008-08-30",21.5065
"2008-08-31",21.3504
"2008-09-01",21.8856
"2008-09-02",21.2666
"2008-09-03",20.8663
"2008-09-04",21.6429
"2008-09-05",21.4746
"2008-09-06",21.5137
"2008-09-07",21.093
"2008-09-08",20.6689
"2008-09-09",21.1806
"2008-09-10",20.6409
"2008-09-11",20.6554
"2008-09-12",21.4575
"2008-09-13",20.6919
"2008-09-14",20.5763
"2008-09-15",20.3596
"2008-09-16",20.5958
"2008-09-17",19.6912
"2008-09-18",19.8137
"2008-09-19",19.6858
"2008-09-20",19.7381
"2008-09-21",19.6556
"2008-09-22",20.1864
"2008-09-23",19.891
"2008-09-24",20.0297
"2008-09-25",19.244
"2008-09-26",20.4932
"2008-09-27",20.6766
"2008-09-28",20.4867
"2008-09-29",20.1656
"2008-09-30",18.1812
"2008-10-01",18.8072
"2008-10-02",19.1823
"2008-10-03",19.5817
"2008-10-04",20.7641
"2008-10-05",21.1825
"2008-10-06",21.4495
"2008-10-07",21.5944
"2008-10-08",20.9448
"2008-10-09",21.0984
"2008-10-10",21.5791
"2008-10-11",21.3268
"2008-10-12",21.7172
"2008-10-13",22.055
"2008-10-14",21.798
"2008-10-15",22.2292
"2008-10-16",22.5247
"2008-10-17",22.3816
"2008-10-18",22.2592
"2008-10-19",22.2452
"2008-10-20",22.5098
"2008-10-21",22.4539
"2008-10-22",21.9086
"2008-10-23",21.7809
"2008-10-24",21.529
"2008-10-25",21.2944
"2008-10-26",22.1335
"2008-10-27",22.3397
"2008-10-28",21.9091
"2008-10-29",21.1047
"2008-10-30",20.6711
"2008-10-31",19.9892
"2008-11-01",19.4667
"2008-11-02",18.2715
"2008-11-03",19.0666
"2008-11-04",19.8843
"2008-11-05",19.5438
"2008-11-06",19.4203
"2008-11-07",19.9829
"2008-11-08",21.3364
"2008-11-09",21.5059
"2008-11-10",21.6907
"2008-11-11",21.7949
"2008-11-12",21.5008
"2008-11-13",21.8856
"2008-11-14",21.7309
"2008-11-15",21.1247
"2008-11-16",20.9801
"2008-11-17",20.6736
"2008-11-18",21.2042
"2008-11-19",21.6365
"2008-11-20",22.504
"2008-11-21",21.9994
"2008-11-22",21.9287
"2008-11-23",22.1428
"2008-11-24",22.3086
"2008-11-25",22.227
"2008-11-26",21.9268
"2008-11-27",21.9832
"2008-11-28",22.2138
"2008-11-29",22.2132
"2008-11-30",21.9236
"2008-12-01",21.7739
"2008-12-02",21.712
"2008-12-03",20.1709
"2008-12-04",21.358
"2008-12-05",21.4419
"2008-12-06",21.1731
"2008-12-07",20.9054
"2008-12-08",22.1772
"2008-12-09",22.4225
"2008-12-10",22.1831
"2008-12-11",22.2073
"2008-12-12",21.3534
"2008-12-13",19.9069
"2008-12-14",20.7851
"2008-12-15",21.1219
"2008-12-16",21.3558
"2008-12-17",21.4462
"2008-12-18",21.4885
"2008-12-19",21.9623
"2008-12-20",21.909
"2008-12-21",20.0357
"2008-12-22",18.438
"2008-12-23",19.8641
"2008-12-24",20.4554
"2008-12-25",20.5093
"2008-12-26",19.9304
"2008-12-27",19.2717
"2008-12-28",19.6572
"2008-12-29",18.2349
"2008-12-30",17.4638
"2008-12-31",17.1621
"2009-01-01",17.0167
"2009-01-02",17.4571
"2009-01-03",17.7811
"2009-01-04",19.7196
"2009-01-05",20.4727
"2009-01-06",19.55
"2009-01-07",21.0528
"2009-01-08",20.7945
"2009-01-09",21.3021
"2009-01-10",20.8266
"2009-01-11",19.2372
"2009-01-12",19.1629
"2009-01-13",20.0976
"2009-01-14",19.252
"2009-01-15",18.8588
"2009-01-16",18.355
"2009-01-17",19.1386
"2009-01-18",18.4274
"2009-01-19",18.7614
"2009-01-20",19.2902
"2009-01-21",18.2448
"2009-01-22",17.8549
"2009-01-23",18.3152
"2009-01-24",17.9509
"2009-01-25",20.364
"2009-01-26",21.7707
"2009-01-27",21.1383
"2009-01-28",21.0024
"2009-01-29",19.0965
"2009-01-30",16.1597
"2009-01-31",17.564
"2009-02-01",18.383
"2009-02-02",18.3407
"2009-02-03",16.975
"2009-02-04",17.0615
"2009-02-05",16.9571
"2009-02-06",16.6848
"2009-02-07",16.2783
"2009-02-08",16.4706
"2009-02-09",16.1409
"2009-02-10",18.2345
"2009-02-11",19.5955
"2009-02-12",18.7629
"2009-02-13",17.137
"2009-02-14",16.4064
"2009-02-15",18.0023
"2009-02-16",18.2989
"2009-02-17",17.3952
"2009-02-18",17.3239
"2009-02-19",19.388
"2009-02-20",20.7133
"2009-02-21",20.9242
"2009-02-22",21.3974
"2009-02-23",21.6034
"2009-02-24",21.7429
"2009-02-25",21.0297
"2009-02-26",20.6781
"2009-02-27",19.8023
"2009-02-28",18.9828
"2009-03-01",16.6812
"2009-03-02",13.6202
"2009-03-03",14.3048
"2009-03-04",17.3436
"2009-03-05",18.4865
"2009-03-06",19.23
"2009-03-07",19.3175
"2009-03-08",19.677
"2009-03-09",21.944
"2009-03-10",21.7949
"2009-03-11",21.5851
"2009-03-12",21.5388
"2009-03-13",21.4758
"2009-03-14",21.1588
"2009-03-15",21.1523
"2009-03-16",21.6267
"2009-03-17",21.2587
"2009-03-18",21.3282
"2009-03-19",21.8811
"2009-03-20",21.1841
"2009-03-21",21.1721
"2009-03-22",21.7409
"2009-03-23",22.3219
"2009-03-24",21.337
"2009-03-25",21.5256
"2009-03-26",21.8345
"2009-03-27",21.6127
"2009-03-28",21.8255
"2009-03-29",21.6761
"2009-03-30",21.2576
"2009-03-31",21.9322
"2009-04-01",22.2112
"2009-04-02",21.9655
"2009-04-03",21.5783
"2009-04-04",22.0605
"2009-04-05",22.1032
"2009-04-06",21.7761
"2009-04-07",22.0703
"2009-04-08",22.1131
"2009-04-09",22.3192
"2009-04-10",22.0999
"2009-04-11",22.7988
"2009-04-12",22.9521
"2009-04-13",22.4728
"2009-04-14",21.7072
"2009-04-15",21.7605
"2009-04-16",22.4059
"2009-04-17",22.6658
"2009-04-18",22.9425
"2009-04-19",22.8554
"2009-04-20",22.2934
"2009-04-21",21.8142
"2009-04-22",22.6725
"2009-04-23",22.9106
"2009-04-24",22.7408
"2009-04-25",22.6495
"2009-04-26",22.1359
"2009-04-27",21.9366
"2009-04-28",21.2726
"2009-04-29",21.4174
"2009-04-30",21.7033
"2009-05-01",22.1095
"2009-05-02",22.5375
"2009-05-03",23.1543
"2009-05-04",21.539
"2009-05-05",21.9963
"2009-05-06",22.1849
"2009-05-07",22.6588
"2009-05-08",22.4697
"2009-05-09",22.6668
"2009-05-10",21.826
"2009-05-11",21.7837
"2009-05-12",21.3453
"2009-05-13",21.022
"2009-05-14",21.1465
"2009-05-15",21.4206
"2009-05-16",22.1773
"2009-05-17",22.3796
"2009-05-18",22.3537
"2009-05-19",22.6162
"2009-05-20",21.5568
"2009-05-21",21.8
"2009-05-22",21.8485
"2009-05-23",22.4638
"2009-05-24",22.8122
"2009-05-25",21.6516
"2009-05-26",22.1995
"2009-05-27",21.3109
"2009-05-28",21.5847
"2009-05-29",21.1161
"2009-05-30",21.8855
"2009-05-31",22.1859
"2009-06-01",21.4172
"2009-06-02",20.3815
"2009-06-03",20.9021
"2009-06-04",21.365
"2009-06-05",21.3999
"2009-06-06",18.4822
"2009-06-07",20.229
"2009-06-08",19.8393
"2009-06-09",19.8323
"2009-06-10",20.5439
"2009-06-11",20.9805
"2009-06-12",20.5805
"2009-06-13",20.4107
"2009-06-14",20.5347
"2009-06-15",19.9715
"2009-06-16",20.4052
"2009-06-17",20.9106
"2009-06-18",20.7795
"2009-06-19",20.8876
"2009-06-20",20.9234
"2009-06-21",21.1135
"2009-06-22",20.7943
"2009-06-23",20.6285
"2009-06-24",21.6404
"2009-06-25",21.5551
"2009-06-26",20.3071
"2009-06-27",20.5288
"2009-06-28",20.8117
"2009-06-29",21.3627
"2009-06-30",21.0288
"2009-07-01",20.1859
"2009-07-02",20.2124
"2009-07-03",19.6601
"2009-07-04",19.7882
"2009-07-05",20.0243
"2009-07-06",19.9374
"2009-07-07",19.9586
"2009-07-08",19.5765
"2009-07-09",19.4786
"2009-07-10",20.2476
"2009-07-11",19.6296
"2009-07-12",19.3715
"2009-07-13",19.0669
"2009-07-14",19.7723
"2009-07-15",19.9506
"2009-07-16",20.4869
"2009-07-17",19.5119
"2009-07-18",19.0665
"2009-07-19",19.0557
"2009-07-20",19.1762
"2009-07-21",19.0096
"2009-07-22",18.7818
"2009-07-23",19.0225
"2009-07-24",19.6865
"2009-07-25",20.4026
"2009-07-26",20.4181
"2009-07-27",19.9974
"2009-07-28",19.7968
"2009-07-29",19.8928
"2009-07-30",20.6148
"2009-07-31",20.3069
"2009-08-01",19.8529
"2009-08-02",19.5282
"2009-08-03",19.2273
"2009-08-04",19.4248
"2009-08-05",19.0974
"2009-08-06",19.6852
"2009-08-07",20.0481
"2009-08-08",19.6973
"2009-08-09",19.4474
"2009-08-10",19.114
"2009-08-11",19.7972
"2009-08-12",20.0323
"2009-08-13",21.4187
"2009-08-14",22.0622
"2009-08-15",21.6369
"2009-08-16",21.9539
"2009-08-17",21.7398
"2009-08-18",21.8085
"2009-08-19",21.9461
"2009-08-20",21.7878
"2009-08-21",21.5949
"2009-08-22",21.4047
"2009-08-23",20.7454
"2009-08-24",21.0156
"2009-08-25",20.7536
"2009-08-26",20.8283
"2009-08-27",21.6286
"2009-08-28",21.1874
"2009-08-29",20.8401
"2009-08-30",20.2255
"2009-08-31",20.9103
"2009-09-01",21.5641
"2009-09-02",21.3631
"2009-09-03",20.3088
"2009-09-04",20.4988
"2009-09-05",20.3056
"2009-09-06",20.2375
"2009-09-07",20.2978
"2009-09-08",20.6269
"2009-09-09",20.2276
"2009-09-10",20.5981
"2009-09-11",20.434
"2009-09-12",21.2299
"2009-09-13",22.2532
"2009-09-14",20.1201
"2009-09-15",19.5524
"2009-09-16",19.767
"2009-09-17",20.5255
"2009-09-18",21.3905
"2009-09-19",20.7772
"2009-09-20",20.7124
"2009-09-21",21.7432
"2009-09-22",21.1621
"2009-09-23",21.1123
"2009-09-24",20.5956
"2009-09-25",19.9852
"2009-09-26",19.2278
"2009-09-27",19.1269
"2009-09-28",20.2507
"2009-09-29",21.1881
"2009-09-30",20.7086
"2009-10-01",20.9748
"2009-10-02",21.4776
"2009-10-03",20.6469
"2009-10-04",19.9122
"2009-10-05",18.0575
"2009-10-06",18.7162
"2009-10-07",19.4591
"2009-10-08",19.3386
"2009-10-09",19.8147
"2009-10-10",20.6531
"2009-10-11",20.875
"2009-10-12",21.3011
"2009-10-13",21.1088
"2009-10-14",21.1179
"2009-10-15",19.9671
"2009-10-16",20.8968
"2009-10-17",21.0831
"2009-10-18",21.7557
"2009-10-19",20.7805
"2009-10-20",20.9395
"2009-10-21",20.4003
"2009-10-22",19.1551
"2009-10-23",19.0503
"2009-10-24",19.3726
"2009-10-25",19.8168
"2009-10-26",19.8776
"2009-10-27",20.7653
"2009-10-28",21.7572
"2009-10-29",21.8599
"2009-10-30",21.6397
"2009-10-31",21.6155
"2009-11-01",21.9096
"2009-11-02",21.3969
"2009-11-03",22.2064
"2009-11-04",22.1965
"2009-11-05",22.2296
"2009-11-06",22.5049
"2009-11-07",22.3943
"2009-11-08",22.2706
"2009-11-09",22.0818
"2009-11-10",22.0876
"2009-11-11",22.1533
"2009-11-12",22.4318
"2009-11-13",22.5222
"2009-11-14",22.2137
"2009-11-15",21.5812
"2009-11-16",22.4626
"2009-11-17",22.2757
"2009-11-18",21.8653
"2009-11-19",21.8672
"2009-11-20",21.7232
"2009-11-21",21.8018
"2009-11-22",21.7554
"2009-11-23",21.373
"2009-11-24",21.3527
"2009-11-25",20.9469
"2009-11-26",20.2272
"2009-11-27",19.5066
"2009-11-28",20.6776
"2009-11-29",21.6762
"2009-11-30",22.0865
"2009-12-01",22.1494
"2009-12-02",21.766
"2009-12-03",21.8329
"2009-12-04",21.2138
"2009-12-05",21.3246
"2009-12-06",21.2948
"2009-12-07",22.233
"2009-12-08",22.0332
"2009-12-09",21.8791
"2009-12-10",21.7291
"2009-12-11",22.2702
"2009-12-12",22.467
