,"(deg C) Mean Dew Point Temperature (ERA5) at Kilinochchi, 2007-01-01 to 2025-12-31"
"2007-12-01",23.006
"2007-12-02",22.7129
"2007-12-03",21.7548
"2007-12-04",23.3278
"2007-12-05",22.2082
"2007-12-06",22.8853
"2007-12-07",23.1502
"2007-12-08",23.8255
"2007-12-09",23.3206
"2007-12-10",22.6814
"2007-12-11",22.6365
"2007-12-12",22.9062
"2007-12-13",23.4844
"2007-12-14",23.96
"2007-12-15",23.5197
"2007-12-16",22.3133
"2007-12-17",23.7776
"2007-12-18",24.1347
"2007-12-19",23.9339
"2007-12-20",24.0474
"2007-12-21",24.4983
"2007-12-22",24.0727
"2007-12-23",22.7609
"2007-12-24",21.0236
"2007-12-25",20.5544
"2007-12-26",21.3757
"2007-12-27",21.485
"2007-12-28",21.5073
"2007-12-29",21.5286
"2007-12-30",21.95
"2007-12-31",20.7936
"2008-01-01",20.3953
"2008-01-02",20.7561
"2008-01-03",22.7632
"2008-01-04",23.4008
"2008-01-05",23.4919
"2008-01-06",21.8083
"2008-01-07",21.1347
"2008-01-08",21.0903
"2008-01-09",22.0306
"2008-01-10",22.4158
"2008-01-11",22.319
"2008-01-12",22.0742
"2008-01-13",21.7792
"2008-01-14",21.0312
"2008-01-15",20.6074
"2008-01-16",20.703
"2008-01-17",20.1461
"2008-01-18",19.032
"2008-01-19",19.327
"2008-01-20",21.693
"2008-01-21",23.78
"2008-01-22",23.3813
"2008-01-23",21.3894
"2008-01-24",22.3701
"2008-01-25",23.4971
"2008-01-26",24.1007
"2008-01-27",23.3267
"2008-01-28",23.3261
"2008-01-29",23.9373
"2008-01-30",22.9158
"2008-01-31",23.2645
"2008-02-01",23.0912
"2008-02-02",22.6984
"2008-02-03",22.2082
"2008-02-04",22.5738
"2008-02-05",22.2852
"2008-02-06",23.335
"2008-02-07",23.6984
"2008-02-08",23.8932
"2008-02-09",24.1967
"2008-02-10",24.4684
"2008-02-11",24.4839
"2008-02-12",24.242
"2008-02-13",24.0728
"2008-02-14",23.5531
"2008-02-15",23.3974
"2008-02-16",22.881
"2008-02-17",21.3811
"2008-02-18",20.9686
"2008-02-19",20.7052
"2008-02-20",23.0811
"2008-02-21",23.7447
"2008-02-22",22.1074
"2008-02-23",20.5428
"2008-02-24",19.6019
"2008-02-25",19.6617
"2008-02-26",21.2526
"2008-02-27",23.2927
"2008-02-28",23.3389
"2008-02-29",23.4857
"2008-03-01",23.8091
"2008-03-02",24.2305
"2008-03-03",23.1678
"2008-03-04",22.5612
"2008-03-05",23.9451
"2008-03-06",23.8945
"2008-03-07",21.6963
"2008-03-08",21.7794
"2008-03-09",22.8988
"2008-03-10",23.447
"2008-03-11",23.4239
"2008-03-12",23.4892
"2008-03-13",23.5936
"2008-03-14",23.9679
"2008-03-15",24.0586
"2008-03-16",24.2053
"2008-03-17",24.1279
"2008-03-18",24.1332
"2008-03-19",23.9219
"2008-03-20",24.2013
"2008-03-21",23.9452
"2008-03-22",23.7494
"2008-03-23",24.5478
"2008-03-24",24.5361
"2008-03-25",24.8494
"2008-03-26",24.2522
"2008-03-27",24.5506
"2008-03-28",24.5334
"2008-03-29",24.3839
"2008-03-30",24.4433
"2008-03-31",24.9053
"2008-04-01",24.8932
"2008-04-02",24.443
"2008-04-03",24.4775
"2008-04-04",24.3243
"2008-04-05",24.4483
"2008-04-06",24.3794
"2008-04-07",24.5205
"2008-04-08",24.5439
"2008-04-09",24.1173
"2008-04-10",24.014
"2008-04-11",24.6587
"2008-04-12",24.4733
"2008-04-13",24.7814
"2008-04-14",24.8793
"2008-04-15",24.619
"2008-04-16",25.0101
"2008-04-17",24.816
"2008-04-18",25.529
"2008-04-19",25.793
"2008-04-20",26.0064
"2008-04-21",26.0879
"2008-04-22",26.2653
"2008-04-23",26.1957
"2008-04-24",25.6108
"2008-04-25",24.8426
"2008-04-26",24.7338
"2008-04-27",25.3591
"2008-04-28",26.0048
"2008-04-29",26.1072
"2008-04-30",25.978
"2008-05-01",25.867
"2008-05-02",25.9964
"2008-05-03",25.9631
"2008-05-04",25.7864
"2008-05-05",25.734
"2008-05-06",25.5962
"2008-05-07",24.4652
"2008-05-08",25.3122
"2008-05-09",24.866
"2008-05-10",25.1968
"2008-05-11",25.5044
"2008-05-12",25.4871
"2008-05-13",25.2012
"2008-05-14",25.3224
"2008-05-15",25.0697
"2008-05-16",25.3614
"2008-05-17",25.4213
"2008-05-18",25.7901
"2008-05-19",25.6229
"2008-05-20",25.2657
"2008-05-21",25.0356
"2008-05-22",25.2211
"2008-05-23",24.9624
"2008-05-24",24.5151
"2008-05-25",24.9839
"2008-05-26",25.0982
"2008-05-27",24.8796
"2008-05-28",25.2687
"2008-05-29",25.1127
"2008-05-30",25.1587
"2008-05-31",25.0066
"2008-06-01",25.0261
"2008-06-02",24.6906
"2008-06-03",24.3856
"2008-06-04",24.582
"2008-06-05",24.8658
"2008-06-06",25.3355
"2008-06-07",25.3355
"2008-06-08",25.2175
"2008-06-09",25.4814
"2008-06-10",25.122
"2008-06-11",25.1748
"2008-06-12",25.303
"2008-06-13",25.0029
"2008-06-14",25.1243
"2008-06-15",24.906
"2008-06-16",24.7458
"2008-06-17",24.6373
"2008-06-18",24.8896
"2008-06-19",24.8659
"2008-06-20",24.8344
"2008-06-21",25.0599
"2008-06-22",25.0167
"2008-06-23",24.8842
"2008-06-24",24.7422
"2008-06-25",24.9729
"2008-06-26",24.7588
"2008-06-27",24.0576
"2008-06-28",24.5917
"2008-06-29",24.8999
"2008-06-30",25.0956
"2008-07-01",24.9935
"2008-07-02",24.6358
"2008-07-03",24.5788
"2008-07-04",25.1054
"2008-07-05",25.2709
"2008-07-06",24.9922
"2008-07-07",25.1972
"2008-07-08",25.128
"2008-07-09",24.8057
"2008-07-10",24.9549
"2008-07-11",24.8492
"2008-07-12",24.7671
"2008-07-13",24.7772
"2008-07-14",25.0115
"2008-07-15",24.8149
"2008-07-16",24.6501
"2008-07-17",24.5187
"2008-07-18",24.6661
"2008-07-19",25.0631
"2008-07-20",24.7194
"2008-07-21",24.688
"2008-07-22",24.777
"2008-07-23",24.6266
"2008-07-24",24.6865
"2008-07-25",24.7261
"2008-07-26",24.5778
"2008-07-27",24.4148
"2008-07-28",24.4025
"2008-07-29",24.1385
"2008-07-30",24.2649
"2008-07-31",24.4217
"2008-08-01",24.6818
"2008-08-02",24.8376
"2008-08-03",25.0336
"2008-08-04",24.5386
"2008-08-05",24.9477
"2008-08-06",24.4384
"2008-08-07",24.3725
"2008-08-08",24.183
"2008-08-09",24.4055
"2008-08-10",24.6506
"2008-08-11",24.4996
"2008-08-12",24.3892
"2008-08-13",24.193
"2008-08-14",24.3624
"2008-08-15",24.6919
"2008-08-16",24.5615
"2008-08-17",24.2703
"2008-08-18",24.3148
"2008-08-19",24.4022
"2008-08-20",24.3602
"2008-08-21",24.4901
"2008-08-22",24.3337
"2008-08-23",24.5606
"2008-08-24",24.6648
"2008-08-25",24.5283
"2008-08-26",24.269
"2008-08-27",24.2004
"2008-08-28",24.2773
"2008-08-29",24.3921
"2008-08-30",24.0762
"2008-08-31",23.8287
"2008-09-01",24.3316
"2008-09-02",24.0785
"2008-09-03",24.4553
"2008-09-04",24.5015
"2008-09-05",24.2247
"2008-09-06",24.3748
"2008-09-07",24.2012
"2008-09-08",24.0017
"2008-09-09",24.3986
"2008-09-10",24.1945
"2008-09-11",24.1977
"2008-09-12",24.5716
"2008-09-13",24.1418
"2008-09-14",24.2012
"2008-09-15",24.09
"2008-09-16",24.0447
"2008-09-17",24.1187
"2008-09-18",24.4091
"2008-09-19",24.1327
"2008-09-20",23.7854
"2008-09-21",24.2318
"2008-09-22",24.1471
"2008-09-23",23.9856
"2008-09-24",23.7576
"2008-09-25",23.7173
"2008-09-26",24.3579
"2008-09-27",24.3669
"2008-09-28",24.1095
"2008-09-29",23.2502
"2008-09-30",22.9124
"2008-10-01",23.4962
"2008-10-02",23.53
"2008-10-03",23.2855
"2008-10-04",23.3551
"2008-10-05",23.4936
"2008-10-06",23.4888
"2008-10-07",23.7328
"2008-10-08",23.7859
"2008-10-09",23.0882
"2008-10-10",24.2466
"2008-10-11",24.4229
"2008-10-12",24.1336
"2008-10-13",24.106
"2008-10-14",24.0799
"2008-10-15",24.3556
"2008-10-16",25.1148
"2008-10-17",24.7891
"2008-10-18",24.7363
"2008-10-19",24.677
"2008-10-20",24.6871
"2008-10-21",24.3003
"2008-10-22",24.3892
"2008-10-23",24.3401
"2008-10-24",24.5838
"2008-10-25",24.0634
"2008-10-26",24.8076
"2008-10-27",24.8772
"2008-10-28",24.7997
"2008-10-29",23.6101
"2008-10-30",21.684
"2008-10-31",22.8043
"2008-11-01",22.1715
"2008-11-02",22.3927
"2008-11-03",22.2546
"2008-11-04",22.0194
"2008-11-05",21.6229
"2008-11-06",21.6159
"2008-11-07",22.9653
"2008-11-08",24.5663
"2008-11-09",24.6331
"2008-11-10",24.4097
"2008-11-11",24.4736
"2008-11-12",24.0585
"2008-11-13",24.2271
"2008-11-14",24.2929
"2008-11-15",23.2214
"2008-11-16",24.4105
"2008-11-17",24.1557
"2008-11-18",24.1039
"2008-11-19",24.5994
"2008-11-20",24.5686
"2008-11-21",24.5287
"2008-11-22",24.404
"2008-11-23",24.3238
"2008-11-24",24.2316
"2008-11-25",23.9947
"2008-11-26",24.2144
"2008-11-27",23.427
"2008-11-28",24.404
"2008-11-29",24.4302
"2008-11-30",23.9645
"2008-12-01",24.3393
"2008-12-02",24.0963
"2008-12-03",21.9504
"2008-12-04",22.011
"2008-12-05",23.2833
"2008-12-06",23.0911
"2008-12-07",23.7284
"2008-12-08",24.2256
"2008-12-09",24.1874
"2008-12-10",24.1988
"2008-12-11",24.2081
"2008-12-12",23.0081
"2008-12-13",23.1504
"2008-12-14",23.8133
"2008-12-15",24.0101
"2008-12-16",23.8142
"2008-12-17",23.3387
"2008-12-18",23.3953
"2008-12-19",23.6952
"2008-12-20",23.4777
"2008-12-21",23.1878
"2008-12-22",23.0806
"2008-12-23",21.2454
"2008-12-24",23.1584
"2008-12-25",23.0128
"2008-12-26",22.5761
"2008-12-27",21.9092
"2008-12-28",21.6851
"2008-12-29",20.1857
"2008-12-30",18.9607
"2008-12-31",19.1628
"2009-01-01",19.8719
"2009-01-02",20.1282
"2009-01-03",20.6758
"2009-01-04",20.5499
"2009-01-05",20.1298
"2009-01-06",22.8556
"2009-01-07",23.5058
"2009-01-08",22.4498
"2009-01-09",23.0586
"2009-01-10",22.0889
"2009-01-11",22.0063
"2009-01-12",22.3536
"2009-01-13",21.324
"2009-01-14",21.3182
"2009-01-15",20.8964
"2009-01-16",20.6129
"2009-01-17",19.5551
"2009-01-18",20.077
"2009-01-19",21.2227
"2009-01-20",19.8967
"2009-01-21",19.6172
"2009-01-22",19.8352
"2009-01-23",20.1747
"2009-01-24",19.6693
"2009-01-25",21.411
"2009-01-26",23.6514
"2009-01-27",23.9493
"2009-01-28",24.0292
"2009-01-29",22.5979
"2009-01-30",21.7787
"2009-01-31",21.6361
"2009-02-01",20.3414
"2009-02-02",20.3985
"2009-02-03",21.1452
"2009-02-04",20.8151
"2009-02-05",20.0064
"2009-02-06",19.8575
"2009-02-07",19.5977
"2009-02-08",19.037
"2009-02-09",19.1154
"2009-02-10",18.7396
"2009-02-11",20.3322
"2009-02-12",18.9266
"2009-02-13",19.5656
"2009-02-14",20.2344
"2009-02-15",20.0258
"2009-02-16",19.83
"2009-02-17",19.9935
"2009-02-18",20.1799
"2009-02-19",20.2534
"2009-02-20",22.6297
"2009-02-21",23.3185
"2009-02-22",23.4114
"2009-02-23",23.7093
"2009-02-24",24.4891
"2009-02-25",24.3629
"2009-02-26",24.3729
"2009-02-27",22.9376
"2009-02-28",22.7239
"2009-03-01",22.4387
"2009-03-02",21.7789
"2009-03-03",22.4578
"2009-03-04",22.102
"2009-03-05",22.7371
"2009-03-06",22.9662
"2009-03-07",22.1107
"2009-03-08",23.3086
"2009-03-09",23.9195
"2009-03-10",23.4865
"2009-03-11",24.24
"2009-03-12",24.7665
"2009-03-13",24.8749
"2009-03-14",24.7992
"2009-03-15",24.3824
"2009-03-16",23.5904
"2009-03-17",22.9625
"2009-03-18",23.8366
"2009-03-19",24.3641
"2009-03-20",24.3577
"2009-03-21",24.3108
"2009-03-22",24.3095
"2009-03-23",24.7758
"2009-03-24",23.8785
"2009-03-25",24.5339
"2009-03-26",24.5908
"2009-03-27",24.5362
"2009-03-28",24.6854
"2009-03-29",24.3736
"2009-03-30",24.5734
"2009-03-31",24.9189
"2009-04-01",25.1144
"2009-04-02",24.5456
"2009-04-03",24.5756
"2009-04-04",25.2642
"2009-04-05",25.219
"2009-04-06",25.1492
"2009-04-07",24.9224
"2009-04-08",24.6894
"2009-04-09",24.812
"2009-04-10",24.7332
"2009-04-11",24.8625
"2009-04-12",24.932
"2009-04-13",25.2835
"2009-04-14",25.902
"2009-04-15",26.8254
"2009-04-16",26.4805
"2009-04-17",26.0729
"2009-04-18",26.1519
"2009-04-19",25.846
"2009-04-20",25.329
"2009-04-21",25.5648
"2009-04-22",25.8005
"2009-04-23",25.9088
"2009-04-24",25.8548
"2009-04-25",25.8799
"2009-04-26",25.732
"2009-04-27",25.6883
"2009-04-28",25.257
"2009-04-29",25.4626
"2009-04-30",25.4276
"2009-05-01",25.658
"2009-05-02",26.2029
"2009-05-03",26.5293
"2009-05-04",25.9774
"2009-05-05",25.8649
"2009-05-06",25.8481
"2009-05-07",25.9844
"2009-05-08",25.8694
"2009-05-09",25.9224
"2009-05-10",26.2382
"2009-05-11",26.246
"2009-05-12",26.3976
"2009-05-13",26.362
"2009-05-14",26.2345
"2009-05-15",25.657
"2009-05-16",26.046
"2009-05-17",25.8458
"2009-05-18",25.5918
"2009-05-19",25.9317
"2009-05-20",25.7366
"2009-05-21",25.5856
"2009-05-22",25.6088
"2009-05-23",25.9304
"2009-05-24",26.0796
"2009-05-25",25.3599
"2009-05-26",25.7154
"2009-05-27",25.8202
"2009-05-28",25.6113
"2009-05-29",25.8076
"2009-05-30",25.6581
"2009-05-31",25.5411
"2009-06-01",25.4773
"2009-06-02",25.5304
"2009-06-03",25.8631
"2009-06-04",25.9033
"2009-06-05",25.5561
"2009-06-06",24.4406
"2009-06-07",24.9261
"2009-06-08",25.0085
"2009-06-09",25.04
"2009-06-10",25.3609
"2009-06-11",25.1431
"2009-06-12",24.9362
"2009-06-13",24.7953
"2009-06-14",25.0713
"2009-06-15",25.1673
"2009-06-16",25.1043
"2009-06-17",25.0311
"2009-06-18",24.726
"2009-06-19",24.6816
"2009-06-20",24.6716
"2009-06-21",25.0364
"2009-06-22",25.165
"2009-06-23",25.1391
"2009-06-24",25.2248
"2009-06-25",25.0256
"2009-06-26",24.9184
"2009-06-27",25.2538
"2009-06-28",25.0582
"2009-06-29",25.2397
"2009-06-30",25.0188
"2009-07-01",24.4006
"2009-07-02",24.4753
"2009-07-03",24.9377
"2009-07-04",24.8472
"2009-07-05",24.9733
"2009-07-06",24.8461
"2009-07-07",24.8539
"2009-07-08",24.5433
"2009-07-09",24.7971
"2009-07-10",24.7297
"2009-07-11",24.8854
"2009-07-12",24.7275
"2009-07-13",24.7433
"2009-07-14",24.9109
"2009-07-15",25.0771
"2009-07-16",24.7989
"2009-07-17",24.2571
"2009-07-18",24.6205
"2009-07-19",24.7663
"2009-07-20",24.8539
"2009-07-21",24.658
"2009-07-22",24.553
"2009-07-23",24.6755
"2009-07-24",24.5898
"2009-07-25",24.5399
"2009-07-26",24.7052
"2009-07-27",24.7725
"2009-07-28",24.4578
"2009-07-29",24.6557
"2009-07-30",24.9303
"2009-07-31",24.6939
"2009-08-01",24.7914
"2009-08-02",24.7237
"2009-08-03",24.6353
"2009-08-04",24.6191
"2009-08-05",24.5682
"2009-08-06",24.7413
"2009-08-07",24.7075
"2009-08-08",24.5825
"2009-08-09",24.4358
"2009-08-10",24.6227
"2009-08-11",24.5649
"2009-08-12",24.6108
"2009-08-13",24.7844
"2009-08-14",24.7826
"2009-08-15",24.6137
"2009-08-16",24.7455
"2009-08-17",23.865
"2009-08-18",24.1273
"2009-08-19",24.2385
"2009-08-20",24.265
"2009-08-21",24.3321
"2009-08-22",24.4159
"2009-08-23",24.6001
"2009-08-24",24.4299
"2009-08-25",24.4045
"2009-08-26",24.7341
"2009-08-27",25.0638
"2009-08-28",24.8351
"2009-08-29",25.0662
"2009-08-30",24.9709
"2009-08-31",24.8274
"2009-09-01",24.8789
"2009-09-02",24.7154
"2009-09-03",24.6367
"2009-09-04",24.3694
"2009-09-05",24.5611
"2009-09-06",24.6136
"2009-09-07",24.7238
"2009-09-08",24.6839
"2009-09-09",24.5453
"2009-09-10",24.3894
"2009-09-11",24.5167
"2009-09-12",24.9589
"2009-09-13",24.8509
"2009-09-14",24.8588
"2009-09-15",24.791
"2009-09-16",24.8392
"2009-09-17",25.0427
"2009-09-18",24.8226
"2009-09-19",24.6629
"2009-09-20",24.7414
"2009-09-21",24.9015
"2009-09-22",24.6696
"2009-09-23",24.6025
"2009-09-24",24.6056
"2009-09-25",25.1395
"2009-09-26",24.743
"2009-09-27",24.523
"2009-09-28",24.5799
"2009-09-29",24.565
"2009-09-30",24.585
"2009-10-01",24.4904
"2009-10-02",24.3769
"2009-10-03",24.5352
"2009-10-04",23.9005
"2009-10-05",24.0391
"2009-10-06",23.6577
"2009-10-07",24.4203
"2009-10-08",24.4316
"2009-10-09",24.3758
"2009-10-10",24.1926
"2009-10-11",23.9664
"2009-10-12",23.7153
"2009-10-13",23.8403
"2009-10-14",23.9748
"2009-10-15",23.1496
"2009-10-16",22.6999
"2009-10-17",23.5355
"2009-10-18",24.1243
"2009-10-19",24.1334
"2009-10-20",24.6495
"2009-10-21",23.534
"2009-10-22",22.5989
"2009-10-23",22.0948
"2009-10-24",23.0498
"2009-10-25",22.7203
"2009-10-26",22.2191
"2009-10-27",22.912
"2009-10-28",24.4191
"2009-10-29",24.3249
"2009-10-30",24.8763
"2009-10-31",24.7959
"2009-11-01",24.6035
"2009-11-02",24.7908
"2009-11-03",24.3035
"2009-11-04",24.3215
"2009-11-05",24.4181
"2009-11-06",24.7253
"2009-11-07",24.6171
"2009-11-08",24.7233
"2009-11-09",24.4274
"2009-11-10",24.085
"2009-11-11",24.9964
"2009-11-12",25.3504
"2009-11-13",25.0194
"2009-11-14",24.5884
"2009-11-15",24.2208
"2009-11-16",24.5877
"2009-11-17",24.5114
"2009-11-18",24.2263
"2009-11-19",24.4001
"2009-11-20",24.0255
"2009-11-21",24.4833
"2009-11-22",24.6104
"2009-11-23",24.627
"2009-11-24",24.5218
"2009-11-25",24.1784
"2009-11-26",22.2505
"2009-11-27",21.2169
"2009-11-28",22.6505
"2009-11-29",24.028
"2009-11-30",23.9814
"2009-12-01",24.1479
"2009-12-02",24.2007
"2009-12-03",24.4681
"2009-12-04",24.3101
"2009-12-05",23.6452
"2009-12-06",22.3915
"2009-12-07",23.0571
"2009-12-08",23.845
"2009-12-09",22.8782
"2009-12-10",21.85
"2009-12-11",23.7148
"2009-12-12",24.2758
