,"(deg C) Mean Dew Point Temperature (ERA5) at Gampaha, 2007-01-01 to 2025-12-31"
"2007-05-25",25.5097
"2007-05-26",25.4976
"2007-05-27",25.2195
"2007-05-28",24.1376
"2007-05-29",24.4699
"2007-05-30",25.0323
"2007-05-31",24.7314
"2007-06-01",25.3568
"2007-06-02",25.4665
"2007-06-03",25.4663
"2007-06-04",25.2513
"2007-06-05",25.6514
"2007-06-06",25.7989
"2007-06-07",25.188
"2007-06-08",24.8044
"2007-06-09",25.1883
"2007-06-10",25.281
"2007-06-11",25.223
"2007-06-12",25.1534
"2007-06-13",25.3272
"2007-06-14",24.7366
"2007-06-15",24.7093
"2007-06-16",24.6052
"2007-06-17",24.7572
"2007-06-18",24.1397
"2007-06-19",24.5507
"2007-06-20",24.2084
"2007-06-21",24.275
"2007-06-22",24.0364
"2007-06-23",24.2801
"2007-06-24",25.426
"2007-06-25",25.1959
"2007-06-26",24.816
"2007-06-27",24.9895
"2007-06-28",25.2488
"2007-06-29",25.512
"2007-06-30",25.4313
"2007-07-01",25.1214
"2007-07-02",24.9027
"2007-07-03",25.0432
"2007-07-04",25.0676
"2007-07-05",25.336
"2007-07-06",25.1185
"2007-07-07",24.731
"2007-07-08",25.062
"2007-07-09",25.2746
"2007-07-10",24.8361
"2007-07-11",24.7822
"2007-07-12",25.1432
"2007-07-13",25.0112
"2007-07-14",25.1938
"2007-07-15",25.0619
"2007-07-16",25.0879
"2007-07-17",24.7595
"2007-07-18",24.6826
"2007-07-19",24.538
"2007-07-20",23.8738
"2007-07-21",23.9361
"2007-07-22",23.6612
"2007-07-23",24.1007
"2007-07-24",23.7394
"2007-07-25",23.4887
"2007-07-26",23.811
"2007-07-27",24.3943
"2007-07-28",24.5495
"2007-07-29",24.6178
"2007-07-30",24.8573
"2007-07-31",24.3638
"2007-08-01",24.0729
"2007-08-02",24.2005
"2007-08-03",24.4319
"2007-08-04",24.6016
"2007-08-05",24.9046
"2007-08-06",24.6255
"2007-08-07",24.7185
"2007-08-08",25.1008
"2007-08-09",25.0428
"2007-08-10",24.5709
"2007-08-11",24.5972
"2007-08-12",24.8649
"2007-08-13",24.9695
"2007-08-14",24.4723
"2007-08-15",24.6511
"2007-08-16",24.8488
"2007-08-17",24.83
"2007-08-18",24.8639
"2007-08-19",24.5446
"2007-08-20",25.0144
"2007-08-21",24.5616
"2007-08-22",24.3019
"2007-08-23",24.7522
"2007-08-24",24.6384
"2007-08-25",24.1841
"2007-08-26",24.3029
"2007-08-27",24.3959
"2007-08-28",24.7125
"2007-08-29",24.6307
"2007-08-30",24.2344
"2007-08-31",23.7451
"2007-09-01",24.1385
"2007-09-02",24.5706
"2007-09-03",24.8329
"2007-09-04",24.4806
"2007-09-05",24.4632
"2007-09-06",24.3081
"2007-09-07",24.6294
"2007-09-08",24.5166
"2007-09-09",23.3757
"2007-09-10",24.0854
"2007-09-11",24.4229
"2007-09-12",24.2052
"2007-09-13",24.5329
"2007-09-14",24.6222
"2007-09-15",24.737
"2007-09-16",24.7931
"2007-09-17",24.9517
"2007-09-18",24.7664
"2007-09-19",24.7178
"2007-09-20",24.9027
"2007-09-21",25.077
"2007-09-22",24.6961
"2007-09-23",24.7058
"2007-09-24",24.786
"2007-09-25",24.686
"2007-09-26",24.8418
"2007-09-27",24.8831
"2007-09-28",24.6277
"2007-09-29",24.6195
"2007-09-30",24.153
"2007-10-01",24.5384
"2007-10-02",24.6715
"2007-10-03",24.9117
"2007-10-04",24.6479
"2007-10-05",24.3655
"2007-10-06",24.2217
"2007-10-07",24.4896
"2007-10-08",24.1486
"2007-10-09",24.7235
"2007-10-10",24.1451
"2007-10-11",24.1251
"2007-10-12",24.2846
"2007-10-13",24.4025
"2007-10-14",24.34
"2007-10-15",24.3272
"2007-10-16",23.998
"2007-10-17",23.8801
"2007-10-18",23.4673
"2007-10-19",24.0325
"2007-10-20",23.228
"2007-10-21",23.8649
"2007-10-22",23.6517
"2007-10-23",23.9364
"2007-10-24",24.2676
"2007-10-25",24.1079
"2007-10-26",23.8037
"2007-10-27",23.8584
"2007-10-28",24.4118
"2007-10-29",24.2382
"2007-10-30",23.9923
"2007-10-31",24.562
"2007-11-01",24.3734
"2007-11-02",23.7577
"2007-11-03",23.6187
"2007-11-04",23.9031
"2007-11-05",23.8052
"2007-11-06",23.445
"2007-11-07",23.7657
"2007-11-08",24.0809
"2007-11-09",23.9624
"2007-11-10",23.2969
"2007-11-11",23.7068
"2007-11-12",23.7848
"2007-11-13",23.5191
"2007-11-14",21.434
"2007-11-15",20.9075
"2007-11-16",20.0951
"2007-11-17",19.3093
"2007-11-18",22.1289
"2007-11-19",23.2592
"2007-11-20",24.0861
"2007-11-21",23.8083
"2007-11-22",23.7137
"2007-11-23",23.4336
"2007-11-24",23.2066
"2007-11-25",21.0686
"2007-11-26",21.5317
"2007-11-27",23.0969
"2007-11-28",23.1313
"2007-11-29",22.715
"2007-11-30",20.6944
"2007-12-01",21.6026
"2007-12-02",22.1269
"2007-12-03",20.9083
"2007-12-04",21.9525
"2007-12-05",21.0524
"2007-12-06",21.0264
"2007-12-07",22.3631
"2007-12-08",22.7608
"2007-12-09",22.5608
"2007-12-10",22.3558
"2007-12-11",21.6318
"2007-12-12",22.5039
"2007-12-13",23.4488
"2007-12-14",23.9203
"2007-12-15",23.3658
"2007-12-16",23.1254
"2007-12-17",23.5543
"2007-12-18",23.9803
"2007-12-19",24.1818
"2007-12-20",24.213
"2007-12-21",23.7712
"2007-12-22",23.2456
"2007-12-23",23.2681
"2007-12-24",23.0765
"2007-12-25",21.3145
"2007-12-26",19.7763
"2007-12-27",20.8637
"2007-12-28",21.3943
"2007-12-29",21.1113
"2007-12-30",20.6801
"2007-12-31",20.3529
"2008-01-01",20.4493
"2008-01-02",21.4396
"2008-01-03",22.9623
"2008-01-04",23.4809
"2008-01-05",23.0247
"2008-01-06",22.7215
"2008-01-07",22.1743
"2008-01-08",22.7152
"2008-01-09",23.1296
"2008-01-10",23.3583
"2008-01-11",23.3166
"2008-01-12",23.2945
"2008-01-13",23.0819
"2008-01-14",20.7204
"2008-01-15",20.1304
"2008-01-16",20.4145
"2008-01-17",20.1407
"2008-01-18",19.9773
"2008-01-19",19.4352
"2008-01-20",21.1101
"2008-01-21",23.5601
"2008-01-22",22.8177
"2008-01-23",20.8056
"2008-01-24",22.1984
"2008-01-25",23.2874
"2008-01-26",23.0583
"2008-01-27",23.4918
"2008-01-28",22.8563
"2008-01-29",23.0102
"2008-01-30",22.8709
"2008-01-31",23.215
"2008-02-01",22.8597
"2008-02-02",22.6237
"2008-02-03",22.3355
"2008-02-04",22.0761
"2008-02-05",22.2417
"2008-02-06",23.5688
"2008-02-07",23.958
"2008-02-08",23.6267
"2008-02-09",23.8563
"2008-02-10",23.9796
"2008-02-11",23.4777
"2008-02-12",23.1138
"2008-02-13",22.9989
"2008-02-14",22.8514
"2008-02-15",22.811
"2008-02-16",22.3391
"2008-02-17",21.0141
"2008-02-18",20.8029
"2008-02-19",21.9818
"2008-02-20",23.3924
"2008-02-21",22.4051
"2008-02-22",19.859
"2008-02-23",17.3444
"2008-02-24",16.5474
"2008-02-25",17.4954
"2008-02-26",20.4319
"2008-02-27",23.2382
"2008-02-28",23.1984
"2008-02-29",23.3476
"2008-03-01",24.018
"2008-03-02",23.3848
"2008-03-03",23.4308
"2008-03-04",23.3941
"2008-03-05",23.4445
"2008-03-06",23.3306
"2008-03-07",21.9545
"2008-03-08",20.3896
"2008-03-09",23.0302
"2008-03-10",23.5965
"2008-03-11",23.5016
"2008-03-12",23.7519
"2008-03-13",23.4926
"2008-03-14",23.673
"2008-03-15",23.5408
"2008-03-16",23.7206
"2008-03-17",23.7724
"2008-03-18",23.7809
"2008-03-19",23.9635
"2008-03-20",23.6781
"2008-03-21",24.0838
"2008-03-22",24.3378
"2008-03-23",24.178
"2008-03-24",24.344
"2008-03-25",24.1102
"2008-03-26",24.6075
"2008-03-27",24.0004
"2008-03-28",23.9884
"2008-03-29",24.4434
"2008-03-30",24.3209
"2008-03-31",24.3888
"2008-04-01",24.4276
"2008-04-02",24.053
"2008-04-03",24.0565
"2008-04-04",24.2751
"2008-04-05",23.8615
"2008-04-06",23.665
"2008-04-07",23.6812
"2008-04-08",23.7841
"2008-04-09",23.474
"2008-04-10",23.816
"2008-04-11",23.8586
"2008-04-12",23.7386
"2008-04-13",23.9676
"2008-04-14",24.2068
"2008-04-15",23.9484
"2008-04-16",24.4585
"2008-04-17",24.4465
"2008-04-18",24.7302
"2008-04-19",24.9263
"2008-04-20",25.3187
"2008-04-21",25.7819
"2008-04-22",25.5547
"2008-04-23",26.058
"2008-04-24",25.2277
"2008-04-25",24.312
"2008-04-26",24.3715
"2008-04-27",24.7654
"2008-04-28",24.6098
"2008-04-29",25.289
"2008-04-30",25.6458
"2008-05-01",25.8728
"2008-05-02",25.5027
"2008-05-03",25.6201
"2008-05-04",25.3854
"2008-05-05",25.1201
"2008-05-06",24.8497
"2008-05-07",24.8003
"2008-05-08",25.0868
"2008-05-09",24.5014
"2008-05-10",24.4624
"2008-05-11",25.4665
"2008-05-12",25.0695
"2008-05-13",25.268
"2008-05-14",25.2567
"2008-05-15",25.256
"2008-05-16",25.6009
"2008-05-17",25.3184
"2008-05-18",25.9419
"2008-05-19",25.7822
"2008-05-20",25.4724
"2008-05-21",24.8288
"2008-05-22",25.3523
"2008-05-23",24.989
"2008-05-24",24.5886
"2008-05-25",25.0722
"2008-05-26",24.9208
"2008-05-27",24.4313
"2008-05-28",25.0027
"2008-05-29",24.6045
"2008-05-30",24.7636
"2008-05-31",24.4401
"2008-06-01",24.3436
"2008-06-02",24.3659
"2008-06-03",24.0636
"2008-06-04",24.9806
"2008-06-05",25.006
"2008-06-06",25.2528
"2008-06-07",25.2528
"2008-06-08",25.0479
"2008-06-09",25.1287
"2008-06-10",24.7658
"2008-06-11",24.7464
"2008-06-12",25.2065
"2008-06-13",25.1088
"2008-06-14",25.0264
"2008-06-15",24.9059
"2008-06-16",24.8784
"2008-06-17",24.5283
"2008-06-18",25.1609
"2008-06-19",24.912
"2008-06-20",24.6486
"2008-06-21",24.9021
"2008-06-22",24.703
"2008-06-23",24.5819
"2008-06-24",24.3792
"2008-06-25",24.8836
"2008-06-26",24.5819
"2008-06-27",24.8466
"2008-06-28",24.1906
"2008-06-29",24.8711
"2008-06-30",24.9438
"2008-07-01",24.4353
"2008-07-02",23.5976
"2008-07-03",24.3029
"2008-07-04",24.9532
"2008-07-05",25.4147
"2008-07-06",25.1219
"2008-07-07",25.1529
"2008-07-08",24.5564
"2008-07-09",24.9724
"2008-07-10",25.1959
"2008-07-11",24.5525
"2008-07-12",24.4647
"2008-07-13",24.4102
"2008-07-14",24.8494
"2008-07-15",24.4365
"2008-07-16",24.0231
"2008-07-17",24.1309
"2008-07-18",24.2943
"2008-07-19",24.4959
"2008-07-20",23.9593
"2008-07-21",24.2061
"2008-07-22",24.3896
"2008-07-23",24.337
"2008-07-24",23.8173
"2008-07-25",24.1483
"2008-07-26",24.1703
"2008-07-27",24.1571
"2008-07-28",24.2591
"2008-07-29",23.8399
"2008-07-30",24.1469
"2008-07-31",24.2285
"2008-08-01",24.4881
"2008-08-02",24.615
"2008-08-03",24.7093
"2008-08-04",24.3363
"2008-08-05",24.5351
"2008-08-06",24.4128
"2008-08-07",24.4371
"2008-08-08",24.3196
"2008-08-09",24.2411
"2008-08-10",24.56
"2008-08-11",24.7976
"2008-08-12",24.757
"2008-08-13",24.3368
"2008-08-14",24.5019
"2008-08-15",24.4685
"2008-08-16",24.307
"2008-08-17",24.0113
"2008-08-18",24.5241
"2008-08-19",24.3304
"2008-08-20",24.2765
"2008-08-21",24.5139
"2008-08-22",24.0822
"2008-08-23",24.5114
"2008-08-24",24.2403
"2008-08-25",24.4471
"2008-08-26",24.2547
"2008-08-27",24.2243
"2008-08-28",24.0771
"2008-08-29",24.1399
"2008-08-30",23.6903
"2008-08-31",23.4767
"2008-09-01",23.9073
"2008-09-02",24.245
"2008-09-03",23.9548
"2008-09-04",24.7373
"2008-09-05",23.8705
"2008-09-06",24.0226
"2008-09-07",23.5761
"2008-09-08",23.8802
"2008-09-09",24.3636
"2008-09-10",24.6297
"2008-09-11",24.579
"2008-09-12",24.4671
"2008-09-13",24.4613
"2008-09-14",24.4775
"2008-09-15",24.2219
"2008-09-16",24.514
"2008-09-17",24.0214
"2008-09-18",24.2874
"2008-09-19",24.3405
"2008-09-20",23.8943
"2008-09-21",23.8217
"2008-09-22",24.3698
"2008-09-23",24.2447
"2008-09-24",24.0956
"2008-09-25",24.1161
"2008-09-26",24.6413
"2008-09-27",24.7992
"2008-09-28",24.5796
"2008-09-29",24.3027
"2008-09-30",23.0261
"2008-10-01",23.0267
"2008-10-02",23.3925
"2008-10-03",23.3106
"2008-10-04",23.7129
"2008-10-05",23.9045
"2008-10-06",24.4065
"2008-10-07",24.0653
"2008-10-08",23.6715
"2008-10-09",23.7324
"2008-10-10",24.018
"2008-10-11",24.1558
"2008-10-12",23.7024
"2008-10-13",23.8468
"2008-10-14",23.8407
"2008-10-15",24.0488
"2008-10-16",24.5518
"2008-10-17",24.1214
"2008-10-18",24.1421
"2008-10-19",24.1288
"2008-10-20",24.4176
"2008-10-21",24.1732
"2008-10-22",23.8616
"2008-10-23",24.2754
"2008-10-24",24.3766
"2008-10-25",24.094
"2008-10-26",24.7552
"2008-10-27",24.7913
"2008-10-28",24.8496
"2008-10-29",24.5566
"2008-10-30",22.8618
"2008-10-31",22.7812
"2008-11-01",21.9415
"2008-11-02",22.0146
"2008-11-03",21.9228
"2008-11-04",22.2382
"2008-11-05",21.7106
"2008-11-06",21.3665
"2008-11-07",22.5752
"2008-11-08",23.6942
"2008-11-09",24.0097
"2008-11-10",24.1569
"2008-11-11",24.1704
"2008-11-12",23.9397
"2008-11-13",23.6773
"2008-11-14",23.9308
"2008-11-15",24.1991
"2008-11-16",24.0735
"2008-11-17",23.4517
"2008-11-18",23.7447
"2008-11-19",24.0846
"2008-11-20",24.5709
"2008-11-21",24.2252
"2008-11-22",24.0945
"2008-11-23",24.1823
"2008-11-24",23.9128
"2008-11-25",24.045
"2008-11-26",23.9001
"2008-11-27",24.7365
"2008-11-28",24.574
"2008-11-29",24.5588
"2008-11-30",23.4873
"2008-12-01",23.5853
"2008-12-02",24.327
"2008-12-03",23.0376
"2008-12-04",23.1324
"2008-12-05",23.4979
"2008-12-06",23.6338
"2008-12-07",22.9806
"2008-12-08",23.9941
"2008-12-09",24.1407
"2008-12-10",24.11
"2008-12-11",24.2798
"2008-12-12",23.356
"2008-12-13",22.3827
"2008-12-14",23.2341
"2008-12-15",23.4463
"2008-12-16",23.4713
"2008-12-17",23.4392
"2008-12-18",23.1836
"2008-12-19",24.2052
"2008-12-20",23.9029
"2008-12-21",22.1724
"2008-12-22",21.3469
"2008-12-23",21.8284
"2008-12-24",22.361
"2008-12-25",22.4531
"2008-12-26",21.8008
"2008-12-27",21.4022
"2008-12-28",21.4673
"2008-12-29",20.0019
"2008-12-30",19.2303
"2008-12-31",18.8192
"2009-01-01",18.7694
"2009-01-02",19.4802
"2009-01-03",19.4208
"2009-01-04",20.8509
"2009-01-05",21.0128
"2009-01-06",21.0672
"2009-01-07",21.1278
"2009-01-08",22.0064
"2009-01-09",23.2275
"2009-01-10",22.4149
"2009-01-11",21.1456
"2009-01-12",20.8162
"2009-01-13",21.4255
"2009-01-14",21.3661
"2009-01-15",20.7269
"2009-01-16",19.7398
"2009-01-17",20.0777
"2009-01-18",20.2357
"2009-01-19",19.5744
"2009-01-20",20.0955
"2009-01-21",19.2008
"2009-01-22",18.855
"2009-01-23",19.363
"2009-01-24",18.6194
"2009-01-25",21.5146
"2009-01-26",23.5115
"2009-01-27",23.7781
"2009-01-28",23.4012
"2009-01-29",21.5767
"2009-01-30",18.3729
"2009-01-31",19.126
"2009-02-01",19.8948
"2009-02-02",19.1008
"2009-02-03",18.2432
"2009-02-04",18.4234
"2009-02-05",16.0491
"2009-02-06",17.5574
"2009-02-07",17.1714
"2009-02-08",17.5211
"2009-02-09",17.5912
"2009-02-10",18.9535
"2009-02-11",18.3734
"2009-02-12",19.7021
"2009-02-13",17.661
"2009-02-14",17.4085
"2009-02-15",20.0734
"2009-02-16",20.1193
"2009-02-17",18.0977
"2009-02-18",18.4157
"2009-02-19",19.8902
"2009-02-20",21.4729
"2009-02-21",21.8605
"2009-02-22",23.0434
"2009-02-23",23.395
"2009-02-24",23.9737
"2009-02-25",24.0322
"2009-02-26",24.1575
"2009-02-27",23.7468
"2009-02-28",23.5604
"2009-03-01",23.4069
"2009-03-02",20.9844
"2009-03-03",21.5442
"2009-03-04",22.7492
"2009-03-05",23.2122
"2009-03-06",23.6844
"2009-03-07",23.7796
"2009-03-08",23.3707
"2009-03-09",23.5741
"2009-03-10",23.6645
"2009-03-11",23.5271
"2009-03-12",23.4921
"2009-03-13",23.8347
"2009-03-14",23.342
"2009-03-15",23.3726
"2009-03-16",23.4737
"2009-03-17",23.8276
"2009-03-18",24.0581
"2009-03-19",24.122
"2009-03-20",24.2124
"2009-03-21",24.3891
"2009-03-22",24.3829
"2009-03-23",24.3119
"2009-03-24",23.3928
"2009-03-25",23.6355
"2009-03-26",23.9941
"2009-03-27",24.0151
"2009-03-28",23.7484
"2009-03-29",23.7299
"2009-03-30",23.6297
"2009-03-31",24.1367
"2009-04-01",24.27
"2009-04-02",24.0449
"2009-04-03",23.8101
"2009-04-04",24.1369
"2009-04-05",24.4424
"2009-04-06",24.5409
"2009-04-07",24.304
"2009-04-08",24.1549
"2009-04-09",24.3726
"2009-04-10",24.2863
"2009-04-11",24.3983
"2009-04-12",24.8641
"2009-04-13",24.879
"2009-04-14",26.0352
"2009-04-15",25.9467
"2009-04-16",25.7522
"2009-04-17",25.4371
"2009-04-18",25.904
"2009-04-19",25.4194
"2009-04-20",25.1901
"2009-04-21",24.7472
"2009-04-22",25.0695
"2009-04-23",25.6326
"2009-04-24",25.6443
"2009-04-25",25.4952
"2009-04-26",25.3765
"2009-04-27",24.916
"2009-04-28",24.9145
"2009-04-29",25.0026
"2009-04-30",25.0271
"2009-05-01",25.2391
"2009-05-02",26.1599
"2009-05-03",26.1342
"2009-05-04",25.7563
"2009-05-05",25.3545
"2009-05-06",25.5567
"2009-05-07",26.037
"2009-05-08",25.529
"2009-05-09",25.876
"2009-05-10",26.1436
"2009-05-11",26.3497
"2009-05-12",26.1702
"2009-05-13",25.7956
"2009-05-14",25.857
"2009-05-15",25.7901
"2009-05-16",25.9427
"2009-05-17",25.5686
"2009-05-18",25.2655
"2009-05-19",25.5376
"2009-05-20",25.1275
"2009-05-21",25.3509
"2009-05-22",25.2627
"2009-05-23",25.3248
"2009-05-24",25.378
"2009-05-25",25.0508
"2009-05-26",25.404
"2009-05-27",25.4855
"2009-05-28",25.4533
"2009-05-29",25.7666
"2009-05-30",25.4543
"2009-05-31",25.499
"2009-06-01",25.7146
"2009-06-02",25.5989
"2009-06-03",26.0936
"2009-06-04",25.7899
"2009-06-05",25.388
"2009-06-06",24.5196
"2009-06-07",25.2849
"2009-06-08",25.0446
"2009-06-09",25.2516
"2009-06-10",25.4342
"2009-06-11",24.6527
"2009-06-12",24.3947
"2009-06-13",24.8462
"2009-06-14",25.3085
"2009-06-15",25.0214
"2009-06-16",24.8796
"2009-06-17",24.9248
"2009-06-18",24.3223
"2009-06-19",24.4704
"2009-06-20",24.499
"2009-06-21",25.0803
"2009-06-22",24.9582
"2009-06-23",25.0352
"2009-06-24",25.0576
"2009-06-25",24.9686
"2009-06-26",24.3469
"2009-06-27",24.7915
"2009-06-28",25.0622
"2009-06-29",24.6228
"2009-06-30",24.3778
"2009-07-01",24.1041
"2009-07-02",24.1876
"2009-07-03",24.0496
"2009-07-04",24.4633
"2009-07-05",24.4737
"2009-07-06",24.406
"2009-07-07",24.65
"2009-07-08",24.1583
"2009-07-09",24.4106
"2009-07-10",24.8256
"2009-07-11",25.1099
"2009-07-12",24.7984
"2009-07-13",24.8173
"2009-07-14",25.0008
"2009-07-15",25.078
"2009-07-16",24.3282
"2009-07-17",23.9512
"2009-07-18",24.5691
"2009-07-19",24.7008
"2009-07-20",24.5081
"2009-07-21",24.9317
"2009-07-22",24.5928
"2009-07-23",24.5157
"2009-07-24",25.1763
"2009-07-25",24.7706
"2009-07-26",24.6901
"2009-07-27",24.7432
"2009-07-28",24.7822
"2009-07-29",24.6557
"2009-07-30",24.8047
"2009-07-31",24.8166
"2009-08-01",24.735
"2009-08-02",24.983
"2009-08-03",24.658
"2009-08-04",24.8332
"2009-08-05",24.7329
"2009-08-06",24.9349
"2009-08-07",24.9788
"2009-08-08",24.6632
"2009-08-09",24.8332
"2009-08-10",24.7988
"2009-08-11",24.8245
"2009-08-12",24.6616
"2009-08-13",25.1183
"2009-08-14",24.9844
"2009-08-15",24.745
"2009-08-16",24.7443
"2009-08-17",24.024
"2009-08-18",24.3263
"2009-08-19",24.249
"2009-08-20",23.9039
"2009-08-21",23.775
"2009-08-22",23.7859
"2009-08-23",24.3406
"2009-08-24",24.6813
"2009-08-25",24.4422
"2009-08-26",24.4365
"2009-08-27",24.5966
"2009-08-28",24.5282
"2009-08-29",25.0182
"2009-08-30",24.8574
"2009-08-31",24.5123
"2009-09-01",24.6028
"2009-09-02",24.4055
"2009-09-03",24.6597
"2009-09-04",24.5697
"2009-09-05",24.8536
"2009-09-06",24.5492
"2009-09-07",24.6338
"2009-09-08",24.5338
"2009-09-09",24.7941
"2009-09-10",24.6891
"2009-09-11",24.4383
"2009-09-12",24.8147
"2009-09-13",25.1904
"2009-09-14",24.4953
"2009-09-15",24.8234
"2009-09-16",25.098
"2009-09-17",24.6304
"2009-09-18",24.3501
"2009-09-19",24.6018
"2009-09-20",24.4758
"2009-09-21",24.4793
"2009-09-22",24.1617
"2009-09-23",24.6303
"2009-09-24",24.4061
"2009-09-25",24.6959
"2009-09-26",24.2953
"2009-09-27",24.3026
"2009-09-28",24.4265
"2009-09-29",24.4162
"2009-09-30",24.6939
"2009-10-01",24.6884
"2009-10-02",24.3532
"2009-10-03",24.8241
"2009-10-04",24.626
"2009-10-05",24.1182
"2009-10-06",24.1937
"2009-10-07",24.7366
"2009-10-08",24.7419
"2009-10-09",24.3568
"2009-10-10",24.179
"2009-10-11",24.3099
"2009-10-12",23.8872
"2009-10-13",23.4349
"2009-10-14",23.4978
"2009-10-15",23.8033
"2009-10-16",24.3329
"2009-10-17",24.3613
"2009-10-18",24.5162
"2009-10-19",24.3943
"2009-10-20",24.0559
"2009-10-21",24.1346
"2009-10-22",23.5178
"2009-10-23",23.3137
"2009-10-24",23.8759
"2009-10-25",23.8016
"2009-10-26",23.6974
"2009-10-27",24.121
"2009-10-28",24.253
"2009-10-29",24.1836
"2009-10-30",24.4672
"2009-10-31",24.0316
"2009-11-01",24.1088
"2009-11-02",23.5244
"2009-11-03",24.0445
"2009-11-04",24.1013
"2009-11-05",24.2798
"2009-11-06",24.5142
"2009-11-07",24.3421
"2009-11-08",24.1415
"2009-11-09",24.2575
"2009-11-10",24.1102
"2009-11-11",24.7722
"2009-11-12",25.1235
"2009-11-13",24.6727
"2009-11-14",24.2154
"2009-11-15",24.1833
"2009-11-16",24.476
"2009-11-17",24.143
"2009-11-18",23.6174
"2009-11-19",23.8579
"2009-11-20",23.5062
"2009-11-21",23.755
"2009-11-22",23.6622
"2009-11-23",23.7851
"2009-11-24",23.8606
"2009-11-25",23.3175
"2009-11-26",22.2531
"2009-11-27",21.0931
"2009-11-28",22.8174
"2009-11-29",23.5632
"2009-11-30",24.0254
"2009-12-01",24.0317
"2009-12-02",23.8191
"2009-12-03",23.8742
"2009-12-04",23.869
"2009-12-05",23.1485
"2009-12-06",22.9568
"2009-12-07",24.1493
"2009-12-08",23.9363
"2009-12-09",23.6472
"2009-12-10",22.7277
"2009-12-11",23.6535
"2009-12-12",24.3053
"2009-12-13",23.9137
