,"(deg C) Mean Dew Point Temperature (ERA5) at Ampara, 2007-01-01 to 2025-12-31"
"2007-04-16",23.5835
"2007-04-17",23.9097
"2007-04-18",24.3692
"2007-04-19",24.2649
"2007-04-20",23.5829
"2007-04-21",23.6407
"2007-04-22",23.8468
"2007-04-23",24.22
"2007-04-24",24.625
"2007-04-25",24.2938
"2007-04-26",23.9621
"2007-04-27",23.5773
"2007-04-28",23.9604
"2007-04-29",23.956
"2007-04-30",24.2529
"2007-05-01",24.2804
"2007-05-02",24.7555
"2007-05-03",23.9495
"2007-05-04",24.5261
"2007-05-05",25.1972
"2007-05-06",25.1894
"2007-05-07",24.9109
"2007-05-08",25.1417
"2007-05-09",24.5454
"2007-05-10",24.6685
"2007-05-11",24.8614
"2007-05-12",24.1353
"2007-05-13",23.5717
"2007-05-14",22.4974
"2007-05-15",21.72
"2007-05-16",21.747
"2007-05-17",21.7396
"2007-05-18",22.9673
"2007-05-19",23.8607
"2007-05-20",24.2232
"2007-05-21",24.3993
"2007-05-22",24.4101
"2007-05-23",24.7201
"2007-05-24",24.5393
"2007-05-25",24.3838
"2007-05-26",23.8781
"2007-05-27",24.302
"2007-05-28",23.152
"2007-05-29",23
"2007-05-30",23.7281
"2007-05-31",23.4398
"2007-06-01",23.7655
"2007-06-02",23.7478
"2007-06-03",23.532
"2007-06-04",23.8281
"2007-06-05",23.9967
"2007-06-06",24.5843
"2007-06-07",24.1881
"2007-06-08",23.3973
"2007-06-09",23.2447
"2007-06-10",23.675
"2007-06-11",23.6986
"2007-06-12",23.6555
"2007-06-13",23.8341
"2007-06-14",23.2633
"2007-06-15",23.4141
"2007-06-16",23.6498
"2007-06-17",22.8141
"2007-06-18",22.3715
"2007-06-19",21.8395
"2007-06-20",22.1075
"2007-06-21",22.4359
"2007-06-22",22.5137
"2007-06-23",23.4756
"2007-06-24",24.024
"2007-06-25",24.201
"2007-06-26",23.6509
"2007-06-27",23.2697
"2007-06-28",22.7732
"2007-06-29",22.7736
"2007-06-30",23.0869
"2007-07-01",23.1175
"2007-07-02",23.0908
"2007-07-03",23.2852
"2007-07-04",21.6997
"2007-07-05",21.8387
"2007-07-06",21.4115
"2007-07-07",20.5197
"2007-07-08",20.8432
"2007-07-09",21.448
"2007-07-10",21.1693
"2007-07-11",22.3949
"2007-07-12",22.6692
"2007-07-13",21.8323
"2007-07-14",21.5956
"2007-07-15",21.1542
"2007-07-16",22.055
"2007-07-17",22.1627
"2007-07-18",22.9372
"2007-07-19",22.938
"2007-07-20",22.4915
"2007-07-21",21.7183
"2007-07-22",21.8881
"2007-07-23",22.9672
"2007-07-24",23.4003
"2007-07-25",22.9242
"2007-07-26",22.5407
"2007-07-27",22.1383
"2007-07-28",22.4149
"2007-07-29",23.0046
"2007-07-30",22.9175
"2007-07-31",21.8017
"2007-08-01",21.1283
"2007-08-02",21.3431
"2007-08-03",21.738
"2007-08-04",21.5924
"2007-08-05",21.3342
"2007-08-06",20.5105
"2007-08-07",20.7696
"2007-08-08",20.5644
"2007-08-09",21.1765
"2007-08-10",21.8038
"2007-08-11",21.8405
"2007-08-12",22.0528
"2007-08-13",21.5175
"2007-08-14",21.2208
"2007-08-15",21.9068
"2007-08-16",21.6714
"2007-08-17",21.2827
"2007-08-18",21.4909
"2007-08-19",21.7393
"2007-08-20",20.973
"2007-08-21",21.1128
"2007-08-22",20.7563
"2007-08-23",22.2008
"2007-08-24",22.6187
"2007-08-25",22.656
"2007-08-26",22.5405
"2007-08-27",21.7842
"2007-08-28",22.3068
"2007-08-29",22.5659
"2007-08-30",22.5824
"2007-08-31",22.2905
"2007-09-01",21.5651
"2007-09-02",22.0991
"2007-09-03",22.1621
"2007-09-04",22.3967
"2007-09-05",22.9785
"2007-09-06",22.5913
"2007-09-07",23.2235
"2007-09-08",23.5719
"2007-09-09",22.5759
"2007-09-10",22.7803
"2007-09-11",23.2455
"2007-09-12",23.2752
"2007-09-13",22.7456
"2007-09-14",22.3003
"2007-09-15",22.2722
"2007-09-16",22.8807
"2007-09-17",22.672
"2007-09-18",21.9899
"2007-09-19",22.1803
"2007-09-20",22.3545
"2007-09-21",21.8867
"2007-09-22",21.8362
"2007-09-23",22.3379
"2007-09-24",22.3336
"2007-09-25",22.6141
"2007-09-26",22.7975
"2007-09-27",22.951
"2007-09-28",22.8691
"2007-09-29",22.2683
"2007-09-30",20.6715
"2007-10-01",20.6732
"2007-10-02",21.969
"2007-10-03",21.8499
"2007-10-04",22.0016
"2007-10-05",21.7622
"2007-10-06",21.4554
"2007-10-07",21.7864
"2007-10-08",21.8473
"2007-10-09",21.7277
"2007-10-10",22.6309
"2007-10-11",23.0158
"2007-10-12",23.1399
"2007-10-13",23.1443
"2007-10-14",23.4525
"2007-10-15",23.7079
"2007-10-16",23.6364
"2007-10-17",23.2723
"2007-10-18",23.1863
"2007-10-19",23.4113
"2007-10-20",22.3499
"2007-10-21",22.5747
"2007-10-22",22.6671
"2007-10-23",23.1255
"2007-10-24",23.8679
"2007-10-25",23.6652
"2007-10-26",23.2138
"2007-10-27",23.1182
"2007-10-28",22.7647
"2007-10-29",22.5389
"2007-10-30",22.8673
"2007-10-31",23.3314
"2007-11-01",23.224
"2007-11-02",22.9583
"2007-11-03",23.0563
"2007-11-04",23.1363
"2007-11-05",23.5198
"2007-11-06",23.1575
"2007-11-07",23.1692
"2007-11-08",23.019
"2007-11-09",22.2951
"2007-11-10",22.1301
"2007-11-11",22.563
"2007-11-12",22.9696
"2007-11-13",22.6872
"2007-11-14",20.7341
"2007-11-15",20.5976
"2007-11-16",19.981
"2007-11-17",19.291
"2007-11-18",21.8159
"2007-11-19",22.87
"2007-11-20",23.2172
"2007-11-21",23.2607
"2007-11-22",23.4074
"2007-11-23",23.4031
"2007-11-24",23.2118
"2007-11-25",20.9642
"2007-11-26",20.2808
"2007-11-27",22.1705
"2007-11-28",22.4753
"2007-11-29",22.1581
"2007-11-30",20.7556
"2007-12-01",21.4687
"2007-12-02",22.0705
"2007-12-03",20.8437
"2007-12-04",22.3786
"2007-12-05",21.9222
"2007-12-06",21.7964
"2007-12-07",22.7641
"2007-12-08",22.9397
"2007-12-09",22.6775
"2007-12-10",22.3985
"2007-12-11",22.1499
"2007-12-12",22.5428
"2007-12-13",22.9611
"2007-12-14",23.2727
"2007-12-15",22.8297
"2007-12-16",22.6757
"2007-12-17",22.9224
"2007-12-18",23.5849
"2007-12-19",23.2075
"2007-12-20",23.2762
"2007-12-21",23.188
"2007-12-22",22.7339
"2007-12-23",22.5962
"2007-12-24",21.888
"2007-12-25",19.999
"2007-12-26",19.6532
"2007-12-27",20.0872
"2007-12-28",20.9096
"2007-12-29",19.7844
"2007-12-30",20.2121
"2007-12-31",19.4177
"2008-01-01",20.1213
"2008-01-02",21.6325
"2008-01-03",22.8719
"2008-01-04",22.2811
"2008-01-05",22.6573
"2008-01-06",22.6538
"2008-01-07",22.714
"2008-01-08",22.8689
"2008-01-09",22.7367
"2008-01-10",22.7539
"2008-01-11",22.7174
"2008-01-12",22.7863
"2008-01-13",22.6391
"2008-01-14",20.5021
"2008-01-15",19.6903
"2008-01-16",19.9972
"2008-01-17",19.9657
"2008-01-18",19.5048
"2008-01-19",18.7214
"2008-01-20",21.5262
"2008-01-21",22.9932
"2008-01-22",22.5226
"2008-01-23",20.2835
"2008-01-24",22.1301
"2008-01-25",23.2035
"2008-01-26",23.4256
"2008-01-27",22.9257
"2008-01-28",22.8542
"2008-01-29",22.4474
"2008-01-30",21.5825
"2008-01-31",21.8162
"2008-02-01",21.8126
"2008-02-02",21.5929
"2008-02-03",21.2121
"2008-02-04",21.2998
"2008-02-05",22.6247
"2008-02-06",23.1306
"2008-02-07",23.1599
"2008-02-08",23.2646
"2008-02-09",23.3215
"2008-02-10",23.1785
"2008-02-11",22.8893
"2008-02-12",23.18
"2008-02-13",23.0792
"2008-02-14",22.9352
"2008-02-15",23.0273
"2008-02-16",22.7429
"2008-02-17",21.5573
"2008-02-18",20.6892
"2008-02-19",20.9811
"2008-02-20",22.7568
"2008-02-21",22.6412
"2008-02-22",21.4004
"2008-02-23",18.7145
"2008-02-24",17.9516
"2008-02-25",17.5968
"2008-02-26",21.3932
"2008-02-27",22.8065
"2008-02-28",22.8058
"2008-02-29",22.3305
"2008-03-01",21.2063
"2008-03-02",22.4393
"2008-03-03",22.6524
"2008-03-04",22.8558
"2008-03-05",22.8667
"2008-03-06",22.5828
"2008-03-07",21.3676
"2008-03-08",20.9582
"2008-03-09",22.5153
"2008-03-10",22.6962
"2008-03-11",23.1069
"2008-03-12",23.2078
"2008-03-13",22.9208
"2008-03-14",23.0667
"2008-03-15",23.1393
"2008-03-16",23.0288
"2008-03-17",23.1895
"2008-03-18",23.0804
"2008-03-19",23.2634
"2008-03-20",22.6353
"2008-03-21",23.3899
"2008-03-22",23.2736
"2008-03-23",23.4712
"2008-03-24",23.2345
"2008-03-25",23.2044
"2008-03-26",23.3094
"2008-03-27",23.1512
"2008-03-28",23.2739
"2008-03-29",23.4925
"2008-03-30",23.6196
"2008-03-31",23.3591
"2008-04-01",23.4167
"2008-04-02",23.1135
"2008-04-03",22.8624
"2008-04-04",22.9952
"2008-04-05",23.1711
"2008-04-06",23.5622
"2008-04-07",23.2134
"2008-04-08",23.1212
"2008-04-09",22.6469
"2008-04-10",23.2659
"2008-04-11",23.7647
"2008-04-12",23.2295
"2008-04-13",23.581
"2008-04-14",23.3164
"2008-04-15",23.3344
"2008-04-16",23.742
"2008-04-17",23.0797
"2008-04-18",23.4259
"2008-04-19",23.744
"2008-04-20",23.5623
"2008-04-21",24.1835
"2008-04-22",23.616
"2008-04-23",23.8787
"2008-04-24",23.7035
"2008-04-25",23.3279
"2008-04-26",23.5006
"2008-04-27",23.9619
"2008-04-28",23.3257
"2008-04-29",23.7824
"2008-04-30",24.5684
"2008-05-01",24.3153
"2008-05-02",23.8434
"2008-05-03",23.9834
"2008-05-04",24.1324
"2008-05-05",23.8483
"2008-05-06",23.8242
"2008-05-07",23.3493
"2008-05-08",23.367
"2008-05-09",22.5453
"2008-05-10",22.6751
"2008-05-11",23.4843
"2008-05-12",23.5172
"2008-05-13",23.0733
"2008-05-14",22.9971
"2008-05-15",22.8433
"2008-05-16",23.1468
"2008-05-17",22.9755
"2008-05-18",23.2487
"2008-05-19",23.4481
"2008-05-20",23.4301
"2008-05-21",23.1535
"2008-05-22",23.194
"2008-05-23",23.1301
"2008-05-24",23.1605
"2008-05-25",23.2441
"2008-05-26",23.0756
"2008-05-27",22.9821
"2008-05-28",23.4238
"2008-05-29",23.1007
"2008-05-30",22.924
"2008-05-31",22.7098
"2008-06-01",23.1562
"2008-06-02",22.7998
"2008-06-03",23.1709
"2008-06-04",23.5107
"2008-06-05",22.5592
"2008-06-06",23.2656
"2008-06-07",23.2656
"2008-06-08",23.8191
"2008-06-09",24.245
"2008-06-10",23.4596
"2008-06-11",22.9677
"2008-06-12",22.7155
"2008-06-13",22.3198
"2008-06-14",21.7481
"2008-06-15",21.7455
"2008-06-16",22.1566
"2008-06-17",20.6507
"2008-06-18",21.1365
"2008-06-19",22.1496
"2008-06-20",22.3789
"2008-06-21",22.6345
"2008-06-22",22.7411
"2008-06-23",22.5592
"2008-06-24",22.3006
"2008-06-25",22.49
"2008-06-26",21.9511
"2008-06-27",21.4818
"2008-06-28",20.2093
"2008-06-29",21.427
"2008-06-30",22.0719
"2008-07-01",21.8625
"2008-07-02",21.1166
"2008-07-03",21.5449
"2008-07-04",21.8422
"2008-07-05",22.4883
"2008-07-06",22.1225
"2008-07-07",22.1924
"2008-07-08",21.8451
"2008-07-09",21.0212
"2008-07-10",21.865
"2008-07-11",21.2833
"2008-07-12",21.594
"2008-07-13",21.3622
"2008-07-14",21.8256
"2008-07-15",22.2636
"2008-07-16",22.4655
"2008-07-17",21.653
"2008-07-18",21.6031
"2008-07-19",22.8014
"2008-07-20",22.0917
"2008-07-21",22.8481
"2008-07-22",23.1766
"2008-07-23",23.1989
"2008-07-24",22.1712
"2008-07-25",21.8824
"2008-07-26",20.9861
"2008-07-27",20.7311
"2008-07-28",21.1226
"2008-07-29",20.6827
"2008-07-30",21.0266
"2008-07-31",21.3771
"2008-08-01",21.9176
"2008-08-02",22.1336
"2008-08-03",23.2384
"2008-08-04",22.6264
"2008-08-05",22.4633
"2008-08-06",21.6404
"2008-08-07",20.8463
"2008-08-08",20.3374
"2008-08-09",20.6293
"2008-08-10",20.8477
"2008-08-11",20.5196
"2008-08-12",20.5811
"2008-08-13",21.6437
"2008-08-14",22.2429
"2008-08-15",22.287
"2008-08-16",22.4047
"2008-08-17",22.3863
"2008-08-18",22.3135
"2008-08-19",22.3668
"2008-08-20",21.5406
"2008-08-21",21.7579
"2008-08-22",21.9138
"2008-08-23",22.2187
"2008-08-24",21.2907
"2008-08-25",22.3179
"2008-08-26",22.5046
"2008-08-27",22.6744
"2008-08-28",23.1201
"2008-08-29",23.3942
"2008-08-30",23.1834
"2008-08-31",22.9547
"2008-09-01",23.4242
"2008-09-02",22.9273
"2008-09-03",22.7749
"2008-09-04",23.417
"2008-09-05",23.1996
"2008-09-06",23.3643
"2008-09-07",22.8503
"2008-09-08",22.2138
"2008-09-09",22.8167
"2008-09-10",22.3248
"2008-09-11",21.6762
"2008-09-12",22.4037
"2008-09-13",21.822
"2008-09-14",21.7904
"2008-09-15",21.5968
"2008-09-16",21.536
"2008-09-17",20.7101
"2008-09-18",21.0384
"2008-09-19",21.5525
"2008-09-20",21.2954
"2008-09-21",20.9376
"2008-09-22",21.3059
"2008-09-23",21.235
"2008-09-24",21.3307
"2008-09-25",20.4773
"2008-09-26",21.799
"2008-09-27",22.2198
"2008-09-28",21.9828
"2008-09-29",22.009
"2008-09-30",20.1844
"2008-10-01",20.8316
"2008-10-02",21.0687
"2008-10-03",21.6777
"2008-10-04",22.4954
"2008-10-05",22.7424
"2008-10-06",23.2191
"2008-10-07",23.169
"2008-10-08",22.3881
"2008-10-09",22.3956
"2008-10-10",22.844
"2008-10-11",22.7802
"2008-10-12",22.9738
"2008-10-13",23.3466
"2008-10-14",23.2371
"2008-10-15",23.6758
"2008-10-16",23.8445
"2008-10-17",23.7052
"2008-10-18",23.7164
"2008-10-19",23.6674
"2008-10-20",23.8331
"2008-10-21",23.7956
"2008-10-22",23.6584
"2008-10-23",23.2083
"2008-10-24",22.7909
"2008-10-25",22.7661
"2008-10-26",23.367
"2008-10-27",23.5201
"2008-10-28",23.2558
"2008-10-29",22.1326
"2008-10-30",21.5282
"2008-10-31",21.1542
"2008-11-01",20.17
"2008-11-02",19.362
"2008-11-03",20.4998
"2008-11-04",21.1315
"2008-11-05",20.9572
"2008-11-06",20.2665
"2008-11-07",20.9865
"2008-11-08",22.2699
"2008-11-09",22.4694
"2008-11-10",22.9153
"2008-11-11",23.2562
"2008-11-12",23.0762
"2008-11-13",23.1465
"2008-11-14",22.8715
"2008-11-15",22.1235
"2008-11-16",22.557
"2008-11-17",22.3327
"2008-11-18",22.7523
"2008-11-19",23.2505
"2008-11-20",23.9716
"2008-11-21",23.563
"2008-11-22",23.3801
"2008-11-23",23.5118
"2008-11-24",23.5753
"2008-11-25",23.524
"2008-11-26",23.094
"2008-11-27",23.3249
"2008-11-28",23.7158
"2008-11-29",23.6262
"2008-11-30",23.3406
"2008-12-01",23.3491
"2008-12-02",22.9009
"2008-12-03",21.3984
"2008-12-04",22.2986
"2008-12-05",22.868
"2008-12-06",22.8394
"2008-12-07",22.1665
"2008-12-08",23.2913
"2008-12-09",23.6969
"2008-12-10",23.5307
"2008-12-11",23.6862
"2008-12-12",22.6711
"2008-12-13",21.3844
"2008-12-14",22.4831
"2008-12-15",22.8112
"2008-12-16",22.8915
"2008-12-17",22.7824
"2008-12-18",22.8588
"2008-12-19",23.1645
"2008-12-20",23.0289
"2008-12-21",21.0781
"2008-12-22",19.9592
"2008-12-23",21.5883
"2008-12-24",22.0641
"2008-12-25",22.1518
"2008-12-26",21.7937
"2008-12-27",21.1046
"2008-12-28",21.2792
"2008-12-29",19.4337
"2008-12-30",18.7987
"2008-12-31",18.3256
"2009-01-01",18.3759
"2009-01-02",18.7155
"2009-01-03",19.7458
"2009-01-04",21.5506
"2009-01-05",21.765
"2009-01-06",21.405
"2009-01-07",22.4292
"2009-01-08",22.511
"2009-01-09",22.5321
"2009-01-10",21.9986
"2009-01-11",21.0092
"2009-01-12",21.2466
"2009-01-13",21.7989
"2009-01-14",20.7441
"2009-01-15",20.6222
"2009-01-16",19.5267
"2009-01-17",20.0861
"2009-01-18",19.9683
"2009-01-19",19.926
"2009-01-20",20.2397
"2009-01-21",18.9704
"2009-01-22",18.9789
"2009-01-23",19.6195
"2009-01-24",19.4286
"2009-01-25",21.8268
"2009-01-26",23.0935
"2009-01-27",22.8173
"2009-01-28",22.6038
"2009-01-29",21.1598
"2009-01-30",19.711
"2009-01-31",19.638
"2009-02-01",19.3855
"2009-02-02",18.8442
"2009-02-03",18.7855
"2009-02-04",18.7587
"2009-02-05",18.4997
"2009-02-06",18.8133
"2009-02-07",17.969
"2009-02-08",18.0385
"2009-02-09",18.0039
"2009-02-10",19.5647
"2009-02-11",20.8938
"2009-02-12",20.4849
"2009-02-13",18.528
"2009-02-14",18.6746
"2009-02-15",20.28
"2009-02-16",19.3177
"2009-02-17",18.3744
"2009-02-18",18.8829
"2009-02-19",21.1226
"2009-02-20",22.4377
"2009-02-21",23.0218
"2009-02-22",23.1102
"2009-02-23",23.2407
"2009-02-24",23.4412
"2009-02-25",22.8778
"2009-02-26",22.3308
"2009-02-27",21.994
"2009-02-28",20.806
"2009-03-01",19.1412
"2009-03-02",17.7044
"2009-03-03",17.7512
"2009-03-04",19.7016
"2009-03-05",19.8943
"2009-03-06",20.5064
"2009-03-07",20.7373
"2009-03-08",21.4133
"2009-03-09",23.2776
"2009-03-10",23.1113
"2009-03-11",23.1526
"2009-03-12",23.3241
"2009-03-13",23.3784
"2009-03-14",23.2838
"2009-03-15",22.9572
"2009-03-16",23.4943
"2009-03-17",23.0769
"2009-03-18",23.0513
"2009-03-19",23.6582
"2009-03-20",23.1399
"2009-03-21",23.1736
"2009-03-22",23.4115
"2009-03-23",24.0196
"2009-03-24",23.1122
"2009-03-25",23.2144
"2009-03-26",23.3604
"2009-03-27",23.2928
"2009-03-28",23.4654
"2009-03-29",23.4331
"2009-03-30",23.2513
"2009-03-31",23.448
"2009-04-01",23.8243
"2009-04-02",23.6622
"2009-04-03",23.435
"2009-04-04",23.763
"2009-04-05",23.695
"2009-04-06",23.5355
"2009-04-07",23.8718
"2009-04-08",23.6499
"2009-04-09",23.7471
"2009-04-10",23.5891
"2009-04-11",24.1468
"2009-04-12",24.163
"2009-04-13",23.8231
"2009-04-14",23.5494
"2009-04-15",23.8841
"2009-04-16",24.3399
"2009-04-17",24.3249
"2009-04-18",24.4898
"2009-04-19",24.3798
"2009-04-20",23.8828
"2009-04-21",23.3183
"2009-04-22",24.1574
"2009-04-23",24.4277
"2009-04-24",24.4077
"2009-04-25",24.259
"2009-04-26",23.7045
"2009-04-27",23.6013
"2009-04-28",22.6208
"2009-04-29",22.9853
"2009-04-30",23.1266
"2009-05-01",23.6525
"2009-05-02",23.7666
"2009-05-03",24.2581
"2009-05-04",23.1277
"2009-05-05",23.6807
"2009-05-06",23.9199
"2009-05-07",24.0033
"2009-05-08",24.0462
"2009-05-09",24.1934
"2009-05-10",23.8001
"2009-05-11",23.7212
"2009-05-12",23.5482
"2009-05-13",23.1841
"2009-05-14",23.1498
"2009-05-15",23.2598
"2009-05-16",23.9904
"2009-05-17",24.1287
"2009-05-18",23.8887
"2009-05-19",24.1102
"2009-05-20",23.1267
"2009-05-21",23.2306
"2009-05-22",23.1289
"2009-05-23",23.8173
"2009-05-24",24.0248
"2009-05-25",22.9186
"2009-05-26",23.4445
"2009-05-27",22.9783
"2009-05-28",23.1743
"2009-05-29",22.5987
"2009-05-30",23.1775
"2009-05-31",23.4322
"2009-06-01",22.9455
"2009-06-02",22.0594
"2009-06-03",22.3517
"2009-06-04",22.4724
"2009-06-05",22.6076
"2009-06-06",19.6435
"2009-06-07",21.1067
"2009-06-08",21.055
"2009-06-09",20.9195
"2009-06-10",21.6741
"2009-06-11",22.0168
"2009-06-12",21.9538
"2009-06-13",21.9457
"2009-06-14",22.0483
"2009-06-15",21.1703
"2009-06-16",21.4792
"2009-06-17",21.8542
"2009-06-18",21.8533
"2009-06-19",22.0415
"2009-06-20",22.4504
"2009-06-21",22.3092
"2009-06-22",21.9379
"2009-06-23",21.779
"2009-06-24",22.6227
"2009-06-25",22.4878
"2009-06-26",21.3593
"2009-06-27",21.6535
"2009-06-28",21.9528
"2009-06-29",22.4714
"2009-06-30",21.9538
"2009-07-01",21.0831
"2009-07-02",21.3112
"2009-07-03",20.5832
"2009-07-04",20.5302
"2009-07-05",21.0782
"2009-07-06",21.1025
"2009-07-07",21.4307
"2009-07-08",20.7504
"2009-07-09",20.7063
"2009-07-10",21.1506
"2009-07-11",21.0036
"2009-07-12",20.5233
"2009-07-13",19.9235
"2009-07-14",20.521
"2009-07-15",20.5821
"2009-07-16",21.4497
"2009-07-17",20.5322
"2009-07-18",20.3735
"2009-07-19",20.5243
"2009-07-20",20.4553
"2009-07-21",19.9757
"2009-07-22",19.9475
"2009-07-23",20.497
"2009-07-24",21.6428
"2009-07-25",21.9451
"2009-07-26",21.7767
"2009-07-27",21.2548
"2009-07-28",21.0619
"2009-07-29",21.3668
"2009-07-30",21.9492
"2009-07-31",21.7183
"2009-08-01",21.1904
"2009-08-02",20.9161
"2009-08-03",20.5615
"2009-08-04",20.4278
"2009-08-05",20.1358
"2009-08-06",20.3936
"2009-08-07",20.8657
"2009-08-08",20.6359
"2009-08-09",20.3632
"2009-08-10",20.1366
"2009-08-11",21.1161
"2009-08-12",21.9744
"2009-08-13",23.0522
"2009-08-14",23.3761
"2009-08-15",23.1813
"2009-08-16",23.3982
"2009-08-17",23.1234
"2009-08-18",23.3728
"2009-08-19",23.3029
"2009-08-20",23.1766
"2009-08-21",23.0516
"2009-08-22",22.5855
"2009-08-23",21.8735
"2009-08-24",22.2886
"2009-08-25",22.1266
"2009-08-26",22.0381
"2009-08-27",22.5352
"2009-08-28",22.1998
"2009-08-29",22.2099
"2009-08-30",21.403
"2009-08-31",22.2101
"2009-09-01",22.7708
"2009-09-02",22.3594
"2009-09-03",21.4598
"2009-09-04",21.5579
"2009-09-05",21.1865
"2009-09-06",21.1085
"2009-09-07",21.2682
"2009-09-08",21.6035
"2009-09-09",21.6691
"2009-09-10",22.1187
"2009-09-11",22.4293
"2009-09-12",22.9018
"2009-09-13",23.4093
"2009-09-14",21.5888
"2009-09-15",21.0121
"2009-09-16",21.4076
"2009-09-17",22.1227
"2009-09-18",22.8484
"2009-09-19",22.5143
"2009-09-20",22.296
"2009-09-21",23.076
"2009-09-22",22.6758
"2009-09-23",22.463
"2009-09-24",21.9866
"2009-09-25",21.4558
"2009-09-26",20.5374
"2009-09-27",20.0916
"2009-09-28",21.011
"2009-09-29",21.957
"2009-09-30",21.4277
"2009-10-01",21.8078
"2009-10-02",22.2891
"2009-10-03",21.3507
"2009-10-04",20.3719
"2009-10-05",18.9528
"2009-10-06",19.9555
"2009-10-07",20.5294
"2009-10-08",21.1381
"2009-10-09",21.8036
"2009-10-10",22.1429
"2009-10-11",22.3785
"2009-10-12",22.6474
"2009-10-13",22.4811
"2009-10-14",22.2945
"2009-10-15",20.8739
"2009-10-16",21.6488
"2009-10-17",22.3276
"2009-10-18",22.9387
"2009-10-19",22.3041
"2009-10-20",22.3906
"2009-10-21",21.6678
"2009-10-22",20.665
"2009-10-23",20.3176
"2009-10-24",20.1956
"2009-10-25",20.9682
"2009-10-26",20.6614
"2009-10-27",21.464
"2009-10-28",23.0871
"2009-10-29",23.3045
"2009-10-30",22.9962
"2009-10-31",23.1888
"2009-11-01",23.5819
"2009-11-02",23.0171
"2009-11-03",23.6201
"2009-11-04",23.7006
"2009-11-05",23.5748
"2009-11-06",23.9329
"2009-11-07",24.0164
"2009-11-08",23.7508
"2009-11-09",23.6172
"2009-11-10",23.697
"2009-11-11",23.827
"2009-11-12",24.1688
"2009-11-13",23.9704
"2009-11-14",23.7623
"2009-11-15",23.2878
"2009-11-16",24.0931
"2009-11-17",23.5894
"2009-11-18",23.3692
"2009-11-19",23.4249
"2009-11-20",23.22
"2009-11-21",23.1034
"2009-11-22",23.0327
"2009-11-23",22.7917
"2009-11-24",23.2024
"2009-11-25",22.8104
"2009-11-26",21.3165
"2009-11-27",21.3388
"2009-11-28",22.4242
"2009-11-29",23.1657
"2009-11-30",23.4596
"2009-12-01",23.4796
"2009-12-02",23.2828
"2009-12-03",23.3409
"2009-12-04",22.7231
"2009-12-05",22.9951
"2009-12-06",22.7226
"2009-12-07",23.641
"2009-12-08",23.3979
"2009-12-09",23.2302
"2009-12-10",22.9679
"2009-12-11",23.1042
"2009-12-12",23.7162
