,"(deg C) Mean Dew Point Temperature (ERA5) at Jaffna, 2007-01-01 to 2025-12-31"
"2007-08-17",24.623
"2007-08-18",24.8158
"2007-08-19",24.8325
"2007-08-20",24.7085
"2007-08-21",24.2337
"2007-08-22",24.1923
"2007-08-23",24.4235
"2007-08-24",23.8661
"2007-08-25",24.1552
"2007-08-26",24.299
"2007-08-27",24.4176
"2007-08-28",24.5117
"2007-08-29",24.493
"2007-08-30",24.2877
"2007-08-31",24.0589
"2007-09-01",24.2719
"2007-09-02",24.4061
"2007-09-03",24.641
"2007-09-04",24.8193
"2007-09-05",24.84
"2007-09-06",24.5953
"2007-09-07",24.8602
"2007-09-08",24.624
"2007-09-09",24.1479
"2007-09-10",24.0628
"2007-09-11",24.2025
"2007-09-12",24.4492
"2007-09-13",24.6051
"2007-09-14",24.4369
"2007-09-15",24.5056
"2007-09-16",24.354
"2007-09-17",24.7437
"2007-09-18",24.5393
"2007-09-19",24.4885
"2007-09-20",24.5125
"2007-09-21",24.6295
"2007-09-22",24.6632
"2007-09-23",24.5595
"2007-09-24",24.7275
"2007-09-25",24.8822
"2007-09-26",24.7014
"2007-09-27",24.8381
"2007-09-28",24.6446
"2007-09-29",24.6302
"2007-09-30",24.5496
"2007-10-01",23.9875
"2007-10-02",24.4848
"2007-10-03",24.5563
"2007-10-04",24.526
"2007-10-05",24.1023
"2007-10-06",23.7212
"2007-10-07",24.2111
"2007-10-08",24.0973
"2007-10-09",24.4241
"2007-10-10",24.0231
"2007-10-11",23.8901
"2007-10-12",23.8038
"2007-10-13",24.1036
"2007-10-14",23.8658
"2007-10-15",24.136
"2007-10-16",24.0812
"2007-10-17",23.6113
"2007-10-18",23.2992
"2007-10-19",23.3494
"2007-10-20",23.0749
"2007-10-21",23.2472
"2007-10-22",23.2514
"2007-10-23",23.5099
"2007-10-24",23.6866
"2007-10-25",23.9408
"2007-10-26",23.5499
"2007-10-27",23.563
"2007-10-28",22.9837
"2007-10-29",23.703
"2007-10-30",23.9964
"2007-10-31",24.2678
"2007-11-01",23.6875
"2007-11-02",23.5802
"2007-11-03",23.5224
"2007-11-04",23.4407
"2007-11-05",23.5712
"2007-11-06",23.4963
"2007-11-07",23.3495
"2007-11-08",23.6051
"2007-11-09",23.1177
"2007-11-10",23.6338
"2007-11-11",23.5555
"2007-11-12",23.9299
"2007-11-13",22.4156
"2007-11-14",20.7857
"2007-11-15",19.6496
"2007-11-16",18.1901
"2007-11-17",18.9042
"2007-11-18",22.311
"2007-11-19",23.4181
"2007-11-20",23.8079
"2007-11-21",23.99
"2007-11-22",23.3422
"2007-11-23",21.8882
"2007-11-24",20.8924
"2007-11-25",19.2697
"2007-11-26",22.1965
"2007-11-27",23.3807
"2007-11-28",23.5756
"2007-11-29",22.528
"2007-11-30",21.5736
"2007-12-01",22.5752
"2007-12-02",22.1856
"2007-12-03",21.2053
"2007-12-04",22.4384
"2007-12-05",21.79
"2007-12-06",22.6017
"2007-12-07",22.5537
"2007-12-08",23.0926
"2007-12-09",22.7318
"2007-12-10",22.0836
"2007-12-11",22.3369
"2007-12-12",22.3678
"2007-12-13",22.8353
"2007-12-14",23.3571
"2007-12-15",23.0767
"2007-12-16",22.1527
"2007-12-17",23.5466
"2007-12-18",23.6382
"2007-12-19",23.4363
"2007-12-20",23.5465
"2007-12-21",23.8494
"2007-12-22",23.0816
"2007-12-23",21.8665
"2007-12-24",20.0774
"2007-12-25",19.2028
"2007-12-26",20.4437
"2007-12-27",20.5523
"2007-12-28",20.9663
"2007-12-29",21.0313
"2007-12-30",21.1782
"2007-12-31",20.0889
"2008-01-01",19.508
"2008-01-02",19.771
"2008-01-03",22.2042
"2008-01-04",22.9386
"2008-01-05",22.9932
"2008-01-06",20.9133
"2008-01-07",20.138
"2008-01-08",20.0263
"2008-01-09",20.7217
"2008-01-10",21.3018
"2008-01-11",21.3293
"2008-01-12",20.8
"2008-01-13",20.7721
"2008-01-14",20.0429
"2008-01-15",19.6611
"2008-01-16",19.5279
"2008-01-17",19.2875
"2008-01-18",17.4872
"2008-01-19",17.7611
"2008-01-20",20.5963
"2008-01-21",23.2254
"2008-01-22",22.9055
"2008-01-23",20.284
"2008-01-24",21.2269
"2008-01-25",22.8971
"2008-01-26",23.4068
"2008-01-27",22.8875
"2008-01-28",22.9363
"2008-01-29",23.2545
"2008-01-30",22.4208
"2008-01-31",22.7756
"2008-02-01",22.8773
"2008-02-02",22.3663
"2008-02-03",21.6137
"2008-02-04",21.5163
"2008-02-05",21.3194
"2008-02-06",22.3964
"2008-02-07",23.1404
"2008-02-08",23.2368
"2008-02-09",23.6782
"2008-02-10",23.7835
"2008-02-11",23.8987
"2008-02-12",23.5617
"2008-02-13",23.4323
"2008-02-14",23.2974
"2008-02-15",22.955
"2008-02-16",22.7096
"2008-02-17",20.5935
"2008-02-18",19.8567
"2008-02-19",19.7523
"2008-02-20",21.5713
"2008-02-21",23.045
"2008-02-22",21.7285
"2008-02-23",20.3042
"2008-02-24",18.8203
"2008-02-25",18.6791
"2008-02-26",20.4358
"2008-02-27",22.5192
"2008-02-28",22.4663
"2008-02-29",22.7799
"2008-03-01",23.2351
"2008-03-02",23.4131
"2008-03-03",22.1583
"2008-03-04",21.3164
"2008-03-05",23.0894
"2008-03-06",23.5575
"2008-03-07",20.9997
"2008-03-08",20.7692
"2008-03-09",22.3494
"2008-03-10",22.6415
"2008-03-11",22.4499
"2008-03-12",22.9235
"2008-03-13",23.1684
"2008-03-14",23.4529
"2008-03-15",23.7939
"2008-03-16",23.7301
"2008-03-17",23.7617
"2008-03-18",23.8213
"2008-03-19",23.7354
"2008-03-20",23.633
"2008-03-21",23.5357
"2008-03-22",23.3722
"2008-03-23",23.9464
"2008-03-24",24.1613
"2008-03-25",24.3446
"2008-03-26",23.7256
"2008-03-27",23.9684
"2008-03-28",24.1309
"2008-03-29",24.1821
"2008-03-30",24.3667
"2008-03-31",24.6736
"2008-04-01",24.2052
"2008-04-02",24.3084
"2008-04-03",24.1519
"2008-04-04",24.0722
"2008-04-05",24.112
"2008-04-06",23.8971
"2008-04-07",24.3602
"2008-04-08",23.9688
"2008-04-09",24.1157
"2008-04-10",23.8191
"2008-04-11",23.7831
"2008-04-12",23.9345
"2008-04-13",24.4213
"2008-04-14",24.4371
"2008-04-15",24.2593
"2008-04-16",24.4433
"2008-04-17",24.4698
"2008-04-18",25.1992
"2008-04-19",25.1716
"2008-04-20",25.4834
"2008-04-21",25.4469
"2008-04-22",25.7828
"2008-04-23",25.6782
"2008-04-24",25.0881
"2008-04-25",24.846
"2008-04-26",24.6664
"2008-04-27",25.1608
"2008-04-28",25.7216
"2008-04-29",26.1103
"2008-04-30",26.0409
"2008-05-01",26.0441
"2008-05-02",26.1573
"2008-05-03",25.8993
"2008-05-04",25.7376
"2008-05-05",25.7662
"2008-05-06",25.6131
"2008-05-07",24.8907
"2008-05-08",25.4319
"2008-05-09",25.2115
"2008-05-10",25.5301
"2008-05-11",25.8809
"2008-05-12",25.6581
"2008-05-13",25.3392
"2008-05-14",25.4698
"2008-05-15",25.2887
"2008-05-16",25.6331
"2008-05-17",25.7715
"2008-05-18",25.8305
"2008-05-19",25.6146
"2008-05-20",25.4961
"2008-05-21",25.3638
"2008-05-22",25.3442
"2008-05-23",24.9657
"2008-05-24",24.7681
"2008-05-25",25.1674
"2008-05-26",25.1297
"2008-05-27",25.0984
"2008-05-28",25.2469
"2008-05-29",25.1815
"2008-05-30",25.3002
"2008-05-31",25.1075
"2008-06-01",25.1291
"2008-06-02",24.8303
"2008-06-03",24.7181
"2008-06-04",24.7765
"2008-06-05",24.8259
"2008-06-06",25.2381
"2008-06-07",25.2381
"2008-06-08",25.1407
"2008-06-09",25.1779
"2008-06-10",24.7756
"2008-06-11",24.8722
"2008-06-12",25.021
"2008-06-13",24.6992
"2008-06-14",24.8525
"2008-06-15",24.8007
"2008-06-16",24.7053
"2008-06-17",24.7719
"2008-06-18",25.0166
"2008-06-19",24.8881
"2008-06-20",24.9164
"2008-06-21",25.1244
"2008-06-22",24.9405
"2008-06-23",24.8206
"2008-06-24",24.7546
"2008-06-25",24.5948
"2008-06-26",24.5777
"2008-06-27",24.3837
"2008-06-28",24.7581
"2008-06-29",24.8361
"2008-06-30",24.982
"2008-07-01",25.1896
"2008-07-02",24.2814
"2008-07-03",24.131
"2008-07-04",25.0314
"2008-07-05",25.1339
"2008-07-06",25.045
"2008-07-07",25.0694
"2008-07-08",24.914
"2008-07-09",24.4486
"2008-07-10",24.6345
"2008-07-11",24.6311
"2008-07-12",24.5414
"2008-07-13",24.5951
"2008-07-14",25.037
"2008-07-15",24.9857
"2008-07-16",24.7158
"2008-07-17",24.6091
"2008-07-18",24.5066
"2008-07-19",24.8042
"2008-07-20",24.5005
"2008-07-21",24.3222
"2008-07-22",24.3613
"2008-07-23",24.1351
"2008-07-24",24.5024
"2008-07-25",24.4999
"2008-07-26",24.4528
"2008-07-27",24.0792
"2008-07-28",24.2497
"2008-07-29",24.3324
"2008-07-30",24.5068
"2008-07-31",24.5729
"2008-08-01",24.5401
"2008-08-02",24.7921
"2008-08-03",24.3766
"2008-08-04",24.7443
"2008-08-05",24.8168
"2008-08-06",24.6233
"2008-08-07",24.4365
"2008-08-08",24.4365
"2008-08-09",24.3724
"2008-08-10",24.4798
"2008-08-11",24.3822
"2008-08-12",24.4581
"2008-08-13",24.3191
"2008-08-14",24.3158
"2008-08-15",24.0677
"2008-08-16",23.7799
"2008-08-17",24.1001
"2008-08-18",24.35
"2008-08-19",24.4054
"2008-08-20",24.3188
"2008-08-21",24.2984
"2008-08-22",24.3339
"2008-08-23",24.5034
"2008-08-24",24.44
"2008-08-25",24.1451
"2008-08-26",24.2975
"2008-08-27",23.8937
"2008-08-28",23.7544
"2008-08-29",23.8505
"2008-08-30",24.0071
"2008-08-31",23.872
"2008-09-01",23.9394
"2008-09-02",24.1899
"2008-09-03",24.2515
"2008-09-04",24.4222
"2008-09-05",24.2418
"2008-09-06",24.3806
"2008-09-07",24.2105
"2008-09-08",24.0168
"2008-09-09",24.0214
"2008-09-10",24.1513
"2008-09-11",24.151
"2008-09-12",24.485
"2008-09-13",24.2236
"2008-09-14",24.2788
"2008-09-15",24.366
"2008-09-16",24.3694
"2008-09-17",24.2334
"2008-09-18",24.4075
"2008-09-19",24.3704
"2008-09-20",24.2388
"2008-09-21",24.3579
"2008-09-22",24.2867
"2008-09-23",24.3026
"2008-09-24",24.2184
"2008-09-25",24.1514
"2008-09-26",24.4708
"2008-09-27",24.7021
"2008-09-28",24.5113
"2008-09-29",23.6533
"2008-09-30",23.483
"2008-10-01",23.64
"2008-10-02",23.8667
"2008-10-03",23.8737
"2008-10-04",23.4203
"2008-10-05",23.522
"2008-10-06",23.4603
"2008-10-07",23.537
"2008-10-08",23.7886
"2008-10-09",23.4331
"2008-10-10",23.803
"2008-10-11",23.9181
"2008-10-12",23.893
"2008-10-13",23.7341
"2008-10-14",24.0134
"2008-10-15",24.0859
"2008-10-16",24.4148
"2008-10-17",24.1645
"2008-10-18",24.3852
"2008-10-19",24.1429
"2008-10-20",24.2404
"2008-10-21",23.9397
"2008-10-22",23.931
"2008-10-23",24.2634
"2008-10-24",24.5424
"2008-10-25",24.3136
"2008-10-26",24.5599
"2008-10-27",24.3386
"2008-10-28",24.1544
"2008-10-29",22.419
"2008-10-30",20.963
"2008-10-31",21.7957
"2008-11-01",21.3239
"2008-11-02",21.3351
"2008-11-03",19.8291
"2008-11-04",20.7398
"2008-11-05",20.2676
"2008-11-06",20.6247
"2008-11-07",22.1686
"2008-11-08",23.5607
"2008-11-09",23.9863
"2008-11-10",23.9363
"2008-11-11",23.9057
"2008-11-12",23.5227
"2008-11-13",23.6582
"2008-11-14",23.7739
"2008-11-15",22.6884
"2008-11-16",24.3587
"2008-11-17",24.0773
"2008-11-18",23.8163
"2008-11-19",24.3126
"2008-11-20",24.2288
"2008-11-21",24.1183
"2008-11-22",24.2413
"2008-11-23",23.8523
"2008-11-24",24.0845
"2008-11-25",24.051
"2008-11-26",23.8815
"2008-11-27",23.2194
"2008-11-28",24.3108
"2008-11-29",24.0775
"2008-11-30",23.657
"2008-12-01",23.7959
"2008-12-02",23.5483
"2008-12-03",20.9701
"2008-12-04",20.2985
"2008-12-05",22.1491
"2008-12-06",22.34
"2008-12-07",23.3926
"2008-12-08",23.8703
"2008-12-09",23.6565
"2008-12-10",23.625
"2008-12-11",23.5687
"2008-12-12",22.2503
"2008-12-13",22.4873
"2008-12-14",23.2266
"2008-12-15",23.4318
"2008-12-16",23.3584
"2008-12-17",22.7617
"2008-12-18",22.8406
"2008-12-19",23.0484
"2008-12-20",22.6399
"2008-12-21",22.5569
"2008-12-22",22.2789
"2008-12-23",20.1254
"2008-12-24",22.2165
"2008-12-25",22.2588
"2008-12-26",22.1493
"2008-12-27",21.0406
"2008-12-28",20.6844
"2008-12-29",18.8542
"2008-12-30",17.4249
"2008-12-31",17.5474
"2009-01-01",18.8677
"2009-01-02",19.2553
"2009-01-03",20.0373
"2009-01-04",19.5253
"2009-01-05",18.9238
"2009-01-06",22.0778
"2009-01-07",22.7117
"2009-01-08",21.8692
"2009-01-09",22.492
"2009-01-10",21.3282
"2009-01-11",21.0379
"2009-01-12",21.1654
"2009-01-13",20.1394
"2009-01-14",20.9182
"2009-01-15",20.3748
"2009-01-16",19.4002
"2009-01-17",18.8563
"2009-01-18",18.9784
"2009-01-19",20.4235
"2009-01-20",18.3087
"2009-01-21",17.7955
"2009-01-22",18.6394
"2009-01-23",18.3957
"2009-01-24",18.3264
"2009-01-25",20.6429
"2009-01-26",22.8717
"2009-01-27",23.3216
"2009-01-28",23.4791
"2009-01-29",21.9651
"2009-01-30",20.7644
"2009-01-31",20.4419
"2009-02-01",19.3254
"2009-02-02",19.4905
"2009-02-03",20.4697
"2009-02-04",20.1572
"2009-02-05",19.3894
"2009-02-06",19.5221
"2009-02-07",19.0335
"2009-02-08",18.1451
"2009-02-09",17.8625
"2009-02-10",16.9749
"2009-02-11",18.0062
"2009-02-12",18.0885
"2009-02-13",18.6778
"2009-02-14",18.8569
"2009-02-15",18.973
"2009-02-16",19.3366
"2009-02-17",19.2114
"2009-02-18",19.5915
"2009-02-19",19.8444
"2009-02-20",22.2516
"2009-02-21",22.873
"2009-02-22",23.044
"2009-02-23",23.2269
"2009-02-24",23.8291
"2009-02-25",24.1574
"2009-02-26",24.1459
"2009-02-27",22.3811
"2009-02-28",22.1431
"2009-03-01",22.4408
"2009-03-02",21.9877
"2009-03-03",22.5199
"2009-03-04",21.5659
"2009-03-05",22.7682
"2009-03-06",22.695
"2009-03-07",21.5219
"2009-03-08",22.7002
"2009-03-09",23.1537
"2009-03-10",23.3579
"2009-03-11",23.7086
"2009-03-12",23.6446
"2009-03-13",23.9394
"2009-03-14",24.0664
"2009-03-15",23.3743
"2009-03-16",22.4904
"2009-03-17",21.6544
"2009-03-18",22.4719
"2009-03-19",23.1205
"2009-03-20",23.4791
"2009-03-21",23.6735
"2009-03-22",23.149
"2009-03-23",23.6222
"2009-03-24",23.2868
"2009-03-25",23.2974
"2009-03-26",24.0133
"2009-03-27",24.4067
"2009-03-28",24.4798
"2009-03-29",23.9434
"2009-03-30",23.7844
"2009-03-31",24.2476
"2009-04-01",24.178
"2009-04-02",23.4829
"2009-04-03",23.5678
"2009-04-04",24.4387
"2009-04-05",24.7901
"2009-04-06",24.6842
"2009-04-07",24.4446
"2009-04-08",24.5783
"2009-04-09",24.5575
"2009-04-10",24.5115
"2009-04-11",24.5719
"2009-04-12",23.9372
"2009-04-13",24.2689
"2009-04-14",25.1456
"2009-04-15",26.4463
"2009-04-16",26.6078
"2009-04-17",25.8918
"2009-04-18",25.9146
"2009-04-19",25.4987
"2009-04-20",25.3104
"2009-04-21",25.6349
"2009-04-22",25.6933
"2009-04-23",25.7982
"2009-04-24",25.9215
"2009-04-25",25.7242
"2009-04-26",25.656
"2009-04-27",25.3026
"2009-04-28",25.1505
"2009-04-29",25.4381
"2009-04-30",25.4448
"2009-05-01",25.7131
"2009-05-02",26.1768
"2009-05-03",26.3799
"2009-05-04",25.9909
"2009-05-05",25.9413
"2009-05-06",26.0642
"2009-05-07",26.1315
"2009-05-08",26.0415
"2009-05-09",26.0477
"2009-05-10",26.4462
"2009-05-11",26.4734
"2009-05-12",26.524
"2009-05-13",26.6182
"2009-05-14",26.4432
"2009-05-15",26.008
"2009-05-16",25.7961
"2009-05-17",25.8604
"2009-05-18",25.6551
"2009-05-19",25.5128
"2009-05-20",25.2221
"2009-05-21",25.0878
"2009-05-22",25.4249
"2009-05-23",25.7722
"2009-05-24",25.8131
"2009-05-25",25.4947
"2009-05-26",25.8473
"2009-05-27",25.8839
"2009-05-28",25.803
"2009-05-29",25.8921
"2009-05-30",25.6069
"2009-05-31",25.2983
"2009-06-01",25.3458
"2009-06-02",25.3812
"2009-06-03",25.7369
"2009-06-04",25.6971
"2009-06-05",25.3386
"2009-06-06",24.4574
"2009-06-07",24.9223
"2009-06-08",24.9917
"2009-06-09",25.1501
"2009-06-10",25.4367
"2009-06-11",25.1394
"2009-06-12",24.9549
"2009-06-13",24.8975
"2009-06-14",25.116
"2009-06-15",25.1736
"2009-06-16",25.0658
"2009-06-17",25.1641
"2009-06-18",24.9058
"2009-06-19",24.9184
"2009-06-20",24.88
"2009-06-21",25.0888
"2009-06-22",25.1479
"2009-06-23",25.0737
"2009-06-24",25.0376
"2009-06-25",24.9621
"2009-06-26",24.7393
"2009-06-27",25.0119
"2009-06-28",24.8563
"2009-06-29",24.8572
"2009-06-30",24.7064
"2009-07-01",24.1681
"2009-07-02",24.2103
"2009-07-03",24.5578
"2009-07-04",24.3924
"2009-07-05",24.8047
"2009-07-06",24.7539
"2009-07-07",24.6881
"2009-07-08",24.4857
"2009-07-09",24.823
"2009-07-10",24.6251
"2009-07-11",24.7986
"2009-07-12",24.7033
"2009-07-13",24.7073
"2009-07-14",24.8573
"2009-07-15",25.0229
"2009-07-16",24.8013
"2009-07-17",24.3185
"2009-07-18",24.5549
"2009-07-19",24.6108
"2009-07-20",24.5802
"2009-07-21",24.5943
"2009-07-22",24.493
"2009-07-23",24.7157
"2009-07-24",24.7196
"2009-07-25",25.0055
"2009-07-26",25.0083
"2009-07-27",24.8372
"2009-07-28",24.5313
"2009-07-29",24.6779
"2009-07-30",24.7643
"2009-07-31",24.6847
"2009-08-01",24.5512
"2009-08-02",24.5854
"2009-08-03",24.6847
"2009-08-04",24.6151
"2009-08-05",24.4129
"2009-08-06",24.7549
"2009-08-07",24.6399
"2009-08-08",24.8037
"2009-08-09",24.7943
"2009-08-10",25.0048
"2009-08-11",24.9268
"2009-08-12",25.1023
"2009-08-13",24.8782
"2009-08-14",24.8177
"2009-08-15",24.3428
"2009-08-16",24.384
"2009-08-17",23.5281
"2009-08-18",23.8013
"2009-08-19",24.034
"2009-08-20",24.0309
"2009-08-21",24.1591
"2009-08-22",24.4793
"2009-08-23",24.6215
"2009-08-24",24.4259
"2009-08-25",24.3257
"2009-08-26",24.5536
"2009-08-27",24.6035
"2009-08-28",24.473
"2009-08-29",24.6573
"2009-08-30",24.5451
"2009-08-31",24.3802
"2009-09-01",24.4809
"2009-09-02",24.4045
"2009-09-03",24.5111
"2009-09-04",24.2617
"2009-09-05",24.5913
"2009-09-06",24.5111
"2009-09-07",24.6022
"2009-09-08",24.5645
"2009-09-09",24.6875
"2009-09-10",24.6813
"2009-09-11",24.7871
"2009-09-12",24.7622
"2009-09-13",24.8074
"2009-09-14",24.9591
"2009-09-15",24.9981
"2009-09-16",24.9773
"2009-09-17",24.8534
"2009-09-18",24.6933
"2009-09-19",24.5499
"2009-09-20",24.4864
"2009-09-21",24.5256
"2009-09-22",24.3314
"2009-09-23",24.4987
"2009-09-24",24.8781
"2009-09-25",25.1575
"2009-09-26",24.699
"2009-09-27",24.5379
"2009-09-28",24.6438
"2009-09-29",24.5647
"2009-09-30",24.7206
"2009-10-01",24.8375
"2009-10-02",24.7551
"2009-10-03",24.9173
"2009-10-04",24.3675
"2009-10-05",23.9907
"2009-10-06",23.8735
"2009-10-07",24.5855
"2009-10-08",24.7035
"2009-10-09",24.6151
"2009-10-10",24.3414
"2009-10-11",24.0859
"2009-10-12",23.4481
"2009-10-13",23.4973
"2009-10-14",23.8832
"2009-10-15",22.9959
"2009-10-16",22.6248
"2009-10-17",23.0776
"2009-10-18",23.8025
"2009-10-19",24.1092
"2009-10-20",24.3498
"2009-10-21",23.0409
"2009-10-22",21.9787
"2009-10-23",21.749
"2009-10-24",22.3913
"2009-10-25",22.0415
"2009-10-26",21.5514
"2009-10-27",22.6931
"2009-10-28",24.2419
"2009-10-29",24.1334
"2009-10-30",24.6536
"2009-10-31",24.7833
"2009-11-01",24.5492
"2009-11-02",24.7397
"2009-11-03",24.2474
"2009-11-04",23.9678
"2009-11-05",24.2135
"2009-11-06",24.0759
"2009-11-07",24.3915
"2009-11-08",24.4782
"2009-11-09",24.1228
"2009-11-10",23.6819
"2009-11-11",24.334
"2009-11-12",24.6025
"2009-11-13",24.4685
"2009-11-14",24.1253
"2009-11-15",24.0492
"2009-11-16",24.0209
"2009-11-17",23.8425
"2009-11-18",23.5926
"2009-11-19",23.7963
"2009-11-20",23.6628
"2009-11-21",23.8163
"2009-11-22",23.958
"2009-11-23",23.8396
"2009-11-24",23.6945
"2009-11-25",23.871
"2009-11-26",21.5197
"2009-11-27",19.8274
"2009-11-28",21.9052
"2009-11-29",23.6064
"2009-11-30",23.3483
"2009-12-01",23.5373
"2009-12-02",23.5426
"2009-12-03",23.8804
"2009-12-04",23.7785
"2009-12-05",22.417
"2009-12-06",20.8347
"2009-12-07",22.0493
"2009-12-08",23.0455
"2009-12-09",22.1826
"2009-12-10",21.0621
"2009-12-11",23.2027
