,"(deg C) Mean Dew Point Temperature (ERA5) at Badulla, 2007-01-01 to 2025-12-31"
"2007-04-08",21.1295
"2007-04-09",21.3673
"2007-04-10",21.2077
"2007-04-11",21.5247
"2007-04-12",21.7969
"2007-04-13",21.4168
"2007-04-14",21.413
"2007-04-15",21.2961
"2007-04-16",20.9647
"2007-04-17",21.233
"2007-04-18",21.2421
"2007-04-19",21.5236
"2007-04-20",21.0103
"2007-04-21",20.9593
"2007-04-22",21.2431
"2007-04-23",21.5137
"2007-04-24",21.8305
"2007-04-25",21.4887
"2007-04-26",21.003
"2007-04-27",20.9118
"2007-04-28",21.1869
"2007-04-29",20.9826
"2007-04-30",21.5037
"2007-05-01",20.9115
"2007-05-02",21.6602
"2007-05-03",20.7992
"2007-05-04",21.5175
"2007-05-05",22.0258
"2007-05-06",22.3451
"2007-05-07",22.1526
"2007-05-08",21.9151
"2007-05-09",21.3382
"2007-05-10",21.4947
"2007-05-11",22.0496
"2007-05-12",21.4544
"2007-05-13",20.4951
"2007-05-14",19.201
"2007-05-15",17.477
"2007-05-16",17.7425
"2007-05-17",18.1806
"2007-05-18",20.4091
"2007-05-19",21.1803
"2007-05-20",21.2283
"2007-05-21",21.4508
"2007-05-22",21.6242
"2007-05-23",22.0897
"2007-05-24",21.5721
"2007-05-25",21.4721
"2007-05-26",21.0194
"2007-05-27",21.4947
"2007-05-28",20.1801
"2007-05-29",19.6534
"2007-05-30",20.3309
"2007-05-31",20.1112
"2007-06-01",19.9015
"2007-06-02",20.3428
"2007-06-03",20.1015
"2007-06-04",20.0875
"2007-06-05",20.6884
"2007-06-06",21.4872
"2007-06-07",21.3136
"2007-06-08",20.6374
"2007-06-09",19.8586
"2007-06-10",20.4775
"2007-06-11",20.3412
"2007-06-12",20.0527
"2007-06-13",20.1338
"2007-06-14",19.7614
"2007-06-15",20
"2007-06-16",20.4198
"2007-06-17",19.9785
"2007-06-18",19.2901
"2007-06-19",19.7707
"2007-06-20",19.6951
"2007-06-21",20.0419
"2007-06-22",19.7082
"2007-06-23",20.4208
"2007-06-24",20.8294
"2007-06-25",20.437
"2007-06-26",20.1822
"2007-06-27",20.2083
"2007-06-28",20.1139
"2007-06-29",19.7476
"2007-06-30",20.0571
"2007-07-01",19.9626
"2007-07-02",19.5214
"2007-07-03",19.9542
"2007-07-04",18.718
"2007-07-05",19.3897
"2007-07-06",19.6029
"2007-07-07",18.7634
"2007-07-08",18.5922
"2007-07-09",19.1563
"2007-07-10",18.7195
"2007-07-11",19.5005
"2007-07-12",20.0493
"2007-07-13",19.772
"2007-07-14",19.5666
"2007-07-15",19.0698
"2007-07-16",19.9228
"2007-07-17",19.6557
"2007-07-18",19.9347
"2007-07-19",20.4752
"2007-07-20",19.7899
"2007-07-21",18.9155
"2007-07-22",19.3956
"2007-07-23",20.2722
"2007-07-24",20.7913
"2007-07-25",19.1515
"2007-07-26",19.4885
"2007-07-27",18.9448
"2007-07-28",19.6945
"2007-07-29",20.0679
"2007-07-30",19.6823
"2007-07-31",19.2718
"2007-08-01",18.8121
"2007-08-02",18.9777
"2007-08-03",19.1319
"2007-08-04",19.0962
"2007-08-05",18.8805
"2007-08-06",18.2772
"2007-08-07",18.6981
"2007-08-08",18.7424
"2007-08-09",19.1072
"2007-08-10",19.7309
"2007-08-11",19.2213
"2007-08-12",19.2159
"2007-08-13",18.8296
"2007-08-14",18.4315
"2007-08-15",18.4893
"2007-08-16",19.0024
"2007-08-17",18.7001
"2007-08-18",19.1137
"2007-08-19",19.0178
"2007-08-20",18.7751
"2007-08-21",19.3329
"2007-08-22",18.569
"2007-08-23",19.4818
"2007-08-24",19.2916
"2007-08-25",19.6849
"2007-08-26",18.8855
"2007-08-27",18.4413
"2007-08-28",19.6915
"2007-08-29",19.8138
"2007-08-30",19.622
"2007-08-31",19.5501
"2007-09-01",18.8427
"2007-09-02",19.4866
"2007-09-03",19.1495
"2007-09-04",19.6894
"2007-09-05",20.2374
"2007-09-06",19.3077
"2007-09-07",20.837
"2007-09-08",21.0261
"2007-09-09",19.7184
"2007-09-10",20.2162
"2007-09-11",20.8951
"2007-09-12",20.8023
"2007-09-13",19.7119
"2007-09-14",19.7509
"2007-09-15",19.9702
"2007-09-16",20.3361
"2007-09-17",20.3185
"2007-09-18",19.7889
"2007-09-19",20.0823
"2007-09-20",20.0903
"2007-09-21",20.021
"2007-09-22",19.5642
"2007-09-23",19.6321
"2007-09-24",19.3392
"2007-09-25",19.3136
"2007-09-26",19.1582
"2007-09-27",19.3813
"2007-09-28",19.3332
"2007-09-29",18.5257
"2007-09-30",17.6203
"2007-10-01",18.3586
"2007-10-02",19.195
"2007-10-03",19.2747
"2007-10-04",19.0465
"2007-10-05",18.8604
"2007-10-06",18.6469
"2007-10-07",19.0538
"2007-10-08",19.2862
"2007-10-09",18.8319
"2007-10-10",20.0366
"2007-10-11",20.7567
"2007-10-12",20.4161
"2007-10-13",20.5531
"2007-10-14",20.8172
"2007-10-15",20.8119
"2007-10-16",20.7879
"2007-10-17",20.6847
"2007-10-18",20.413
"2007-10-19",20.4668
"2007-10-20",19.1785
"2007-10-21",19.1915
"2007-10-22",19.246
"2007-10-23",20.1182
"2007-10-24",21.093
"2007-10-25",21.0274
"2007-10-26",20.5347
"2007-10-27",19.9689
"2007-10-28",20.109
"2007-10-29",19.5868
"2007-10-30",19.3981
"2007-10-31",19.757
"2007-11-01",20.0248
"2007-11-02",20.2615
"2007-11-03",20.4206
"2007-11-04",20.6163
"2007-11-05",21.1359
"2007-11-06",20.5389
"2007-11-07",20.5539
"2007-11-08",20.0749
"2007-11-09",19.8744
"2007-11-10",19.1548
"2007-11-11",19.9137
"2007-11-12",20.1822
"2007-11-13",20.1381
"2007-11-14",18.1505
"2007-11-15",17.8883
"2007-11-16",17.6991
"2007-11-17",16.2343
"2007-11-18",18.7117
"2007-11-19",19.8743
"2007-11-20",20.5802
"2007-11-21",20.4301
"2007-11-22",20.5983
"2007-11-23",20.9767
"2007-11-24",20.8229
"2007-11-25",19.3442
"2007-11-26",18.1866
"2007-11-27",18.4242
"2007-11-28",19.6466
"2007-11-29",18.9811
"2007-11-30",17.5497
"2007-12-01",18.2555
"2007-12-02",19.1798
"2007-12-03",18.1512
"2007-12-04",19.1542
"2007-12-05",18.3691
"2007-12-06",18.5739
"2007-12-07",19.5098
"2007-12-08",19.9118
"2007-12-09",19.7095
"2007-12-10",19.2463
"2007-12-11",18.7195
"2007-12-12",19.5882
"2007-12-13",20.7435
"2007-12-14",20.8195
"2007-12-15",20.3633
"2007-12-16",20.2713
"2007-12-17",20.7337
"2007-12-18",21.292
"2007-12-19",20.974
"2007-12-20",20.72
"2007-12-21",20.2979
"2007-12-22",20.0042
"2007-12-23",19.8071
"2007-12-24",20.2402
"2007-12-25",17.9121
"2007-12-26",16.0448
"2007-12-27",17.3151
"2007-12-28",18.2869
"2007-12-29",17.2123
"2007-12-30",16.6963
"2007-12-31",16.703
"2008-01-01",17.8701
"2008-01-02",19.3661
"2008-01-03",20.4377
"2008-01-04",19.7485
"2008-01-05",20.091
"2008-01-06",20.1662
"2008-01-07",20.235
"2008-01-08",20.5236
"2008-01-09",20.5017
"2008-01-10",20.5135
"2008-01-11",20.4735
"2008-01-12",20.4257
"2008-01-13",20.054
"2008-01-14",17.003
"2008-01-15",16.2397
"2008-01-16",17.2102
"2008-01-17",17.1559
"2008-01-18",16.8059
"2008-01-19",16.7567
"2008-01-20",18.7784
"2008-01-21",20.5684
"2008-01-22",19.6457
"2008-01-23",17.6823
"2008-01-24",18.8923
"2008-01-25",19.7467
"2008-01-26",20.1726
"2008-01-27",20.1736
"2008-01-28",19.8573
"2008-01-29",19.3242
"2008-01-30",18.8957
"2008-01-31",19.0107
"2008-02-01",18.8466
"2008-02-02",19.2578
"2008-02-03",18.3218
"2008-02-04",18.1351
"2008-02-05",19.0488
"2008-02-06",20.3889
"2008-02-07",20.3951
"2008-02-08",20.6026
"2008-02-09",20.7882
"2008-02-10",20.6071
"2008-02-11",20.1855
"2008-02-12",19.8826
"2008-02-13",19.7708
"2008-02-14",19.625
"2008-02-15",19.9539
"2008-02-16",19.8693
"2008-02-17",18.5585
"2008-02-18",17.633
"2008-02-19",18.1364
"2008-02-20",19.3768
"2008-02-21",19.3369
"2008-02-22",17.7548
"2008-02-23",15.8146
"2008-02-24",15.2122
"2008-02-25",13.9377
"2008-02-26",17.8177
"2008-02-27",20.3421
"2008-02-28",20.1055
"2008-02-29",20.2385
"2008-03-01",19.0898
"2008-03-02",19.3755
"2008-03-03",19.6401
"2008-03-04",19.6764
"2008-03-05",20.0393
"2008-03-06",19.6084
"2008-03-07",18.6798
"2008-03-08",17.456
"2008-03-09",19.8228
"2008-03-10",20.1397
"2008-03-11",20.3166
"2008-03-12",20.399
"2008-03-13",20.534
"2008-03-14",20.5374
"2008-03-15",20.3772
"2008-03-16",20.4304
"2008-03-17",20.6428
"2008-03-18",20.5906
"2008-03-19",20.5616
"2008-03-20",20.5269
"2008-03-21",20.9487
"2008-03-22",21.1177
"2008-03-23",21.2638
"2008-03-24",20.4996
"2008-03-25",20.0309
"2008-03-26",19.5851
"2008-03-27",20.2237
"2008-03-28",20.0902
"2008-03-29",20.6911
"2008-03-30",20.8753
"2008-03-31",20.7234
"2008-04-01",20.8394
"2008-04-02",20.1341
"2008-04-03",20.2358
"2008-04-04",20.3309
"2008-04-05",20.0908
"2008-04-06",20.1724
"2008-04-07",19.9853
"2008-04-08",20.0469
"2008-04-09",19.8499
"2008-04-10",20.5952
"2008-04-11",21.3838
"2008-04-12",20.5411
"2008-04-13",20.9584
"2008-04-14",20.7218
"2008-04-15",20.6179
"2008-04-16",21.0807
"2008-04-17",20.2393
"2008-04-18",20.7317
"2008-04-19",20.6178
"2008-04-20",20.2045
"2008-04-21",20.3342
"2008-04-22",20.1197
"2008-04-23",20.5935
"2008-04-24",20.4714
"2008-04-25",20.3731
"2008-04-26",20.6526
"2008-04-27",21.3686
"2008-04-28",20.5034
"2008-04-29",21.085
"2008-04-30",22.0521
"2008-05-01",21.8987
"2008-05-02",21.3141
"2008-05-03",21.5704
"2008-05-04",21.7073
"2008-05-05",20.8925
"2008-05-06",21.0389
"2008-05-07",20.5599
"2008-05-08",20.6766
"2008-05-09",19.3876
"2008-05-10",19.5698
"2008-05-11",21.0439
"2008-05-12",20.9565
"2008-05-13",20.2416
"2008-05-14",20.0931
"2008-05-15",20.302
"2008-05-16",20.7661
"2008-05-17",20.578
"2008-05-18",20.9395
"2008-05-19",20.4931
"2008-05-20",20.1209
"2008-05-21",20.2095
"2008-05-22",20.1148
"2008-05-23",20.3176
"2008-05-24",20.0652
"2008-05-25",20.3657
"2008-05-26",20.3004
"2008-05-27",19.8914
"2008-05-28",20.8914
"2008-05-29",20.0883
"2008-05-30",20.1247
"2008-05-31",19.9963
"2008-06-01",20.0091
"2008-06-02",19.3738
"2008-06-03",19.5349
"2008-06-04",19.7638
"2008-06-05",19.4858
"2008-06-06",20.0947
"2008-06-07",20.0947
"2008-06-08",20.3568
"2008-06-09",20.5313
"2008-06-10",19.8908
"2008-06-11",19.5465
"2008-06-12",19.4203
"2008-06-13",18.9019
"2008-06-14",18.9251
"2008-06-15",19.1
"2008-06-16",18.7631
"2008-06-17",17.4889
"2008-06-18",18.6633
"2008-06-19",19.0384
"2008-06-20",19.1948
"2008-06-21",19.2855
"2008-06-22",19.5522
"2008-06-23",19.3528
"2008-06-24",19.3506
"2008-06-25",19.6151
"2008-06-26",19.406
"2008-06-27",18.8236
"2008-06-28",17.4742
"2008-06-29",18.9816
"2008-06-30",19.1638
"2008-07-01",18.9415
"2008-07-02",17.9732
"2008-07-03",17.516
"2008-07-04",19.3989
"2008-07-05",19.688
"2008-07-06",19.5093
"2008-07-07",19.2162
"2008-07-08",19.1363
"2008-07-09",18.8866
"2008-07-10",19.0345
"2008-07-11",18.4017
"2008-07-12",18.8012
"2008-07-13",18.0129
"2008-07-14",19.1141
"2008-07-15",19.447
"2008-07-16",19.5564
"2008-07-17",18.8786
"2008-07-18",19.2308
"2008-07-19",20.0882
"2008-07-20",19.3668
"2008-07-21",19.6147
"2008-07-22",19.4363
"2008-07-23",20.1747
"2008-07-24",19.5371
"2008-07-25",19.2984
"2008-07-26",19.0612
"2008-07-27",18.5859
"2008-07-28",18.7251
"2008-07-29",18.0878
"2008-07-30",18.303
"2008-07-31",18.4835
"2008-08-01",19.0389
"2008-08-02",19.1994
"2008-08-03",19.9319
"2008-08-04",19.5243
"2008-08-05",19.1733
"2008-08-06",18.6304
"2008-08-07",18.2833
"2008-08-08",17.9721
"2008-08-09",18.5869
"2008-08-10",18.932
"2008-08-11",18.7912
"2008-08-12",18.1982
"2008-08-13",18.3597
"2008-08-14",18.9515
"2008-08-15",19.1169
"2008-08-16",18.9515
"2008-08-17",18.3773
"2008-08-18",19.0943
"2008-08-19",19.1213
"2008-08-20",18.7231
"2008-08-21",18.7054
"2008-08-22",18.5386
"2008-08-23",18.7149
"2008-08-24",18.3091
"2008-08-25",19.1761
"2008-08-26",19.6522
"2008-08-27",20.0885
"2008-08-28",20.5426
"2008-08-29",20.7579
"2008-08-30",20.514
"2008-08-31",20.2412
"2008-09-01",20.4165
"2008-09-02",19.7255
"2008-09-03",19.4792
"2008-09-04",20.194
"2008-09-05",20.2133
"2008-09-06",20.2154
"2008-09-07",19.8724
"2008-09-08",19.1523
"2008-09-09",19.6212
"2008-09-10",19.4658
"2008-09-11",19.6252
"2008-09-12",20.2071
"2008-09-13",19.576
"2008-09-14",19.2349
"2008-09-15",19.0391
"2008-09-16",19.0568
"2008-09-17",18.5745
"2008-09-18",18.8592
"2008-09-19",18.4917
"2008-09-20",18.2977
"2008-09-21",18.2176
"2008-09-22",18.8365
"2008-09-23",18.7026
"2008-09-24",19.0221
"2008-09-25",17.9477
"2008-09-26",19.0424
"2008-09-27",19.0119
"2008-09-28",18.8769
"2008-09-29",18.7255
"2008-09-30",16.1835
"2008-10-01",16.55
"2008-10-02",17.9118
"2008-10-03",17.7309
"2008-10-04",18.0979
"2008-10-05",19.2887
"2008-10-06",20.1136
"2008-10-07",20.1331
"2008-10-08",19.7698
"2008-10-09",19.9931
"2008-10-10",20.0116
"2008-10-11",19.9731
"2008-10-12",20.2853
"2008-10-13",20.5982
"2008-10-14",20.5696
"2008-10-15",20.9344
"2008-10-16",21.3808
"2008-10-17",21.1834
"2008-10-18",21.0341
"2008-10-19",21.0374
"2008-10-20",21.1798
"2008-10-21",21.3202
"2008-10-22",20.6686
"2008-10-23",20.6082
"2008-10-24",20.7355
"2008-10-25",19.9496
"2008-10-26",20.7917
"2008-10-27",20.8278
"2008-10-28",20.2131
"2008-10-29",19.6641
"2008-10-30",18.8956
"2008-10-31",18.3131
"2008-11-01",16.869
"2008-11-02",16.0383
"2008-11-03",16.4665
"2008-11-04",17.6221
"2008-11-05",16.331
"2008-11-06",16.192
"2008-11-07",17.3031
"2008-11-08",19.1099
"2008-11-09",19.912
"2008-11-10",20.1734
"2008-11-11",20.6162
"2008-11-12",20.2654
"2008-11-13",20.8864
"2008-11-14",20.2609
"2008-11-15",19.75
"2008-11-16",19.1918
"2008-11-17",18.7479
"2008-11-18",19.6497
"2008-11-19",20.1879
"2008-11-20",21.1204
"2008-11-21",20.7318
"2008-11-22",20.6355
"2008-11-23",20.9205
"2008-11-24",21.0232
"2008-11-25",20.9822
"2008-11-26",20.3602
"2008-11-27",20.4865
"2008-11-28",21.0067
"2008-11-29",21.1527
"2008-11-30",20.8538
"2008-12-01",20.5037
"2008-12-02",20.3151
"2008-12-03",18.8048
"2008-12-04",19.9854
"2008-12-05",20.2149
"2008-12-06",20.0981
"2008-12-07",19.5984
"2008-12-08",21.1167
"2008-12-09",21.341
"2008-12-10",21.061
"2008-12-11",21.0666
"2008-12-12",20.292
"2008-12-13",18.5968
"2008-12-14",19.4487
"2008-12-15",19.9196
"2008-12-16",20.0724
"2008-12-17",20.2686
"2008-12-18",20.3255
"2008-12-19",20.8085
"2008-12-20",20.8094
"2008-12-21",18.9933
"2008-12-22",17.309
"2008-12-23",18.8145
"2008-12-24",19.3797
"2008-12-25",19.4335
"2008-12-26",18.5862
"2008-12-27",17.9179
"2008-12-28",18.2565
"2008-12-29",16.7419
"2008-12-30",16.1843
"2008-12-31",15.9857
"2009-01-01",15.6292
"2009-01-02",16.2526
"2009-01-03",16.5561
"2009-01-04",18.6396
"2009-01-05",19.3057
"2009-01-06",18.3688
"2009-01-07",19.903
"2009-01-08",19.5124
"2009-01-09",20.2246
"2009-01-10",19.7094
"2009-01-11",18.0438
"2009-01-12",17.8443
"2009-01-13",18.8441
"2009-01-14",18.491
"2009-01-15",17.8707
"2009-01-16",17.3572
"2009-01-17",17.998
"2009-01-18",17.5884
"2009-01-19",17.7097
"2009-01-20",18.5285
"2009-01-21",17.1142
"2009-01-22",16.6324
"2009-01-23",17.0576
"2009-01-24",16.8949
"2009-01-25",19.385
"2009-01-26",20.6105
"2009-01-27",19.9683
"2009-01-28",19.891
"2009-01-29",17.8305
"2009-01-30",13.9237
"2009-01-31",16.2877
"2009-02-01",17.317
"2009-02-02",17.7894
"2009-02-03",15.1637
"2009-02-04",15.7165
"2009-02-05",15.1318
"2009-02-06",15.0642
"2009-02-07",14.7871
"2009-02-08",15.5829
"2009-02-09",15.0455
"2009-02-10",17.2418
"2009-02-11",18.4476
"2009-02-12",15.4256
"2009-02-13",13.6285
"2009-02-14",13.5656
"2009-02-15",15.1691
"2009-02-16",17.0193
"2009-02-17",16.5326
"2009-02-18",16.0682
"2009-02-19",18.2681
"2009-02-20",19.6754
"2009-02-21",19.7252
"2009-02-22",20.0323
"2009-02-23",20.1933
"2009-02-24",20.3829
"2009-02-25",18.9912
"2009-02-26",18.2787
"2009-02-27",17.3642
"2009-02-28",16.4413
"2009-03-01",13.6413
"2009-03-02",10.3048
"2009-03-03",9.9751
"2009-03-04",13.7388
"2009-03-05",16.6884
"2009-03-06",17.3629
"2009-03-07",17.4713
"2009-03-08",18.2604
"2009-03-09",20.7727
"2009-03-10",20.5585
"2009-03-11",20.3786
"2009-03-12",20.3777
"2009-03-13",20.1486
"2009-03-14",19.9091
"2009-03-15",20.106
"2009-03-16",19.8697
"2009-03-17",19.7355
"2009-03-18",19.929
"2009-03-19",20.4278
"2009-03-20",19.572
"2009-03-21",19.1531
"2009-03-22",19.2352
"2009-03-23",20.5842
"2009-03-24",19.969
"2009-03-25",20.2355
"2009-03-26",20.6749
"2009-03-27",20.5823
"2009-03-28",20.5629
"2009-03-29",20.2054
"2009-03-30",20.028
"2009-03-31",20.5585
"2009-04-01",20.903
"2009-04-02",20.262
"2009-04-03",20.2687
"2009-04-04",20.7339
"2009-04-05",20.8146
"2009-04-06",20.676
"2009-04-07",20.749
"2009-04-08",20.8363
"2009-04-09",20.9354
"2009-04-10",20.8306
"2009-04-11",21.4526
"2009-04-12",21.8496
"2009-04-13",21.014
"2009-04-14",20.6222
"2009-04-15",20.8054
"2009-04-16",20.8929
"2009-04-17",21.2638
"2009-04-18",21.5634
"2009-04-19",21.6233
"2009-04-20",20.8173
"2009-04-21",20.3407
"2009-04-22",21.4329
"2009-04-23",21.3074
"2009-04-24",21.1122
"2009-04-25",20.8194
"2009-04-26",20.1148
"2009-04-27",19.9003
"2009-04-28",19.5452
"2009-04-29",20.1955
"2009-04-30",19.961
"2009-05-01",19.8461
"2009-05-02",20.7806
"2009-05-03",21.7211
"2009-05-04",19.3465
"2009-05-05",20.0214
"2009-05-06",20.1939
"2009-05-07",20.625
"2009-05-08",20.4042
"2009-05-09",20.7437
"2009-05-10",20.227
"2009-05-11",20.1854
"2009-05-12",19.6693
"2009-05-13",20.1249
"2009-05-14",20.1875
"2009-05-15",20.2396
"2009-05-16",20.2707
"2009-05-17",20.3495
"2009-05-18",20.2771
"2009-05-19",20.4155
"2009-05-20",20.1849
"2009-05-21",20.1064
"2009-05-22",20.698
"2009-05-23",21.0725
"2009-05-24",21.313
"2009-05-25",19.7477
"2009-05-26",20.8093
"2009-05-27",20.2446
"2009-05-28",20.2901
"2009-05-29",20.0826
"2009-05-30",20.377
"2009-05-31",20.6851
"2009-06-01",19.9564
"2009-06-02",19.5688
"2009-06-03",20.1341
"2009-06-04",20.4596
"2009-06-05",20.2881
"2009-06-06",17.7481
"2009-06-07",19.777
"2009-06-08",19.3722
"2009-06-09",19.2831
"2009-06-10",19.697
"2009-06-11",19.819
"2009-06-12",19.035
"2009-06-13",18.8467
"2009-06-14",19.0416
"2009-06-15",19.2266
"2009-06-16",19.6257
"2009-06-17",19.8479
"2009-06-18",19.6872
"2009-06-19",19.4543
"2009-06-20",19.1823
"2009-06-21",19.2579
"2009-06-22",19.4122
"2009-06-23",19.1386
"2009-06-24",19.9933
"2009-06-25",20.0568
"2009-06-26",19.1287
"2009-06-27",19.5317
"2009-06-28",19.4923
"2009-06-29",19.6724
"2009-06-30",19.6031
"2009-07-01",19.2118
"2009-07-02",19.3728
"2009-07-03",19.0255
"2009-07-04",19.0184
"2009-07-05",19.0893
"2009-07-06",18.7875
"2009-07-07",18.861
"2009-07-08",18.6409
"2009-07-09",18.506
"2009-07-10",18.7492
"2009-07-11",18.5401
"2009-07-12",18.8094
"2009-07-13",18.6237
"2009-07-14",19.181
"2009-07-15",18.81
"2009-07-16",19.0273
"2009-07-17",18.3731
"2009-07-18",18.3498
"2009-07-19",18.5951
"2009-07-20",18.9154
"2009-07-21",18.6702
"2009-07-22",18.5427
"2009-07-23",18.6587
"2009-07-24",18.9816
"2009-07-25",18.7671
"2009-07-26",19.4669
"2009-07-27",19.0445
"2009-07-28",18.6349
"2009-07-29",18.9388
"2009-07-30",19.4779
"2009-07-31",19.3208
"2009-08-01",19.0393
"2009-08-02",18.8783
"2009-08-03",18.5658
"2009-08-04",19.0502
"2009-08-05",18.7147
"2009-08-06",19.1103
"2009-08-07",18.9882
"2009-08-08",18.7626
"2009-08-09",18.7239
"2009-08-10",18.479
"2009-08-11",18.9066
"2009-08-12",18.8496
"2009-08-13",19.7587
"2009-08-14",20.2605
"2009-08-15",19.5489
"2009-08-16",20.3996
"2009-08-17",20.047
"2009-08-18",20.3894
"2009-08-19",20.8301
"2009-08-20",21.152
"2009-08-21",21.0473
"2009-08-22",20.2871
"2009-08-23",19.6562
"2009-08-24",19.7133
"2009-08-25",19.4105
"2009-08-26",19.8697
"2009-08-27",20.48
"2009-08-28",20.2319
"2009-08-29",19.7073
"2009-08-30",19.4883
"2009-08-31",19.516
"2009-09-01",19.8256
"2009-09-02",19.8737
"2009-09-03",19.3988
"2009-09-04",19.4836
"2009-09-05",19.2253
"2009-09-06",19.5438
"2009-09-07",19.4749
"2009-09-08",19.4939
"2009-09-09",19.1872
"2009-09-10",19.1461
"2009-09-11",18.8165
"2009-09-12",19.2121
"2009-09-13",20.357
"2009-09-14",18.5857
"2009-09-15",18.6926
"2009-09-16",18.8564
"2009-09-17",18.9836
"2009-09-18",19.4743
"2009-09-19",18.9029
"2009-09-20",19.2542
"2009-09-21",20.3438
"2009-09-22",19.9086
"2009-09-23",19.7082
"2009-09-24",19.1586
"2009-09-25",18.7096
"2009-09-26",18.4434
"2009-09-27",18.4558
"2009-09-28",19.1702
"2009-09-29",19.712
"2009-09-30",19.5625
"2009-10-01",19.5839
"2009-10-02",19.5315
"2009-10-03",19.203
"2009-10-04",18.5679
"2009-10-05",17.1518
"2009-10-06",18.0897
"2009-10-07",18.747
"2009-10-08",18.8384
"2009-10-09",18.9144
"2009-10-10",19.2088
"2009-10-11",19.5598
"2009-10-12",20.0227
"2009-10-13",20.1614
"2009-10-14",19.787
"2009-10-15",18.1264
"2009-10-16",19.1774
"2009-10-17",19.331
"2009-10-18",20.2073
"2009-10-19",19.7494
"2009-10-20",19.8393
"2009-10-21",18.3748
"2009-10-22",17.4269
"2009-10-23",16.7816
"2009-10-24",17.4419
"2009-10-25",18.0779
"2009-10-26",18.213
"2009-10-27",19.3249
"2009-10-28",20.2766
"2009-10-29",20.4832
"2009-10-30",20.386
"2009-10-31",20.274
"2009-11-01",20.4511
"2009-11-02",19.9263
"2009-11-03",20.8279
"2009-11-04",20.9734
"2009-11-05",21.037
"2009-11-06",21.475
"2009-11-07",21.4378
"2009-11-08",21.2359
"2009-11-09",21.099
"2009-11-10",20.3648
"2009-11-11",20.7083
"2009-11-12",20.7958
"2009-11-13",21.1614
"2009-11-14",20.8643
"2009-11-15",20.5522
"2009-11-16",20.9969
"2009-11-17",21.12
"2009-11-18",20.7336
"2009-11-19",20.255
"2009-11-20",20.4335
"2009-11-21",20.6336
"2009-11-22",20.5791
"2009-11-23",20.1947
"2009-11-24",20.1701
"2009-11-25",19.7191
"2009-11-26",18.7886
"2009-11-27",17.8698
"2009-11-28",19.5492
"2009-11-29",20.4335
"2009-11-30",20.6094
"2009-12-01",20.8953
"2009-12-02",20.4908
"2009-12-03",20.6349
"2009-12-04",19.9551
"2009-12-05",19.9229
"2009-12-06",20.1159
"2009-12-07",21.1558
"2009-12-08",21.0442
"2009-12-09",20.8269
"2009-12-10",20.6416
"2009-12-11",21.1827
"2009-12-12",21.4313
