,"(deg C) Mean Dew Point Temperature (ERA5) at Colombo, 2007-01-01 to 2025-12-31"
"2008-07-13",24.1201
"2008-07-14",24.6993
"2008-07-15",24.2454
"2008-07-16",23.8137
"2008-07-17",23.9285
"2008-07-18",24.1363
"2008-07-19",24.3112
"2008-07-20",23.8245
"2008-07-21",24.1526
"2008-07-22",24.3176
"2008-07-23",24.1869
"2008-07-24",23.7273
"2008-07-25",23.9875
"2008-07-26",24.231
"2008-07-27",24.1191
"2008-07-28",24.1543
"2008-07-29",23.7003
"2008-07-30",24.0237
"2008-07-31",24.1404
"2008-08-01",24.3901
"2008-08-02",24.5702
"2008-08-03",24.6075
"2008-08-04",24.3019
"2008-08-05",24.5384
"2008-08-06",24.3587
"2008-08-07",24.1985
"2008-08-08",24.2741
"2008-08-09",24.3074
"2008-08-10",24.4797
"2008-08-11",24.6575
"2008-08-12",24.5698
"2008-08-13",24.2469
"2008-08-14",24.3537
"2008-08-15",24.3143
"2008-08-16",24.176
"2008-08-17",23.9146
"2008-08-18",24.4098
"2008-08-19",24.1092
"2008-08-20",24.1875
"2008-08-21",24.418
"2008-08-22",23.9307
"2008-08-23",24.4331
"2008-08-24",24.2643
"2008-08-25",24.3347
"2008-08-26",24.3049
"2008-08-27",24.1128
"2008-08-28",23.9889
"2008-08-29",24.0109
"2008-08-30",23.4869
"2008-08-31",23.3479
"2008-09-01",23.756
"2008-09-02",24.1286
"2008-09-03",23.7992
"2008-09-04",24.7277
"2008-09-05",23.739
"2008-09-06",23.9504
"2008-09-07",23.3922
"2008-09-08",23.6992
"2008-09-09",24.243
"2008-09-10",24.4637
"2008-09-11",24.4356
"2008-09-12",24.3803
"2008-09-13",24.3737
"2008-09-14",24.3683
"2008-09-15",24.1177
"2008-09-16",24.4874
"2008-09-17",23.9438
"2008-09-18",24.2016
"2008-09-19",24.1091
"2008-09-20",23.6611
"2008-09-21",23.5504
"2008-09-22",24.167
"2008-09-23",23.9272
"2008-09-24",23.7536
"2008-09-25",23.7386
"2008-09-26",24.5927
"2008-09-27",24.6075
"2008-09-28",24.3054
"2008-09-29",24.0698
"2008-09-30",22.706
"2008-10-01",22.5207
"2008-10-02",22.9362
"2008-10-03",22.8661
"2008-10-04",23.3131
"2008-10-05",23.6392
"2008-10-06",24.1521
"2008-10-07",23.813
"2008-10-08",23.4362
"2008-10-09",23.4435
"2008-10-10",23.8218
"2008-10-11",23.8123
"2008-10-12",23.6608
"2008-10-13",23.8819
"2008-10-14",23.8719
"2008-10-15",24.0394
"2008-10-16",24.4757
"2008-10-17",24.0473
"2008-10-18",24.2365
"2008-10-19",24.1252
"2008-10-20",24.3596
"2008-10-21",24.1015
"2008-10-22",23.7606
"2008-10-23",24.1932
"2008-10-24",24.2749
"2008-10-25",23.9319
"2008-10-26",24.5468
"2008-10-27",24.6664
"2008-10-28",24.7281
"2008-10-29",24.3697
"2008-10-30",22.6947
"2008-10-31",22.5598
"2008-11-01",21.7053
"2008-11-02",21.7436
"2008-11-03",21.637
"2008-11-04",21.9904
"2008-11-05",21.4123
"2008-11-06",21.0666
"2008-11-07",22.2226
"2008-11-08",23.4445
"2008-11-09",23.9156
"2008-11-10",23.9636
"2008-11-11",24.0743
"2008-11-12",23.7507
"2008-11-13",23.5189
"2008-11-14",23.843
"2008-11-15",24.1233
"2008-11-16",23.6581
"2008-11-17",23.0115
"2008-11-18",23.4802
"2008-11-19",23.9088
"2008-11-20",24.4122
"2008-11-21",24.18
"2008-11-22",24.0113
"2008-11-23",24.0952
"2008-11-24",23.8144
"2008-11-25",23.934
"2008-11-26",23.874
"2008-11-27",24.6179
"2008-11-28",24.5114
"2008-11-29",24.5029
"2008-11-30",23.2874
"2008-12-01",23.3985
"2008-12-02",24.3534
"2008-12-03",23.0095
"2008-12-04",23.1976
"2008-12-05",23.6615
"2008-12-06",23.67
"2008-12-07",22.7977
"2008-12-08",23.908
"2008-12-09",24.1468
"2008-12-10",24.0016
"2008-12-11",24.0706
"2008-12-12",23.3582
"2008-12-13",22.4838
"2008-12-14",23.048
"2008-12-15",23.2827
"2008-12-16",23.5807
"2008-12-17",23.4728
"2008-12-18",23.3259
"2008-12-19",24.0563
"2008-12-20",24.0666
"2008-12-21",22.2241
"2008-12-22",21.325
"2008-12-23",21.7387
"2008-12-24",22.2898
"2008-12-25",22.5138
"2008-12-26",21.6831
"2008-12-27",21.4145
"2008-12-28",21.2482
"2008-12-29",19.6338
"2008-12-30",18.8986
"2008-12-31",18.4333
"2009-01-01",18.3032
"2009-01-02",18.8294
"2009-01-03",18.8477
"2009-01-04",20.2898
"2009-01-05",20.5806
"2009-01-06",19.9011
"2009-01-07",20.2674
"2009-01-08",21.4582
"2009-01-09",23.0232
"2009-01-10",22.4419
"2009-01-11",20.6539
"2009-01-12",19.8206
"2009-01-13",20.8114
"2009-01-14",20.6805
"2009-01-15",19.5588
"2009-01-16",19.0319
"2009-01-17",19.2782
"2009-01-18",19.2808
"2009-01-19",18.8558
"2009-01-20",19.6033
"2009-01-21",18.5387
"2009-01-22",17.8306
"2009-01-23",18.5735
"2009-01-24",18.9263
"2009-01-25",21.3059
"2009-01-26",23.1844
"2009-01-27",23.6785
"2009-01-28",23.4499
"2009-01-29",21.8782
"2009-01-30",19.4963
"2009-01-31",19.8717
"2009-02-01",20.6608
"2009-02-02",19.7892
"2009-02-03",19.2326
"2009-02-04",19.4056
"2009-02-05",17.5742
"2009-02-06",18.3936
"2009-02-07",17.7421
"2009-02-08",17.2887
"2009-02-09",17.3744
"2009-02-10",18.9831
"2009-02-11",18.2476
"2009-02-12",19.461
"2009-02-13",17.7451
"2009-02-14",17.7356
"2009-02-15",19.9727
"2009-02-16",20.5004
"2009-02-17",17.8167
"2009-02-18",17.7245
"2009-02-19",19.5002
"2009-02-20",21.8833
"2009-02-21",22.2227
"2009-02-22",23.2706
"2009-02-23",23.5657
"2009-02-24",23.9304
"2009-02-25",23.9318
"2009-02-26",23.9473
"2009-02-27",23.5589
"2009-02-28",23.3953
"2009-03-01",23.1276
"2009-03-02",21.2198
"2009-03-03",21.5032
"2009-03-04",22.4958
"2009-03-05",22.9244
"2009-03-06",23.4811
"2009-03-07",23.562
"2009-03-08",23.3578
"2009-03-09",23.3819
"2009-03-10",23.5903
"2009-03-11",23.3894
"2009-03-12",23.4196
"2009-03-13",23.738
"2009-03-14",23.5208
"2009-03-15",23.4163
"2009-03-16",23.4695
"2009-03-17",23.71
"2009-03-18",23.899
"2009-03-19",24.01
"2009-03-20",24.0346
"2009-03-21",24.0699
"2009-03-22",24.1511
"2009-03-23",24.1717
"2009-03-24",23.3207
"2009-03-25",23.4774
"2009-03-26",23.7887
"2009-03-27",23.8235
"2009-03-28",23.7129
"2009-03-29",23.7558
"2009-03-30",23.6046
"2009-03-31",24.0128
"2009-04-01",24.0733
"2009-04-02",23.7227
"2009-04-03",23.6283
"2009-04-04",24.0931
"2009-04-05",24.331
"2009-04-06",24.2563
"2009-04-07",24.1736
"2009-04-08",24.105
"2009-04-09",24.2828
"2009-04-10",24.3397
"2009-04-11",24.4306
"2009-04-12",24.8544
"2009-04-13",24.8217
"2009-04-14",25.8019
"2009-04-15",25.7482
"2009-04-16",25.6369
"2009-04-17",25.328
"2009-04-18",25.8073
"2009-04-19",25.2549
"2009-04-20",24.8867
"2009-04-21",24.3923
"2009-04-22",24.8437
"2009-04-23",25.383
"2009-04-24",25.2621
"2009-04-25",25.1446
"2009-04-26",25.2166
"2009-04-27",24.8117
"2009-04-28",24.6764
"2009-04-29",24.9248
"2009-04-30",24.7165
"2009-05-01",24.8219
"2009-05-02",25.9714
"2009-05-03",25.8933
"2009-05-04",25.6422
"2009-05-05",25.2105
"2009-05-06",25.4452
"2009-05-07",25.8588
"2009-05-08",25.3768
"2009-05-09",25.8862
"2009-05-10",26.0048
"2009-05-11",26.1912
"2009-05-12",25.9792
"2009-05-13",25.6667
"2009-05-14",25.6619
"2009-05-15",25.6766
"2009-05-16",25.8025
"2009-05-17",25.3989
"2009-05-18",24.9822
"2009-05-19",25.362
"2009-05-20",25.0225
"2009-05-21",25.2589
"2009-05-22",25.0897
"2009-05-23",25.2417
"2009-05-24",25.2972
"2009-05-25",24.981
"2009-05-26",25.3116
"2009-05-27",25.3612
"2009-05-28",25.3704
"2009-05-29",25.707
"2009-05-30",25.3738
"2009-05-31",25.3885
"2009-06-01",25.5769
"2009-06-02",25.4626
"2009-06-03",26.0627
"2009-06-04",25.6789
"2009-06-05",25.2332
"2009-06-06",24.4616
"2009-06-07",25.1988
"2009-06-08",25.0215
"2009-06-09",25.1731
"2009-06-10",25.3128
"2009-06-11",24.4858
"2009-06-12",24.2197
"2009-06-13",24.7059
"2009-06-14",25.0982
"2009-06-15",24.8773
"2009-06-16",24.6805
"2009-06-17",24.7766
"2009-06-18",24.2871
"2009-06-19",24.3356
"2009-06-20",24.453
"2009-06-21",24.9501
"2009-06-22",24.7872
"2009-06-23",24.8944
"2009-06-24",24.8973
"2009-06-25",24.7409
"2009-06-26",24.1513
"2009-06-27",24.6149
"2009-06-28",24.8806
"2009-06-29",24.4227
"2009-06-30",24.2161
"2009-07-01",24.1518
"2009-07-02",24.1011
"2009-07-03",24.064
"2009-07-04",24.4853
"2009-07-05",24.4242
"2009-07-06",24.3582
"2009-07-07",24.55
"2009-07-08",24.1705
"2009-07-09",24.2764
"2009-07-10",24.7507
"2009-07-11",25.0327
"2009-07-12",24.7183
"2009-07-13",24.7567
"2009-07-14",24.931
"2009-07-15",24.9313
"2009-07-16",24.2208
"2009-07-17",23.8243
"2009-07-18",24.6644
"2009-07-19",24.684
"2009-07-20",24.443
"2009-07-21",24.9015
"2009-07-22",24.7645
"2009-07-23",24.6476
"2009-07-24",25.1566
"2009-07-25",24.571
"2009-07-26",24.5669
"2009-07-27",24.6594
"2009-07-28",24.6207
"2009-07-29",24.5366
"2009-07-30",24.6775
"2009-07-31",24.7247
"2009-08-01",24.5655
"2009-08-02",24.9373
"2009-08-03",24.8364
"2009-08-04",24.7305
"2009-08-05",24.6702
"2009-08-06",24.795
"2009-08-07",24.7734
"2009-08-08",24.5492
"2009-08-09",24.7049
"2009-08-10",24.8376
"2009-08-11",24.854
"2009-08-12",24.6579
"2009-08-13",25.141
"2009-08-14",24.9682
"2009-08-15",24.7269
"2009-08-16",24.6372
"2009-08-17",23.8452
"2009-08-18",24.237
"2009-08-19",24.1142
"2009-08-20",23.7682
"2009-08-21",23.7178
"2009-08-22",23.7344
"2009-08-23",24.1583
"2009-08-24",24.5714
"2009-08-25",24.3496
"2009-08-26",24.3449
"2009-08-27",24.4503
"2009-08-28",24.448
"2009-08-29",24.9485
"2009-08-30",24.7478
"2009-08-31",24.3514
"2009-09-01",24.5155
"2009-09-02",24.2481
"2009-09-03",24.5959
"2009-09-04",24.4497
"2009-09-05",24.8128
"2009-09-06",24.4901
"2009-09-07",24.5724
"2009-09-08",24.4295
"2009-09-09",24.6926
"2009-09-10",24.5555
"2009-09-11",24.2388
"2009-09-12",24.5988
"2009-09-13",25.0094
"2009-09-14",24.2899
"2009-09-15",24.6535
"2009-09-16",24.8732
"2009-09-17",24.6526
"2009-09-18",24.1649
"2009-09-19",24.5665
"2009-09-20",24.517
"2009-09-21",24.2448
"2009-09-22",23.9775
"2009-09-23",24.4776
"2009-09-24",24.3191
"2009-09-25",24.5859
"2009-09-26",24.2098
"2009-09-27",24.3147
"2009-09-28",24.4129
"2009-09-29",24.2813
"2009-09-30",24.6584
"2009-10-01",24.6368
"2009-10-02",24.2577
"2009-10-03",24.8148
"2009-10-04",24.6628
"2009-10-05",24.0338
"2009-10-06",24.0719
"2009-10-07",24.6154
"2009-10-08",24.6797
"2009-10-09",24.0983
"2009-10-10",23.9088
"2009-10-11",23.9914
"2009-10-12",23.8635
"2009-10-13",23.3342
"2009-10-14",23.5704
"2009-10-15",23.8176
"2009-10-16",24.3297
"2009-10-17",24.1475
"2009-10-18",24.4065
"2009-10-19",24.3232
"2009-10-20",23.9575
"2009-10-21",23.9576
"2009-10-22",23.3142
"2009-10-23",23.1422
"2009-10-24",23.6159
"2009-10-25",23.548
"2009-10-26",23.5227
"2009-10-27",24.0156
"2009-10-28",24.3747
"2009-10-29",24.0806
"2009-10-30",24.6386
"2009-10-31",24.0742
"2009-11-01",24.11
"2009-11-02",23.6992
"2009-11-03",24.0863
"2009-11-04",24.1469
"2009-11-05",24.3219
"2009-11-06",24.4154
"2009-11-07",24.2207
"2009-11-08",24.0737
"2009-11-09",24.1938
"2009-11-10",23.9592
"2009-11-11",24.5172
"2009-11-12",25.1001
"2009-11-13",24.6143
"2009-11-14",24.2191
"2009-11-15",24.0363
"2009-11-16",24.4672
"2009-11-17",24.0495
"2009-11-18",23.509
"2009-11-19",23.6818
"2009-11-20",23.4229
"2009-11-21",23.7169
"2009-11-22",23.6449
"2009-11-23",23.6924
"2009-11-24",23.7673
"2009-11-25",23.229
"2009-11-26",22.5442
"2009-11-27",21.183
"2009-11-28",22.7536
"2009-11-29",23.7383
"2009-11-30",23.998
"2009-12-01",24.0178
"2009-12-02",23.6789
"2009-12-03",23.9708
"2009-12-04",23.8509
"2009-12-05",23.3332
"2009-12-06",22.9334
"2009-12-07",24.0324
"2009-12-08",23.843
"2009-12-09",23.5401
"2009-12-10",22.6276
"2009-12-11",23.5172
"2009-12-12",24.2793
