,"(deg C) Mean Dew Point Temperature (ERA5) at Kurunegala, 2007-01-01 to 2025-12-31"
"2007-04-08",24.0385
"2007-04-09",24.0841
"2007-04-10",24.1093
"2007-04-11",23.9127
"2007-04-12",24.5395
"2007-04-13",24.3716
"2007-04-14",24.1751
"2007-04-15",24.3317
"2007-04-16",24.0724
"2007-04-17",24.1083
"2007-04-18",24.4325
"2007-04-19",24.5891
"2007-04-20",24.4256
"2007-04-21",24.0067
"2007-04-22",24.4152
"2007-04-23",24.7529
"2007-04-24",24.6476
"2007-04-25",24.6037
"2007-04-26",24.1132
"2007-04-27",23.9711
"2007-04-28",24.2792
"2007-04-29",24.3797
"2007-04-30",24.7885
"2007-05-01",25.1444
"2007-05-02",25.8164
"2007-05-03",24.2442
"2007-05-04",24.6915
"2007-05-05",25.4133
"2007-05-06",25.4151
"2007-05-07",25.3092
"2007-05-08",25.3621
"2007-05-09",24.833
"2007-05-10",25.3266
"2007-05-11",25.6208
"2007-05-12",25.2384
"2007-05-13",24.2085
"2007-05-14",23.9835
"2007-05-15",23.4283
"2007-05-16",23.4028
"2007-05-17",23.2881
"2007-05-18",24.5248
"2007-05-19",24.7407
"2007-05-20",24.9776
"2007-05-21",25.2618
"2007-05-22",24.9488
"2007-05-23",25.095
"2007-05-24",24.6719
"2007-05-25",24.7355
"2007-05-26",24.6158
"2007-05-27",24.8164
"2007-05-28",23.4798
"2007-05-29",23.722
"2007-05-30",24.3335
"2007-05-31",23.6295
"2007-06-01",24.5527
"2007-06-02",24.5795
"2007-06-03",24.6626
"2007-06-04",24.3416
"2007-06-05",24.9289
"2007-06-06",25.244
"2007-06-07",24.6111
"2007-06-08",23.9664
"2007-06-09",24.3818
"2007-06-10",24.8173
"2007-06-11",24.6887
"2007-06-12",24.5274
"2007-06-13",24.7586
"2007-06-14",24.3969
"2007-06-15",23.8982
"2007-06-16",24.2295
"2007-06-17",24.1308
"2007-06-18",23.6462
"2007-06-19",23.8363
"2007-06-20",23.7763
"2007-06-21",23.7273
"2007-06-22",23.4515
"2007-06-23",23.8624
"2007-06-24",24.5265
"2007-06-25",24.4398
"2007-06-26",24.1399
"2007-06-27",24.2233
"2007-06-28",24.6919
"2007-06-29",24.7641
"2007-06-30",24.8363
"2007-07-01",24.5243
"2007-07-02",24.2133
"2007-07-03",24.3714
"2007-07-04",24.1291
"2007-07-05",24.5169
"2007-07-06",24.138
"2007-07-07",23.907
"2007-07-08",24.1836
"2007-07-09",24.5017
"2007-07-10",24.0058
"2007-07-11",24.295
"2007-07-12",24.527
"2007-07-13",24.3748
"2007-07-14",24.3965
"2007-07-15",24.105
"2007-07-16",24.4424
"2007-07-17",24.0332
"2007-07-18",23.8468
"2007-07-19",23.7925
"2007-07-20",23.3444
"2007-07-21",23.1252
"2007-07-22",23.2394
"2007-07-23",23.4663
"2007-07-24",23.4286
"2007-07-25",22.7147
"2007-07-26",23.0767
"2007-07-27",23.5156
"2007-07-28",23.649
"2007-07-29",23.911
"2007-07-30",23.6634
"2007-07-31",23.5347
"2007-08-01",23.2474
"2007-08-02",23.4171
"2007-08-03",23.5344
"2007-08-04",23.8212
"2007-08-05",24.1072
"2007-08-06",23.9464
"2007-08-07",24.0055
"2007-08-08",24.0678
"2007-08-09",24.0754
"2007-08-10",24.3371
"2007-08-11",23.9697
"2007-08-12",24.0262
"2007-08-13",23.8428
"2007-08-14",23.3316
"2007-08-15",23.5708
"2007-08-16",23.7617
"2007-08-17",23.9529
"2007-08-18",23.8832
"2007-08-19",23.8094
"2007-08-20",23.8534
"2007-08-21",23.9049
"2007-08-22",23.5251
"2007-08-23",23.8992
"2007-08-24",24.0076
"2007-08-25",23.6576
"2007-08-26",23.66
"2007-08-27",23.3571
"2007-08-28",23.9556
"2007-08-29",23.9846
"2007-08-30",23.7474
"2007-08-31",23.3337
"2007-09-01",23.4088
"2007-09-02",23.8084
"2007-09-03",23.8227
"2007-09-04",23.7484
"2007-09-05",23.9878
"2007-09-06",23.6344
"2007-09-07",24.2746
"2007-09-08",24.1612
"2007-09-09",22.8027
"2007-09-10",23.2976
"2007-09-11",23.8896
"2007-09-12",23.7091
"2007-09-13",23.9675
"2007-09-14",24.1746
"2007-09-15",24.3173
"2007-09-16",24.3715
"2007-09-17",24.4733
"2007-09-18",24.2715
"2007-09-19",24.2595
"2007-09-20",24.3368
"2007-09-21",24.5825
"2007-09-22",24.0627
"2007-09-23",24.0468
"2007-09-24",24.0508
"2007-09-25",24.0178
"2007-09-26",24.065
"2007-09-27",24.21
"2007-09-28",23.9973
"2007-09-29",23.9035
"2007-09-30",23.4263
"2007-10-01",23.618
"2007-10-02",24.117
"2007-10-03",24.2565
"2007-10-04",24.1149
"2007-10-05",23.8358
"2007-10-06",23.7698
"2007-10-07",23.9318
"2007-10-08",23.7926
"2007-10-09",23.7783
"2007-10-10",23.5094
"2007-10-11",23.5669
"2007-10-12",23.776
"2007-10-13",23.7155
"2007-10-14",23.9841
"2007-10-15",23.8054
"2007-10-16",23.7768
"2007-10-17",23.5604
"2007-10-18",23.212
"2007-10-19",23.771
"2007-10-20",22.6063
"2007-10-21",23.1165
"2007-10-22",23.0925
"2007-10-23",23.6745
"2007-10-24",23.914
"2007-10-25",23.8346
"2007-10-26",23.3051
"2007-10-27",23.4705
"2007-10-28",23.9508
"2007-10-29",23.6493
"2007-10-30",23.5096
"2007-10-31",23.6668
"2007-11-01",23.6688
"2007-11-02",23.2915
"2007-11-03",23.3791
"2007-11-04",23.4755
"2007-11-05",23.7954
"2007-11-06",23.3803
"2007-11-07",23.3975
"2007-11-08",23.3781
"2007-11-09",23.5583
"2007-11-10",22.7348
"2007-11-11",23.1515
"2007-11-12",23.4303
"2007-11-13",22.8519
"2007-11-14",20.321
"2007-11-15",20.6157
"2007-11-16",18.9032
"2007-11-17",18.5304
"2007-11-18",21.7901
"2007-11-19",23.164
"2007-11-20",23.1833
"2007-11-21",23.1933
"2007-11-22",23.3007
"2007-11-23",22.6466
"2007-11-24",22.628
"2007-11-25",20.064
"2007-11-26",20.8693
"2007-11-27",22.7172
"2007-11-28",22.6522
"2007-11-29",22.0135
"2007-11-30",20.1064
"2007-12-01",21.246
"2007-12-02",21.7186
"2007-12-03",20.3614
"2007-12-04",21.8773
"2007-12-05",20.8717
"2007-12-06",20.748
"2007-12-07",22.0015
"2007-12-08",22.5938
"2007-12-09",22.4296
"2007-12-10",22.1806
"2007-12-11",21.3292
"2007-12-12",22.2797
"2007-12-13",23.2702
"2007-12-14",23.6766
"2007-12-15",23.0609
"2007-12-16",22.6976
"2007-12-17",23.3139
"2007-12-18",23.9387
"2007-12-19",23.6661
"2007-12-20",23.5985
"2007-12-21",23.198
"2007-12-22",22.7981
"2007-12-23",22.7672
"2007-12-24",21.7294
"2007-12-25",19.8825
"2007-12-26",19.4674
"2007-12-27",20.4453
"2007-12-28",20.8074
"2007-12-29",20.2056
"2007-12-30",20.3965
"2007-12-31",19.8224
"2008-01-01",19.7172
"2008-01-02",20.9837
"2008-01-03",22.7386
"2008-01-04",22.8339
"2008-01-05",22.7067
"2008-01-06",22.3238
"2008-01-07",21.6705
"2008-01-08",22.1888
"2008-01-09",22.8221
"2008-01-10",22.9764
"2008-01-11",22.8312
"2008-01-12",22.932
"2008-01-13",22.4326
"2008-01-14",20.3575
"2008-01-15",19.7452
"2008-01-16",20.1144
"2008-01-17",19.66
"2008-01-18",19.1261
"2008-01-19",18.5005
"2008-01-20",21.1726
"2008-01-21",23.2456
"2008-01-22",22.3938
"2008-01-23",20.0221
"2008-01-24",21.5351
"2008-01-25",22.408
"2008-01-26",22.3808
"2008-01-27",22.7895
"2008-01-28",21.9187
"2008-01-29",21.9599
"2008-01-30",21.3647
"2008-01-31",22.2
"2008-02-01",22.2562
"2008-02-02",22.2491
"2008-02-03",20.6572
"2008-02-04",20.7122
"2008-02-05",21.2702
"2008-02-06",23.2945
"2008-02-07",23.4724
"2008-02-08",23.2483
"2008-02-09",23.48
"2008-02-10",23.4777
"2008-02-11",22.9491
"2008-02-12",22.7753
"2008-02-13",22.7954
"2008-02-14",22.4268
"2008-02-15",22.1464
"2008-02-16",21.8811
"2008-02-17",20.5037
"2008-02-18",20.0354
"2008-02-19",20.1404
"2008-02-20",22.0113
"2008-02-21",22.0941
"2008-02-22",19.3917
"2008-02-23",16.6988
"2008-02-24",16.7202
"2008-02-25",16.5684
"2008-02-26",20.5207
"2008-02-27",22.8212
"2008-02-28",22.4516
"2008-02-29",23.0005
"2008-03-01",22.2199
"2008-03-02",22.9524
"2008-03-03",22.5648
"2008-03-04",22.2236
"2008-03-05",22.8827
"2008-03-06",22.41
"2008-03-07",21.0569
"2008-03-08",19.8819
"2008-03-09",22.4941
"2008-03-10",23.0653
"2008-03-11",23.2883
"2008-03-12",23.3479
"2008-03-13",23.2149
"2008-03-14",23.428
"2008-03-15",23.2006
"2008-03-16",23.5382
"2008-03-17",23.5287
"2008-03-18",23.3375
"2008-03-19",23.5065
"2008-03-20",23.5966
"2008-03-21",23.7817
"2008-03-22",23.799
"2008-03-23",23.8784
"2008-03-24",23.8669
"2008-03-25",23.3998
"2008-03-26",23.7635
"2008-03-27",23.516
"2008-03-28",23.3043
"2008-03-29",24.0071
"2008-03-30",23.9129
"2008-03-31",24.0018
"2008-04-01",24.0403
"2008-04-02",23.616
"2008-04-03",23.5694
"2008-04-04",23.5081
"2008-04-05",23.3736
"2008-04-06",23.1937
"2008-04-07",23.4041
"2008-04-08",23.2563
"2008-04-09",22.9893
"2008-04-10",23.6416
"2008-04-11",23.7742
"2008-04-12",23.2726
"2008-04-13",23.815
"2008-04-14",23.9774
"2008-04-15",23.5969
"2008-04-16",24.1128
"2008-04-17",23.8417
"2008-04-18",24.3095
"2008-04-19",24.3468
"2008-04-20",24.3343
"2008-04-21",25.1233
"2008-04-22",24.8072
"2008-04-23",25.1632
"2008-04-24",24.5335
"2008-04-25",23.9377
"2008-04-26",23.9831
"2008-04-27",24.4641
"2008-04-28",24.2368
"2008-04-29",24.8235
"2008-04-30",24.9511
"2008-05-01",25.1209
"2008-05-02",24.9575
"2008-05-03",24.93
"2008-05-04",24.8206
"2008-05-05",24.5776
"2008-05-06",24.4695
"2008-05-07",24.1403
"2008-05-08",24.4904
"2008-05-09",23.678
"2008-05-10",23.9017
"2008-05-11",24.9896
"2008-05-12",24.4893
"2008-05-13",24.391
"2008-05-14",24.5312
"2008-05-15",24.6393
"2008-05-16",24.9737
"2008-05-17",24.5236
"2008-05-18",25.0535
"2008-05-19",24.9435
"2008-05-20",24.5714
"2008-05-21",24.0752
"2008-05-22",24.6019
"2008-05-23",24.2526
"2008-05-24",24.0179
"2008-05-25",24.3774
"2008-05-26",24.2067
"2008-05-27",23.81
"2008-05-28",24.4017
"2008-05-29",23.9243
"2008-05-30",24.2187
"2008-05-31",23.9293
"2008-06-01",23.6803
"2008-06-02",23.7657
"2008-06-03",23.4198
"2008-06-04",24.2363
"2008-06-05",24.1365
"2008-06-06",24.5854
"2008-06-07",24.5854
"2008-06-08",24.5411
"2008-06-09",24.6298
"2008-06-10",24.056
"2008-06-11",24.1335
"2008-06-12",24.4615
"2008-06-13",24.4745
"2008-06-14",24.242
"2008-06-15",24.3401
"2008-06-16",24.1094
"2008-06-17",23.5951
"2008-06-18",24.3763
"2008-06-19",24.1229
"2008-06-20",24.0383
"2008-06-21",24.2158
"2008-06-22",24.0756
"2008-06-23",23.9491
"2008-06-24",23.7626
"2008-06-25",24.2443
"2008-06-26",24.1239
"2008-06-27",23.762
"2008-06-28",23.3006
"2008-06-29",24.2047
"2008-06-30",24.2113
"2008-07-01",23.8321
"2008-07-02",22.6482
"2008-07-03",23.1479
"2008-07-04",24.2686
"2008-07-05",24.4053
"2008-07-06",24.1529
"2008-07-07",24.3836
"2008-07-08",24.0926
"2008-07-09",24.0429
"2008-07-10",24.3116
"2008-07-11",23.9065
"2008-07-12",23.7985
"2008-07-13",23.5794
"2008-07-14",24.0028
"2008-07-15",23.9339
"2008-07-16",23.3098
"2008-07-17",23.3362
"2008-07-18",23.6115
"2008-07-19",24.0225
"2008-07-20",23.4588
"2008-07-21",23.6405
"2008-07-22",23.7904
"2008-07-23",23.8097
"2008-07-24",23.3269
"2008-07-25",23.561
"2008-07-26",23.4895
"2008-07-27",23.3142
"2008-07-28",23.6312
"2008-07-29",23.19
"2008-07-30",23.4046
"2008-07-31",23.3502
"2008-08-01",23.7749
"2008-08-02",23.8431
"2008-08-03",24.0318
"2008-08-04",23.6243
"2008-08-05",23.648
"2008-08-06",23.3213
"2008-08-07",23.3998
"2008-08-08",23.1976
"2008-08-09",23.364
"2008-08-10",23.7857
"2008-08-11",24.0399
"2008-08-12",23.9356
"2008-08-13",23.4769
"2008-08-14",23.8364
"2008-08-15",23.7429
"2008-08-16",23.4763
"2008-08-17",23.0199
"2008-08-18",23.5983
"2008-08-19",23.3893
"2008-08-20",23.3818
"2008-08-21",23.6179
"2008-08-22",23.225
"2008-08-23",23.4214
"2008-08-24",23.2202
"2008-08-25",23.7532
"2008-08-26",23.3289
"2008-08-27",23.4122
"2008-08-28",23.5788
"2008-08-29",23.586
"2008-08-30",23.0084
"2008-08-31",22.79
"2008-09-01",23.5474
"2008-09-02",23.576
"2008-09-03",23.1005
"2008-09-04",23.6657
"2008-09-05",23.194
"2008-09-06",23.4957
"2008-09-07",23.0813
"2008-09-08",23.2237
"2008-09-09",23.7576
"2008-09-10",23.8485
"2008-09-11",23.7201
"2008-09-12",24.0745
"2008-09-13",23.9261
"2008-09-14",23.6239
"2008-09-15",23.2761
"2008-09-16",23.7568
"2008-09-17",23.1791
"2008-09-18",23.4589
"2008-09-19",23.3601
"2008-09-20",22.8129
"2008-09-21",23.1385
"2008-09-22",23.3666
"2008-09-23",23.3412
"2008-09-24",23.2719
"2008-09-25",23.0063
"2008-09-26",23.5064
"2008-09-27",23.854
"2008-09-28",23.6595
"2008-09-29",22.9719
"2008-09-30",21.4612
"2008-10-01",21.9914
"2008-10-02",22.287
"2008-10-03",21.9977
"2008-10-04",22.6317
"2008-10-05",22.9264
"2008-10-06",23.5041
"2008-10-07",23.08
"2008-10-08",23.0205
"2008-10-09",23.0583
"2008-10-10",23.628
"2008-10-11",23.6305
"2008-10-12",23.4323
"2008-10-13",23.7253
"2008-10-14",23.6056
"2008-10-15",23.7893
"2008-10-16",24.2364
"2008-10-17",24.0055
"2008-10-18",23.9867
"2008-10-19",23.9385
"2008-10-20",24.22
"2008-10-21",23.8804
"2008-10-22",23.5359
"2008-10-23",23.6169
"2008-10-24",23.6161
"2008-10-25",23.4413
"2008-10-26",24.275
"2008-10-27",24.3257
"2008-10-28",24.1809
"2008-10-29",23.7294
"2008-10-30",21.7725
"2008-10-31",21.7883
"2008-11-01",20.5557
"2008-11-02",21.0484
"2008-11-03",21.2284
"2008-11-04",21.1006
"2008-11-05",20.259
"2008-11-06",20.0864
"2008-11-07",21.1833
"2008-11-08",22.8243
"2008-11-09",23.4582
"2008-11-10",23.5308
"2008-11-11",23.7018
"2008-11-12",23.6317
"2008-11-13",23.494
"2008-11-14",23.3902
"2008-11-15",23.3271
"2008-11-16",23.5345
"2008-11-17",22.649
"2008-11-18",22.9064
"2008-11-19",23.4694
"2008-11-20",24.0956
"2008-11-21",23.7936
"2008-11-22",23.8132
"2008-11-23",23.8197
"2008-11-24",23.5732
"2008-11-25",23.5212
"2008-11-26",23.1547
"2008-11-27",24.2369
"2008-11-28",23.8162
"2008-11-29",24.0868
"2008-11-30",23.2959
"2008-12-01",23.2705
"2008-12-02",23.3994
"2008-12-03",21.6125
"2008-12-04",22.109
"2008-12-05",22.7386
"2008-12-06",23.212
"2008-12-07",22.6527
"2008-12-08",23.6296
"2008-12-09",23.9227
"2008-12-10",24.0065
"2008-12-11",23.9417
"2008-12-12",22.7791
"2008-12-13",21.7028
"2008-12-14",22.792
"2008-12-15",23.0912
"2008-12-16",22.985
"2008-12-17",23.0742
"2008-12-18",22.8139
"2008-12-19",23.5904
"2008-12-20",23.1935
"2008-12-21",21.6241
"2008-12-22",21.0152
"2008-12-23",21.544
"2008-12-24",22.0956
"2008-12-25",22.0706
"2008-12-26",21.5635
"2008-12-27",20.8928
"2008-12-28",20.9276
"2008-12-29",19.7115
"2008-12-30",18.5816
"2008-12-31",18.197
"2009-01-01",18.4516
"2009-01-02",19.2263
"2009-01-03",19.0001
"2009-01-04",20.5028
"2009-01-05",20.3701
"2009-01-06",22.0375
"2009-01-07",22.0442
"2009-01-08",21.9057
"2009-01-09",22.7988
"2009-01-10",21.8496
"2009-01-11",21.0649
"2009-01-12",20.981
"2009-01-13",21.3479
"2009-01-14",21.2406
"2009-01-15",20.4897
"2009-01-16",19.494
"2009-01-17",19.8166
"2009-01-18",20.3173
"2009-01-19",19.6226
"2009-01-20",19.6266
"2009-01-21",19.0383
"2009-01-22",18.8163
"2009-01-23",19.3974
"2009-01-24",18.653
"2009-01-25",21.5254
"2009-01-26",23.3885
"2009-01-27",23.1681
"2009-01-28",22.9262
"2009-01-29",21.0633
"2009-01-30",19.1592
"2009-01-31",19.3442
"2009-02-01",19.2595
"2009-02-02",18.7873
"2009-02-03",18.3846
"2009-02-04",18.4923
"2009-02-05",17.2378
"2009-02-06",18.1163
"2009-02-07",17.343
"2009-02-08",17.5643
"2009-02-09",17.5188
"2009-02-10",18.3469
"2009-02-11",18.1777
"2009-02-12",18.0243
"2009-02-13",16.3486
"2009-02-14",17.1313
"2009-02-15",18.3497
"2009-02-16",18.3592
"2009-02-17",17.9561
"2009-02-18",18.1902
"2009-02-19",19.7057
"2009-02-20",21.5789
"2009-02-21",22.1393
"2009-02-22",22.5711
"2009-02-23",22.7839
"2009-02-24",23.6089
"2009-02-25",23.2547
"2009-02-26",23.0599
"2009-02-27",22.1181
"2009-02-28",21.4138
"2009-03-01",19.8173
"2009-03-02",17.0956
"2009-03-03",16.9875
"2009-03-04",21.3532
"2009-03-05",21.6223
"2009-03-06",21.6156
"2009-03-07",21.4582
"2009-03-08",22.5724
"2009-03-09",23.5145
"2009-03-10",23.2447
"2009-03-11",23.2563
"2009-03-12",23.5872
"2009-03-13",23.533
"2009-03-14",23.249
"2009-03-15",23.228
"2009-03-16",22.7783
"2009-03-17",23.4536
"2009-03-18",23.2597
"2009-03-19",23.4379
"2009-03-20",23.6388
"2009-03-21",23.4431
"2009-03-22",23.2746
"2009-03-23",23.2442
"2009-03-24",23.0716
"2009-03-25",23.3949
"2009-03-26",23.5616
"2009-03-27",23.6592
"2009-03-28",23.4727
"2009-03-29",23.3233
"2009-03-30",23.27
"2009-03-31",23.583
"2009-04-01",23.8121
"2009-04-02",23.7703
"2009-04-03",23.4438
"2009-04-04",23.791
"2009-04-05",23.9776
"2009-04-06",24.1145
"2009-04-07",23.8557
"2009-04-08",23.9342
"2009-04-09",23.7754
"2009-04-10",23.8325
"2009-04-11",24.1731
"2009-04-12",24.4569
"2009-04-13",24.1858
"2009-04-14",25.0483
"2009-04-15",25.2711
"2009-04-16",25.044
"2009-04-17",24.9133
"2009-04-18",25.1192
"2009-04-19",24.8946
"2009-04-20",24.5389
"2009-04-21",24.0619
"2009-04-22",24.5221
"2009-04-23",24.9741
"2009-04-24",24.8606
"2009-04-25",24.79
"2009-04-26",24.7585
"2009-04-27",24.3234
"2009-04-28",24.1942
"2009-04-29",24.0712
"2009-04-30",24.0907
"2009-05-01",24.5883
"2009-05-02",25.397
"2009-05-03",25.4862
"2009-05-04",24.8744
"2009-05-05",24.6235
"2009-05-06",24.9109
"2009-05-07",25.3021
"2009-05-08",24.9353
"2009-05-09",25.14
"2009-05-10",25.3042
"2009-05-11",25.4268
"2009-05-12",25.4564
"2009-05-13",25.2155
"2009-05-14",25.1529
"2009-05-15",24.9362
"2009-05-16",25.2753
"2009-05-17",24.774
"2009-05-18",24.5913
"2009-05-19",25.0424
"2009-05-20",24.7287
"2009-05-21",24.7658
"2009-05-22",24.9344
"2009-05-23",24.9953
"2009-05-24",25.088
"2009-05-25",24.3489
"2009-05-26",24.8561
"2009-05-27",24.8803
"2009-05-28",24.7104
"2009-05-29",24.9146
"2009-05-30",24.9789
"2009-05-31",24.9281
"2009-06-01",24.8129
"2009-06-02",24.6661
"2009-06-03",25.2363
"2009-06-04",25.292
"2009-06-05",24.9014
"2009-06-06",23.6367
"2009-06-07",24.5191
"2009-06-08",24.4088
"2009-06-09",24.5262
"2009-06-10",24.8198
"2009-06-11",24.2265
"2009-06-12",23.8831
"2009-06-13",24.2266
"2009-06-14",24.5025
"2009-06-15",24.1663
"2009-06-16",24.2216
"2009-06-17",24.2656
"2009-06-18",23.7631
"2009-06-19",23.8178
"2009-06-20",23.9095
"2009-06-21",24.2089
"2009-06-22",24.2422
"2009-06-23",24.4247
"2009-06-24",24.5618
"2009-06-25",24.515
"2009-06-26",23.8913
"2009-06-27",24.3604
"2009-06-28",24.3702
"2009-06-29",24.0986
"2009-06-30",23.9683
"2009-07-01",23.2796
"2009-07-02",23.6888
"2009-07-03",23.4355
"2009-07-04",23.7747
"2009-07-05",23.8708
"2009-07-06",23.6506
"2009-07-07",23.6352
"2009-07-08",23.2241
"2009-07-09",23.6612
"2009-07-10",23.8862
"2009-07-11",24.1026
"2009-07-12",23.7517
"2009-07-13",23.7496
"2009-07-14",24.2945
"2009-07-15",24.4501
"2009-07-16",23.8161
"2009-07-17",23.4146
"2009-07-18",23.5345
"2009-07-19",23.8444
"2009-07-20",23.8894
"2009-07-21",23.9628
"2009-07-22",23.6159
"2009-07-23",23.635
"2009-07-24",24
"2009-07-25",23.9096
"2009-07-26",23.9444
"2009-07-27",24.0081
"2009-07-28",23.922
"2009-07-29",23.8613
"2009-07-30",24.1204
"2009-07-31",23.9194
"2009-08-01",23.982
"2009-08-02",23.9873
"2009-08-03",23.6524
"2009-08-04",23.9897
"2009-08-05",23.8021
"2009-08-06",24.0315
"2009-08-07",23.8951
"2009-08-08",23.7973
"2009-08-09",23.881
"2009-08-10",23.6471
"2009-08-11",23.6149
"2009-08-12",23.6393
"2009-08-13",24.0602
"2009-08-14",24.1367
"2009-08-15",24.043
"2009-08-16",23.9437
"2009-08-17",23.3586
"2009-08-18",23.6446
"2009-08-19",23.73
"2009-08-20",23.4991
"2009-08-21",23.0178
"2009-08-22",23.0655
"2009-08-23",23.6612
"2009-08-24",23.8616
"2009-08-25",23.7441
"2009-08-26",23.8533
"2009-08-27",24.217
"2009-08-28",24.1707
"2009-08-29",24.2043
"2009-08-30",24.0739
"2009-08-31",23.9035
"2009-09-01",24.1205
"2009-09-02",23.9149
"2009-09-03",23.9778
"2009-09-04",23.8866
"2009-09-05",24.0625
"2009-09-06",23.8444
"2009-09-07",23.9958
"2009-09-08",23.9349
"2009-09-09",23.9276
"2009-09-10",23.6403
"2009-09-11",23.5086
"2009-09-12",24.0414
"2009-09-13",24.6517
"2009-09-14",23.5237
"2009-09-15",23.5119
"2009-09-16",23.877
"2009-09-17",23.8353
"2009-09-18",23.732
"2009-09-19",23.8285
"2009-09-20",23.8437
"2009-09-21",23.8866
"2009-09-22",23.2547
"2009-09-23",23.6942
"2009-09-24",23.4553
"2009-09-25",23.7808
"2009-09-26",23.4955
"2009-09-27",23.3423
"2009-09-28",23.7859
"2009-09-29",23.9759
"2009-09-30",23.9725
"2009-10-01",24.1074
"2009-10-02",23.77
"2009-10-03",24.0106
"2009-10-04",23.5234
"2009-10-05",23.2076
"2009-10-06",23.2538
"2009-10-07",23.5869
"2009-10-08",23.5161
"2009-10-09",23.4624
"2009-10-10",23.4549
"2009-10-11",23.4517
"2009-10-12",23.3333
"2009-10-13",23.1597
"2009-10-14",23.1198
"2009-10-15",22.7724
"2009-10-16",23.2021
"2009-10-17",23.345
"2009-10-18",23.7916
"2009-10-19",23.9484
"2009-10-20",23.7417
"2009-10-21",23.1537
"2009-10-22",22.0108
"2009-10-23",21.4727
"2009-10-24",22.2722
"2009-10-25",22.3868
"2009-10-26",22.1273
"2009-10-27",22.9929
"2009-10-28",23.7236
"2009-10-29",23.7898
"2009-10-30",23.3631
"2009-10-31",23.3637
"2009-11-01",23.6092
"2009-11-02",22.9594
"2009-11-03",23.4341
"2009-11-04",23.6672
"2009-11-05",23.9073
"2009-11-06",24.0125
"2009-11-07",23.9281
"2009-11-08",23.9123
"2009-11-09",23.9248
"2009-11-10",23.5449
"2009-11-11",24.1679
"2009-11-12",24.4622
"2009-11-13",24.129
"2009-11-14",23.7805
"2009-11-15",23.6831
"2009-11-16",24.0873
"2009-11-17",23.8612
"2009-11-18",23.5612
"2009-11-19",23.4364
"2009-11-20",23.3659
"2009-11-21",23.4952
"2009-11-22",23.3973
"2009-11-23",23.3923
"2009-11-24",23.2947
"2009-11-25",22.8055
"2009-11-26",21.0886
"2009-11-27",20.481
"2009-11-28",22.3367
"2009-11-29",23.1629
"2009-11-30",23.582
"2009-12-01",23.5947
"2009-12-02",23.4769
"2009-12-03",23.6531
"2009-12-04",23.3181
"2009-12-05",22.6548
"2009-12-06",22.7221
"2009-12-07",23.8767
"2009-12-08",23.7419
"2009-12-09",23.1472
"2009-12-10",22.1697
"2009-12-11",23.2916
"2009-12-12",24.0049
"2009-12-13",23.4922
