,"(deg C) Mean Dew Point Temperature (ERA5) at Polonnaruwa, 2007-01-01 to 2025-12-31"
"2008-04-26",23.656
"2008-04-27",23.696
"2008-04-28",23.4614
"2008-04-29",23.9354
"2008-04-30",24.1621
"2008-05-01",24.1372
"2008-05-02",23.8148
"2008-05-03",23.8298
"2008-05-04",23.8383
"2008-05-05",23.5786
"2008-05-06",23.589
"2008-05-07",23.1299
"2008-05-08",23.3552
"2008-05-09",22.3453
"2008-05-10",22.7555
"2008-05-11",23.7003
"2008-05-12",23.2983
"2008-05-13",23.098
"2008-05-14",23.1306
"2008-05-15",23.2539
"2008-05-16",23.5029
"2008-05-17",23.2532
"2008-05-18",23.7516
"2008-05-19",23.5171
"2008-05-20",23.2214
"2008-05-21",22.8702
"2008-05-22",23.0487
"2008-05-23",23.0551
"2008-05-24",22.6851
"2008-05-25",23.1204
"2008-05-26",22.9468
"2008-05-27",22.4655
"2008-05-28",23.0482
"2008-05-29",22.5931
"2008-05-30",22.9009
"2008-05-31",22.6423
"2008-06-01",22.4881
"2008-06-02",22.1981
"2008-06-03",21.9996
"2008-06-04",22.5843
"2008-06-05",22.5203
"2008-06-06",22.9744
"2008-06-07",22.9744
"2008-06-08",23.1951
"2008-06-09",23.5018
"2008-06-10",22.8014
"2008-06-11",22.6194
"2008-06-12",22.7284
"2008-06-13",22.4868
"2008-06-14",22.397
"2008-06-15",22.4643
"2008-06-16",22.183
"2008-06-17",21.3513
"2008-06-18",22.3064
"2008-06-19",22.3809
"2008-06-20",22.3703
"2008-06-21",22.6105
"2008-06-22",22.6266
"2008-06-23",22.4906
"2008-06-24",22.28
"2008-06-25",22.6905
"2008-06-26",22.5288
"2008-06-27",21.5301
"2008-06-28",21.1717
"2008-06-29",22.3708
"2008-06-30",22.3691
"2008-07-01",22.0743
"2008-07-02",21.1199
"2008-07-03",20.2968
"2008-07-04",22.4407
"2008-07-05",22.4417
"2008-07-06",22.2058
"2008-07-07",22.5897
"2008-07-08",22.3773
"2008-07-09",22.0833
"2008-07-10",22.2795
"2008-07-11",21.7201
"2008-07-12",21.9931
"2008-07-13",21.5889
"2008-07-14",22.1403
"2008-07-15",21.9891
"2008-07-16",22.1495
"2008-07-17",21.723
"2008-07-18",22.0495
"2008-07-19",22.6925
"2008-07-20",22.1187
"2008-07-21",22.0914
"2008-07-22",22.2277
"2008-07-23",22.7556
"2008-07-24",22.0619
"2008-07-25",22.0794
"2008-07-26",21.8633
"2008-07-27",21.5987
"2008-07-28",21.9424
"2008-07-29",21.4777
"2008-07-30",21.5924
"2008-07-31",21.7617
"2008-08-01",22.0943
"2008-08-02",22.2322
"2008-08-03",22.8358
"2008-08-04",22.0648
"2008-08-05",22.2545
"2008-08-06",21.5267
"2008-08-07",21.2792
"2008-08-08",21.1588
"2008-08-09",21.6981
"2008-08-10",22.1168
"2008-08-11",22.1686
"2008-08-12",21.7355
"2008-08-13",21.6559
"2008-08-14",21.8885
"2008-08-15",22.1566
"2008-08-16",22.0658
"2008-08-17",21.0503
"2008-08-18",21.6249
"2008-08-19",21.5131
"2008-08-20",21.2661
"2008-08-21",21.5653
"2008-08-22",21.5121
"2008-08-23",21.7744
"2008-08-24",21.4648
"2008-08-25",22.4329
"2008-08-26",22.2823
"2008-08-27",22.7284
"2008-08-28",23.0521
"2008-08-29",22.8862
"2008-08-30",22.3144
"2008-08-31",21.9693
"2008-09-01",22.9246
"2008-09-02",22.1784
"2008-09-03",21.9108
"2008-09-04",22.4467
"2008-09-05",22.1369
"2008-09-06",22.6102
"2008-09-07",22.0038
"2008-09-08",22.014
"2008-09-09",22.495
"2008-09-10",22.3186
"2008-09-11",22.0738
"2008-09-12",22.8164
"2008-09-13",22.2766
"2008-09-14",21.8028
"2008-09-15",21.4853
"2008-09-16",21.9038
"2008-09-17",21.3231
"2008-09-18",21.4878
"2008-09-19",21.2501
"2008-09-20",20.8298
"2008-09-21",21.1165
"2008-09-22",21.3444
"2008-09-23",21.2488
"2008-09-24",21.4222
"2008-09-25",20.7125
"2008-09-26",21.4249
"2008-09-27",21.7253
"2008-09-28",21.746
"2008-09-29",20.5173
"2008-09-30",18.8491
"2008-10-01",19.668
"2008-10-02",20.2541
"2008-10-03",19.7689
"2008-10-04",20.1095
"2008-10-05",21.0912
"2008-10-06",22.474
"2008-10-07",21.9236
"2008-10-08",22.2893
"2008-10-09",22.2183
"2008-10-10",22.5309
"2008-10-11",22.8782
"2008-10-12",22.992
"2008-10-13",23.4405
"2008-10-14",23.3053
"2008-10-15",24.0231
"2008-10-16",24.1267
"2008-10-17",23.7794
"2008-10-18",24.0055
"2008-10-19",23.9105
"2008-10-20",24.0414
"2008-10-21",23.9086
"2008-10-22",23.035
"2008-10-23",22.556
"2008-10-24",22.6817
"2008-10-25",22.3813
"2008-10-26",23.1986
"2008-10-27",23.4011
"2008-10-28",22.8325
"2008-10-29",21.719
"2008-10-30",20.3034
"2008-10-31",20.572
"2008-11-01",19.2595
"2008-11-02",19.0365
"2008-11-03",20.6086
"2008-11-04",20.1435
"2008-11-05",19.7784
"2008-11-06",19.1688
"2008-11-07",20.2356
"2008-11-08",22.7358
"2008-11-09",23.1988
"2008-11-10",23.2316
"2008-11-11",23.6251
"2008-11-12",23.427
"2008-11-13",23.3562
"2008-11-14",23.0886
"2008-11-15",21.968
"2008-11-16",22.2052
"2008-11-17",21.4077
"2008-11-18",22.5511
"2008-11-19",23.495
"2008-11-20",23.9838
"2008-11-21",23.9846
"2008-11-22",23.676
"2008-11-23",23.7812
"2008-11-24",23.7875
"2008-11-25",23.703
"2008-11-26",22.6757
"2008-11-27",23.3963
"2008-11-28",23.0809
"2008-11-29",23.753
"2008-11-30",23.5196
"2008-12-01",23.4065
"2008-12-02",22.9841
"2008-12-03",21.214
"2008-12-04",22.1849
"2008-12-05",22.596
"2008-12-06",23.3859
"2008-12-07",22.739
"2008-12-08",23.642
"2008-12-09",23.7704
"2008-12-10",23.7306
"2008-12-11",23.7316
"2008-12-12",22.6423
"2008-12-13",21.765
"2008-12-14",22.6133
"2008-12-15",23.1748
"2008-12-16",23.1066
"2008-12-17",22.997
"2008-12-18",22.7984
"2008-12-19",23.2014
"2008-12-20",22.9968
"2008-12-21",21.3632
"2008-12-22",20.923
"2008-12-23",21.8317
"2008-12-24",22.3826
"2008-12-25",22.4372
"2008-12-26",21.7213
"2008-12-27",20.9605
"2008-12-28",21.0195
"2008-12-29",19.6441
"2008-12-30",18.7009
"2008-12-31",18.391
"2009-01-01",18.6854
"2009-01-02",19.3142
"2009-01-03",19.3784
"2009-01-04",21.0503
"2009-01-05",20.7331
"2009-01-06",22.4022
"2009-01-07",22.5821
"2009-01-08",22.0873
"2009-01-09",22.5654
"2009-01-10",21.6184
"2009-01-11",21.169
"2009-01-12",21.3359
"2009-01-13",21.73
"2009-01-14",21.4758
"2009-01-15",20.4889
"2009-01-16",19.4502
"2009-01-17",19.8302
"2009-01-18",20.5221
"2009-01-19",19.5995
"2009-01-20",19.761
"2009-01-21",19.2226
"2009-01-22",19.1365
"2009-01-23",19.7673
"2009-01-24",19.1654
"2009-01-25",21.8027
"2009-01-26",23.2819
"2009-01-27",23.2949
"2009-01-28",22.9195
"2009-01-29",21.3482
"2009-01-30",20.1096
"2009-01-31",19.6941
"2009-02-01",19.4251
"2009-02-02",19.0443
"2009-02-03",19.1173
"2009-02-04",19.1449
"2009-02-05",18.6063
"2009-02-06",18.947
"2009-02-07",18.2519
"2009-02-08",18.3779
"2009-02-09",18.1739
"2009-02-10",18.9138
"2009-02-11",20.0491
"2009-02-12",18.8472
"2009-02-13",17.9002
"2009-02-14",19.0739
"2009-02-15",19.4457
"2009-02-16",18.8353
"2009-02-17",18.6973
"2009-02-18",18.9139
"2009-02-19",20.3241
"2009-02-20",22.1857
"2009-02-21",23.1853
"2009-02-22",23.1508
"2009-02-23",23.3777
"2009-02-24",23.2799
"2009-02-25",22.5792
"2009-02-26",22.31
"2009-02-27",21.5814
"2009-02-28",20.4621
"2009-03-01",18.4603
"2009-03-02",17.5554
"2009-03-03",17.7107
"2009-03-04",19.5096
"2009-03-05",19.5357
"2009-03-06",20.1736
"2009-03-07",20.4478
"2009-03-08",21.4675
"2009-03-09",23.444
"2009-03-10",23.2417
"2009-03-11",23.3209
"2009-03-12",23.5943
"2009-03-13",23.7348
"2009-03-14",23.5359
"2009-03-15",23.4887
"2009-03-16",22.7871
"2009-03-17",22.8246
"2009-03-18",22.8075
"2009-03-19",23.5252
"2009-03-20",22.7771
"2009-03-21",22.9904
"2009-03-22",23.077
"2009-03-23",23.5578
"2009-03-24",23.4242
"2009-03-25",23.4983
"2009-03-26",23.5294
"2009-03-27",23.39
"2009-03-28",23.464
"2009-03-29",23.6533
"2009-03-30",23.6271
"2009-03-31",23.451
"2009-04-01",24.0482
"2009-04-02",24.1895
"2009-04-03",23.863
"2009-04-04",23.8893
"2009-04-05",23.7717
"2009-04-06",24.148
"2009-04-07",23.9364
"2009-04-08",23.7095
"2009-04-09",23.7769
"2009-04-10",23.7919
"2009-04-11",24.227
"2009-04-12",24.7049
"2009-04-13",23.7949
"2009-04-14",23.5468
"2009-04-15",24.2096
"2009-04-16",24.0125
"2009-04-17",23.9813
"2009-04-18",24.3368
"2009-04-19",24.6448
"2009-04-20",23.6139
"2009-04-21",23.1483
"2009-04-22",23.6415
"2009-04-23",23.9148
"2009-04-24",23.8136
"2009-04-25",23.675
"2009-04-26",23.6727
"2009-04-27",23.412
"2009-04-28",22.7022
"2009-04-29",23.1639
"2009-04-30",22.611
"2009-05-01",23.1311
"2009-05-02",23.752
"2009-05-03",24.1151
"2009-05-04",23.1243
"2009-05-05",23.3363
"2009-05-06",23.5716
"2009-05-07",23.7086
"2009-05-08",23.7267
"2009-05-09",23.5308
"2009-05-10",23.6418
"2009-05-11",23.7389
"2009-05-12",23.7427
"2009-05-13",23.7404
"2009-05-14",23.5919
"2009-05-15",23.6533
"2009-05-16",23.8178
"2009-05-17",23.4753
"2009-05-18",23.1089
"2009-05-19",23.8393
"2009-05-20",23.7148
"2009-05-21",23.472
"2009-05-22",23.7243
"2009-05-23",23.9332
"2009-05-24",24.0526
"2009-05-25",22.8045
"2009-05-26",23.6493
"2009-05-27",23.3191
"2009-05-28",23.0778
"2009-05-29",23.1345
"2009-05-30",23.4463
"2009-05-31",23.4864
"2009-06-01",23.0922
"2009-06-02",22.779
"2009-06-03",23.3773
"2009-06-04",23.6708
"2009-06-05",23.5524
"2009-06-06",21.4539
"2009-06-07",22.9943
"2009-06-08",22.6472
"2009-06-09",22.5857
"2009-06-10",22.983
"2009-06-11",22.6383
"2009-06-12",22.2751
"2009-06-13",22.3564
"2009-06-14",22.7542
"2009-06-15",22.5749
"2009-06-16",22.7826
"2009-06-17",22.7715
"2009-06-18",22.3874
"2009-06-19",22.3691
"2009-06-20",22.4482
"2009-06-21",22.5603
"2009-06-22",22.5517
"2009-06-23",22.6055
"2009-06-24",23.0809
"2009-06-25",22.9185
"2009-06-26",22.4066
"2009-06-27",22.7719
"2009-06-28",22.5758
"2009-06-29",22.6636
"2009-06-30",22.5023
"2009-07-01",21.6852
"2009-07-02",22.1832
"2009-07-03",21.8953
"2009-07-04",22.2624
"2009-07-05",22.2238
"2009-07-06",22.0457
"2009-07-07",21.9103
"2009-07-08",21.3666
"2009-07-09",21.8133
"2009-07-10",21.7269
"2009-07-11",22.0036
"2009-07-12",21.8655
"2009-07-13",21.7474
"2009-07-14",22.6804
"2009-07-15",22.4554
"2009-07-16",22.5661
"2009-07-17",22.3415
"2009-07-18",21.6744
"2009-07-19",22.1043
"2009-07-20",22.2928
"2009-07-21",22.0284
"2009-07-22",21.7853
"2009-07-23",21.7362
"2009-07-24",22.2604
"2009-07-25",21.9838
"2009-07-26",22.2507
"2009-07-27",22.3112
"2009-07-28",21.8748
"2009-07-29",21.9839
"2009-07-30",22.3401
"2009-07-31",22.3475
"2009-08-01",22.4094
"2009-08-02",22.0706
"2009-08-03",21.8386
"2009-08-04",22.0648
"2009-08-05",21.6737
"2009-08-06",22.0644
"2009-08-07",21.9019
"2009-08-08",21.7017
"2009-08-09",21.7272
"2009-08-10",21.6756
"2009-08-11",22.2075
"2009-08-12",22.0724
"2009-08-13",22.7525
"2009-08-14",23.0634
"2009-08-15",22.8479
"2009-08-16",23.2712
"2009-08-17",22.7469
"2009-08-18",23.0343
"2009-08-19",23.2632
"2009-08-20",23.4165
"2009-08-21",22.7531
"2009-08-22",21.9849
"2009-08-23",22.183
"2009-08-24",22.3621
"2009-08-25",22.1081
"2009-08-26",22.4795
"2009-08-27",22.9372
"2009-08-28",22.734
"2009-08-29",22.6282
"2009-08-30",22.2997
"2009-08-31",22.5064
"2009-09-01",22.7137
"2009-09-02",22.4738
"2009-09-03",22.1768
"2009-09-04",22.3685
"2009-09-05",22.4237
"2009-09-06",22.3023
"2009-09-07",22.412
"2009-09-08",22.2544
"2009-09-09",22.1298
"2009-09-10",21.8101
"2009-09-11",21.6056
"2009-09-12",22.0374
"2009-09-13",22.7605
"2009-09-14",21.5385
"2009-09-15",21.4993
"2009-09-16",21.9958
"2009-09-17",22.1694
"2009-09-18",22.4182
"2009-09-19",22.0139
"2009-09-20",22.0945
"2009-09-21",22.5805
"2009-09-22",21.6765
"2009-09-23",21.8869
"2009-09-24",21.5443
"2009-09-25",22.0261
"2009-09-26",21.5875
"2009-09-27",21.3485
"2009-09-28",21.9076
"2009-09-29",22.7075
"2009-09-30",22.4647
"2009-10-01",22.7085
"2009-10-02",22.5606
"2009-10-03",22.2747
"2009-10-04",21.4936
"2009-10-05",21.0928
"2009-10-06",21.0489
"2009-10-07",21.7813
"2009-10-08",21.5887
"2009-10-09",21.5333
"2009-10-10",21.14
"2009-10-11",21.7822
"2009-10-12",22.6158
"2009-10-13",22.3378
"2009-10-14",22.0156
"2009-10-15",20.4731
"2009-10-16",20.3082
"2009-10-17",21.6296
"2009-10-18",22.4442
"2009-10-19",22.5671
"2009-10-20",22.6831
"2009-10-21",21.1576
"2009-10-22",20.628
"2009-10-23",19.7215
"2009-10-24",20.2107
"2009-10-25",20.988
"2009-10-26",20.4656
"2009-10-27",21.2334
"2009-10-28",23.2712
"2009-10-29",23.5768
"2009-10-30",23.3721
"2009-10-31",23.4105
"2009-11-01",23.8407
"2009-11-02",23.2661
"2009-11-03",23.6351
"2009-11-04",23.7719
"2009-11-05",23.7876
"2009-11-06",23.9769
"2009-11-07",24.1898
"2009-11-08",23.9604
"2009-11-09",23.7916
"2009-11-10",22.9011
"2009-11-11",23.6106
"2009-11-12",24.0429
"2009-11-13",24.1438
"2009-11-14",23.6523
"2009-11-15",23.4015
"2009-11-16",23.8112
"2009-11-17",23.7236
"2009-11-18",23.4897
"2009-11-19",23.547
"2009-11-20",23.4575
"2009-11-21",23.5295
"2009-11-22",23.2541
"2009-11-23",22.8121
"2009-11-24",23.3694
"2009-11-25",23.0935
"2009-11-26",21.0256
"2009-11-27",20.9857
"2009-11-28",22.7919
"2009-11-29",23.3462
"2009-11-30",23.5344
"2009-12-01",23.442
"2009-12-02",23.3725
"2009-12-03",23.7695
"2009-12-04",22.9379
"2009-12-05",22.5747
"2009-12-06",22.9201
"2009-12-07",23.8109
"2009-12-08",23.5874
"2009-12-09",23.1856
"2009-12-10",22.5901
"2009-12-11",23.3364
"2009-12-12",23.8719
"2009-12-13",23.3953
