,"(deg C) Mean Dew Point Temperature (ERA5) at Puttalam, 2007-01-01 to 2025-12-31"
"2007-03-30",21.8119
"2007-03-31",23.4928
"2007-04-01",24.0596
"2007-04-02",24.7429
"2007-04-03",25.0989
"2007-04-04",24.6135
"2007-04-05",24.1887
"2007-04-06",24.4064
"2007-04-07",24.3885
"2007-04-08",24.1986
"2007-04-09",24.2098
"2007-04-10",24.1173
"2007-04-11",24.0542
"2007-04-12",24.6554
"2007-04-13",24.7086
"2007-04-14",24.4369
"2007-04-15",24.4597
"2007-04-16",24.4513
"2007-04-17",24.4907
"2007-04-18",25.1055
"2007-04-19",25.2806
"2007-04-20",25.286
"2007-04-21",24.8702
"2007-04-22",24.8129
"2007-04-23",25.4071
"2007-04-24",25.4254
"2007-04-25",25.3701
"2007-04-26",24.8138
"2007-04-27",24.7744
"2007-04-28",24.9224
"2007-04-29",25.0229
"2007-04-30",25.2728
"2007-05-01",26.006
"2007-05-02",26.4474
"2007-05-03",25.3507
"2007-05-04",25.3733
"2007-05-05",25.9101
"2007-05-06",26.0846
"2007-05-07",25.7992
"2007-05-08",25.7417
"2007-05-09",25.4135
"2007-05-10",25.8319
"2007-05-11",26.1469
"2007-05-12",25.6107
"2007-05-13",25.0454
"2007-05-14",25.0533
"2007-05-15",24.9557
"2007-05-16",24.9005
"2007-05-17",24.4047
"2007-05-18",25.2299
"2007-05-19",25.3448
"2007-05-20",25.6283
"2007-05-21",25.8327
"2007-05-22",25.495
"2007-05-23",25.4893
"2007-05-24",25.2988
"2007-05-25",25.3837
"2007-05-26",25.2736
"2007-05-27",25.1471
"2007-05-28",23.8791
"2007-05-29",24.5359
"2007-05-30",24.7913
"2007-05-31",24.4232
"2007-06-01",25.2469
"2007-06-02",25.3882
"2007-06-03",25.4225
"2007-06-04",25.3876
"2007-06-05",25.5492
"2007-06-06",25.5666
"2007-06-07",25.0821
"2007-06-08",24.7231
"2007-06-09",25.002
"2007-06-10",25.28
"2007-06-11",25.1779
"2007-06-12",25.0942
"2007-06-13",25.2661
"2007-06-14",24.9784
"2007-06-15",24.4437
"2007-06-16",24.8898
"2007-06-17",24.8027
"2007-06-18",24.4766
"2007-06-19",24.638
"2007-06-20",24.3733
"2007-06-21",24.2564
"2007-06-22",24.1186
"2007-06-23",24.3392
"2007-06-24",25.0208
"2007-06-25",24.9397
"2007-06-26",24.8641
"2007-06-27",25.0035
"2007-06-28",25.2154
"2007-06-29",25.0906
"2007-06-30",25.0128
"2007-07-01",24.8491
"2007-07-02",24.7555
"2007-07-03",24.8637
"2007-07-04",24.7841
"2007-07-05",24.9795
"2007-07-06",24.6689
"2007-07-07",24.6653
"2007-07-08",24.7121
"2007-07-09",24.8804
"2007-07-10",24.6018
"2007-07-11",24.8071
"2007-07-12",24.778
"2007-07-13",24.7138
"2007-07-14",24.8343
"2007-07-15",24.8121
"2007-07-16",24.6517
"2007-07-17",24.4593
"2007-07-18",24.4082
"2007-07-19",24.2444
"2007-07-20",23.7631
"2007-07-21",24.0114
"2007-07-22",23.8584
"2007-07-23",24.0248
"2007-07-24",23.7721
"2007-07-25",23.5334
"2007-07-26",23.8969
"2007-07-27",23.9826
"2007-07-28",24.1789
"2007-07-29",24.3101
"2007-07-30",24.2031
"2007-07-31",24.0451
"2007-08-01",23.782
"2007-08-02",23.9783
"2007-08-03",24.0543
"2007-08-04",24.3755
"2007-08-05",24.4964
"2007-08-06",24.6381
"2007-08-07",24.7031
"2007-08-08",24.6803
"2007-08-09",24.5175
"2007-08-10",24.6766
"2007-08-11",24.4958
"2007-08-12",24.5901
"2007-08-13",24.536
"2007-08-14",24.3496
"2007-08-15",24.3411
"2007-08-16",24.3816
"2007-08-17",24.4585
"2007-08-18",24.575
"2007-08-19",24.5733
"2007-08-20",24.5012
"2007-08-21",24.4958
"2007-08-22",24.148
"2007-08-23",24.4361
"2007-08-24",24.4345
"2007-08-25",24.1742
"2007-08-26",24.3308
"2007-08-27",24.2296
"2007-08-28",24.6042
"2007-08-29",24.5139
"2007-08-30",24.2297
"2007-08-31",23.9944
"2007-09-01",24.2469
"2007-09-02",24.3946
"2007-09-03",24.485
"2007-09-04",24.5194
"2007-09-05",24.4374
"2007-09-06",24.0671
"2007-09-07",24.764
"2007-09-08",24.6438
"2007-09-09",23.9002
"2007-09-10",24.1323
"2007-09-11",24.3648
"2007-09-12",24.1899
"2007-09-13",24.5302
"2007-09-14",24.5685
"2007-09-15",24.8512
"2007-09-16",24.7248
"2007-09-17",24.8658
"2007-09-18",24.7443
"2007-09-19",24.6889
"2007-09-20",24.6294
"2007-09-21",24.8058
"2007-09-22",24.4846
"2007-09-23",24.3024
"2007-09-24",24.6221
"2007-09-25",24.7284
"2007-09-26",24.7674
"2007-09-27",24.7933
"2007-09-28",24.4673
"2007-09-29",24.6542
"2007-09-30",24.3905
"2007-10-01",24.149
"2007-10-02",24.567
"2007-10-03",24.7017
"2007-10-04",24.5192
"2007-10-05",24.314
"2007-10-06",24.3487
"2007-10-07",24.429
"2007-10-08",24.417
"2007-10-09",24.3493
"2007-10-10",24.063
"2007-10-11",23.8499
"2007-10-12",24.0627
"2007-10-13",24.1717
"2007-10-14",24.1431
"2007-10-15",24.167
"2007-10-16",23.9547
"2007-10-17",23.8069
"2007-10-18",23.4516
"2007-10-19",23.6961
"2007-10-20",23.263
"2007-10-21",23.478
"2007-10-22",23.4944
"2007-10-23",23.8531
"2007-10-24",24.035
"2007-10-25",23.8339
"2007-10-26",23.499
"2007-10-27",23.8234
"2007-10-28",24.3263
"2007-10-29",24.3299
"2007-10-30",24.4024
"2007-10-31",24.6024
"2007-11-01",24.4683
"2007-11-02",23.5693
"2007-11-03",23.4116
"2007-11-04",23.5801
"2007-11-05",23.7848
"2007-11-06",23.4022
"2007-11-07",23.6416
"2007-11-08",23.6568
"2007-11-09",23.8018
"2007-11-10",23.4318
"2007-11-11",23.6424
"2007-11-12",23.8679
"2007-11-13",23.2614
"2007-11-14",21.2486
"2007-11-15",21.2475
"2007-11-16",19.3162
"2007-11-17",19.3086
"2007-11-18",22.3207
"2007-11-19",23.6301
"2007-11-20",23.7027
"2007-11-21",23.6444
"2007-11-22",23.5802
"2007-11-23",22.1943
"2007-11-24",22.3743
"2007-11-25",20.3441
"2007-11-26",21.5546
"2007-11-27",23.4901
"2007-11-28",23.4935
"2007-11-29",22.7441
"2007-11-30",21.0699
"2007-12-01",22.1127
"2007-12-02",22.2269
"2007-12-03",21.1713
"2007-12-04",22.4448
"2007-12-05",21.678
"2007-12-06",21.61
"2007-12-07",22.4424
"2007-12-08",23.1671
"2007-12-09",22.9815
"2007-12-10",22.6857
"2007-12-11",22.1418
"2007-12-12",22.6293
"2007-12-13",23.3833
"2007-12-14",23.6052
"2007-12-15",23.4382
"2007-12-16",22.8087
"2007-12-17",23.6303
"2007-12-18",24.0433
"2007-12-19",23.7344
"2007-12-20",23.7969
"2007-12-21",23.4783
"2007-12-22",23.1516
"2007-12-23",22.9384
"2007-12-24",21.45
"2007-12-25",20.2725
"2007-12-26",20.4158
"2007-12-27",21.0969
"2007-12-28",21.2301
"2007-12-29",21.2107
"2007-12-30",21.4131
"2007-12-31",20.5356
"2008-01-01",20.09
"2008-01-02",21.0258
"2008-01-03",22.6867
"2008-01-04",23.2569
"2008-01-05",23.0218
"2008-01-06",22.3632
"2008-01-07",21.3473
"2008-01-08",21.7376
"2008-01-09",22.5459
"2008-01-10",22.8757
"2008-01-11",22.8174
"2008-01-12",22.6509
"2008-01-13",22.391
"2008-01-14",20.8053
"2008-01-15",20.1121
"2008-01-16",20.4716
"2008-01-17",19.8885
"2008-01-18",19.3447
"2008-01-19",19.0701
"2008-01-20",21.3405
"2008-01-21",23.4268
"2008-01-22",22.9297
"2008-01-23",20.8986
"2008-01-24",22.1019
"2008-01-25",22.8057
"2008-01-26",22.9914
"2008-01-27",23.3047
"2008-01-28",22.7599
"2008-01-29",23.0991
"2008-01-30",22.4172
"2008-01-31",23.1708
"2008-02-01",22.956
"2008-02-02",22.9148
"2008-02-03",21.783
"2008-02-04",21.7881
"2008-02-05",22.1202
"2008-02-06",23.4573
"2008-02-07",23.5674
"2008-02-08",23.5857
"2008-02-09",23.7879
"2008-02-10",23.8547
"2008-02-11",23.703
"2008-02-12",23.4508
"2008-02-13",23.2899
"2008-02-14",23.3098
"2008-02-15",22.6935
"2008-02-16",22.2524
"2008-02-17",21.147
"2008-02-18",20.822
"2008-02-19",20.8077
"2008-02-20",22.5448
"2008-02-21",23.0609
"2008-02-22",21.2301
"2008-02-23",18.636
"2008-02-24",18.3285
"2008-02-25",18.6916
"2008-02-26",21.043
"2008-02-27",23.2097
"2008-02-28",22.9383
"2008-02-29",23.1775
"2008-03-01",22.8813
"2008-03-02",23.4088
"2008-03-03",23.1854
"2008-03-04",22.7198
"2008-03-05",23.2886
"2008-03-06",23.0553
"2008-03-07",21.7838
"2008-03-08",20.3927
"2008-03-09",22.924
"2008-03-10",23.2913
"2008-03-11",23.381
"2008-03-12",23.4937
"2008-03-13",23.3419
"2008-03-14",23.6773
"2008-03-15",23.5395
"2008-03-16",23.8264
"2008-03-17",23.9044
"2008-03-18",23.4603
"2008-03-19",23.6711
"2008-03-20",23.7376
"2008-03-21",24.0146
"2008-03-22",24.1006
"2008-03-23",24.176
"2008-03-24",24.2586
"2008-03-25",24.1328
"2008-03-26",24.3196
"2008-03-27",24.0301
"2008-03-28",23.9422
"2008-03-29",24.4914
"2008-03-30",24.2832
"2008-03-31",24.6392
"2008-04-01",24.6222
"2008-04-02",24.4631
"2008-04-03",24.4613
"2008-04-04",24.277
"2008-04-05",24.1288
"2008-04-06",23.7695
"2008-04-07",23.8836
"2008-04-08",23.7246
"2008-04-09",23.6583
"2008-04-10",23.8206
"2008-04-11",23.7659
"2008-04-12",23.7341
"2008-04-13",24.2755
"2008-04-14",24.2949
"2008-04-15",24.2436
"2008-04-16",24.485
"2008-04-17",24.7349
"2008-04-18",24.9596
"2008-04-19",25.2384
"2008-04-20",25.4318
"2008-04-21",25.9093
"2008-04-22",25.748
"2008-04-23",26.0184
"2008-04-24",25.393
"2008-04-25",24.8255
"2008-04-26",24.6265
"2008-04-27",25.0705
"2008-04-28",25.2271
"2008-04-29",25.5153
"2008-04-30",25.4744
"2008-05-01",25.5793
"2008-05-02",25.6845
"2008-05-03",25.529
"2008-05-04",25.284
"2008-05-05",25.1729
"2008-05-06",25.2223
"2008-05-07",24.6494
"2008-05-08",24.9881
"2008-05-09",24.4503
"2008-05-10",24.8505
"2008-05-11",25.4491
"2008-05-12",25.0447
"2008-05-13",24.7753
"2008-05-14",25.0541
"2008-05-15",25.1422
"2008-05-16",25.251
"2008-05-17",25.2411
"2008-05-18",25.4876
"2008-05-19",25.355
"2008-05-20",25.1684
"2008-05-21",24.9071
"2008-05-22",25.1916
"2008-05-23",24.6439
"2008-05-24",24.5796
"2008-05-25",24.8481
"2008-05-26",24.7003
"2008-05-27",24.6717
"2008-05-28",24.9705
"2008-05-29",24.796
"2008-05-30",24.8228
"2008-05-31",24.643
"2008-06-01",24.5363
"2008-06-02",24.5249
"2008-06-03",24.3296
"2008-06-04",24.8549
"2008-06-05",24.9885
"2008-06-06",25.3473
"2008-06-07",25.3473
"2008-06-08",25.2325
"2008-06-09",25.2542
"2008-06-10",24.7944
"2008-06-11",24.8273
"2008-06-12",25.2565
"2008-06-13",25.163
"2008-06-14",25.0727
"2008-06-15",25.0151
"2008-06-16",25.0297
"2008-06-17",24.6446
"2008-06-18",24.9135
"2008-06-19",24.7373
"2008-06-20",24.6037
"2008-06-21",24.732
"2008-06-22",24.5247
"2008-06-23",24.6126
"2008-06-24",24.4848
"2008-06-25",24.9203
"2008-06-26",24.5937
"2008-06-27",24.6241
"2008-06-28",24.3233
"2008-06-29",24.7669
"2008-06-30",24.8319
"2008-07-01",24.7142
"2008-07-02",23.8621
"2008-07-03",24.3808
"2008-07-04",24.8434
"2008-07-05",24.8971
"2008-07-06",24.8534
"2008-07-07",24.9833
"2008-07-08",24.8622
"2008-07-09",24.8486
"2008-07-10",24.9406
"2008-07-11",24.6867
"2008-07-12",24.5631
"2008-07-13",24.5201
"2008-07-14",24.7506
"2008-07-15",24.6744
"2008-07-16",24.0451
"2008-07-17",24.1313
"2008-07-18",24.1996
"2008-07-19",24.6374
"2008-07-20",24.1715
"2008-07-21",24.3184
"2008-07-22",24.4874
"2008-07-23",24.5282
"2008-07-24",24.0692
"2008-07-25",24.2142
"2008-07-26",24.134
"2008-07-27",24.1499
"2008-07-28",24.2045
"2008-07-29",24.0094
"2008-07-30",24.1617
"2008-07-31",24.1801
"2008-08-01",24.4447
"2008-08-02",24.5094
"2008-08-03",24.6593
"2008-08-04",24.4913
"2008-08-05",24.4221
"2008-08-06",24.1308
"2008-08-07",24.1361
"2008-08-08",24.0785
"2008-08-09",24.1377
"2008-08-10",24.3326
"2008-08-11",24.5789
"2008-08-12",24.4128
"2008-08-13",23.9839
"2008-08-14",24.3543
"2008-08-15",24.3837
"2008-08-16",24.1738
"2008-08-17",23.9122
"2008-08-18",24.452
"2008-08-19",24.3078
"2008-08-20",24.2973
"2008-08-21",24.2898
"2008-08-22",24.109
"2008-08-23",24.2579
"2008-08-24",24.2792
"2008-08-25",24.3516
"2008-08-26",24.1274
"2008-08-27",24.0894
"2008-08-28",23.9893
"2008-08-29",24.0134
"2008-08-30",23.7242
"2008-08-31",23.6487
"2008-09-01",24.1217
"2008-09-02",24.0986
"2008-09-03",24.1281
"2008-09-04",24.512
"2008-09-05",24.0227
"2008-09-06",24.2837
"2008-09-07",23.9172
"2008-09-08",23.9965
"2008-09-09",24.3964
"2008-09-10",24.4485
"2008-09-11",24.4412
"2008-09-12",24.524
"2008-09-13",24.3573
"2008-09-14",24.5644
"2008-09-15",24.2142
"2008-09-16",24.4567
"2008-09-17",24.1947
"2008-09-18",24.4698
"2008-09-19",24.3366
"2008-09-20",23.7259
"2008-09-21",24.2496
"2008-09-22",24.3551
"2008-09-23",24.2533
"2008-09-24",23.9162
"2008-09-25",24.1022
"2008-09-26",24.2342
"2008-09-27",24.5879
"2008-09-28",24.3184
"2008-09-29",23.2659
"2008-09-30",22.6272
"2008-10-01",23.2273
"2008-10-02",23.387
"2008-10-03",23.3905
"2008-10-04",23.5362
"2008-10-05",23.9764
"2008-10-06",24.2195
"2008-10-07",23.9145
"2008-10-08",23.7067
"2008-10-09",23.5821
"2008-10-10",24.1559
"2008-10-11",24.0974
"2008-10-12",23.7107
"2008-10-13",23.8242
"2008-10-14",23.9724
"2008-10-15",23.8858
"2008-10-16",24.2118
"2008-10-17",24.1071
"2008-10-18",24.1293
"2008-10-19",24.0909
"2008-10-20",24.2381
"2008-10-21",23.9179
"2008-10-22",24.2887
"2008-10-23",24.3273
"2008-10-24",24.3033
"2008-10-25",24.1518
"2008-10-26",24.5453
"2008-10-27",24.7535
"2008-10-28",24.6293
"2008-10-29",24.3675
"2008-10-30",22.3831
"2008-10-31",22.6
"2008-11-01",21.5646
"2008-11-02",22.0968
"2008-11-03",21.9783
"2008-11-04",21.8982
"2008-11-05",21.2961
"2008-11-06",21.1072
"2008-11-07",22.2378
"2008-11-08",23.5115
"2008-11-09",23.9082
"2008-11-10",24.1074
"2008-11-11",23.9937
"2008-11-12",23.821
"2008-11-13",23.5045
"2008-11-14",23.8742
"2008-11-15",23.4808
"2008-11-16",24.1961
"2008-11-17",23.6252
"2008-11-18",23.8287
"2008-11-19",24.1636
"2008-11-20",24.4141
"2008-11-21",24.1538
"2008-11-22",24.0646
"2008-11-23",23.9415
"2008-11-24",23.893
"2008-11-25",23.7865
"2008-11-26",23.3616
"2008-11-27",24.3838
"2008-11-28",24.6638
"2008-11-29",24.5243
"2008-11-30",23.7454
"2008-12-01",23.6698
"2008-12-02",23.7569
"2008-12-03",22.0771
"2008-12-04",21.9899
"2008-12-05",22.9791
"2008-12-06",23.2798
"2008-12-07",23.4065
"2008-12-08",24.0282
"2008-12-09",24.0091
"2008-12-10",24.0034
"2008-12-11",23.9801
"2008-12-12",23.0638
"2008-12-13",22.5587
"2008-12-14",23.2133
"2008-12-15",23.4416
"2008-12-16",23.3477
"2008-12-17",23.3803
"2008-12-18",23.2751
"2008-12-19",23.7354
"2008-12-20",23.4262
"2008-12-21",22.5854
"2008-12-22",22.3361
"2008-12-23",21.7163
"2008-12-24",22.511
"2008-12-25",22.5886
"2008-12-26",22.0658
"2008-12-27",21.8831
"2008-12-28",21.402
"2008-12-29",20.231
"2008-12-30",18.7777
"2008-12-31",18.5915
"2009-01-01",19.2604
"2009-01-02",19.8126
"2009-01-03",19.8106
"2009-01-04",20.7334
"2009-01-05",20.3331
"2009-01-06",22.3546
"2009-01-07",22.0514
"2009-01-08",22.358
"2009-01-09",23.0529
"2009-01-10",22.2132
"2009-01-11",21.6764
"2009-01-12",21.723
"2009-01-13",21.53
"2009-01-14",21.5753
"2009-01-15",21.0854
"2009-01-16",20.4314
"2009-01-17",20.0008
"2009-01-18",20.6007
"2009-01-19",20.808
"2009-01-20",19.5312
"2009-01-21",19.5332
"2009-01-22",19.4502
"2009-01-23",19.7333
"2009-01-24",19.3084
"2009-01-25",21.6147
"2009-01-26",23.4307
"2009-01-27",23.4774
"2009-01-28",23.373
"2009-01-29",21.8088
"2009-01-30",20.6702
"2009-01-31",20.4619
"2009-02-01",19.8363
"2009-02-02",19.6016
"2009-02-03",19.7748
"2009-02-04",20.0417
"2009-02-05",18.763
"2009-02-06",18.9279
"2009-02-07",18.5757
"2009-02-08",18.4381
"2009-02-09",18.3687
"2009-02-10",18.8215
"2009-02-11",18.8841
"2009-02-12",20.0189
"2009-02-13",18.4875
"2009-02-14",19.0344
"2009-02-15",20.0319
"2009-02-16",19.6559
"2009-02-17",19.2508
"2009-02-18",19.4077
"2009-02-19",20.1814
"2009-02-20",22.3957
"2009-02-21",22.8854
"2009-02-22",23.2371
"2009-02-23",23.4249
"2009-02-24",24.0942
"2009-02-25",24.4854
"2009-02-26",24.4293
"2009-02-27",23.8717
"2009-02-28",23.2662
"2009-03-01",22.7813
"2009-03-02",21.6489
"2009-03-03",21.69
"2009-03-04",22.7717
"2009-03-05",23.3612
"2009-03-06",23.3168
"2009-03-07",23.2357
"2009-03-08",23.4148
"2009-03-09",23.6437
"2009-03-10",23.7026
"2009-03-11",23.6959
"2009-03-12",23.9269
"2009-03-13",23.8596
"2009-03-14",23.8124
"2009-03-15",23.698
"2009-03-16",23.6903
"2009-03-17",23.9216
"2009-03-18",23.8013
"2009-03-19",23.9064
"2009-03-20",24.2499
"2009-03-21",24.4316
"2009-03-22",24.2089
"2009-03-23",23.9951
"2009-03-24",23.6487
"2009-03-25",23.8779
"2009-03-26",24.0927
"2009-03-27",24.6278
"2009-03-28",24.0849
"2009-03-29",23.7647
"2009-03-30",24.0465
"2009-03-31",24.139
"2009-04-01",24.5953
"2009-04-02",24.4216
"2009-04-03",23.9215
"2009-04-04",24.3265
"2009-04-05",24.3122
"2009-04-06",24.6675
"2009-04-07",24.691
"2009-04-08",24.3738
"2009-04-09",24.2681
"2009-04-10",24.2666
"2009-04-11",24.4088
"2009-04-12",24.5463
"2009-04-13",24.9219
"2009-04-14",25.9451
"2009-04-15",26.101
"2009-04-16",25.9886
"2009-04-17",25.6501
"2009-04-18",25.7419
"2009-04-19",25.417
"2009-04-20",25.1742
"2009-04-21",24.7732
"2009-04-22",25.1563
"2009-04-23",25.6414
"2009-04-24",25.572
"2009-04-25",25.7324
"2009-04-26",25.7098
"2009-04-27",25.4254
"2009-04-28",25.3057
"2009-04-29",25.0681
"2009-04-30",25.1066
"2009-05-01",25.5643
"2009-05-02",26.2351
"2009-05-03",26.0409
"2009-05-04",26.0095
"2009-05-05",25.4347
"2009-05-06",25.7844
"2009-05-07",26.0012
"2009-05-08",25.6365
"2009-05-09",25.8163
"2009-05-10",26.0742
"2009-05-11",26.1347
"2009-05-12",26.2314
"2009-05-13",26.0816
"2009-05-14",25.8983
"2009-05-15",25.3914
"2009-05-16",25.9339
"2009-05-17",25.5409
"2009-05-18",25.377
"2009-05-19",25.4405
"2009-05-20",25.238
"2009-05-21",25.1869
"2009-05-22",25.2322
"2009-05-23",25.3253
"2009-05-24",25.5287
"2009-05-25",25.1547
"2009-05-26",25.3612
"2009-05-27",25.4925
"2009-05-28",25.5273
"2009-05-29",25.6096
"2009-05-30",25.3072
"2009-05-31",25.2712
"2009-06-01",25.3149
"2009-06-02",25.2972
"2009-06-03",25.7254
"2009-06-04",25.7081
"2009-06-05",25.2573
"2009-06-06",24.5883
"2009-06-07",24.9383
"2009-06-08",24.8887
"2009-06-09",25.0278
"2009-06-10",25.2693
"2009-06-11",24.7826
"2009-06-12",24.5321
"2009-06-13",24.936
"2009-06-14",25.0952
"2009-06-15",24.7565
"2009-06-16",24.7034
"2009-06-17",24.7984
"2009-06-18",24.3921
"2009-06-19",24.3955
"2009-06-20",24.6055
"2009-06-21",24.925
"2009-06-22",24.8747
"2009-06-23",24.9757
"2009-06-24",24.962
"2009-06-25",24.8555
"2009-06-26",24.6282
"2009-06-27",24.89
"2009-06-28",24.9183
"2009-06-29",24.6172
"2009-06-30",24.4557
"2009-07-01",23.9218
"2009-07-02",24.0283
"2009-07-03",24.1756
"2009-07-04",24.5588
"2009-07-05",24.5926
"2009-07-06",24.3998
"2009-07-07",24.4404
"2009-07-08",24.1474
"2009-07-09",24.5557
"2009-07-10",24.6817
"2009-07-11",24.7063
"2009-07-12",24.6759
"2009-07-13",24.5725
"2009-07-14",24.8061
"2009-07-15",24.8639
"2009-07-16",24.3058
"2009-07-17",23.9814
"2009-07-18",24.3824
"2009-07-19",24.5925
"2009-07-20",24.6704
"2009-07-21",24.6836
"2009-07-22",24.5363
"2009-07-23",24.5894
"2009-07-24",24.7115
"2009-07-25",24.755
"2009-07-26",24.6607
"2009-07-27",24.6955
"2009-07-28",24.5156
"2009-07-29",24.4645
"2009-07-30",24.6107
"2009-07-31",24.425
"2009-08-01",24.4153
"2009-08-02",24.5635
"2009-08-03",24.5544
"2009-08-04",24.586
"2009-08-05",24.4969
"2009-08-06",24.6284
"2009-08-07",24.5186
"2009-08-08",24.5665
"2009-08-09",24.5836
"2009-08-10",24.5811
"2009-08-11",24.6267
"2009-08-12",24.6732
"2009-08-13",24.7884
"2009-08-14",24.941
"2009-08-15",24.8253
"2009-08-16",24.7541
"2009-08-17",23.7691
"2009-08-18",24.2139
"2009-08-19",24.1204
"2009-08-20",24.0049
"2009-08-21",23.9123
"2009-08-22",24.0572
"2009-08-23",24.3579
"2009-08-24",24.4452
"2009-08-25",24.449
"2009-08-26",24.5886
"2009-08-27",24.6773
"2009-08-28",24.5561
"2009-08-29",24.7408
"2009-08-30",24.6703
"2009-08-31",24.4932
"2009-09-01",24.5847
"2009-09-02",24.3407
"2009-09-03",24.4438
"2009-09-04",24.3444
"2009-09-05",24.4835
"2009-09-06",24.3187
"2009-09-07",24.3208
"2009-09-08",24.4271
"2009-09-09",24.4113
"2009-09-10",24.4249
"2009-09-11",24.3726
"2009-09-12",24.7843
"2009-09-13",25.1551
"2009-09-14",24.5583
"2009-09-15",24.4639
"2009-09-16",24.6963
"2009-09-17",24.4976
"2009-09-18",24.4561
"2009-09-19",24.6456
"2009-09-20",24.4504
"2009-09-21",24.4388
"2009-09-22",24.2094
"2009-09-23",24.2876
"2009-09-24",24.4509
"2009-09-25",24.7649
"2009-09-26",24.4744
"2009-09-27",24.0792
"2009-09-28",24.4201
"2009-09-29",24.4518
"2009-09-30",24.5849
"2009-10-01",24.5943
"2009-10-02",24.3033
"2009-10-03",24.6797
"2009-10-04",24.3519
"2009-10-05",24.2472
"2009-10-06",24.2437
"2009-10-07",24.4028
"2009-10-08",24.3247
"2009-10-09",24.3019
"2009-10-10",24.316
"2009-10-11",24.1975
"2009-10-12",23.7342
"2009-10-13",23.6937
"2009-10-14",23.5924
"2009-10-15",23.6687
"2009-10-16",23.9354
"2009-10-17",24.0297
"2009-10-18",24.3826
"2009-10-19",24.2638
"2009-10-20",24.1262
"2009-10-21",23.8281
"2009-10-22",22.736
"2009-10-23",22.1648
"2009-10-24",22.6465
"2009-10-25",22.8178
"2009-10-26",22.4741
"2009-10-27",23.0894
"2009-10-28",23.865
"2009-10-29",24.0551
"2009-10-30",24.072
"2009-10-31",24.0622
"2009-11-01",24.1028
"2009-11-02",23.72
"2009-11-03",23.7527
"2009-11-04",23.9712
"2009-11-05",24.2622
"2009-11-06",24.1156
"2009-11-07",24.259
"2009-11-08",24.275
"2009-11-09",24.223
"2009-11-10",24.0529
"2009-11-11",24.7174
"2009-11-12",24.8262
"2009-11-13",24.4728
"2009-11-14",24.0966
"2009-11-15",24.1172
"2009-11-16",24.1992
"2009-11-17",24.0435
"2009-11-18",23.7784
"2009-11-19",23.6911
"2009-11-20",23.4225
"2009-11-21",23.6681
"2009-11-22",23.7443
"2009-11-23",23.7872
"2009-11-24",23.6611
"2009-11-25",23.4558
"2009-11-26",22.0821
"2009-11-27",20.7487
"2009-11-28",22.4875
"2009-11-29",23.6901
"2009-11-30",23.7698
"2009-12-01",23.6734
"2009-12-02",23.6787
"2009-12-03",23.9394
"2009-12-04",23.9332
"2009-12-05",23.2625
"2009-12-06",22.8987
"2009-12-07",23.4431
"2009-12-08",23.7987
"2009-12-09",23.3184
"2009-12-10",22.0596
"2009-12-11",23.5713
"2009-12-12",24.1765
