,"(deg C) Mean Dew Point Temperature (ERA5) at Kegalle, 2007-01-01 to 2025-12-31"
"2007-04-03",22.5944
"2007-04-04",22.0871
"2007-04-05",22.9648
"2007-04-06",23.3318
"2007-04-07",23.3431
"2007-04-08",23.4795
"2007-04-09",23.5683
"2007-04-10",23.5062
"2007-04-11",23.0145
"2007-04-12",23.7529
"2007-04-13",23.9279
"2007-04-14",23.712
"2007-04-15",23.6651
"2007-04-16",23.2465
"2007-04-17",23.2864
"2007-04-18",23.6123
"2007-04-19",23.7653
"2007-04-20",23.4612
"2007-04-21",23.1504
"2007-04-22",23.562
"2007-04-23",23.7919
"2007-04-24",23.8276
"2007-04-25",23.71
"2007-04-26",23.3885
"2007-04-27",23.1162
"2007-04-28",23.3447
"2007-04-29",23.5871
"2007-04-30",23.8038
"2007-05-01",24.1088
"2007-05-02",24.7699
"2007-05-03",23.1843
"2007-05-04",23.7447
"2007-05-05",24.6228
"2007-05-06",24.458
"2007-05-07",24.6066
"2007-05-08",24.6819
"2007-05-09",24.0637
"2007-05-10",24.5591
"2007-05-11",24.7304
"2007-05-12",24.3685
"2007-05-13",23.8156
"2007-05-14",23.1568
"2007-05-15",22.067
"2007-05-16",21.9099
"2007-05-17",22.0734
"2007-05-18",23.6741
"2007-05-19",24.0326
"2007-05-20",24.1616
"2007-05-21",24.5603
"2007-05-22",24.2971
"2007-05-23",24.4819
"2007-05-24",24.1421
"2007-05-25",24.0772
"2007-05-26",24.1059
"2007-05-27",24.0554
"2007-05-28",22.8441
"2007-05-29",22.8308
"2007-05-30",23.6466
"2007-05-31",23.325
"2007-06-01",23.7988
"2007-06-02",23.9618
"2007-06-03",23.8808
"2007-06-04",23.6951
"2007-06-05",24.2253
"2007-06-06",24.3832
"2007-06-07",23.9353
"2007-06-08",23.3346
"2007-06-09",23.5432
"2007-06-10",23.9991
"2007-06-11",23.9306
"2007-06-12",23.8872
"2007-06-13",24.0476
"2007-06-14",23.1528
"2007-06-15",23.0025
"2007-06-16",23.1982
"2007-06-17",23.1134
"2007-06-18",22.3744
"2007-06-19",22.9222
"2007-06-20",22.9073
"2007-06-21",23.0691
"2007-06-22",22.7154
"2007-06-23",22.8328
"2007-06-24",23.7516
"2007-06-25",23.7864
"2007-06-26",23.2617
"2007-06-27",23.5385
"2007-06-28",23.6872
"2007-06-29",23.6987
"2007-06-30",23.8887
"2007-07-01",23.7651
"2007-07-02",23.3879
"2007-07-03",23.5893
"2007-07-04",23.331
"2007-07-05",23.7373
"2007-07-06",23.7148
"2007-07-07",23.1622
"2007-07-08",23.3559
"2007-07-09",23.5585
"2007-07-10",23.0609
"2007-07-11",23.3779
"2007-07-12",23.7069
"2007-07-13",23.8381
"2007-07-14",23.7939
"2007-07-15",23.4987
"2007-07-16",23.747
"2007-07-17",23.401
"2007-07-18",23.2089
"2007-07-19",23.1348
"2007-07-20",22.5762
"2007-07-21",22.0195
"2007-07-22",22.1909
"2007-07-23",22.5915
"2007-07-24",22.534
"2007-07-25",21.524
"2007-07-26",22.122
"2007-07-27",22.6391
"2007-07-28",22.8889
"2007-07-29",23.0793
"2007-07-30",22.9867
"2007-07-31",22.8401
"2007-08-01",22.3214
"2007-08-02",22.5225
"2007-08-03",22.7789
"2007-08-04",22.9206
"2007-08-05",23.2428
"2007-08-06",22.8114
"2007-08-07",22.9321
"2007-08-08",23.198
"2007-08-09",23.3599
"2007-08-10",23.176
"2007-08-11",23.2719
"2007-08-12",23.4635
"2007-08-13",23.1941
"2007-08-14",22.3984
"2007-08-15",22.6131
"2007-08-16",23.1894
"2007-08-17",22.9848
"2007-08-18",23.1436
"2007-08-19",22.9207
"2007-08-20",23.2009
"2007-08-21",22.972
"2007-08-22",22.7948
"2007-08-23",23.2756
"2007-08-24",23.0157
"2007-08-25",22.8599
"2007-08-26",22.7642
"2007-08-27",22.7207
"2007-08-28",23.1189
"2007-08-29",23.024
"2007-08-30",22.8089
"2007-08-31",22.1535
"2007-09-01",22.3482
"2007-09-02",22.9495
"2007-09-03",22.9375
"2007-09-04",22.9883
"2007-09-05",23.3716
"2007-09-06",22.9925
"2007-09-07",23.6698
"2007-09-08",23.6375
"2007-09-09",21.6834
"2007-09-10",22.3281
"2007-09-11",23.0854
"2007-09-12",22.7721
"2007-09-13",23.0496
"2007-09-14",23.3314
"2007-09-15",23.3262
"2007-09-16",23.5965
"2007-09-17",23.5258
"2007-09-18",23.3053
"2007-09-19",23.378
"2007-09-20",23.6342
"2007-09-21",23.5965
"2007-09-22",23.3094
"2007-09-23",23.2212
"2007-09-24",23.1455
"2007-09-25",23.0852
"2007-09-26",23.0862
"2007-09-27",23.2786
"2007-09-28",23.2928
"2007-09-29",22.7156
"2007-09-30",22.3571
"2007-10-01",23.1232
"2007-10-02",23.0252
"2007-10-03",23.2761
"2007-10-04",23.3173
"2007-10-05",22.9147
"2007-10-06",22.6946
"2007-10-07",22.9045
"2007-10-08",22.5333
"2007-10-09",22.8856
"2007-10-10",22.9719
"2007-10-11",22.8316
"2007-10-12",22.7149
"2007-10-13",22.8341
"2007-10-14",22.9719
"2007-10-15",23.028
"2007-10-16",22.952
"2007-10-17",22.7706
"2007-10-18",22.3354
"2007-10-19",22.6879
"2007-10-20",21.4558
"2007-10-21",21.8928
"2007-10-22",21.9616
"2007-10-23",22.4063
"2007-10-24",23.0834
"2007-10-25",23.1764
"2007-10-26",22.5183
"2007-10-27",22.218
"2007-10-28",22.6409
"2007-10-29",22.389
"2007-10-30",22.2799
"2007-10-31",22.4241
"2007-11-01",22.6444
"2007-11-02",22.6167
"2007-11-03",22.7754
"2007-11-04",22.8613
"2007-11-05",23.0195
"2007-11-06",22.6452
"2007-11-07",22.5845
"2007-11-08",22.7411
"2007-11-09",22.4354
"2007-11-10",21.6084
"2007-11-11",22.3939
"2007-11-12",22.3311
"2007-11-13",22.1146
"2007-11-14",19.9477
"2007-11-15",19.096
"2007-11-16",19.055
"2007-11-17",17.9048
"2007-11-18",20.6788
"2007-11-19",22.028
"2007-11-20",23.1208
"2007-11-21",22.8479
"2007-11-22",22.8621
"2007-11-23",22.8899
"2007-11-24",22.631
"2007-11-25",20.3793
"2007-11-26",20.0821
"2007-11-27",21.3418
"2007-11-28",21.6712
"2007-11-29",21.4133
"2007-11-30",19.2195
"2007-12-01",20.1278
"2007-12-02",21.069
"2007-12-03",19.6162
"2007-12-04",20.638
"2007-12-05",19.5725
"2007-12-06",19.6233
"2007-12-07",21.2592
"2007-12-08",21.6459
"2007-12-09",21.352
"2007-12-10",20.9522
"2007-12-11",20.3388
"2007-12-12",21.5469
"2007-12-13",22.6783
"2007-12-14",23.1213
"2007-12-15",22.4513
"2007-12-16",22.1904
"2007-12-17",22.6003
"2007-12-18",23.0471
"2007-12-19",23.214
"2007-12-20",23.2952
"2007-12-21",22.7866
"2007-12-22",22.2587
"2007-12-23",22.1739
"2007-12-24",22.362
"2007-12-25",20.2024
"2007-12-26",18.2225
"2007-12-27",19.3288
"2007-12-28",20.1804
"2007-12-29",19.6999
"2007-12-30",18.8957
"2007-12-31",18.7643
"2008-01-01",19.5473
"2008-01-02",20.7023
"2008-01-03",22.1369
"2008-01-04",22.328
"2008-01-05",22.0035
"2008-01-06",21.7789
"2008-01-07",21.6679
"2008-01-08",22.2267
"2008-01-09",22.5068
"2008-01-10",22.5631
"2008-01-11",22.4918
"2008-01-12",22.4808
"2008-01-13",22.0549
"2008-01-14",19.4307
"2008-01-15",18.5687
"2008-01-16",18.9585
"2008-01-17",18.8814
"2008-01-18",18.6688
"2008-01-19",18.4816
"2008-01-20",20.1883
"2008-01-21",22.6024
"2008-01-22",21.576
"2008-01-23",19.6959
"2008-01-24",20.882
"2008-01-25",21.961
"2008-01-26",21.8424
"2008-01-27",21.9431
"2008-01-28",21.2266
"2008-01-29",21.3121
"2008-01-30",21.0652
"2008-01-31",21.2725
"2008-02-01",21.3603
"2008-02-02",21.2294
"2008-02-03",20.4836
"2008-02-04",20.1144
"2008-02-05",20.2157
"2008-02-06",22.5961
"2008-02-07",22.9112
"2008-02-08",22.4873
"2008-02-09",22.8685
"2008-02-10",22.7013
"2008-02-11",22.2234
"2008-02-12",21.7277
"2008-02-13",21.7579
"2008-02-14",21.1641
"2008-02-15",21.6059
"2008-02-16",21.1213
"2008-02-17",19.5803
"2008-02-18",18.6544
"2008-02-19",20.6414
"2008-02-20",21.5446
"2008-02-21",20.6349
"2008-02-22",17.9874
"2008-02-23",15.2294
"2008-02-24",14.2181
"2008-02-25",14.4522
"2008-02-26",18.8546
"2008-02-27",22.354
"2008-02-28",22.3056
"2008-02-29",22.51
"2008-03-01",22.6096
"2008-03-02",22.0592
"2008-03-03",22.1945
"2008-03-04",21.9986
"2008-03-05",22.3055
"2008-03-06",22.1111
"2008-03-07",20.6862
"2008-03-08",19.2362
"2008-03-09",22.077
"2008-03-10",22.6742
"2008-03-11",22.5741
"2008-03-12",22.727
"2008-03-13",22.5941
"2008-03-14",22.6641
"2008-03-15",22.609
"2008-03-16",22.654
"2008-03-17",22.8677
"2008-03-18",22.7567
"2008-03-19",22.877
"2008-03-20",22.7453
"2008-03-21",22.9906
"2008-03-22",23.1928
"2008-03-23",23.4329
"2008-03-24",23.195
"2008-03-25",22.4895
"2008-03-26",22.6117
"2008-03-27",22.6633
"2008-03-28",22.5769
"2008-03-29",23.2036
"2008-03-30",23.4244
"2008-03-31",22.874
"2008-04-01",22.9798
"2008-04-02",22.4527
"2008-04-03",22.5059
"2008-04-04",22.7151
"2008-04-05",22.4408
"2008-04-06",22.5576
"2008-04-07",22.664
"2008-04-08",22.6575
"2008-04-09",22.2641
"2008-04-10",22.757
"2008-04-11",23.2004
"2008-04-12",22.6128
"2008-04-13",22.7378
"2008-04-14",23.094
"2008-04-15",22.9509
"2008-04-16",23.3142
"2008-04-17",22.8339
"2008-04-18",23.4425
"2008-04-19",23.3849
"2008-04-20",23.3806
"2008-04-21",23.9123
"2008-04-22",23.7971
"2008-04-23",24.3184
"2008-04-24",23.4809
"2008-04-25",22.7048
"2008-04-26",23.2421
"2008-04-27",23.3765
"2008-04-28",22.9801
"2008-04-29",23.6444
"2008-04-30",24.4823
"2008-05-01",24.4507
"2008-05-02",24.046
"2008-05-03",24.0879
"2008-05-04",23.9999
"2008-05-05",23.7474
"2008-05-06",23.6179
"2008-05-07",23.367
"2008-05-08",23.6229
"2008-05-09",22.4665
"2008-05-10",22.5937
"2008-05-11",24.0635
"2008-05-12",23.6579
"2008-05-13",23.7209
"2008-05-14",23.5989
"2008-05-15",23.5829
"2008-05-16",23.952
"2008-05-17",23.8739
"2008-05-18",24.5944
"2008-05-19",24.1771
"2008-05-20",23.8718
"2008-05-21",23.2683
"2008-05-22",23.587
"2008-05-23",23.5269
"2008-05-24",23.0799
"2008-05-25",23.5016
"2008-05-26",23.3499
"2008-05-27",22.8309
"2008-05-28",23.6568
"2008-05-29",23.0635
"2008-05-30",23.2227
"2008-05-31",22.9333
"2008-06-01",22.758
"2008-06-02",22.6204
"2008-06-03",22.2205
"2008-06-04",23.3593
"2008-06-05",23.3444
"2008-06-06",23.5717
"2008-06-07",23.5717
"2008-06-08",23.5837
"2008-06-09",23.5919
"2008-06-10",23.047
"2008-06-11",22.9912
"2008-06-12",23.4484
"2008-06-13",23.2535
"2008-06-14",23.2284
"2008-06-15",23.3348
"2008-06-16",22.9592
"2008-06-17",22.3394
"2008-06-18",23.4044
"2008-06-19",23.1808
"2008-06-20",23.1271
"2008-06-21",23.4716
"2008-06-22",23.2528
"2008-06-23",23.1117
"2008-06-24",22.861
"2008-06-25",23.263
"2008-06-26",23.1603
"2008-06-27",22.6635
"2008-06-28",22.0794
"2008-06-29",22.8954
"2008-06-30",23.132
"2008-07-01",22.8882
"2008-07-02",21.7038
"2008-07-03",22.0753
"2008-07-04",23.4281
"2008-07-05",23.6742
"2008-07-06",23.3198
"2008-07-07",23.4224
"2008-07-08",22.8886
"2008-07-09",22.9259
"2008-07-10",23.3878
"2008-07-11",22.7153
"2008-07-12",22.6284
"2008-07-13",22.3123
"2008-07-14",22.9746
"2008-07-15",22.9656
"2008-07-16",22.4703
"2008-07-17",22.5219
"2008-07-18",22.9307
"2008-07-19",23.209
"2008-07-20",22.5595
"2008-07-21",22.74
"2008-07-22",22.7926
"2008-07-23",23.0362
"2008-07-24",22.5708
"2008-07-25",22.7183
"2008-07-26",22.8816
"2008-07-27",22.43
"2008-07-28",22.6661
"2008-07-29",21.9801
"2008-07-30",22.2265
"2008-07-31",22.1389
"2008-08-01",22.5588
"2008-08-02",22.966
"2008-08-03",23.1816
"2008-08-04",22.9311
"2008-08-05",23.1109
"2008-08-06",22.6604
"2008-08-07",22.5134
"2008-08-08",22.5776
"2008-08-09",22.7053
"2008-08-10",22.9189
"2008-08-11",22.9996
"2008-08-12",22.8107
"2008-08-13",22.8075
"2008-08-14",22.9139
"2008-08-15",22.919
"2008-08-16",22.6357
"2008-08-17",22.001
"2008-08-18",22.5676
"2008-08-19",22.3999
"2008-08-20",22.464
"2008-08-21",22.7575
"2008-08-22",22.352
"2008-08-23",22.4372
"2008-08-24",22.3629
"2008-08-25",22.8955
"2008-08-26",22.8354
"2008-08-27",22.6378
"2008-08-28",22.738
"2008-08-29",22.755
"2008-08-30",22.2596
"2008-08-31",21.8656
"2008-09-01",22.1331
"2008-09-02",22.4288
"2008-09-03",21.9316
"2008-09-04",22.9854
"2008-09-05",22.2884
"2008-09-06",22.3612
"2008-09-07",21.8021
"2008-09-08",21.7354
"2008-09-09",22.3626
"2008-09-10",22.9066
"2008-09-11",23.0802
"2008-09-12",23.1845
"2008-09-13",23.068
"2008-09-14",22.4351
"2008-09-15",22.2626
"2008-09-16",22.7355
"2008-09-17",22.2176
"2008-09-18",22.5474
"2008-09-19",22.2428
"2008-09-20",21.9972
"2008-09-21",22.0619
"2008-09-22",22.4598
"2008-09-23",22.2829
"2008-09-24",22.1742
"2008-09-25",21.7161
"2008-09-26",22.7531
"2008-09-27",22.8255
"2008-09-28",22.6453
"2008-09-29",22.4404
"2008-09-30",20.441
"2008-10-01",20.6442
"2008-10-02",21.4391
"2008-10-03",21.0804
"2008-10-04",21.7605
"2008-10-05",22.1731
"2008-10-06",22.71
"2008-10-07",22.5022
"2008-10-08",22.4773
"2008-10-09",22.259
"2008-10-10",22.8069
"2008-10-11",22.868
"2008-10-12",22.9041
"2008-10-13",23.0128
"2008-10-14",22.9288
"2008-10-15",23.1998
"2008-10-16",23.6786
"2008-10-17",23.3418
"2008-10-18",23.3017
"2008-10-19",23.1242
"2008-10-20",23.5622
"2008-10-21",23.2827
"2008-10-22",22.3675
"2008-10-23",22.5982
"2008-10-24",22.8128
"2008-10-25",22.4727
"2008-10-26",23.2392
"2008-10-27",23.435
"2008-10-28",23.1523
"2008-10-29",22.7694
"2008-10-30",21.1527
"2008-10-31",20.927
"2008-11-01",19.4988
"2008-11-02",19.6387
"2008-11-03",19.6115
"2008-11-04",20.5875
"2008-11-05",19.4206
"2008-11-06",19.4011
"2008-11-07",20.6695
"2008-11-08",22.1772
"2008-11-09",22.9275
"2008-11-10",22.8932
"2008-11-11",23.0511
"2008-11-12",22.5789
"2008-11-13",22.8012
"2008-11-14",22.5759
"2008-11-15",22.6135
"2008-11-16",22.1154
"2008-11-17",21.5375
"2008-11-18",21.8428
"2008-11-19",22.711
"2008-11-20",23.4735
"2008-11-21",23.1203
"2008-11-22",23.2675
"2008-11-23",23.1496
"2008-11-24",22.9575
"2008-11-25",23.0383
"2008-11-26",22.7645
"2008-11-27",23.3806
"2008-11-28",22.9146
"2008-11-29",23.2814
"2008-11-30",22.3011
"2008-12-01",22.3382
"2008-12-02",23.1016
"2008-12-03",21.5876
"2008-12-04",22.4429
"2008-12-05",22.7521
"2008-12-06",22.3564
"2008-12-07",21.5018
"2008-12-08",22.8487
"2008-12-09",23.4118
"2008-12-10",23.1645
"2008-12-11",23.2522
"2008-12-12",22.3388
"2008-12-13",20.9727
"2008-12-14",21.9858
"2008-12-15",22.2511
"2008-12-16",22.4638
"2008-12-17",22.4606
"2008-12-18",22.1487
"2008-12-19",23.2312
"2008-12-20",22.9891
"2008-12-21",20.9558
"2008-12-22",19.6606
"2008-12-23",20.5803
"2008-12-24",21.1674
"2008-12-25",21.3375
"2008-12-26",20.4776
"2008-12-27",19.7079
"2008-12-28",20.0478
"2008-12-29",18.5131
"2008-12-30",17.9369
"2008-12-31",17.5064
"2009-01-01",17.2049
"2009-01-02",18.0753
"2009-01-03",18.1815
"2009-01-04",19.7835
"2009-01-05",20.3677
"2009-01-06",19.2659
"2009-01-07",20.6269
"2009-01-08",20.8279
"2009-01-09",22.3281
"2009-01-10",21.3435
"2009-01-11",19.7516
"2009-01-12",19.2691
"2009-01-13",20.0956
"2009-01-14",20.0236
"2009-01-15",19.1867
"2009-01-16",18.3758
"2009-01-17",18.9383
"2009-01-18",18.9222
"2009-01-19",18.3251
"2009-01-20",19.3247
"2009-01-21",17.7548
"2009-01-22",17.359
"2009-01-23",18.133
"2009-01-24",17.56
"2009-01-25",20.7821
"2009-01-26",22.832
"2009-01-27",22.6268
"2009-01-28",22.1505
"2009-01-29",20.0517
"2009-01-30",16.0006
"2009-01-31",17.6293
"2009-02-01",18.7136
"2009-02-02",18.165
"2009-02-03",16.4837
"2009-02-04",16.5712
"2009-02-05",14.1787
"2009-02-06",15.9797
"2009-02-07",15.5456
"2009-02-08",16.1501
"2009-02-09",16.0344
"2009-02-10",17.3274
"2009-02-11",17.0555
"2009-02-12",16.1992
"2009-02-13",12.951
"2009-02-14",14.1452
"2009-02-15",17.1599
"2009-02-16",18.3019
"2009-02-17",16.8216
"2009-02-18",16.6415
"2009-02-19",18.9145
"2009-02-20",20.178
"2009-02-21",20.412
"2009-02-22",21.7591
"2009-02-23",22.0863
"2009-02-24",22.6534
"2009-02-25",21.8579
"2009-02-26",21.6598
"2009-02-27",20.9021
"2009-02-28",20.7143
"2009-03-01",19.4067
"2009-03-02",14.9213
"2009-03-03",15.2707
"2009-03-04",20.0383
"2009-03-05",20.4461
"2009-03-06",20.8805
"2009-03-07",20.9343
"2009-03-08",21.8011
"2009-03-09",22.5509
"2009-03-10",22.3727
"2009-03-11",22.4015
"2009-03-12",22.413
"2009-03-13",22.8289
"2009-03-14",22.2312
"2009-03-15",22.2942
"2009-03-16",21.6611
"2009-03-17",22.045
"2009-03-18",22.1993
"2009-03-19",22.7569
"2009-03-20",22.5539
"2009-03-21",22.1355
"2009-03-22",22.2489
"2009-03-23",22.3442
"2009-03-24",22.197
"2009-03-25",22.2643
"2009-03-26",22.5776
"2009-03-27",22.3978
"2009-03-28",22.4909
"2009-03-29",22.4974
"2009-03-30",22.1434
"2009-03-31",22.7452
"2009-04-01",22.534
"2009-04-02",22.0309
"2009-04-03",22.0206
"2009-04-04",23.0503
"2009-04-05",23.0958
"2009-04-06",23.0095
"2009-04-07",22.4607
"2009-04-08",23.0498
"2009-04-09",23.2138
"2009-04-10",23.1328
"2009-04-11",23.5446
"2009-04-12",23.8067
"2009-04-13",23.0937
"2009-04-14",23.9043
"2009-04-15",24.0656
"2009-04-16",24.1613
"2009-04-17",24.1092
"2009-04-18",24.517
"2009-04-19",24.0192
"2009-04-20",23.7868
"2009-04-21",22.9581
"2009-04-22",23.7026
"2009-04-23",23.9551
"2009-04-24",23.9216
"2009-04-25",23.8312
"2009-04-26",23.4422
"2009-04-27",23.2016
"2009-04-28",23.2075
"2009-04-29",23.0287
"2009-04-30",22.8555
"2009-05-01",23.1049
"2009-05-02",24.3929
"2009-05-03",24.5673
"2009-05-04",23.6807
"2009-05-05",23.4621
"2009-05-06",23.6349
"2009-05-07",24.19
"2009-05-08",23.8034
"2009-05-09",24.0413
"2009-05-10",24.08
"2009-05-11",24.4877
"2009-05-12",24.4042
"2009-05-13",24.0278
"2009-05-14",24.2322
"2009-05-15",24.4184
"2009-05-16",24.36
"2009-05-17",23.6304
"2009-05-18",23.425
"2009-05-19",23.9144
"2009-05-20",23.6678
"2009-05-21",23.8603
"2009-05-22",24.0553
"2009-05-23",24.2391
"2009-05-24",24.4166
"2009-05-25",23.7264
"2009-05-26",24.1513
"2009-05-27",23.9885
"2009-05-28",23.8408
"2009-05-29",24.1467
"2009-05-30",24.0326
"2009-05-31",24.0065
"2009-06-01",23.8863
"2009-06-02",23.7874
"2009-06-03",24.448
"2009-06-04",24.4058
"2009-06-05",23.9057
"2009-06-06",22.7128
"2009-06-07",23.7382
"2009-06-08",23.4878
"2009-06-09",23.6698
"2009-06-10",23.8541
"2009-06-11",23.3657
"2009-06-12",22.6938
"2009-06-13",23.0833
"2009-06-14",23.6247
"2009-06-15",23.7218
"2009-06-16",23.7216
"2009-06-17",23.4833
"2009-06-18",23.0478
"2009-06-19",23.054
"2009-06-20",23.0054
"2009-06-21",23.3805
"2009-06-22",23.362
"2009-06-23",23.5884
"2009-06-24",23.8472
"2009-06-25",23.8914
"2009-06-26",22.9083
"2009-06-27",23.2237
"2009-06-28",23.3878
"2009-06-29",23.1735
"2009-06-30",22.9983
"2009-07-01",22.913
"2009-07-02",22.9145
"2009-07-03",22.7876
"2009-07-04",22.8677
"2009-07-05",22.9456
"2009-07-06",22.652
"2009-07-07",22.8093
"2009-07-08",22.4366
"2009-07-09",22.5028
"2009-07-10",22.7129
"2009-07-11",22.9428
"2009-07-12",22.8119
"2009-07-13",23.1374
"2009-07-14",23.4441
"2009-07-15",23.3428
"2009-07-16",22.8898
"2009-07-17",22.2671
"2009-07-18",22.4471
"2009-07-19",22.9076
"2009-07-20",22.9574
"2009-07-21",23.2431
"2009-07-22",23.0449
"2009-07-23",22.7016
"2009-07-24",23.2918
"2009-07-25",22.8758
"2009-07-26",23.1423
"2009-07-27",23.0905
"2009-07-28",22.963
"2009-07-29",22.8819
"2009-07-30",23.1971
"2009-07-31",23.2249
"2009-08-01",23.094
"2009-08-02",23.2549
"2009-08-03",22.9444
"2009-08-04",23.099
"2009-08-05",22.9966
"2009-08-06",23.3803
"2009-08-07",23.1821
"2009-08-08",22.8026
"2009-08-09",22.9974
"2009-08-10",22.8926
"2009-08-11",23.085
"2009-08-12",23.0818
"2009-08-13",23.5175
"2009-08-14",23.4799
"2009-08-15",22.9999
"2009-08-16",23.1652
"2009-08-17",22.4304
"2009-08-18",22.888
"2009-08-19",22.9896
"2009-08-20",22.6926
"2009-08-21",22.3702
"2009-08-22",22.2679
"2009-08-23",22.6417
"2009-08-24",22.8805
"2009-08-25",22.7556
"2009-08-26",22.9417
"2009-08-27",23.3433
"2009-08-28",23.4322
"2009-08-29",23.2668
"2009-08-30",22.9755
"2009-08-31",22.8836
"2009-09-01",23.1671
"2009-09-02",23.1988
"2009-09-03",23.2487
"2009-09-04",23.1673
"2009-09-05",23.2924
"2009-09-06",23.158
"2009-09-07",23.1965
"2009-09-08",23.2824
"2009-09-09",23.2064
"2009-09-10",22.779
"2009-09-11",22.5015
"2009-09-12",23.0354
"2009-09-13",23.792
"2009-09-14",22.428
"2009-09-15",22.778
"2009-09-16",22.954
"2009-09-17",22.9524
"2009-09-18",22.4654
"2009-09-19",22.5645
"2009-09-20",23.0053
"2009-09-21",22.899
"2009-09-22",22.1116
"2009-09-23",22.8814
"2009-09-24",22.7152
"2009-09-25",22.7277
"2009-09-26",22.5174
"2009-09-27",22.8539
"2009-09-28",23.0605
"2009-09-29",23.1708
"2009-09-30",23.3386
"2009-10-01",23.318
"2009-10-02",23.0672
"2009-10-03",23.192
"2009-10-04",23.0089
"2009-10-05",21.9113
"2009-10-06",22.1138
"2009-10-07",22.6889
"2009-10-08",22.727
"2009-10-09",22.4483
"2009-10-10",22.2878
"2009-10-11",22.6397
"2009-10-12",23.0154
"2009-10-13",22.2543
"2009-10-14",22.519
"2009-10-15",22.3518
"2009-10-16",22.7189
"2009-10-17",22.5607
"2009-10-18",23.15
"2009-10-19",23.2984
"2009-10-20",22.9758
"2009-10-21",22.6239
"2009-10-22",21.6604
"2009-10-23",21.3746
"2009-10-24",21.8709
"2009-10-25",22.2324
"2009-10-26",22.3178
"2009-10-27",22.9732
"2009-10-28",23.266
"2009-10-29",23.3024
"2009-10-30",23.2195
"2009-10-31",22.9422
"2009-11-01",22.8999
"2009-11-02",22.2054
"2009-11-03",23.0195
"2009-11-04",23.2249
"2009-11-05",23.4169
"2009-11-06",23.6351
"2009-11-07",23.1579
"2009-11-08",23.1536
"2009-11-09",23.1411
"2009-11-10",22.3177
"2009-11-11",23.0832
"2009-11-12",23.7217
"2009-11-13",23.5172
"2009-11-14",23.2293
"2009-11-15",22.9582
"2009-11-16",23.4213
"2009-11-17",23.2053
"2009-11-18",22.7018
"2009-11-19",22.5415
"2009-11-20",22.5959
"2009-11-21",22.9315
"2009-11-22",22.8147
"2009-11-23",22.7315
"2009-11-24",22.5824
"2009-11-25",22.0173
"2009-11-26",20.8435
"2009-11-27",19.9751
"2009-11-28",21.7439
"2009-11-29",22.5537
"2009-11-30",23.1818
"2009-12-01",23.1441
"2009-12-02",22.9025
"2009-12-03",22.9304
"2009-12-04",22.5899
"2009-12-05",22.0008
"2009-12-06",22.0338
"2009-12-07",23.3339
"2009-12-08",23.1262
"2009-12-09",22.6504
"2009-12-10",22.0282
"2009-12-11",22.7438
"2009-12-12",23.3172
"2009-12-13",22.8722
