,"(deg C) Mean Dew Point Temperature (ERA5) at Hambantota, 2007-01-01 to 2025-12-31"
"2007-05-04",23.8585
"2007-05-05",24.6168
"2007-05-06",24.7212
"2007-05-07",24.5243
"2007-05-08",24.6397
"2007-05-09",24.0993
"2007-05-10",24.1909
"2007-05-11",24.4758
"2007-05-12",24.087
"2007-05-13",24.2235
"2007-05-14",23.5893
"2007-05-15",23.5815
"2007-05-16",23.2472
"2007-05-17",22.6403
"2007-05-18",23.5763
"2007-05-19",24.1375
"2007-05-20",24.299
"2007-05-21",24.4504
"2007-05-22",24.4549
"2007-05-23",24.1884
"2007-05-24",24.402
"2007-05-25",23.9241
"2007-05-26",24.1403
"2007-05-27",23.6887
"2007-05-28",22.693
"2007-05-29",22.5845
"2007-05-30",22.9165
"2007-05-31",23.1167
"2007-06-01",23.0482
"2007-06-02",23.4364
"2007-06-03",23.3824
"2007-06-04",23.5269
"2007-06-05",23.9407
"2007-06-06",23.9614
"2007-06-07",23.447
"2007-06-08",23.182
"2007-06-09",23.0799
"2007-06-10",23.3585
"2007-06-11",23.5187
"2007-06-12",23.3001
"2007-06-13",23.102
"2007-06-14",23.1097
"2007-06-15",23.241
"2007-06-16",23.0458
"2007-06-17",22.5159
"2007-06-18",22.3637
"2007-06-19",22.6227
"2007-06-20",22.7941
"2007-06-21",22.809
"2007-06-22",22.634
"2007-06-23",23.088
"2007-06-24",23.6672
"2007-06-25",23.7032
"2007-06-26",23.2785
"2007-06-27",23.1606
"2007-06-28",23.3866
"2007-06-29",23.7923
"2007-06-30",23.8113
"2007-07-01",23.714
"2007-07-02",23.2582
"2007-07-03",23.272
"2007-07-04",22.4322
"2007-07-05",22.4687
"2007-07-06",22.5646
"2007-07-07",22.0448
"2007-07-08",22.3372
"2007-07-09",22.8461
"2007-07-10",22.5382
"2007-07-11",22.9397
"2007-07-12",23.1373
"2007-07-13",22.9833
"2007-07-14",22.9531
"2007-07-15",22.6394
"2007-07-16",22.8434
"2007-07-17",22.3018
"2007-07-18",22.3973
"2007-07-19",22.5133
"2007-07-20",21.9712
"2007-07-21",21.7735
"2007-07-22",21.6425
"2007-07-23",22.5328
"2007-07-24",22.7274
"2007-07-25",21.8925
"2007-07-26",22.0231
"2007-07-27",22.0669
"2007-07-28",22.1419
"2007-07-29",22.6138
"2007-07-30",22.4557
"2007-07-31",22.2422
"2007-08-01",21.9181
"2007-08-02",22.4491
"2007-08-03",22.5365
"2007-08-04",22.7255
"2007-08-05",22.8443
"2007-08-06",21.9781
"2007-08-07",22.2801
"2007-08-08",22.3195
"2007-08-09",22.1916
"2007-08-10",22.3856
"2007-08-11",22.1978
"2007-08-12",22.6087
"2007-08-13",22.6671
"2007-08-14",21.8458
"2007-08-15",22.287
"2007-08-16",22.4265
"2007-08-17",22.1034
"2007-08-18",22.3929
"2007-08-19",22.3915
"2007-08-20",22.2019
"2007-08-21",22.2613
"2007-08-22",21.8912
"2007-08-23",22.584
"2007-08-24",22.4946
"2007-08-25",22.6503
"2007-08-26",22.4549
"2007-08-27",22.3076
"2007-08-28",22.9932
"2007-08-29",22.532
"2007-08-30",22.5298
"2007-08-31",22.1105
"2007-09-01",22.5782
"2007-09-02",22.9555
"2007-09-03",23.0235
"2007-09-04",22.9614
"2007-09-05",22.8963
"2007-09-06",22.8554
"2007-09-07",23.058
"2007-09-08",23.4017
"2007-09-09",22.0952
"2007-09-10",22.9177
"2007-09-11",23.2522
"2007-09-12",22.8497
"2007-09-13",22.8229
"2007-09-14",22.7329
"2007-09-15",22.8374
"2007-09-16",23.1488
"2007-09-17",22.8951
"2007-09-18",22.7492
"2007-09-19",22.8899
"2007-09-20",22.9842
"2007-09-21",22.9108
"2007-09-22",22.6642
"2007-09-23",22.6636
"2007-09-24",22.7696
"2007-09-25",22.8416
"2007-09-26",22.9172
"2007-09-27",23.274
"2007-09-28",22.8995
"2007-09-29",22.3494
"2007-09-30",21.8745
"2007-10-01",22.7276
"2007-10-02",22.4654
"2007-10-03",22.6121
"2007-10-04",22.7081
"2007-10-05",22.5111
"2007-10-06",22.7545
"2007-10-07",22.7558
"2007-10-08",22.3827
"2007-10-09",22.8418
"2007-10-10",22.9388
"2007-10-11",22.767
"2007-10-12",22.8553
"2007-10-13",22.7002
"2007-10-14",22.5156
"2007-10-15",23.124
"2007-10-16",23.1267
"2007-10-17",22.8093
"2007-10-18",22.5522
"2007-10-19",22.5862
"2007-10-20",21.4702
"2007-10-21",22.1175
"2007-10-22",21.9773
"2007-10-23",22.8651
"2007-10-24",23.3453
"2007-10-25",23.236
"2007-10-26",22.5785
"2007-10-27",22.1432
"2007-10-28",22.4132
"2007-10-29",22.2602
"2007-10-30",22.0156
"2007-10-31",22.6293
"2007-11-01",22.7012
"2007-11-02",22.5806
"2007-11-03",22.7477
"2007-11-04",23.1443
"2007-11-05",23.0019
"2007-11-06",22.9066
"2007-11-07",22.7513
"2007-11-08",22.8989
"2007-11-09",22.6384
"2007-11-10",22.3197
"2007-11-11",22.6079
"2007-11-12",22.8988
"2007-11-13",22.764
"2007-11-14",22.1428
"2007-11-15",21.7888
"2007-11-16",20.9599
"2007-11-17",20.5009
"2007-11-18",21.4686
"2007-11-19",22.3127
"2007-11-20",22.8358
"2007-11-21",22.8724
"2007-11-22",22.9485
"2007-11-23",22.6449
"2007-11-24",23.0547
"2007-11-25",22.732
"2007-11-26",22.0424
"2007-11-27",21.9554
"2007-11-28",22.1066
"2007-11-29",21.368
"2007-11-30",20.4792
"2007-12-01",20.6566
"2007-12-02",21.7005
"2007-12-03",21.0355
"2007-12-04",21.175
"2007-12-05",20.646
"2007-12-06",20.4022
"2007-12-07",21.496
"2007-12-08",21.9648
"2007-12-09",21.9938
"2007-12-10",21.642
"2007-12-11",21.5206
"2007-12-12",22.4587
"2007-12-13",22.8621
"2007-12-14",23.0062
"2007-12-15",22.554
"2007-12-16",22.3806
"2007-12-17",23.2619
"2007-12-18",23.3455
"2007-12-19",22.8793
"2007-12-20",23.0617
"2007-12-21",22.645
"2007-12-22",22.4701
"2007-12-23",22.2895
"2007-12-24",22.6624
"2007-12-25",22.4362
"2007-12-26",20.9098
"2007-12-27",20.4612
"2007-12-28",21.4539
"2007-12-29",20.8786
"2007-12-30",20.5418
"2007-12-31",20.1732
"2008-01-01",20.4048
"2008-01-02",21.895
"2008-01-03",22.7775
"2008-01-04",22.2182
"2008-01-05",22.1923
"2008-01-06",22.375
"2008-01-07",22.3538
"2008-01-08",22.6436
"2008-01-09",22.6278
"2008-01-10",22.5601
"2008-01-11",22.399
"2008-01-12",22.5339
"2008-01-13",22.1401
"2008-01-14",19.807
"2008-01-15",19.2384
"2008-01-16",19.4961
"2008-01-17",19.507
"2008-01-18",19.4087
"2008-01-19",18.6561
"2008-01-20",20.7299
"2008-01-21",22.3739
"2008-01-22",21.5297
"2008-01-23",20.1706
"2008-01-24",21.0138
"2008-01-25",22.2565
"2008-01-26",22.8851
"2008-01-27",21.6593
"2008-01-28",21.8504
"2008-01-29",21.8478
"2008-01-30",21.4691
"2008-01-31",22.0366
"2008-02-01",21.566
"2008-02-02",21.1776
"2008-02-03",20.7516
"2008-02-04",21.0973
"2008-02-05",21.6175
"2008-02-06",22.6177
"2008-02-07",22.8766
"2008-02-08",22.8823
"2008-02-09",22.9476
"2008-02-10",22.7678
"2008-02-11",22.5217
"2008-02-12",22.2701
"2008-02-13",22.2046
"2008-02-14",21.7652
"2008-02-15",21.9417
"2008-02-16",21.8048
"2008-02-17",20.5971
"2008-02-18",19.8925
"2008-02-19",20.2043
"2008-02-20",21.6808
"2008-02-21",21.2385
"2008-02-22",20.7106
"2008-02-23",18.8242
"2008-02-24",19.0383
"2008-02-25",18.4662
"2008-02-26",19.8278
"2008-02-27",21.9759
"2008-02-28",22.0829
"2008-02-29",22.1507
"2008-03-01",21.4001
"2008-03-02",21.4217
"2008-03-03",21.9851
"2008-03-04",22.5261
"2008-03-05",22.4
"2008-03-06",21.8884
"2008-03-07",20.8284
"2008-03-08",19.6448
"2008-03-09",22.1689
"2008-03-10",22.2171
"2008-03-11",22.5959
"2008-03-12",22.8325
"2008-03-13",22.607
"2008-03-14",22.7754
"2008-03-15",22.6617
"2008-03-16",22.7809
"2008-03-17",22.7801
"2008-03-18",22.7435
"2008-03-19",22.8328
"2008-03-20",22.9873
"2008-03-21",23.3888
"2008-03-22",23.2573
"2008-03-23",23.4364
"2008-03-24",23.1555
"2008-03-25",22.6984
"2008-03-26",22.507
"2008-03-27",22.7507
"2008-03-28",22.7233
"2008-03-29",23.2962
"2008-03-30",23.6855
"2008-03-31",22.9656
"2008-04-01",23.111
"2008-04-02",22.9259
"2008-04-03",22.6916
"2008-04-04",23.0983
"2008-04-05",22.8995
"2008-04-06",22.9226
"2008-04-07",22.6145
"2008-04-08",22.577
"2008-04-09",22.4728
"2008-04-10",23.0143
"2008-04-11",23.4358
"2008-04-12",22.9767
"2008-04-13",22.8586
"2008-04-14",23.1098
"2008-04-15",23.1994
"2008-04-16",23.3526
"2008-04-17",23.1048
"2008-04-18",23.3117
"2008-04-19",23.4706
"2008-04-20",23.3818
"2008-04-21",23.9211
"2008-04-22",23.8355
"2008-04-23",24.0448
"2008-04-24",23.531
"2008-04-25",22.9215
"2008-04-26",23.5144
"2008-04-27",23.4247
"2008-04-28",22.8884
"2008-04-29",23.7176
"2008-04-30",24.6053
"2008-05-01",24.5442
"2008-05-02",24.076
"2008-05-03",24.2335
"2008-05-04",24.0969
"2008-05-05",23.8392
"2008-05-06",23.6911
"2008-05-07",23.6362
"2008-05-08",23.534
"2008-05-09",22.5823
"2008-05-10",23.0904
"2008-05-11",23.8296
"2008-05-12",23.4506
"2008-05-13",23.505
"2008-05-14",23.2739
"2008-05-15",23.2505
"2008-05-16",23.6186
"2008-05-17",23.5889
"2008-05-18",23.9499
"2008-05-19",23.88
"2008-05-20",23.5743
"2008-05-21",23.3374
"2008-05-22",23.5623
"2008-05-23",23.535
"2008-05-24",23.0521
"2008-05-25",23.4568
"2008-05-26",23.1276
"2008-05-27",22.9701
"2008-05-28",23.5925
"2008-05-29",23.0932
"2008-05-30",22.9248
"2008-05-31",22.7413
"2008-06-01",22.6912
"2008-06-02",22.741
"2008-06-03",22.776
"2008-06-04",23.2104
"2008-06-05",22.6717
"2008-06-06",23.4969
"2008-06-07",23.4969
"2008-06-08",23.4911
"2008-06-09",23.7075
"2008-06-10",23.1488
"2008-06-11",23.2171
"2008-06-12",23.3903
"2008-06-13",22.9892
"2008-06-14",22.8881
"2008-06-15",22.6679
"2008-06-16",23.3147
"2008-06-17",22.5948
"2008-06-18",22.8538
"2008-06-19",23.0142
"2008-06-20",22.6117
"2008-06-21",23.132
"2008-06-22",23.0368
"2008-06-23",22.8924
"2008-06-24",22.7258
"2008-06-25",23.1914
"2008-06-26",22.8511
"2008-06-27",22.8004
"2008-06-28",22.0865
"2008-06-29",22.3957
"2008-06-30",22.6009
"2008-07-01",22.3408
"2008-07-02",21.3996
"2008-07-03",21.7707
"2008-07-04",23.0525
"2008-07-05",23.3528
"2008-07-06",23.3382
"2008-07-07",23.0409
"2008-07-08",22.4826
"2008-07-09",22.5549
"2008-07-10",22.9586
"2008-07-11",22.4124
"2008-07-12",22.2731
"2008-07-13",22.0945
"2008-07-14",22.7185
"2008-07-15",22.8567
"2008-07-16",22.1086
"2008-07-17",22.1931
"2008-07-18",22.3126
"2008-07-19",22.7045
"2008-07-20",21.9225
"2008-07-21",22.4507
"2008-07-22",22.6057
"2008-07-23",22.324
"2008-07-24",21.7331
"2008-07-25",21.7867
"2008-07-26",21.7899
"2008-07-27",22.0367
"2008-07-28",22.4911
"2008-07-29",22.0287
"2008-07-30",22.409
"2008-07-31",22.4377
"2008-08-01",22.4133
"2008-08-02",22.4171
"2008-08-03",22.7337
"2008-08-04",22.623
"2008-08-05",22.5427
"2008-08-06",22.4725
"2008-08-07",22.1271
"2008-08-08",22.1564
"2008-08-09",22.1383
"2008-08-10",22.2766
"2008-08-11",22.4672
"2008-08-12",22.4974
"2008-08-13",22.6269
"2008-08-14",22.553
"2008-08-15",22.3038
"2008-08-16",22.145
"2008-08-17",21.8261
"2008-08-18",22.7469
"2008-08-19",22.3206
"2008-08-20",22.5685
"2008-08-21",22.5001
"2008-08-22",22.0368
"2008-08-23",22.0561
"2008-08-24",21.8956
"2008-08-25",22.3772
"2008-08-26",22.6497
"2008-08-27",22.4106
"2008-08-28",22.4676
"2008-08-29",22.8506
"2008-08-30",22.5241
"2008-08-31",22.1901
"2008-09-01",22.5743
"2008-09-02",22.1848
"2008-09-03",21.8686
"2008-09-04",22.5566
"2008-09-05",22.2796
"2008-09-06",22.4484
"2008-09-07",21.9407
"2008-09-08",21.6636
"2008-09-09",22.1017
"2008-09-10",22.0378
"2008-09-11",22.2565
"2008-09-12",22.7303
"2008-09-13",22.1609
"2008-09-14",22.2621
"2008-09-15",22.3572
"2008-09-16",22.4585
"2008-09-17",21.7525
"2008-09-18",21.7214
"2008-09-19",21.519
"2008-09-20",21.6368
"2008-09-21",21.5025
"2008-09-22",22.1832
"2008-09-23",21.7747
"2008-09-24",21.3734
"2008-09-25",21.0908
"2008-09-26",22.3011
"2008-09-27",22.0681
"2008-09-28",22.5407
"2008-09-29",21.8657
"2008-09-30",20.4951
"2008-10-01",20.2996
"2008-10-02",20.6997
"2008-10-03",20.7147
"2008-10-04",21.365
"2008-10-05",22.0962
"2008-10-06",22.6513
"2008-10-07",22.5723
"2008-10-08",22.6228
"2008-10-09",22.3614
"2008-10-10",23.0148
"2008-10-11",22.5344
"2008-10-12",22.7411
"2008-10-13",23.122
"2008-10-14",22.9149
"2008-10-15",23.3414
"2008-10-16",23.5539
"2008-10-17",23.4394
"2008-10-18",23.5103
"2008-10-19",23.4502
"2008-10-20",23.7043
"2008-10-21",23.6394
"2008-10-22",22.7232
"2008-10-23",22.9332
"2008-10-24",22.7143
"2008-10-25",22.3283
"2008-10-26",22.8554
"2008-10-27",23.2841
"2008-10-28",23.2433
"2008-10-29",22.5204
"2008-10-30",22.2136
"2008-10-31",21.5655
"2008-11-01",21.4933
"2008-11-02",20.6884
"2008-11-03",21.0133
"2008-11-04",21.6739
"2008-11-05",22.0149
"2008-11-06",21.8503
"2008-11-07",22.2903
"2008-11-08",22.7802
"2008-11-09",22.931
"2008-11-10",22.981
"2008-11-11",23.1468
"2008-11-12",22.9048
"2008-11-13",23.1083
"2008-11-14",23.3647
"2008-11-15",23.0125
"2008-11-16",22.8091
"2008-11-17",22.0698
"2008-11-18",22.413
"2008-11-19",22.9392
"2008-11-20",23.5338
"2008-11-21",23.0608
"2008-11-22",23.1037
"2008-11-23",23.0624
"2008-11-24",23.1883
"2008-11-25",23.3674
"2008-11-26",22.8935
"2008-11-27",23.3911
"2008-11-28",23.4691
"2008-11-29",23.454
"2008-11-30",22.6986
"2008-12-01",22.7294
"2008-12-02",23.1128
"2008-12-03",22.281
"2008-12-04",23.0285
"2008-12-05",22.7947
"2008-12-06",22.6202
"2008-12-07",22.6333
"2008-12-08",23.2565
"2008-12-09",23.2878
"2008-12-10",23.2908
"2008-12-11",23.4904
"2008-12-12",22.5283
"2008-12-13",21.9006
"2008-12-14",21.9624
"2008-12-15",22.1939
"2008-12-16",22.489
"2008-12-17",22.6236
"2008-12-18",22.4943
"2008-12-19",23.09
"2008-12-20",23.0481
"2008-12-21",21.6511
"2008-12-22",20.109
"2008-12-23",21.2137
"2008-12-24",21.8261
"2008-12-25",21.7842
"2008-12-26",21.2134
"2008-12-27",20.9246
"2008-12-28",21.2823
"2008-12-29",20.3253
"2008-12-30",19.4532
"2008-12-31",19.0098
"2009-01-01",19.0063
"2009-01-02",19.0597
"2009-01-03",18.7684
"2009-01-04",20.5055
"2009-01-05",21.6967
"2009-01-06",20.5261
"2009-01-07",22.0205
"2009-01-08",21.6245
"2009-01-09",22.3149
"2009-01-10",21.8316
"2009-01-11",19.9955
"2009-01-12",19.9234
"2009-01-13",20.6748
"2009-01-14",19.6063
"2009-01-15",19.6177
"2009-01-16",19.6756
"2009-01-17",19.7913
"2009-01-18",19.3888
"2009-01-19",19.8573
"2009-01-20",20.6421
"2009-01-21",20.153
"2009-01-22",19.5888
"2009-01-23",19.8067
"2009-01-24",18.9216
"2009-01-25",21.4494
"2009-01-26",22.92
"2009-01-27",22.0002
"2009-01-28",22.0459
"2009-01-29",20.2797
"2009-01-30",16.7684
"2009-01-31",18.671
"2009-02-01",19.2039
"2009-02-02",19.3708
"2009-02-03",18.2803
"2009-02-04",18.48
"2009-02-05",18.4577
"2009-02-06",17.5838
"2009-02-07",17.0607
"2009-02-08",17.2636
"2009-02-09",17.1654
"2009-02-10",18.9326
"2009-02-11",20.2075
"2009-02-12",19.6774
"2009-02-13",19.2084
"2009-02-14",18.5777
"2009-02-15",19.232
"2009-02-16",19.826
"2009-02-17",19.0194
"2009-02-18",18.8578
"2009-02-19",19.9755
"2009-02-20",21.1512
"2009-02-21",20.9418
"2009-02-22",21.852
"2009-02-23",22.2413
"2009-02-24",22.3943
"2009-02-25",22.4451
"2009-02-26",22.3181
"2009-02-27",21.5109
"2009-02-28",21.3144
"2009-03-01",20.2533
"2009-03-02",17.5508
"2009-03-03",18.8298
"2009-03-04",20.9332
"2009-03-05",21.2002
"2009-03-06",21.6624
"2009-03-07",21.7111
"2009-03-08",21.4496
"2009-03-09",23.0521
"2009-03-10",23.0672
"2009-03-11",22.6146
"2009-03-12",22.551
"2009-03-13",22.6315
"2009-03-14",22.1794
"2009-03-15",22.2763
"2009-03-16",22.5762
"2009-03-17",22.5214
"2009-03-18",22.5802
"2009-03-19",22.8583
"2009-03-20",22.6725
"2009-03-21",22.982
"2009-03-22",23.3411
"2009-03-23",23.4153
"2009-03-24",22.4383
"2009-03-25",22.5295
"2009-03-26",22.9463
"2009-03-27",22.9195
"2009-03-28",22.9764
"2009-03-29",22.9464
"2009-03-30",22.5016
"2009-03-31",23.1631
"2009-04-01",23.1242
"2009-04-02",22.6947
"2009-04-03",22.7083
"2009-04-04",22.8746
"2009-04-05",23.1014
"2009-04-06",23.0736
"2009-04-07",23.1821
"2009-04-08",23.176
"2009-04-09",23.4536
"2009-04-10",23.2355
"2009-04-11",23.9177
"2009-04-12",24.2993
"2009-04-13",23.6984
"2009-04-14",23.847
"2009-04-15",23.9032
"2009-04-16",24.0121
"2009-04-17",24.3959
"2009-04-18",24.6314
"2009-04-19",24.5016
"2009-04-20",23.9188
"2009-04-21",22.7049
"2009-04-22",23.4891
"2009-04-23",23.9414
"2009-04-24",23.5375
"2009-04-25",23.2316
"2009-04-26",23.4624
"2009-04-27",23.3653
"2009-04-28",22.7323
"2009-04-29",22.3501
"2009-04-30",22.8715
"2009-05-01",23.4201
"2009-05-02",24.034
"2009-05-03",24.5603
"2009-05-04",23.8618
"2009-05-05",23.323
"2009-05-06",23.4474
"2009-05-07",24.4323
"2009-05-08",24.0174
"2009-05-09",23.9812
"2009-05-10",23.57
"2009-05-11",23.969
"2009-05-12",23.5459
"2009-05-13",23.3236
"2009-05-14",23.6494
"2009-05-15",23.6112
"2009-05-16",23.8585
"2009-05-17",23.4979
"2009-05-18",23.266
"2009-05-19",23.4411
"2009-05-20",22.9737
"2009-05-21",23.465
"2009-05-22",23.4077
"2009-05-23",23.7476
"2009-05-24",23.9465
"2009-05-25",23.2327
"2009-05-26",23.7219
"2009-05-27",23.4857
"2009-05-28",23.3849
"2009-05-29",23.5352
"2009-05-30",23.7421
"2009-05-31",23.9069
"2009-06-01",23.5234
"2009-06-02",22.8991
"2009-06-03",23.4226
"2009-06-04",23.625
"2009-06-05",23.1461
"2009-06-06",21.8909
"2009-06-07",23.0442
"2009-06-08",22.672
"2009-06-09",22.8307
"2009-06-10",23.1527
"2009-06-11",22.7627
"2009-06-12",22.0677
"2009-06-13",22.1893
"2009-06-14",22.557
"2009-06-15",22.5586
"2009-06-16",22.7777
"2009-06-17",22.9242
"2009-06-18",22.7407
"2009-06-19",22.6811
"2009-06-20",22.6182
"2009-06-21",22.8456
"2009-06-22",22.646
"2009-06-23",22.9292
"2009-06-24",23.0463
"2009-06-25",23.0055
"2009-06-26",22.0077
"2009-06-27",22.4976
"2009-06-28",22.5955
"2009-06-29",22.5164
"2009-06-30",22.3478
"2009-07-01",22.0154
"2009-07-02",21.9254
"2009-07-03",21.2687
"2009-07-04",22.0476
"2009-07-05",22.3484
"2009-07-06",22.4414
"2009-07-07",22.0909
"2009-07-08",21.7353
"2009-07-09",21.6836
"2009-07-10",22.4417
"2009-07-11",22.6316
"2009-07-12",21.9942
"2009-07-13",21.8357
"2009-07-14",22.4863
"2009-07-15",22.9292
"2009-07-16",22.591
"2009-07-17",21.5476
"2009-07-18",21.3173
"2009-07-19",21.7166
"2009-07-20",21.6884
"2009-07-21",21.6606
"2009-07-22",21.618
"2009-07-23",21.649
"2009-07-24",22.0892
"2009-07-25",22.5738
"2009-07-26",22.6963
"2009-07-27",22.5408
"2009-07-28",22.1799
"2009-07-29",22.2594
"2009-07-30",22.9153
"2009-07-31",22.5491
"2009-08-01",21.7135
"2009-08-02",21.8851
"2009-08-03",21.9248
"2009-08-04",22.209
"2009-08-05",22.1497
"2009-08-06",22.4354
"2009-08-07",22.7767
"2009-08-08",22.6279
"2009-08-09",22.7247
"2009-08-10",22.4073
"2009-08-11",22.2346
"2009-08-12",21.9247
"2009-08-13",22.6586
"2009-08-14",22.8226
"2009-08-15",22.3582
"2009-08-16",22.8364
"2009-08-17",22.5902
"2009-08-18",22.6327
"2009-08-19",23.0226
"2009-08-20",22.9429
"2009-08-21",22.6446
"2009-08-22",22.4256
"2009-08-23",22.3299
"2009-08-24",22.6258
"2009-08-25",22.177
"2009-08-26",22.3057
"2009-08-27",22.7266
"2009-08-28",22.54
"2009-08-29",22.4999
"2009-08-30",22.3159
"2009-08-31",22.4267
"2009-09-01",22.8827
"2009-09-02",22.6107
"2009-09-03",22.2928
"2009-09-04",22.4117
"2009-09-05",22.6786
"2009-09-06",22.3802
"2009-09-07",22.4247
"2009-09-08",22.7876
"2009-09-09",22.7768
"2009-09-10",22.5765
"2009-09-11",22.2022
"2009-09-12",22.2647
"2009-09-13",23.2248
"2009-09-14",21.6681
"2009-09-15",22.0263
"2009-09-16",22.0543
"2009-09-17",21.9855
"2009-09-18",22.1243
"2009-09-19",21.9123
"2009-09-20",22.1963
"2009-09-21",22.5482
"2009-09-22",22.0881
"2009-09-23",22.165
"2009-09-24",21.9615
"2009-09-25",21.814
"2009-09-26",21.4999
"2009-09-27",21.3803
"2009-09-28",22.2478
"2009-09-29",22.5409
"2009-09-30",22.7079
"2009-10-01",22.6212
"2009-10-02",23.1078
"2009-10-03",23.0718
"2009-10-04",22.923
"2009-10-05",21.4355
"2009-10-06",21.8246
"2009-10-07",22.2372
"2009-10-08",21.9116
"2009-10-09",22.0479
"2009-10-10",21.7952
"2009-10-11",22.0044
"2009-10-12",21.6475
"2009-10-13",21.0458
"2009-10-14",21.9285
"2009-10-15",22.0067
"2009-10-16",22.8218
"2009-10-17",22.8105
"2009-10-18",23.1753
"2009-10-19",22.3871
"2009-10-20",22.1556
"2009-10-21",22.7235
"2009-10-22",21.678
"2009-10-23",21.5284
"2009-10-24",21.9004
"2009-10-25",21.9018
"2009-10-26",22.0126
"2009-10-27",22.6864
"2009-10-28",23.0564
"2009-10-29",22.9982
"2009-10-30",22.8299
"2009-10-31",22.6269
"2009-11-01",23.1345
"2009-11-02",22.525
"2009-11-03",23.1377
"2009-11-04",23.2104
"2009-11-05",23.1367
"2009-11-06",23.5284
"2009-11-07",23.5935
"2009-11-08",23.52
"2009-11-09",23.3065
"2009-11-10",23.1056
"2009-11-11",23.1451
"2009-11-12",23.5542
"2009-11-13",23.5272
"2009-11-14",23.2342
"2009-11-15",22.8929
"2009-11-16",23.5751
"2009-11-17",23.2784
"2009-11-18",22.8286
"2009-11-19",23.0892
"2009-11-20",22.7789
"2009-11-21",22.9771
"2009-11-22",22.805
"2009-11-23",22.7888
"2009-11-24",22.8324
"2009-11-25",22.2747
"2009-11-26",22.0275
"2009-11-27",21.5653
"2009-11-28",22.2316
"2009-11-29",22.8443
"2009-11-30",23.3332
"2009-12-01",23.174
"2009-12-02",23.0293
"2009-12-03",22.8462
"2009-12-04",22.6626
"2009-12-05",22.7738
"2009-12-06",22.5886
"2009-12-07",23.5419
"2009-12-08",23.3798
"2009-12-09",23.4723
"2009-12-10",23.2963
"2009-12-11",23.5383
"2009-12-12",23.4275
