,"(deg C) Mean Dew Point Temperature (ERA5) at Matale, 2007-01-01 to 2025-12-31"
"2007-07-02",22.6745
"2007-07-03",23.0362
"2007-07-04",22.615
"2007-07-05",23.1284
"2007-07-06",22.8872
"2007-07-07",22.5234
"2007-07-08",22.6185
"2007-07-09",22.819
"2007-07-10",22.18
"2007-07-11",22.7905
"2007-07-12",23.1588
"2007-07-13",23.0744
"2007-07-14",23.0511
"2007-07-15",22.6705
"2007-07-16",23.2706
"2007-07-17",22.8072
"2007-07-18",22.6096
"2007-07-19",22.724
"2007-07-20",22.284
"2007-07-21",21.6042
"2007-07-22",22.1947
"2007-07-23",22.4258
"2007-07-24",22.3776
"2007-07-25",21.1685
"2007-07-26",21.812
"2007-07-27",21.9697
"2007-07-28",22.2959
"2007-07-29",22.5556
"2007-07-30",22.2283
"2007-07-31",22.109
"2007-08-01",21.4979
"2007-08-02",21.681
"2007-08-03",21.9551
"2007-08-04",22.1642
"2007-08-05",22.5799
"2007-08-06",22.1068
"2007-08-07",22.3039
"2007-08-08",22.4561
"2007-08-09",22.5838
"2007-08-10",23.045
"2007-08-11",22.5875
"2007-08-12",22.6425
"2007-08-13",22.2395
"2007-08-14",21.6631
"2007-08-15",21.9208
"2007-08-16",22.1471
"2007-08-17",22.0926
"2007-08-18",22.2007
"2007-08-19",22.2042
"2007-08-20",22.168
"2007-08-21",22.4746
"2007-08-22",21.9674
"2007-08-23",22.5243
"2007-08-24",22.4508
"2007-08-25",22.249
"2007-08-26",21.9734
"2007-08-27",21.69
"2007-08-28",22.2032
"2007-08-29",22.3327
"2007-08-30",22.38
"2007-08-31",22.095
"2007-09-01",21.7656
"2007-09-02",22.2133
"2007-09-03",21.8736
"2007-09-04",22.2613
"2007-09-05",22.7794
"2007-09-06",22.3176
"2007-09-07",23.0514
"2007-09-08",23.128
"2007-09-09",21.6152
"2007-09-10",21.7329
"2007-09-11",22.5278
"2007-09-12",22.4233
"2007-09-13",22.5236
"2007-09-14",22.8965
"2007-09-15",23.1904
"2007-09-16",23.3495
"2007-09-17",23.2808
"2007-09-18",23.0656
"2007-09-19",23.0587
"2007-09-20",23.2318
"2007-09-21",23.3801
"2007-09-22",22.8468
"2007-09-23",22.9224
"2007-09-24",22.5713
"2007-09-25",22.5296
"2007-09-26",22.466
"2007-09-27",22.5618
"2007-09-28",22.6157
"2007-09-29",22.2269
"2007-09-30",21.8093
"2007-10-01",22.0301
"2007-10-02",22.6492
"2007-10-03",22.6954
"2007-10-04",22.6326
"2007-10-05",22.4456
"2007-10-06",22.2904
"2007-10-07",22.4625
"2007-10-08",22.3594
"2007-10-09",22.0872
"2007-10-10",22.4271
"2007-10-11",22.5683
"2007-10-12",22.5514
"2007-10-13",22.4391
"2007-10-14",22.8398
"2007-10-15",22.7621
"2007-10-16",23.0653
"2007-10-17",22.8592
"2007-10-18",22.3639
"2007-10-19",22.784
"2007-10-20",21.5446
"2007-10-21",21.7878
"2007-10-22",21.9665
"2007-10-23",22.6826
"2007-10-24",22.9349
"2007-10-25",23.0902
"2007-10-26",22.4897
"2007-10-27",22.4769
"2007-10-28",22.8645
"2007-10-29",22.4743
"2007-10-30",22.0797
"2007-10-31",22.163
"2007-11-01",22.5636
"2007-11-02",22.4823
"2007-11-03",22.6745
"2007-11-04",22.7047
"2007-11-05",23.3159
"2007-11-06",22.7145
"2007-11-07",22.6203
"2007-11-08",22.4015
"2007-11-09",22.313
"2007-11-10",21.6664
"2007-11-11",22.304
"2007-11-12",22.6058
"2007-11-13",22.1309
"2007-11-14",19.5471
"2007-11-15",19.85
"2007-11-16",18.6743
"2007-11-17",17.957
"2007-11-18",21.332
"2007-11-19",22.4344
"2007-11-20",22.4566
"2007-11-21",22.6542
"2007-11-22",22.7264
"2007-11-23",22.6551
"2007-11-24",22.548
"2007-11-25",19.6403
"2007-11-26",19.9413
"2007-11-27",21.6679
"2007-11-28",21.9208
"2007-11-29",21.5915
"2007-11-30",19.7031
"2007-12-01",20.6954
"2007-12-02",21.2165
"2007-12-03",19.9558
"2007-12-04",21.5247
"2007-12-05",20.5297
"2007-12-06",20.4849
"2007-12-07",21.6705
"2007-12-08",22.1206
"2007-12-09",21.9008
"2007-12-10",21.8008
"2007-12-11",21.1311
"2007-12-12",21.9348
"2007-12-13",22.8749
"2007-12-14",22.9521
"2007-12-15",22.4722
"2007-12-16",22.2381
"2007-12-17",22.7773
"2007-12-18",23.2068
"2007-12-19",22.9504
"2007-12-20",22.9369
"2007-12-21",22.6208
"2007-12-22",22.2738
"2007-12-23",22.0472
"2007-12-24",21.2033
"2007-12-25",18.8281
"2007-12-26",18.6513
"2007-12-27",19.5933
"2007-12-28",20.2593
"2007-12-29",19.4697
"2007-12-30",19.7296
"2007-12-31",19.1815
"2008-01-01",19.4295
"2008-01-02",20.7537
"2008-01-03",22.475
"2008-01-04",22.1544
"2008-01-05",22.2099
"2008-01-06",21.9455
"2008-01-07",21.6139
"2008-01-08",22.063
"2008-01-09",22.4794
"2008-01-10",22.53
"2008-01-11",22.426
"2008-01-12",22.5403
"2008-01-13",22.0095
"2008-01-14",19.872
"2008-01-15",19.1431
"2008-01-16",19.6719
"2008-01-17",19.428
"2008-01-18",18.7111
"2008-01-19",18.0399
"2008-01-20",20.9809
"2008-01-21",22.778
"2008-01-22",22.1053
"2008-01-23",19.5533
"2008-01-24",21.182
"2008-01-25",21.9904
"2008-01-26",21.7461
"2008-01-27",21.9943
"2008-01-28",21.2948
"2008-01-29",21.4361
"2008-01-30",20.6887
"2008-01-31",20.9997
"2008-02-01",21.3811
"2008-02-02",21.4386
"2008-02-03",20.3094
"2008-02-04",20.4195
"2008-02-05",21.2764
"2008-02-06",22.8037
"2008-02-07",22.7543
"2008-02-08",22.5469
"2008-02-09",22.9315
"2008-02-10",22.8117
"2008-02-11",22.3187
"2008-02-12",22.2344
"2008-02-13",22.4412
"2008-02-14",22.0415
"2008-02-15",21.8779
"2008-02-16",21.8103
"2008-02-17",20.6134
"2008-02-18",20.0133
"2008-02-19",20.012
"2008-02-20",21.6189
"2008-02-21",21.9542
"2008-02-22",19.6437
"2008-02-23",17.1027
"2008-02-24",16.8702
"2008-02-25",16.543
"2008-02-26",20.5212
"2008-02-27",22.3565
"2008-02-28",22.0755
"2008-02-29",22.4095
"2008-03-01",20.8876
"2008-03-02",22.1215
"2008-03-03",22.0687
"2008-03-04",21.7837
"2008-03-05",22.3906
"2008-03-06",21.8175
"2008-03-07",20.7155
"2008-03-08",19.6168
"2008-03-09",21.9291
"2008-03-10",22.4467
"2008-03-11",22.6562
"2008-03-12",22.6818
"2008-03-13",22.6184
"2008-03-14",22.6717
"2008-03-15",22.6367
"2008-03-16",22.7992
"2008-03-17",22.8226
"2008-03-18",22.7404
"2008-03-19",23.0888
"2008-03-20",22.9417
"2008-03-21",23.1287
"2008-03-22",23.0823
"2008-03-23",23.261
"2008-03-24",22.8654
"2008-03-25",22.3227
"2008-03-26",22.2337
"2008-03-27",22.6174
"2008-03-28",22.3547
"2008-03-29",23.0855
"2008-03-30",23.1443
"2008-03-31",22.8995
"2008-04-01",23.0098
"2008-04-02",22.4207
"2008-04-03",22.296
"2008-04-04",22.4724
"2008-04-05",22.3794
"2008-04-06",22.5232
"2008-04-07",22.7349
"2008-04-08",22.5915
"2008-04-09",22.098
"2008-04-10",22.8774
"2008-04-11",23.2504
"2008-04-12",22.4101
"2008-04-13",23.1848
"2008-04-14",23.0968
"2008-04-15",22.7646
"2008-04-16",23.2538
"2008-04-17",22.7415
"2008-04-18",23.4398
"2008-04-19",23.1899
"2008-04-20",22.985
"2008-04-21",23.8318
"2008-04-22",23.6112
"2008-04-23",23.7852
"2008-04-24",23.3066
"2008-04-25",22.8654
"2008-04-26",23.0894
"2008-04-27",23.2569
"2008-04-28",23.0187
"2008-04-29",23.5075
"2008-04-30",23.8848
"2008-05-01",23.9562
"2008-05-02",23.6103
"2008-05-03",23.613
"2008-05-04",23.6042
"2008-05-05",23.3056
"2008-05-06",23.3522
"2008-05-07",22.9622
"2008-05-08",23.1614
"2008-05-09",22.0066
"2008-05-10",22.4438
"2008-05-11",23.7006
"2008-05-12",23.1863
"2008-05-13",23.005
"2008-05-14",23.0517
"2008-05-15",23.1641
"2008-05-16",23.551
"2008-05-17",23.2929
"2008-05-18",23.7564
"2008-05-19",23.44
"2008-05-20",23.1533
"2008-05-21",22.7432
"2008-05-22",23.044
"2008-05-23",22.9907
"2008-05-24",22.6412
"2008-05-25",23.0911
"2008-05-26",22.9219
"2008-05-27",22.3413
"2008-05-28",23.182
"2008-05-29",22.5174
"2008-05-30",22.9409
"2008-05-31",22.6718
"2008-06-01",22.3323
"2008-06-02",22.0941
"2008-06-03",21.8322
"2008-06-04",22.8264
"2008-06-05",22.7302
"2008-06-06",23.0891
"2008-06-07",23.0891
"2008-06-08",23.1226
"2008-06-09",23.3152
"2008-06-10",22.7234
"2008-06-11",22.5585
"2008-06-12",22.8414
"2008-06-13",22.7143
"2008-06-14",22.7142
"2008-06-15",22.8283
"2008-06-16",22.5018
"2008-06-17",21.628
"2008-06-18",22.6304
"2008-06-19",22.4409
"2008-06-20",22.4794
"2008-06-21",22.7796
"2008-06-22",22.6467
"2008-06-23",22.6194
"2008-06-24",22.3917
"2008-06-25",22.882
"2008-06-26",22.8767
"2008-06-27",22.1104
"2008-06-28",21.4185
"2008-06-29",22.4625
"2008-06-30",22.4713
"2008-07-01",22.2646
"2008-07-02",21.018
"2008-07-03",20.8016
"2008-07-04",22.6525
"2008-07-05",22.6338
"2008-07-06",22.4914
"2008-07-07",22.6937
"2008-07-08",22.5729
"2008-07-09",22.3596
"2008-07-10",22.6461
"2008-07-11",21.9767
"2008-07-12",22.1746
"2008-07-13",21.7195
"2008-07-14",22.256
"2008-07-15",22.3899
"2008-07-16",22.0083
"2008-07-17",21.8666
"2008-07-18",22.2177
"2008-07-19",22.7422
"2008-07-20",22.111
"2008-07-21",22.1783
"2008-07-22",22.2959
"2008-07-23",22.5143
"2008-07-24",22.1685
"2008-07-25",22.2303
"2008-07-26",22.2201
"2008-07-27",21.8727
"2008-07-28",22.1903
"2008-07-29",21.5857
"2008-07-30",21.6162
"2008-07-31",21.6404
"2008-08-01",22.0817
"2008-08-02",22.3258
"2008-08-03",22.57
"2008-08-04",22.1975
"2008-08-05",22.1993
"2008-08-06",21.613
"2008-08-07",21.55
"2008-08-08",21.42
"2008-08-09",21.9119
"2008-08-10",22.2527
"2008-08-11",22.3158
"2008-08-12",21.9245
"2008-08-13",21.8256
"2008-08-14",22.2093
"2008-08-15",22.1956
"2008-08-16",21.904
"2008-08-17",21.1115
"2008-08-18",21.6936
"2008-08-19",21.5976
"2008-08-20",21.5456
"2008-08-21",21.8
"2008-08-22",21.5608
"2008-08-23",21.8201
"2008-08-24",21.5298
"2008-08-25",21.961
"2008-08-26",21.9765
"2008-08-27",22.1138
"2008-08-28",22.3605
"2008-08-29",22.1354
"2008-08-30",21.6636
"2008-08-31",21.4072
"2008-09-01",22.2904
"2008-09-02",22.0022
"2008-09-03",21.4764
"2008-09-04",22.1641
"2008-09-05",21.7125
"2008-09-06",22.0579
"2008-09-07",21.533
"2008-09-08",21.5786
"2008-09-09",22.2321
"2008-09-10",22.2791
"2008-09-11",22.2696
"2008-09-12",22.9892
"2008-09-13",22.5947
"2008-09-14",21.8383
"2008-09-15",21.5369
"2008-09-16",21.9611
"2008-09-17",21.5151
"2008-09-18",21.7053
"2008-09-19",21.4732
"2008-09-20",21.0067
"2008-09-21",21.2435
"2008-09-22",21.5598
"2008-09-23",21.4429
"2008-09-24",21.5268
"2008-09-25",20.7817
"2008-09-26",21.6502
"2008-09-27",21.8225
"2008-09-28",21.8231
"2008-09-29",21.2504
"2008-09-30",19.1004
"2008-10-01",19.6944
"2008-10-02",20.4228
"2008-10-03",19.8845
"2008-10-04",20.6513
"2008-10-05",21.0774
"2008-10-06",21.9352
"2008-10-07",21.7501
"2008-10-08",21.9172
"2008-10-09",22.0754
"2008-10-10",22.5366
"2008-10-11",22.4195
"2008-10-12",22.6369
"2008-10-13",22.9869
"2008-10-14",22.7687
"2008-10-15",23.205
"2008-10-16",23.5373
"2008-10-17",23.3724
"2008-10-18",23.255
"2008-10-19",23.2107
"2008-10-20",23.5268
"2008-10-21",23.3147
"2008-10-22",22.4509
"2008-10-23",22.1977
"2008-10-24",22.3827
"2008-10-25",22.1604
"2008-10-26",23.1218
"2008-10-27",23.2303
"2008-10-28",22.8023
"2008-10-29",22.2556
"2008-10-30",20.4356
"2008-10-31",20.3293
"2008-11-01",18.5589
"2008-11-02",19.1244
"2008-11-03",19.6646
"2008-11-04",19.6948
"2008-11-05",18.5458
"2008-11-06",18.3169
"2008-11-07",19.3661
"2008-11-08",21.6128
"2008-11-09",22.655
"2008-11-10",22.5818
"2008-11-11",22.97
"2008-11-12",22.9645
"2008-11-13",22.8455
"2008-11-14",22.4198
"2008-11-15",22.0781
"2008-11-16",21.8846
"2008-11-17",21.2677
"2008-11-18",21.6117
"2008-11-19",22.7054
"2008-11-20",23.4197
"2008-11-21",23.2057
"2008-11-22",23.1934
"2008-11-23",23.1539
"2008-11-24",23.0064
"2008-11-25",23.0668
"2008-11-26",22.3722
"2008-11-27",23.1377
"2008-11-28",22.5701
"2008-11-29",23.088
"2008-11-30",22.7347
"2008-12-01",22.5779
"2008-12-02",22.5244
"2008-12-03",20.571
"2008-12-04",21.6274
"2008-12-05",22.1385
"2008-12-06",22.6563
"2008-12-07",21.7866
"2008-12-08",22.9744
"2008-12-09",23.36
"2008-12-10",23.3184
"2008-12-11",23.3141
"2008-12-12",22.2093
"2008-12-13",20.8968
"2008-12-14",22.0948
"2008-12-15",22.5163
"2008-12-16",22.3809
"2008-12-17",22.4843
"2008-12-18",22.2188
"2008-12-19",22.8723
"2008-12-20",22.586
"2008-12-21",20.8853
"2008-12-22",19.9564
"2008-12-23",21.0297
"2008-12-24",21.7202
"2008-12-25",21.7064
"2008-12-26",21.0762
"2008-12-27",20.215
"2008-12-28",20.4488
"2008-12-29",19.008
"2008-12-30",17.9925
"2008-12-31",17.633
"2009-01-01",17.7304
"2009-01-02",18.5827
"2009-01-03",18.5909
"2009-01-04",20.4796
"2009-01-05",20.4216
"2009-01-06",21.2895
"2009-01-07",21.7975
"2009-01-08",21.5418
"2009-01-09",22.2044
"2009-01-10",21.3385
"2009-01-11",20.6374
"2009-01-12",20.5402
"2009-01-13",21.0531
"2009-01-14",20.8604
"2009-01-15",20.0141
"2009-01-16",19.003
"2009-01-17",19.5586
"2009-01-18",19.8893
"2009-01-19",19.0518
"2009-01-20",19.4034
"2009-01-21",18.5205
"2009-01-22",18.3643
"2009-01-23",19.1324
"2009-01-24",18.4012
"2009-01-25",21.2258
"2009-01-26",22.811
"2009-01-27",22.3907
"2009-01-28",22.2896
"2009-01-29",20.6403
"2009-01-30",18.6911
"2009-01-31",18.8721
"2009-02-01",18.878
"2009-02-02",18.4251
"2009-02-03",18.1613
"2009-02-04",18.1048
"2009-02-05",17.5668
"2009-02-06",18.0696
"2009-02-07",17.3269
"2009-02-08",17.5177
"2009-02-09",17.3246
"2009-02-10",18.3695
"2009-02-11",18.8395
"2009-02-12",16.9709
"2009-02-13",16.1743
"2009-02-14",17.1548
"2009-02-15",18.0638
"2009-02-16",18.2268
"2009-02-17",17.7795
"2009-02-18",17.9988
"2009-02-19",19.8294
"2009-02-20",21.5055
"2009-02-21",22.2761
"2009-02-22",22.2175
"2009-02-23",22.3458
"2009-02-24",22.7024
"2009-02-25",21.7358
"2009-02-26",21.4247
"2009-02-27",20.2332
"2009-02-28",19.1896
"2009-03-01",17.0592
"2009-03-02",15.5225
"2009-03-03",14.0694
"2009-03-04",18.9201
"2009-03-05",19.5831
"2009-03-06",19.7261
"2009-03-07",19.8665
"2009-03-08",21.2534
"2009-03-09",22.8089
"2009-03-10",22.6387
"2009-03-11",22.5905
"2009-03-12",22.8855
"2009-03-13",22.9077
"2009-03-14",22.5619
"2009-03-15",22.6115
"2009-03-16",21.878
"2009-03-17",22.0542
"2009-03-18",22.0929
"2009-03-19",22.6814
"2009-03-20",22.385
"2009-03-21",21.7797
"2009-03-22",21.3905
"2009-03-23",22.4732
"2009-03-24",22.2177
"2009-03-25",22.6109
"2009-03-26",22.7429
"2009-03-27",22.7302
"2009-03-28",22.7104
"2009-03-29",22.8017
"2009-03-30",22.5295
"2009-03-31",22.7252
"2009-04-01",23.2136
"2009-04-02",23.0633
"2009-04-03",22.8326
"2009-04-04",23.1182
"2009-04-05",23.1892
"2009-04-06",23.1858
"2009-04-07",23.1693
"2009-04-08",23.1592
"2009-04-09",23.1098
"2009-04-10",22.9851
"2009-04-11",23.5598
"2009-04-12",23.7522
"2009-04-13",23.043
"2009-04-14",23.4179
"2009-04-15",23.8722
"2009-04-16",23.7152
"2009-04-17",23.7195
"2009-04-18",24.0109
"2009-04-19",23.8368
"2009-04-20",23.1707
"2009-04-21",22.6512
"2009-04-22",23.2423
"2009-04-23",23.5504
"2009-04-24",23.5758
"2009-04-25",23.3114
"2009-04-26",23.3713
"2009-04-27",22.9773
"2009-04-28",22.5961
"2009-04-29",22.5689
"2009-04-30",22.2913
"2009-05-01",22.7852
"2009-05-02",23.6555
"2009-05-03",24.1113
"2009-05-04",23.1088
"2009-05-05",23.1304
"2009-05-06",23.3316
"2009-05-07",23.7428
"2009-05-08",23.5343
"2009-05-09",23.5525
"2009-05-10",23.679
"2009-05-11",23.8132
"2009-05-12",23.8288
"2009-05-13",23.8292
"2009-05-14",23.7248
"2009-05-15",23.8502
"2009-05-16",23.7963
"2009-05-17",23.2527
"2009-05-18",23.0561
"2009-05-19",23.6339
"2009-05-20",23.5155
"2009-05-21",23.5192
"2009-05-22",23.82
"2009-05-23",23.9811
"2009-05-24",24.2112
"2009-05-25",22.992
"2009-05-26",23.6959
"2009-05-27",23.3935
"2009-05-28",23.2334
"2009-05-29",23.3104
"2009-05-30",23.5238
"2009-05-31",23.4743
"2009-06-01",23.1339
"2009-06-02",22.9553
"2009-06-03",23.6233
"2009-06-04",23.9353
"2009-06-05",23.571
"2009-06-06",21.796
"2009-06-07",23.3349
"2009-06-08",22.9831
"2009-06-09",22.8857
"2009-06-10",23.1696
"2009-06-11",22.7573
"2009-06-12",22.223
"2009-06-13",22.468
"2009-06-14",22.8614
"2009-06-15",22.8243
"2009-06-16",23.0579
"2009-06-17",22.9065
"2009-06-18",22.5174
"2009-06-19",22.4757
"2009-06-20",22.4453
"2009-06-21",22.5589
"2009-06-22",22.6114
"2009-06-23",22.7864
"2009-06-24",23.1979
"2009-06-25",23.1605
"2009-06-26",22.4917
"2009-06-27",22.9085
"2009-06-28",22.7415
"2009-06-29",22.7134
"2009-06-30",22.6233
"2009-07-01",22.0407
"2009-07-02",22.6083
"2009-07-03",22.136
"2009-07-04",22.4508
"2009-07-05",22.3956
"2009-07-06",22.0542
"2009-07-07",22.0341
"2009-07-08",21.5997
"2009-07-09",21.8697
"2009-07-10",21.8676
"2009-07-11",22.1064
"2009-07-12",22.0539
"2009-07-13",22.2375
"2009-07-14",22.9582
"2009-07-15",22.6275
"2009-07-16",22.4988
"2009-07-17",22.0052
"2009-07-18",21.7589
"2009-07-19",22.1934
"2009-07-20",22.4189
"2009-07-21",22.4254
"2009-07-22",22.0874
"2009-07-23",22.0168
"2009-07-24",22.3677
"2009-07-25",22.1785
"2009-07-26",22.3457
"2009-07-27",22.3674
"2009-07-28",22.0592
"2009-07-29",22.0134
"2009-07-30",22.3719
"2009-07-31",22.393
"2009-08-01",22.6437
"2009-08-02",22.3488
"2009-08-03",22.0794
"2009-08-04",22.6214
"2009-08-05",22.2539
"2009-08-06",22.4892
"2009-08-07",22.2986
"2009-08-08",21.9378
"2009-08-09",22.1169
"2009-08-10",21.9326
"2009-08-11",22.1399
"2009-08-12",22.0914
"2009-08-13",22.395
"2009-08-14",22.5385
"2009-08-15",22.4126
"2009-08-16",22.6511
"2009-08-17",22.0065
"2009-08-18",22.496
"2009-08-19",22.7764
"2009-08-20",22.7141
"2009-08-21",21.9817
"2009-08-22",21.7024
"2009-08-23",22.0406
"2009-08-24",22.2805
"2009-08-25",22.0792
"2009-08-26",22.4605
"2009-08-27",22.9631
"2009-08-28",22.9452
"2009-08-29",22.5824
"2009-08-30",22.3375
"2009-08-31",22.4167
"2009-09-01",22.7224
"2009-09-02",22.8104
"2009-09-03",22.6429
"2009-09-04",22.7779
"2009-09-05",22.7701
"2009-09-06",22.6497
"2009-09-07",22.6869
"2009-09-08",22.5934
"2009-09-09",22.4118
"2009-09-10",21.9459
"2009-09-11",21.7382
"2009-09-12",22.2684
"2009-09-13",23.1905
"2009-09-14",21.7408
"2009-09-15",21.7651
"2009-09-16",22.108
"2009-09-17",22.1566
"2009-09-18",22.1529
"2009-09-19",22.0324
"2009-09-20",22.2325
"2009-09-21",22.3645
"2009-09-22",21.4708
"2009-09-23",21.9959
"2009-09-24",21.8339
"2009-09-25",22.1393
"2009-09-26",21.8116
"2009-09-27",21.8921
"2009-09-28",22.373
"2009-09-29",22.9
"2009-09-30",22.8492
"2009-10-01",22.945
"2009-10-02",22.6966
"2009-10-03",22.6483
"2009-10-04",21.9214
"2009-10-05",21.3693
"2009-10-06",21.4255
"2009-10-07",21.9469
"2009-10-08",21.7827
"2009-10-09",21.6531
"2009-10-10",21.5648
"2009-10-11",21.8686
"2009-10-12",22.4152
"2009-10-13",22.3604
"2009-10-14",22.4053
"2009-10-15",21.3254
"2009-10-16",21.8648
"2009-10-17",22.1199
"2009-10-18",22.7678
"2009-10-19",23.0401
"2009-10-20",23.0706
"2009-10-21",21.6135
"2009-10-22",20.4843
"2009-10-23",19.9334
"2009-10-24",20.4755
"2009-10-25",21.0802
"2009-10-26",20.8394
"2009-10-27",21.7584
"2009-10-28",22.9355
"2009-10-29",23.0755
"2009-10-30",22.626
"2009-10-31",22.687
"2009-11-01",23.1126
"2009-11-02",22.3686
"2009-11-03",22.9675
"2009-11-04",23.1907
"2009-11-05",23.1049
"2009-11-06",23.3903
"2009-11-07",23.339
"2009-11-08",23.3215
"2009-11-09",23.2707
"2009-11-10",22.2942
"2009-11-11",23.0174
"2009-11-12",23.3411
"2009-11-13",23.3891
"2009-11-14",22.998
"2009-11-15",22.8064
"2009-11-16",23.3227
"2009-11-17",23.0886
"2009-11-18",22.8494
"2009-11-19",22.5323
"2009-11-20",22.6806
"2009-11-21",22.8495
"2009-11-22",22.711
"2009-11-23",22.4259
"2009-11-24",22.4875
"2009-11-25",22.244
"2009-11-26",20.4147
"2009-11-27",20.0588
"2009-11-28",21.986
"2009-11-29",22.5968
"2009-11-30",22.8899
"2009-12-01",22.9665
"2009-12-02",22.7932
"2009-12-03",22.9958
"2009-12-04",22.4921
"2009-12-05",21.994
"2009-12-06",22.1537
"2009-12-07",23.451
"2009-12-08",23.3353
"2009-12-09",22.6769
"2009-12-10",22.061
"2009-12-11",22.7617
"2009-12-12",23.3835
"2009-12-13",22.8704
