,"(deg C) Mean Dew Point Temperature (ERA5) at Kalutara, 2007-01-01 to 2025-12-31"
"2007-06-13",24.8461
"2007-06-14",24.2263
"2007-06-15",24.1912
"2007-06-16",24.2384
"2007-06-17",24.3154
"2007-06-18",23.7626
"2007-06-19",24.0905
"2007-06-20",23.8841
"2007-06-21",23.8541
"2007-06-22",23.6713
"2007-06-23",23.9113
"2007-06-24",24.9477
"2007-06-25",25.1399
"2007-06-26",24.5316
"2007-06-27",24.678
"2007-06-28",24.863
"2007-06-29",25.1713
"2007-06-30",25.0877
"2007-07-01",24.6842
"2007-07-02",24.5946
"2007-07-03",24.7747
"2007-07-04",24.7151
"2007-07-05",24.9265
"2007-07-06",25.0487
"2007-07-07",24.7872
"2007-07-08",24.5833
"2007-07-09",24.9182
"2007-07-10",24.3964
"2007-07-11",24.2931
"2007-07-12",24.7382
"2007-07-13",24.8263
"2007-07-14",24.7345
"2007-07-15",24.9061
"2007-07-16",24.6025
"2007-07-17",24.2046
"2007-07-18",24.0178
"2007-07-19",23.8096
"2007-07-20",23.5442
"2007-07-21",23.4693
"2007-07-22",23.0509
"2007-07-23",23.4158
"2007-07-24",23.4997
"2007-07-25",23.1606
"2007-07-26",23.2916
"2007-07-27",23.9972
"2007-07-28",24.031
"2007-07-29",24.2821
"2007-07-30",24.5316
"2007-07-31",24.1649
"2007-08-01",23.5171
"2007-08-02",23.9229
"2007-08-03",24.0835
"2007-08-04",24.1895
"2007-08-05",24.524
"2007-08-06",24.3648
"2007-08-07",24.1756
"2007-08-08",24.8748
"2007-08-09",24.9252
"2007-08-10",24.1734
"2007-08-11",24.1916
"2007-08-12",24.7048
"2007-08-13",24.4059
"2007-08-14",24.1259
"2007-08-15",23.9583
"2007-08-16",24.619
"2007-08-17",24.4678
"2007-08-18",24.599
"2007-08-19",24.2674
"2007-08-20",24.7977
"2007-08-21",24.0531
"2007-08-22",23.9011
"2007-08-23",24.344
"2007-08-24",24.1421
"2007-08-25",23.7483
"2007-08-26",23.8066
"2007-08-27",23.9387
"2007-08-28",24.3993
"2007-08-29",24.1729
"2007-08-30",23.8344
"2007-08-31",23.2914
"2007-09-01",23.7656
"2007-09-02",24.3793
"2007-09-03",24.4151
"2007-09-04",24.1453
"2007-09-05",24.0406
"2007-09-06",24.2291
"2007-09-07",24.282
"2007-09-08",24.2002
"2007-09-09",22.9045
"2007-09-10",23.7671
"2007-09-11",24.0634
"2007-09-12",23.8032
"2007-09-13",24.4424
"2007-09-14",24.3295
"2007-09-15",24.3318
"2007-09-16",24.4465
"2007-09-17",24.5363
"2007-09-18",24.2789
"2007-09-19",24.269
"2007-09-20",24.6014
"2007-09-21",24.7042
"2007-09-22",24.295
"2007-09-23",24.3123
"2007-09-24",24.5423
"2007-09-25",24.4871
"2007-09-26",24.3887
"2007-09-27",24.7524
"2007-09-28",24.1832
"2007-09-29",24.1769
"2007-09-30",23.6976
"2007-10-01",24.3087
"2007-10-02",24.1299
"2007-10-03",24.3436
"2007-10-04",24.304
"2007-10-05",23.9838
"2007-10-06",23.831
"2007-10-07",23.9265
"2007-10-08",23.7299
"2007-10-09",24.2211
"2007-10-10",24.1085
"2007-10-11",23.7525
"2007-10-12",23.8044
"2007-10-13",23.9958
"2007-10-14",23.8182
"2007-10-15",24.0006
"2007-10-16",23.6929
"2007-10-17",23.4542
"2007-10-18",23.2003
"2007-10-19",23.5431
"2007-10-20",22.6226
"2007-10-21",23.1702
"2007-10-22",23.1312
"2007-10-23",23.8362
"2007-10-24",24.0497
"2007-10-25",23.9615
"2007-10-26",23.3699
"2007-10-27",23.4054
"2007-10-28",23.8163
"2007-10-29",23.8766
"2007-10-30",23.5745
"2007-10-31",23.9203
"2007-11-01",23.9444
"2007-11-02",23.6189
"2007-11-03",23.3685
"2007-11-04",23.5846
"2007-11-05",23.4489
"2007-11-06",23.2477
"2007-11-07",23.4703
"2007-11-08",23.6146
"2007-11-09",23.6933
"2007-11-10",23.0352
"2007-11-11",23.3708
"2007-11-12",23.1482
"2007-11-13",23.1921
"2007-11-14",21.2601
"2007-11-15",20.6665
"2007-11-16",20.1534
"2007-11-17",19.2737
"2007-11-18",21.7247
"2007-11-19",22.7461
"2007-11-20",23.4719
"2007-11-21",23.6721
"2007-11-22",23.7073
"2007-11-23",23.3552
"2007-11-24",23.5373
"2007-11-25",22.2196
"2007-11-26",21.7608
"2007-11-27",22.8427
"2007-11-28",22.9137
"2007-11-29",22.4657
"2007-11-30",21.6376
"2007-12-01",22.2471
"2007-12-02",22.5734
"2007-12-03",21.9781
"2007-12-04",22.1274
"2007-12-05",21.8284
"2007-12-06",21.3092
"2007-12-07",22.5613
"2007-12-08",22.8297
"2007-12-09",23.0648
"2007-12-10",22.2366
"2007-12-11",21.4825
"2007-12-12",21.9443
"2007-12-13",23.0185
"2007-12-14",23.6843
"2007-12-15",23.3225
"2007-12-16",22.9512
"2007-12-17",23.221
"2007-12-18",23.6492
"2007-12-19",23.8406
"2007-12-20",23.9024
"2007-12-21",23.605
"2007-12-22",23.3832
"2007-12-23",23.029
"2007-12-24",23.4499
"2007-12-25",23.0493
"2007-12-26",20.7745
"2007-12-27",21.044
"2007-12-28",21.1547
"2007-12-29",21.5906
"2007-12-30",21.077
"2007-12-31",19.973
"2008-01-01",20.4286
"2008-01-02",21.4548
"2008-01-03",22.8408
"2008-01-04",23.3732
"2008-01-05",23.2795
"2008-01-06",23.1436
"2008-01-07",22.7623
"2008-01-08",22.9876
"2008-01-09",23.2524
"2008-01-10",23.3204
"2008-01-11",23.3899
"2008-01-12",23.3506
"2008-01-13",23.091
"2008-01-14",21.7054
"2008-01-15",20.9956
"2008-01-16",21.1876
"2008-01-17",20.749
"2008-01-18",20.9926
"2008-01-19",20.9436
"2008-01-20",21.5797
"2008-01-21",23.3941
"2008-01-22",23.038
"2008-01-23",22.1841
"2008-01-24",22.7219
"2008-01-25",23.2255
"2008-01-26",22.7961
"2008-01-27",22.9926
"2008-01-28",22.3628
"2008-01-29",22.6714
"2008-01-30",22.7979
"2008-01-31",22.702
"2008-02-01",22.7288
"2008-02-02",22.3079
"2008-02-03",22.7059
"2008-02-04",22.7219
"2008-02-05",22.8403
"2008-02-06",23.556
"2008-02-07",23.7165
"2008-02-08",23.2672
"2008-02-09",23.3815
"2008-02-10",23.4347
"2008-02-11",23.3406
"2008-02-12",23.1575
"2008-02-13",23.1958
"2008-02-14",22.7868
"2008-02-15",23.2058
"2008-02-16",23.0543
"2008-02-17",21.8941
"2008-02-18",22.5462
"2008-02-19",23.1235
"2008-02-20",23.2569
"2008-02-21",22.9519
"2008-02-22",21.9217
"2008-02-23",19.8407
"2008-02-24",18.4336
"2008-02-25",18.6287
"2008-02-26",20.508
"2008-02-27",22.7262
"2008-02-28",23.4119
"2008-02-29",23.3263
"2008-03-01",23.4815
"2008-03-02",23.0764
"2008-03-03",23.2208
"2008-03-04",23.2349
"2008-03-05",23.1242
"2008-03-06",23.1493
"2008-03-07",22.7701
"2008-03-08",22.0412
"2008-03-09",23.0086
"2008-03-10",22.9199
"2008-03-11",23.2216
"2008-03-12",23.4453
"2008-03-13",23.2174
"2008-03-14",23.5419
"2008-03-15",23.1775
"2008-03-16",23.5149
"2008-03-17",23.4618
"2008-03-18",23.2073
"2008-03-19",23.2385
"2008-03-20",23.225
"2008-03-21",23.7892
"2008-03-22",23.8429
"2008-03-23",23.7382
"2008-03-24",23.9166
"2008-03-25",23.5265
"2008-03-26",23.7951
"2008-03-27",23.6873
"2008-03-28",23.5662
"2008-03-29",24.1096
"2008-03-30",24.033
"2008-03-31",23.9291
"2008-04-01",24.0177
"2008-04-02",23.6207
"2008-04-03",23.4419
"2008-04-04",23.8681
"2008-04-05",23.5244
"2008-04-06",23.4314
"2008-04-07",23.3982
"2008-04-08",23.3039
"2008-04-09",23.199
"2008-04-10",23.4931
"2008-04-11",23.7906
"2008-04-12",23.4909
"2008-04-13",23.5213
"2008-04-14",23.9545
"2008-04-15",23.8367
"2008-04-16",23.9926
"2008-04-17",23.8786
"2008-04-18",24.4764
"2008-04-19",24.6105
"2008-04-20",24.7412
"2008-04-21",25.2725
"2008-04-22",25.0627
"2008-04-23",25.4471
"2008-04-24",24.6323
"2008-04-25",23.7939
"2008-04-26",24.1505
"2008-04-27",24.2433
"2008-04-28",23.938
"2008-04-29",24.7897
"2008-04-30",25.4885
"2008-05-01",25.5543
"2008-05-02",24.9563
"2008-05-03",25.0618
"2008-05-04",24.9906
"2008-05-05",24.9082
"2008-05-06",24.5212
"2008-05-07",24.3365
"2008-05-08",24.7504
"2008-05-09",23.8855
"2008-05-10",24.0713
"2008-05-11",24.9681
"2008-05-12",24.7009
"2008-05-13",24.9514
"2008-05-14",24.8688
"2008-05-15",24.7071
"2008-05-16",25.0214
"2008-05-17",24.9359
"2008-05-18",25.5216
"2008-05-19",25.4335
"2008-05-20",25.1134
"2008-05-21",24.4917
"2008-05-22",24.8775
"2008-05-23",24.5885
"2008-05-24",24.0865
"2008-05-25",24.6484
"2008-05-26",24.5153
"2008-05-27",24.0615
"2008-05-28",24.6751
"2008-05-29",24.3081
"2008-05-30",24.3232
"2008-05-31",24.0106
"2008-06-01",23.8287
"2008-06-02",23.8384
"2008-06-03",23.6174
"2008-06-04",24.5363
"2008-06-05",24.4778
"2008-06-06",24.8917
"2008-06-07",24.8917
"2008-06-08",24.6396
"2008-06-09",24.7495
"2008-06-10",24.3238
"2008-06-11",24.2624
"2008-06-12",24.8718
"2008-06-13",24.6771
"2008-06-14",24.6278
"2008-06-15",24.3574
"2008-06-16",24.7657
"2008-06-17",24.1482
"2008-06-18",24.7757
"2008-06-19",24.5254
"2008-06-20",24.2829
"2008-06-21",24.5038
"2008-06-22",24.3273
"2008-06-23",24.1696
"2008-06-24",23.8894
"2008-06-25",24.4372
"2008-06-26",24.2322
"2008-06-27",24.313
"2008-06-28",23.7959
"2008-06-29",24.1524
"2008-06-30",24.4305
"2008-07-01",23.9669
"2008-07-02",23.0648
"2008-07-03",23.6927
"2008-07-04",24.5034
"2008-07-05",24.8731
"2008-07-06",24.645
"2008-07-07",24.6964
"2008-07-08",24.2271
"2008-07-09",24.4885
"2008-07-10",24.7333
"2008-07-11",24.1705
"2008-07-12",23.7665
"2008-07-13",23.7655
"2008-07-14",24.3502
"2008-07-15",23.924
"2008-07-16",23.5062
"2008-07-17",23.5586
"2008-07-18",23.8486
"2008-07-19",23.9462
"2008-07-20",23.5001
"2008-07-21",23.921
"2008-07-22",23.9856
"2008-07-23",23.7646
"2008-07-24",23.4039
"2008-07-25",23.5989
"2008-07-26",24.0262
"2008-07-27",23.8689
"2008-07-28",23.9418
"2008-07-29",23.3347
"2008-07-30",23.7382
"2008-07-31",23.7549
"2008-08-01",23.9151
"2008-08-02",24.2822
"2008-08-03",24.507
"2008-08-04",24.008
"2008-08-05",24.1555
"2008-08-06",24.0055
"2008-08-07",23.774
"2008-08-08",23.9495
"2008-08-09",24.0934
"2008-08-10",24.1886
"2008-08-11",24.3294
"2008-08-12",24.3623
"2008-08-13",24.0109
"2008-08-14",24.0595
"2008-08-15",24.0025
"2008-08-16",23.9858
"2008-08-17",23.57
"2008-08-18",24.2251
"2008-08-19",23.7062
"2008-08-20",24.0799
"2008-08-21",24.1343
"2008-08-22",23.7211
"2008-08-23",23.9725
"2008-08-24",23.9796
"2008-08-25",23.9902
"2008-08-26",24.0444
"2008-08-27",23.8737
"2008-08-28",23.7517
"2008-08-29",23.9066
"2008-08-30",23.2744
"2008-08-31",23.1193
"2008-09-01",23.3843
"2008-09-02",23.9668
"2008-09-03",23.4399
"2008-09-04",24.5432
"2008-09-05",23.4449
"2008-09-06",23.6242
"2008-09-07",23.0058
"2008-09-08",23.2512
"2008-09-09",23.8235
"2008-09-10",24.189
"2008-09-11",24.2182
"2008-09-12",24.1781
"2008-09-13",24.1191
"2008-09-14",24.0155
"2008-09-15",23.9279
"2008-09-16",24.2217
"2008-09-17",23.6647
"2008-09-18",23.9409
"2008-09-19",23.6447
"2008-09-20",23.3378
"2008-09-21",23.2584
"2008-09-22",23.8847
"2008-09-23",23.4572
"2008-09-24",23.1385
"2008-09-25",23.1833
"2008-09-26",24.3867
"2008-09-27",24.3852
"2008-09-28",24.016
"2008-09-29",23.8097
"2008-09-30",22.4118
"2008-10-01",22.173
"2008-10-02",22.5621
"2008-10-03",22.451
"2008-10-04",22.9601
"2008-10-05",23.2834
"2008-10-06",23.6613
"2008-10-07",23.5074
"2008-10-08",23.241
"2008-10-09",23.0666
"2008-10-10",23.5737
"2008-10-11",23.468
"2008-10-12",23.4542
"2008-10-13",23.5795
"2008-10-14",23.5857
"2008-10-15",23.7606
"2008-10-16",24.1565
"2008-10-17",23.7934
"2008-10-18",24.0936
"2008-10-19",23.906
"2008-10-20",24.2132
"2008-10-21",23.8166
"2008-10-22",23.4538
"2008-10-23",23.9244
"2008-10-24",24.0388
"2008-10-25",23.6279
"2008-10-26",24.2175
"2008-10-27",24.3627
"2008-10-28",24.4321
"2008-10-29",23.9417
"2008-10-30",22.5453
"2008-10-31",22.1218
"2008-11-01",21.3245
"2008-11-02",21.2801
"2008-11-03",21.0659
"2008-11-04",21.6311
"2008-11-05",21.2679
"2008-11-06",20.815
"2008-11-07",22.2583
"2008-11-08",23.3333
"2008-11-09",23.6499
"2008-11-10",23.5778
"2008-11-11",23.8019
"2008-11-12",23.4788
"2008-11-13",23.2778
"2008-11-14",23.6019
"2008-11-15",23.768
"2008-11-16",23.3893
"2008-11-17",22.616
"2008-11-18",23.1079
"2008-11-19",23.6312
"2008-11-20",24.0676
"2008-11-21",23.8514
"2008-11-22",23.6847
"2008-11-23",23.7736
"2008-11-24",23.5653
"2008-11-25",23.7317
"2008-11-26",23.7199
"2008-11-27",24.2883
"2008-11-28",24.2524
"2008-11-29",24.1315
"2008-11-30",22.9492
"2008-12-01",22.9409
"2008-12-02",24.0751
"2008-12-03",23.2209
"2008-12-04",23.2341
"2008-12-05",23.572
"2008-12-06",23.6828
"2008-12-07",22.3153
"2008-12-08",23.4768
"2008-12-09",23.9297
"2008-12-10",23.6989
"2008-12-11",23.8919
"2008-12-12",23.3077
"2008-12-13",22.5635
"2008-12-14",22.7873
"2008-12-15",22.9425
"2008-12-16",23.3904
"2008-12-17",23.3023
"2008-12-18",23.3019
"2008-12-19",23.8194
"2008-12-20",23.9147
"2008-12-21",22.4487
"2008-12-22",21.5403
"2008-12-23",21.9824
"2008-12-24",22.4813
"2008-12-25",22.5575
"2008-12-26",22.0775
"2008-12-27",21.5566
"2008-12-28",21.0941
"2008-12-29",19.9175
"2008-12-30",19.7762
"2008-12-31",19.1626
"2009-01-01",19.0274
"2009-01-02",19.0768
"2009-01-03",19.3032
"2009-01-04",20.1827
"2009-01-05",20.9745
"2009-01-06",19.5822
"2009-01-07",20.5805
"2009-01-08",21.698
"2009-01-09",22.9958
"2009-01-10",22.7066
"2009-01-11",21.3949
"2009-01-12",20.5097
"2009-01-13",21.3522
"2009-01-14",20.9019
"2009-01-15",20.2209
"2009-01-16",19.791
"2009-01-17",19.8475
"2009-01-18",20.2166
"2009-01-19",19.9878
"2009-01-20",20.806
"2009-01-21",18.9794
"2009-01-22",18.6765
"2009-01-23",19.5304
"2009-01-24",20.6165
"2009-01-25",21.5504
"2009-01-26",23.171
"2009-01-27",23.4328
"2009-01-28",23.2436
"2009-01-29",22.4752
"2009-01-30",21.0509
"2009-01-31",20.958
"2009-02-01",21.8093
"2009-02-02",21.246
"2009-02-03",20.9617
"2009-02-04",20.6628
"2009-02-05",19.6334
"2009-02-06",19.7112
"2009-02-07",19.1583
"2009-02-08",18.0965
"2009-02-09",17.8125
"2009-02-10",19.649
"2009-02-11",19.1995
"2009-02-12",19.3408
"2009-02-13",18.0077
"2009-02-14",18.3615
"2009-02-15",20.2739
"2009-02-16",21.27
"2009-02-17",19.3705
"2009-02-18",18.6392
"2009-02-19",19.9156
"2009-02-20",22.3193
"2009-02-21",22.3181
"2009-02-22",23.1337
"2009-02-23",23.4088
"2009-02-24",23.7182
"2009-02-25",23.9113
"2009-02-26",23.9524
"2009-02-27",23.364
"2009-02-28",23.2995
"2009-03-01",23.0109
"2009-03-02",21.7556
"2009-03-03",22.0516
"2009-03-04",22.3859
"2009-03-05",22.5677
"2009-03-06",23.3566
"2009-03-07",23.3007
"2009-03-08",23.3615
"2009-03-09",23.2612
"2009-03-10",23.5052
"2009-03-11",23.0792
"2009-03-12",23.131
"2009-03-13",23.4977
"2009-03-14",23.1169
"2009-03-15",23.1989
"2009-03-16",23.2151
"2009-03-17",23.382
"2009-03-18",23.4978
"2009-03-19",23.8513
"2009-03-20",23.7926
"2009-03-21",23.7674
"2009-03-22",24.0737
"2009-03-23",24.089
"2009-03-24",23.1052
"2009-03-25",23.2621
"2009-03-26",23.4717
"2009-03-27",23.5169
"2009-03-28",23.621
"2009-03-29",23.6823
"2009-03-30",23.3639
"2009-03-31",23.7839
"2009-04-01",23.7953
"2009-04-02",23.2923
"2009-04-03",23.2985
"2009-04-04",23.8613
"2009-04-05",23.9109
"2009-04-06",23.8719
"2009-04-07",23.9553
"2009-04-08",23.8917
"2009-04-09",23.9919
"2009-04-10",23.9404
"2009-04-11",24.3565
"2009-04-12",24.795
"2009-04-13",24.6119
"2009-04-14",25.1742
"2009-04-15",25.394
"2009-04-16",25.3283
"2009-04-17",25.2688
"2009-04-18",25.6633
"2009-04-19",25.2584
"2009-04-20",24.7571
"2009-04-21",24.1206
"2009-04-22",24.5607
"2009-04-23",25.1573
"2009-04-24",24.7853
"2009-04-25",24.7481
"2009-04-26",24.8476
"2009-04-27",24.6117
"2009-04-28",24.2825
"2009-04-29",24.6086
"2009-04-30",24.5463
"2009-05-01",24.6412
"2009-05-02",25.761
"2009-05-03",25.644
"2009-05-04",25.4755
"2009-05-05",25.0415
"2009-05-06",25.2792
"2009-05-07",25.6758
"2009-05-08",25.178
"2009-05-09",25.6764
"2009-05-10",25.7794
"2009-05-11",26.0355
"2009-05-12",25.6256
"2009-05-13",25.2276
"2009-05-14",25.3203
"2009-05-15",25.3927
"2009-05-16",25.5662
"2009-05-17",25.2259
"2009-05-18",24.6415
"2009-05-19",25.0558
"2009-05-20",24.6874
"2009-05-21",25.0551
"2009-05-22",24.8219
"2009-05-23",24.9571
"2009-05-24",25.0299
"2009-05-25",24.8292
"2009-05-26",25.075
"2009-05-27",24.9752
"2009-05-28",25.0643
"2009-05-29",25.2401
"2009-05-30",25.1386
"2009-05-31",25.1554
"2009-06-01",25.3047
"2009-06-02",24.9089
"2009-06-03",25.6913
"2009-06-04",25.3058
"2009-06-05",24.8684
"2009-06-06",24.2042
"2009-06-07",24.9384
"2009-06-08",24.7852
"2009-06-09",24.9611
"2009-06-10",24.8809
"2009-06-11",24.1546
"2009-06-12",23.9747
"2009-06-13",24.3684
"2009-06-14",24.7107
"2009-06-15",24.6193
"2009-06-16",24.4343
"2009-06-17",24.4741
"2009-06-18",24.107
"2009-06-19",24.0046
"2009-06-20",24.2444
"2009-06-21",24.6667
"2009-06-22",24.5172
"2009-06-23",24.7048
"2009-06-24",24.667
"2009-06-25",24.3853
"2009-06-26",23.752
"2009-06-27",24.2523
"2009-06-28",24.5118
"2009-06-29",24.121
"2009-06-30",23.8844
"2009-07-01",23.9967
"2009-07-02",23.8575
"2009-07-03",23.8205
"2009-07-04",24.1094
"2009-07-05",24.1579
"2009-07-06",24.1114
"2009-07-07",24.207
"2009-07-08",23.7711
"2009-07-09",23.8624
"2009-07-10",24.355
"2009-07-11",24.6076
"2009-07-12",24.3174
"2009-07-13",24.3589
"2009-07-14",24.5493
"2009-07-15",24.5944
"2009-07-16",23.9178
"2009-07-17",23.4457
"2009-07-18",24.2096
"2009-07-19",24.3053
"2009-07-20",24.1071
"2009-07-21",24.408
"2009-07-22",24.3449
"2009-07-23",24.2566
"2009-07-24",24.7945
"2009-07-25",24.3135
"2009-07-26",24.307
"2009-07-27",24.4446
"2009-07-28",24.1894
"2009-07-29",24.3203
"2009-07-30",24.4615
"2009-07-31",24.4679
"2009-08-01",24.2236
"2009-08-02",24.4989
"2009-08-03",24.6168
"2009-08-04",24.4134
"2009-08-05",24.3093
"2009-08-06",24.4217
"2009-08-07",24.4844
"2009-08-08",24.2366
"2009-08-09",24.4079
"2009-08-10",24.5101
"2009-08-11",24.4721
"2009-08-12",24.3155
"2009-08-13",24.8916
"2009-08-14",24.6085
"2009-08-15",24.2806
"2009-08-16",24.1722
"2009-08-17",23.5307
"2009-08-18",24.0209
"2009-08-19",23.6908
"2009-08-20",23.4893
"2009-08-21",23.4578
"2009-08-22",23.4978
"2009-08-23",23.8987
"2009-08-24",24.507
"2009-08-25",24.2507
"2009-08-26",24.0741
"2009-08-27",24.1593
"2009-08-28",24.1365
"2009-08-29",24.5441
"2009-08-30",24.3928
"2009-08-31",24.2253
"2009-09-01",24.232
"2009-09-02",24.0228
"2009-09-03",24.1462
"2009-09-04",24.243
"2009-09-05",24.5392
"2009-09-06",24.2157
"2009-09-07",24.331
"2009-09-08",24.1708
"2009-09-09",24.4426
"2009-09-10",24.1572
"2009-09-11",23.9148
"2009-09-12",24.2404
"2009-09-13",24.7463
"2009-09-14",23.7443
"2009-09-15",24.3717
"2009-09-16",24.4877
"2009-09-17",24.5221
"2009-09-18",23.8035
"2009-09-19",24.2203
"2009-09-20",24.4046
"2009-09-21",23.9834
"2009-09-22",23.7198
"2009-09-23",24.212
"2009-09-24",24.0188
"2009-09-25",24.1072
"2009-09-26",23.7966
"2009-09-27",24.0245
"2009-09-28",24.1616
"2009-09-29",24.0146
"2009-09-30",24.4546
"2009-10-01",24.3045
"2009-10-02",24.0494
"2009-10-03",24.5883
"2009-10-04",24.444
"2009-10-05",23.6587
"2009-10-06",23.6827
"2009-10-07",24.2936
"2009-10-08",24.3551
"2009-10-09",23.6885
"2009-10-10",23.4152
"2009-10-11",23.5026
"2009-10-12",23.4673
"2009-10-13",22.8256
"2009-10-14",23.2588
"2009-10-15",23.5418
"2009-10-16",23.9812
"2009-10-17",23.7942
"2009-10-18",24.1135
"2009-10-19",23.8304
"2009-10-20",23.6413
"2009-10-21",23.6697
"2009-10-22",23.104
"2009-10-23",22.912
"2009-10-24",23.3789
"2009-10-25",23.3756
"2009-10-26",23.3803
"2009-10-27",23.7836
"2009-10-28",24.1362
"2009-10-29",23.7725
"2009-10-30",24.2436
"2009-10-31",23.8267
"2009-11-01",23.8632
"2009-11-02",23.6208
"2009-11-03",23.8324
"2009-11-04",23.8841
"2009-11-05",23.8932
"2009-11-06",24.1801
"2009-11-07",24.0394
"2009-11-08",23.9098
"2009-11-09",23.9989
"2009-11-10",23.6683
"2009-11-11",24.0348
"2009-11-12",24.5759
"2009-11-13",24.1569
"2009-11-14",23.923
"2009-11-15",23.6455
"2009-11-16",24.2231
"2009-11-17",23.7456
"2009-11-18",23.2041
"2009-11-19",23.5175
"2009-11-20",23.2225
"2009-11-21",23.5063
"2009-11-22",23.3382
"2009-11-23",23.4215
"2009-11-24",23.5214
"2009-11-25",22.9113
"2009-11-26",22.8109
"2009-11-27",21.7676
"2009-11-28",22.5202
"2009-11-29",23.53
"2009-11-30",23.8251
"2009-12-01",23.7861
"2009-12-02",23.3658
"2009-12-03",23.8193
"2009-12-04",23.548
"2009-12-05",23.4125
"2009-12-06",23.087
"2009-12-07",23.9816
"2009-12-08",23.7581
"2009-12-09",23.4208
"2009-12-10",22.7573
"2009-12-11",23.3534
"2009-12-12",24.0176
