,"(deg C) Mean Dew Point Temperature (ERA5) at Batticaloa, 2007-01-01 to 2025-12-31"
"2007-12-07",23.1365
"2007-12-08",23.438
"2007-12-09",23.268
"2007-12-10",23.121
"2007-12-11",22.4321
"2007-12-12",23.1981
"2007-12-13",23.6009
"2007-12-14",23.6333
"2007-12-15",23.2386
"2007-12-16",23.0586
"2007-12-17",23.4631
"2007-12-18",23.9242
"2007-12-19",23.6467
"2007-12-20",23.6979
"2007-12-21",23.6826
"2007-12-22",23.2829
"2007-12-23",22.9207
"2007-12-24",21.5868
"2007-12-25",20.4067
"2007-12-26",20.0855
"2007-12-27",20.659
"2007-12-28",21.0914
"2007-12-29",20.2599
"2007-12-30",21.0574
"2007-12-31",19.7193
"2008-01-01",20.2299
"2008-01-02",21.9492
"2008-01-03",23.2034
"2008-01-04",22.8455
"2008-01-05",23.0666
"2008-01-06",22.777
"2008-01-07",22.8304
"2008-01-08",22.9519
"2008-01-09",23.098
"2008-01-10",23.1018
"2008-01-11",22.98
"2008-01-12",23.1079
"2008-01-13",22.7097
"2008-01-14",20.8899
"2008-01-15",20.0407
"2008-01-16",20.3323
"2008-01-17",20.2633
"2008-01-18",19.433
"2008-01-19",18.8356
"2008-01-20",22.1096
"2008-01-21",23.4291
"2008-01-22",23.0419
"2008-01-23",20.6319
"2008-01-24",22.5193
"2008-01-25",23.5638
"2008-01-26",23.7269
"2008-01-27",23.0863
"2008-01-28",23.0486
"2008-01-29",23.0306
"2008-01-30",22.1339
"2008-01-31",22.1114
"2008-02-01",22.0703
"2008-02-02",21.888
"2008-02-03",21.5922
"2008-02-04",21.9029
"2008-02-05",23.0719
"2008-02-06",23.5369
"2008-02-07",23.5034
"2008-02-08",23.5235
"2008-02-09",23.6547
"2008-02-10",23.8198
"2008-02-11",23.3918
"2008-02-12",23.6795
"2008-02-13",23.4612
"2008-02-14",23.5655
"2008-02-15",23.3639
"2008-02-16",22.8834
"2008-02-17",21.7439
"2008-02-18",21.0465
"2008-02-19",21.2174
"2008-02-20",23.2918
"2008-02-21",23.3635
"2008-02-22",21.7423
"2008-02-23",19.004
"2008-02-24",18.4749
"2008-02-25",18.4676
"2008-02-26",22.2178
"2008-02-27",23.2578
"2008-02-28",23.3374
"2008-02-29",23.0002
"2008-03-01",21.9733
"2008-03-02",23.3032
"2008-03-03",23.1987
"2008-03-04",23.2734
"2008-03-05",23.3777
"2008-03-06",23.0731
"2008-03-07",21.8213
"2008-03-08",21.1061
"2008-03-09",23.0055
"2008-03-10",23.0496
"2008-03-11",23.3679
"2008-03-12",23.6053
"2008-03-13",23.36
"2008-03-14",23.5506
"2008-03-15",23.5268
"2008-03-16",23.7102
"2008-03-17",23.6834
"2008-03-18",23.7461
"2008-03-19",23.6488
"2008-03-20",23.0225
"2008-03-21",23.8757
"2008-03-22",23.8235
"2008-03-23",23.7951
"2008-03-24",23.6983
"2008-03-25",23.7771
"2008-03-26",23.7642
"2008-03-27",23.8562
"2008-03-28",23.9198
"2008-03-29",23.9134
"2008-03-30",23.7898
"2008-03-31",23.745
"2008-04-01",23.7859
"2008-04-02",23.5483
"2008-04-03",23.4918
"2008-04-04",23.6367
"2008-04-05",23.8306
"2008-04-06",24.0545
"2008-04-07",23.7819
"2008-04-08",23.7647
"2008-04-09",23.2738
"2008-04-10",23.7593
"2008-04-11",23.9964
"2008-04-12",23.6577
"2008-04-13",24.0698
"2008-04-14",23.9159
"2008-04-15",23.8499
"2008-04-16",24.292
"2008-04-17",23.7766
"2008-04-18",23.9609
"2008-04-19",24.297
"2008-04-20",23.9279
"2008-04-21",24.4029
"2008-04-22",23.7749
"2008-04-23",24.1876
"2008-04-24",24.149
"2008-04-25",23.7587
"2008-04-26",24.0008
"2008-04-27",24.1614
"2008-04-28",23.307
"2008-04-29",23.7441
"2008-04-30",24.4678
"2008-05-01",24.2437
"2008-05-02",23.7875
"2008-05-03",23.9822
"2008-05-04",24.127
"2008-05-05",23.5814
"2008-05-06",23.6215
"2008-05-07",23.1863
"2008-05-08",23.4294
"2008-05-09",22.2248
"2008-05-10",22.1329
"2008-05-11",23.3993
"2008-05-12",23.2481
"2008-05-13",22.6917
"2008-05-14",22.5373
"2008-05-15",22.6852
"2008-05-16",22.965
"2008-05-17",22.8129
"2008-05-18",23.2305
"2008-05-19",23.0083
"2008-05-20",23.3114
"2008-05-21",22.8299
"2008-05-22",22.9291
"2008-05-23",23.088
"2008-05-24",22.9246
"2008-05-25",23.299
"2008-05-26",23.1688
"2008-05-27",23.1047
"2008-05-28",23.263
"2008-05-29",22.7208
"2008-05-30",22.5284
"2008-05-31",22.3324
"2008-06-01",23.1524
"2008-06-02",22.4167
"2008-06-03",22.8413
"2008-06-04",22.9744
"2008-06-05",22.2283
"2008-06-06",22.892
"2008-06-07",22.892
"2008-06-08",23.5226
"2008-06-09",23.798
"2008-06-10",22.9752
"2008-06-11",22.5412
"2008-06-12",22.307
"2008-06-13",21.8127
"2008-06-14",21.6011
"2008-06-15",21.4921
"2008-06-16",21.4012
"2008-06-17",20.0774
"2008-06-18",21.0771
"2008-06-19",21.7797
"2008-06-20",21.7944
"2008-06-21",22.4929
"2008-06-22",22.4539
"2008-06-23",22.1937
"2008-06-24",21.7876
"2008-06-25",22.0062
"2008-06-26",21.5882
"2008-06-27",20.8347
"2008-06-28",19.8829
"2008-06-29",21.3186
"2008-06-30",21.6671
"2008-07-01",21.456
"2008-07-02",20.7602
"2008-07-03",20.8813
"2008-07-04",21.6075
"2008-07-05",22.2717
"2008-07-06",22.1468
"2008-07-07",22.0372
"2008-07-08",21.6107
"2008-07-09",21.1199
"2008-07-10",21.5677
"2008-07-11",20.8484
"2008-07-12",21.2153
"2008-07-13",20.7482
"2008-07-14",21.5698
"2008-07-15",22.2981
"2008-07-16",22.2257
"2008-07-17",21.2963
"2008-07-18",21.4394
"2008-07-19",22.6227
"2008-07-20",21.682
"2008-07-21",22.6333
"2008-07-22",22.7659
"2008-07-23",23.105
"2008-07-24",21.8364
"2008-07-25",21.5355
"2008-07-26",21.1873
"2008-07-27",20.863
"2008-07-28",20.8265
"2008-07-29",20.427
"2008-07-30",20.7116
"2008-07-31",21.1925
"2008-08-01",21.4807
"2008-08-02",21.7485
"2008-08-03",23.4544
"2008-08-04",22.74
"2008-08-05",22.6352
"2008-08-06",21.4754
"2008-08-07",20.6904
"2008-08-08",20.2819
"2008-08-09",20.7959
"2008-08-10",21.0943
"2008-08-11",20.952
"2008-08-12",20.6209
"2008-08-13",21.4623
"2008-08-14",21.8644
"2008-08-15",21.9527
"2008-08-16",22.5428
"2008-08-17",21.8641
"2008-08-18",22.3674
"2008-08-19",22.2539
"2008-08-20",21.4452
"2008-08-21",21.6917
"2008-08-22",21.4329
"2008-08-23",21.6526
"2008-08-24",20.91
"2008-08-25",22.5073
"2008-08-26",22.5485
"2008-08-27",22.8493
"2008-08-28",23.4026
"2008-08-29",23.8331
"2008-08-30",23.5656
"2008-08-31",23.3258
"2008-09-01",23.4551
"2008-09-02",22.7347
"2008-09-03",22.6178
"2008-09-04",23.4801
"2008-09-05",23.5911
"2008-09-06",23.7584
"2008-09-07",23.1133
"2008-09-08",21.9416
"2008-09-09",22.4702
"2008-09-10",22.0557
"2008-09-11",21.7549
"2008-09-12",22.3827
"2008-09-13",21.8184
"2008-09-14",21.8183
"2008-09-15",21.5243
"2008-09-16",21.7443
"2008-09-17",20.9568
"2008-09-18",21.1164
"2008-09-19",21.7344
"2008-09-20",21.4089
"2008-09-21",20.9192
"2008-09-22",21.553
"2008-09-23",21.4326
"2008-09-24",21.7012
"2008-09-25",20.7539
"2008-09-26",21.2815
"2008-09-27",21.8366
"2008-09-28",21.7765
"2008-09-29",21.1755
"2008-09-30",19.8557
"2008-10-01",20.5337
"2008-10-02",20.7854
"2008-10-03",21.2319
"2008-10-04",22.4392
"2008-10-05",23.1804
"2008-10-06",23.6363
"2008-10-07",23.5959
"2008-10-08",23.1278
"2008-10-09",22.8411
"2008-10-10",23.4449
"2008-10-11",23.5576
"2008-10-12",23.4011
"2008-10-13",23.7359
"2008-10-14",23.691
"2008-10-15",24.2783
"2008-10-16",24.2929
"2008-10-17",24.1993
"2008-10-18",24.3301
"2008-10-19",24.2494
"2008-10-20",24.255
"2008-10-21",24.1278
"2008-10-22",23.7747
"2008-10-23",23.5508
"2008-10-24",23.5014
"2008-10-25",22.7757
"2008-10-26",23.2067
"2008-10-27",23.2901
"2008-10-28",22.8083
"2008-10-29",21.7528
"2008-10-30",21.2125
"2008-10-31",21.5209
"2008-11-01",20.5831
"2008-11-02",20.3148
"2008-11-03",21.5622
"2008-11-04",21.3843
"2008-11-05",21.2851
"2008-11-06",20.4751
"2008-11-07",21.6582
"2008-11-08",23.121
"2008-11-09",23.3063
"2008-11-10",23.5684
"2008-11-11",23.935
"2008-11-12",23.6613
"2008-11-13",23.5915
"2008-11-14",23.4566
"2008-11-15",22.2992
"2008-11-16",22.6776
"2008-11-17",22.4787
"2008-11-18",23.3103
"2008-11-19",24.0713
"2008-11-20",24.353
"2008-11-21",24.1413
"2008-11-22",23.9834
"2008-11-23",23.9922
"2008-11-24",24.0031
"2008-11-25",23.9557
"2008-11-26",22.6743
"2008-11-27",23.4731
"2008-11-28",24.3057
"2008-11-29",24.1863
"2008-11-30",23.7425
"2008-12-01",23.7736
"2008-12-02",23.3594
"2008-12-03",21.8352
"2008-12-04",22.763
"2008-12-05",23.1934
"2008-12-06",23.475
"2008-12-07",23.0144
"2008-12-08",23.9724
"2008-12-09",23.8952
"2008-12-10",23.9327
"2008-12-11",23.9892
"2008-12-12",22.9423
"2008-12-13",21.9794
"2008-12-14",22.9911
"2008-12-15",23.3085
"2008-12-16",23.4479
"2008-12-17",23.2911
"2008-12-18",23.1804
"2008-12-19",23.3869
"2008-12-20",23.2645
"2008-12-21",21.4361
"2008-12-22",20.8574
"2008-12-23",22.2551
"2008-12-24",22.5641
"2008-12-25",22.4382
"2008-12-26",22.0961
"2008-12-27",21.5398
"2008-12-28",21.6253
"2008-12-29",19.6282
"2008-12-30",18.8931
"2008-12-31",18.5098
"2009-01-01",18.8239
"2009-01-02",19.1634
"2009-01-03",20.0857
"2009-01-04",21.7258
"2009-01-05",21.578
"2009-01-06",22.4354
"2009-01-07",22.7468
"2009-01-08",22.6331
"2009-01-09",22.8521
"2009-01-10",21.9584
"2009-01-11",21.3565
"2009-01-12",21.7695
"2009-01-13",22.0941
"2009-01-14",21.8173
"2009-01-15",20.8025
"2009-01-16",19.4662
"2009-01-17",20.073
"2009-01-18",20.2361
"2009-01-19",19.6841
"2009-01-20",20.0341
"2009-01-21",19.0553
"2009-01-22",19.2704
"2009-01-23",19.8646
"2009-01-24",19.53
"2009-01-25",22.3818
"2009-01-26",23.4848
"2009-01-27",23.4832
"2009-01-28",23.1709
"2009-01-29",21.7007
"2009-01-30",20.4361
"2009-01-31",20.0691
"2009-02-01",19.7195
"2009-02-02",19.2036
"2009-02-03",19.3443
"2009-02-04",19.5102
"2009-02-05",19.011
"2009-02-06",19.2006
"2009-02-07",18.3777
"2009-02-08",18.5505
"2009-02-09",18.4682
"2009-02-10",19.5859
"2009-02-11",21.0461
"2009-02-12",20.3362
"2009-02-13",18.7594
"2009-02-14",19.6547
"2009-02-15",20.5594
"2009-02-16",19.4314
"2009-02-17",18.882
"2009-02-18",19.3732
"2009-02-19",21.17
"2009-02-20",22.8623
"2009-02-21",23.5596
"2009-02-22",23.5773
"2009-02-23",23.786
"2009-02-24",23.8252
"2009-02-25",23.2389
"2009-02-26",22.715
"2009-02-27",22.4397
"2009-02-28",21.4399
"2009-03-01",20.4454
"2009-03-02",19.5396
"2009-03-03",19.8939
"2009-03-04",20.5896
"2009-03-05",20.4427
"2009-03-06",21.0871
"2009-03-07",21.4396
"2009-03-08",22.5434
"2009-03-09",23.6302
"2009-03-10",23.5435
"2009-03-11",23.607
"2009-03-12",23.9116
"2009-03-13",24.1518
"2009-03-14",24.1098
"2009-03-15",23.7892
"2009-03-16",23.4981
"2009-03-17",23.1794
"2009-03-18",23.2931
"2009-03-19",24.1448
"2009-03-20",23.6927
"2009-03-21",23.7423
"2009-03-22",23.9186
"2009-03-23",24.2516
"2009-03-24",23.8722
"2009-03-25",23.8145
"2009-03-26",23.9263
"2009-03-27",23.6089
"2009-03-28",23.8903
"2009-03-29",24.0571
"2009-03-30",23.9077
"2009-03-31",23.9681
"2009-04-01",24.4871
"2009-04-02",24.2443
"2009-04-03",24.1083
"2009-04-04",24.2973
"2009-04-05",24.0158
"2009-04-06",24.2558
"2009-04-07",24.3316
"2009-04-08",24.1891
"2009-04-09",24.2051
"2009-04-10",24.1226
"2009-04-11",24.43
"2009-04-12",24.7244
"2009-04-13",24.0791
"2009-04-14",23.8073
"2009-04-15",24.305
"2009-04-16",24.5036
"2009-04-17",24.7832
"2009-04-18",25.2913
"2009-04-19",24.882
"2009-04-20",24.4652
"2009-04-21",23.4419
"2009-04-22",24.4723
"2009-04-23",24.5254
"2009-04-24",24.307
"2009-04-25",24.3885
"2009-04-26",24.2497
"2009-04-27",24.3574
"2009-04-28",23.639
"2009-04-29",23.7188
"2009-04-30",23.1279
"2009-05-01",23.2193
"2009-05-02",23.748
"2009-05-03",24.0457
"2009-05-04",23.3341
"2009-05-05",23.8111
"2009-05-06",23.8592
"2009-05-07",24.1466
"2009-05-08",24.0792
"2009-05-09",23.5652
"2009-05-10",23.3294
"2009-05-11",23.2924
"2009-05-12",23.3079
"2009-05-13",23.3027
"2009-05-14",23.2226
"2009-05-15",23.4493
"2009-05-16",23.9077
"2009-05-17",24.2429
"2009-05-18",23.9087
"2009-05-19",23.9098
"2009-05-20",23.0361
"2009-05-21",22.8392
"2009-05-22",23.1318
"2009-05-23",23.5255
"2009-05-24",23.6755
"2009-05-25",22.2163
"2009-05-26",23.152
"2009-05-27",22.7647
"2009-05-28",22.7181
"2009-05-29",22.3462
"2009-05-30",22.946
"2009-05-31",23.3818
"2009-06-01",22.6387
"2009-06-02",22.0454
"2009-06-03",22.5835
"2009-06-04",22.8462
"2009-06-05",22.6101
"2009-06-06",20.171
"2009-06-07",21.8448
"2009-06-08",21.6852
"2009-06-09",21.6537
"2009-06-10",21.9568
"2009-06-11",21.908
"2009-06-12",21.6791
"2009-06-13",21.5562
"2009-06-14",21.9013
"2009-06-15",21.7264
"2009-06-16",22.0416
"2009-06-17",22.0052
"2009-06-18",21.8124
"2009-06-19",21.8527
"2009-06-20",21.9971
"2009-06-21",21.7614
"2009-06-22",21.7034
"2009-06-23",21.5723
"2009-06-24",22.2667
"2009-06-25",22.2465
"2009-06-26",21.3802
"2009-06-27",21.6216
"2009-06-28",21.5904
"2009-06-29",21.932
"2009-06-30",21.7513
"2009-07-01",21.1135
"2009-07-02",21.4137
"2009-07-03",21.1755
"2009-07-04",21.25
"2009-07-05",21.3265
"2009-07-06",21.2128
"2009-07-07",21.1228
"2009-07-08",20.5103
"2009-07-09",20.8624
"2009-07-10",20.9255
"2009-07-11",20.9895
"2009-07-12",20.8451
"2009-07-13",20.8096
"2009-07-14",21.4435
"2009-07-15",20.9388
"2009-07-16",21.5013
"2009-07-17",21.0616
"2009-07-18",20.5662
"2009-07-19",21.0436
"2009-07-20",21.1186
"2009-07-21",21.018
"2009-07-22",20.7861
"2009-07-23",20.7624
"2009-07-24",21.9203
"2009-07-25",21.4992
"2009-07-26",21.6621
"2009-07-27",21.416
"2009-07-28",21.0516
"2009-07-29",21.4742
"2009-07-30",21.9828
"2009-07-31",21.794
"2009-08-01",21.4512
"2009-08-02",21.0939
"2009-08-03",20.7557
"2009-08-04",20.8903
"2009-08-05",20.6102
"2009-08-06",21.0066
"2009-08-07",20.8875
"2009-08-08",20.6573
"2009-08-09",20.5889
"2009-08-10",20.6248
"2009-08-11",21.6181
"2009-08-12",22.3419
"2009-08-13",23.1966
"2009-08-14",23.5774
"2009-08-15",23.1976
"2009-08-16",23.7483
"2009-08-17",23.1001
"2009-08-18",23.6659
"2009-08-19",23.732
"2009-08-20",23.9526
"2009-08-21",24.0234
"2009-08-22",22.9873
"2009-08-23",22.3277
"2009-08-24",22.2428
"2009-08-25",21.9692
"2009-08-26",22.0914
"2009-08-27",22.5427
"2009-08-28",22.1687
"2009-08-29",22.3031
"2009-08-30",21.7246
"2009-08-31",22.1403
"2009-09-01",22.3976
"2009-09-02",21.9358
"2009-09-03",21.4803
"2009-09-04",21.5312
"2009-09-05",21.2827
"2009-09-06",21.4272
"2009-09-07",21.5023
"2009-09-08",21.4501
"2009-09-09",21.4378
"2009-09-10",21.6061
"2009-09-11",22.2491
"2009-09-12",22.4163
"2009-09-13",23.6479
"2009-09-14",21.2797
"2009-09-15",21.0297
"2009-09-16",21.4788
"2009-09-17",21.7696
"2009-09-18",22.447
"2009-09-19",21.7749
"2009-09-20",21.9022
"2009-09-21",23.2502
"2009-09-22",22.9105
"2009-09-23",22.3249
"2009-09-24",21.617
"2009-09-25",21.4957
"2009-09-26",20.8487
"2009-09-27",20.7255
"2009-09-28",21.0522
"2009-09-29",21.8636
"2009-09-30",21.567
"2009-10-01",21.75
"2009-10-02",21.8821
"2009-10-03",21.192
"2009-10-04",20.4986
"2009-10-05",19.6364
"2009-10-06",20.092
"2009-10-07",20.9739
"2009-10-08",21.0755
"2009-10-09",21.938
"2009-10-10",22.3686
"2009-10-11",22.5189
"2009-10-12",22.7416
"2009-10-13",22.3003
"2009-10-14",22.554
"2009-10-15",21.0016
"2009-10-16",21.443
"2009-10-17",22.3193
"2009-10-18",23.1114
"2009-10-19",22.6313
"2009-10-20",22.9944
"2009-10-21",22.1211
"2009-10-22",21.4172
"2009-10-23",20.7046
"2009-10-24",21.0495
"2009-10-25",21.631
"2009-10-26",21.266
"2009-10-27",21.9739
"2009-10-28",23.6265
"2009-10-29",23.8469
"2009-10-30",23.6061
"2009-10-31",23.7705
"2009-11-01",24.0429
"2009-11-02",23.5767
"2009-11-03",24.0133
"2009-11-04",24.0306
"2009-11-05",24.0513
"2009-11-06",24.4528
"2009-11-07",24.5512
"2009-11-08",24.1527
"2009-11-09",23.8864
"2009-11-10",23.4031
"2009-11-11",24.0848
"2009-11-12",24.4922
"2009-11-13",24.437
"2009-11-14",24.1209
"2009-11-15",23.8841
"2009-11-16",24.419
"2009-11-17",24.0491
"2009-11-18",23.8868
"2009-11-19",23.9683
"2009-11-20",23.7249
"2009-11-21",23.6915
"2009-11-22",23.6029
"2009-11-23",23.2621
"2009-11-24",23.8749
"2009-11-25",23.4898
"2009-11-26",21.4748
"2009-11-27",21.6602
"2009-11-28",23.1369
"2009-11-29",23.6068
"2009-11-30",23.7942
"2009-12-01",23.7915
"2009-12-02",23.7309
"2009-12-03",23.9258
"2009-12-04",23.2818
"2009-12-05",23.0685
"2009-12-06",23.1045
"2009-12-07",24.0574
"2009-12-08",23.7104
"2009-12-09",23.6234
"2009-12-10",23.3964
"2009-12-11",23.637
"2009-12-12",23.9724
