,"(deg C) Mean Dew Point Temperature (ERA5) at Anuradhapura, 2007-01-01 to 2025-12-31"
"2008-04-01",24.0997
"2008-04-02",23.4918
"2008-04-03",23.4211
"2008-04-04",23.3731
"2008-04-05",23.6374
"2008-04-06",23.7378
"2008-04-07",23.6164
"2008-04-08",23.5863
"2008-04-09",23.422
"2008-04-10",23.8663
"2008-04-11",23.9196
"2008-04-12",23.4326
"2008-04-13",24.0661
"2008-04-14",24.0846
"2008-04-15",23.6737
"2008-04-16",24.1075
"2008-04-17",23.7661
"2008-04-18",24.3952
"2008-04-19",24.2919
"2008-04-20",24.2993
"2008-04-21",24.9331
"2008-04-22",24.6173
"2008-04-23",24.9149
"2008-04-24",24.232
"2008-04-25",23.766
"2008-04-26",24.0952
"2008-04-27",24.4723
"2008-04-28",24.5883
"2008-04-29",24.8179
"2008-04-30",24.7995
"2008-05-01",24.7785
"2008-05-02",24.7552
"2008-05-03",24.7588
"2008-05-04",24.6222
"2008-05-05",24.4411
"2008-05-06",24.4658
"2008-05-07",23.787
"2008-05-08",24.1695
"2008-05-09",23.3495
"2008-05-10",23.7971
"2008-05-11",24.4146
"2008-05-12",24.2391
"2008-05-13",23.9417
"2008-05-14",24.0611
"2008-05-15",24.0702
"2008-05-16",24.0666
"2008-05-17",23.9178
"2008-05-18",24.3539
"2008-05-19",24.2982
"2008-05-20",24.0924
"2008-05-21",23.777
"2008-05-22",23.9376
"2008-05-23",23.6922
"2008-05-24",23.3375
"2008-05-25",23.8006
"2008-05-26",23.7856
"2008-05-27",23.3828
"2008-05-28",23.8449
"2008-05-29",23.6141
"2008-05-30",23.7122
"2008-05-31",23.4378
"2008-06-01",23.4488
"2008-06-02",23.189
"2008-06-03",23.0715
"2008-06-04",22.9704
"2008-06-05",23.084
"2008-06-06",23.6959
"2008-06-07",23.6959
"2008-06-08",24.058
"2008-06-09",24.3131
"2008-06-10",23.5584
"2008-06-11",23.6193
"2008-06-12",23.7316
"2008-06-13",23.288
"2008-06-14",23.2769
"2008-06-15",23.2396
"2008-06-16",22.9474
"2008-06-17",22.6548
"2008-06-18",23.1952
"2008-06-19",23.4134
"2008-06-20",23.3584
"2008-06-21",23.5951
"2008-06-22",23.5461
"2008-06-23",23.3813
"2008-06-24",23.141
"2008-06-25",23.4022
"2008-06-26",23.1396
"2008-06-27",21.9544
"2008-06-28",22.6382
"2008-06-29",23.3501
"2008-06-30",23.4019
"2008-07-01",23.0585
"2008-07-02",22.4576
"2008-07-03",22.0638
"2008-07-04",23.6077
"2008-07-05",23.6483
"2008-07-06",23.3646
"2008-07-07",23.6366
"2008-07-08",23.4073
"2008-07-09",23.0264
"2008-07-10",23.0709
"2008-07-11",22.9026
"2008-07-12",22.916
"2008-07-13",22.7824
"2008-07-14",23.3932
"2008-07-15",23.2715
"2008-07-16",23.0802
"2008-07-17",22.7866
"2008-07-18",22.9439
"2008-07-19",23.5805
"2008-07-20",23.1899
"2008-07-21",23.3311
"2008-07-22",23.5167
"2008-07-23",23.642
"2008-07-24",22.9974
"2008-07-25",23.0504
"2008-07-26",22.7228
"2008-07-27",22.5585
"2008-07-28",22.9926
"2008-07-29",22.7025
"2008-07-30",22.8232
"2008-07-31",22.9027
"2008-08-01",23.1015
"2008-08-02",23.2096
"2008-08-03",23.5817
"2008-08-04",23.1802
"2008-08-05",23.2912
"2008-08-06",22.7275
"2008-08-07",22.5276
"2008-08-08",22.3934
"2008-08-09",22.6407
"2008-08-10",23.1703
"2008-08-11",23.329
"2008-08-12",22.9961
"2008-08-13",22.7131
"2008-08-14",22.7999
"2008-08-15",23.0458
"2008-08-16",23.0483
"2008-08-17",22.5316
"2008-08-18",23.0426
"2008-08-19",22.8462
"2008-08-20",22.7643
"2008-08-21",22.8802
"2008-08-22",22.6477
"2008-08-23",22.6731
"2008-08-24",22.8148
"2008-08-25",23.387
"2008-08-26",23.1349
"2008-08-27",23.4569
"2008-08-28",23.5659
"2008-08-29",23.5024
"2008-08-30",22.858
"2008-08-31",22.7243
"2008-09-01",23.5773
"2008-09-02",22.9153
"2008-09-03",22.9638
"2008-09-04",23.2155
"2008-09-05",22.8422
"2008-09-06",23.3951
"2008-09-07",23.0308
"2008-09-08",22.9714
"2008-09-09",23.2375
"2008-09-10",22.9302
"2008-09-11",22.6781
"2008-09-12",23.2422
"2008-09-13",22.8417
"2008-09-14",22.8077
"2008-09-15",22.4963
"2008-09-16",22.7389
"2008-09-17",22.3656
"2008-09-18",22.6441
"2008-09-19",22.3702
"2008-09-20",22.0546
"2008-09-21",22.8104
"2008-09-22",22.6579
"2008-09-23",22.5002
"2008-09-24",22.3274
"2008-09-25",22.3273
"2008-09-26",22.7349
"2008-09-27",22.9278
"2008-09-28",22.8207
"2008-09-29",20.8297
"2008-09-30",20.1914
"2008-10-01",21.4091
"2008-10-02",21.4499
"2008-10-03",21.075
"2008-10-04",21.6868
"2008-10-05",21.9037
"2008-10-06",22.3391
"2008-10-07",21.928
"2008-10-08",22.8785
"2008-10-09",22.3408
"2008-10-10",23.1404
"2008-10-11",22.9297
"2008-10-12",23.2964
"2008-10-13",23.6542
"2008-10-14",23.6175
"2008-10-15",24.0642
"2008-10-16",24.2591
"2008-10-17",24.0496
"2008-10-18",24.0927
"2008-10-19",24.1482
"2008-10-20",24.2008
"2008-10-21",24.0233
"2008-10-22",23.807
"2008-10-23",23.4278
"2008-10-24",23.4658
"2008-10-25",23.2172
"2008-10-26",23.9785
"2008-10-27",24.3701
"2008-10-28",23.6747
"2008-10-29",22.7881
"2008-10-30",20.625
"2008-10-31",21.1026
"2008-11-01",19.9441
"2008-11-02",20.3091
"2008-11-03",21.1534
"2008-11-04",20.1484
"2008-11-05",19.6796
"2008-11-06",19.6045
"2008-11-07",20.9042
"2008-11-08",23.3726
"2008-11-09",23.503
"2008-11-10",23.5544
"2008-11-11",23.5586
"2008-11-12",23.5165
"2008-11-13",23.5943
"2008-11-14",23.5155
"2008-11-15",22.2635
"2008-11-16",23.1966
"2008-11-17",22.4065
"2008-11-18",22.6246
"2008-11-19",23.5042
"2008-11-20",24.111
"2008-11-21",24.1591
"2008-11-22",23.8167
"2008-11-23",24.0057
"2008-11-24",23.8813
"2008-11-25",23.6448
"2008-11-26",23.2593
"2008-11-27",23.7737
"2008-11-28",23.6016
"2008-11-29",23.8848
"2008-11-30",23.7062
"2008-12-01",23.653
"2008-12-02",23.1398
"2008-12-03",21.0289
"2008-12-04",21.8525
"2008-12-05",22.6378
"2008-12-06",23.1869
"2008-12-07",23.0945
"2008-12-08",23.8467
"2008-12-09",23.9261
"2008-12-10",23.9372
"2008-12-11",23.8215
"2008-12-12",22.5491
"2008-12-13",22.0958
"2008-12-14",22.8784
"2008-12-15",23.2384
"2008-12-16",23.1898
"2008-12-17",23.1919
"2008-12-18",23.0276
"2008-12-19",23.4752
"2008-12-20",23.1383
"2008-12-21",21.8881
"2008-12-22",21.8112
"2008-12-23",21.433
"2008-12-24",22.3837
"2008-12-25",22.3498
"2008-12-26",21.7585
"2008-12-27",21.0288
"2008-12-28",20.6547
"2008-12-29",19.7436
"2008-12-30",18.5157
"2008-12-31",18.4971
"2009-01-01",19.0061
"2009-01-02",19.4727
"2009-01-03",19.4295
"2009-01-04",20.3731
"2009-01-05",19.8957
"2009-01-06",22.6545
"2009-01-07",22.8238
"2009-01-08",22.0305
"2009-01-09",22.7526
"2009-01-10",21.5162
"2009-01-11",21.2803
"2009-01-12",21.5416
"2009-01-13",21.4034
"2009-01-14",21.2263
"2009-01-15",20.5148
"2009-01-16",19.8381
"2009-01-17",19.5301
"2009-01-18",20.5652
"2009-01-19",20.2493
"2009-01-20",19.4364
"2009-01-21",19.3893
"2009-01-22",19.2366
"2009-01-23",19.6912
"2009-01-24",19.16
"2009-01-25",21.3849
"2009-01-26",23.3322
"2009-01-27",23.5087
"2009-01-28",23.0237
"2009-01-29",21.3124
"2009-01-30",20.2488
"2009-01-31",19.9036
"2009-02-01",19.3267
"2009-02-02",19.086
"2009-02-03",19.3415
"2009-02-04",19.2698
"2009-02-05",18.2696
"2009-02-06",18.507
"2009-02-07",18.0522
"2009-02-08",18.1087
"2009-02-09",18.0556
"2009-02-10",18.196
"2009-02-11",19.124
"2009-02-12",18.2299
"2009-02-13",17.3445
"2009-02-14",18.6659
"2009-02-15",18.912
"2009-02-16",18.5969
"2009-02-17",18.6456
"2009-02-18",18.8058
"2009-02-19",19.6901
"2009-02-20",22.0424
"2009-02-21",22.606
"2009-02-22",22.7121
"2009-02-23",23.1448
"2009-02-24",23.3462
"2009-02-25",22.7359
"2009-02-26",22.4511
"2009-02-27",21.3811
"2009-02-28",20.4364
"2009-03-01",17.5117
"2009-03-02",17.8609
"2009-03-03",17.6847
"2009-03-04",20.0252
"2009-03-05",20.2383
"2009-03-06",20.1548
"2009-03-07",19.9942
"2009-03-08",21.6372
"2009-03-09",23.6111
"2009-03-10",23.384
"2009-03-11",23.4921
"2009-03-12",23.8362
"2009-03-13",23.7763
"2009-03-14",23.7506
"2009-03-15",23.5273
"2009-03-16",22.5989
"2009-03-17",22.721
"2009-03-18",22.7212
"2009-03-19",23.205
"2009-03-20",23.0412
"2009-03-21",22.9587
"2009-03-22",22.9507
"2009-03-23",23.2237
"2009-03-24",23.3679
"2009-03-25",23.6457
"2009-03-26",23.3183
"2009-03-27",23.3673
"2009-03-28",23.3767
"2009-03-29",23.3421
"2009-03-30",23.6673
"2009-03-31",23.3134
"2009-04-01",23.8314
"2009-04-02",23.8669
"2009-04-03",23.32
"2009-04-04",23.9117
"2009-04-05",23.8791
"2009-04-06",24.092
"2009-04-07",23.6788
"2009-04-08",23.605
"2009-04-09",23.7806
"2009-04-10",24.1416
"2009-04-11",24.4363
"2009-04-12",24.6888
"2009-04-13",24.388
"2009-04-14",24.4892
"2009-04-15",25.2079
"2009-04-16",24.8786
"2009-04-17",24.8259
"2009-04-18",24.9276
"2009-04-19",24.7282
"2009-04-20",24.1104
"2009-04-21",24.0149
"2009-04-22",24.4302
"2009-04-23",24.6287
"2009-04-24",24.304
"2009-04-25",24.4459
"2009-04-26",24.3979
"2009-04-27",23.7284
"2009-04-28",23.6048
"2009-04-29",23.7859
"2009-04-30",23.7377
"2009-05-01",24.2904
"2009-05-02",24.8248
"2009-05-03",24.9298
"2009-05-04",24.4364
"2009-05-05",24.3095
"2009-05-06",24.4393
"2009-05-07",24.5539
"2009-05-08",24.4384
"2009-05-09",24.3629
"2009-05-10",24.6208
"2009-05-11",24.7001
"2009-05-12",24.7199
"2009-05-13",24.5348
"2009-05-14",24.4068
"2009-05-15",23.7661
"2009-05-16",24.8311
"2009-05-17",24.3523
"2009-05-18",24.1385
"2009-05-19",25.0119
"2009-05-20",24.9328
"2009-05-21",24.4678
"2009-05-22",24.5711
"2009-05-23",24.6723
"2009-05-24",24.7349
"2009-05-25",23.8948
"2009-05-26",24.4458
"2009-05-27",24.4029
"2009-05-28",24.1839
"2009-05-29",24.1588
"2009-05-30",24.3503
"2009-05-31",24.4493
"2009-06-01",24.0997
"2009-06-02",23.8332
"2009-06-03",24.2756
"2009-06-04",24.4409
"2009-06-05",24.3081
"2009-06-06",22.9423
"2009-06-07",23.6109
"2009-06-08",23.369
"2009-06-09",23.3764
"2009-06-10",23.9127
"2009-06-11",23.6164
"2009-06-12",23.385
"2009-06-13",23.2294
"2009-06-14",23.6604
"2009-06-15",23.3292
"2009-06-16",23.4665
"2009-06-17",23.5562
"2009-06-18",23.2987
"2009-06-19",23.258
"2009-06-20",23.3928
"2009-06-21",23.6173
"2009-06-22",23.6945
"2009-06-23",23.6514
"2009-06-24",23.8631
"2009-06-25",23.5656
"2009-06-26",23.2751
"2009-06-27",23.7491
"2009-06-28",23.5737
"2009-06-29",23.6239
"2009-06-30",23.3117
"2009-07-01",22.3684
"2009-07-02",22.7264
"2009-07-03",22.7487
"2009-07-04",23.0855
"2009-07-05",23.16
"2009-07-06",22.9575
"2009-07-07",22.8287
"2009-07-08",22.4081
"2009-07-09",22.8684
"2009-07-10",22.8783
"2009-07-11",23.1722
"2009-07-12",23.0011
"2009-07-13",22.6805
"2009-07-14",23.4303
"2009-07-15",23.7488
"2009-07-16",23.4407
"2009-07-17",23.3285
"2009-07-18",22.8081
"2009-07-19",23.1107
"2009-07-20",23.2588
"2009-07-21",22.8938
"2009-07-22",22.7732
"2009-07-23",22.8141
"2009-07-24",22.9885
"2009-07-25",23.0477
"2009-07-26",23.2027
"2009-07-27",23.3086
"2009-07-28",22.8561
"2009-07-29",23.072
"2009-07-30",23.5329
"2009-07-31",23.234
"2009-08-01",22.9795
"2009-08-02",22.9661
"2009-08-03",22.8192
"2009-08-04",22.774
"2009-08-05",22.4885
"2009-08-06",22.9885
"2009-08-07",22.8129
"2009-08-08",22.9098
"2009-08-09",22.7547
"2009-08-10",22.7886
"2009-08-11",23.1752
"2009-08-12",23.1131
"2009-08-13",23.3339
"2009-08-14",23.9309
"2009-08-15",24.0369
"2009-08-16",24.0131
"2009-08-17",23.7371
"2009-08-18",23.4803
"2009-08-19",23.6216
"2009-08-20",23.5261
"2009-08-21",22.9321
"2009-08-22",23.0483
"2009-08-23",23.2912
"2009-08-24",23.1397
"2009-08-25",22.9745
"2009-08-26",23.3731
"2009-08-27",23.758
"2009-08-28",23.5506
"2009-08-29",23.5504
"2009-08-30",23.4124
"2009-08-31",23.7668
"2009-09-01",23.9552
"2009-09-02",23.3121
"2009-09-03",23.0962
"2009-09-04",22.8858
"2009-09-05",23.2066
"2009-09-06",23.0838
"2009-09-07",23.1565
"2009-09-08",23.1828
"2009-09-09",22.9978
"2009-09-10",22.8717
"2009-09-11",22.9239
"2009-09-12",23.3481
"2009-09-13",23.8227
"2009-09-14",22.8187
"2009-09-15",22.6284
"2009-09-16",23.029
"2009-09-17",23.2984
"2009-09-18",23.5169
"2009-09-19",23.0511
"2009-09-20",23.0519
"2009-09-21",23.7176
"2009-09-22",23.1471
"2009-09-23",23.0312
"2009-09-24",22.6301
"2009-09-25",23.0773
"2009-09-26",22.7201
"2009-09-27",22.1776
"2009-09-28",22.7703
"2009-09-29",23.2958
"2009-09-30",22.9654
"2009-10-01",23.2961
"2009-10-02",23.0509
"2009-10-03",23.3693
"2009-10-04",22.2375
"2009-10-05",22.1802
"2009-10-06",21.9389
"2009-10-07",22.7977
"2009-10-08",22.6674
"2009-10-09",22.6866
"2009-10-10",22.6813
"2009-10-11",22.6295
"2009-10-12",22.9279
"2009-10-13",22.9427
"2009-10-14",22.336
"2009-10-15",21.2241
"2009-10-16",20.8557
"2009-10-17",21.8613
"2009-10-18",22.4437
"2009-10-19",22.9101
"2009-10-20",23.1624
"2009-10-21",21.4911
"2009-10-22",20.5739
"2009-10-23",19.7905
"2009-10-24",20.8279
"2009-10-25",21.1129
"2009-10-26",20.454
"2009-10-27",21.0074
"2009-10-28",23.5444
"2009-10-29",23.7876
"2009-10-30",23.8644
"2009-10-31",23.6812
"2009-11-01",23.6339
"2009-11-02",23.3959
"2009-11-03",23.6605
"2009-11-04",23.8662
"2009-11-05",24.0536
"2009-11-06",24.0633
"2009-11-07",24.0901
"2009-11-08",24.0915
"2009-11-09",24.0477
"2009-11-10",23.6594
"2009-11-11",24.0312
"2009-11-12",24.4224
"2009-11-13",24.2515
"2009-11-14",23.9974
"2009-11-15",23.6535
"2009-11-16",23.8661
"2009-11-17",23.9738
"2009-11-18",23.6262
"2009-11-19",23.719
"2009-11-20",23.6766
"2009-11-21",23.9454
"2009-11-22",23.7422
"2009-11-23",23.244
"2009-11-24",23.5036
"2009-11-25",23.2845
"2009-11-26",21.1847
"2009-11-27",20.5417
"2009-11-28",22.3457
"2009-11-29",23.375
"2009-11-30",23.5962
"2009-12-01",23.5963
"2009-12-02",23.541
"2009-12-03",23.9903
"2009-12-04",23.3821
"2009-12-05",22.6787
"2009-12-06",23.0042
"2009-12-07",23.3123
"2009-12-08",23.7174
"2009-12-09",23.1137
"2009-12-10",21.8118
"2009-12-11",23.4246
"2009-12-12",23.9976
