,"(deg C) Mean Dew Point Temperature (ERA5) at Mullaitivu, 2007-01-01 to 2025-12-31"
"2007-06-18",24.1324
"2007-06-19",23.8734
"2007-06-20",23.7059
"2007-06-21",23.9262
"2007-06-22",23.4669
"2007-06-23",24.1249
"2007-06-24",24.0258
"2007-06-25",24.2158
"2007-06-26",24.0985
"2007-06-27",24.193
"2007-06-28",24.2941
"2007-06-29",24.146
"2007-06-30",24.0985
"2007-07-01",23.8537
"2007-07-02",23.7984
"2007-07-03",23.8671
"2007-07-04",23.2995
"2007-07-05",23.5842
"2007-07-06",23.2756
"2007-07-07",23.1428
"2007-07-08",23.0484
"2007-07-09",23.4459
"2007-07-10",23.3383
"2007-07-11",23.835
"2007-07-12",23.7099
"2007-07-13",23.5391
"2007-07-14",23.6593
"2007-07-15",23.126
"2007-07-16",23.3784
"2007-07-17",23.3187
"2007-07-18",23.2887
"2007-07-19",23.9966
"2007-07-20",23.2186
"2007-07-21",23.062
"2007-07-22",23.391
"2007-07-23",23.7374
"2007-07-24",23.5241
"2007-07-25",22.4629
"2007-07-26",23.2052
"2007-07-27",23.0998
"2007-07-28",23.3988
"2007-07-29",23.9588
"2007-07-30",23.5909
"2007-07-31",23.2009
"2007-08-01",22.7684
"2007-08-02",22.9114
"2007-08-03",23.3155
"2007-08-04",23.4958
"2007-08-05",23.3469
"2007-08-06",23.0585
"2007-08-07",22.8363
"2007-08-08",23.0547
"2007-08-09",23.2551
"2007-08-10",24.0351
"2007-08-11",23.3815
"2007-08-12",23.6403
"2007-08-13",23.4098
"2007-08-14",22.9944
"2007-08-15",23.0911
"2007-08-16",22.883
"2007-08-17",22.8456
"2007-08-18",23.2224
"2007-08-19",23.3866
"2007-08-20",23.1348
"2007-08-21",23.6273
"2007-08-22",23.2134
"2007-08-23",23.7063
"2007-08-24",23.8343
"2007-08-25",23.9528
"2007-08-26",23.5653
"2007-08-27",23.281
"2007-08-28",23.534
"2007-08-29",23.3599
"2007-08-30",23.7479
"2007-08-31",23.0594
"2007-09-01",22.7584
"2007-09-02",23.499
"2007-09-03",23.2962
"2007-09-04",23.7066
"2007-09-05",23.8336
"2007-09-06",23.9965
"2007-09-07",24.1764
"2007-09-08",24.2537
"2007-09-09",23.5315
"2007-09-10",23.6041
"2007-09-11",23.9819
"2007-09-12",23.6625
"2007-09-13",23.7487
"2007-09-14",23.9481
"2007-09-15",24.0113
"2007-09-16",24.0718
"2007-09-17",24.1322
"2007-09-18",23.3937
"2007-09-19",23.2405
"2007-09-20",23.6128
"2007-09-21",23.6196
"2007-09-22",23.3484
"2007-09-23",22.9067
"2007-09-24",23.2253
"2007-09-25",23.2701
"2007-09-26",23.6119
"2007-09-27",23.6946
"2007-09-28",23.8726
"2007-09-29",23.2317
"2007-09-30",23.3163
"2007-10-01",22.2941
"2007-10-02",23.4409
"2007-10-03",23.1963
"2007-10-04",23.0141
"2007-10-05",22.5448
"2007-10-06",22.6831
"2007-10-07",23.1522
"2007-10-08",22.86
"2007-10-09",22.8181
"2007-10-10",22.7978
"2007-10-11",23.5033
"2007-10-12",23.7574
"2007-10-13",23.7015
"2007-10-14",24.1099
"2007-10-15",24.2965
"2007-10-16",23.8134
"2007-10-17",23.7799
"2007-10-18",24.0039
"2007-10-19",23.9184
"2007-10-20",23.3315
"2007-10-21",23.8659
"2007-10-22",23.5799
"2007-10-23",23.7372
"2007-10-24",24.2335
"2007-10-25",24.2098
"2007-10-26",23.8077
"2007-10-27",24.058
"2007-10-28",23.896
"2007-10-29",24.3747
"2007-10-30",24.076
"2007-10-31",24.5934
"2007-11-01",24.0785
"2007-11-02",23.6883
"2007-11-03",23.9084
"2007-11-04",23.7089
"2007-11-05",24.3053
"2007-11-06",23.8578
"2007-11-07",23.937
"2007-11-08",23.8314
"2007-11-09",23.8709
"2007-11-10",23.7495
"2007-11-11",23.9466
"2007-11-12",24.1986
"2007-11-13",22.8747
"2007-11-14",20.8415
"2007-11-15",20.6973
"2007-11-16",18.6511
"2007-11-17",19.3652
"2007-11-18",22.7609
"2007-11-19",23.8698
"2007-11-20",24.2339
"2007-11-21",23.8763
"2007-11-22",23.796
"2007-11-23",22.1381
"2007-11-24",21.595
"2007-11-25",19.9448
"2007-11-26",22.263
"2007-11-27",23.512
"2007-11-28",23.756
"2007-11-29",22.557
"2007-11-30",21.3459
"2007-12-01",22.7427
"2007-12-02",22.2178
"2007-12-03",21.0174
"2007-12-04",22.9953
"2007-12-05",21.6741
"2007-12-06",22.2838
"2007-12-07",22.7026
"2007-12-08",23.5828
"2007-12-09",23.2379
"2007-12-10",22.3539
"2007-12-11",22.1183
"2007-12-12",22.7144
"2007-12-13",23.5199
"2007-12-14",23.9133
"2007-12-15",23.365
"2007-12-16",22.1732
"2007-12-17",23.7225
"2007-12-18",24.0975
"2007-12-19",23.8807
"2007-12-20",23.9144
"2007-12-21",24.2884
"2007-12-22",23.7201
"2007-12-23",22.2512
"2007-12-24",20.4826
"2007-12-25",19.9449
"2007-12-26",20.6223
"2007-12-27",20.9803
"2007-12-28",20.872
"2007-12-29",20.7963
"2007-12-30",21.4751
"2007-12-31",20.0368
"2008-01-01",19.7943
"2008-01-02",20.6264
"2008-01-03",22.8386
"2008-01-04",23.4143
"2008-01-05",23.3084
"2008-01-06",21.5971
"2008-01-07",20.7437
"2008-01-08",21.0283
"2008-01-09",22.0672
"2008-01-10",22.4882
"2008-01-11",22.2195
"2008-01-12",22.0114
"2008-01-13",21.5535
"2008-01-14",20.575
"2008-01-15",20.0848
"2008-01-16",20.2542
"2008-01-17",19.7208
"2008-01-18",18.5124
"2008-01-19",18.6648
"2008-01-20",21.5727
"2008-01-21",23.6093
"2008-01-22",22.9896
"2008-01-23",20.7228
"2008-01-24",21.9203
"2008-01-25",22.9023
"2008-01-26",23.4267
"2008-01-27",22.654
"2008-01-28",22.7197
"2008-01-29",23.2443
"2008-01-30",22.2346
"2008-01-31",22.5957
"2008-02-01",22.4738
"2008-02-02",21.8703
"2008-02-03",21.3986
"2008-02-04",21.7502
"2008-02-05",21.7291
"2008-02-06",23.2085
"2008-02-07",23.4712
"2008-02-08",23.6979
"2008-02-09",23.9412
"2008-02-10",24.1312
"2008-02-11",23.8707
"2008-02-12",23.8776
"2008-02-13",23.5147
"2008-02-14",22.9707
"2008-02-15",22.6537
"2008-02-16",21.9945
"2008-02-17",20.5043
"2008-02-18",20.178
"2008-02-19",19.9466
"2008-02-20",22.3925
"2008-02-21",22.9747
"2008-02-22",21.1379
"2008-02-23",18.9174
"2008-02-24",18.3869
"2008-02-25",18.255
"2008-02-26",20.8532
"2008-02-27",23.2686
"2008-02-28",22.9487
"2008-02-29",23.4178
"2008-03-01",23.1907
"2008-03-02",23.7089
"2008-03-03",22.6076
"2008-03-04",22.4059
"2008-03-05",23.596
"2008-03-06",23.4397
"2008-03-07",21.0006
"2008-03-08",20.8573
"2008-03-09",22.5961
"2008-03-10",23.1794
"2008-03-11",23.5359
"2008-03-12",23.5109
"2008-03-13",23.3887
"2008-03-14",23.854
"2008-03-15",23.7169
"2008-03-16",24.1053
"2008-03-17",24.0527
"2008-03-18",24.0419
"2008-03-19",23.7734
"2008-03-20",24.0708
"2008-03-21",23.912
"2008-03-22",23.7627
"2008-03-23",24.2556
"2008-03-24",24.1388
"2008-03-25",24.2912
"2008-03-26",23.6894
"2008-03-27",24.0009
"2008-03-28",24.1641
"2008-03-29",24.0963
"2008-03-30",23.9174
"2008-03-31",24.3086
"2008-04-01",24.3554
"2008-04-02",23.8938
"2008-04-03",24.0201
"2008-04-04",23.9233
"2008-04-05",24.0723
"2008-04-06",24.0054
"2008-04-07",24.1152
"2008-04-08",24.1723
"2008-04-09",24.0387
"2008-04-10",24.0343
"2008-04-11",24.4244
"2008-04-12",24.1314
"2008-04-13",24.4283
"2008-04-14",24.4655
"2008-04-15",24.1175
"2008-04-16",24.482
"2008-04-17",24.2626
"2008-04-18",24.8144
"2008-04-19",24.9151
"2008-04-20",25.0358
"2008-04-21",25.4719
"2008-04-22",25.4412
"2008-04-23",25.5236
"2008-04-24",24.5941
"2008-04-25",24.0175
"2008-04-26",24.2599
"2008-04-27",24.7407
"2008-04-28",25.162
"2008-04-29",25.2614
"2008-04-30",25.2536
"2008-05-01",25.0337
"2008-05-02",25.1991
"2008-05-03",25.1829
"2008-05-04",24.9806
"2008-05-05",24.8499
"2008-05-06",24.7987
"2008-05-07",23.7953
"2008-05-08",24.4291
"2008-05-09",23.7975
"2008-05-10",24.2233
"2008-05-11",24.6368
"2008-05-12",24.5849
"2008-05-13",24.2262
"2008-05-14",24.2848
"2008-05-15",24.046
"2008-05-16",24.1455
"2008-05-17",24.2874
"2008-05-18",24.6715
"2008-05-19",24.4816
"2008-05-20",24.266
"2008-05-21",23.9959
"2008-05-22",24.1582
"2008-05-23",23.9306
"2008-05-24",23.4223
"2008-05-25",23.9684
"2008-05-26",24.1862
"2008-05-27",23.7453
"2008-05-28",24.1545
"2008-05-29",24.0356
"2008-05-30",24.081
"2008-05-31",23.8846
"2008-06-01",24.052
"2008-06-02",23.5981
"2008-06-03",23.2499
"2008-06-04",23.181
"2008-06-05",23.4
"2008-06-06",24.0016
"2008-06-07",24.0016
"2008-06-08",24.3193
"2008-06-09",24.8291
"2008-06-10",24.3971
"2008-06-11",24.0877
"2008-06-12",24.3461
"2008-06-13",23.6896
"2008-06-14",23.7762
"2008-06-15",23.5191
"2008-06-16",23.1202
"2008-06-17",23.0203
"2008-06-18",23.4486
"2008-06-19",23.6992
"2008-06-20",23.7246
"2008-06-21",23.8662
"2008-06-22",23.9383
"2008-06-23",23.7154
"2008-06-24",23.4722
"2008-06-25",23.6096
"2008-06-26",23.4278
"2008-06-27",22.1458
"2008-06-28",23.1525
"2008-06-29",23.636
"2008-06-30",23.8589
"2008-07-01",23.6008
"2008-07-02",23.6544
"2008-07-03",22.9844
"2008-07-04",23.8867
"2008-07-05",24.0435
"2008-07-06",23.7517
"2008-07-07",23.9595
"2008-07-08",23.9073
"2008-07-09",23.4388
"2008-07-10",23.5582
"2008-07-11",23.4513
"2008-07-12",23.3428
"2008-07-13",23.4205
"2008-07-14",23.9622
"2008-07-15",23.8409
"2008-07-16",23.6724
"2008-07-17",23.3115
"2008-07-18",23.5877
"2008-07-19",24.089
"2008-07-20",23.7122
"2008-07-21",24.0077
"2008-07-22",24.1495
"2008-07-23",24.0873
"2008-07-24",23.7435
"2008-07-25",23.7534
"2008-07-26",23.4107
"2008-07-27",23.2811
"2008-07-28",23.356
"2008-07-29",23.1454
"2008-07-30",23.2775
"2008-07-31",23.3873
"2008-08-01",23.604
"2008-08-02",23.7702
"2008-08-03",24.3806
"2008-08-04",23.6771
"2008-08-05",24.1618
"2008-08-06",23.2867
"2008-08-07",23.0799
"2008-08-08",22.958
"2008-08-09",23.2136
"2008-08-10",23.5607
"2008-08-11",23.3894
"2008-08-12",23.2387
"2008-08-13",23.1117
"2008-08-14",23.2096
"2008-08-15",23.8672
"2008-08-16",23.7176
"2008-08-17",23.3364
"2008-08-18",23.4385
"2008-08-19",23.4947
"2008-08-20",23.2037
"2008-08-21",23.4109
"2008-08-22",23.1271
"2008-08-23",23.3724
"2008-08-24",23.6266
"2008-08-25",23.8226
"2008-08-26",23.6276
"2008-08-27",23.7465
"2008-08-28",24.1798
"2008-08-29",23.9965
"2008-08-30",23.4167
"2008-08-31",23.1927
"2008-09-01",23.7373
"2008-09-02",23.1882
"2008-09-03",23.4968
"2008-09-04",23.6203
"2008-09-05",23.331
"2008-09-06",23.6552
"2008-09-07",23.4503
"2008-09-08",23.0105
"2008-09-09",23.2962
"2008-09-10",22.9908
"2008-09-11",22.9262
"2008-09-12",23.4367
"2008-09-13",22.8534
"2008-09-14",22.9487
"2008-09-15",22.6575
"2008-09-16",22.783
"2008-09-17",22.6857
"2008-09-18",22.9965
"2008-09-19",22.7378
"2008-09-20",22.5241
"2008-09-21",23.0595
"2008-09-22",23.0514
"2008-09-23",22.7128
"2008-09-24",22.4802
"2008-09-25",22.4767
"2008-09-26",23.2041
"2008-09-27",23.1498
"2008-09-28",22.9217
"2008-09-29",21.2071
"2008-09-30",21.0855
"2008-10-01",22.1059
"2008-10-02",22.1145
"2008-10-03",21.803
"2008-10-04",21.8023
"2008-10-05",22.194
"2008-10-06",22.546
"2008-10-07",22.1022
"2008-10-08",23.27
"2008-10-09",22.1642
"2008-10-10",23.4541
"2008-10-11",23.5471
"2008-10-12",23.5517
"2008-10-13",23.9272
"2008-10-14",23.9105
"2008-10-15",24.324
"2008-10-16",24.7029
"2008-10-17",24.4479
"2008-10-18",24.5483
"2008-10-19",24.477
"2008-10-20",24.5953
"2008-10-21",24.2122
"2008-10-22",24.1825
"2008-10-23",23.8081
"2008-10-24",23.9385
"2008-10-25",23.6021
"2008-10-26",24.2553
"2008-10-27",24.6805
"2008-10-28",24.3717
"2008-10-29",22.9206
"2008-10-30",20.7579
"2008-10-31",21.856
"2008-11-01",21.0211
"2008-11-02",21.4459
"2008-11-03",21.797
"2008-11-04",20.8758
"2008-11-05",20.5007
"2008-11-06",20.4438
"2008-11-07",22.1027
"2008-11-08",24.0341
"2008-11-09",24.0643
"2008-11-10",24.1719
"2008-11-11",24.0128
"2008-11-12",23.8725
"2008-11-13",23.9075
"2008-11-14",24.1471
"2008-11-15",22.7377
"2008-11-16",23.6139
"2008-11-17",23.3963
"2008-11-18",23.5737
"2008-11-19",24.1098
"2008-11-20",24.4146
"2008-11-21",24.3627
"2008-11-22",24.219
"2008-11-23",24.1962
"2008-11-24",24.0515
"2008-11-25",23.8925
"2008-11-26",24.0355
"2008-11-27",23.4343
"2008-11-28",24.0082
"2008-11-29",24.201
"2008-11-30",23.9763
"2008-12-01",24.0521
"2008-12-02",23.6299
"2008-12-03",21.2527
"2008-12-04",21.9144
"2008-12-05",23.0525
"2008-12-06",23.0692
"2008-12-07",23.5117
"2008-12-08",24.1694
"2008-12-09",24.0446
"2008-12-10",24.0946
"2008-12-11",24.0229
"2008-12-12",22.5102
"2008-12-13",22.6192
"2008-12-14",23.6093
"2008-12-15",23.6867
"2008-12-16",23.5085
"2008-12-17",23.2055
"2008-12-18",23.2867
"2008-12-19",23.6533
"2008-12-20",23.2276
"2008-12-21",22.5911
"2008-12-22",22.6268
"2008-12-23",21.1908
"2008-12-24",22.8093
"2008-12-25",22.7382
"2008-12-26",22.0548
"2008-12-27",21.3458
"2008-12-28",21.0105
"2008-12-29",19.7536
"2008-12-30",18.4522
"2008-12-31",18.6211
"2009-01-01",19.2702
"2009-01-02",19.5524
"2009-01-03",19.949
"2009-01-04",20.2621
"2009-01-05",19.8119
"2009-01-06",22.9682
"2009-01-07",23.1974
"2009-01-08",22.1414
"2009-01-09",23.0218
"2009-01-10",21.6941
"2009-01-11",21.6594
"2009-01-12",21.9459
"2009-01-13",21.2211
"2009-01-14",21.0711
"2009-01-15",20.4966
"2009-01-16",20.1232
"2009-01-17",19.184
"2009-01-18",19.9974
"2009-01-19",20.5529
"2009-01-20",19.4586
"2009-01-21",19.3868
"2009-01-22",19.3944
"2009-01-23",19.7646
"2009-01-24",19.2305
"2009-01-25",21.2302
"2009-01-26",23.5302
"2009-01-27",23.7486
"2009-01-28",23.4359
"2009-01-29",21.8772
"2009-01-30",21.0145
"2009-01-31",20.7814
"2009-02-01",19.6122
"2009-02-02",19.5659
"2009-02-03",20.1791
"2009-02-04",19.9464
"2009-02-05",18.8916
"2009-02-06",18.9047
"2009-02-07",18.6189
"2009-02-08",18.3749
"2009-02-09",18.4473
"2009-02-10",18.2031
"2009-02-11",19.7608
"2009-02-12",18.2812
"2009-02-13",18.4867
"2009-02-14",19.3071
"2009-02-15",19.283
"2009-02-16",18.9753
"2009-02-17",19.1182
"2009-02-18",19.4495
"2009-02-19",19.8019
"2009-02-20",22.3365
"2009-02-21",22.926
"2009-02-22",22.8979
"2009-02-23",23.3283
"2009-02-24",23.9054
"2009-02-25",23.5769
"2009-02-26",23.3361
"2009-02-27",22.2643
"2009-02-28",21.6429
"2009-03-01",20.3631
"2009-03-02",20.117
"2009-03-03",21.0698
"2009-03-04",21.1518
"2009-03-05",21.5354
"2009-03-06",21.7335
"2009-03-07",20.9656
"2009-03-08",22.4943
"2009-03-09",23.7931
"2009-03-10",23.6217
"2009-03-11",23.9246
"2009-03-12",24.2864
"2009-03-13",24.3979
"2009-03-14",24.4044
"2009-03-15",23.9885
"2009-03-16",22.8679
"2009-03-17",22.6391
"2009-03-18",23.266
"2009-03-19",23.8551
"2009-03-20",23.8108
"2009-03-21",23.7226
"2009-03-22",23.6664
"2009-03-23",24.0673
"2009-03-24",23.636
"2009-03-25",24.1199
"2009-03-26",24.0879
"2009-03-27",23.7212
"2009-03-28",24.0811
"2009-03-29",23.8677
"2009-03-30",24.1092
"2009-03-31",24.0693
"2009-04-01",24.4147
"2009-04-02",23.7812
"2009-04-03",23.703
"2009-04-04",24.5863
"2009-04-05",24.5297
"2009-04-06",24.3823
"2009-04-07",24.1341
"2009-04-08",24.0737
"2009-04-09",24.2588
"2009-04-10",24.5706
"2009-04-11",24.7128
"2009-04-12",24.8793
"2009-04-13",24.8033
"2009-04-14",25.2017
"2009-04-15",26.0714
"2009-04-16",25.5522
"2009-04-17",25.3628
"2009-04-18",25.7179
"2009-04-19",25.2138
"2009-04-20",24.5478
"2009-04-21",24.7135
"2009-04-22",25.0917
"2009-04-23",25.1425
"2009-04-24",25.0083
"2009-04-25",25.0319
"2009-04-26",24.7029
"2009-04-27",24.6363
"2009-04-28",24.0269
"2009-04-29",24.2762
"2009-04-30",24.3057
"2009-05-01",24.6466
"2009-05-02",25.1421
"2009-05-03",25.4573
"2009-05-04",25.0144
"2009-05-05",24.8214
"2009-05-06",24.7237
"2009-05-07",24.8853
"2009-05-08",24.7261
"2009-05-09",24.6715
"2009-05-10",25.0491
"2009-05-11",25.1699
"2009-05-12",25.0943
"2009-05-13",25.0332
"2009-05-14",24.9374
"2009-05-15",24.1911
"2009-05-16",25.2061
"2009-05-17",24.7219
"2009-05-18",24.6366
"2009-05-19",25.4191
"2009-05-20",25.5031
"2009-05-21",24.9178
"2009-05-22",24.9163
"2009-05-23",25.1483
"2009-05-24",25.27
"2009-05-25",24.3718
"2009-05-26",24.7753
"2009-05-27",24.8953
"2009-05-28",24.5753
"2009-05-29",24.6316
"2009-05-30",24.6545
"2009-05-31",24.7199
"2009-06-01",24.3214
"2009-06-02",24.2387
"2009-06-03",24.6302
"2009-06-04",24.7349
"2009-06-05",24.404
"2009-06-06",23.2011
"2009-06-07",23.727
"2009-06-08",23.7368
"2009-06-09",23.7196
"2009-06-10",24.159
"2009-06-11",23.9419
"2009-06-12",23.8308
"2009-06-13",23.4794
"2009-06-14",23.7977
"2009-06-15",23.8023
"2009-06-16",23.9195
"2009-06-17",23.8355
"2009-06-18",23.7463
"2009-06-19",23.6461
"2009-06-20",23.599
"2009-06-21",23.9173
"2009-06-22",24.1331
"2009-06-23",24.0195
"2009-06-24",24.1193
"2009-06-25",23.9028
"2009-06-26",23.7285
"2009-06-27",24.07
"2009-06-28",23.9286
"2009-06-29",24.1737
"2009-06-30",23.915
"2009-07-01",23.0249
"2009-07-02",23.2304
"2009-07-03",23.6822
"2009-07-04",23.7385
"2009-07-05",23.7943
"2009-07-06",23.6319
"2009-07-07",23.3768
"2009-07-08",23.0442
"2009-07-09",23.4375
"2009-07-10",23.4192
"2009-07-11",23.7165
"2009-07-12",23.4905
"2009-07-13",23.4463
"2009-07-14",23.7388
"2009-07-15",24.0655
"2009-07-16",23.8441
"2009-07-17",23.5169
"2009-07-18",23.4224
"2009-07-19",23.5126
"2009-07-20",23.6755
"2009-07-21",23.3375
"2009-07-22",23.1893
"2009-07-23",23.2688
"2009-07-24",23.2485
"2009-07-25",23.227
"2009-07-26",23.5003
"2009-07-27",23.654
"2009-07-28",23.1672
"2009-07-29",23.4397
"2009-07-30",24.046
"2009-07-31",23.7438
"2009-08-01",23.6793
"2009-08-02",23.537
"2009-08-03",23.2923
"2009-08-04",23.2447
"2009-08-05",23.0974
"2009-08-06",23.5191
"2009-08-07",23.4146
"2009-08-08",23.2668
"2009-08-09",23.0299
"2009-08-10",23.3066
"2009-08-11",23.7711
"2009-08-12",23.6606
"2009-08-13",23.7534
"2009-08-14",24.214
"2009-08-15",24.4399
"2009-08-16",24.3938
"2009-08-17",23.9275
"2009-08-18",23.6692
"2009-08-19",23.9871
"2009-08-20",23.9001
"2009-08-21",23.5203
"2009-08-22",23.5506
"2009-08-23",23.6967
"2009-08-24",23.2812
"2009-08-25",23.2489
"2009-08-26",23.6385
"2009-08-27",24.1545
"2009-08-28",24.0053
"2009-08-29",23.9866
"2009-08-30",23.9745
"2009-08-31",24.1193
"2009-09-01",24.2929
"2009-09-02",23.7681
"2009-09-03",23.5144
"2009-09-04",23.1415
"2009-09-05",23.3795
"2009-09-06",23.485
"2009-09-07",23.5426
"2009-09-08",23.5541
"2009-09-09",23.3035
"2009-09-10",23.0835
"2009-09-11",23.3361
"2009-09-12",23.8109
"2009-09-13",23.7629
"2009-09-14",23.4575
"2009-09-15",23.4347
"2009-09-16",23.6373
"2009-09-17",24.114
"2009-09-18",23.9523
"2009-09-19",23.568
"2009-09-20",23.5892
"2009-09-21",24.1918
"2009-09-22",23.7768
"2009-09-23",23.5319
"2009-09-24",23.2463
"2009-09-25",23.855
"2009-09-26",23.4856
"2009-09-27",23.0832
"2009-09-28",23.3776
"2009-09-29",23.3942
"2009-09-30",23.3162
"2009-10-01",23.3787
"2009-10-02",23.274
"2009-10-03",23.5118
"2009-10-04",22.4593
"2009-10-05",22.5708
"2009-10-06",22.0807
"2009-10-07",23.2086
"2009-10-08",23.158
"2009-10-09",23.1567
"2009-10-10",23.2278
"2009-10-11",22.8122
"2009-10-12",23.1135
"2009-10-13",23.172
"2009-10-14",23.2415
"2009-10-15",21.8743
"2009-10-16",21.7079
"2009-10-17",22.5624
"2009-10-18",23.2021
"2009-10-19",22.9462
"2009-10-20",23.6785
"2009-10-21",22.4577
"2009-10-22",21.4041
"2009-10-23",20.8415
"2009-10-24",22.0141
"2009-10-25",21.7142
"2009-10-26",21.0556
"2009-10-27",21.8765
"2009-10-28",24.0261
"2009-10-29",24.1032
"2009-10-30",24.4159
"2009-10-31",24.3244
"2009-11-01",23.9278
"2009-11-02",24.1826
"2009-11-03",24.1402
"2009-11-04",24.1674
"2009-11-05",24.319
"2009-11-06",24.6292
"2009-11-07",24.4937
"2009-11-08",24.5779
"2009-11-09",24.3928
"2009-11-10",23.6964
"2009-11-11",24.4706
"2009-11-12",24.8238
"2009-11-13",24.7861
"2009-11-14",24.3874
"2009-11-15",24.0156
"2009-11-16",24.1025
"2009-11-17",24.2626
"2009-11-18",23.9751
"2009-11-19",24.2197
"2009-11-20",23.9659
"2009-11-21",24.3289
"2009-11-22",24.2504
"2009-11-23",24.2635
"2009-11-24",24.0753
"2009-11-25",23.7812
"2009-11-26",21.6026
"2009-11-27",20.7376
"2009-11-28",22.27
"2009-11-29",23.7159
"2009-11-30",23.8488
"2009-12-01",23.9871
"2009-12-02",23.973
"2009-12-03",24.2921
"2009-12-04",23.9282
"2009-12-05",23.169
"2009-12-06",22.6133
"2009-12-07",22.943
"2009-12-08",23.7746
"2009-12-09",23.0477
"2009-12-10",21.6954
"2009-12-11",23.7781
"2009-12-12",24.1826
