,"(deg C) Mean Dew Point Temperature (ERA5) at Trincomalee, 2007-01-01 to 2025-12-31"
"2007-05-05",24.7961
"2007-05-06",24.7314
"2007-05-07",24.4618
"2007-05-08",24.6711
"2007-05-09",24.2224
"2007-05-10",24.231
"2007-05-11",24.7281
"2007-05-12",23.7342
"2007-05-13",22.8736
"2007-05-14",23.1183
"2007-05-15",22.8775
"2007-05-16",22.8813
"2007-05-17",21.7266
"2007-05-18",23.3046
"2007-05-19",23.5573
"2007-05-20",23.7215
"2007-05-21",23.8866
"2007-05-22",24.1095
"2007-05-23",24.3644
"2007-05-24",24.1403
"2007-05-25",24.0918
"2007-05-26",23.5567
"2007-05-27",23.8419
"2007-05-28",22.0677
"2007-05-29",21.8019
"2007-05-30",22.3542
"2007-05-31",21.8515
"2007-06-01",22.8941
"2007-06-02",23.4518
"2007-06-03",23.6374
"2007-06-04",23.7768
"2007-06-05",24.3443
"2007-06-06",24.7335
"2007-06-07",24.1883
"2007-06-08",23.2883
"2007-06-09",23.2681
"2007-06-10",23.9726
"2007-06-11",23.7325
"2007-06-12",23.3284
"2007-06-13",24.4474
"2007-06-14",23.9403
"2007-06-15",23.0039
"2007-06-16",23.4429
"2007-06-17",23.1484
"2007-06-18",23.1676
"2007-06-19",22.953
"2007-06-20",22.7235
"2007-06-21",22.9333
"2007-06-22",22.5558
"2007-06-23",23.4953
"2007-06-24",23.4335
"2007-06-25",24.1228
"2007-06-26",23.6866
"2007-06-27",23.7046
"2007-06-28",23.6621
"2007-06-29",23.4883
"2007-06-30",23.5436
"2007-07-01",23.183
"2007-07-02",23.21
"2007-07-03",23.1962
"2007-07-04",22.137
"2007-07-05",22.5033
"2007-07-06",22.0671
"2007-07-07",21.9688
"2007-07-08",21.7792
"2007-07-09",22.2065
"2007-07-10",22.3178
"2007-07-11",22.8639
"2007-07-12",22.7582
"2007-07-13",22.5592
"2007-07-14",22.651
"2007-07-15",22.0413
"2007-07-16",22.6289
"2007-07-17",22.951
"2007-07-18",23.4008
"2007-07-19",23.5879
"2007-07-20",22.4994
"2007-07-21",22.4635
"2007-07-22",23.0492
"2007-07-23",23.3163
"2007-07-24",22.9514
"2007-07-25",21.653
"2007-07-26",22.4254
"2007-07-27",22.1409
"2007-07-28",22.5765
"2007-07-29",23.0355
"2007-07-30",22.6921
"2007-07-31",22.5034
"2007-08-01",21.9284
"2007-08-02",22.1184
"2007-08-03",22.4374
"2007-08-04",22.5074
"2007-08-05",22.4379
"2007-08-06",22.0172
"2007-08-07",21.7473
"2007-08-08",21.9777
"2007-08-09",22.1708
"2007-08-10",23.2507
"2007-08-11",22.6525
"2007-08-12",22.8487
"2007-08-13",22.5774
"2007-08-14",22.2929
"2007-08-15",22.3933
"2007-08-16",21.9565
"2007-08-17",22.0058
"2007-08-18",22.0977
"2007-08-19",22.9889
"2007-08-20",22.3553
"2007-08-21",22.8768
"2007-08-22",22.3077
"2007-08-23",23.4775
"2007-08-24",23.5861
"2007-08-25",23.3922
"2007-08-26",22.8413
"2007-08-27",22.3031
"2007-08-28",22.6871
"2007-08-29",22.9646
"2007-08-30",23.066
"2007-08-31",22.3343
"2007-09-01",21.8988
"2007-09-02",22.6646
"2007-09-03",22.4192
"2007-09-04",22.9169
"2007-09-05",23.0995
"2007-09-06",23.3055
"2007-09-07",23.9533
"2007-09-08",24.0994
"2007-09-09",23.1397
"2007-09-10",23.111
"2007-09-11",23.2928
"2007-09-12",23.1492
"2007-09-13",23.1837
"2007-09-14",23.131
"2007-09-15",23.4626
"2007-09-16",23.5752
"2007-09-17",23.5274
"2007-09-18",22.9839
"2007-09-19",22.6072
"2007-09-20",23.0723
"2007-09-21",23.0451
"2007-09-22",22.7346
"2007-09-23",22.3759
"2007-09-24",22.6961
"2007-09-25",22.649
"2007-09-26",22.7357
"2007-09-27",23.0991
"2007-09-28",23.2664
"2007-09-29",22.3862
"2007-09-30",22.3014
"2007-10-01",21.3692
"2007-10-02",22.7468
"2007-10-03",22.4387
"2007-10-04",22.1611
"2007-10-05",22.0285
"2007-10-06",22.3227
"2007-10-07",22.5635
"2007-10-08",22.2908
"2007-10-09",21.7706
"2007-10-10",22.2538
"2007-10-11",23.2982
"2007-10-12",23.5097
"2007-10-13",23.4794
"2007-10-14",23.8019
"2007-10-15",23.8175
"2007-10-16",23.6474
"2007-10-17",23.7157
"2007-10-18",23.5721
"2007-10-19",23.5533
"2007-10-20",22.7405
"2007-10-21",23.6977
"2007-10-22",23.427
"2007-10-23",23.6118
"2007-10-24",23.9519
"2007-10-25",24.0722
"2007-10-26",23.4554
"2007-10-27",23.8706
"2007-10-28",23.5463
"2007-10-29",23.2085
"2007-10-30",23.0413
"2007-10-31",23.9781
"2007-11-01",23.9791
"2007-11-02",23.7519
"2007-11-03",23.5326
"2007-11-04",23.5129
"2007-11-05",24.2582
"2007-11-06",23.5988
"2007-11-07",23.4381
"2007-11-08",23.5617
"2007-11-09",23.0419
"2007-11-10",23.0318
"2007-11-11",23.4246
"2007-11-12",23.8728
"2007-11-13",22.8565
"2007-11-14",20.6703
"2007-11-15",20.8692
"2007-11-16",19.1559
"2007-11-17",19.5368
"2007-11-18",22.9388
"2007-11-19",23.8452
"2007-11-20",23.7704
"2007-11-21",23.6825
"2007-11-22",23.6026
"2007-11-23",22.8393
"2007-11-24",22.6811
"2007-11-25",20.2169
"2007-11-26",21.8565
"2007-11-27",23.2093
"2007-11-28",23.4763
"2007-11-29",22.5785
"2007-11-30",21.224
"2007-12-01",22.1282
"2007-12-02",21.9417
"2007-12-03",20.7089
"2007-12-04",22.6859
"2007-12-05",21.7674
"2007-12-06",22.0997
"2007-12-07",22.5084
"2007-12-08",23.4416
"2007-12-09",23.2263
"2007-12-10",22.6267
"2007-12-11",22.0449
"2007-12-12",23.0102
"2007-12-13",23.5449
"2007-12-14",23.8867
"2007-12-15",23.4844
"2007-12-16",22.7152
"2007-12-17",23.6955
"2007-12-18",24.0492
"2007-12-19",23.8865
"2007-12-20",23.8467
"2007-12-21",24.1034
"2007-12-22",23.4554
"2007-12-23",22.7197
"2007-12-24",20.9928
"2007-12-25",20.4378
"2007-12-26",20.533
"2007-12-27",20.8609
"2007-12-28",20.8424
"2007-12-29",20.5265
"2007-12-30",21.3858
"2007-12-31",19.7008
"2008-01-01",19.6638
"2008-01-02",21.1088
"2008-01-03",23.2348
"2008-01-04",23.243
"2008-01-05",23.1996
"2008-01-06",22.1096
"2008-01-07",21.3063
"2008-01-08",21.8866
"2008-01-09",22.6093
"2008-01-10",22.9054
"2008-01-11",22.7828
"2008-01-12",22.739
"2008-01-13",22.1807
"2008-01-14",20.759
"2008-01-15",20.155
"2008-01-16",20.4351
"2008-01-17",19.8701
"2008-01-18",18.7497
"2008-01-19",18.6904
"2008-01-20",21.9969
"2008-01-21",23.49
"2008-01-22",23.0836
"2008-01-23",20.7205
"2008-01-24",22.2505
"2008-01-25",23.221
"2008-01-26",23.5967
"2008-01-27",22.7189
"2008-01-28",22.5869
"2008-01-29",22.8492
"2008-01-30",22.1177
"2008-01-31",22.1778
"2008-02-01",22.067
"2008-02-02",21.6289
"2008-02-03",21.3626
"2008-02-04",21.7422
"2008-02-05",22.2787
"2008-02-06",23.6004
"2008-02-07",23.4247
"2008-02-08",23.7274
"2008-02-09",23.7218
"2008-02-10",23.9672
"2008-02-11",23.5543
"2008-02-12",23.8427
"2008-02-13",23.3607
"2008-02-14",23.2707
"2008-02-15",22.6324
"2008-02-16",22.0116
"2008-02-17",20.9489
"2008-02-18",20.3795
"2008-02-19",20.5813
"2008-02-20",22.8835
"2008-02-21",23.1798
"2008-02-22",21.3839
"2008-02-23",18.6442
"2008-02-24",18.3856
"2008-02-25",18.0942
"2008-02-26",21.5899
"2008-02-27",23.4
"2008-02-28",23.0607
"2008-02-29",23.4429
"2008-03-01",22.72
"2008-03-02",23.5762
"2008-03-03",22.9718
"2008-03-04",23.1533
"2008-03-05",23.5193
"2008-03-06",23.1753
"2008-03-07",21.5894
"2008-03-08",20.9689
"2008-03-09",23.0264
"2008-03-10",23.1266
"2008-03-11",23.6484
"2008-03-12",23.5589
"2008-03-13",23.374
"2008-03-14",23.6364
"2008-03-15",23.5886
"2008-03-16",24.0697
"2008-03-17",23.8372
"2008-03-18",24.1025
"2008-03-19",23.7131
"2008-03-20",23.6544
"2008-03-21",23.8206
"2008-03-22",23.7989
"2008-03-23",23.7052
"2008-03-24",23.5199
"2008-03-25",23.7884
"2008-03-26",23.2498
"2008-03-27",23.7598
"2008-03-28",23.9083
"2008-03-29",23.7833
"2008-03-30",23.5919
"2008-03-31",23.7947
"2008-04-01",23.7318
"2008-04-02",23.4188
"2008-04-03",23.6059
"2008-04-04",23.6398
"2008-04-05",24.0591
"2008-04-06",24.2141
"2008-04-07",23.9417
"2008-04-08",23.9621
"2008-04-09",23.6682
"2008-04-10",23.9833
"2008-04-11",24.091
"2008-04-12",23.7902
"2008-04-13",24.0873
"2008-04-14",24.2557
"2008-04-15",23.9098
"2008-04-16",24.5009
"2008-04-17",23.9988
"2008-04-18",24.2335
"2008-04-19",24.4845
"2008-04-20",23.9697
"2008-04-21",24.6829
"2008-04-22",24.1739
"2008-04-23",24.5148
"2008-04-24",23.9123
"2008-04-25",23.4494
"2008-04-26",23.9461
"2008-04-27",24.105
"2008-04-28",24.1163
"2008-04-29",24.4172
"2008-04-30",24.4696
"2008-05-01",24.2285
"2008-05-02",24.1962
"2008-05-03",24.1613
"2008-05-04",24.1253
"2008-05-05",23.9253
"2008-05-06",23.8849
"2008-05-07",23.2723
"2008-05-08",23.5961
"2008-05-09",22.8451
"2008-05-10",23.1999
"2008-05-11",23.8014
"2008-05-12",23.5991
"2008-05-13",23.3452
"2008-05-14",23.3256
"2008-05-15",23.4145
"2008-05-16",23.377
"2008-05-17",23.1825
"2008-05-18",23.7985
"2008-05-19",23.6876
"2008-05-20",23.5101
"2008-05-21",23.108
"2008-05-22",23.2667
"2008-05-23",23.2699
"2008-05-24",22.7768
"2008-05-25",23.2297
"2008-05-26",23.2013
"2008-05-27",22.9132
"2008-05-28",23.0966
"2008-05-29",23.0071
"2008-05-30",23.1428
"2008-05-31",22.9656
"2008-06-01",23.111
"2008-06-02",22.7193
"2008-06-03",22.5955
"2008-06-04",22.349
"2008-06-05",22.4189
"2008-06-06",22.8907
"2008-06-07",22.8907
"2008-06-08",23.7215
"2008-06-09",24.3705
"2008-06-10",23.7436
"2008-06-11",23.3487
"2008-06-12",23.369
"2008-06-13",22.7707
"2008-06-14",22.6734
"2008-06-15",22.6026
"2008-06-16",22.0304
"2008-06-17",21.802
"2008-06-18",22.4908
"2008-06-19",22.8756
"2008-06-20",22.8766
"2008-06-21",23.1244
"2008-06-22",23.089
"2008-06-23",22.8755
"2008-06-24",22.6048
"2008-06-25",22.7304
"2008-06-26",22.4378
"2008-06-27",20.9363
"2008-06-28",21.7868
"2008-06-29",22.6936
"2008-06-30",22.7345
"2008-07-01",22.2975
"2008-07-02",22.0192
"2008-07-03",21.4028
"2008-07-04",23.3673
"2008-07-05",23.1245
"2008-07-06",22.7544
"2008-07-07",23.1034
"2008-07-08",22.7554
"2008-07-09",22.3286
"2008-07-10",22.3148
"2008-07-11",22.1945
"2008-07-12",22.2858
"2008-07-13",22.1149
"2008-07-14",23.1433
"2008-07-15",22.6283
"2008-07-16",22.8125
"2008-07-17",22.2127
"2008-07-18",22.426
"2008-07-19",23.3132
"2008-07-20",22.7465
"2008-07-21",23.22
"2008-07-22",23.354
"2008-07-23",23.7146
"2008-07-24",22.7201
"2008-07-25",22.6832
"2008-07-26",22.3069
"2008-07-27",22.0627
"2008-07-28",22.3673
"2008-07-29",22.1113
"2008-07-30",22.2391
"2008-07-31",22.4582
"2008-08-01",22.6262
"2008-08-02",22.7418
"2008-08-03",23.7648
"2008-08-04",22.8454
"2008-08-05",23.545
"2008-08-06",22.3643
"2008-08-07",21.949
"2008-08-08",21.8067
"2008-08-09",22.0435
"2008-08-10",22.5063
"2008-08-11",22.51
"2008-08-12",22.2556
"2008-08-13",22.2136
"2008-08-14",22.1922
"2008-08-15",22.9326
"2008-08-16",23.3521
"2008-08-17",22.5158
"2008-08-18",22.9979
"2008-08-19",22.7799
"2008-08-20",22.3074
"2008-08-21",22.4918
"2008-08-22",22.1916
"2008-08-23",22.2233
"2008-08-24",22.4432
"2008-08-25",23.3512
"2008-08-26",23.2631
"2008-08-27",23.3325
"2008-08-28",23.8432
"2008-08-29",23.6765
"2008-08-30",22.9533
"2008-08-31",22.7202
"2008-09-01",23.3235
"2008-09-02",22.6434
"2008-09-03",22.6931
"2008-09-04",23.053
"2008-09-05",22.9361
"2008-09-06",23.2918
"2008-09-07",22.8961
"2008-09-08",22.7714
"2008-09-09",22.9492
"2008-09-10",22.5325
"2008-09-11",22.2351
"2008-09-12",22.864
"2008-09-13",22.33
"2008-09-14",22.3094
"2008-09-15",21.9276
"2008-09-16",22.2918
"2008-09-17",21.7348
"2008-09-18",21.9764
"2008-09-19",21.8027
"2008-09-20",21.5033
"2008-09-21",22.0627
"2008-09-22",21.9342
"2008-09-23",21.7039
"2008-09-24",21.6991
"2008-09-25",21.4801
"2008-09-26",21.9355
"2008-09-27",22.1903
"2008-09-28",22.2794
"2008-09-29",20.2396
"2008-09-30",19.8121
"2008-10-01",20.9982
"2008-10-02",20.9707
"2008-10-03",20.7774
"2008-10-04",21.7708
"2008-10-05",22.1475
"2008-10-06",23.0646
"2008-10-07",22.6929
"2008-10-08",23.0941
"2008-10-09",22.7445
"2008-10-10",23.3947
"2008-10-11",23.7482
"2008-10-12",23.5768
"2008-10-13",23.8545
"2008-10-14",23.7915
"2008-10-15",24.3152
"2008-10-16",24.5082
"2008-10-17",24.1916
"2008-10-18",24.2664
"2008-10-19",24.3237
"2008-10-20",24.4331
"2008-10-21",24.1826
"2008-10-22",23.7147
"2008-10-23",23.0554
"2008-10-24",23.0119
"2008-10-25",22.834
"2008-10-26",23.5895
"2008-10-27",23.8917
"2008-10-28",23.201
"2008-10-29",22.2017
"2008-10-30",20.5835
"2008-10-31",21.4006
"2008-11-01",20.5973
"2008-11-02",20.4318
"2008-11-03",21.7623
"2008-11-04",21.0162
"2008-11-05",20.5819
"2008-11-06",20.2403
"2008-11-07",21.5014
"2008-11-08",23.9146
"2008-11-09",23.6842
"2008-11-10",23.7855
"2008-11-11",23.9166
"2008-11-12",23.8828
"2008-11-13",23.763
"2008-11-14",23.9356
"2008-11-15",22.178
"2008-11-16",22.5792
"2008-11-17",22.3598
"2008-11-18",23.428
"2008-11-19",24.0776
"2008-11-20",24.435
"2008-11-21",24.4768
"2008-11-22",24.0705
"2008-11-23",24.1505
"2008-11-24",24.0656
"2008-11-25",23.9142
"2008-11-26",23.2707
"2008-11-27",23.5242
"2008-11-28",23.4695
"2008-11-29",24.0343
"2008-11-30",23.8889
"2008-12-01",23.8234
"2008-12-02",23.4542
"2008-12-03",21.5055
"2008-12-04",22.5069
"2008-12-05",22.9177
"2008-12-06",23.5281
"2008-12-07",23.3772
"2008-12-08",24.0622
"2008-12-09",24.0351
"2008-12-10",24.0944
"2008-12-11",23.9614
"2008-12-12",22.7835
"2008-12-13",22.3046
"2008-12-14",23.2396
"2008-12-15",23.5997
"2008-12-16",23.4666
"2008-12-17",23.2853
"2008-12-18",23.3603
"2008-12-19",23.59
"2008-12-20",23.222
"2008-12-21",21.7864
"2008-12-22",21.8512
"2008-12-23",21.9788
"2008-12-24",22.7521
"2008-12-25",22.5605
"2008-12-26",21.9331
"2008-12-27",21.4009
"2008-12-28",21.1537
"2008-12-29",19.6921
"2008-12-30",18.6773
"2008-12-31",18.6962
"2009-01-01",19.1327
"2009-01-02",19.5552
"2009-01-03",19.8265
"2009-01-04",20.9466
"2009-01-05",20.402
"2009-01-06",23.075
"2009-01-07",23.0422
"2009-01-08",22.2572
"2009-01-09",22.844
"2009-01-10",21.6103
"2009-01-11",21.3292
"2009-01-12",21.7377
"2009-01-13",21.8455
"2009-01-14",21.5211
"2009-01-15",20.5702
"2009-01-16",19.6368
"2009-01-17",19.6708
"2009-01-18",20.687
"2009-01-19",19.9974
"2009-01-20",19.7057
"2009-01-21",19.4079
"2009-01-22",19.4224
"2009-01-23",19.9313
"2009-01-24",19.3748
"2009-01-25",21.8881
"2009-01-26",23.5881
"2009-01-27",23.6447
"2009-01-28",23.1631
"2009-01-29",21.6009
"2009-01-30",20.6077
"2009-01-31",20.0965
"2009-02-01",19.415
"2009-02-02",19.3183
"2009-02-03",19.5546
"2009-02-04",19.5669
"2009-02-05",18.7766
"2009-02-06",19.0128
"2009-02-07",18.1511
"2009-02-08",18.2614
"2009-02-09",18.2676
"2009-02-10",18.5873
"2009-02-11",20.1565
"2009-02-12",18.7106
"2009-02-13",18.3163
"2009-02-14",19.5056
"2009-02-15",19.6771
"2009-02-16",18.9557
"2009-02-17",18.6763
"2009-02-18",19.0453
"2009-02-19",20.1681
"2009-02-20",22.3464
"2009-02-21",23.0946
"2009-02-22",23.0162
"2009-02-23",23.4152
"2009-02-24",23.5015
"2009-02-25",23.0474
"2009-02-26",22.6226
"2009-02-27",21.9472
"2009-02-28",20.8489
"2009-03-01",19.5553
"2009-03-02",18.632
"2009-03-03",19.791
"2009-03-04",19.9729
"2009-03-05",19.9484
"2009-03-06",20.3519
"2009-03-07",20.8356
"2009-03-08",21.9666
"2009-03-09",23.7467
"2009-03-10",23.663
"2009-03-11",23.7619
"2009-03-12",24.0351
"2009-03-13",24.0707
"2009-03-14",24.164
"2009-03-15",24.1232
"2009-03-16",23.0008
"2009-03-17",22.8401
"2009-03-18",23.0977
"2009-03-19",23.7625
"2009-03-20",23.4372
"2009-03-21",23.5865
"2009-03-22",23.72
"2009-03-23",23.9899
"2009-03-24",24.0027
"2009-03-25",24.0879
"2009-03-26",24.0779
"2009-03-27",23.3252
"2009-03-28",23.7461
"2009-03-29",23.9634
"2009-03-30",24.0767
"2009-03-31",23.9532
"2009-04-01",24.4867
"2009-04-02",24.4372
"2009-04-03",24.1456
"2009-04-04",24.3246
"2009-04-05",24.1047
"2009-04-06",24.3796
"2009-04-07",24.1098
"2009-04-08",24.0527
"2009-04-09",24.129
"2009-04-10",24.367
"2009-04-11",24.5819
"2009-04-12",24.9645
"2009-04-13",24.457
"2009-04-14",24.0266
"2009-04-15",24.7424
"2009-04-16",24.3711
"2009-04-17",24.4432
"2009-04-18",24.7207
"2009-04-19",24.9912
"2009-04-20",23.987
"2009-04-21",23.7777
"2009-04-22",24.1938
"2009-04-23",24.2289
"2009-04-24",23.9472
"2009-04-25",24.1258
"2009-04-26",24.1293
"2009-04-27",24.369
"2009-04-28",23.4453
"2009-04-29",23.465
"2009-04-30",23.212
"2009-05-01",23.691
"2009-05-02",24.0446
"2009-05-03",24.2413
"2009-05-04",23.4812
"2009-05-05",23.7811
"2009-05-06",24.0711
"2009-05-07",23.9098
"2009-05-08",23.9167
"2009-05-09",23.5569
"2009-05-10",23.839
"2009-05-11",23.9216
"2009-05-12",23.9027
"2009-05-13",23.7938
"2009-05-14",23.7666
"2009-05-15",23.4364
"2009-05-16",24.4389
"2009-05-17",23.9972
"2009-05-18",24.0521
"2009-05-19",24.7237
"2009-05-20",24.5871
"2009-05-21",24.0309
"2009-05-22",24.1212
"2009-05-23",24.2505
"2009-05-24",24.2249
"2009-05-25",23.3097
"2009-05-26",24.0187
"2009-05-27",23.8322
"2009-05-28",23.5196
"2009-05-29",23.4555
"2009-05-30",23.8816
"2009-05-31",23.9547
"2009-06-01",23.4323
"2009-06-02",23.0878
"2009-06-03",23.5219
"2009-06-04",23.7546
"2009-06-05",23.7087
"2009-06-06",21.9457
"2009-06-07",22.8107
"2009-06-08",22.5471
"2009-06-09",22.5572
"2009-06-10",23.2273
"2009-06-11",23.0035
"2009-06-12",22.7487
"2009-06-13",22.5432
"2009-06-14",22.9842
"2009-06-15",22.6103
"2009-06-16",22.7577
"2009-06-17",22.9757
"2009-06-18",22.7898
"2009-06-19",22.7602
"2009-06-20",22.7916
"2009-06-21",22.9009
"2009-06-22",23.0687
"2009-06-23",22.9027
"2009-06-24",23.1886
"2009-06-25",22.9858
"2009-06-26",22.6288
"2009-06-27",22.9956
"2009-06-28",22.909
"2009-06-29",23.0627
"2009-06-30",22.7844
"2009-07-01",21.7565
"2009-07-02",22.0975
"2009-07-03",22.1217
"2009-07-04",22.39
"2009-07-05",22.4484
"2009-07-06",22.3653
"2009-07-07",22.2004
"2009-07-08",21.7307
"2009-07-09",22.1475
"2009-07-10",22.1062
"2009-07-11",22.389
"2009-07-12",22.2716
"2009-07-13",21.9099
"2009-07-14",22.6316
"2009-07-15",22.9628
"2009-07-16",22.9513
"2009-07-17",22.9523
"2009-07-18",22.1376
"2009-07-19",22.4654
"2009-07-20",22.624
"2009-07-21",22.1839
"2009-07-22",21.936
"2009-07-23",21.9626
"2009-07-24",22.4232
"2009-07-25",22.341
"2009-07-26",22.5565
"2009-07-27",22.6177
"2009-07-28",22.1196
"2009-07-29",22.4334
"2009-07-30",23.1138
"2009-07-31",22.8356
"2009-08-01",22.4804
"2009-08-02",22.4004
"2009-08-03",22.1459
"2009-08-04",22.0201
"2009-08-05",21.7053
"2009-08-06",22.2574
"2009-08-07",22.3627
"2009-08-08",22.2021
"2009-08-09",22.0346
"2009-08-10",22.1049
"2009-08-11",23.3595
"2009-08-12",23.4587
"2009-08-13",23.708
"2009-08-14",24.0289
"2009-08-15",24.0257
"2009-08-16",24.0812
"2009-08-17",23.8879
"2009-08-18",23.543
"2009-08-19",23.666
"2009-08-20",23.6533
"2009-08-21",23.2492
"2009-08-22",22.7389
"2009-08-23",22.886
"2009-08-24",22.662
"2009-08-25",22.4575
"2009-08-26",22.86
"2009-08-27",23.3109
"2009-08-28",23.0898
"2009-08-29",23.1108
"2009-08-30",22.8802
"2009-08-31",23.3612
"2009-09-01",23.51
"2009-09-02",22.7943
"2009-09-03",22.5127
"2009-09-04",22.314
"2009-09-05",22.5323
"2009-09-06",22.4667
"2009-09-07",22.5925
"2009-09-08",22.5219
"2009-09-09",22.3551
"2009-09-10",22.1756
"2009-09-11",22.7404
"2009-09-12",23.1082
"2009-09-13",23.1014
"2009-09-14",22.0736
"2009-09-15",21.9964
"2009-09-16",22.4618
"2009-09-17",22.9997
"2009-09-18",23.1986
"2009-09-19",22.4951
"2009-09-20",22.6113
"2009-09-21",23.5008
"2009-09-22",22.8786
"2009-09-23",22.6091
"2009-09-24",22.0407
"2009-09-25",22.6968
"2009-09-26",22.2243
"2009-09-27",21.4938
"2009-09-28",22.1262
"2009-09-29",22.7857
"2009-09-30",22.3453
"2009-10-01",22.6389
"2009-10-02",22.5412
"2009-10-03",22.4152
"2009-10-04",21.4097
"2009-10-05",21.1733
"2009-10-06",20.9577
"2009-10-07",22.0193
"2009-10-08",22.005
"2009-10-09",22.1597
"2009-10-10",22.2469
"2009-10-11",22.8662
"2009-10-12",22.9317
"2009-10-13",22.6613
"2009-10-14",22.7392
"2009-10-15",21.2577
"2009-10-16",21.2787
"2009-10-17",22.529
"2009-10-18",22.9783
"2009-10-19",22.4905
"2009-10-20",23.3609
"2009-10-21",22.2092
"2009-10-22",21.5292
"2009-10-23",20.705
"2009-10-24",21.7157
"2009-10-25",21.7897
"2009-10-26",21.1847
"2009-10-27",21.6761
"2009-10-28",23.7933
"2009-10-29",24.0179
"2009-10-30",24.2905
"2009-10-31",24.2095
"2009-11-01",23.834
"2009-11-02",23.7862
"2009-11-03",23.9926
"2009-11-04",24.0608
"2009-11-05",24.1648
"2009-11-06",24.6093
"2009-11-07",24.5233
"2009-11-08",24.3885
"2009-11-09",24.2078
"2009-11-10",23.279
"2009-11-11",24.0255
"2009-11-12",24.4336
"2009-11-13",24.4993
"2009-11-14",24.285
"2009-11-15",23.8368
"2009-11-16",24.0541
"2009-11-17",24.0786
"2009-11-18",23.7049
"2009-11-19",24.1733
"2009-11-20",23.9635
"2009-11-21",24.1659
"2009-11-22",23.8568
"2009-11-23",23.57
"2009-11-24",23.8808
"2009-11-25",23.737
"2009-11-26",21.4319
"2009-11-27",21.204
"2009-11-28",23.0205
"2009-11-29",23.6466
"2009-11-30",23.9109
"2009-12-01",23.9401
"2009-12-02",23.9763
"2009-12-03",24.2694
"2009-12-04",23.4632
"2009-12-05",22.8297
"2009-12-06",23.2842
"2009-12-07",23.5919
"2009-12-08",23.8956
"2009-12-09",23.7072
"2009-12-10",22.7872
"2009-12-11",23.9817
"2009-12-12",24.1606
