,"(deg C) Mean Dew Point Temperature (ERA5) at Kandy, 2007-01-01 to 2025-12-31"
"2007-04-06",21.5308
"2007-04-07",22.1359
"2007-04-08",22.1898
"2007-04-09",22.287
"2007-04-10",22.2324
"2007-04-11",22.0514
"2007-04-12",22.5768
"2007-04-13",22.3603
"2007-04-14",22.3495
"2007-04-15",22.2325
"2007-04-16",21.9069
"2007-04-17",22.0807
"2007-04-18",22.1125
"2007-04-19",22.4251
"2007-04-20",22.0862
"2007-04-21",21.9392
"2007-04-22",22.2404
"2007-04-23",22.5323
"2007-04-24",22.6546
"2007-04-25",22.3854
"2007-04-26",21.9926
"2007-04-27",21.8201
"2007-04-28",22.0445
"2007-04-29",22.0251
"2007-04-30",22.5864
"2007-05-01",22.4922
"2007-05-02",23.1194
"2007-05-03",21.9536
"2007-05-04",22.3746
"2007-05-05",22.9635
"2007-05-06",22.9948
"2007-05-07",22.8838
"2007-05-08",23.0435
"2007-05-09",22.4504
"2007-05-10",22.7466
"2007-05-11",23.3864
"2007-05-12",22.839
"2007-05-13",21.9965
"2007-05-14",20.9638
"2007-05-15",19.2156
"2007-05-16",19.2814
"2007-05-17",19.7579
"2007-05-18",21.7762
"2007-05-19",22.3007
"2007-05-20",22.4473
"2007-05-21",22.6911
"2007-05-22",22.6665
"2007-05-23",22.9839
"2007-05-24",22.4675
"2007-05-25",22.3181
"2007-05-26",22.1318
"2007-05-27",22.6566
"2007-05-28",21.4928
"2007-05-29",21.1052
"2007-05-30",21.8715
"2007-05-31",21.4099
"2007-06-01",21.8932
"2007-06-02",22.3054
"2007-06-03",22.3265
"2007-06-04",21.957
"2007-06-05",22.5258
"2007-06-06",22.6212
"2007-06-07",22.379
"2007-06-08",21.5282
"2007-06-09",21.5574
"2007-06-10",22.3676
"2007-06-11",22.3287
"2007-06-12",22.1083
"2007-06-13",22.4012
"2007-06-14",21.4702
"2007-06-15",21.579
"2007-06-16",21.7862
"2007-06-17",21.3585
"2007-06-18",20.8864
"2007-06-19",21.585
"2007-06-20",21.3892
"2007-06-21",21.5672
"2007-06-22",21.0905
"2007-06-23",21.4673
"2007-06-24",22.033
"2007-06-25",21.8878
"2007-06-26",21.6613
"2007-06-27",21.7434
"2007-06-28",21.8756
"2007-06-29",21.6971
"2007-06-30",22.0396
"2007-07-01",21.9427
"2007-07-02",21.373
"2007-07-03",21.8238
"2007-07-04",21.1301
"2007-07-05",21.6819
"2007-07-06",22.0198
"2007-07-07",21.3115
"2007-07-08",21.115
"2007-07-09",21.3025
"2007-07-10",20.8831
"2007-07-11",21.6177
"2007-07-12",21.9368
"2007-07-13",22.1254
"2007-07-14",21.8072
"2007-07-15",21.4163
"2007-07-16",22.2007
"2007-07-17",21.7348
"2007-07-18",21.6931
"2007-07-19",21.7414
"2007-07-20",21.0722
"2007-07-21",20.3277
"2007-07-22",20.839
"2007-07-23",21.2933
"2007-07-24",21.3136
"2007-07-25",19.9193
"2007-07-26",20.6608
"2007-07-27",20.481
"2007-07-28",21.1197
"2007-07-29",21.3773
"2007-07-30",21.1465
"2007-07-31",20.9755
"2007-08-01",20.3429
"2007-08-02",20.5701
"2007-08-03",20.8114
"2007-08-04",20.9878
"2007-08-05",21.1456
"2007-08-06",20.6356
"2007-08-07",20.9277
"2007-08-08",20.9756
"2007-08-09",21.2308
"2007-08-10",21.7024
"2007-08-11",21.5697
"2007-08-12",21.446
"2007-08-13",20.9929
"2007-08-14",20.4758
"2007-08-15",20.8074
"2007-08-16",21.0937
"2007-08-17",20.9167
"2007-08-18",21.1085
"2007-08-19",20.9399
"2007-08-20",20.9758
"2007-08-21",21.3238
"2007-08-22",20.8599
"2007-08-23",21.4604
"2007-08-24",21.2597
"2007-08-25",21.2259
"2007-08-26",20.7722
"2007-08-27",20.632
"2007-08-28",21.2707
"2007-08-29",21.0964
"2007-08-30",21.1693
"2007-08-31",20.5138
"2007-09-01",20.3413
"2007-09-02",21.0765
"2007-09-03",20.7074
"2007-09-04",21.2824
"2007-09-05",21.6932
"2007-09-06",21.1503
"2007-09-07",22.2581
"2007-09-08",22.2644
"2007-09-09",20.4843
"2007-09-10",20.7904
"2007-09-11",21.565
"2007-09-12",21.3186
"2007-09-13",21.0875
"2007-09-14",21.3329
"2007-09-15",21.6946
"2007-09-16",22.0604
"2007-09-17",21.9855
"2007-09-18",21.7481
"2007-09-19",21.8835
"2007-09-20",21.9078
"2007-09-21",21.9707
"2007-09-22",21.6183
"2007-09-23",21.5141
"2007-09-24",21.2687
"2007-09-25",21.2455
"2007-09-26",21.3089
"2007-09-27",21.3328
"2007-09-28",21.5546
"2007-09-29",20.7965
"2007-09-30",20.3139
"2007-10-01",20.9398
"2007-10-02",21.302
"2007-10-03",21.3904
"2007-10-04",21.442
"2007-10-05",21.204
"2007-10-06",20.9036
"2007-10-07",21.1603
"2007-10-08",20.9805
"2007-10-09",20.9802
"2007-10-10",21.4499
"2007-10-11",21.6536
"2007-10-12",21.3452
"2007-10-13",21.3577
"2007-10-14",21.5896
"2007-10-15",21.5374
"2007-10-16",21.7429
"2007-10-17",21.5068
"2007-10-18",21.0818
"2007-10-19",21.2836
"2007-10-20",20.0151
"2007-10-21",20.1443
"2007-10-22",20.2786
"2007-10-23",20.8373
"2007-10-24",21.673
"2007-10-25",21.9006
"2007-10-26",21.2245
"2007-10-27",20.8262
"2007-10-28",21.2381
"2007-10-29",20.8102
"2007-10-30",20.4917
"2007-10-31",20.6576
"2007-11-01",21.0504
"2007-11-02",21.1853
"2007-11-03",21.4661
"2007-11-04",21.4832
"2007-11-05",21.9743
"2007-11-06",21.4615
"2007-11-07",21.2776
"2007-11-08",21.0893
"2007-11-09",20.914
"2007-11-10",20.0773
"2007-11-11",20.9912
"2007-11-12",21.129
"2007-11-13",20.9163
"2007-11-14",18.802
"2007-11-15",18.2558
"2007-11-16",18.2079
"2007-11-17",16.9942
"2007-11-18",19.6655
"2007-11-19",20.8048
"2007-11-20",21.6062
"2007-11-21",21.3633
"2007-11-22",21.5504
"2007-11-23",21.8624
"2007-11-24",21.7058
"2007-11-25",19.6848
"2007-11-26",18.8243
"2007-11-27",19.883
"2007-11-28",20.6184
"2007-11-29",20.0078
"2007-11-30",18.3262
"2007-12-01",19.1744
"2007-12-02",20.0353
"2007-12-03",18.8651
"2007-12-04",19.9134
"2007-12-05",18.9367
"2007-12-06",19.087
"2007-12-07",20.3595
"2007-12-08",20.7461
"2007-12-09",20.4692
"2007-12-10",20.1782
"2007-12-11",19.6878
"2007-12-12",20.6137
"2007-12-13",21.696
"2007-12-14",21.912
"2007-12-15",21.2624
"2007-12-16",21.1413
"2007-12-17",21.6434
"2007-12-18",22.0004
"2007-12-19",21.8685
"2007-12-20",21.788
"2007-12-21",21.275
"2007-12-22",20.971
"2007-12-23",20.7593
"2007-12-24",20.9978
"2007-12-25",18.5369
"2007-12-26",16.8651
"2007-12-27",18.1803
"2007-12-28",19.1985
"2007-12-29",18.3262
"2007-12-30",17.804
"2007-12-31",17.7293
"2008-01-01",18.8273
"2008-01-02",20.0768
"2008-01-03",21.2505
"2008-01-04",20.9022
"2008-01-05",20.9863
"2008-01-06",20.9488
"2008-01-07",20.9655
"2008-01-08",21.3472
"2008-01-09",21.5354
"2008-01-10",21.5153
"2008-01-11",21.494
"2008-01-12",21.3935
"2008-01-13",21.006
"2008-01-14",18.3383
"2008-01-15",17.4939
"2008-01-16",18.1837
"2008-01-17",18.0886
"2008-01-18",17.8671
"2008-01-19",17.593
"2008-01-20",19.6818
"2008-01-21",21.4609
"2008-01-22",20.4821
"2008-01-23",18.5663
"2008-01-24",19.7115
"2008-01-25",20.4835
"2008-01-26",20.708
"2008-01-27",20.8065
"2008-01-28",20.2687
"2008-01-29",20.127
"2008-01-30",19.7291
"2008-01-31",19.9108
"2008-02-01",20.0935
"2008-02-02",20.6276
"2008-02-03",19.3471
"2008-02-04",19.0536
"2008-02-05",19.7988
"2008-02-06",21.479
"2008-02-07",21.3996
"2008-02-08",21.3611
"2008-02-09",21.8457
"2008-02-10",21.5253
"2008-02-11",21.1306
"2008-02-12",20.874
"2008-02-13",20.8206
"2008-02-14",20.4434
"2008-02-15",20.8279
"2008-02-16",20.6935
"2008-02-17",19.3552
"2008-02-18",18.6565
"2008-02-19",19.5722
"2008-02-20",20.4101
"2008-02-21",20.1916
"2008-02-22",18.3773
"2008-02-23",16.2335
"2008-02-24",15.6112
"2008-02-25",14.6662
"2008-02-26",18.5106
"2008-02-27",21.2643
"2008-02-28",21.0113
"2008-02-29",21.324
"2008-03-01",20.5243
"2008-03-02",20.6637
"2008-03-03",20.6896
"2008-03-04",20.4603
"2008-03-05",21.0633
"2008-03-06",20.5244
"2008-03-07",19.4638
"2008-03-08",18.4049
"2008-03-09",20.7898
"2008-03-10",21.2754
"2008-03-11",21.289
"2008-03-12",21.4602
"2008-03-13",21.474
"2008-03-14",21.3816
"2008-03-15",21.3814
"2008-03-16",21.3461
"2008-03-17",21.5836
"2008-03-18",21.4616
"2008-03-19",21.5515
"2008-03-20",21.7564
"2008-03-21",22.0044
"2008-03-22",22.0481
"2008-03-23",22.2666
"2008-03-24",21.6145
"2008-03-25",21.0188
"2008-03-26",20.7311
"2008-03-27",21.1841
"2008-03-28",21.0697
"2008-03-29",21.8438
"2008-03-30",22.0893
"2008-03-31",21.4913
"2008-04-01",21.5999
"2008-04-02",20.9896
"2008-04-03",21.0594
"2008-04-04",21.2624
"2008-04-05",21.0757
"2008-04-06",21.0988
"2008-04-07",21.1289
"2008-04-08",21.1163
"2008-04-09",20.8439
"2008-04-10",21.4513
"2008-04-11",22.179
"2008-04-12",21.3061
"2008-04-13",21.7081
"2008-04-14",21.6967
"2008-04-15",21.641
"2008-04-16",21.9664
"2008-04-17",21.2866
"2008-04-18",21.941
"2008-04-19",21.8276
"2008-04-20",21.6081
"2008-04-21",22.1754
"2008-04-22",22.0726
"2008-04-23",22.4227
"2008-04-24",21.8391
"2008-04-25",21.4451
"2008-04-26",21.8863
"2008-04-27",21.9607
"2008-04-28",21.5554
"2008-04-29",22.1087
"2008-04-30",22.9333
"2008-05-01",22.8396
"2008-05-02",22.4552
"2008-05-03",22.479
"2008-05-04",22.484
"2008-05-05",22.0264
"2008-05-06",22.209
"2008-05-07",21.7564
"2008-05-08",21.8249
"2008-05-09",20.4302
"2008-05-10",20.9261
"2008-05-11",22.5592
"2008-05-12",22.1036
"2008-05-13",21.6495
"2008-05-14",21.5802
"2008-05-15",21.8215
"2008-05-16",22.2561
"2008-05-17",22.1477
"2008-05-18",22.6854
"2008-05-19",22.0274
"2008-05-20",21.8986
"2008-05-21",21.6737
"2008-05-22",21.7982
"2008-05-23",21.8592
"2008-05-24",21.4824
"2008-05-25",21.7441
"2008-05-26",21.6224
"2008-05-27",21.019
"2008-05-28",22.0482
"2008-05-29",21.2589
"2008-05-30",21.6308
"2008-05-31",21.5485
"2008-06-01",21.129
"2008-06-02",20.7228
"2008-06-03",20.4926
"2008-06-04",21.4012
"2008-06-05",21.3996
"2008-06-06",21.6309
"2008-06-07",21.6309
"2008-06-08",21.8344
"2008-06-09",22.0605
"2008-06-10",21.3698
"2008-06-11",21.2067
"2008-06-12",21.3912
"2008-06-13",21.0517
"2008-06-14",21.1539
"2008-06-15",21.2145
"2008-06-16",20.8564
"2008-06-17",19.8014
"2008-06-18",20.9303
"2008-06-19",20.9798
"2008-06-20",21.0784
"2008-06-21",21.4825
"2008-06-22",21.3606
"2008-06-23",21.2952
"2008-06-24",21.102
"2008-06-25",21.4935
"2008-06-26",21.3976
"2008-06-27",20.6826
"2008-06-28",19.722
"2008-06-29",20.8576
"2008-06-30",21.0505
"2008-07-01",20.8488
"2008-07-02",19.7763
"2008-07-03",19.794
"2008-07-04",21.3639
"2008-07-05",21.4535
"2008-07-06",21.3626
"2008-07-07",21.2731
"2008-07-08",21.0774
"2008-07-09",20.9448
"2008-07-10",21.2206
"2008-07-11",20.4434
"2008-07-12",20.8035
"2008-07-13",20.1711
"2008-07-14",21.0835
"2008-07-15",21.3589
"2008-07-16",20.8219
"2008-07-17",20.679
"2008-07-18",21.0925
"2008-07-19",21.5334
"2008-07-20",20.8309
"2008-07-21",21.105
"2008-07-22",21.0698
"2008-07-23",21.4642
"2008-07-24",20.9967
"2008-07-25",21.0498
"2008-07-26",21.1059
"2008-07-27",20.7095
"2008-07-28",20.8102
"2008-07-29",20.051
"2008-07-30",20.0578
"2008-07-31",20.2414
"2008-08-01",20.8135
"2008-08-02",21.1166
"2008-08-03",21.5768
"2008-08-04",21.2225
"2008-08-05",21.1704
"2008-08-06",20.5196
"2008-08-07",20.3893
"2008-08-08",20.2267
"2008-08-09",20.7096
"2008-08-10",20.9019
"2008-08-11",20.9033
"2008-08-12",20.3909
"2008-08-13",20.5516
"2008-08-14",20.9115
"2008-08-15",21.1084
"2008-08-16",20.8103
"2008-08-17",20.193
"2008-08-18",20.6709
"2008-08-19",20.6377
"2008-08-20",20.5473
"2008-08-21",20.7844
"2008-08-22",20.3255
"2008-08-23",20.6918
"2008-08-24",20.3155
"2008-08-25",20.9799
"2008-08-26",21.0581
"2008-08-27",20.9704
"2008-08-28",21.2395
"2008-08-29",21.1391
"2008-08-30",20.7279
"2008-08-31",20.3758
"2008-09-01",20.7454
"2008-09-02",20.6051
"2008-09-03",20.316
"2008-09-04",21.1061
"2008-09-05",20.8272
"2008-09-06",20.8603
"2008-09-07",20.2786
"2008-09-08",19.915
"2008-09-09",20.653
"2008-09-10",20.7985
"2008-09-11",21.1341
"2008-09-12",21.6331
"2008-09-13",21.21
"2008-09-14",20.4942
"2008-09-15",20.3781
"2008-09-16",20.5001
"2008-09-17",20.2031
"2008-09-18",20.4855
"2008-09-19",20.1908
"2008-09-20",19.955
"2008-09-21",20.0599
"2008-09-22",20.5483
"2008-09-23",20.213
"2008-09-24",20.369
"2008-09-25",19.4624
"2008-09-26",20.44
"2008-09-27",20.4709
"2008-09-28",20.5769
"2008-09-29",20.2164
"2008-09-30",17.8598
"2008-10-01",18.1375
"2008-10-02",19.5133
"2008-10-03",19.127
"2008-10-04",19.4586
"2008-10-05",20.1095
"2008-10-06",20.7913
"2008-10-07",20.9463
"2008-10-08",20.9858
"2008-10-09",20.9778
"2008-10-10",21.3871
"2008-10-11",21.426
"2008-10-12",21.4327
"2008-10-13",21.7312
"2008-10-14",21.6514
"2008-10-15",21.9398
"2008-10-16",22.3332
"2008-10-17",22.2704
"2008-10-18",22.0867
"2008-10-19",21.9632
"2008-10-20",22.296
"2008-10-21",22.173
"2008-10-22",21.2111
"2008-10-23",21.1074
"2008-10-24",21.2935
"2008-10-25",20.8196
"2008-10-26",21.8288
"2008-10-27",21.9791
"2008-10-28",21.4776
"2008-10-29",21.0499
"2008-10-30",19.68
"2008-10-31",19.5336
"2008-11-01",17.5727
"2008-11-02",17.8238
"2008-11-03",17.852
"2008-11-04",19.0438
"2008-11-05",17.4015
"2008-11-06",17.3837
"2008-11-07",18.5391
"2008-11-08",20.3993
"2008-11-09",21.3315
"2008-11-10",21.479
"2008-11-11",21.7481
"2008-11-12",21.4584
"2008-11-13",21.731
"2008-11-14",21.2258
"2008-11-15",20.864
"2008-11-16",20.3845
"2008-11-17",19.9887
"2008-11-18",20.5359
"2008-11-19",21.3036
"2008-11-20",22.1195
"2008-11-21",21.777
"2008-11-22",21.9126
"2008-11-23",21.8594
"2008-11-24",21.8089
"2008-11-25",21.8829
"2008-11-26",21.2849
"2008-11-27",21.7453
"2008-11-28",21.5984
"2008-11-29",22.0044
"2008-11-30",21.4873
"2008-12-01",21.1847
"2008-12-02",21.4773
"2008-12-03",19.9565
"2008-12-04",21.0842
"2008-12-05",21.4667
"2008-12-06",21.1823
"2008-12-07",20.3644
"2008-12-08",21.7944
"2008-12-09",22.2141
"2008-12-10",22.1259
"2008-12-11",22.0449
"2008-12-12",21.231
"2008-12-13",19.5936
"2008-12-14",20.5095
"2008-12-15",21.0013
"2008-12-16",21.0125
"2008-12-17",21.2098
"2008-12-18",21.1006
"2008-12-19",21.8081
"2008-12-20",21.631
"2008-12-21",19.9129
"2008-12-22",18.4009
"2008-12-23",19.604
"2008-12-24",20.2575
"2008-12-25",20.3851
"2008-12-26",19.5285
"2008-12-27",18.7535
"2008-12-28",19.1336
"2008-12-29",17.4882
"2008-12-30",16.8671
"2008-12-31",16.5726
"2009-01-01",16.2059
"2009-01-02",17.1265
"2009-01-03",17.3569
"2009-01-04",19.2022
"2009-01-05",19.7871
"2009-01-06",18.7093
"2009-01-07",20.3454
"2009-01-08",20.1081
"2009-01-09",21.1229
"2009-01-10",20.3303
"2009-01-11",18.9429
"2009-01-12",18.5889
"2009-01-13",19.3571
"2009-01-14",19.2343
"2009-01-15",18.5458
"2009-01-16",17.8154
"2009-01-17",18.4429
"2009-01-18",18.3082
"2009-01-19",17.9777
"2009-01-20",18.7891
"2009-01-21",17.2514
"2009-01-22",16.8463
"2009-01-23",17.6244
"2009-01-24",17.1846
"2009-01-25",20.0985
"2009-01-26",21.7658
"2009-01-27",21.1173
"2009-01-28",20.8674
"2009-01-29",18.8711
"2009-01-30",15.033
"2009-01-31",17.2093
"2009-02-01",17.9549
"2009-02-02",18.1793
"2009-02-03",16.2092
"2009-02-04",16.4335
"2009-02-05",15.6621
"2009-02-06",16.2532
"2009-02-07",15.6992
"2009-02-08",16.1159
"2009-02-09",15.7377
"2009-02-10",17.1236
"2009-02-11",17.3474
"2009-02-12",14.2531
"2009-02-13",12.4176
"2009-02-14",13.6849
"2009-02-15",15.6104
"2009-02-16",17.2543
"2009-02-17",16.6654
"2009-02-18",16.2277
"2009-02-19",18.6818
"2009-02-20",20.0594
"2009-02-21",20.1473
"2009-02-22",20.7018
"2009-02-23",20.9997
"2009-02-24",21.5904
"2009-02-25",20.2837
"2009-02-26",19.7908
"2009-02-27",18.8044
"2009-02-28",18.0865
"2009-03-01",15.3871
"2009-03-02",11.6677
"2009-03-03",10.8849
"2009-03-04",16.5141
"2009-03-05",18.0983
"2009-03-06",18.7115
"2009-03-07",18.6822
"2009-03-08",20.036
"2009-03-09",21.5475
"2009-03-10",21.3235
"2009-03-11",21.1832
"2009-03-12",21.2986
"2009-03-13",21.3871
"2009-03-14",20.9109
"2009-03-15",21.1129
"2009-03-16",20.4998
"2009-03-17",20.6997
"2009-03-18",20.7977
"2009-03-19",21.6024
"2009-03-20",20.927
"2009-03-21",20.3065
"2009-03-22",20.303
"2009-03-23",21.0971
"2009-03-24",20.8036
"2009-03-25",21.1693
"2009-03-26",21.3715
"2009-03-27",21.2788
"2009-03-28",21.4483
"2009-03-29",21.4071
"2009-03-30",20.9452
"2009-03-31",21.5797
"2009-04-01",21.8152
"2009-04-02",21.1044
"2009-04-03",21.2072
"2009-04-04",21.8582
"2009-04-05",21.866
"2009-04-06",21.9716
"2009-04-07",21.6688
"2009-04-08",21.9458
"2009-04-09",21.9443
"2009-04-10",21.7596
"2009-04-11",22.3828
"2009-04-12",22.6313
"2009-04-13",21.768
"2009-04-14",22.113
"2009-04-15",22.4342
"2009-04-16",22.47
"2009-04-17",22.6239
"2009-04-18",22.777
"2009-04-19",22.7237
"2009-04-20",21.9562
"2009-04-21",21.4246
"2009-04-22",22.3151
"2009-04-23",22.3368
"2009-04-24",22.3453
"2009-04-25",22.0909
"2009-04-26",21.6067
"2009-04-27",21.436
"2009-04-28",21.3415
"2009-04-29",21.2564
"2009-04-30",20.8587
"2009-05-01",21.2849
"2009-05-02",22.3238
"2009-05-03",22.9439
"2009-05-04",21.503
"2009-05-05",21.6616
"2009-05-06",21.8502
"2009-05-07",22.3771
"2009-05-08",22.0758
"2009-05-09",22.2638
"2009-05-10",22.2369
"2009-05-11",22.4476
"2009-05-12",22.2877
"2009-05-13",22.3971
"2009-05-14",22.4847
"2009-05-15",22.8625
"2009-05-16",22.6417
"2009-05-17",22.0055
"2009-05-18",21.8316
"2009-05-19",22.3645
"2009-05-20",22.1256
"2009-05-21",22.0874
"2009-05-22",22.6287
"2009-05-23",22.7799
"2009-05-24",23.0362
"2009-05-25",21.9395
"2009-05-26",22.614
"2009-05-27",22.1285
"2009-05-28",22.033
"2009-05-29",22.0859
"2009-05-30",22.3383
"2009-05-31",22.3386
"2009-06-01",21.8496
"2009-06-02",21.6595
"2009-06-03",22.2593
"2009-06-04",22.5864
"2009-06-05",22.1878
"2009-06-06",20.3257
"2009-06-07",21.8833
"2009-06-08",21.6552
"2009-06-09",21.4776
"2009-06-10",21.813
"2009-06-11",21.649
"2009-06-12",20.8567
"2009-06-13",20.9363
"2009-06-14",21.4028
"2009-06-15",21.5185
"2009-06-16",21.8402
"2009-06-17",21.7024
"2009-06-18",21.4177
"2009-06-19",21.2737
"2009-06-20",21.1743
"2009-06-21",21.3131
"2009-06-22",21.3189
"2009-06-23",21.2994
"2009-06-24",21.9622
"2009-06-25",22.2532
"2009-06-26",21.1515
"2009-06-27",21.5071
"2009-06-28",21.4517
"2009-06-29",21.6136
"2009-06-30",21.4774
"2009-07-01",21.1601
"2009-07-02",21.425
"2009-07-03",21.0937
"2009-07-04",21.105
"2009-07-05",21.2109
"2009-07-06",20.7132
"2009-07-07",20.9038
"2009-07-08",20.5991
"2009-07-09",20.4947
"2009-07-10",20.6197
"2009-07-11",20.6027
"2009-07-12",20.8427
"2009-07-13",21.1115
"2009-07-14",21.5604
"2009-07-15",21.0853
"2009-07-16",21.0769
"2009-07-17",20.2538
"2009-07-18",20.3879
"2009-07-19",20.7787
"2009-07-20",21.1487
"2009-07-21",21.228
"2009-07-22",20.8404
"2009-07-23",20.7853
"2009-07-24",21.2689
"2009-07-25",21.1176
"2009-07-26",21.2756
"2009-07-27",21.058
"2009-07-28",20.6341
"2009-07-29",20.7856
"2009-07-30",21.1855
"2009-07-31",21.1369
"2009-08-01",21.1768
"2009-08-02",21.0192
"2009-08-03",20.7212
"2009-08-04",21.1948
"2009-08-05",21.0668
"2009-08-06",21.4155
"2009-08-07",21.1278
"2009-08-08",20.7266
"2009-08-09",20.8492
"2009-08-10",20.6811
"2009-08-11",20.9933
"2009-08-12",20.9831
"2009-08-13",21.5176
"2009-08-14",21.7649
"2009-08-15",21.3358
"2009-08-16",21.5803
"2009-08-17",20.8418
"2009-08-18",21.2643
"2009-08-19",21.6159
"2009-08-20",21.7323
"2009-08-21",21.2004
"2009-08-22",20.678
"2009-08-23",20.7364
"2009-08-24",20.8692
"2009-08-25",20.7106
"2009-08-26",21.2256
"2009-08-27",21.7841
"2009-08-28",21.8561
"2009-08-29",21.2595
"2009-08-30",21.0756
"2009-08-31",21.1466
"2009-09-01",21.514
"2009-09-02",21.5532
"2009-09-03",21.5894
"2009-09-04",21.4977
"2009-09-05",21.4182
"2009-09-06",21.4945
"2009-09-07",21.5321
"2009-09-08",21.5602
"2009-09-09",21.1735
"2009-09-10",20.8758
"2009-09-11",20.7257
"2009-09-12",21.2024
"2009-09-13",21.8597
"2009-09-14",20.5015
"2009-09-15",20.6142
"2009-09-16",20.8807
"2009-09-17",21.0288
"2009-09-18",20.796
"2009-09-19",20.8148
"2009-09-20",21.2779
"2009-09-21",21.3045
"2009-09-22",20.4566
"2009-09-23",20.8792
"2009-09-24",20.7318
"2009-09-25",20.6922
"2009-09-26",20.5389
"2009-09-27",20.763
"2009-09-28",21.3059
"2009-09-29",21.6172
"2009-09-30",21.6002
"2009-10-01",21.5872
"2009-10-02",21.3208
"2009-10-03",21.2472
"2009-10-04",20.6349
"2009-10-05",19.6684
"2009-10-06",20.1608
"2009-10-07",20.7047
"2009-10-08",20.7054
"2009-10-09",20.7029
"2009-10-10",20.7619
"2009-10-11",20.9839
"2009-10-12",21.5228
"2009-10-13",21.0975
"2009-10-14",21.3661
"2009-10-15",20.5023
"2009-10-16",21.1352
"2009-10-17",20.995
"2009-10-18",21.8609
"2009-10-19",21.89
"2009-10-20",21.6904
"2009-10-21",20.757
"2009-10-22",19.5692
"2009-10-23",19.1309
"2009-10-24",19.9893
"2009-10-25",20.3689
"2009-10-26",20.6018
"2009-10-27",21.3666
"2009-10-28",21.7634
"2009-10-29",21.8032
"2009-10-30",21.528
"2009-10-31",21.4365
"2009-11-01",21.4848
"2009-11-02",20.8539
"2009-11-03",21.7378
"2009-11-04",21.8989
"2009-11-05",22.089
"2009-11-06",22.4489
"2009-11-07",22.0608
"2009-11-08",22.065
"2009-11-09",21.9115
"2009-11-10",20.8673
"2009-11-11",21.6654
"2009-11-12",21.9454
"2009-11-13",22.1123
"2009-11-14",21.8755
"2009-11-15",21.5198
"2009-11-16",21.9295
"2009-11-17",21.9479
"2009-11-18",21.5911
"2009-11-19",21.1508
"2009-11-20",21.3516
"2009-11-21",21.6031
"2009-11-22",21.5487
"2009-11-23",21.2557
"2009-11-24",21.206
"2009-11-25",20.6804
"2009-11-26",19.4912
"2009-11-27",18.8563
"2009-11-28",20.564
"2009-11-29",21.3191
"2009-11-30",21.8652
"2009-12-01",21.8656
"2009-12-02",21.6091
"2009-12-03",21.6081
"2009-12-04",21.244
"2009-12-05",20.7955
"2009-12-06",20.9619
"2009-12-07",22.2276
"2009-12-08",22.1318
"2009-12-09",21.6341
"2009-12-10",21.2874
"2009-12-11",21.8468
"2009-12-12",22.1721
"2009-12-13",21.807
