,"(deg C) Mean Dew Point Temperature (ERA5) at Nuwara Eliya, 2007-01-01 to 2025-12-31"
"2007-12-22",20.4985
"2007-12-23",20.176
"2007-12-24",20.7552
"2007-12-25",18.8962
"2007-12-26",16.7982
"2007-12-27",17.7744
"2007-12-28",18.7068
"2007-12-29",17.9705
"2007-12-30",17.2358
"2007-12-31",17.2809
"2008-01-01",18.3877
"2008-01-02",19.7327
"2008-01-03",20.9259
"2008-01-04",20.5079
"2008-01-05",20.451
"2008-01-06",20.4722
"2008-01-07",20.6221
"2008-01-08",20.9771
"2008-01-09",21.1124
"2008-01-10",21.0656
"2008-01-11",21.046
"2008-01-12",20.8948
"2008-01-13",20.4804
"2008-01-14",17.7426
"2008-01-15",16.8672
"2008-01-16",17.586
"2008-01-17",17.4424
"2008-01-18",17.5258
"2008-01-19",17.6958
"2008-01-20",19.3425
"2008-01-21",20.9294
"2008-01-22",19.86
"2008-01-23",18.3736
"2008-01-24",19.2291
"2008-01-25",20.0066
"2008-01-26",20.2947
"2008-01-27",20.2331
"2008-01-28",19.7575
"2008-01-29",19.5935
"2008-01-30",19.4526
"2008-01-31",19.5538
"2008-02-01",19.7255
"2008-02-02",20.2186
"2008-02-03",19.233
"2008-02-04",18.8517
"2008-02-05",19.3698
"2008-02-06",20.8709
"2008-02-07",20.9387
"2008-02-08",20.8829
"2008-02-09",21.3448
"2008-02-10",21.0602
"2008-02-11",20.7002
"2008-02-12",20.3544
"2008-02-13",20.2552
"2008-02-14",19.8165
"2008-02-15",20.43
"2008-02-16",20.0999
"2008-02-17",18.6787
"2008-02-18",18.2089
"2008-02-19",19.3975
"2008-02-20",19.9694
"2008-02-21",19.6285
"2008-02-22",17.9596
"2008-02-23",16.0084
"2008-02-24",15.3181
"2008-02-25",14.1114
"2008-02-26",17.8386
"2008-02-27",20.7955
"2008-02-28",20.6045
"2008-02-29",20.856
"2008-03-01",20.2716
"2008-03-02",20.0733
"2008-03-03",20.231
"2008-03-04",20.0478
"2008-03-05",20.5252
"2008-03-06",20.0525
"2008-03-07",19.0079
"2008-03-08",17.9505
"2008-03-09",20.3825
"2008-03-10",20.7225
"2008-03-11",20.7159
"2008-03-12",20.9043
"2008-03-13",20.9838
"2008-03-14",20.9077
"2008-03-15",20.8434
"2008-03-16",20.8747
"2008-03-17",21.0681
"2008-03-18",20.8712
"2008-03-19",20.8742
"2008-03-20",21.1317
"2008-03-21",21.4625
"2008-03-22",21.4581
"2008-03-23",21.7445
"2008-03-24",21.1448
"2008-03-25",20.5472
"2008-03-26",20.2373
"2008-03-27",20.7555
"2008-03-28",20.6704
"2008-03-29",21.3405
"2008-03-30",21.6745
"2008-03-31",21.0211
"2008-04-01",21.1526
"2008-04-02",20.5213
"2008-04-03",20.6298
"2008-04-04",20.7353
"2008-04-05",20.6163
"2008-04-06",20.5878
"2008-04-07",20.5466
"2008-04-08",20.637
"2008-04-09",20.4106
"2008-04-10",20.939
"2008-04-11",21.6729
"2008-04-12",20.8144
"2008-04-13",21.0664
"2008-04-14",21.224
"2008-04-15",21.1767
"2008-04-16",21.5013
"2008-04-17",20.765
"2008-04-18",21.3528
"2008-04-19",21.3467
"2008-04-20",21.3587
"2008-04-21",21.675
"2008-04-22",21.5727
"2008-04-23",21.9245
"2008-04-24",21.3886
"2008-04-25",20.999
"2008-04-26",21.4717
"2008-04-27",21.5581
"2008-04-28",21.0778
"2008-04-29",21.7516
"2008-04-30",22.6668
"2008-05-01",22.5255
"2008-05-02",22.1445
"2008-05-03",22.1641
"2008-05-04",22.166
"2008-05-05",21.684
"2008-05-06",21.8627
"2008-05-07",21.3957
"2008-05-08",21.4892
"2008-05-09",20.0948
"2008-05-10",20.5819
"2008-05-11",22.2208
"2008-05-12",21.8294
"2008-05-13",21.3213
"2008-05-14",21.2231
"2008-05-15",21.5175
"2008-05-16",21.941
"2008-05-17",21.8637
"2008-05-18",22.4394
"2008-05-19",21.7128
"2008-05-20",21.6391
"2008-05-21",21.4363
"2008-05-22",21.5867
"2008-05-23",21.6089
"2008-05-24",21.158
"2008-05-25",21.4092
"2008-05-26",21.2835
"2008-05-27",20.696
"2008-05-28",21.7196
"2008-05-29",21.0624
"2008-05-30",21.2522
"2008-05-31",21.2689
"2008-06-01",20.7895
"2008-06-02",20.4302
"2008-06-03",20.1784
"2008-06-04",21.0196
"2008-06-05",21.0461
"2008-06-06",21.289
"2008-06-07",21.289
"2008-06-08",21.5022
"2008-06-09",21.7074
"2008-06-10",20.9715
"2008-06-11",20.9086
"2008-06-12",21.037
"2008-06-13",20.848
"2008-06-14",20.7782
"2008-06-15",20.7868
"2008-06-16",20.4815
"2008-06-17",19.4976
"2008-06-18",20.5465
"2008-06-19",20.7935
"2008-06-20",20.7835
"2008-06-21",21.1945
"2008-06-22",21.1189
"2008-06-23",21.0296
"2008-06-24",20.7744
"2008-06-25",21.1474
"2008-06-26",20.9197
"2008-06-27",20.3497
"2008-06-28",19.4298
"2008-06-29",20.5424
"2008-06-30",20.7385
"2008-07-01",20.5381
"2008-07-02",19.4011
"2008-07-03",19.7195
"2008-07-04",21.1394
"2008-07-05",21.1842
"2008-07-06",21.1471
"2008-07-07",20.9595
"2008-07-08",20.681
"2008-07-09",20.6943
"2008-07-10",20.9
"2008-07-11",20.1885
"2008-07-12",20.4331
"2008-07-13",19.8292
"2008-07-14",20.8827
"2008-07-15",21.1905
"2008-07-16",20.459
"2008-07-17",20.3818
"2008-07-18",20.7204
"2008-07-19",21.1485
"2008-07-20",20.4359
"2008-07-21",20.8791
"2008-07-22",20.8079
"2008-07-23",21.1089
"2008-07-24",20.5137
"2008-07-25",20.6757
"2008-07-26",20.7458
"2008-07-27",20.3463
"2008-07-28",20.4376
"2008-07-29",19.7019
"2008-07-30",19.8305
"2008-07-31",19.9417
"2008-08-01",20.542
"2008-08-02",20.791
"2008-08-03",21.2634
"2008-08-04",20.9823
"2008-08-05",20.8895
"2008-08-06",20.366
"2008-08-07",20.1554
"2008-08-08",20.0265
"2008-08-09",20.5449
"2008-08-10",20.6051
"2008-08-11",20.6171
"2008-08-12",20.1005
"2008-08-13",20.2732
"2008-08-14",20.6908
"2008-08-15",20.8498
"2008-08-16",20.4826
"2008-08-17",19.9923
"2008-08-18",20.4663
"2008-08-19",20.3925
"2008-08-20",20.3018
"2008-08-21",20.5955
"2008-08-22",20.0955
"2008-08-23",20.4253
"2008-08-24",20.0507
"2008-08-25",20.8373
"2008-08-26",20.7305
"2008-08-27",20.6228
"2008-08-28",20.8361
"2008-08-29",20.8404
"2008-08-30",20.3947
"2008-08-31",20.0433
"2008-09-01",20.2489
"2008-09-02",20.1751
"2008-09-03",19.9496
"2008-09-04",20.7664
"2008-09-05",20.4834
"2008-09-06",20.4338
"2008-09-07",19.9326
"2008-09-08",19.4948
"2008-09-09",20.2566
"2008-09-10",20.3303
"2008-09-11",20.7563
"2008-09-12",21.1766
"2008-09-13",20.7401
"2008-09-14",20.1563
"2008-09-15",20.1699
"2008-09-16",20.2141
"2008-09-17",19.9253
"2008-09-18",20.2397
"2008-09-19",19.9416
"2008-09-20",19.8011
"2008-09-21",19.9318
"2008-09-22",20.3447
"2008-09-23",19.9964
"2008-09-24",20.1468
"2008-09-25",19.3792
"2008-09-26",20.1926
"2008-09-27",20.3068
"2008-09-28",20.3857
"2008-09-29",19.9228
"2008-09-30",17.7106
"2008-10-01",17.9246
"2008-10-02",19.3617
"2008-10-03",18.9772
"2008-10-04",19.2007
"2008-10-05",19.897
"2008-10-06",20.4673
"2008-10-07",20.7191
"2008-10-08",20.611
"2008-10-09",20.4581
"2008-10-10",20.8763
"2008-10-11",20.9051
"2008-10-12",20.9579
"2008-10-13",21.1834
"2008-10-14",21.1667
"2008-10-15",21.349
"2008-10-16",21.845
"2008-10-17",21.8054
"2008-10-18",21.5288
"2008-10-19",21.4079
"2008-10-20",21.7786
"2008-10-21",21.5929
"2008-10-22",20.7568
"2008-10-23",20.7833
"2008-10-24",20.9583
"2008-10-25",20.412
"2008-10-26",21.4102
"2008-10-27",21.5237
"2008-10-28",21.0241
"2008-10-29",20.6573
"2008-10-30",19.4157
"2008-10-31",19.1294
"2008-11-01",17.3347
"2008-11-02",17.3664
"2008-11-03",17.3001
"2008-11-04",18.6824
"2008-11-05",17.1849
"2008-11-06",17.1374
"2008-11-07",18.4765
"2008-11-08",20.1627
"2008-11-09",20.9684
"2008-11-10",21.0189
"2008-11-11",21.2496
"2008-11-12",20.8495
"2008-11-13",21.2828
"2008-11-14",20.8216
"2008-11-15",20.2585
"2008-11-16",19.894
"2008-11-17",19.518
"2008-11-18",20.1136
"2008-11-19",20.8005
"2008-11-20",21.6403
"2008-11-21",21.1503
"2008-11-22",21.3238
"2008-11-23",21.3473
"2008-11-24",21.3091
"2008-11-25",21.3516
"2008-11-26",20.8514
"2008-11-27",21.2703
"2008-11-28",21.217
"2008-11-29",21.4892
"2008-11-30",20.8822
"2008-12-01",20.6656
"2008-12-02",21.0376
"2008-12-03",19.6907
"2008-12-04",20.7864
"2008-12-05",20.9997
"2008-12-06",20.6495
"2008-12-07",19.7776
"2008-12-08",21.3164
"2008-12-09",21.7194
"2008-12-10",21.4738
"2008-12-11",21.4482
"2008-12-12",20.7912
"2008-12-13",19.2338
"2008-12-14",19.8147
"2008-12-15",20.2962
"2008-12-16",20.6132
"2008-12-17",20.7384
"2008-12-18",20.6704
"2008-12-19",21.3205
"2008-12-20",21.2502
"2008-12-21",19.6034
"2008-12-22",17.9475
"2008-12-23",19.202
"2008-12-24",19.7359
"2008-12-25",19.7506
"2008-12-26",18.8593
"2008-12-27",18.3746
"2008-12-28",18.5879
"2008-12-29",17.119
"2008-12-30",16.749
"2008-12-31",16.4876
"2009-01-01",15.9248
"2009-01-02",16.7315
"2009-01-03",16.8918
"2009-01-04",18.5704
"2009-01-05",19.4181
"2009-01-06",18.1102
"2009-01-07",20.0101
"2009-01-08",19.6597
"2009-01-09",20.6613
"2009-01-10",19.9682
"2009-01-11",18.2756
"2009-01-12",17.7366
"2009-01-13",18.7804
"2009-01-14",18.4933
"2009-01-15",17.9034
"2009-01-16",17.4153
"2009-01-17",17.9964
"2009-01-18",17.9971
"2009-01-19",17.92
"2009-01-20",18.8539
"2009-01-21",17.0228
"2009-01-22",16.5597
"2009-01-23",17.3053
"2009-01-24",17.2151
"2009-01-25",19.797
"2009-01-26",21.2675
"2009-01-27",20.717
"2009-01-28",20.4564
"2009-01-29",18.2685
"2009-01-30",14.3864
"2009-01-31",16.8438
"2009-02-01",17.9647
"2009-02-02",18.5255
"2009-02-03",16.0927
"2009-02-04",16.2769
"2009-02-05",15.4837
"2009-02-06",15.937
"2009-02-07",15.4628
"2009-02-08",15.9596
"2009-02-09",15.4636
"2009-02-10",16.9749
"2009-02-11",17.3568
"2009-02-12",14.0473
"2009-02-13",11.751
"2009-02-14",12.7873
"2009-02-15",15.2159
"2009-02-16",17.4877
"2009-02-17",16.8389
"2009-02-18",15.9344
"2009-02-19",18.3475
"2009-02-20",19.7133
"2009-02-21",19.6054
"2009-02-22",20.3327
"2009-02-23",20.5868
"2009-02-24",21.0298
"2009-02-25",19.8484
"2009-02-26",19.4296
"2009-02-27",18.6056
"2009-02-28",18.0426
"2009-03-01",15.6244
"2009-03-02",11.7587
"2009-03-03",11.6747
"2009-03-04",16.2306
"2009-03-05",17.9079
"2009-03-06",18.5245
"2009-03-07",18.5747
"2009-03-08",19.5847
"2009-03-09",21.0455
"2009-03-10",20.6861
"2009-03-11",20.649
"2009-03-12",20.766
"2009-03-13",20.8169
"2009-03-14",20.3228
"2009-03-15",20.5827
"2009-03-16",19.9649
"2009-03-17",20.313
"2009-03-18",20.34
"2009-03-19",21.0687
"2009-03-20",20.3783
"2009-03-21",19.8926
"2009-03-22",20.1649
"2009-03-23",20.785
"2009-03-24",20.3335
"2009-03-25",20.7545
"2009-03-26",20.8968
"2009-03-27",20.7354
"2009-03-28",20.9651
"2009-03-29",20.8715
"2009-03-30",20.4988
"2009-03-31",21.0942
"2009-04-01",21.2641
"2009-04-02",20.4918
"2009-04-03",20.6744
"2009-04-04",21.3139
"2009-04-05",21.297
"2009-04-06",21.3328
"2009-04-07",21.1125
"2009-04-08",21.438
"2009-04-09",21.4951
"2009-04-10",21.2998
"2009-04-11",21.8888
"2009-04-12",22.2387
"2009-04-13",21.3605
"2009-04-14",21.7262
"2009-04-15",22.005
"2009-04-16",22.1045
"2009-04-17",22.315
"2009-04-18",22.3754
"2009-04-19",22.3416
"2009-04-20",21.5958
"2009-04-21",21.1869
"2009-04-22",22.0872
"2009-04-23",22.1035
"2009-04-24",22.003
"2009-04-25",21.8025
"2009-04-26",21.1395
"2009-04-27",20.988
"2009-04-28",21.1062
"2009-04-29",21.0722
"2009-04-30",20.6822
"2009-05-01",21.0573
"2009-05-02",22.0756
"2009-05-03",22.7384
"2009-05-04",21.3448
"2009-05-05",21.2947
"2009-05-06",21.55
"2009-05-07",22.1486
"2009-05-08",21.7367
"2009-05-09",21.9753
"2009-05-10",22.0336
"2009-05-11",22.295
"2009-05-12",21.9204
"2009-05-13",22.0491
"2009-05-14",22.2248
"2009-05-15",22.6977
"2009-05-16",22.4221
"2009-05-17",21.7318
"2009-05-18",21.516
"2009-05-19",22.0165
"2009-05-20",21.6693
"2009-05-21",21.6456
"2009-05-22",22.1505
"2009-05-23",22.3343
"2009-05-24",22.4559
"2009-05-25",21.689
"2009-05-26",22.2613
"2009-05-27",21.8181
"2009-05-28",21.7374
"2009-05-29",21.8073
"2009-05-30",22.0679
"2009-05-31",22.0973
"2009-06-01",21.571
"2009-06-02",21.3488
"2009-06-03",21.9018
"2009-06-04",22.1559
"2009-06-05",21.7645
"2009-06-06",19.9415
"2009-06-07",21.4293
"2009-06-08",21.2669
"2009-06-09",21.169
"2009-06-10",21.5107
"2009-06-11",21.3342
"2009-06-12",20.6261
"2009-06-13",20.6045
"2009-06-14",21.0495
"2009-06-15",21.1374
"2009-06-16",21.398
"2009-06-17",21.3567
"2009-06-18",21.0919
"2009-06-19",20.9588
"2009-06-20",20.9236
"2009-06-21",21.1134
"2009-06-22",21.0169
"2009-06-23",21.0587
"2009-06-24",21.6999
"2009-06-25",21.9141
"2009-06-26",20.7816
"2009-06-27",21.1399
"2009-06-28",21.187
"2009-06-29",21.2833
"2009-06-30",21.0917
"2009-07-01",20.8278
"2009-07-02",20.9695
"2009-07-03",20.6897
"2009-07-04",20.689
"2009-07-05",20.8521
"2009-07-06",20.3681
"2009-07-07",20.6502
"2009-07-08",20.3613
"2009-07-09",20.1583
"2009-07-10",20.3562
"2009-07-11",20.2635
"2009-07-12",20.5181
"2009-07-13",20.7238
"2009-07-14",21.1453
"2009-07-15",20.8621
"2009-07-16",20.7327
"2009-07-17",19.803
"2009-07-18",20.0074
"2009-07-19",20.3953
"2009-07-20",20.7331
"2009-07-21",20.72
"2009-07-22",20.4214
"2009-07-23",20.4379
"2009-07-24",21.0619
"2009-07-25",20.9229
"2009-07-26",21.0031
"2009-07-27",20.7194
"2009-07-28",20.2948
"2009-07-29",20.5148
"2009-07-30",21.0257
"2009-07-31",20.8433
"2009-08-01",20.6526
"2009-08-02",20.6233
"2009-08-03",20.311
"2009-08-04",20.7859
"2009-08-05",20.7163
"2009-08-06",21.0281
"2009-08-07",20.7457
"2009-08-08",20.5203
"2009-08-09",20.5648
"2009-08-10",20.399
"2009-08-11",20.6539
"2009-08-12",20.7818
"2009-08-13",21.3977
"2009-08-14",21.6039
"2009-08-15",21.0907
"2009-08-16",21.1966
"2009-08-17",20.5495
"2009-08-18",20.9015
"2009-08-19",21.1005
"2009-08-20",21.1625
"2009-08-21",20.777
"2009-08-22",20.4722
"2009-08-23",20.4438
"2009-08-24",20.4671
"2009-08-25",20.3228
"2009-08-26",20.8948
"2009-08-27",21.4053
"2009-08-28",21.4909
"2009-08-29",20.8862
"2009-08-30",20.8776
"2009-08-31",20.837
"2009-09-01",21.1656
"2009-09-02",21.0576
"2009-09-03",21.1941
"2009-09-04",21.0702
"2009-09-05",21.0081
"2009-09-06",21.0816
"2009-09-07",21.1414
"2009-09-08",21.244
"2009-09-09",20.9054
"2009-09-10",20.6089
"2009-09-11",20.5765
"2009-09-12",21.0002
"2009-09-13",21.553
"2009-09-14",20.2734
"2009-09-15",20.3562
"2009-09-16",20.6105
"2009-09-17",20.8404
"2009-09-18",20.4807
"2009-09-19",20.5374
"2009-09-20",21.0562
"2009-09-21",21.0514
"2009-09-22",20.2353
"2009-09-23",20.6197
"2009-09-24",20.4371
"2009-09-25",20.2937
"2009-09-26",20.1766
"2009-09-27",20.4256
"2009-09-28",20.991
"2009-09-29",21.1348
"2009-09-30",21.1416
"2009-10-01",21.0588
"2009-10-02",20.8479
"2009-10-03",20.8427
"2009-10-04",20.2628
"2009-10-05",19.2748
"2009-10-06",19.9132
"2009-10-07",20.4025
"2009-10-08",20.4306
"2009-10-09",20.4878
"2009-10-10",20.5964
"2009-10-11",20.7475
"2009-10-12",21.1484
"2009-10-13",20.5325
"2009-10-14",20.8357
"2009-10-15",20.216
"2009-10-16",20.7693
"2009-10-17",20.4924
"2009-10-18",21.3838
"2009-10-19",21.2885
"2009-10-20",21.1474
"2009-10-21",20.4502
"2009-10-22",19.231
"2009-10-23",18.8297
"2009-10-24",19.7407
"2009-10-25",20.0946
"2009-10-26",20.3012
"2009-10-27",20.954
"2009-10-28",21.2481
"2009-10-29",21.2522
"2009-10-30",21.1709
"2009-10-31",20.9671
"2009-11-01",20.9532
"2009-11-02",20.3953
"2009-11-03",21.2902
"2009-11-04",21.331
"2009-11-05",21.5879
"2009-11-06",21.9068
"2009-11-07",21.3957
"2009-11-08",21.4624
"2009-11-09",21.3617
"2009-11-10",20.4033
"2009-11-11",21.1537
"2009-11-12",21.3306
"2009-11-13",21.6157
"2009-11-14",21.3646
"2009-11-15",20.888
"2009-11-16",21.3411
"2009-11-17",21.4362
"2009-11-18",21.1656
"2009-11-19",20.7374
"2009-11-20",20.7953
"2009-11-21",21.1216
"2009-11-22",20.9549
"2009-11-23",20.7555
"2009-11-24",20.6569
"2009-11-25",20.1149
"2009-11-26",19.2641
"2009-11-27",18.3912
"2009-11-28",19.969
"2009-11-29",20.8794
"2009-11-30",21.4893
"2009-12-01",21.3511
"2009-12-02",21.0974
"2009-12-03",21.098
"2009-12-04",20.7461
"2009-12-05",20.2784
"2009-12-06",20.6366
"2009-12-07",21.8195
"2009-12-08",21.6046
"2009-12-09",21.2115
"2009-12-10",20.9013
"2009-12-11",21.4664
"2009-12-12",21.7132
