,"(deg C) Mean Dew Point Temperature (ERA5) at Galle, 2007-01-01 to 2025-12-31"
"2007-07-22",22.9675
"2007-07-23",23.2831
"2007-07-24",23.3704
"2007-07-25",23.0544
"2007-07-26",23.3084
"2007-07-27",23.692
"2007-07-28",23.574
"2007-07-29",23.8793
"2007-07-30",23.9797
"2007-07-31",23.6469
"2007-08-01",23.2013
"2007-08-02",23.7547
"2007-08-03",23.9148
"2007-08-04",23.8807
"2007-08-05",24.1149
"2007-08-06",23.8583
"2007-08-07",24.0136
"2007-08-08",24.6401
"2007-08-09",24.432
"2007-08-10",23.8226
"2007-08-11",23.8612
"2007-08-12",24.2273
"2007-08-13",24.0301
"2007-08-14",23.8553
"2007-08-15",23.8339
"2007-08-16",24.2164
"2007-08-17",24.1469
"2007-08-18",24.1334
"2007-08-19",23.9279
"2007-08-20",24.3218
"2007-08-21",23.8445
"2007-08-22",23.5688
"2007-08-23",23.8885
"2007-08-24",23.8697
"2007-08-25",23.54
"2007-08-26",23.5227
"2007-08-27",23.62
"2007-08-28",24.0471
"2007-08-29",23.9544
"2007-08-30",23.6016
"2007-08-31",23.1462
"2007-09-01",23.6897
"2007-09-02",24.1933
"2007-09-03",23.998
"2007-09-04",23.894
"2007-09-05",23.7186
"2007-09-06",23.9436
"2007-09-07",23.8169
"2007-09-08",23.7587
"2007-09-09",22.9301
"2007-09-10",23.6654
"2007-09-11",23.8921
"2007-09-12",23.6139
"2007-09-13",24.1178
"2007-09-14",24.0321
"2007-09-15",24.0586
"2007-09-16",24.2379
"2007-09-17",24.1552
"2007-09-18",24.146
"2007-09-19",24.0672
"2007-09-20",24.3133
"2007-09-21",24.3717
"2007-09-22",24.0609
"2007-09-23",24.0652
"2007-09-24",24.3208
"2007-09-25",24.2513
"2007-09-26",23.9589
"2007-09-27",24.5421
"2007-09-28",23.9267
"2007-09-29",23.8328
"2007-09-30",23.4794
"2007-10-01",24.2474
"2007-10-02",23.8363
"2007-10-03",23.9506
"2007-10-04",24.0515
"2007-10-05",23.7361
"2007-10-06",23.5119
"2007-10-07",23.6752
"2007-10-08",23.623
"2007-10-09",23.94
"2007-10-10",23.8763
"2007-10-11",23.4092
"2007-10-12",23.5951
"2007-10-13",23.6829
"2007-10-14",23.6223
"2007-10-15",23.6055
"2007-10-16",23.429
"2007-10-17",23.2367
"2007-10-18",23.0136
"2007-10-19",23.2223
"2007-10-20",22.4845
"2007-10-21",22.9587
"2007-10-22",23.1116
"2007-10-23",23.6652
"2007-10-24",23.7487
"2007-10-25",23.6956
"2007-10-26",23.2304
"2007-10-27",23.1341
"2007-10-28",23.5616
"2007-10-29",23.9062
"2007-10-30",23.4808
"2007-10-31",23.5938
"2007-11-01",23.7236
"2007-11-02",23.3742
"2007-11-03",23.0566
"2007-11-04",23.4195
"2007-11-05",23.1152
"2007-11-06",23.0873
"2007-11-07",23.1631
"2007-11-08",23.3349
"2007-11-09",23.3467
"2007-11-10",23.0519
"2007-11-11",23.1934
"2007-11-12",23.1948
"2007-11-13",23.2153
"2007-11-14",21.9914
"2007-11-15",21.9656
"2007-11-16",21.2624
"2007-11-17",20.4551
"2007-11-18",21.8489
"2007-11-19",22.6803
"2007-11-20",23.2468
"2007-11-21",23.3944
"2007-11-22",23.4604
"2007-11-23",23.3443
"2007-11-24",23.5012
"2007-11-25",23.326
"2007-11-26",22.685
"2007-11-27",22.7392
"2007-11-28",22.8431
"2007-11-29",22.4813
"2007-11-30",22.3207
"2007-12-01",22.7336
"2007-12-02",22.625
"2007-12-03",23.0756
"2007-12-04",22.8604
"2007-12-05",22.1729
"2007-12-06",22.0154
"2007-12-07",22.7117
"2007-12-08",22.9082
"2007-12-09",23.1385
"2007-12-10",23.0442
"2007-12-11",22.7999
"2007-12-12",22.3451
"2007-12-13",22.9742
"2007-12-14",23.4056
"2007-12-15",23.201
"2007-12-16",23.1665
"2007-12-17",23.3422
"2007-12-18",23.4564
"2007-12-19",23.4018
"2007-12-20",23.5026
"2007-12-21",23.2335
"2007-12-22",23.0158
"2007-12-23",22.7597
"2007-12-24",23.2152
"2007-12-25",23.4069
"2007-12-26",21.6784
"2007-12-27",21.4626
"2007-12-28",21.4782
"2007-12-29",21.942
"2007-12-30",21.6205
"2007-12-31",21.0844
"2008-01-01",21.1224
"2008-01-02",21.9401
"2008-01-03",22.8469
"2008-01-04",23.144
"2008-01-05",23.1024
"2008-01-06",23.0638
"2008-01-07",22.95
"2008-01-08",22.957
"2008-01-09",23.1512
"2008-01-10",23.0188
"2008-01-11",23.0588
"2008-01-12",22.9695
"2008-01-13",22.8499
"2008-01-14",22.2766
"2008-01-15",21.7489
"2008-01-16",21.5864
"2008-01-17",21.4662
"2008-01-18",21.4117
"2008-01-19",21.012
"2008-01-20",21.8754
"2008-01-21",23.1668
"2008-01-22",22.8997
"2008-01-23",22.4973
"2008-01-24",22.7248
"2008-01-25",23.1881
"2008-01-26",22.8463
"2008-01-27",22.7478
"2008-01-28",22.1797
"2008-01-29",22.6441
"2008-01-30",22.8525
"2008-01-31",22.7419
"2008-02-01",22.5136
"2008-02-02",22.1576
"2008-02-03",22.5412
"2008-02-04",22.9833
"2008-02-05",22.9853
"2008-02-06",23.314
"2008-02-07",23.4045
"2008-02-08",23.2351
"2008-02-09",23.2297
"2008-02-10",23.3482
"2008-02-11",23.1209
"2008-02-12",22.9644
"2008-02-13",23.1158
"2008-02-14",22.6871
"2008-02-15",23.1069
"2008-02-16",22.9802
"2008-02-17",22.746
"2008-02-18",22.8487
"2008-02-19",22.8624
"2008-02-20",22.5699
"2008-02-21",22.6883
"2008-02-22",22.578
"2008-02-23",21.3217
"2008-02-24",19.7379
"2008-02-25",19.7841
"2008-02-26",20.6614
"2008-02-27",22.3133
"2008-02-28",22.8694
"2008-02-29",23.0213
"2008-03-01",23.076
"2008-03-02",22.8935
"2008-03-03",22.8739
"2008-03-04",23.2426
"2008-03-05",23.0346
"2008-03-06",22.8662
"2008-03-07",22.6875
"2008-03-08",22.4113
"2008-03-09",22.6061
"2008-03-10",22.5044
"2008-03-11",22.9499
"2008-03-12",23.2288
"2008-03-13",23.0619
"2008-03-14",23.2902
"2008-03-15",22.8915
"2008-03-16",23.28
"2008-03-17",23.2436
"2008-03-18",23.0995
"2008-03-19",23.264
"2008-03-20",23.3723
"2008-03-21",23.6725
"2008-03-22",23.486
"2008-03-23",23.2955
"2008-03-24",23.6821
"2008-03-25",23.5269
"2008-03-26",23.4383
"2008-03-27",23.4684
"2008-03-28",23.2874
"2008-03-29",23.7811
"2008-03-30",23.7566
"2008-03-31",23.7409
"2008-04-01",23.7804
"2008-04-02",23.4517
"2008-04-03",23.5301
"2008-04-04",23.682
"2008-04-05",23.3338
"2008-04-06",23.1322
"2008-04-07",23.1187
"2008-04-08",23.0213
"2008-04-09",23.1567
"2008-04-10",23.2518
"2008-04-11",23.5641
"2008-04-12",23.4023
"2008-04-13",23.3292
"2008-04-14",23.6882
"2008-04-15",23.6633
"2008-04-16",23.694
"2008-04-17",23.7826
"2008-04-18",24.1757
"2008-04-19",24.3585
"2008-04-20",24.3566
"2008-04-21",24.9
"2008-04-22",24.8637
"2008-04-23",24.8957
"2008-04-24",24.4687
"2008-04-25",23.5662
"2008-04-26",23.9804
"2008-04-27",23.9682
"2008-04-28",23.7299
"2008-04-29",24.4432
"2008-04-30",25.0985
"2008-05-01",25.1262
"2008-05-02",24.7925
"2008-05-03",24.8188
"2008-05-04",24.7008
"2008-05-05",24.5879
"2008-05-06",24.1708
"2008-05-07",24.1457
"2008-05-08",24.314
"2008-05-09",23.8369
"2008-05-10",24.1287
"2008-05-11",24.4126
"2008-05-12",24.2526
"2008-05-13",24.532
"2008-05-14",24.4783
"2008-05-15",24.4331
"2008-05-16",24.6597
"2008-05-17",24.6251
"2008-05-18",25.0669
"2008-05-19",25.0473
"2008-05-20",24.7444
"2008-05-21",24.2248
"2008-05-22",24.4947
"2008-05-23",24.206
"2008-05-24",23.798
"2008-05-25",24.1858
"2008-05-26",24.2391
"2008-05-27",23.8715
"2008-05-28",24.2447
"2008-05-29",23.997
"2008-05-30",23.9773
"2008-05-31",23.8507
"2008-06-01",23.5587
"2008-06-02",23.6569
"2008-06-03",23.6042
"2008-06-04",24.1626
"2008-06-05",24.0337
"2008-06-06",24.5136
"2008-06-07",24.5136
"2008-06-08",24.343
"2008-06-09",24.377
"2008-06-10",23.9543
"2008-06-11",23.9979
"2008-06-12",24.5492
"2008-06-13",24.3657
"2008-06-14",24.3053
"2008-06-15",23.8829
"2008-06-16",24.4741
"2008-06-17",24.0044
"2008-06-18",24.328
"2008-06-19",24.3375
"2008-06-20",24.0482
"2008-06-21",24.225
"2008-06-22",24.0307
"2008-06-23",23.9344
"2008-06-24",23.628
"2008-06-25",24.1387
"2008-06-26",24.0831
"2008-06-27",24.2679
"2008-06-28",23.7417
"2008-06-29",23.7581
"2008-06-30",23.9889
"2008-07-01",23.6462
"2008-07-02",22.9672
"2008-07-03",23.4354
"2008-07-04",24.1851
"2008-07-05",24.5053
"2008-07-06",24.4322
"2008-07-07",24.2132
"2008-07-08",23.9492
"2008-07-09",24.2746
"2008-07-10",24.3592
"2008-07-11",23.8709
"2008-07-12",23.5318
"2008-07-13",23.4722
"2008-07-14",23.9713
"2008-07-15",23.7224
"2008-07-16",23.3265
"2008-07-17",23.471
"2008-07-18",23.6017
"2008-07-19",23.6368
"2008-07-20",23.2212
"2008-07-21",23.6106
"2008-07-22",23.8104
"2008-07-23",23.4338
"2008-07-24",23.3148
"2008-07-25",23.4022
"2008-07-26",23.8707
"2008-07-27",23.6536
"2008-07-28",23.6878
"2008-07-29",23.2626
"2008-07-30",23.6154
"2008-07-31",23.6687
"2008-08-01",23.5564
"2008-08-02",24.0022
"2008-08-03",24.2013
"2008-08-04",23.8067
"2008-08-05",24.0435
"2008-08-06",23.7525
"2008-08-07",23.6164
"2008-08-08",23.7421
"2008-08-09",23.7275
"2008-08-10",23.8241
"2008-08-11",24.0621
"2008-08-12",24.0792
"2008-08-13",23.7092
"2008-08-14",23.7218
"2008-08-15",23.725
"2008-08-16",23.7273
"2008-08-17",23.3061
"2008-08-18",24.0728
"2008-08-19",23.5437
"2008-08-20",23.9604
"2008-08-21",23.7531
"2008-08-22",23.5808
"2008-08-23",23.5004
"2008-08-24",23.5505
"2008-08-25",23.7502
"2008-08-26",23.957
"2008-08-27",23.5123
"2008-08-28",23.4224
"2008-08-29",23.6896
"2008-08-30",23.2198
"2008-08-31",23.1182
"2008-09-01",23.3226
"2008-09-02",23.759
"2008-09-03",23.3849
"2008-09-04",24.0942
"2008-09-05",23.2855
"2008-09-06",23.4925
"2008-09-07",23.0511
"2008-09-08",23.3024
"2008-09-09",23.6146
"2008-09-10",23.9936
"2008-09-11",24.0767
"2008-09-12",24.1633
"2008-09-13",23.9111
"2008-09-14",23.9788
"2008-09-15",23.9317
"2008-09-16",24.0239
"2008-09-17",23.5469
"2008-09-18",23.8288
"2008-09-19",23.4315
"2008-09-20",23.0076
"2008-09-21",22.9738
"2008-09-22",23.5082
"2008-09-23",23.1525
"2008-09-24",22.6128
"2008-09-25",22.8577
"2008-09-26",24.0298
"2008-09-27",24.0772
"2008-09-28",23.835
"2008-09-29",23.5529
"2008-09-30",22.5112
"2008-10-01",22.032
"2008-10-02",22.2934
"2008-10-03",22.4757
"2008-10-04",23.023
"2008-10-05",23.3612
"2008-10-06",23.528
"2008-10-07",23.2782
"2008-10-08",23.3926
"2008-10-09",23.039
"2008-10-10",23.4179
"2008-10-11",23.4806
"2008-10-12",23.2189
"2008-10-13",23.2782
"2008-10-14",23.404
"2008-10-15",23.5804
"2008-10-16",23.8079
"2008-10-17",23.689
"2008-10-18",23.8268
"2008-10-19",23.757
"2008-10-20",23.9151
"2008-10-21",23.7153
"2008-10-22",23.5605
"2008-10-23",23.8618
"2008-10-24",23.7597
"2008-10-25",23.4395
"2008-10-26",23.769
"2008-10-27",24.0748
"2008-10-28",24.12
"2008-10-29",23.3034
"2008-10-30",22.7584
"2008-10-31",22.1947
"2008-11-01",21.5225
"2008-11-02",21.4188
"2008-11-03",21.1161
"2008-11-04",21.7252
"2008-11-05",21.8672
"2008-11-06",21.3121
"2008-11-07",22.7315
"2008-11-08",23.2465
"2008-11-09",23.2853
"2008-11-10",23.3274
"2008-11-11",23.4954
"2008-11-12",23.4582
"2008-11-13",23.2194
"2008-11-14",23.5439
"2008-11-15",23.6673
"2008-11-16",23.4058
"2008-11-17",22.6637
"2008-11-18",23.0077
"2008-11-19",23.4649
"2008-11-20",23.8502
"2008-11-21",23.5883
"2008-11-22",23.4622
"2008-11-23",23.3625
"2008-11-24",23.4152
"2008-11-25",23.7793
"2008-11-26",23.6258
"2008-11-27",23.995
"2008-11-28",24.0458
"2008-11-29",23.8184
"2008-11-30",22.9307
"2008-12-01",22.6846
"2008-12-02",23.5789
"2008-12-03",23.4379
"2008-12-04",23.2213
"2008-12-05",23.2369
"2008-12-06",23.5703
"2008-12-07",22.1645
"2008-12-08",23.1495
"2008-12-09",23.6127
"2008-12-10",23.5438
"2008-12-11",23.7997
"2008-12-12",23.2129
"2008-12-13",22.7414
"2008-12-14",22.7875
"2008-12-15",22.704
"2008-12-16",23.0893
"2008-12-17",23.2339
"2008-12-18",23.1231
"2008-12-19",23.5391
"2008-12-20",23.5197
"2008-12-21",22.8661
"2008-12-22",21.8068
"2008-12-23",22.0474
"2008-12-24",22.8349
"2008-12-25",22.8487
"2008-12-26",22.6901
"2008-12-27",22.0755
"2008-12-28",21.7738
"2008-12-29",20.9842
"2008-12-30",20.9821
"2008-12-31",20.5613
"2009-01-01",20.2783
"2009-01-02",20.3485
"2009-01-03",20.1274
"2009-01-04",21.1656
"2009-01-05",22.2002
"2009-01-06",20.376
"2009-01-07",21.8164
"2009-01-08",22.4905
"2009-01-09",23.0406
"2009-01-10",22.7935
"2009-01-11",22.3686
"2009-01-12",21.9545
"2009-01-13",21.782
"2009-01-14",21.2753
"2009-01-15",21.6471
"2009-01-16",21.6815
"2009-01-17",20.9969
"2009-01-18",21.7544
"2009-01-19",21.8092
"2009-01-20",22.445
"2009-01-21",21.2522
"2009-01-22",21.1092
"2009-01-23",21.4057
"2009-01-24",21.5043
"2009-01-25",22.1402
"2009-01-26",23.3252
"2009-01-27",22.863
"2009-01-28",22.8389
"2009-01-29",22.5292
"2009-01-30",20.6652
"2009-01-31",20.6983
"2009-02-01",21.7806
"2009-02-02",21.8336
"2009-02-03",21.243
"2009-02-04",21.2099
"2009-02-05",20.3304
"2009-02-06",20.0729
"2009-02-07",20.3271
"2009-02-08",19.5297
"2009-02-09",18.6061
"2009-02-10",20.242
"2009-02-11",20.1403
"2009-02-12",20.0114
"2009-02-13",18.9292
"2009-02-14",19.6527
"2009-02-15",20.3797
"2009-02-16",21.6715
"2009-02-17",21.5137
"2009-02-18",20.968
"2009-02-19",21.1601
"2009-02-20",22.2775
"2009-02-21",22.1598
"2009-02-22",22.8448
"2009-02-23",23.0769
"2009-02-24",23.3913
"2009-02-25",23.8124
"2009-02-26",23.795
"2009-02-27",23.0883
"2009-02-28",23.0752
"2009-03-01",22.875
"2009-03-02",22.1631
"2009-03-03",22.4653
"2009-03-04",22.5744
"2009-03-05",22.6204
"2009-03-06",23.5645
"2009-03-07",23.4024
"2009-03-08",23.4201
"2009-03-09",23.2166
"2009-03-10",23.6627
"2009-03-11",23.161
"2009-03-12",22.9744
"2009-03-13",23.3723
"2009-03-14",22.7329
"2009-03-15",23.0132
"2009-03-16",23.1524
"2009-03-17",23.1224
"2009-03-18",23.3715
"2009-03-19",23.7155
"2009-03-20",23.6948
"2009-03-21",23.8153
"2009-03-22",23.9249
"2009-03-23",23.9114
"2009-03-24",23.0383
"2009-03-25",23.121
"2009-03-26",23.5804
"2009-03-27",23.6081
"2009-03-28",23.557
"2009-03-29",23.4745
"2009-03-30",23.2663
"2009-03-31",23.7665
"2009-04-01",23.8632
"2009-04-02",23.5896
"2009-04-03",23.3469
"2009-04-04",23.6452
"2009-04-05",23.572
"2009-04-06",23.7879
"2009-04-07",23.9424
"2009-04-08",23.6245
"2009-04-09",23.8247
"2009-04-10",23.5364
"2009-04-11",24.1788
"2009-04-12",24.6222
"2009-04-13",24.5049
"2009-04-14",24.9617
"2009-04-15",25.1138
"2009-04-16",25.0544
"2009-04-17",25.099
"2009-04-18",25.31
"2009-04-19",25.148
"2009-04-20",24.5939
"2009-04-21",23.634
"2009-04-22",24.1076
"2009-04-23",24.7716
"2009-04-24",24.2901
"2009-04-25",24.1772
"2009-04-26",24.4248
"2009-04-27",24.2908
"2009-04-28",23.6855
"2009-04-29",23.8808
"2009-04-30",24.3284
"2009-05-01",24.6336
"2009-05-02",25.2722
"2009-05-03",25.3067
"2009-05-04",25.3581
"2009-05-05",24.7695
"2009-05-06",24.9196
"2009-05-07",25.3737
"2009-05-08",24.9009
"2009-05-09",25.2396
"2009-05-10",25.4527
"2009-05-11",25.6088
"2009-05-12",25.2204
"2009-05-13",24.8968
"2009-05-14",25.0894
"2009-05-15",24.9369
"2009-05-16",25.0077
"2009-05-17",24.8747
"2009-05-18",24.4258
"2009-05-19",24.6085
"2009-05-20",24.4077
"2009-05-21",24.7755
"2009-05-22",24.5065
"2009-05-23",24.5976
"2009-05-24",24.7388
"2009-05-25",24.6527
"2009-05-26",24.7967
"2009-05-27",24.6357
"2009-05-28",24.8965
"2009-05-29",24.9374
"2009-05-30",24.8057
"2009-05-31",24.8505
"2009-06-01",24.9806
"2009-06-02",24.5379
"2009-06-03",25.1507
"2009-06-04",24.9526
"2009-06-05",24.5023
"2009-06-06",24.0956
"2009-06-07",24.6616
"2009-06-08",24.5818
"2009-06-09",24.8167
"2009-06-10",24.4117
"2009-06-11",23.6987
"2009-06-12",23.7851
"2009-06-13",24.0645
"2009-06-14",24.1646
"2009-06-15",24.263
"2009-06-16",24.156
"2009-06-17",24.1779
"2009-06-18",23.94
"2009-06-19",23.8597
"2009-06-20",24.1504
"2009-06-21",24.4384
"2009-06-22",24.1735
"2009-06-23",24.4352
"2009-06-24",24.2407
"2009-06-25",24.0722
"2009-06-26",23.5491
"2009-06-27",23.9509
"2009-06-28",24.0189
"2009-06-29",23.7325
"2009-06-30",23.5553
"2009-07-01",23.704
"2009-07-02",23.6574
"2009-07-03",23.5289
"2009-07-04",23.9568
"2009-07-05",23.8642
"2009-07-06",24.007
"2009-07-07",23.9564
"2009-07-08",23.4926
"2009-07-09",23.6334
"2009-07-10",24.1005
"2009-07-11",24.3224
"2009-07-12",23.9704
"2009-07-13",24.0206
"2009-07-14",24.2796
"2009-07-15",24.2624
"2009-07-16",23.6682
"2009-07-17",23.335
"2009-07-18",23.8013
"2009-07-19",24.0498
"2009-07-20",24.0251
"2009-07-21",24.1737
"2009-07-22",23.9668
"2009-07-23",23.7968
"2009-07-24",24.3295
"2009-07-25",24.0778
"2009-07-26",23.9942
"2009-07-27",24.1618
"2009-07-28",23.921
"2009-07-29",24.0398
"2009-07-30",24.1492
"2009-07-31",24.2075
"2009-08-01",24.0847
"2009-08-02",24.1725
"2009-08-03",24.2226
"2009-08-04",24.2625
"2009-08-05",24.0652
"2009-08-06",24.0818
"2009-08-07",24.1673
"2009-08-08",24.0591
"2009-08-09",24.1992
"2009-08-10",24.2694
"2009-08-11",24.1092
"2009-08-12",24.0876
"2009-08-13",24.6181
"2009-08-14",24.233
"2009-08-15",23.9956
"2009-08-16",23.8174
"2009-08-17",23.3997
"2009-08-18",23.7299
"2009-08-19",23.4041
"2009-08-20",23.4436
"2009-08-21",23.3309
"2009-08-22",23.3156
"2009-08-23",23.6941
"2009-08-24",24.3217
"2009-08-25",24.0631
"2009-08-26",23.7829
"2009-08-27",23.8248
"2009-08-28",23.8264
"2009-08-29",24.1372
"2009-08-30",24.0705
"2009-08-31",23.9466
"2009-09-01",23.9747
"2009-09-02",23.8185
"2009-09-03",23.8827
"2009-09-04",24.0971
"2009-09-05",24.2174
"2009-09-06",23.8904
"2009-09-07",23.9816
"2009-09-08",23.994
"2009-09-09",24.1931
"2009-09-10",24.0652
"2009-09-11",23.8272
"2009-09-12",24.0221
"2009-09-13",24.382
"2009-09-14",23.4576
"2009-09-15",24.004
"2009-09-16",24.0275
"2009-09-17",24.0778
"2009-09-18",23.756
"2009-09-19",24.015
"2009-09-20",24.1522
"2009-09-21",23.9379
"2009-09-22",23.5961
"2009-09-23",23.9691
"2009-09-24",23.7354
"2009-09-25",23.8238
"2009-09-26",23.6984
"2009-09-27",23.6672
"2009-09-28",23.903
"2009-09-29",23.8538
"2009-09-30",24.3782
"2009-10-01",24.0519
"2009-10-02",24.041
"2009-10-03",24.4383
"2009-10-04",24.3168
"2009-10-05",23.6946
"2009-10-06",23.6925
"2009-10-07",24.0966
"2009-10-08",24.0006
"2009-10-09",23.4188
"2009-10-10",23.2013
"2009-10-11",23.3266
"2009-10-12",23.1917
"2009-10-13",22.5653
"2009-10-14",22.9531
"2009-10-15",23.3083
"2009-10-16",23.5865
"2009-10-17",23.5944
"2009-10-18",23.8365
"2009-10-19",23.5486
"2009-10-20",23.4073
"2009-10-21",23.6382
"2009-10-22",23.1247
"2009-10-23",23.0127
"2009-10-24",23.1966
"2009-10-25",23.3533
"2009-10-26",23.3009
"2009-10-27",23.6031
"2009-10-28",23.693
"2009-10-29",23.5189
"2009-10-30",23.773
"2009-10-31",23.644
"2009-11-01",23.6696
"2009-11-02",23.5005
"2009-11-03",23.6807
"2009-11-04",23.6083
"2009-11-05",23.5707
"2009-11-06",24.0359
"2009-11-07",24.0206
"2009-11-08",23.9534
"2009-11-09",23.8306
"2009-11-10",23.6751
"2009-11-11",23.7318
"2009-11-12",24.0007
"2009-11-13",23.8456
"2009-11-14",23.6081
"2009-11-15",23.5415
"2009-11-16",23.8777
"2009-11-17",23.4476
"2009-11-18",23.058
"2009-11-19",23.4793
"2009-11-20",23.0496
"2009-11-21",23.2453
"2009-11-22",23.1668
"2009-11-23",23.3248
"2009-11-24",23.3104
"2009-11-25",22.8392
"2009-11-26",23.0006
"2009-11-27",22.087
"2009-11-28",22.6056
"2009-11-29",23.231
"2009-11-30",23.4766
"2009-12-01",23.473
"2009-12-02",23.276
"2009-12-03",23.3378
"2009-12-04",23.1981
"2009-12-05",23.3847
"2009-12-06",23.2602
"2009-12-07",23.7928
"2009-12-08",23.7966
"2009-12-09",23.74
"2009-12-10",23.1731
"2009-12-11",23.4075
"2009-12-12",23.8127
"2009-12-13",23.6114
