,"(deg C) Mean Dew Point Temperature (ERA5) at Vavuniya, 2007-01-01 to 2025-12-31"
"2007-04-27",23.9691
"2007-04-28",24.389
"2007-04-29",24.1406
"2007-04-30",24.6435
"2007-05-01",24.9347
"2007-05-02",25.2432
"2007-05-03",24.3958
"2007-05-04",24.7974
"2007-05-05",25.1733
"2007-05-06",25.2821
"2007-05-07",24.9416
"2007-05-08",25.084
"2007-05-09",24.6613
"2007-05-10",24.6787
"2007-05-11",25.2129
"2007-05-12",23.7988
"2007-05-13",23.8999
"2007-05-14",24.0744
"2007-05-15",23.8066
"2007-05-16",23.7856
"2007-05-17",22.5068
"2007-05-18",23.9745
"2007-05-19",24.1815
"2007-05-20",24.149
"2007-05-21",24.3052
"2007-05-22",24.3602
"2007-05-23",24.4394
"2007-05-24",24.0719
"2007-05-25",24.1588
"2007-05-26",23.8579
"2007-05-27",24.0911
"2007-05-28",22.4387
"2007-05-29",21.9693
"2007-05-30",22.5291
"2007-05-31",22.0731
"2007-06-01",23.3128
"2007-06-02",23.7809
"2007-06-03",23.5757
"2007-06-04",23.757
"2007-06-05",24.3732
"2007-06-06",25.0747
"2007-06-07",24.3913
"2007-06-08",23.6542
"2007-06-09",23.6662
"2007-06-10",24.1977
"2007-06-11",23.9299
"2007-06-12",23.7773
"2007-06-13",24.4876
"2007-06-14",24.5075
"2007-06-15",23.2962
"2007-06-16",23.7793
"2007-06-17",23.6276
"2007-06-18",23.6889
"2007-06-19",23.3046
"2007-06-20",23.1984
"2007-06-21",23.4084
"2007-06-22",23.1055
"2007-06-23",23.8449
"2007-06-24",23.6435
"2007-06-25",23.7651
"2007-06-26",23.6826
"2007-06-27",23.7365
"2007-06-28",24.0588
"2007-06-29",23.9413
"2007-06-30",23.9252
"2007-07-01",23.5717
"2007-07-02",23.4826
"2007-07-03",23.5459
"2007-07-04",22.6726
"2007-07-05",22.9955
"2007-07-06",22.6736
"2007-07-07",22.6025
"2007-07-08",22.4441
"2007-07-09",22.9282
"2007-07-10",22.855
"2007-07-11",23.5075
"2007-07-12",23.3621
"2007-07-13",23.1695
"2007-07-14",23.2444
"2007-07-15",22.7199
"2007-07-16",22.9769
"2007-07-17",22.7696
"2007-07-18",23.0999
"2007-07-19",23.6318
"2007-07-20",22.7182
"2007-07-21",22.6783
"2007-07-22",22.9434
"2007-07-23",23.3162
"2007-07-24",23.3653
"2007-07-25",21.9327
"2007-07-26",22.854
"2007-07-27",22.5944
"2007-07-28",23.0138
"2007-07-29",23.4902
"2007-07-30",23.0974
"2007-07-31",22.8243
"2007-08-01",22.4642
"2007-08-02",22.5976
"2007-08-03",22.9726
"2007-08-04",23.1968
"2007-08-05",23.1392
"2007-08-06",22.7724
"2007-08-07",22.3732
"2007-08-08",22.5591
"2007-08-09",22.7678
"2007-08-10",23.619
"2007-08-11",22.9401
"2007-08-12",23.2191
"2007-08-13",22.9032
"2007-08-14",22.4801
"2007-08-15",22.687
"2007-08-16",22.4653
"2007-08-17",22.4028
"2007-08-18",22.6913
"2007-08-19",23.105
"2007-08-20",22.638
"2007-08-21",23.2046
"2007-08-22",22.6078
"2007-08-23",23.2338
"2007-08-24",23.5894
"2007-08-25",23.6498
"2007-08-26",23.2481
"2007-08-27",22.7692
"2007-08-28",23.1407
"2007-08-29",23.1433
"2007-08-30",23.4733
"2007-08-31",22.5981
"2007-09-01",22.2179
"2007-09-02",23.0842
"2007-09-03",22.8208
"2007-09-04",23.3299
"2007-09-05",23.4807
"2007-09-06",23.4741
"2007-09-07",23.8996
"2007-09-08",23.8874
"2007-09-09",23.1051
"2007-09-10",23.3472
"2007-09-11",23.6985
"2007-09-12",23.3439
"2007-09-13",23.4077
"2007-09-14",23.6036
"2007-09-15",23.7198
"2007-09-16",23.8203
"2007-09-17",23.8617
"2007-09-18",23.1896
"2007-09-19",22.8986
"2007-09-20",23.2995
"2007-09-21",23.3075
"2007-09-22",22.9809
"2007-09-23",22.521
"2007-09-24",22.9357
"2007-09-25",22.965
"2007-09-26",23.1498
"2007-09-27",23.3393
"2007-09-28",23.5789
"2007-09-29",22.7092
"2007-09-30",22.755
"2007-10-01",21.7983
"2007-10-02",23.1158
"2007-10-03",22.7615
"2007-10-04",22.4914
"2007-10-05",22.223
"2007-10-06",22.5731
"2007-10-07",23.0462
"2007-10-08",22.6593
"2007-10-09",22.2068
"2007-10-10",22.5539
"2007-10-11",23.2358
"2007-10-12",23.5351
"2007-10-13",23.2759
"2007-10-14",23.9121
"2007-10-15",23.9758
"2007-10-16",23.6748
"2007-10-17",23.7571
"2007-10-18",23.8805
"2007-10-19",23.9256
"2007-10-20",23.0535
"2007-10-21",23.8497
"2007-10-22",23.422
"2007-10-23",23.5721
"2007-10-24",24.211
"2007-10-25",24.085
"2007-10-26",23.6454
"2007-10-27",23.9415
"2007-10-28",23.9521
"2007-10-29",23.8896
"2007-10-30",23.6872
"2007-10-31",24.2762
"2007-11-01",24.1871
"2007-11-02",23.6327
"2007-11-03",23.5483
"2007-11-04",23.6475
"2007-11-05",24.2995
"2007-11-06",23.7465
"2007-11-07",23.7529
"2007-11-08",23.8844
"2007-11-09",23.7594
"2007-11-10",23.3604
"2007-11-11",23.73
"2007-11-12",23.8978
"2007-11-13",22.708
"2007-11-14",20.3453
"2007-11-15",20.5259
"2007-11-16",18.2664
"2007-11-17",18.899
"2007-11-18",22.4826
"2007-11-19",23.7727
"2007-11-20",24.0007
"2007-11-21",23.5232
"2007-11-22",23.6345
"2007-11-23",21.9792
"2007-11-24",21.6753
"2007-11-25",19.7716
"2007-11-26",21.7462
"2007-11-27",23.2075
"2007-11-28",23.5171
"2007-11-29",22.4394
"2007-11-30",20.8334
"2007-12-01",22.2021
"2007-12-02",21.9745
"2007-12-03",20.6537
"2007-12-04",22.6717
"2007-12-05",21.3449
"2007-12-06",21.6511
"2007-12-07",22.2917
"2007-12-08",23.4156
"2007-12-09",23.1201
"2007-12-10",22.2245
"2007-12-11",21.7729
"2007-12-12",22.6059
"2007-12-13",23.4453
"2007-12-14",23.8578
"2007-12-15",23.4728
"2007-12-16",22.1649
"2007-12-17",23.5305
"2007-12-18",23.9973
"2007-12-19",23.7916
"2007-12-20",23.7933
"2007-12-21",24.0118
"2007-12-22",23.5423
"2007-12-23",22.3383
"2007-12-24",20.3603
"2007-12-25",19.7824
"2007-12-26",20.3639
"2007-12-27",20.6934
"2007-12-28",20.5243
"2007-12-29",20.3824
"2007-12-30",21.1444
"2007-12-31",19.7775
"2008-01-01",19.5156
"2008-01-02",20.6182
"2008-01-03",22.8307
"2008-01-04",23.3686
"2008-01-05",23.0953
"2008-01-06",21.7368
"2008-01-07",20.8275
"2008-01-08",21.2129
"2008-01-09",22.2576
"2008-01-10",22.6652
"2008-01-11",22.3685
"2008-01-12",22.2082
"2008-01-13",21.6349
"2008-01-14",20.4727
"2008-01-15",20.0524
"2008-01-16",20.1966
"2008-01-17",19.6013
"2008-01-18",18.5107
"2008-01-19",18.4398
"2008-01-20",21.4741
"2008-01-21",23.4412
"2008-01-22",22.8646
"2008-01-23",20.4668
"2008-01-24",21.6178
"2008-01-25",22.4297
"2008-01-26",22.5886
"2008-01-27",22.1097
"2008-01-28",22.0622
"2008-01-29",22.5654
"2008-01-30",21.6138
"2008-01-31",21.9523
"2008-02-01",21.9797
"2008-02-02",21.3413
"2008-02-03",20.8213
"2008-02-04",21.2162
"2008-02-05",21.3545
"2008-02-06",23.323
"2008-02-07",23.3661
"2008-02-08",23.6285
"2008-02-09",23.8408
"2008-02-10",23.8543
"2008-02-11",23.4901
"2008-02-12",23.656
"2008-02-13",23.1814
"2008-02-14",22.7687
"2008-02-15",22.2732
"2008-02-16",21.5987
"2008-02-17",20.029
"2008-02-18",19.9069
"2008-02-19",19.6081
"2008-02-20",21.7826
"2008-02-21",22.4852
"2008-02-22",20.232
"2008-02-23",17.6141
"2008-02-24",17.7401
"2008-02-25",17.4238
"2008-02-26",20.6138
"2008-02-27",23.1458
"2008-02-28",22.7631
"2008-02-29",23.2581
"2008-03-01",22.5606
"2008-03-02",23.4699
"2008-03-03",22.2703
"2008-03-04",22.5383
"2008-03-05",23.4156
"2008-03-06",23.0054
"2008-03-07",20.8477
"2008-03-08",20.3961
"2008-03-09",22.6099
"2008-03-10",23.0369
"2008-03-11",23.6571
"2008-03-12",23.5566
"2008-03-13",23.1677
"2008-03-14",23.6161
"2008-03-15",23.3878
"2008-03-16",24.0164
"2008-03-17",23.9871
"2008-03-18",23.9894
"2008-03-19",23.5493
"2008-03-20",23.8622
"2008-03-21",23.8444
"2008-03-22",23.6275
"2008-03-23",24.1387
"2008-03-24",23.8721
"2008-03-25",23.7863
"2008-03-26",23.3987
"2008-03-27",23.6671
"2008-03-28",23.6251
"2008-03-29",23.8038
"2008-03-30",23.7609
"2008-03-31",24.1413
"2008-04-01",24.2017
"2008-04-02",23.5886
"2008-04-03",23.6404
"2008-04-04",23.5612
"2008-04-05",23.7677
"2008-04-06",23.8905
"2008-04-07",23.7742
"2008-04-08",23.8021
"2008-04-09",23.7239
"2008-04-10",24.0464
"2008-04-11",24.2013
"2008-04-12",23.8246
"2008-04-13",24.1939
"2008-04-14",24.1459
"2008-04-15",23.8061
"2008-04-16",24.2083
"2008-04-17",23.8968
"2008-04-18",24.5374
"2008-04-19",24.4519
"2008-04-20",24.5792
"2008-04-21",25.1755
"2008-04-22",24.9817
"2008-04-23",25.2054
"2008-04-24",24.2052
"2008-04-25",23.7461
"2008-04-26",24.174
"2008-04-27",24.5777
"2008-04-28",24.8558
"2008-04-29",24.9627
"2008-04-30",24.9935
"2008-05-01",24.8264
"2008-05-02",24.9229
"2008-05-03",24.9356
"2008-05-04",24.739
"2008-05-05",24.59
"2008-05-06",24.5955
"2008-05-07",23.6616
"2008-05-08",24.2013
"2008-05-09",23.3702
"2008-05-10",23.857
"2008-05-11",24.3841
"2008-05-12",24.3275
"2008-05-13",23.9521
"2008-05-14",24.0379
"2008-05-15",23.8903
"2008-05-16",23.8464
"2008-05-17",23.8798
"2008-05-18",24.3056
"2008-05-19",24.1864
"2008-05-20",24.0265
"2008-05-21",23.7406
"2008-05-22",23.8547
"2008-05-23",23.6401
"2008-05-24",23.1467
"2008-05-25",23.6769
"2008-05-26",23.8545
"2008-05-27",23.3487
"2008-05-28",23.8296
"2008-05-29",23.6698
"2008-05-30",23.7028
"2008-05-31",23.4145
"2008-06-01",23.6129
"2008-06-02",23.1775
"2008-06-03",22.9166
"2008-06-04",22.6705
"2008-06-05",22.8033
"2008-06-06",23.5208
"2008-06-07",23.5208
"2008-06-08",24.0116
"2008-06-09",24.4551
"2008-06-10",23.7649
"2008-06-11",23.6369
"2008-06-12",23.8214
"2008-06-13",23.0938
"2008-06-14",23.183
"2008-06-15",23.003
"2008-06-16",22.6002
"2008-06-17",22.4695
"2008-06-18",22.95
"2008-06-19",23.32
"2008-06-20",23.2929
"2008-06-21",23.5158
"2008-06-22",23.549
"2008-06-23",23.3202
"2008-06-24",23.0232
"2008-06-25",23.1831
"2008-06-26",22.9236
"2008-06-27",21.4663
"2008-06-28",22.6203
"2008-06-29",23.2384
"2008-06-30",23.4023
"2008-07-01",22.9843
"2008-07-02",22.8468
"2008-07-03",22.1069
"2008-07-04",23.5405
"2008-07-05",23.6574
"2008-07-06",23.3155
"2008-07-07",23.6022
"2008-07-08",23.4333
"2008-07-09",22.909
"2008-07-10",22.9754
"2008-07-11",22.8655
"2008-07-12",22.8312
"2008-07-13",22.8065
"2008-07-14",23.4863
"2008-07-15",23.3703
"2008-07-16",23.2478
"2008-07-17",22.844
"2008-07-18",23.0874
"2008-07-19",23.6762
"2008-07-20",23.2978
"2008-07-21",23.5638
"2008-07-22",23.7459
"2008-07-23",23.8546
"2008-07-24",23.2208
"2008-07-25",23.212
"2008-07-26",22.7859
"2008-07-27",22.6706
"2008-07-28",22.9771
"2008-07-29",22.6834
"2008-07-30",22.8584
"2008-07-31",22.975
"2008-08-01",23.1783
"2008-08-02",23.3172
"2008-08-03",23.8619
"2008-08-04",23.2589
"2008-08-05",23.6077
"2008-08-06",22.8142
"2008-08-07",22.563
"2008-08-08",22.4554
"2008-08-09",22.7024
"2008-08-10",23.1975
"2008-08-11",23.2096
"2008-08-12",22.9215
"2008-08-13",22.7231
"2008-08-14",22.7321
"2008-08-15",23.2052
"2008-08-16",23.2079
"2008-08-17",22.8155
"2008-08-18",23.108
"2008-08-19",23.0127
"2008-08-20",22.8185
"2008-08-21",22.9746
"2008-08-22",22.6617
"2008-08-23",22.7582
"2008-08-24",23.1063
"2008-08-25",23.5519
"2008-08-26",23.3636
"2008-08-27",23.6543
"2008-08-28",23.9451
"2008-08-29",23.797
"2008-08-30",23.0984
"2008-08-31",22.8704
"2008-09-01",23.6247
"2008-09-02",22.8842
"2008-09-03",23.1071
"2008-09-04",23.3084
"2008-09-05",22.9669
"2008-09-06",23.4534
"2008-09-07",23.1371
"2008-09-08",22.8048
"2008-09-09",23.0627
"2008-09-10",22.68
"2008-09-11",22.4734
"2008-09-12",23.0475
"2008-09-13",22.4993
"2008-09-14",22.5627
"2008-09-15",22.2305
"2008-09-16",22.4154
"2008-09-17",22.1627
"2008-09-18",22.4586
"2008-09-19",22.0579
"2008-09-20",21.9379
"2008-09-21",22.7399
"2008-09-22",22.6055
"2008-09-23",22.3168
"2008-09-24",22.0268
"2008-09-25",22.1339
"2008-09-26",22.7991
"2008-09-27",22.7555
"2008-09-28",22.6024
"2008-09-29",20.4232
"2008-09-30",20.1332
"2008-10-01",21.4453
"2008-10-02",21.4068
"2008-10-03",21.0075
"2008-10-04",21.2721
"2008-10-05",21.7218
"2008-10-06",22.0545
"2008-10-07",21.5049
"2008-10-08",23.0502
"2008-10-09",21.9239
"2008-10-10",23.1958
"2008-10-11",22.9896
"2008-10-12",23.3206
"2008-10-13",23.8598
"2008-10-14",23.7805
"2008-10-15",24.2878
"2008-10-16",24.4794
"2008-10-17",24.2346
"2008-10-18",24.2973
"2008-10-19",24.3684
"2008-10-20",24.4666
"2008-10-21",24.1587
"2008-10-22",24.0094
"2008-10-23",23.5503
"2008-10-24",23.6811
"2008-10-25",23.3292
"2008-10-26",24.0517
"2008-10-27",24.5913
"2008-10-28",23.9765
"2008-10-29",22.7921
"2008-10-30",20.4205
"2008-10-31",21.2736
"2008-11-01",20.1742
"2008-11-02",20.5904
"2008-11-03",21.3824
"2008-11-04",20.1853
"2008-11-05",19.9054
"2008-11-06",19.7956
"2008-11-07",21.3961
"2008-11-08",23.7996
"2008-11-09",23.7656
"2008-11-10",23.848
"2008-11-11",23.6314
"2008-11-12",23.6821
"2008-11-13",23.7522
"2008-11-14",23.907
"2008-11-15",22.3222
"2008-11-16",23.3036
"2008-11-17",22.7362
"2008-11-18",22.9683
"2008-11-19",23.7297
"2008-11-20",24.2953
"2008-11-21",24.2859
"2008-11-22",23.9905
"2008-11-23",24.1532
"2008-11-24",23.9552
"2008-11-25",23.7058
"2008-11-26",23.5833
"2008-11-27",23.6304
"2008-11-28",23.7837
"2008-11-29",24.0613
"2008-11-30",23.8992
"2008-12-01",23.8505
"2008-12-02",23.2996
"2008-12-03",21.0168
"2008-12-04",21.9505
"2008-12-05",22.8475
"2008-12-06",23.164
"2008-12-07",23.2885
"2008-12-08",24.0176
"2008-12-09",24.0449
"2008-12-10",24.0796
"2008-12-11",23.9651
"2008-12-12",22.4389
"2008-12-13",22.3058
"2008-12-14",23.2494
"2008-12-15",23.4112
"2008-12-16",23.3276
"2008-12-17",23.2345
"2008-12-18",23.1717
"2008-12-19",23.6277
"2008-12-20",23.2485
"2008-12-21",22.1977
"2008-12-22",22.2286
"2008-12-23",21.3122
"2008-12-24",22.5756
"2008-12-25",22.584
"2008-12-26",21.8446
"2008-12-27",21.065
"2008-12-28",20.6851
"2008-12-29",19.8444
"2008-12-30",18.5621
"2008-12-31",18.6531
"2009-01-01",19.166
"2009-01-02",19.4885
"2009-01-03",19.6107
"2009-01-04",20.2472
"2009-01-05",19.7763
"2009-01-06",22.8674
"2009-01-07",23.1437
"2009-01-08",22.0242
"2009-01-09",22.9087
"2009-01-10",21.5443
"2009-01-11",21.4439
"2009-01-12",21.718
"2009-01-13",21.3141
"2009-01-14",21.0828
"2009-01-15",20.4712
"2009-01-16",19.9595
"2009-01-17",19.304
"2009-01-18",20.3718
"2009-01-19",20.4248
"2009-01-20",19.5046
"2009-01-21",19.5293
"2009-01-22",19.3642
"2009-01-23",19.7541
"2009-01-24",19.2078
"2009-01-25",21.2732
"2009-01-26",23.3732
"2009-01-27",23.6518
"2009-01-28",23.0706
"2009-01-29",21.3737
"2009-01-30",20.4741
"2009-01-31",20.2385
"2009-02-01",19.3734
"2009-02-02",19.1907
"2009-02-03",19.5708
"2009-02-04",19.3869
"2009-02-05",18.2124
"2009-02-06",18.4645
"2009-02-07",18.0869
"2009-02-08",18.1127
"2009-02-09",18.2371
"2009-02-10",18.0534
"2009-02-11",19.2729
"2009-02-12",17.8817
"2009-02-13",17.5872
"2009-02-14",18.6696
"2009-02-15",18.7387
"2009-02-16",18.5584
"2009-02-17",18.6797
"2009-02-18",18.9891
"2009-02-19",19.56
"2009-02-20",22.059
"2009-02-21",22.5841
"2009-02-22",22.5465
"2009-02-23",23.094
"2009-02-24",23.4855
"2009-02-25",22.8783
"2009-02-26",22.5454
"2009-02-27",21.4768
"2009-02-28",20.6155
"2009-03-01",17.5713
"2009-03-02",18.2637
"2009-03-03",18.7015
"2009-03-04",20.1558
"2009-03-05",20.4171
"2009-03-06",20.4333
"2009-03-07",19.6967
"2009-03-08",21.6474
"2009-03-09",23.7104
"2009-03-10",23.5337
"2009-03-11",23.6759
"2009-03-12",24.0229
"2009-03-13",24.0003
"2009-03-14",24.1145
"2009-03-15",23.7369
"2009-03-16",22.5733
"2009-03-17",22.6692
"2009-03-18",22.8586
"2009-03-19",23.3759
"2009-03-20",23.2579
"2009-03-21",23.15
"2009-03-22",23.2002
"2009-03-23",23.4919
"2009-03-24",23.468
"2009-03-25",23.8917
"2009-03-26",23.4539
"2009-03-27",23.2559
"2009-03-28",23.4146
"2009-03-29",23.3747
"2009-03-30",23.7849
"2009-03-31",23.3397
"2009-04-01",23.8958
"2009-04-02",23.4662
"2009-04-03",23.1075
"2009-04-04",24.0627
"2009-04-05",24.0658
"2009-04-06",23.9275
"2009-04-07",23.4352
"2009-04-08",23.5093
"2009-04-09",23.8598
"2009-04-10",24.3675
"2009-04-11",24.6329
"2009-04-12",24.8598
"2009-04-13",24.5853
"2009-04-14",24.702
"2009-04-15",25.5462
"2009-04-16",25.059
"2009-04-17",25.0402
"2009-04-18",25.2492
"2009-04-19",24.8437
"2009-04-20",24.138
"2009-04-21",24.218
"2009-04-22",24.6831
"2009-04-23",24.7164
"2009-04-24",24.3507
"2009-04-25",24.5132
"2009-04-26",24.3152
"2009-04-27",23.8269
"2009-04-28",23.5896
"2009-04-29",23.816
"2009-04-30",23.8289
"2009-05-01",24.3006
"2009-05-02",24.7342
"2009-05-03",24.9735
"2009-05-04",24.5398
"2009-05-05",24.384
"2009-05-06",24.3325
"2009-05-07",24.4064
"2009-05-08",24.3086
"2009-05-09",24.2502
"2009-05-10",24.5619
"2009-05-11",24.6703
"2009-05-12",24.6088
"2009-05-13",24.4818
"2009-05-14",24.373
"2009-05-15",23.533
"2009-05-16",24.8881
"2009-05-17",24.3488
"2009-05-18",24.2179
"2009-05-19",25.2604
"2009-05-20",25.2771
"2009-05-21",24.5897
"2009-05-22",24.6417
"2009-05-23",24.8141
"2009-05-24",24.8961
"2009-05-25",23.9367
"2009-05-26",24.4314
"2009-05-27",24.49
"2009-05-28",24.2065
"2009-05-29",24.1631
"2009-05-30",24.3524
"2009-05-31",24.5095
"2009-06-01",24.0499
"2009-06-02",23.7855
"2009-06-03",24.2048
"2009-06-04",24.3629
"2009-06-05",24.1526
"2009-06-06",22.8268
"2009-06-07",23.3921
"2009-06-08",23.251
"2009-06-09",23.2202
"2009-06-10",23.7818
"2009-06-11",23.5665
"2009-06-12",23.4284
"2009-06-13",23.033
"2009-06-14",23.4606
"2009-06-15",23.2848
"2009-06-16",23.4721
"2009-06-17",23.4656
"2009-06-18",23.3453
"2009-06-19",23.2523
"2009-06-20",23.2848
"2009-06-21",23.5648
"2009-06-22",23.7796
"2009-06-23",23.6397
"2009-06-24",23.8079
"2009-06-25",23.4994
"2009-06-26",23.2425
"2009-06-27",23.7225
"2009-06-28",23.5449
"2009-06-29",23.7438
"2009-06-30",23.4024
"2009-07-01",22.3793
"2009-07-02",22.7068
"2009-07-03",22.9281
"2009-07-04",23.1551
"2009-07-05",23.2199
"2009-07-06",23.0176
"2009-07-07",22.7649
"2009-07-08",22.3655
"2009-07-09",22.8561
"2009-07-10",22.8817
"2009-07-11",23.2407
"2009-07-12",23.0005
"2009-07-13",22.7757
"2009-07-14",23.3812
"2009-07-15",23.767
"2009-07-16",23.4999
"2009-07-17",23.385
"2009-07-18",22.9087
"2009-07-19",23.0514
"2009-07-20",23.2389
"2009-07-21",22.8078
"2009-07-22",22.67
"2009-07-23",22.7117
"2009-07-24",22.6965
"2009-07-25",22.7873
"2009-07-26",23.1055
"2009-07-27",23.2709
"2009-07-28",22.7176
"2009-07-29",23.0279
"2009-07-30",23.6497
"2009-07-31",23.3114
"2009-08-01",23.0414
"2009-08-02",23.0015
"2009-08-03",22.7393
"2009-08-04",22.6559
"2009-08-05",22.4209
"2009-08-06",22.9959
"2009-08-07",22.8265
"2009-08-08",22.8399
"2009-08-09",22.5764
"2009-08-10",22.7423
"2009-08-11",23.2591
"2009-08-12",23.1172
"2009-08-13",23.253
"2009-08-14",24.0437
"2009-08-15",24.2817
"2009-08-16",24.261
"2009-08-17",23.9495
"2009-08-18",23.5905
"2009-08-19",23.805
"2009-08-20",23.7581
"2009-08-21",23.1757
"2009-08-22",23.2177
"2009-08-23",23.4071
"2009-08-24",23.0411
"2009-08-25",22.915
"2009-08-26",23.3485
"2009-08-27",23.8336
"2009-08-28",23.6503
"2009-08-29",23.5795
"2009-08-30",23.5426
"2009-08-31",23.9185
"2009-09-01",24.16
"2009-09-02",23.3762
"2009-09-03",23.1075
"2009-09-04",22.7322
"2009-09-05",23.0466
"2009-09-06",23.0626
"2009-09-07",23.1285
"2009-09-08",23.1784
"2009-09-09",22.8916
"2009-09-10",22.7031
"2009-09-11",22.8218
"2009-09-12",23.321
"2009-09-13",23.5688
"2009-09-14",22.8498
"2009-09-15",22.673
"2009-09-16",23.0233
"2009-09-17",23.5314
"2009-09-18",23.6328
"2009-09-19",23.1023
"2009-09-20",23.0957
"2009-09-21",23.9123
"2009-09-22",23.3973
"2009-09-23",23.1184
"2009-09-24",22.6189
"2009-09-25",23.1719
"2009-09-26",22.8201
"2009-09-27",22.3067
"2009-09-28",22.7725
"2009-09-29",23.073
"2009-09-30",22.8099
"2009-10-01",23.0442
"2009-10-02",22.8802
"2009-10-03",23.259
"2009-10-04",21.99
"2009-10-05",22.0034
"2009-10-06",21.5655
"2009-10-07",22.7591
"2009-10-08",22.5914
"2009-10-09",22.6057
"2009-10-10",22.7074
"2009-10-11",22.4361
"2009-10-12",22.9169
"2009-10-13",22.9799
"2009-10-14",22.5298
"2009-10-15",21.1117
"2009-10-16",20.5362
"2009-10-17",21.7396
"2009-10-18",22.3997
"2009-10-19",22.5625
"2009-10-20",23.0675
"2009-10-21",21.4526
"2009-10-22",20.4769
"2009-10-23",19.7149
"2009-10-24",21.1173
"2009-10-25",21.0491
"2009-10-26",20.3891
"2009-10-27",20.96
"2009-10-28",23.7219
"2009-10-29",23.9236
"2009-10-30",24.0654
"2009-10-31",23.8825
"2009-11-01",23.5315
"2009-11-02",23.6104
"2009-11-03",23.8593
"2009-11-04",24.0651
"2009-11-05",24.1779
"2009-11-06",24.4329
"2009-11-07",24.2567
"2009-11-08",24.3168
"2009-11-09",24.2411
"2009-11-10",23.7253
"2009-11-11",24.1982
"2009-11-12",24.6259
"2009-11-13",24.5436
"2009-11-14",24.2433
"2009-11-15",23.7695
"2009-11-16",23.9442
"2009-11-17",24.2125
"2009-11-18",23.8699
"2009-11-19",23.9616
"2009-11-20",23.9231
"2009-11-21",24.3087
"2009-11-22",24.0352
"2009-11-23",23.8192
"2009-11-24",23.8229
"2009-11-25",23.5101
"2009-11-26",21.3207
"2009-11-27",20.6858
"2009-11-28",22.2116
"2009-11-29",23.5028
"2009-11-30",23.7701
"2009-12-01",23.8223
"2009-12-02",23.7655
"2009-12-03",24.2266
"2009-12-04",23.6689
"2009-12-05",22.8151
"2009-12-06",22.978
"2009-12-07",23.1378
"2009-12-08",23.7333
"2009-12-09",23.1296
"2009-12-10",21.6951
"2009-12-11",23.5887
