,"(deg C) Mean Dew Point Temperature (ERA5) at Mannar, 2007-01-01 to 2025-12-31"
"2008-03-17",23.9483
"2008-03-18",23.7149
"2008-03-19",23.4841
"2008-03-20",23.5682
"2008-03-21",23.5943
"2008-03-22",23.5714
"2008-03-23",24.1316
"2008-03-24",24.1511
"2008-03-25",24.0066
"2008-03-26",23.791
"2008-03-27",23.9723
"2008-03-28",23.6617
"2008-03-29",24.2369
"2008-03-30",24.1804
"2008-03-31",24.5313
"2008-04-01",24.4601
"2008-04-02",24.1557
"2008-04-03",24.2495
"2008-04-04",24.0896
"2008-04-05",23.9882
"2008-04-06",23.8592
"2008-04-07",23.8672
"2008-04-08",23.8585
"2008-04-09",23.7627
"2008-04-10",23.7747
"2008-04-11",23.8394
"2008-04-12",23.8317
"2008-04-13",24.3
"2008-04-14",24.2453
"2008-04-15",24.0993
"2008-04-16",24.3977
"2008-04-17",24.5536
"2008-04-18",25.0383
"2008-04-19",25.2043
"2008-04-20",25.3811
"2008-04-21",25.7083
"2008-04-22",25.7462
"2008-04-23",25.8426
"2008-04-24",25.2105
"2008-04-25",24.7601
"2008-04-26",24.605
"2008-04-27",25.01
"2008-04-28",25.5842
"2008-04-29",25.619
"2008-04-30",25.5234
"2008-05-01",25.4826
"2008-05-02",25.6332
"2008-05-03",25.5727
"2008-05-04",25.3363
"2008-05-05",25.2193
"2008-05-06",25.2287
"2008-05-07",24.3378
"2008-05-08",24.8856
"2008-05-09",24.4018
"2008-05-10",24.816
"2008-05-11",25.198
"2008-05-12",25.0594
"2008-05-13",24.7105
"2008-05-14",24.9125
"2008-05-15",24.7755
"2008-05-16",24.8232
"2008-05-17",25.1035
"2008-05-18",25.2981
"2008-05-19",25.0537
"2008-05-20",24.9894
"2008-05-21",24.7545
"2008-05-22",24.8021
"2008-05-23",24.3739
"2008-05-24",24.1478
"2008-05-25",24.5746
"2008-05-26",24.5404
"2008-05-27",24.3971
"2008-05-28",24.7844
"2008-05-29",24.6919
"2008-05-30",24.5986
"2008-05-31",24.4833
"2008-06-01",24.4904
"2008-06-02",24.2173
"2008-06-03",23.967
"2008-06-04",24.2202
"2008-06-05",24.4228
"2008-06-06",24.9636
"2008-06-07",24.9636
"2008-06-08",24.8418
"2008-06-09",24.9063
"2008-06-10",24.4346
"2008-06-11",24.544
"2008-06-12",24.8178
"2008-06-13",24.5191
"2008-06-14",24.6821
"2008-06-15",24.579
"2008-06-16",24.4361
"2008-06-17",24.2232
"2008-06-18",24.4534
"2008-06-19",24.3683
"2008-06-20",24.3469
"2008-06-21",24.5267
"2008-06-22",24.3399
"2008-06-23",24.3521
"2008-06-24",24.268
"2008-06-25",24.5268
"2008-06-26",24.2827
"2008-06-27",23.717
"2008-06-28",24.0719
"2008-06-29",24.4558
"2008-06-30",24.5606
"2008-07-01",24.4893
"2008-07-02",23.8708
"2008-07-03",23.834
"2008-07-04",24.4907
"2008-07-05",24.6179
"2008-07-06",24.4305
"2008-07-07",24.6036
"2008-07-08",24.572
"2008-07-09",24.3607
"2008-07-10",24.4755
"2008-07-11",24.254
"2008-07-12",24.2516
"2008-07-13",24.1781
"2008-07-14",24.4171
"2008-07-15",24.4344
"2008-07-16",24.0575
"2008-07-17",24.0375
"2008-07-18",24.1217
"2008-07-19",24.4129
"2008-07-20",24.0416
"2008-07-21",24.1728
"2008-07-22",24.2711
"2008-07-23",24.2332
"2008-07-24",24.0243
"2008-07-25",24.173
"2008-07-26",24.0211
"2008-07-27",23.8968
"2008-07-28",23.9921
"2008-07-29",23.7749
"2008-07-30",23.8515
"2008-07-31",23.9822
"2008-08-01",24.1624
"2008-08-02",24.2883
"2008-08-03",24.2927
"2008-08-04",24.199
"2008-08-05",24.2637
"2008-08-06",23.9675
"2008-08-07",23.7946
"2008-08-08",23.8126
"2008-08-09",23.9533
"2008-08-10",24.1774
"2008-08-11",24.1963
"2008-08-12",24.0069
"2008-08-13",23.7885
"2008-08-14",23.8594
"2008-08-15",23.9351
"2008-08-16",23.7497
"2008-08-17",23.5926
"2008-08-18",23.941
"2008-08-19",23.9233
"2008-08-20",23.9291
"2008-08-21",23.9062
"2008-08-22",23.8077
"2008-08-23",23.9293
"2008-08-24",24.1457
"2008-08-25",23.9506
"2008-08-26",24.0165
"2008-08-27",24.1119
"2008-08-28",23.8048
"2008-08-29",23.9063
"2008-08-30",23.611
"2008-08-31",23.418
"2008-09-01",23.8842
"2008-09-02",23.7624
"2008-09-03",23.9877
"2008-09-04",24.1388
"2008-09-05",23.8229
"2008-09-06",24.0416
"2008-09-07",23.7875
"2008-09-08",23.6869
"2008-09-09",23.8917
"2008-09-10",23.9299
"2008-09-11",23.8887
"2008-09-12",24.1747
"2008-09-13",23.8632
"2008-09-14",23.9698
"2008-09-15",23.6952
"2008-09-16",23.7987
"2008-09-17",23.8574
"2008-09-18",24.0713
"2008-09-19",23.7051
"2008-09-20",23.4298
"2008-09-21",23.9482
"2008-09-22",23.9141
"2008-09-23",23.7633
"2008-09-24",23.4049
"2008-09-25",23.6353
"2008-09-26",24.0508
"2008-09-27",24.1409
"2008-09-28",23.8271
"2008-09-29",22.4568
"2008-09-30",22.2071
"2008-10-01",22.9822
"2008-10-02",23.1403
"2008-10-03",22.9896
"2008-10-04",22.9091
"2008-10-05",23.3814
"2008-10-06",23.2405
"2008-10-07",23.227
"2008-10-08",23.5101
"2008-10-09",22.8793
"2008-10-10",23.771
"2008-10-11",23.4556
"2008-10-12",23.4543
"2008-10-13",23.8284
"2008-10-14",23.8605
"2008-10-15",24.1535
"2008-10-16",24.2207
"2008-10-17",24.1786
"2008-10-18",24.0827
"2008-10-19",24.1528
"2008-10-20",24.2281
"2008-10-21",23.9156
"2008-10-22",24.2361
"2008-10-23",24.2162
"2008-10-24",24.2938
"2008-10-25",23.9846
"2008-10-26",24.3253
"2008-10-27",24.7072
"2008-10-28",24.3115
"2008-10-29",23.6163
"2008-10-30",21.5141
"2008-10-31",21.9173
"2008-11-01",21.2839
"2008-11-02",21.5435
"2008-11-03",21.3748
"2008-11-04",21.3294
"2008-11-05",20.9233
"2008-11-06",20.8115
"2008-11-07",22.1363
"2008-11-08",23.7393
"2008-11-09",23.966
"2008-11-10",24.0018
"2008-11-11",23.7448
"2008-11-12",23.511
"2008-11-13",23.6456
"2008-11-14",23.9354
"2008-11-15",22.6819
"2008-11-16",24.0409
"2008-11-17",23.4919
"2008-11-18",23.3733
"2008-11-19",23.9874
"2008-11-20",24.2459
"2008-11-21",24.1246
"2008-11-22",24.01
"2008-11-23",23.9248
"2008-11-24",23.9022
"2008-11-25",23.8549
"2008-11-26",23.4938
"2008-11-27",23.4718
"2008-11-28",24.3834
"2008-11-29",24.3015
"2008-11-30",23.6897
"2008-12-01",23.779
"2008-12-02",23.5117
"2008-12-03",21.3641
"2008-12-04",21.471
"2008-12-05",22.7631
"2008-12-06",22.7042
"2008-12-07",23.3797
"2008-12-08",23.9322
"2008-12-09",23.8355
"2008-12-10",23.8399
"2008-12-11",23.7155
"2008-12-12",22.5809
"2008-12-13",22.5742
"2008-12-14",23.2275
"2008-12-15",23.5041
"2008-12-16",23.3109
"2008-12-17",23.2036
"2008-12-18",23.1306
"2008-12-19",23.4846
"2008-12-20",23.2566
"2008-12-21",22.6297
"2008-12-22",22.5138
"2008-12-23",21.098
"2008-12-24",22.5111
"2008-12-25",22.6658
"2008-12-26",22.0382
"2008-12-27",21.5322
"2008-12-28",20.9713
"2008-12-29",19.7194
"2008-12-30",18.3881
"2008-12-31",18.4641
"2009-01-01",19.3047
"2009-01-02",19.6308
"2009-01-03",20.0305
"2009-01-04",20.3106
"2009-01-05",19.7064
"2009-01-06",22.4615
"2009-01-07",22.6183
"2009-01-08",22.1708
"2009-01-09",22.9038
"2009-01-10",21.7852
"2009-01-11",21.626
"2009-01-12",21.7841
"2009-01-13",21.2069
"2009-01-14",21.1018
"2009-01-15",20.7945
"2009-01-16",20.4011
"2009-01-17",19.4298
"2009-01-18",19.9879
"2009-01-19",20.9014
"2009-01-20",19.1729
"2009-01-21",19.0175
"2009-01-22",19.1745
"2009-01-23",19.5322
"2009-01-24",19.1327
"2009-01-25",21.1657
"2009-01-26",23.2617
"2009-01-27",23.5724
"2009-01-28",23.4001
"2009-01-29",21.7414
"2009-01-30",20.9476
"2009-01-31",20.6549
"2009-02-01",19.5006
"2009-02-02",19.4378
"2009-02-03",20.1231
"2009-02-04",20.0462
"2009-02-05",18.8211
"2009-02-06",18.7083
"2009-02-07",18.6545
"2009-02-08",18.457
"2009-02-09",18.1552
"2009-02-10",17.9786
"2009-02-11",19.0362
"2009-02-12",19.0807
"2009-02-13",18.0233
"2009-02-14",18.9688
"2009-02-15",19.4543
"2009-02-16",19.1776
"2009-02-17",19.2319
"2009-02-18",19.4049
"2009-02-19",19.8447
"2009-02-20",22.3402
"2009-02-21",22.9149
"2009-02-22",22.9855
"2009-02-23",23.3761
"2009-02-24",23.9704
"2009-02-25",24.2116
"2009-02-26",23.8972
"2009-02-27",22.8503
"2009-02-28",22.2773
"2009-03-01",19.9029
"2009-03-02",20.9912
"2009-03-03",20.4397
"2009-03-04",21.8607
"2009-03-05",22.3722
"2009-03-06",22.1907
"2009-03-07",21.1273
"2009-03-08",22.5705
"2009-03-09",23.5952
"2009-03-10",23.5011
"2009-03-11",23.7158
"2009-03-12",24.037
"2009-03-13",24.0091
"2009-03-14",24.0962
"2009-03-15",23.7451
"2009-03-16",23.1283
"2009-03-17",22.7439
"2009-03-18",23.1176
"2009-03-19",23.6027
"2009-03-20",24.0316
"2009-03-21",23.9069
"2009-03-22",23.4398
"2009-03-23",23.5059
"2009-03-24",23.3896
"2009-03-25",23.8206
"2009-03-26",23.5256
"2009-03-27",24.2836
"2009-03-28",23.8106
"2009-03-29",23.3888
"2009-03-30",23.8181
"2009-03-31",23.6041
"2009-04-01",24.0998
"2009-04-02",23.671
"2009-04-03",23.293
"2009-04-04",24.0956
"2009-04-05",24.1786
"2009-04-06",24.0698
"2009-04-07",23.7611
"2009-04-08",23.8609
"2009-04-09",23.9692
"2009-04-10",24.2965
"2009-04-11",24.4174
"2009-04-12",24.3651
"2009-04-13",24.7063
"2009-04-14",25.5171
"2009-04-15",26.1138
"2009-04-16",26.052
"2009-04-17",25.5773
"2009-04-18",25.6341
"2009-04-19",25.1994
"2009-04-20",24.826
"2009-04-21",24.8428
"2009-04-22",25.1207
"2009-04-23",25.3431
"2009-04-24",25.3395
"2009-04-25",25.4095
"2009-04-26",25.3791
"2009-04-27",25.1139
"2009-04-28",25.0071
"2009-04-29",24.8984
"2009-04-30",24.7964
"2009-05-01",25.2288
"2009-05-02",25.744
"2009-05-03",25.881
"2009-05-04",25.7465
"2009-05-05",25.2916
"2009-05-06",25.4384
"2009-05-07",25.5305
"2009-05-08",25.399
"2009-05-09",25.4456
"2009-05-10",25.7646
"2009-05-11",25.7801
"2009-05-12",25.8796
"2009-05-13",25.8887
"2009-05-14",25.7114
"2009-05-15",25.039
"2009-05-16",25.7646
"2009-05-17",25.3592
"2009-05-18",25.0613
"2009-05-19",25.2328
"2009-05-20",25.249
"2009-05-21",24.9626
"2009-05-22",25.1947
"2009-05-23",25.4721
"2009-05-24",25.6175
"2009-05-25",25.0574
"2009-05-26",25.2257
"2009-05-27",25.3487
"2009-05-28",25.3136
"2009-05-29",25.336
"2009-05-30",25.1291
"2009-05-31",24.9491
"2009-06-01",24.9778
"2009-06-02",24.9643
"2009-06-03",25.3869
"2009-06-04",25.3934
"2009-06-05",24.9779
"2009-06-06",24.1814
"2009-06-07",24.6052
"2009-06-08",24.5364
"2009-06-09",24.6266
"2009-06-10",24.8701
"2009-06-11",24.6061
"2009-06-12",24.3798
"2009-06-13",24.3823
"2009-06-14",24.673
"2009-06-15",24.6492
"2009-06-16",24.6222
"2009-06-17",24.6127
"2009-06-18",24.3292
"2009-06-19",24.2659
"2009-06-20",24.3362
"2009-06-21",24.6844
"2009-06-22",24.6545
"2009-06-23",24.7141
"2009-06-24",24.7139
"2009-06-25",24.6207
"2009-06-26",24.485
"2009-06-27",24.715
"2009-06-28",24.5786
"2009-06-29",24.5192
"2009-06-30",24.3384
"2009-07-01",23.7386
"2009-07-02",23.8554
"2009-07-03",24.0342
"2009-07-04",24.4276
"2009-07-05",24.4603
"2009-07-06",24.224
"2009-07-07",24.244
"2009-07-08",23.9711
"2009-07-09",24.3569
"2009-07-10",24.2542
"2009-07-11",24.3368
"2009-07-12",24.333
"2009-07-13",24.2378
"2009-07-14",24.6046
"2009-07-15",24.6589
"2009-07-16",24.3156
"2009-07-17",24.005
"2009-07-18",23.9868
"2009-07-19",24.2923
"2009-07-20",24.34
"2009-07-21",24.1639
"2009-07-22",24.1692
"2009-07-23",24.2549
"2009-07-24",24.2384
"2009-07-25",24.2534
"2009-07-26",24.3765
"2009-07-27",24.429
"2009-07-28",24.0927
"2009-07-29",24.1769
"2009-07-30",24.3514
"2009-07-31",24.1978
"2009-08-01",24.1342
"2009-08-02",24.2437
"2009-08-03",24.2306
"2009-08-04",24.2002
"2009-08-05",24.0668
"2009-08-06",24.2973
"2009-08-07",24.1811
"2009-08-08",24.1688
"2009-08-09",24.1492
"2009-08-10",24.2485
"2009-08-11",24.3877
"2009-08-12",24.3016
"2009-08-13",24.2838
"2009-08-14",24.6107
"2009-08-15",24.5674
"2009-08-16",24.535
"2009-08-17",23.6568
"2009-08-18",23.868
"2009-08-19",23.929
"2009-08-20",23.9686
"2009-08-21",23.8517
"2009-08-22",24.0601
"2009-08-23",24.1931
"2009-08-24",24.092
"2009-08-25",24.1047
"2009-08-26",24.3855
"2009-08-27",24.5341
"2009-08-28",24.3815
"2009-08-29",24.4235
"2009-08-30",24.3337
"2009-08-31",24.3893
"2009-09-01",24.5212
"2009-09-02",24.1583
"2009-09-03",24.1508
"2009-09-04",23.9783
"2009-09-05",24.207
"2009-09-06",24.0791
"2009-09-07",24.2165
"2009-09-08",24.2351
"2009-09-09",24.0996
"2009-09-10",24.0283
"2009-09-11",24.0212
"2009-09-12",24.3792
"2009-09-13",24.698
"2009-09-14",24.3073
"2009-09-15",24.1367
"2009-09-16",24.3303
"2009-09-17",24.3579
"2009-09-18",24.2516
"2009-09-19",24.1741
"2009-09-20",24.0826
"2009-09-21",24.2461
"2009-09-22",24.0586
"2009-09-23",23.9953
"2009-09-24",24.1343
"2009-09-25",24.5251
"2009-09-26",24.1831
"2009-09-27",23.888
"2009-09-28",24.1063
"2009-09-29",24.2326
"2009-09-30",24.2694
"2009-10-01",24.2861
"2009-10-02",24.1709
"2009-10-03",24.4492
"2009-10-04",23.8349
"2009-10-05",23.769
"2009-10-06",23.5404
"2009-10-07",24.0686
"2009-10-08",23.955
"2009-10-09",24.0079
"2009-10-10",23.9514
"2009-10-11",23.6022
"2009-10-12",23.3995
"2009-10-13",23.572
"2009-10-14",23.3668
"2009-10-15",22.9756
"2009-10-16",22.3287
"2009-10-17",22.8806
"2009-10-18",23.3168
"2009-10-19",23.7526
"2009-10-20",23.9864
"2009-10-21",22.6142
"2009-10-22",21.4869
"2009-10-23",20.8041
"2009-10-24",22.0602
"2009-10-25",21.9877
"2009-10-26",21.2385
"2009-10-27",21.7111
"2009-10-28",23.7755
"2009-10-29",23.987
"2009-10-30",24.2669
"2009-10-31",24.0687
"2009-11-01",23.8998
"2009-11-02",23.8838
"2009-11-03",23.8816
"2009-11-04",24.0432
"2009-11-05",24.2163
"2009-11-06",24.1884
"2009-11-07",24.2738
"2009-11-08",24.2508
"2009-11-09",24.1139
"2009-11-10",23.8331
"2009-11-11",24.4954
"2009-11-12",24.6425
"2009-11-13",24.4763
"2009-11-14",24.2209
"2009-11-15",24.0035
"2009-11-16",23.9967
"2009-11-17",24.0124
"2009-11-18",23.7813
"2009-11-19",23.6753
"2009-11-20",23.6043
"2009-11-21",23.9792
"2009-11-22",24.0316
"2009-11-23",24.0737
"2009-11-24",23.8148
"2009-11-25",23.6166
"2009-11-26",21.9116
"2009-11-27",20.4501
"2009-11-28",22.0755
"2009-11-29",23.529
"2009-11-30",23.5805
"2009-12-01",23.6156
"2009-12-02",23.641
"2009-12-03",24.0746
"2009-12-04",23.8015
"2009-12-05",22.924
"2009-12-06",22.2613
"2009-12-07",22.7834
"2009-12-08",23.6006
"2009-12-09",22.7851
"2009-12-10",21.4785
"2009-12-11",23.3972
"2009-12-12",24.0376
