,"(deg C) Mean Dew Point Temperature (ERA5) at Matara, 2007-01-01 to 2025-12-31"
"2007-12-06",20.6287
"2007-12-07",22.1089
"2007-12-08",22.5154
"2007-12-09",22.8047
"2007-12-10",22.5966
"2007-12-11",22.923
"2007-12-12",22.9351
"2007-12-13",22.7871
"2007-12-14",23.0797
"2007-12-15",22.783
"2007-12-16",22.7668
"2007-12-17",23.5413
"2007-12-18",23.2568
"2007-12-19",22.9784
"2007-12-20",23.1854
"2007-12-21",22.8944
"2007-12-22",22.5547
"2007-12-23",22.3073
"2007-12-24",22.918
"2007-12-25",23.2853
"2007-12-26",22.1705
"2007-12-27",21.344
"2007-12-28",21.6981
"2007-12-29",21.5066
"2007-12-30",21.5421
"2007-12-31",21.3673
"2008-01-01",21.211
"2008-01-02",22.2386
"2008-01-03",22.7593
"2008-01-04",22.6995
"2008-01-05",22.6692
"2008-01-06",22.753
"2008-01-07",22.7577
"2008-01-08",22.8699
"2008-01-09",22.9355
"2008-01-10",22.8966
"2008-01-11",22.6985
"2008-01-12",22.7433
"2008-01-13",22.3676
"2008-01-14",21.0205
"2008-01-15",20.8579
"2008-01-16",20.6504
"2008-01-17",20.6955
"2008-01-18",20.8692
"2008-01-19",20.0479
"2008-01-20",21.4997
"2008-01-21",22.7075
"2008-01-22",21.9304
"2008-01-23",21.6034
"2008-01-24",21.8091
"2008-01-25",22.8175
"2008-01-26",22.9427
"2008-01-27",22.2033
"2008-01-28",21.9829
"2008-01-29",22.1587
"2008-01-30",22.302
"2008-01-31",22.4502
"2008-02-01",22.2432
"2008-02-02",21.8027
"2008-02-03",21.9095
"2008-02-04",22.6754
"2008-02-05",22.524
"2008-02-06",22.9654
"2008-02-07",23.0225
"2008-02-08",22.8875
"2008-02-09",22.9071
"2008-02-10",22.9715
"2008-02-11",22.843
"2008-02-12",22.6327
"2008-02-13",22.7
"2008-02-14",22.111
"2008-02-15",22.4218
"2008-02-16",22.4073
"2008-02-17",21.7091
"2008-02-18",21.3383
"2008-02-19",21.6327
"2008-02-20",21.831
"2008-02-21",21.9622
"2008-02-22",22.0421
"2008-02-23",21.1502
"2008-02-24",20.3114
"2008-02-25",19.7704
"2008-02-26",20.1823
"2008-02-27",22.003
"2008-02-28",22.3023
"2008-02-29",22.595
"2008-03-01",22.7061
"2008-03-02",22.4711
"2008-03-03",22.5074
"2008-03-04",23.1379
"2008-03-05",22.8929
"2008-03-06",22.3461
"2008-03-07",21.8036
"2008-03-08",21.1338
"2008-03-09",22.3822
"2008-03-10",22.1706
"2008-03-11",22.7493
"2008-03-12",22.912
"2008-03-13",22.6506
"2008-03-14",22.8607
"2008-03-15",22.515
"2008-03-16",22.9335
"2008-03-17",22.8047
"2008-03-18",22.802
"2008-03-19",22.9661
"2008-03-20",23.065
"2008-03-21",23.413
"2008-03-22",23.4188
"2008-03-23",23.3566
"2008-03-24",23.4401
"2008-03-25",23.0343
"2008-03-26",22.9112
"2008-03-27",23.0439
"2008-03-28",22.79
"2008-03-29",23.5793
"2008-03-30",23.6487
"2008-03-31",23.2816
"2008-04-01",23.4834
"2008-04-02",23.0586
"2008-04-03",23.0084
"2008-04-04",23.4101
"2008-04-05",22.9443
"2008-04-06",22.7732
"2008-04-07",22.6408
"2008-04-08",22.6579
"2008-04-09",22.7186
"2008-04-10",23.0153
"2008-04-11",23.3607
"2008-04-12",23.06
"2008-04-13",22.8131
"2008-04-14",23.2123
"2008-04-15",23.3108
"2008-04-16",23.3948
"2008-04-17",23.4747
"2008-04-18",23.7009
"2008-04-19",23.8085
"2008-04-20",24.0076
"2008-04-21",24.5083
"2008-04-22",24.431
"2008-04-23",24.5367
"2008-04-24",24.0095
"2008-04-25",23.1894
"2008-04-26",23.6662
"2008-04-27",23.5499
"2008-04-28",23.0101
"2008-04-29",24.0951
"2008-04-30",24.9204
"2008-05-01",24.9445
"2008-05-02",24.5125
"2008-05-03",24.6327
"2008-05-04",24.4081
"2008-05-05",24.4281
"2008-05-06",23.9206
"2008-05-07",23.9076
"2008-05-08",23.8643
"2008-05-09",23.2717
"2008-05-10",23.7086
"2008-05-11",24.3484
"2008-05-12",23.9389
"2008-05-13",24.1931
"2008-05-14",23.9958
"2008-05-15",24.0098
"2008-05-16",24.2813
"2008-05-17",24.275
"2008-05-18",24.862
"2008-05-19",24.7753
"2008-05-20",24.3831
"2008-05-21",23.8911
"2008-05-22",24.1185
"2008-05-23",24.0001
"2008-05-24",23.4562
"2008-05-25",23.9167
"2008-05-26",23.8969
"2008-05-27",23.4716
"2008-05-28",24.0353
"2008-05-29",23.6176
"2008-05-30",23.5627
"2008-05-31",23.5118
"2008-06-01",23.0375
"2008-06-02",23.1145
"2008-06-03",23.2358
"2008-06-04",23.8354
"2008-06-05",23.5785
"2008-06-06",24.0769
"2008-06-07",24.0769
"2008-06-08",24.0795
"2008-06-09",24.2227
"2008-06-10",23.4475
"2008-06-11",23.6067
"2008-06-12",24.1741
"2008-06-13",23.7002
"2008-06-14",23.7947
"2008-06-15",23.375
"2008-06-16",24.1223
"2008-06-17",23.5106
"2008-06-18",23.7697
"2008-06-19",23.983
"2008-06-20",23.5183
"2008-06-21",23.8749
"2008-06-22",23.7593
"2008-06-23",23.5616
"2008-06-24",23.1588
"2008-06-25",23.7156
"2008-06-26",23.5777
"2008-06-27",23.799
"2008-06-28",23.1595
"2008-06-29",23.2338
"2008-06-30",23.5068
"2008-07-01",23.2133
"2008-07-02",22.1541
"2008-07-03",22.8458
"2008-07-04",23.98
"2008-07-05",24.2752
"2008-07-06",24.1143
"2008-07-07",23.8878
"2008-07-08",23.4509
"2008-07-09",23.7255
"2008-07-10",24.0026
"2008-07-11",23.4671
"2008-07-12",23.1611
"2008-07-13",23.0594
"2008-07-14",23.7136
"2008-07-15",23.4556
"2008-07-16",22.8198
"2008-07-17",22.96
"2008-07-18",23.3393
"2008-07-19",23.2944
"2008-07-20",22.7884
"2008-07-21",23.2561
"2008-07-22",23.542
"2008-07-23",23.0807
"2008-07-24",22.7279
"2008-07-25",22.9087
"2008-07-26",23.3603
"2008-07-27",23.1253
"2008-07-28",23.1598
"2008-07-29",22.68
"2008-07-30",23.2682
"2008-07-31",23.392
"2008-08-01",23.2546
"2008-08-02",23.5154
"2008-08-03",23.614
"2008-08-04",23.4574
"2008-08-05",23.7289
"2008-08-06",23.4629
"2008-08-07",23.1076
"2008-08-08",23.2631
"2008-08-09",23.2726
"2008-08-10",23.3413
"2008-08-11",23.825
"2008-08-12",23.8763
"2008-08-13",23.406
"2008-08-14",23.4777
"2008-08-15",23.4173
"2008-08-16",23.2147
"2008-08-17",22.7245
"2008-08-18",23.7148
"2008-08-19",23.0118
"2008-08-20",23.535
"2008-08-21",23.5631
"2008-08-22",23.229
"2008-08-23",22.9779
"2008-08-24",23.0432
"2008-08-25",23.3743
"2008-08-26",23.5447
"2008-08-27",23.0783
"2008-08-28",23.0031
"2008-08-29",23.4785
"2008-08-30",22.8699
"2008-08-31",22.5249
"2008-09-01",22.8369
"2008-09-02",23.0774
"2008-09-03",22.7401
"2008-09-04",23.5488
"2008-09-05",22.9063
"2008-09-06",23.0953
"2008-09-07",22.5604
"2008-09-08",22.6053
"2008-09-09",23.0772
"2008-09-10",23.3899
"2008-09-11",23.5623
"2008-09-12",23.7487
"2008-09-13",23.5275
"2008-09-14",23.4906
"2008-09-15",23.5004
"2008-09-16",23.7136
"2008-09-17",22.9716
"2008-09-18",23.1934
"2008-09-19",22.9201
"2008-09-20",22.5377
"2008-09-21",22.5593
"2008-09-22",23.0864
"2008-09-23",22.6878
"2008-09-24",22.1615
"2008-09-25",22.3056
"2008-09-26",23.5844
"2008-09-27",23.5117
"2008-09-28",23.5311
"2008-09-29",23.1288
"2008-09-30",21.9203
"2008-10-01",21.6588
"2008-10-02",21.8121
"2008-10-03",21.8918
"2008-10-04",22.6801
"2008-10-05",22.954
"2008-10-06",23.3213
"2008-10-07",22.8494
"2008-10-08",23.0531
"2008-10-09",22.6702
"2008-10-10",23.2213
"2008-10-11",23.1886
"2008-10-12",22.9788
"2008-10-13",23.1196
"2008-10-14",22.9628
"2008-10-15",23.2131
"2008-10-16",23.3807
"2008-10-17",23.3409
"2008-10-18",23.5177
"2008-10-19",23.4542
"2008-10-20",23.6643
"2008-10-21",23.4676
"2008-10-22",23.0375
"2008-10-23",23.2988
"2008-10-24",23.0952
"2008-10-25",22.8178
"2008-10-26",23.3159
"2008-10-27",23.5977
"2008-10-28",23.951
"2008-10-29",22.8132
"2008-10-30",22.5301
"2008-10-31",21.8068
"2008-11-01",21.27
"2008-11-02",20.7628
"2008-11-03",20.5302
"2008-11-04",21.5654
"2008-11-05",22.1407
"2008-11-06",21.4438
"2008-11-07",22.6324
"2008-11-08",22.9803
"2008-11-09",23.0743
"2008-11-10",23.0658
"2008-11-11",23.3292
"2008-11-12",23.1991
"2008-11-13",22.9315
"2008-11-14",23.3122
"2008-11-15",23.1703
"2008-11-16",22.9959
"2008-11-17",22.2727
"2008-11-18",22.4657
"2008-11-19",22.9732
"2008-11-20",23.6531
"2008-11-21",23.1904
"2008-11-22",23.0915
"2008-11-23",23.2479
"2008-11-24",23.0677
"2008-11-25",23.3719
"2008-11-26",23.1852
"2008-11-27",23.7143
"2008-11-28",23.6539
"2008-11-29",23.4153
"2008-11-30",22.6315
"2008-12-01",22.4917
"2008-12-02",23.2011
"2008-12-03",23.0199
"2008-12-04",23.1349
"2008-12-05",22.9656
"2008-12-06",23.1418
"2008-12-07",22.1787
"2008-12-08",22.7737
"2008-12-09",23.3078
"2008-12-10",23.1974
"2008-12-11",23.6774
"2008-12-12",22.7413
"2008-12-13",22.4589
"2008-12-14",22.4058
"2008-12-15",22.2943
"2008-12-16",22.6995
"2008-12-17",22.8906
"2008-12-18",22.6013
"2008-12-19",23.1244
"2008-12-20",23.2564
"2008-12-21",22.4014
"2008-12-22",21.176
"2008-12-23",21.8001
"2008-12-24",22.6276
"2008-12-25",22.3921
"2008-12-26",22.2827
"2008-12-27",21.6573
"2008-12-28",21.9969
"2008-12-29",21.2417
"2008-12-30",21.1302
"2008-12-31",20.6901
"2009-01-01",20.4514
"2009-01-02",20.4828
"2009-01-03",19.31
"2009-01-04",21.1113
"2009-01-05",22.3415
"2009-01-06",20.7653
"2009-01-07",22.2276
"2009-01-08",21.9032
"2009-01-09",22.5214
"2009-01-10",22.2396
"2009-01-11",20.7784
"2009-01-12",20.4116
"2009-01-13",20.7855
"2009-01-14",19.9563
"2009-01-15",20.057
"2009-01-16",21.1618
"2009-01-17",20.4145
"2009-01-18",20.7296
"2009-01-19",21.2175
"2009-01-20",22.3461
"2009-01-21",22.0774
"2009-01-22",21.1924
"2009-01-23",21.2022
"2009-01-24",20.3091
"2009-01-25",22.0243
"2009-01-26",23.1327
"2009-01-27",22.1451
"2009-01-28",22.2937
"2009-01-29",20.811
"2009-01-30",17.0898
"2009-01-31",19.3073
"2009-02-01",20.5076
"2009-02-02",20.8876
"2009-02-03",19.8568
"2009-02-04",20.3262
"2009-02-05",19.8197
"2009-02-06",19.0447
"2009-02-07",18.9267
"2009-02-08",18.9383
"2009-02-09",18.4133
"2009-02-10",19.4849
"2009-02-11",20.0336
"2009-02-12",19.2288
"2009-02-13",17.7644
"2009-02-14",19.4562
"2009-02-15",19.4302
"2009-02-16",21.2685
"2009-02-17",21.1609
"2009-02-18",20.8726
"2009-02-19",20.6415
"2009-02-20",21.2093
"2009-02-21",20.7598
"2009-02-22",21.8292
"2009-02-23",22.5312
"2009-02-24",22.7225
"2009-02-25",23.3447
"2009-02-26",23.1609
"2009-02-27",22.1148
"2009-02-28",22.2539
"2009-03-01",21.8597
"2009-03-02",20.5772
"2009-03-03",21.2347
"2009-03-04",21.9935
"2009-03-05",21.9553
"2009-03-06",23.0923
"2009-03-07",23.1133
"2009-03-08",22.7122
"2009-03-09",23.1207
"2009-03-10",23.2074
"2009-03-11",22.6366
"2009-03-12",22.5818
"2009-03-13",22.8367
"2009-03-14",22.1174
"2009-03-15",22.5844
"2009-03-16",22.7844
"2009-03-17",22.7339
"2009-03-18",23.0146
"2009-03-19",23.1828
"2009-03-20",23.1092
"2009-03-21",23.4907
"2009-03-22",23.769
"2009-03-23",23.725
"2009-03-24",22.7739
"2009-03-25",22.8821
"2009-03-26",23.4398
"2009-03-27",23.1294
"2009-03-28",23.2693
"2009-03-29",23.2068
"2009-03-30",22.6419
"2009-03-31",23.5251
"2009-04-01",23.3863
"2009-04-02",22.9944
"2009-04-03",22.9905
"2009-04-04",23.0985
"2009-04-05",23.1213
"2009-04-06",23.4019
"2009-04-07",23.5701
"2009-04-08",23.2266
"2009-04-09",23.6195
"2009-04-10",23.2053
"2009-04-11",23.9419
"2009-04-12",24.4786
"2009-04-13",24.0158
"2009-04-14",24.4249
"2009-04-15",24.5619
"2009-04-16",24.5625
"2009-04-17",24.7799
"2009-04-18",25.1177
"2009-04-19",24.9128
"2009-04-20",24.4414
"2009-04-21",23.3046
"2009-04-22",23.8704
"2009-04-23",24.5323
"2009-04-24",23.9431
"2009-04-25",23.9145
"2009-04-26",24.0698
"2009-04-27",24.0459
"2009-04-28",23.398
"2009-04-29",23.1838
"2009-04-30",23.9583
"2009-05-01",24.5271
"2009-05-02",24.8131
"2009-05-03",25.1963
"2009-05-04",25.0313
"2009-05-05",24.3338
"2009-05-06",24.497
"2009-05-07",25.1531
"2009-05-08",24.6723
"2009-05-09",24.9992
"2009-05-10",24.9833
"2009-05-11",25.2783
"2009-05-12",24.7109
"2009-05-13",24.36
"2009-05-14",24.9251
"2009-05-15",24.7124
"2009-05-16",24.7906
"2009-05-17",24.4367
"2009-05-18",24.1813
"2009-05-19",24.1968
"2009-05-20",23.803
"2009-05-21",24.1865
"2009-05-22",24.0355
"2009-05-23",24.2072
"2009-05-24",24.3269
"2009-05-25",24.092
"2009-05-26",24.3202
"2009-05-27",24.2099
"2009-05-28",24.2823
"2009-05-29",24.5568
"2009-05-30",24.6699
"2009-05-31",24.5808
"2009-06-01",24.5146
"2009-06-02",23.9301
"2009-06-03",24.3727
"2009-06-04",24.5726
"2009-06-05",23.9932
"2009-06-06",23.3766
"2009-06-07",24.2059
"2009-06-08",24.1599
"2009-06-09",24.324
"2009-06-10",23.9809
"2009-06-11",23.4003
"2009-06-12",23.2913
"2009-06-13",23.4189
"2009-06-14",23.5844
"2009-06-15",23.8304
"2009-06-16",23.7435
"2009-06-17",23.7815
"2009-06-18",23.5241
"2009-06-19",23.4615
"2009-06-20",23.5695
"2009-06-21",23.978
"2009-06-22",23.6685
"2009-06-23",24.1553
"2009-06-24",23.9387
"2009-06-25",23.7215
"2009-06-26",23.0364
"2009-06-27",23.5648
"2009-06-28",23.5775
"2009-06-29",23.2991
"2009-06-30",23.1455
"2009-07-01",22.9897
"2009-07-02",23.2124
"2009-07-03",22.6681
"2009-07-04",23.4618
"2009-07-05",23.4574
"2009-07-06",23.5637
"2009-07-07",23.5233
"2009-07-08",22.8596
"2009-07-09",22.9782
"2009-07-10",23.6041
"2009-07-11",24.0169
"2009-07-12",23.2648
"2009-07-13",23.391
"2009-07-14",23.7898
"2009-07-15",23.8763
"2009-07-16",23.1707
"2009-07-17",22.5548
"2009-07-18",22.8461
"2009-07-19",23.2761
"2009-07-20",23.1591
"2009-07-21",23.4763
"2009-07-22",23.3278
"2009-07-23",23.0151
"2009-07-24",23.7113
"2009-07-25",23.608
"2009-07-26",23.6826
"2009-07-27",23.7404
"2009-07-28",23.4143
"2009-07-29",23.4527
"2009-07-30",23.8826
"2009-07-31",23.8725
"2009-08-01",23.3769
"2009-08-02",23.5733
"2009-08-03",23.5008
"2009-08-04",23.8138
"2009-08-05",23.5985
"2009-08-06",23.5488
"2009-08-07",23.6228
"2009-08-08",23.685
"2009-08-09",23.8596
"2009-08-10",23.8202
"2009-08-11",23.5697
"2009-08-12",23.3888
"2009-08-13",24.0805
"2009-08-14",23.8636
"2009-08-15",23.5731
"2009-08-16",23.4655
"2009-08-17",22.9778
"2009-08-18",23.2914
"2009-08-19",23.2614
"2009-08-20",23.1222
"2009-08-21",22.9358
"2009-08-22",22.9953
"2009-08-23",23.2701
"2009-08-24",23.9586
"2009-08-25",23.4864
"2009-08-26",23.3666
"2009-08-27",23.5318
"2009-08-28",23.5386
"2009-08-29",23.6989
"2009-08-30",23.6393
"2009-08-31",23.4859
"2009-09-01",23.7543
"2009-09-02",23.3445
"2009-09-03",23.5343
"2009-09-04",23.5183
"2009-09-05",23.6409
"2009-09-06",23.4238
"2009-09-07",23.4832
"2009-09-08",23.5931
"2009-09-09",23.8136
"2009-09-10",23.6297
"2009-09-11",23.3243
"2009-09-12",23.5363
"2009-09-13",24.0271
"2009-09-14",22.8808
"2009-09-15",23.4405
"2009-09-16",23.3403
"2009-09-17",23.2565
"2009-09-18",23.223
"2009-09-19",23.3659
"2009-09-20",23.5691
"2009-09-21",23.5388
"2009-09-22",23.1775
"2009-09-23",23.5192
"2009-09-24",23.1635
"2009-09-25",23.1676
"2009-09-26",23.0265
"2009-09-27",22.894
"2009-09-28",23.3573
"2009-09-29",23.2634
"2009-09-30",23.8002
"2009-10-01",23.3637
"2009-10-02",23.5411
"2009-10-03",23.8036
"2009-10-04",23.9173
"2009-10-05",23.0418
"2009-10-06",23.1469
"2009-10-07",23.5282
"2009-10-08",23.3232
"2009-10-09",23.0221
"2009-10-10",22.8175
"2009-10-11",23.0223
"2009-10-12",22.6525
"2009-10-13",22.0835
"2009-10-14",22.428
"2009-10-15",22.9432
"2009-10-16",23.1295
"2009-10-17",23.1651
"2009-10-18",23.6288
"2009-10-19",23.1133
"2009-10-20",22.827
"2009-10-21",23.4906
"2009-10-22",22.7042
"2009-10-23",22.6473
"2009-10-24",22.7494
"2009-10-25",23.086
"2009-10-26",23.058
"2009-10-27",23.3296
"2009-10-28",23.3973
"2009-10-29",23.2377
"2009-10-30",23.5018
"2009-10-31",23.2103
"2009-11-01",23.3088
"2009-11-02",22.7551
"2009-11-03",23.1607
"2009-11-04",23.1111
"2009-11-05",23.0993
"2009-11-06",23.5534
"2009-11-07",23.6415
"2009-11-08",23.6003
"2009-11-09",23.2746
"2009-11-10",23.2192
"2009-11-11",23.3341
"2009-11-12",23.4062
"2009-11-13",23.5577
"2009-11-14",23.2061
"2009-11-15",22.9849
"2009-11-16",23.5297
"2009-11-17",23.2467
"2009-11-18",22.775
"2009-11-19",23.1839
"2009-11-20",22.6944
"2009-11-21",22.9307
"2009-11-22",22.8081
"2009-11-23",22.9067
"2009-11-24",22.9925
"2009-11-25",22.2812
"2009-11-26",22.4642
"2009-11-27",22.3512
"2009-11-28",22.6077
"2009-11-29",22.8862
"2009-11-30",23.2794
"2009-12-01",23.1031
"2009-12-02",23.0457
"2009-12-03",22.8844
"2009-12-04",22.8631
"2009-12-05",23.0696
"2009-12-06",22.9983
"2009-12-07",23.7011
"2009-12-08",23.6967
"2009-12-09",23.8923
"2009-12-10",23.3957
"2009-12-11",23.4778
"2009-12-12",23.4436
