,"(deg C) Mean Dew Point Temperature (ERA5) at Ratnapura, 2007-01-01 to 2025-12-31"
"2007-11-21",21.8063
"2007-11-22",21.9008
"2007-11-23",21.8473
"2007-11-24",22.0385
"2007-11-25",21.6008
"2007-11-26",21.0127
"2007-11-27",20.825
"2007-11-28",21.0373
"2007-11-29",20.5198
"2007-11-30",19.6926
"2007-12-01",19.9664
"2007-12-02",20.5653
"2007-12-03",20.463
"2007-12-04",20.5532
"2007-12-05",19.7212
"2007-12-06",19.5176
"2007-12-07",20.7658
"2007-12-08",21.2135
"2007-12-09",21.399
"2007-12-10",20.7409
"2007-12-11",20.3887
"2007-12-12",21.2026
"2007-12-13",21.7536
"2007-12-14",22.224
"2007-12-15",21.6712
"2007-12-16",21.5682
"2007-12-17",22.0488
"2007-12-18",22.2125
"2007-12-19",22.0025
"2007-12-20",21.9753
"2007-12-21",21.7132
"2007-12-22",21.3893
"2007-12-23",20.8663
"2007-12-24",21.701
"2007-12-25",21.489
"2007-12-26",20.0489
"2007-12-27",19.6977
"2007-12-28",20.0059
"2007-12-29",19.8385
"2007-12-30",19.3745
"2007-12-31",19.0499
"2008-01-01",19.3017
"2008-01-02",20.8707
"2008-01-03",21.8146
"2008-01-04",21.4858
"2008-01-05",21.3897
"2008-01-06",21.4068
"2008-01-07",21.5957
"2008-01-08",21.748
"2008-01-09",21.8479
"2008-01-10",21.7826
"2008-01-11",21.709
"2008-01-12",21.6933
"2008-01-13",21.1139
"2008-01-14",19.3408
"2008-01-15",18.7981
"2008-01-16",18.9283
"2008-01-17",18.8767
"2008-01-18",19.2546
"2008-01-19",19.5122
"2008-01-20",20.2104
"2008-01-21",21.5939
"2008-01-22",20.7786
"2008-01-23",20.2046
"2008-01-24",20.4238
"2008-01-25",21.2627
"2008-01-26",21.3602
"2008-01-27",20.8145
"2008-01-28",20.6077
"2008-01-29",20.6585
"2008-01-30",20.8888
"2008-01-31",20.936
"2008-02-01",21.0754
"2008-02-02",20.7296
"2008-02-03",20.904
"2008-02-04",21.0874
"2008-02-05",20.9336
"2008-02-06",21.5865
"2008-02-07",21.841
"2008-02-08",21.6832
"2008-02-09",21.7645
"2008-02-10",21.71
"2008-02-11",21.545
"2008-02-12",21.1999
"2008-02-13",21.1576
"2008-02-14",20.6453
"2008-02-15",21.3268
"2008-02-16",21.0396
"2008-02-17",19.7858
"2008-02-18",19.8564
"2008-02-19",20.6892
"2008-02-20",20.8688
"2008-02-21",20.6397
"2008-02-22",19.5519
"2008-02-23",18.7066
"2008-02-24",17.6569
"2008-02-25",16.6605
"2008-02-26",19.0374
"2008-02-27",21.2508
"2008-02-28",21.412
"2008-02-29",21.5033
"2008-03-01",21.4587
"2008-03-02",21.0635
"2008-03-03",21.3281
"2008-03-04",21.3979
"2008-03-05",21.3913
"2008-03-06",21.0002
"2008-03-07",20.4347
"2008-03-08",19.7816
"2008-03-09",21.2898
"2008-03-10",21.3526
"2008-03-11",21.3635
"2008-03-12",21.4911
"2008-03-13",21.4764
"2008-03-14",21.6376
"2008-03-15",21.5104
"2008-03-16",21.7873
"2008-03-17",21.6411
"2008-03-18",21.3755
"2008-03-19",21.3895
"2008-03-20",21.3657
"2008-03-21",21.9116
"2008-03-22",22.0264
"2008-03-23",22.3888
"2008-03-24",22.1402
"2008-03-25",21.4517
"2008-03-26",21.3087
"2008-03-27",21.7486
"2008-03-28",21.6593
"2008-03-29",22.1585
"2008-03-30",22.6189
"2008-03-31",21.8307
"2008-04-01",22.0443
"2008-04-02",21.4193
"2008-04-03",21.356
"2008-04-04",21.6749
"2008-04-05",21.5031
"2008-04-06",21.4754
"2008-04-07",21.3567
"2008-04-08",21.5231
"2008-04-09",21.4385
"2008-04-10",21.7369
"2008-04-11",22.1028
"2008-04-12",21.5797
"2008-04-13",21.4449
"2008-04-14",21.9512
"2008-04-15",22.0817
"2008-04-16",22.2761
"2008-04-17",21.853
"2008-04-18",22.2398
"2008-04-19",22.3758
"2008-04-20",22.7535
"2008-04-21",22.8637
"2008-04-22",22.899
"2008-04-23",23.144
"2008-04-24",22.6264
"2008-04-25",21.859
"2008-04-26",22.4867
"2008-04-27",22.3948
"2008-04-28",21.8847
"2008-04-29",22.8132
"2008-04-30",23.7962
"2008-05-01",23.6004
"2008-05-02",23.1818
"2008-05-03",23.2722
"2008-05-04",23.1419
"2008-05-05",22.9794
"2008-05-06",22.8153
"2008-05-07",22.4991
"2008-05-08",22.6269
"2008-05-09",21.4863
"2008-05-10",21.8862
"2008-05-11",23.2602
"2008-05-12",22.818
"2008-05-13",22.6036
"2008-05-14",22.5598
"2008-05-15",22.7194
"2008-05-16",23.0115
"2008-05-17",23.0486
"2008-05-18",23.6337
"2008-05-19",23.1639
"2008-05-20",23.0641
"2008-05-21",22.5646
"2008-05-22",22.9019
"2008-05-23",22.7395
"2008-05-24",22.1371
"2008-05-25",22.7282
"2008-05-26",22.4861
"2008-05-27",22.0475
"2008-05-28",22.9006
"2008-05-29",22.4
"2008-05-30",22.2931
"2008-05-31",22.1832
"2008-06-01",21.7757
"2008-06-02",21.7112
"2008-06-03",21.356
"2008-06-04",22.1562
"2008-06-05",22.266
"2008-06-06",22.5582
"2008-06-07",22.5582
"2008-06-08",22.6606
"2008-06-09",22.679
"2008-06-10",22.1015
"2008-06-11",22.17
"2008-06-12",22.5176
"2008-06-13",22.6393
"2008-06-14",22.2478
"2008-06-15",22.1275
"2008-06-16",22.1368
"2008-06-17",21.4462
"2008-06-18",22.1736
"2008-06-19",22.3734
"2008-06-20",22.088
"2008-06-21",22.5199
"2008-06-22",22.391
"2008-06-23",22.3523
"2008-06-24",21.8934
"2008-06-25",22.4036
"2008-06-26",22.1021
"2008-06-27",21.8506
"2008-06-28",21.2256
"2008-06-29",21.8839
"2008-06-30",22.0769
"2008-07-01",21.8572
"2008-07-02",20.447
"2008-07-03",21.1587
"2008-07-04",22.5522
"2008-07-05",22.7316
"2008-07-06",22.5798
"2008-07-07",22.4951
"2008-07-08",21.8717
"2008-07-09",22.1191
"2008-07-10",22.4572
"2008-07-11",21.7867
"2008-07-12",21.5984
"2008-07-13",21.3736
"2008-07-14",22.1717
"2008-07-15",22.2551
"2008-07-16",21.385
"2008-07-17",21.5517
"2008-07-18",21.896
"2008-07-19",22.1358
"2008-07-20",21.4488
"2008-07-21",21.9156
"2008-07-22",21.9779
"2008-07-23",21.983
"2008-07-24",21.3075
"2008-07-25",21.576
"2008-07-26",21.7798
"2008-07-27",21.5159
"2008-07-28",21.6574
"2008-07-29",20.9745
"2008-07-30",21.4237
"2008-07-31",21.2153
"2008-08-01",21.6073
"2008-08-02",21.957
"2008-08-03",22.288
"2008-08-04",22.1228
"2008-08-05",22.0804
"2008-08-06",21.864
"2008-08-07",21.5167
"2008-08-08",21.7342
"2008-08-09",22.0348
"2008-08-10",21.962
"2008-08-11",22.0077
"2008-08-12",21.796
"2008-08-13",21.7731
"2008-08-14",22.0084
"2008-08-15",21.9241
"2008-08-16",21.5462
"2008-08-17",21.1819
"2008-08-18",21.856
"2008-08-19",21.5067
"2008-08-20",21.5992
"2008-08-21",21.9363
"2008-08-22",21.5432
"2008-08-23",21.569
"2008-08-24",21.5199
"2008-08-25",22.0064
"2008-08-26",21.8539
"2008-08-27",21.7067
"2008-08-28",21.769
"2008-08-29",22.0108
"2008-08-30",21.3552
"2008-08-31",21.0661
"2008-09-01",21.087
"2008-09-02",21.4078
"2008-09-03",20.928
"2008-09-04",22.018
"2008-09-05",21.4515
"2008-09-06",21.365
"2008-09-07",20.8448
"2008-09-08",20.6228
"2008-09-09",21.3538
"2008-09-10",21.5876
"2008-09-11",22.0654
"2008-09-12",22.1573
"2008-09-13",21.7896
"2008-09-14",21.4481
"2008-09-15",21.5255
"2008-09-16",21.7707
"2008-09-17",21.2896
"2008-09-18",21.5344
"2008-09-19",21.2626
"2008-09-20",21.208
"2008-09-21",21.1793
"2008-09-22",21.5832
"2008-09-23",21.2645
"2008-09-24",21.1121
"2008-09-25",20.9127
"2008-09-26",21.6622
"2008-09-27",21.8035
"2008-09-28",21.8192
"2008-09-29",21.3755
"2008-09-30",19.6393
"2008-10-01",19.7645
"2008-10-02",20.605
"2008-10-03",20.3058
"2008-10-04",20.8044
"2008-10-05",21.2266
"2008-10-06",21.4321
"2008-10-07",21.6526
"2008-10-08",21.4559
"2008-10-09",21.2643
"2008-10-10",21.6991
"2008-10-11",21.7475
"2008-10-12",21.9592
"2008-10-13",21.9556
"2008-10-14",21.8163
"2008-10-15",21.9282
"2008-10-16",22.4665
"2008-10-17",22.2296
"2008-10-18",22.2745
"2008-10-19",22.0552
"2008-10-20",22.5636
"2008-10-21",22.1012
"2008-10-22",21.4495
"2008-10-23",21.7853
"2008-10-24",21.9675
"2008-10-25",21.4551
"2008-10-26",22.2708
"2008-10-27",22.3419
"2008-10-28",22.094
"2008-10-29",21.6592
"2008-10-30",20.6594
"2008-10-31",20.0429
"2008-11-01",19.2137
"2008-11-02",18.7635
"2008-11-03",18.6162
"2008-11-04",19.9128
"2008-11-05",19.5312
"2008-11-06",19.1673
"2008-11-07",20.4459
"2008-11-08",21.6923
"2008-11-09",22.0475
"2008-11-10",21.9194
"2008-11-11",22.1013
"2008-11-12",21.7995
"2008-11-13",21.939
"2008-11-14",21.9559
"2008-11-15",21.4473
"2008-11-16",21.1114
"2008-11-17",20.5895
"2008-11-18",21.0848
"2008-11-19",21.8098
"2008-11-20",22.5797
"2008-11-21",21.8627
"2008-11-22",21.9865
"2008-11-23",22.0704
"2008-11-24",21.9132
"2008-11-25",22.0992
"2008-11-26",21.8733
"2008-11-27",22.2143
"2008-11-28",22.1371
"2008-11-29",22.1092
"2008-11-30",21.2262
"2008-12-01",21.1955
"2008-12-02",22.0919
"2008-12-03",21.3163
"2008-12-04",21.7689
"2008-12-05",21.6834
"2008-12-06",21.7411
"2008-12-07",20.7909
"2008-12-08",21.9421
"2008-12-09",22.3822
"2008-12-10",21.8381
"2008-12-11",22.1349
"2008-12-12",21.5096
"2008-12-13",20.7225
"2008-12-14",20.8379
"2008-12-15",21.0525
"2008-12-16",21.653
"2008-12-17",21.5183
"2008-12-18",21.5799
"2008-12-19",22.0342
"2008-12-20",22.1167
"2008-12-21",21.0241
"2008-12-22",19.5435
"2008-12-23",20.4294
"2008-12-24",21.0661
"2008-12-25",20.6782
"2008-12-26",20.1491
"2008-12-27",19.8895
"2008-12-28",19.7147
"2008-12-29",19.2877
"2008-12-30",19.5237
"2008-12-31",19.0384
"2009-01-01",18.5726
"2009-01-02",18.5152
"2009-01-03",18.1169
"2009-01-04",19.2849
"2009-01-05",20.4595
"2009-01-06",19.1562
"2009-01-07",20.8082
"2009-01-08",20.7184
"2009-01-09",21.5269
"2009-01-10",21.1987
"2009-01-11",19.5126
"2009-01-12",18.8829
"2009-01-13",19.9315
"2009-01-14",19.242
"2009-01-15",18.7863
"2009-01-16",19.008
"2009-01-17",19.2828
"2009-01-18",19.6547
"2009-01-19",19.7264
"2009-01-20",20.8804
"2009-01-21",19.605
"2009-01-22",19.1428
"2009-01-23",19.6837
"2009-01-24",19.6541
"2009-01-25",20.8696
"2009-01-26",21.9725
"2009-01-27",21.4587
"2009-01-28",21.3488
"2009-01-29",19.7637
"2009-01-30",16.9566
"2009-01-31",18.3045
"2009-02-01",20.2607
"2009-02-02",20.3412
"2009-02-03",19.3872
"2009-02-04",18.9901
"2009-02-05",18.3117
"2009-02-06",18.2735
"2009-02-07",17.9968
"2009-02-08",17.8242
"2009-02-09",17.2183
"2009-02-10",18.667
"2009-02-11",18.9349
"2009-02-12",17.1536
"2009-02-13",15.3324
"2009-02-14",16.2121
"2009-02-15",18.3449
"2009-02-16",20.3313
"2009-02-17",19.6157
"2009-02-18",18.6759
"2009-02-19",19.4434
"2009-02-20",20.7158
"2009-02-21",20.4611
"2009-02-22",21.2159
"2009-02-23",21.6143
"2009-02-24",21.8084
"2009-02-25",21.811
"2009-02-26",21.843
"2009-02-27",20.9822
"2009-02-28",20.9787
"2009-03-01",20.3475
"2009-03-02",18.1225
"2009-03-03",19.0694
"2009-03-04",20.0879
"2009-03-05",20.5085
"2009-03-06",21.1922
"2009-03-07",21.1912
"2009-03-08",21.1507
"2009-03-09",21.6609
"2009-03-10",21.4225
"2009-03-11",21.3102
"2009-03-12",21.4094
"2009-03-13",21.6116
"2009-03-14",20.9884
"2009-03-15",21.4202
"2009-03-16",21.1804
"2009-03-17",21.2641
"2009-03-18",21.4387
"2009-03-19",21.9764
"2009-03-20",21.574
"2009-03-21",21.5807
"2009-03-22",22.1424
"2009-03-23",22.1742
"2009-03-24",21.3391
"2009-03-25",21.6017
"2009-03-26",21.8057
"2009-03-27",21.6022
"2009-03-28",21.8813
"2009-03-29",21.7949
"2009-03-30",21.2535
"2009-03-31",21.9794
"2009-04-01",22.0278
"2009-04-02",21.444
"2009-04-03",21.4555
"2009-04-04",21.9788
"2009-04-05",21.8599
"2009-04-06",21.944
"2009-04-07",21.9219
"2009-04-08",22.12
"2009-04-09",22.3522
"2009-04-10",22.0631
"2009-04-11",22.6508
"2009-04-12",23.1033
"2009-04-13",22.3779
"2009-04-14",22.8838
"2009-04-15",23.0489
"2009-04-16",23.3408
"2009-04-17",23.4438
"2009-04-18",23.3954
"2009-04-19",23.3081
"2009-04-20",22.9256
"2009-04-21",22.3025
"2009-04-22",23.0247
"2009-04-23",23.2848
"2009-04-24",22.9694
"2009-04-25",22.9787
"2009-04-26",22.5373
"2009-04-27",22.5543
"2009-04-28",22.5504
"2009-04-29",22.4183
"2009-04-30",22.4118
"2009-05-01",22.537
"2009-05-02",23.7087
"2009-05-03",24.0525
"2009-05-04",23.3963
"2009-05-05",22.85
"2009-05-06",23.1127
"2009-05-07",23.8245
"2009-05-08",23.2663
"2009-05-09",23.4586
"2009-05-10",23.5683
"2009-05-11",24.0074
"2009-05-12",23.4565
"2009-05-13",23.1744
"2009-05-14",23.519
"2009-05-15",23.7773
"2009-05-16",23.7014
"2009-05-17",23.1119
"2009-05-18",22.7947
"2009-05-19",23.0287
"2009-05-20",22.5388
"2009-05-21",22.7698
"2009-05-22",22.8506
"2009-05-23",23.1302
"2009-05-24",23.1167
"2009-05-25",22.8735
"2009-05-26",23.1632
"2009-05-27",22.9535
"2009-05-28",22.9476
"2009-05-29",23.1159
"2009-05-30",23.1464
"2009-05-31",23.1928
"2009-06-01",22.8916
"2009-06-02",22.605
"2009-06-03",23.1925
"2009-06-04",23.2162
"2009-06-05",22.69
"2009-06-06",21.7054
"2009-06-07",22.6339
"2009-06-08",22.4894
"2009-06-09",22.7765
"2009-06-10",22.8419
"2009-06-11",22.345
"2009-06-12",21.8975
"2009-06-13",21.9555
"2009-06-14",22.4631
"2009-06-15",22.5351
"2009-06-16",22.5499
"2009-06-17",22.5532
"2009-06-18",22.1785
"2009-06-19",22.1069
"2009-06-20",22.1493
"2009-06-21",22.5754
"2009-06-22",22.4214
"2009-06-23",22.7423
"2009-06-24",22.9165
"2009-06-25",22.585
"2009-06-26",21.8231
"2009-06-27",22.1946
"2009-06-28",22.4423
"2009-06-29",22.1423
"2009-06-30",21.8799
"2009-07-01",21.8735
"2009-07-02",21.7467
"2009-07-03",21.4882
"2009-07-04",21.7423
"2009-07-05",21.8698
"2009-07-06",21.6431
"2009-07-07",21.7454
"2009-07-08",21.4138
"2009-07-09",21.3949
"2009-07-10",21.6975
"2009-07-11",21.7034
"2009-07-12",21.6995
"2009-07-13",21.9377
"2009-07-14",22.2522
"2009-07-15",22.3953
"2009-07-16",21.8823
"2009-07-17",21.0353
"2009-07-18",21.2297
"2009-07-19",21.5672
"2009-07-20",21.6857
"2009-07-21",21.8059
"2009-07-22",21.7257
"2009-07-23",21.5662
"2009-07-24",22.3918
"2009-07-25",22.2267
"2009-07-26",22.2452
"2009-07-27",22.1702
"2009-07-28",21.7151
"2009-07-29",21.8214
"2009-07-30",22.4265
"2009-07-31",22.2851
"2009-08-01",21.6877
"2009-08-02",21.9624
"2009-08-03",21.8854
"2009-08-04",22.0951
"2009-08-05",22.0236
"2009-08-06",22.1804
"2009-08-07",22.1061
"2009-08-08",22.0062
"2009-08-09",22.1522
"2009-08-10",22.0444
"2009-08-11",21.9546
"2009-08-12",22.0922
"2009-08-13",22.6396
"2009-08-14",22.5952
"2009-08-15",22.0439
"2009-08-16",22.1193
"2009-08-17",21.56
"2009-08-18",21.9655
"2009-08-19",21.7694
"2009-08-20",21.7059
"2009-08-21",21.5457
"2009-08-22",21.742
"2009-08-23",21.837
"2009-08-24",21.9743
"2009-08-25",21.7953
"2009-08-26",22.112
"2009-08-27",22.3755
"2009-08-28",22.3026
"2009-08-29",22.0358
"2009-08-30",22.1974
"2009-08-31",22.0666
"2009-09-01",22.2373
"2009-09-02",21.9702
"2009-09-03",21.9755
"2009-09-04",22.0755
"2009-09-05",22.0888
"2009-09-06",21.9898
"2009-09-07",22.0433
"2009-09-08",22.2807
"2009-09-09",22.2598
"2009-09-10",21.7736
"2009-09-11",21.7173
"2009-09-12",22.0612
"2009-09-13",22.7649
"2009-09-14",21.423
"2009-09-15",21.7326
"2009-09-16",21.934
"2009-09-17",21.9729
"2009-09-18",21.4573
"2009-09-19",21.6305
"2009-09-20",22.0739
"2009-09-21",22.0432
"2009-09-22",21.363
"2009-09-23",21.8092
"2009-09-24",21.5808
"2009-09-25",21.5284
"2009-09-26",21.3471
"2009-09-27",21.6956
"2009-09-28",22.0532
"2009-09-29",21.9596
"2009-09-30",22.234
"2009-10-01",21.9653
"2009-10-02",21.9861
"2009-10-03",22.0767
"2009-10-04",22.0226
"2009-10-05",20.8643
"2009-10-06",21.1943
"2009-10-07",21.6896
"2009-10-08",21.6052
"2009-10-09",21.52
"2009-10-10",21.4195
"2009-10-11",21.7135
"2009-10-12",21.6443
"2009-10-13",21.0254
"2009-10-14",21.4518
"2009-10-15",21.6586
"2009-10-16",21.7993
"2009-10-17",21.724
"2009-10-18",22.288
"2009-10-19",21.7426
"2009-10-20",21.9021
"2009-10-21",21.8396
"2009-10-22",21.078
"2009-10-23",20.9326
"2009-10-24",21.3035
"2009-10-25",21.7349
"2009-10-26",21.8017
"2009-10-27",21.9072
"2009-10-28",22.1246
"2009-10-29",22.0438
"2009-10-30",22.2956
"2009-10-31",22.0442
"2009-11-01",22.0629
"2009-11-02",21.568
"2009-11-03",22.0924
"2009-11-04",21.9718
"2009-11-05",22.0219
"2009-11-06",22.3453
"2009-11-07",22.0377
"2009-11-08",22.0633
"2009-11-09",22.0772
"2009-11-10",21.3386
"2009-11-11",21.9152
"2009-11-12",22.1685
"2009-11-13",22.3648
"2009-11-14",21.9679
"2009-11-15",21.5298
"2009-11-16",22.1417
"2009-11-17",22.0773
"2009-11-18",21.7365
"2009-11-19",21.8668
"2009-11-20",21.4902
"2009-11-21",21.8518
"2009-11-22",21.5296
"2009-11-23",21.5438
"2009-11-24",21.3617
"2009-11-25",21.0125
"2009-11-26",20.9764
"2009-11-27",20.4556
"2009-11-28",20.8211
"2009-11-29",21.7383
"2009-11-30",22.2475
"2009-12-01",21.8809
"2009-12-02",21.62
"2009-12-03",21.983
"2009-12-04",21.6981
"2009-12-05",21.5621
"2009-12-06",21.7641
"2009-12-07",22.6567
"2009-12-08",22.3457
"2009-12-09",22.2481
"2009-12-10",21.9773
"2009-12-11",22.3054
"2009-12-12",22.3868
"2009-12-13",22.0027
